abbreviation	fullName	chargedFormula	charge	avgmolweight	monoisotopicweight	keggId	inchiString	pubChemId	cheBlId	hmdb	pdmapName	reconMap	reconMap3	food_db	chemspider	biocyc	biggId	wikipedia	drugbank	seed	metanetx	knapsack	metlin	casRegistry	epa_id	inchiKey	smile	lipidmaps
CE5155	13Z-docosenoyl-CoA	C43H72N7O17P3S	-4	1088.09	1087.423126	C16531	"InChI=1S/C43H76N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-34(52)71-27-26-45-33(51)24-25-46-41(55)38(54)43(2,3)29-64-70(61,62)67-69(59,60)63-28-32-37(66-68(56,57)58)36(53)42(65-32)50-31-49-35-39(44)47-30-48-40(35)50/h11-12,30-32,36-38,42,53-54H,4-10,13-29H2,1-3H3,(H,45,51)(H,46,55)(H,59,60)(H,61,62)(H2,44,47,48)(H2,56,57,58)/p-4/b12-11-/t32?,36?,37?,38?,42-/m0/s1"	71448925	74106	HMDB0062217		CE5155	CE5155				CE5155				MNXM162947					OWGHRDKRIGXBJM-MVWMFJOUSA-J	[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])C1([H])O[C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP([O-])([O-])=O	
CE5156	3-Oxo-Cis-15-Tetracosaenoyl Coenzyme A	C45H74N7O18P3S	-4				"InChI=1S/C45H78N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-33(53)28-36(55)74-27-26-47-35(54)24-25-48-43(58)40(57)45(2,3)30-67-73(64,65)70-72(62,63)66-29-34-39(69-71(59,60)61)38(56)44(68-34)52-32-51-37-41(46)49-31-50-42(37)52/h11-12,31-32,34,38-40,44,56-57H,4-10,13-30H2,1-3H3,(H,47,54)(H,48,58)(H,62,63)(H,64,65)(H2,46,49,50)(H2,59,60,61)/p-4/b12-11-/t34?,38?,39?,40?,44-/m0/s1"					CE5156	CE5156				CE5156				MNXM163190					OYATWRUGHUAXMW-KPDLDTBJSA-J	[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])C1([H])O[C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP([O-])([O-])=O	
CE5157	3(S)-Hydroxy-Cis-15-Tetracosaenoyl Coenzyme A	C45H76N7O18P3S	-4				"InChI=1S/C45H80N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-33(53)28-36(55)74-27-26-47-35(54)24-25-48-43(58)40(57)45(2,3)30-67-73(64,65)70-72(62,63)66-29-34-39(69-71(59,60)61)38(56)44(68-34)52-32-51-37-41(46)49-31-50-42(37)52/h11-12,31-34,38-40,44,53,56-57H,4-10,13-30H2,1-3H3,(H,47,54)(H,48,58)(H,62,63)(H,64,65)(H2,46,49,50)(H2,59,60,61)/p-4/b12-11+/t33?,34?,38?,39?,40?,44-/m0/s1"					CE5157	CE5157				CE5157				MNXM163174					SOQFCYAWKYIIHN-CPMSOIFOSA-J	[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])C1([H])O[C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP([O-])([O-])=O	
CE5158	"Trans,Cis-2,15-Tetracosadienoyl Coenzyme A"	C45H74N7O17P3S	-4				"InChI=1S/C45H78N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-36(54)73-29-28-47-35(53)26-27-48-43(57)40(56)45(2,3)31-66-72(63,64)69-71(61,62)65-30-34-39(68-70(58,59)60)38(55)44(67-34)52-33-51-37-41(46)49-32-50-42(37)52/h11-12,24-25,32-34,38-40,44,55-56H,4-10,13-23,26-31H2,1-3H3,(H,47,53)(H,48,57)(H,61,62)(H,63,64)(H2,46,49,50)(H2,58,59,60)/p-4/b12-11-,25-24+/t34?,38?,39?,40?,44-/m0/s1"					CE5158	CE5158				CE5158				MNXM163590					VXYLAQGCUVCPNJ-HOOSPARASA-J	[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])C1([H])O[C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP([O-])([O-])=O	
CE5159	cis-15-tetracosenoyl-CoA	C45H76N7O17P3S	-4																									
CE5160	3-Oxo-Cis-9-Octadecenoyl Coenzyme A	C39H62N7O18P3S	-4				"InChI=1S/C39H66N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-27(47)22-30(49)68-21-20-41-29(48)18-19-42-37(52)34(51)39(2,3)24-61-67(58,59)64-66(56,57)60-23-28-33(63-65(53,54)55)32(50)38(62-28)46-26-45-31-35(40)43-25-44-36(31)46/h11-12,25-26,28,32-34,38,50-51H,4-10,13-24H2,1-3H3,(H,41,48)(H,42,52)(H,56,57)(H,58,59)(H2,40,43,44)(H2,53,54,55)/p-4/b12-11-/t28?,32?,33?,34?,38-/m0/s1"					CE5160	CE5160				CE5160				MNXM163191					AVEYYKDEKGJVBU-BTGYZWEPSA-J	[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])C1([H])O[C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP([O-])([O-])=O	
CE5161	3(S)-Hydroxy-Cis-9-Octadecenoyl Coenzyme A	C39H64N7O18P3S	-4				"InChI=1S/C39H68N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-27(47)22-30(49)68-21-20-41-29(48)18-19-42-37(52)34(51)39(2,3)24-61-67(58,59)64-66(56,57)60-23-28-33(63-65(53,54)55)32(50)38(62-28)46-26-45-31-35(40)43-25-44-36(31)46/h11-12,25-28,32-34,38,47,50-51H,4-10,13-24H2,1-3H3,(H,41,48)(H,42,52)(H,56,57)(H,58,59)(H2,40,43,44)(H2,53,54,55)/p-4/b12-11-/t27?,28?,32?,33?,34?,38-/m0/s1"					CE5161	CE5161				CE5161				MNXM163175					LHAYYTCFPMUQNR-WNBYKCIMSA-J	[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])C1([H])O[C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP([O-])([O-])=O	
CE5162	"Trans,Cis-2,9-Octadecadienoyl Coenzyme A"	C39H62N7O17P3S	-4				"InChI=1S/C39H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h11-12,18-19,26-28,32-34,38,49-50H,4-10,13-17,20-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b12-11-,19-18+/t28?,32?,33?,34?,38-/m0/s1"					CE5162	CE5162				CE5162				MNXM163591					REOYMONHGHULEY-QPXATSSCSA-J	[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])C1([H])O[C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP([O-])([O-])=O	
CE5165	25(R)-trihydroxycoprostanoyl-CoA	C48H76N7O20P3S	-4																									
CE5166	"(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA"	C48H76N7O20P3S	-4	1200.17	1199.439168	C17343	"InChI=1S/C48H80N7O20P3S/c1-25(29-10-11-30-36-31(20-34(58)48(29,30)6)47(5)14-12-28(56)18-27(47)19-32(36)57)8-7-9-26(2)45(63)79-17-16-50-35(59)13-15-51-43(62)40(61)46(3,4)22-72-78(69,70)75-77(67,68)71-21-33-39(74-76(64,65)66)38(60)44(73-33)55-24-54-37-41(49)52-23-53-42(37)55/h23-34,36,38-40,44,56-58,60-61H,7-22H2,1-6H3,(H,50,59)(H,51,62)(H,67,68)(H,69,70)(H2,49,52,53)(H2,64,65,66)/p-4/t25-,26?,27+,28-,29-,30+,31+,32-,33-,34+,36+,38-,39-,40+,44-,47+,48-/m1/s1"	15942888	37643	HMDB0060307		CE5166	CE5166		13085541					cpd03231						MNYDLIUNNOCPHG-TUTZYBGQSA-J	[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])[C@]([H])(O[H])C([H])([H])[C@]4([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])[C@]([H])(O[H])[C@]12C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O	
CE5168	"24(R),25(R)-Varanoyl Coenzyme A"	C48H76N7O21P3S	-4				"InChI=1S/C48H80N7O21P3S/c1-24(28-8-9-29-36-30(19-34(59)48(28,29)6)47(5)13-11-27(56)17-26(47)18-32(36)58)7-10-31(57)25(2)45(64)80-16-15-50-35(60)12-14-51-43(63)40(62)46(3,4)21-73-79(70,71)76-78(68,69)72-20-33-39(75-77(65,66)67)38(61)44(74-33)55-23-54-37-41(49)52-22-53-42(37)55/h22-34,36,38-40,44,56-59,61-62H,7-21H2,1-6H3,(H,50,60)(H,51,63)(H,68,69)(H,70,71)(H2,49,52,53)(H2,65,66,67)/p-4/t24-,25+,26?,27+,28-,29?,30?,31-,32+,33-,34-,36?,38+,39+,40?,44-,47?,48-/m0/s1"					CE5168					CE5168				MNXM166027					PXHZOQNODUPJKC-WYPPBEQDSA-J	[H]OC([H])(C([O-])=NC([H])([H])C([H])([H])C([O-])=NC([H])([H])C([H])([H])SC(=O)[C@]([H])(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@]1([H])C([H])([H])C([H])([H])C2([H])C3([H])[C@]([H])(O[H])C([H])([H])C4([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])[C@]([H])(O[H])[C@@]12C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@]1([H])O[C@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O	
CE5169	"3a,7a,12a-Trihydroxy-5b-24-oxocholestanoyl-CoA"	C48H74N7O21P3S	-4	1214.154	1213.418433	C05467	"InChI=1S/C48H78N7O21P3S/c1-24(28-8-9-29-36-30(19-34(59)48(28,29)6)47(5)13-11-27(56)17-26(47)18-32(36)58)7-10-31(57)25(2)45(64)80-16-15-50-35(60)12-14-51-43(63)40(62)46(3,4)21-73-79(70,71)76-78(68,69)72-20-33-39(75-77(65,66)67)38(61)44(74-33)55-23-54-37-41(49)52-22-53-42(37)55/h22-30,32-34,36,38-40,44,56,58-59,61-62H,7-21H2,1-6H3,(H,50,60)(H,51,63)(H,68,69)(H,70,71)(H2,49,52,53)(H2,65,66,67)/p-4/t24-,25?,26+,27-,28-,29+,30+,32-,33-,34+,36+,38-,39-,40+,44-,47+,48-/m1/s1"	440690	27379	HMDB06891		CE5169		FDB024138	389566											AWLXQJGPNLCTLM-YFXOTMPNSA-J	[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])(C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])[C@]([H])(O[H])C([H])([H])[C@]4([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])[C@]([H])(O[H])[C@]12C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O	
CE5178	5-Oxo-6-Trans-Leukotriene B4	C20H29O4	-1				"InChI=1S/C20H30O4/c1-2-3-4-5-6-9-13-18(21)14-10-7-8-11-15-19(22)16-12-17-20(23)24/h6-11,14-15,18,21H,2-5,12-13,16-17H2,1H3,(H,23,24)/p-1/b8-7+,9-6-,14-10?,15-11+/t18-/m1/s1"	53481526		HMDB12824		CE5178	CE5178				CE5178				MNXM38280					MLZJFLKEKVDNAZ-ZQVKGQNISA-M	[H]O[C@@]([H])(C(\[H])=C(/[H])\C(\[H])=C(/[H])\C(\[H])=C(/[H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
CE5179	"6,7-Dihydro-5-Oxo-Leukotriene B4"	C20H31O4	-1				"InChI=1S/C20H32O4/c1-2-3-4-5-6-9-13-18(21)14-10-7-8-11-15-19(22)16-12-17-20(23)24/h6-10,14,18,21H,2-5,11-13,15-17H2,1H3,(H,23,24)/p-1/t18-/m1/s1"										CE5179				MNXM163695					RUTQOBJLGHUCJC-GOSISDBHSA-M	[H]O[C@@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
CE5236	O2'-4a-cyclic-tetrahydrobiopterin	C9H13N5O3	0	239.2312	239.1018393		"InChI=1S/C9H13N5O3/c1-3-5(15)4-2-11-6-9(14-4,17-3)7(16)13-8(10)12-6/h3-5,14-15H,2H2,1H3,(H3,10,11,12,13,16)/t3-,4?,5+,9?/m1/s1"	53481588		HMDB0013031		CE5236	CE5236	FDB029257			CE5236				MNXM65212					JZTDUNXDDUJXRZ-UPYOWCHBSA-N	[H]O[C@@]1([H])[C@]([H])(OC23N([H])C1([H])C([H])([H])N([H])C2=NC(=NC3=O)N([H])[H])C([H])([H])[H]	
CE5239	2-Hydroxy-17Beta-Estradiol-4-S-Glutathione	C28H38N3O9S	-1				"InChI=1S/C28H39N3O9S/c1-28-9-8-13-14(17(28)4-6-21(28)33)2-3-15-16(13)10-20(32)24(37)25(15)41-12-19(26(38)30-11-23(35)36)31-22(34)7-5-18(29)27(39)40/h10,13-14,17-19,21,32-33,37H,2-9,11-12,29H2,1H3,(H,30,38)(H,31,34)(H,35,36)(H,39,40)/p-1/t13?,14?,17?,18?,19-,21-,28-/m0/s1"										CE5239				MNXM163148					RCTUXLCVWTYQMR-MTWSBYMSSA-M	[H]OC1=C([H])C2=C(C(SC([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])(C([O-])=O)[N+]([H])([H])[H])C(=O)N([H])C([H])([H])C([O-])=O)=C1O[H])C([H])([H])C([H])([H])C1([H])C3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])C21[H]	
CE5240	2-Hydroxyestrone-4-S-Glutathione	C28H36N3O9S	-1				"InChI=1S/C28H37N3O9S/c1-28-9-8-13-14(17(28)4-6-21(28)33)2-3-15-16(13)10-20(32)24(37)25(15)41-12-19(26(38)30-11-23(35)36)31-22(34)7-5-18(29)27(39)40/h10,13-14,17-19,32,37H,2-9,11-12,29H2,1H3,(H,30,38)(H,31,34)(H,35,36)(H,39,40)/p-1/t13?,14?,17?,18-,19-,28+/m1/s1"	53481502		HMDB12624							CE5240				MNXM35159					ZKSQMGPMDHYFMB-GEAYSQNSSA-M	[H]OC1=C(O[H])C(SC([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(C([O-])=O)[N+]([H])([H])[H])C(=O)N([H])C([H])([H])C([O-])=O)=C2C(=C1[H])C1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])C3([H])C1([H])C([H])([H])C2([H])[H])C([H])([H])[H]	
CE5241	2-Hydroxy-17Beta-Estradiol-1-S-Glutathione	C28H38N3O9S	-1				"InChI=1S/C28H39N3O9S/c1-28-9-8-15-14(16(28)4-6-20(28)33)3-2-13-10-19(32)24(37)25(23(13)15)41-12-18(26(38)30-11-22(35)36)31-21(34)7-5-17(29)27(39)40/h10,14-18,20,32-33,37H,2-9,11-12,29H2,1H3,(H,30,38)(H,31,34)(H,35,36)(H,39,40)/p-1/t14?,15?,16?,17-,18?,20-,28-/m0/s1"										CE5241				MNXM163147					RJWRZPLAJHOFTD-VPMSSODUSA-M	[H]OC1=C([H])C2=C(C(SC([H])([H])C([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H])C(=O)N([H])C([H])([H])C([O-])=O)=C1O[H])C1([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])C([H])([H])C3([H])C1([H])C([H])([H])C2([H])[H]	
CE5242	2-Hydroxyestrone-1-S-Glutathione	C28H36N3O9S	-1				"InChI=1S/C28H37N3O9S/c1-28-9-8-15-14(16(28)4-6-20(28)33)3-2-13-10-19(32)24(37)25(23(13)15)41-12-18(26(38)30-11-22(35)36)31-21(34)7-5-17(29)27(39)40/h10,14-18,32,37H,2-9,11-12,29H2,1H3,(H,30,38)(H,31,34)(H,35,36)(H,39,40)/p-1/t14?,15?,16?,17-,18-,28+/m1/s1"	53481501		HMDB12623							CE5242				MNXM35158					DGWRLJJHHOOYBF-DVFAMAHMSA-M	[H]OC1=C(O[H])C(SC([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(C([O-])=O)[N+]([H])([H])[H])C(=O)N([H])C([H])([H])C([O-])=O)=C2C(=C1[H])C([H])([H])C([H])([H])C1([H])C3([H])C([H])([H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])C21[H]	
CE5243	4-Hydroxy-17Beta-Estradiol-2-S-Glutathione	C28H38N3O9S	-1				"InChI=1S/C28H39N3O9S/c1-28-9-8-13-14(17(28)4-6-21(28)32)2-3-15-16(13)10-20(25(37)24(15)36)41-12-19(26(38)30-11-23(34)35)31-22(33)7-5-18(29)27(39)40/h10,13-14,17-19,21,32,36-37H,2-9,11-12,29H2,1H3,(H,30,38)(H,31,33)(H,34,35)(H,39,40)/p-1/t13-,14+,17-,18+,19+,21+,28+/m0/s1"										CE5243				MNXM151160					ARFSXJIGVSWGDY-QKJBUJNWSA-M	[H]OC1=C(SC([H])([H])[C@]([H])([N+]([H])=C([O-])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H])C([O-])=[N+]([H])C([H])([H])C([O-])=O)C([H])=C2C(=C1O[H])C([H])([H])C([H])([H])[C@]1([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]21[H]	
CE5244	4-Hydroxyestrone-2-S-Glutathione	C28H36N3O9S	-1				"InChI=1S/C28H37N3O9S/c1-28-9-8-13-14(17(28)4-6-21(28)32)2-3-15-16(13)10-20(25(37)24(15)36)41-12-19(26(38)30-11-23(34)35)31-22(33)7-5-18(29)27(39)40/h10,13-14,17-19,36-37H,2-9,11-12,29H2,1H3,(H,30,38)(H,31,33)(H,34,35)(H,39,40)/p-1/t13?,14?,17?,18-,19-,28+/m1/s1"	53481521		HMDB12780							CE5244				MNXM37530					UKCFCQKNUGHMIT-GEAYSQNSSA-M	[H]OC1=C(SC([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(C([O-])=O)[N+]([H])([H])[H])C(=O)N([H])C([H])([H])C([O-])=O)C([H])=C2C(=C1O[H])C([H])([H])C([H])([H])C1([H])C3([H])C([H])([H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])C21[H]	
CE5249	"17Beta-Estradiol-3,4-Quinone"	C18H22O3	0				"InChI=1S/C18H22O3/c1-18-9-8-11-10-4-6-15(19)17(21)13(10)3-2-12(11)14(18)5-7-16(18)20/h4,6,11-12,14,16,20H,2-3,5,7-9H2,1H3/t11-,12-,14+,16-,18-/m0/s1"										CE5249				MNXM150262					XVPUMLOTNZVTSL-BLNOFITASA-N	[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])[C@@]3([H])C([H])([H])C([H])([H])C4=C(C([H])=C([H])C(=O)C4=O)[C@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	
CE5250	"17Beta-Estradiol-2,3-Quinone"	C18H22O3	0				"InChI=1S/C18H22O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14,17,21H,2-7H2,1H3/t11-,12+,14-,17+,18+/m0/s1"										CE5250				MNXM150261					LBSRSXWOMYPVBY-GVSKICRLSA-N	[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])[C@@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C(=O)C([H])=C4[C@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	
CE5251	"Estrone-3,4-quinone"	C18H20O3	0	284.3496	284.1412445		"InChI=1S/C18H20O3/c1-18-9-8-11-10-4-6-15(19)17(21)13(10)3-2-12(11)14(18)5-7-16(18)20/h4,6,11-12,14H,2-3,5,7-9H2,1H3/t11?,12?,14?,18-/m0/s1"	53481560		HMDB0012942				FDB029220		ESTRONE-SULFATE	CE5251				MNXM52647			633-34-1		REMSDZFYMQQJFD-PEDDLLMLSA-N	[H]C1=C([H])C2=C(C(=O)C1=O)C([H])([H])C([H])([H])C1([H])C3([H])C([H])([H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])C21[H]	
CE5252	"Estrone-2,3-quinone"	C18H20O3	0	284.3496	284.1412445		"InChI=1S/C18H20O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14H,2-7H2,1H3/t11?,12?,14?,18-/m0/s1"	53481559		HMDB0012941				FDB029219			CE5252				MNXM52646			40551-33-5		WFPLOQDPWXNOST-PEDDLLMLSA-N	[H]C1=C2C(=C([H])C(=O)C1=O)C1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])C3([H])C1([H])C([H])([H])C2([H])[H])C([H])([H])[H]	
CE5253	"17Beta-Estradiol-3,4-Semiquinone"	C18H22O3	0										CE5253				CE5253				MNXM165551							
CE5254	"17Beta-Estradiol-2,3-Semiquinone"	C18H22O3	0														CE5254				MNXM165550							
CE5255	"Estrone-3,4-Semiquinone"	C18H20O3	0														CE5255				MNXM167710							
CE5256	"Estrone-2,3-Semiquinone"	C18H20O3	0				"InChI=1S/C12H14N2O5S/c13-6(11(16)17)1-5-2-8(15)10-9(3-5)20-4-7(14-10)12(18)19/h2-3,6-7,14-15H,1,4,13H2,(H,16,17)(H,18,19)/p-1/t6-,7-/m1/s1"										CE5256				MNXM167709							
CE5272	"3,4-Dihydro-1,4-Benzothiazine-3-Carboxylate"	C12H13N2O5S	-1				"InChI=1S/C12H14N2O5S/c13-6(11(16)17)1-5-2-8(15)10-9(3-5)20-4-7(14-10)12(18)19/h2-3,6-7,14-15H,1,4,13H2,(H,16,17)(H,18,19)/p-1/t6-,7-/m1/s1"					CE5272														ACUWXAUSGNGBKQ-RNFRBKRXSA-M	[H]OC(=O)[C@]([H])(N([H])[H])C([H])([H])C1=C([H])C([O-])=C2N([H])[C@@]([H])(C(=O)O[H])C([H])([H])SC2=C1[H]	
