Organism	eBSH	7aHSDH	7bHSDH	3aHSDH	3bHSDH	12aHSDH	BaiG	BaiTRAP	BaiA	BaiB	BaiCDH	BaiEI	BaiFK	BaiN	BaiO	BaiP	BaiJ	BaiL	BaiR
Eggerthella sp. HGA1 (910311.3)	 	 	 	1074	1476, 732	2862	562, 567	566	558, 559, 560	570_15	563_11_12, 563_11_12, 564_11_12, 564_11_12	557_13_14, 557_13_14	570_15	1932_17_18, 1932_17_18	1931	1933	 	 	569_24
Eggerthella sp. YY7918 (502558.4)	 	 	 	 	1245	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Eikenella corrodens ATCC 23834 (546274.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter aerogenes EA1509E (935296.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter aerogenes FGI35 (685445.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter aerogenes KCTC 2190 (1028307.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter asburiae LF7a (640513.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cancerogenus ATCC 35316 (500639.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae EcWSU1 (1045856.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae SCF1 (701347.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae subsp. cloacae 08XA1 (1203195.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae subsp. cloacae ATCC 13047 (716541.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae subsp. cloacae ENHKU01 (1211025.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae subsp. cloacae GS1 (1177927.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae subsp. dissolvens SDM (1104326.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter cloacae subsp. dissolvens SP1 (1235834.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter hormaechei ATCC 49162 (888063.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter hormaechei YT2 (1259823.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacter hormaechei YT3 (1260282.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus asini ATCC 700915 (1158606.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus avium ATCC 14025 (1140002.4)	1451, 2434	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus caccae ATCC BAA-1240 (1158612.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	2226	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus casseliflavus EC10 (565654.4)	2722	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	390, 545	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus dispar ATCC 51266 (1139219.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus durans ATCC 6056 (1140001.4)	2214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus durans FB129-CNAB-4 (883162.3)	1298, 1338, 1377	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus durans IPLA 655 (1288492.4)	2239	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 12030 (1169282.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 12107 (1158664.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 1448E03 (1151193.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 182970 (1151194.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 19116 (1151195.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 2630V05 (1151196.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 2924 (1151197.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 5952 (1158670.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 599 (1134784.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 599951 (1169281.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 62 (936153.3)	848	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330082-2 (1151198.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330112-3 (1151199.3)	2800	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330245-2 (1151200.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330257-1 (1151201.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330259-5 (1151202.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330948-5 (1151204.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430275-3 (1151205.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430315-3 (1151206.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430416-3 (1151207.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430821-4 (1151208.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 79-3 (1169283.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis A-2-1 (1169245.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis A-3-1 (1169246.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis AR01/DG (565651.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 10100 (1169312.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 19433 (1169286.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 27275 (1158675.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 27959 (1158676.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 29200 (525271.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 29212 (1201292.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 35038 (1169290.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 4200 (565642.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 6055 (1169311.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B-4-111 (1169302.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1005 (1157378.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1138 (1157379.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1249 (1157380.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1290 (1151209.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1327 (1151210.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1376 (1151211.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1385 (1151212.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1441 (1157342.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1505 (1157343.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1532 (1157344.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B15725 (1151186.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1586 (1157345.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1618 (1157346.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1623 (1157347.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B16457 (1151187.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1678 (1157348.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1696 (1157349.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1719 (1157350.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1734 (1157351.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1843 (1157352.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1851 (1157381.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1874 (1157353.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1921 (1157382.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1933 (1157383.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2202 (1157384.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2207 (1157354.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2211 (1157385.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2255 (1157355.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2277 (1157386.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2391 (1157356.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2488 (1157357.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2535 (1157358.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2557 (1157359.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2593 (1157360.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2670 (1157387.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2685 (1157388.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2687 (1157389.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2802 (1157390.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2864 (1157392.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2867 (1157393.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2949 (1157394.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3031 (1157361.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3042 (1157362.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3053 (1157363.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3119 (1157395.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3126 (1157364.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3196 (1157396.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3286 (1157397.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3336 (1157398.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4008 (1157399.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4018 (1157400.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4148 (1157401.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4163 (1157402.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4259 (1157403.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4267 (1157404.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4270 (1157405.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4411 (1157406.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4568 (1157407.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4638 (1157408.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4672 (1157409.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4674 (1157410.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4969 (1157411.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B5035 (1158632.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B5076 (1157412.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B56765 (1151188.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B594 (1157365.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B653 (1169309.3)	2671	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B69486 (1151189.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B84847 (1151190.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B878 (1157366.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B939 (1157367.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis C19315WT (1151191.3)	268	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH116 (1158660.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH136 (1158661.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH188 (565644.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH19 (1158627.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH570 (1158656.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com 2 (1158633.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com 6 (1158634.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com1 (1158671.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com7 (1169306.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D1 (1169247.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D173 (1169310.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D3 (1169288.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D32 (1206105.3)	1859, 1931	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D6 (565650.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DAPTO 512 (749489.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DAPTO 516 (749490.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DS16 (1158677.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DS5 (565643.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E1 (1158673.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E1Sol (565647.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E99 (1169284.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis EnGen0253 (1158540.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV103 (1134785.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV116 (1134786.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV129 (1134787.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV25 (1134788.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV31 (1134789.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV37 (1134790.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV41 (1134791.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV62 (1134792.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV63 (1134793.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV65 (1134794.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV68 (1134795.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV72 (1134796.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV81 (1134798.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV85 (1134799.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV93 (1134800.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis F1 (1169297.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis FA2-2 (1158622.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Fly 2 (1169303.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Fly1 (565649.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HEF39 (1157368.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HH22 (491075.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HIP11704 (565646.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis JH1 (565648.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis M7 (1111677.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz151 (1169304.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz192 (1169248.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz204 (1169249.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz89 (1169250.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz96 (565645.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis MMH594 (1158653.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Ned10 (1158657.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis OG1RF (474186.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis OG1X (1027372.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Pan7 (1158666.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis PC1.1 (702448.3)	2677	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis R508 (1134801.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis R712 (699186.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RC73 (1158678.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RM3817 (1158674.3)	2885	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RM4679 (1158625.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RMC1 (1169299.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RMC5 (1169289.3)	2754	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RMC65 (1169308.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis S613 (699185.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF100 (1158654.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF105 (1158658.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF1592 (1158630.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF19 (1158629.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF21520 (1169313.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF21521 (1158668.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24396 (1158665.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24397 (1158618.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24413 (1158619.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF26630 (1158620.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF28073 (1158624.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF339 (1169305.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF350 (1169251.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF370 (1158655.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF5039 (1169252.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF6375 (1169280.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SS-6 (1158621.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SS-7 (1169298.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	3020	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T1 (565636.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
