Organism	GTPCH	PyrD	PyrR	DHBPS	DMRLS	RSA	RK	FMNAT	FHY	RibU	PnuX	ImpX	RibXY	RibN	RfnT	RibZ
Staphylococcus aureus subsp. aureus DSM 20231 (1241616.3)	1222_6	1224_2_5	1224_2_5	1222_6	1221_8	1223_10	733_19_17	733_19_17	433	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus E1410 (585153.3)	2042_6	2044_2_5	2044_2_5	2042_6	2041_8	2043_10	2350_19_17	2350_19_17	1470	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus ECT-R 2 (889933.4)	1585_6	1587_2_5	1587_2_5	1585_6	1584_9	1586_10	1107_19_17	1107_19_17	807	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus ED133 (685039.3)	1828_6	1830_2_5	1830_2_5	1828_6	1827_8	1829_10	1327_17_19	1327_17_19	947	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus ED98 (681288.4)	1779_6	1781_2_5	1781_2_5	1779_6	1778_8	1780_10	1249_19_17	1249_19_17	936	1471	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus EMRSA16 (585154.3)	1796_6	1798_2_5	1798_2_5	1796_6	1795_8	1797_10	1502_19_17	1502_19_17	880	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus GR1 (1144272.3)	2077_6	2079_2_5	2079_2_5	2077_6	2076_8	2078_10	1510_19_17	1510_19_17	523	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus H19 (585155.3)	2000_6	2002_2_5	2002_2_5	2000_6	1999_8	2001_10	1452_17_19	1452_17_19	2242	1698	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus H29 (1258575.3)	1549_6	1547_2_5	1547_2_5	1549_6	1550_8	1548_10	856_17_19	856_17_19	2656	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)	1702_6	1704_2_5	1704_2_5	1702_6	1701_8	1703_10	1124_19_17	1124_19_17	812	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-105 (904781.3)	350_6	348_2_5	348_2_5	350_6	351_8	349_10	1538_19_17	1538_19_17	2572	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-111 (904782.3)	1807_6	1805_2_5	1805_2_5	1807_6	1808_8	1806_10	164_19_17	164_19_17	1587	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-122 (904783.3)	857_6	859_2_5	859_2_5	857_6	856_8	858_10	733_19_17	733_19_17	2408	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-189 (904787.3)	"1218_6, 1219_6"	1221_2_5	1221_2_5	"1218_6, 1219_6"	1217_8	1220_10	2675_19_17	2675_19_17	33	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-250 (904789.3)	1257_6	1255_2_5	1255_2_5	1257_6	1258_8	1256_10	214_19_17	214_19_17	58	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	952_6	954_2_5	954_2_5	952_6	951_8	953_10	426_17_19	426_17_19	2010	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	2427_6	2429_2_5	2429_2_5	2427_6	2426_8	2428_10	2698_17_19	2698_17_19	1349	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	943_6	945_2_5	945_2_5	943_6	942_8	944_10	1223_19_17	1223_19_17	1923	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	712_6	714_2_5	714_2_5	712_6	711_8	713_10	"2620_17_19, 2621_17_19"	"2620_17_19, 2621_17_19"	2349	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus IS-K (904791.3)	1128_6	1130_2_5	1130_2_5	1128_6	1127_8	1129_10	467_19_17	467_19_17	834	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus JH1 (359787.11)	1900_6	1902_2_5	1902_2_5	1900_6	1899_8	1901_10	1392_17_19	1392_17_19	1023	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus JH9 (359786.13)	1925_6	1927_2_5	1927_2_5	1925_6	1924_8	1926_10	1412_17_19	1412_17_19	1040	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	1772_6	1774_2_5	1774_2_5	1772_6	1771_8	1773_10	1188_19_17	1188_19_17	876	1423	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	1233_6	1235_2_5	1235_2_5	1233_6	1232_8	1234_10	674_19_17	674_19_17	356	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	1671_6	1673_2_5	1673_2_5	1671_6	1670_8	1672_10	1190_19_17	1190_19_17	891	1406	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus M013 (1118959.3)	1741_6	1743_2_5	1743_2_5	1741_6	1740_8	1742_14	1182_17_19	1182_17_19	867	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus M1015 (585156.3)	1313_6	1315_2_5	1315_2_5	1313_6	1312_8	1314_10	744_19_17	744_19_17	434	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus M809 (585157.3)	1491_6	1493_2_5	1493_2_5	1491_6	1490_8	1492_10	994_17_19	994_17_19	553	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus M876 (585158.3)	2279_6	2281_2_5	2281_2_5	2279_6	2278_8	2280_10	1717_19_17	1717_19_17	1404	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus M899 (585159.3)	1833_6	1835_2_5	1835_2_5	1833_6	1832_8	1834_10	1323_17_19	1323_17_19	1020	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MN8 (548470.3)	2570_6	2572_2_5	2572_2_5	2570_6	2569_8	2571_10	92_19_17	92_19_17	1604	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	1502_6	1504_2_5	1504_2_5	1502_6	1501_8	1503_10	157_19_17	157_19_17	750	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	1821_6	1819_2_5	1819_2_5	1821_6	1822_9	1820_10	492_19_17	492_19_17	794	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	1631_6	1633_2_5	1633_2_5	1631_6	1630_8	1632_10	246_19_17	246_19_17	1421	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	1857_6	1859_2_5	1859_2_5	1857_6	1856_8	1858_10	1251_19_17	1251_19_17	933	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	1627_6	1629_2_5	1629_2_5	1627_6	1626_8	1628_10	1123_17_19	1123_17_19	 	1332	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	1757_6	1759_2_5	1759_2_5	1757_6	1756_8	1758_10	1256_17_19	1256_17_19	877	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus MW2 (196620.5)	1778_6	1780_2_5	1780_2_5	1778_6	1777_8	1779_10	1214_19_17	1214_19_17	898	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	1801_6	1803_2_5	1803_2_5	1801_6	1800_8	1802_10	1286_17_19	1286_17_19	981	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	1825_6	1827_2_5	1827_2_5	1825_6	1824_8	1826_10	1306_19_17	1306_19_17	997	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	1822_6	1824_2_5	1824_2_5	1822_6	1821_8	1823_10	1303_19_17	1303_19_17	995	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus N315 (158879.11)	1710_6	1712_2_5	1712_2_5	1710_6	1709_8	1711_10	1194_19_17	1194_19_17	886	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	1717_6	1719_2_5	1719_2_5	1717_6	1716_8	1718_10	1143_19_17	1143_19_17	830	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	1347_6	1349_2_5	1349_2_5	1347_6	1346_8	1348_10	865_19_17	865_19_17	29	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	898_6	900_2_5	900_2_5	898_6	897_8	899_10	1972_19_17	1972_19_17	768	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	1836_6	1834_2_5	1834_2_5	1836_6	1837_8	1835_10	440_17_19	440_17_19	896	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	1569_6	1571_2_5	1571_2_5	1569_6	1568_8	1570_10	1089_19_17	1089_19_17	789	1301	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	389_6	391_2_5	391_2_5	389_6	388_8	390_10	1832_19_17	1832_19_17	682	51	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	1740_6	1742_2_5	1742_2_5	1740_6	1739_8	1741_10	1231_17_19	1231_17_19	927	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	2079_6	2077_2_5	2077_2_5	2079_6	2080_8	2078_10	1039_19_17	1039_19_17	1347	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	1343_6	1341_2_5	1341_2_5	1343_6	1344_8	1342_10	1911_19_17	1911_19_17	2222	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	753_6	755_2_5	755_2_5	753_6	752_8	754_10	187_19_17	187_19_17	1200	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus TW20 (663951.4)	1883_6	1885_2_5	1885_2_5	1883_6	1882_8	1884_10	1350_19_17	1350_19_17	1030	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	1206_6	1208_2_5	1208_2_5	1206_6	1205_8	1207_10	668_19_17	668_19_17	952	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	1865_6	1867_2_5	1867_2_5	1865_6	1864_8	1866_10	1277_19_17	1277_19_17	966	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	1854_6	1856_2_5	1856_2_5	1854_6	1853_8	1855_10	1281_19_17	1281_19_17	971	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	1604_6	1606_2_5	1606_2_5	1604_6	1603_8	1605_10	1102_19_17	1102_19_17	800	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	1494_6	1496_2_5	1496_2_5	1494_6	1493_8	1495_10	1823_19_17	1823_19_17	1148	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	2574_6	2576_2_5	2576_2_5	2574_6	2573_8	2575_10	2399_19_17	2399_19_17	832	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	1669_6	1671_2_5	1671_2_5	1669_6	1668_8	1670_10	1142_17_19	1142_17_19	839	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	1717_6	1719_2_5	1719_2_5	1717_6	1716_8	1718_10	1165_17_19	1165_17_19	849	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	1712_6	1714_2_5	1714_2_5	1712_6	1711_8	1713_10	1222_17_19	1222_17_19	919	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	1685_6	1687_2_5	1687_2_5	1685_6	1684_8	1686_10	1191_17_19	1191_17_19	888	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	1682_6	1684_2_5	1684_2_5	1682_6	1681_8	1683_10	1197_17_19	1197_17_19	799	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	1592_6	1594_2_5	1594_2_5	1592_6	1591_8	1593_10	1108_17_19	1108_17_19	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	1663_6	1665_2_5	1665_2_5	1663_6	1662_8	1664_10	1172_17_19	1172_17_19	870	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	1635_6	1637_2_5	1637_2_5	1635_6	1634_8	1636_10	1149_17_19	1149_17_19	837	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	1612_6	1614_2_5	1614_2_5	1612_6	1611_8	1613_10	1098_17_19	1098_17_19	796	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	1705_6	1707_2_5	1707_2_5	1705_6	1704_8	1706_10	1218_17_19	1218_17_19	907	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	1614_6	1616_2_5	1616_2_5	1614_6	1613_8	1615_10	1124_17_19	1124_17_19	819	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	1720_6	1722_2_5	1722_2_5	1720_6	1719_8	1721_10	1162_17_19	1162_17_19	859	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	1300_6	1302_2_5	1302_2_5	1300_6	1299_8	1301_10	739_19_17	739_19_17	429	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	1505_6	1507_2_5	1507_2_5	1505_6	1504_8	1506_10	1131_17_19	1131_17_19	641	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	1830_6	1832_2_5	1832_2_5	1830_6	1829_8	1831_10	1295_19_17	1295_19_17	977	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	256_6	254_2_5	254_2_5	256_6	257_8	255_10	2570_19_17	2570_19_17	2170	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	1796_6	1798_2_5	1798_2_5	1796_6	1795_8	1797_10	1288_19_17	1288_19_17	915	 	 	 	 	 	 	 
Staphylococcus capitis QN1 (1189311.3)	513_6	515_2_5	515_2_5	513_6	512_8	514_10	42_17_19	42_17_19	 	254	 	 	 	 	 	 
Staphylococcus capitis SK14 (553212.3)	1360_6	1362_2_5	1362_2_5	1360_6	1359_8	1361_10	2028_17_19	2028_17_19	 	1041	 	 	 	 	 	 
Staphylococcus capitis VCU116 (904334.4)	385_6	387_2_5	387_2_5	385_6	384_8	386_10	1367_17_19	1367_17_19	 	2224	 	 	 	 	 	 
Staphylococcus caprae C87 (435838.3)	1226_6	1228_2_5	1228_2_5	1226_6	1225_8	1227_10	753_17_19	753_17_19	 	"966, 967"	 	 	 	 	 	 
Staphylococcus epidermidis 12142587 (1235440.3)	929_6	931_2_5	931_2_5	929_6	928_8	930_10	386_17_19	386_17_19	 	 	 	 	 	 	 	 
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	205_6	207_2_5	207_2_5	205_6	204_8	206_10	2012_17_19	2012_17_19	 	617	 	 	 	 	 	 
Staphylococcus epidermidis 41tr (1294271.3)	807_6	805_2_5	805_2_5	807_6	808_8	806_10	383_19_17	383_19_17	2615	 	 	 	 	 	 	 
Staphylococcus epidermidis 528m (1294272.3)	2596_6	2594_2_5	2594_2_5	2596_6	2597_8	2595_10	448_19_17	448_19_17	2654	 	 	 	 	 	 	 
Staphylococcus epidermidis A487 (904143.3)	1258_6	1260_2_5	1260_2_5	1258_6	1257_8	1259_10	796_17_19	796_17_19	 	996	 	 	 	 	 	 
Staphylococcus epidermidis ATCC 12228 (176280.10)	1405_6	1407_2_5	1407_2_5	1405_6	1404_8	1406_10	923_19_17	923_19_17	645	 	 	 	 	 	 	 
Staphylococcus epidermidis AU12-03 (1220510.3)	58_6	56_2_5	56_2_5	58_6	59_8	57_10	525_19_17	525_19_17	809	 	 	 	 	 	 	 
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	1775_6	1777_2_5	1777_2_5	1775_6	1774_8	1776_10	1250_19_17	1250_19_17	900	 	 	 	 	 	 	 
Staphylococcus epidermidis BVS058A4 (883130.3)	1035_6	1037_2_5	1037_2_5	1035_6	1034_8	1036_10	568_19_17	568_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis FRI909 (764544.3)	1102_7	1104_2_5	1104_2_5	1102_7	1101_8	1103_13	306_17_19	306_17_19	 	845	 	 	 	 	 	 
Staphylococcus epidermidis M0881 (1213731.3)	1219_6	1221_2_5	1221_2_5	1219_6	1218_8	1220_10	745_19_17	745_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	1351_6	1349_2_5	1349_2_5	1351_6	1352_8	1350_10	363_19_17	363_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis NIH04003 (1155132.3)	1129_6	1131_2_5	1131_2_5	1129_6	1128_8	1130_10	654_19_17	654_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis NIH04008 (979222.3)	1976_6	1978_2_5	1978_2_5	1976_6	1975_8	1977_10	1376_19_17	1376_19_17	126	 	 	 	 	 	 	 
Staphylococcus epidermidis NIH05001 (979221.3)	1393_6	1391_2_5	1391_2_5	1393_6	1394_8	1392_10	261_19_17	261_19_17	2419	 	 	 	 	 	 	 
Staphylococcus epidermidis NIH05003 (1155133.3)	1120_6	1122_2_5	1122_2_5	1120_6	1119_8	1121_10	649_19_17	649_19_17	380	862	 	 	 	 	 	 
Staphylococcus epidermidis NIH05005 (979220.3)	1735_6	1737_2_5	1737_2_5	1735_6	1734_8	1736_10	833_19_17	833_19_17	2256	 	 	 	 	 	 	 
Staphylococcus epidermidis NIH051475 (1155130.3)	1170_6	1172_2_5	1172_2_5	1170_6	1169_8	1171_10	695_19_17	695_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis NIH051668 (1155131.3)	1168_6	1170_2_5	1170_2_5	1168_6	1167_8	1169_10	644_19_17	644_19_17	376	 	 	 	 	 	 	 
Staphylococcus epidermidis NIH06004 (1155134.3)	2065_6	2067_2_5	2067_2_5	2065_6	2064_8	"2063_16, 2066_10"	926_19_17	926_19_17	 	1805	 	 	 	 	 	 
Staphylococcus epidermidis NIH08001 (1155135.3)	63_6	61_2_5	61_2_5	63_6	64_8	62_10	537_19_17	537_19_17	 	322	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM001 (979219.3)	1698_6	1700_2_5	1700_2_5	1698_6	1697_8	1699_10	1030_19_17	1030_19_17	2478	 	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM003 (979218.3)	1013_6	1015_2_5	1015_2_5	1013_6	1012_8	1014_10	1207_19_17	1207_19_17	2383	 	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM008 (979217.3)	74_6	72_2_5	72_2_5	74_6	75_8	73_10	550_19_17	550_19_17	827	334	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM015 (979216.3)	1139_6	1141_2_5	1141_2_5	1139_6	1138_8	1140_10	676_17_19	676_17_19	 	883	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM018 (979215.3)	1616_6	1614_2_5	1614_2_5	1616_6	1617_8	1615_10	885_19_17	885_19_17	2306	 	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM020 (979213.3)	647_6	645_2_5	645_2_5	647_6	648_8	646_10	760_19_17	760_19_17	2212	975	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM021 (979212.3)	528_6	530_2_5	530_2_5	528_6	527_8	"1458_16, 529_10"	64_19_17	64_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM023 (979211.3)	1199_6	1201_2_5	1201_2_5	1199_6	1198_8	1200_10	228_17_19	228_17_19	 	732	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM031 (979214.3)	69_6	71_2_5	71_2_5	69_6	68_8	70_10	419_17_19	419_17_19	 	805	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM037 (979210.3)	1263_6	1265_2_5	1265_2_5	1263_6	1262_8	1264_10	2164_17_19	2164_17_19	 	1003	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM039 (979209.3)	416_6	414_2_5	414_2_5	416_6	417_8	415_10	893_19_17	893_19_17	1167	 	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM040 (979208.3)	610_6	612_2_5	612_2_5	610_6	609_8	611_10	1312_19_17	1312_19_17	 	347	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM049 (979207.3)	1647_6	1649_2_5	1649_2_5	1647_6	1646_8	1648_10	1176_19_17	1176_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM053 (979206.3)	1566_6	1568_2_5	1568_2_5	1566_6	1565_8	1567_10	343_17_19	343_17_19	 	836	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM057 (979205.3)	1409_6	1411_2_5	1411_2_5	1409_6	1408_8	1410_10	276_17_19	276_17_19	 	1545	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM061 (979204.3)	382_6	380_2_5	380_2_5	382_6	383_8	381_10	849_17_19	849_17_19	 	640	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM067 (979203.3)	1969_6	1971_2_5	1971_2_5	1969_6	1968_8	1970_10	928_19_17	928_19_17	2249	744	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM087 (979201.3)	1425_6	1423_2_5	1423_2_5	1425_6	1426_8	1424_10	580_19_17	580_19_17	157	 	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM088 (979200.3)	2406_6	2404_2_5	2404_2_5	2406_6	2407_8	2405_10	508_19_17	508_19_17	388	811	 	 	 	 	 	 
Staphylococcus epidermidis NIHLM095 (979199.3)	1596_6	1598_2_5	1598_2_5	1596_6	1595_8	1597_10	1059_19_17	1059_19_17	407	 	 	 	 	 	 	 
Staphylococcus epidermidis RP62A (176279.9)	1293_6	1295_2_5	1295_2_5	1293_6	1292_8	1294_10	818_19_17	818_19_17	542	 	 	 	 	 	 	 
Staphylococcus epidermidis SK135 (596317.3)	1352_6	1350_2_5	1350_2_5	1352_6	1353_8	1351_10	1841_19_17	1841_19_17	1052	 	 	 	 	 	 	 
Staphylococcus epidermidis UC7032 (1327991.3)	1240_6	1238_2_5	1238_2_5	1240_6	1241_8	1239_10	1653_17_19	1653_17_19	 	130	 	 	 	 	 	 
Staphylococcus epidermidis VCU028 (904317.3)	462_6	464_2_5	464_2_5	462_6	461_8	463_10	861_19_17	861_19_17	120	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU037 (904319.3)	141_6	139_2_5	139_2_5	141_6	142_8	140_10	1748_19_17	1748_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU041 (904320.3)	369_6	371_2_5	371_2_5	369_6	368_8	370_10	1878_19_17	1878_19_17	881	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU045 (904321.3)	1185_6	1187_2_5	1187_2_5	1185_6	1184_8	1186_10	836_19_17	836_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU065 (904324.3)	874_6	872_2_5	872_2_5	874_6	875_8	873_10	1159_19_17	1159_19_17	1580	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU071 (904325.3)	2052_6	2054_2_5	2054_2_5	2052_6	2051_8	2053_10	863_19_17	863_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU081 (904326.3)	465_6	467_2_5	467_2_5	465_6	464_8	466_10	1101_19_17	1101_19_17	655	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU105 (904328.3)	1010_6	1012_2_5	1012_2_5	1010_6	1009_8	1011_10	362_19_17	362_19_17	1468	1835	 	 	 	 	 	 
Staphylococcus epidermidis VCU107 (904329.3)	1705_6	1707_2_5	1707_2_5	1705_6	1704_8	1706_10	791_19_17	791_19_17	2246	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU109 (904330.3)	1705_6	1707_2_5	1707_2_5	1705_6	1704_8	1706_10	791_19_17	791_19_17	2246	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU116 (904334.3)	385_6	387_2_5	387_2_5	385_6	384_8	386_10	1369_17_19	1369_17_19	 	2225	 	 	 	 	 	 
Staphylococcus epidermidis VCU117 (904335.3)	835_6	837_2_5	837_2_5	835_6	834_8	836_10	998_19_17	998_19_17	1924	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU118 (904336.3)	2278_6	2276_2_5	2276_2_5	2278_6	2279_8	2277_10	2001_17_19	2001_17_19	 	1199	 	 	 	 	 	 
Staphylococcus epidermidis VCU120 (904337.3)	2182_6	2184_2_5	2184_2_5	2182_6	2181_8	2183_10	541_19_17	541_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU123 (904340.3)	2113_6	2111_2_5	2111_2_5	2113_6	2114_8	2112_10	1233_19_17	1233_19_17	1862	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU125 (904341.3)	1880_6	1882_2_5	1882_2_5	1880_6	1879_8	1881_10	1177_19_17	1177_19_17	1634	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU126 (904342.3)	1479_6	1477_2_5	1477_2_5	1479_6	1480_8	1478_10	1063_19_17	1063_19_17	589	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU127 (904343.3)	2163_6	2165_2_5	2165_2_5	2163_6	2162_8	2164_10	1016_19_17	1016_19_17	 	 	 	 	 	 	 	 
Staphylococcus epidermidis VCU128 (904344.3)	653_6	655_2_5	655_2_5	653_6	652_8	654_10	57_17_19	57_17_19	 	199	 	 	 	 	 	 
Staphylococcus epidermidis VCU129 (904345.3)	2217_6	2219_2_5	2219_2_5	2217_6	2216_8	2218_10	1171_17_19	1171_17_19	 	284	 	 	 	 	 	 
Staphylococcus epidermidis VCU144 (904347.3)	508_6	510_2_5	510_2_5	508_6	507_8	509_10	1935_19_17	1935_19_17	228	"1552, 1553"	 	 	 	 	 	 
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	2675_6	2677_2_5	2677_2_5	2675_6	2674_8	2676_10	2111_17_19	2111_17_19	 	2407	 	 	 	 	 	 
Staphylococcus haemolyticus JCSC1435 (279808.8)	1138_6	1136_2_5	1136_2_5	1138_6	1139_8	1137_10	1617_19_17	1617_19_17	1951	 	 	 	 	 	 	 
Staphylococcus haemolyticus R1P1 (1134914.3)	2031_6	2029_2_5	2029_2_5	2031_6	2032_8	2030_10	339_19_17	339_19_17	 	1364	 	 	 	 	 	 
Staphylococcus hominis SK119 (629742.3)	1757_6	1755_2_5	1755_2_5	1757_6	1758_8	1756_10	841_17_19	841_17_19	 	1901	 	 	 	 	 	 
Staphylococcus hominis VCU122 (904339.3)	1128_6	1130_2_5	1130_2_5	1128_6	1127_8	1129_10	1855_17_19	1855_17_19	 	1441	 	 	 	 	 	 
Staphylococcus hominis subsp. hominis C80 (435837.3)	1174_6	1172_2_5	1172_2_5	1174_6	1175_8	1173_10	1613_17_19	1613_17_19	 	1422	 	 	 	 	 	 
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	2214_6	2216_2_5	2216_2_5	2214_6	2213_8	2215_10	104_17_19	104_17_19	 	2115	 	 	 	 	 	 
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	167_6	165_2_5	165_2_5	167_6	168_8	166_10	624_17_19	624_17_19	 	424	 	 	 	 	 	 
Staphylococcus lugdunensis HKU09-01 (698737.3)	1101_6	1099_2_5	1099_2_5	1101_6	1102_8	1100_10	1563_17_19	1563_17_19	 	1360	 	 	 	 	 	 
