Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Enterococcus faecium TX0133B (749524.3)	 	 	 	1627_8	1684, 2620, 2644, 2789	 	1199_11	2322_15	2339	2683_18	2144	1822	844	 
Enterococcus faecium TX0133C (749525.3)	 	 	 	1943_8	1337, 1446, 2539, 2663	 	1166_11	2024_15	971	550_18	2579	288	1266	 
Enterococcus faecium TX0133a04 (749523.3)	 	 	 	1782_8	1790, 2567, 751, 980	 	137_11	1445_15	1425	1917_18	2337	1311	2167	 
Enterococcus faecium TX1330 (525279.3)	 	 	 	562_8	1005, 1827, 624	 	508_11	2256_15	260	2282_18	72	1167	403	 
Enterococcus faecium U0317 (547468.4)	 	 	 	114_8	1298, 1801, 1870, 520	 	127_11	1668_15	1592	489_18	2252	671	2005, 2007, 2344	 
Enterococcus faecium UAA1007 (1158545.3)	 	 	 	1440_8	1584, 1746, 2452, 2541	 	721_11	1856_15	972	2275_18	1155	1237	818	 
Enterococcus faecium UAA1019 (1158547.3)	 	 	 	2312_8	2454, 2618, 2743, 551	 	2293_11	2733_15	2047	707_18	1867	1787	2200	 
Enterococcus faecium UAA1022 (1158548.3)	 	 	 	670_8	1782, 1914, 2115, 2191	 	685_11	1704_15	 	1678_18	1091	1171	774	 
Enterococcus faecium UAA1023 (1158549.3)	 	 	 	1899_8	1467, 1671, 1820, 2674	 	1966_11	1090_15	2221	1116_18	2394	2475	2068	 
Enterococcus faecium UAA1024 (1158550.3)	 	 	 	1420_8	1505, 1657, 1860, 2188	 	1354_11	2758_15	739	2732_18	912	993	1253	 
Enterococcus faecium UAA1025 (1158551.3)	 	 	 	1224_8	1982, 2150, 2618, 821	 	1243_11	2266_15	1490	974_18	1671	1752	1336	 
Enterococcus faecium UAA1280 (1158553.3)	 	 	 	1044_8	552, 768, 941	 	1162_11	2624_15	1454, 3017	2650_18	1626	1702	1268, 2161	 
Enterococcus faecium UAA1433 (1158554.3)	 	 	 	1562_8	1083, 2112, 2276, 782	 	1579_11	2408_15	1833	1234_18	2012	2833	1678	 
Enterococcus faecium UAA1484 (1158555.3)	 	 	 	1942_8	2084, 2248, 2380, 2900	 	1926_11	2362_15	1679	2734_18	1497	1416	1835	 
Enterococcus faecium UAA210 (1158635.3)	 	 	 	1564_8	1637, 1790, 1997, 645	 	1549_11	731_15	2233	757_18	1095	1197	1431	 
Enterococcus faecium UAA407 (1158636.3)	 	 	 	1572_8	1184, 664, 865, 999	 	1586_11	1290_15	1937	1316_18	2107	2186	1704	 
Enterococcus faecium UAA430 (1158638.3)	 	 	 	976_8	1881, 2028, 2235, 2315	 	1039_11	678_15	1293	704_18	1467	1547	1143	 
Enterococcus faecium UAA431 (1158639.3)	 	 	 	1949_8	1021, 1170, 1348, 1514	 	1964_11	2453_15	 	2427_18	733	818	2057	 
Enterococcus faecium UAA714 (1157453.3)	 	 	 	1851_8	2116, 345, 525, 671	 	1866_11	816_15	 	842_18	1316	1230	1958	 
Enterococcus faecium UAA715 (1157454.3)	 	 	 	2259_8	1420, 523, 703, 849	 	2245_11	2756_15	 	2731_18	1596	1682	2152	 
Enterococcus faecium UAA716 (1157455.3)	 	 	 	1012_8	2020, 2327, 2469, 556	 	1077_11	2011_15	1339	1985_18	1520	1601	1173	 
Enterococcus faecium UAA718 (1157456.3)	 	 	 	1870_8	1481, 2216, 2364, 2546	 	1204_11	2167_15	 	2142_18	890	976	1293	 
Enterococcus faecium UAA719 (1157457.3)	 	 	 	1864_8	1481, 1951, 2096, 2276	 	1014_11	2596_15	 	2570_18	727	812	1105	 
Enterococcus faecium UAA720 (1157458.3)	 	 	 	2418_8	1371, 2557, 2716, 680	 	2399_11	2828_15	2151	830_18	1969	1810	2306	 
Enterococcus faecium UAA721 (1157459.3)	 	 	 	1420_8	1548, 1674, 1869, 1950	 	557_11	2468_15	 	2442_18	977	1057	650	 
Enterococcus faecium UAA722 (1157460.3)	 	 	 	951_8	2093, 516, 694, 837	 	966_11	2295_15	1193	2322_18	1367	1449	1050	 
Enterococcus faecium UAA723 (1157461.3)	 	 	 	1627_8	1056, 1204, 771, 847	 	1644_11	1375_15	1939	1401_18	2117	2197	1741	 
Enterococcus faecium UAA724 (1157462.3)	 	 	 	1412_8	1178, 1331, 2451, 972	 	1478_11	491_15	1732	567_18	1907	1989	1576	 
Enterococcus faecium UAA725 (1157463.3)	 	 	 	2671_8	1396, 1503, 1662, 538	 	2653_11	1775_15	2404	702_18	2222	2141	2562	 
Enterococcus faecium UAA825 (1157464.3)	 	 	 	2176_8	1380, 2316, 2482, 532	 	2159_11	2593_15	1912	694_18	1732	1651	2068	 
Enterococcus faecium UAA909 (1157476.3)	 	 	 	545_8	1284, 1451, 1820, 2508	 	563_11	1562_15	808	2360_18	983	1064	652	 
Enterococcus faecium UAA910 (1157477.3)	 	 	 	2259_8	1479, 2329, 2484, 2664	 	2244_11	1926_15	 	1900_18	900	984	2152	 
Enterococcus faecium UAA911 (1157478.3)	 	 	 	2322_8	1385, 2462, 2626, 493	 	2303_11	2737_15	2057	1022_18	1881	1800	2213	 
Enterococcus faecium UAA944 (1157465.3)	 	 	 	1891_8	1092, 1646, 1793, 466	 	1921_11	1493_15	2170	611_18	2350	2430	2016	 
Enterococcus faecium UAA945 (1157488.3)	 	 	 	1707_8	1295, 1458, 1609, 226	 	1735_11	1304_15	1985	375_18	2163	2244	1832	 
Enterococcus faecium UAA947 (1158541.3)	 	 	 	1683_8	2086, 2344, 2635, 2796	 	1667_11	2910_15	717	1934_18	894	973	1570	 
Enterococcus faecium UAA949 (1158644.3)	 	 	 	2079_8	2221, 2386, 536, 776	 	2057_11	2562_15	1809	942_18	1635	1554	1964	 
Enterococcus faecium UAA950 (1158645.3)	 	 	 	1873_8	1023, 2012, 2172, 2604	 	1853_11	2759_15	1609	2438_18	1435	1354	1763	 
Enterococcus faecium UAA951 (1158543.3)	 	 	 	1696_8	1837, 1999, 2630, 272	 	1675_11	2172_15	1429	2464_18	1253	1172	1585	 
Enterococcus faecium UAA952 (1158544.3)	 	 	 	2640_8	2188, 2788, 2955, 549	 	1683_11	3124_15	1435	699_18	1256	1176	1591	 
Enterococcus faecium UC7251 (1328870.3)	 	 	 	313_8	1250, 1416, 1705, 796	 	507_11	340_15	2195	366_18	1352	918	1977	 
Enterococcus faecium VAN 219 (1157466.3)	 	 	 	1459_8	1011, 1222, 1368, 747	 	1473_11	2546_15	1833	2520_18	2003	2083	1566	 
Enterococcus faecium VAN 222 (1157467.3)	 	 	 	1043_8	2172, 593, 805, 951	 	1057_11	2138_15	1420	2112_18	1590	1670	1151	 
Enterococcus faecium VAN 327 (1169279.3)	 	 	 	1673_8	2055, 533, 734, 881	 	1659_11	2546_15	1359	2519_18	1179	1094	1571	 
Enterococcus faecium VAN 332 (1157468.3)	 	 	 	1394_8	1129, 1302, 762, 929	 	1417_11	2435_15	1674	2409_18	1845	1925	1513	 
Enterococcus faecium VAN 335 (1157469.3)	 	 	 	904_8	1991, 2138, 2338, 439	 	918_11	570_15	1217	597_18	1397	1482	1005	 
Enterococcus faecium VAN 342 (1157470.3)	 	 	 	1658_8	1215, 1412, 1563, 948	 	1671_11	1856_15	2182	1882_18	2352	2444	1760	 
Enterococcus faecium VAN 345 (1157471.3)	 	 	 	1797_8	1356, 1556, 1705, 556	 	1820_11	733_15	2076	759_18	2246	2326	1916	 
Enterococcus faecium VAN 476 (1169278.3)	 	 	 	1124_8	1029, 2005, 674, 883	 	1138_11	2503_15	1491	2477_18	1660	1740	1230	 
Enterococcus faecium VRE 108 (1157472.3)	 	 	 	1487_8	1252, 1407, 514, 788	 	1501_11	1101_15	1802	681_18	1977	2051	1591	 
Enterococcus faecium VRE 110 (1157473.3)	 	 	 	1475_8	1223, 1389, 176, 2909	 	1492_11	1054_15	1762	2757_18	1937	2017	1595	 
Enterococcus faecium VRE 13 (1157474.3)	 	 	 	787_8	1615, 1796, 2408, 2500	 	804_11	1889_15	1068	2245_18	1245	1327	898	 
Enterococcus faecium VRE 84 (1157475.3)	 	 	 	2229_8	1177, 2326, 2478, 538	 	2160_11	2589_15	1416	707_18	1591	1671	2062	 
Enterococcus gallinarum EG2 (565653.4)	1758_1, 1759_2	 	 	1889_8	1158, 1442, 1981, 743	 	1898_11	1489_15	 	1522_18	238	1397	358, 46	 
Enterococcus hirae ATCC 9790 (768486.3)	 	 	 	1848_8	1361, 1548, 1720, 2490	 	1897_11	1467_15	260	1498_18	2364	2452	1418, 1419, 2019	 
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	 	 	 	1377_8	1175, 1691, 2070	 	1387_11	2881_15	 	2916_18	1999	1719	2134, 2482	 
Enterococcus saccharolyticus 30_1 (742813.4)	1757_1, 1758_2	 	 	1852_8	2055, 2358, 239, 533, 999	 	1908_11	1469_15	 	1503_18	2997	2305	1353, 600	 
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	131_1, 132_2	 	 	2140_8	1295, 1694, 1696, 1792, 94	 	1899_11	930_15	 	130_18, 959_18	1825	1400	1493	 
Enterococcus sp. 7L76 (657310.3)	852_2, 873_2	 	 	2747_8	1402, 1403, 1902, 23, 567	 	 	2395_15	 	469_18	2354	219	2613, 459	98_24
Lactobacillus acidophilus 30SC (891391.3)	 	 	 	 	 	2019	147_11	1794_15	 	1602_18	433	1659	471	 
Lactobacillus acidophilus ATCC 4796 (525306.3)	 	 	 	 	418	1663	1256_11	1859_16	 	29_18	1512	83	152	257_26, 265_25, 266_25
Lactobacillus acidophilus La-14 (1314884.3)	 	 	 	 	713	1823	153_11	1625_16	 	1438_18	410	1490	448	551_26, 558_26, 559_25, 560_25
Lactobacillus amylolyticus DSM 11664 (585524.3)	 	 	 	 	 	1041	1298_11	 	 	407_18	952	 	1004	 
Lactobacillus amylovorus GRL 1112 (695560.3)	 	 	 	 	 	2039	169_11	1862_15	 	1658_18	449	1728	487	 
Lactobacillus amylovorus GRL1118 (695562.4)	 	 	 	 	737	1846	158_11	1676_15	 	1504_18	414	1556	447	 
Lactobacillus animalis KCTC 3501 (930942.3)	 	 	 	471_8	272, 952, 982	1266	1606_11	1244_15	 	807_18	951	1133	234	 
Lactobacillus antri DSM 16041 (525309.3)	 	 	 	 	1001, 1188, 1189, 1346	1252	1243_11	1246_16	1137, 1652	240_18	1826	704	1109	 
Lactobacillus brevis KB290 (1001583.3)	 	 	 	 	1107, 1996, 2296, 298	1571	1430_11	1808_15	 	967_18	843	 	688	1744_25, 1745_25, 1746_26
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	346_1	 	 	1276_8	1273, 1288, 173, 2222, 675	 	2438_11	1546_15	 	2369_18, 778_18	2084	226	2490	 
Lactobacillus buchneri ATCC 11577 (525318.3)	233_1	 	 	989_8	1584, 2111, 2698, 986, 995	 	2322_11	1560_15	 	2254_18, 544_18	1911	138	2376	 
Lactobacillus buchneri CD034 (1071400.3)	 	 	 	212_8	1160, 204, 360, 649	 	1318_11	1974_15	 	1248_18	1025	403	1373	 
Lactobacillus buchneri NRRL B-30929 (511437.3)	 	 	 	242_8	1162, 234, 399	 	1330_11	2064_15	 	1251_18	1027	444	1386	 
Lactobacillus casei 12A (1051650.4)	2452_1	 	 	502_8	1439, 279	 	2091_12	2178_15	 	964_18	673	1617	852, 853	2795_24
Lactobacillus casei 21/1 (1051651.3)	2618_1	 	 	635_8	1482, 385	 	2237_12	2332_15	 	1665_18	817	1772	1045	3034_24
Lactobacillus casei 32G (1051652.3)	2735_1	 	 	687_8	1704, 411	 	2375_12	2463_15	 	1906_18	900	2338	1113	2143_25, 3154_24
Lactobacillus casei ATCC 334 (321967.11)	2496_2, 2497_1	 	 	636_8, 637_8	1467, 2593	 	2123_12	2216_15	 	1632_18, 459_18	800	1729	990	1982_25, 1984_26, 2793_24
Lactobacillus casei BD-II (998820.3)	2687_1	 	 	676_8	1674, 2785, 293	 	2311_12	2406_15	 	1838_18	850	1937	1135	3030_24
Lactobacillus casei BL23 (543734.4)	2591_1	 	 	658_8	1615, 2687, 284	 	2230_12	2322_15	 	1774_18	823	1872	1099	2923_24
Lactobacillus casei CRF28 (1051654.3)	2676_1, 2677_1	 	 	509_8	1411, 181	 	2329_12	2371_15, 2372_15	 	1604_18	692	1847	955	2143_25, 3035_24
Lactobacillus casei LC2W (999378.3)	2638_1	 	 	685_8	1629, 2736, 297	 	2266_12	2360_15	 	1794_18	860	1893	1146	2982_24
Lactobacillus casei Lc-10 (1051655.5)	2531_1, 2533_1	 	 	563_8	1484, 305	 	2151_12	2218_15	 	1655_18	734	1754	958	1958_25, 2792_24
Lactobacillus casei Lpc-37 (1051656.3)	615_1	 	 	2381_8	2795, 2850	 	1221_11	1584_15	 	747_18	2257	125	1012	1918_24
Lactobacillus casei M36 (1051657.3)	2753_1	 	 	827_8	1785, 324	 	2412_11	2505_15	 	1959_18	936	2063	1198	2248_25, 3121_24
Lactobacillus casei T71499 (1051658.3)	2585_1	 	 	683_8	1571, 1754, 309	 	2179_12	2265_15	 	1736_18	859	1837	1050	2908_24
Lactobacillus casei UCD174 (1051659.3)	2851_2, 2852_1, 2853_1	 	 	654_8	1632, 404	 	2428_12	2543_15	 	1802_18, 499_18	839	1915	1071	2272_25, 3133_24
Lactobacillus casei UW1 (1051660.3)	2556_1	 	 	577_8	1512, 276	 	2209_11	2314_15	 	1689_18	765	1802	1012	2036_25, 2814_24
Lactobacillus casei UW4 (1051661.3)	2451_1	 	 	538_8	1432	 	2090_11	2179_15	 	1616_18	703	1720	955	1928_25, 2717_24
Lactobacillus casei W56 (1215914.3)	2790_1	 	 	706_8	1737, 306, 308	 	2407_12	2505_15	 	1909_18	888	2013	1189	3141_24
Lactobacillus casei str. Zhang (498216.5)	2363_1	 	 	530_8	1386, 2459, 317, 763	 	1998_12	2093_15	 	1547_18, 450_18	703	1644	899	1840_25, 2697_24
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	1057_1	 	 	2563_8	1455, 20, 2345	 	2170_12	2256_15	 	685_18	2727	781	462	 
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	1944_1	 	 	2346_8	1003, 1136, 1855	 	1277_11	1538_15	 	840_18	2513	743	432	1979_24, 2190_25
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	2541_2, 2542_1	 	 	1877_8	369	 	1900_12	1383_15	 	266_18, 874_18	795	2701, 2702	2290	484_25, 713_24
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	482_1	 	 	693_8	1193, 389	 	2763_11	972_15	 	1038_18, 94_18	1854	192	1334	815_24
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	421_1	 	 	147_8	1349, 348	 	307_12	2583_15	 	1020_18, 2318_18	1143	1634	1261	2172_25, 2437_24
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	355_1	 	 	2580_8	2388, 40	 	1681_12	1021_15, 1022_15	 	590_18	2632	758	1417	2542_24, 2667_25
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	2703_1	 	 	204_8	2293, 728	 	513_11	1828_15	 	1296_18, 1923_18	32	2019	1721	2423_24, 2959_25
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	584_1	 	 	1815_8	1437, 15	 	1095_12	1711_15	 	1665_18, 735_18	1564	1285	2479	2148_25, 2816_24
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	103_1	 	 	2715_8	1115, 2536	 	1609_12	2081_15	 	1271_18, 879_18	32	1369	1761	1736_24
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	1903_1	 	 	1748_8	1476, 2739	 	395_11	849_15	 	1035_18, 680_18	754	563	186	1200_24, 1939_25
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	790_1	 	 	125_8	2120, 605	 	1075_11	1126_15	 	2407_18, 945_18	1599	2643	1561	1988_24
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	278_1	 	 	1604_8	1102, 2607	 	812_12	653_15	 	503_18, 791_18	428	982	875	85_24
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	1419_1	 	 	2469_8	191, 2510	 	1838_12	1376_15	 	1642_18, 368_18	1569	465	841	1212_24
Lactobacillus coleohominis 101-4-CHN (575594.3)	 	 	 	 	 	1416	100_12	324_16	 	812_18, 813_18	1018	1692	1118	 
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	551_1, 552_2	 	 	999_8	1037, 1889, 815, 981	2145	825_11	2341_15	 	380_18	1424	1493	895	 
Lactobacillus crispatus 125-2-CHN (575595.3)	 	 	 	 	731	1123	1875_11	1356_16, 1618_15	 	754_18	1802	 	1928	 
Lactobacillus crispatus FB049-03 (883094.3)	 	 	 	 	198	2374	2072_11	1799_15, 1967_15	 	1551_18	512	 	479	 
Lactobacillus crispatus FB077-07 (883092.3)	 	 	 	 	1070	2008	86_11	181_15, 182_15, 2523_15	 	666_18	373	 	1355	 
Lactobacillus crispatus JV-V01 (491076.4)	 	 	 	 	558	1232	275_11	243_15, 244_15, 75_16	 	1103_18	1606	 	1842	 
Lactobacillus crispatus MV-1A-US (575596.3)	 	 	 	 	43	790	614_11	1931_16, 514_15, 515_15	 	1535_18	692	 	2029	 
Lactobacillus crispatus MV-3A-US (575597.3)	 	 	 	 	 	626	1989_11	1537_15, 1538_15, 2100_16	 	1640_18	1841	 	1278	 
Lactobacillus crispatus ST1 (748671.3)	 	 	 	 	726	1897	145_11	1684_16, 236_15	1007	1425_18	414	 	446	 
Lactobacillus curvatus CRL 705 (1074451.3)	 	 	 	 	166	 	866_11	810_15	 	198_18	4	411	162	 
Lactobacillus delbrueckii ZN7a-9 (1217420.3)	 	 	 	 	27	705	258_11, 445_11	129_15	 	1039_18	530	1068	538	 
Lactobacillus delbrueckii subsp. bulgaricus 2038 (353496.3)	 	 	 	 	1117, 1118, 1600	1123	184_12, 881_11, 882_11	283_15	 	1381_18	467	1353	452	474_24, 475_26
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	 	 	 	 	 	1064	189_12, 853_11, 854_11	282_16	 	1324_18	460	1292	444	1924_26_25, 1924_26_25, 467_24, 468_26
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	 	 	 	 	1564, 734	1080	183_11, 833_11, 834_11	275_16	 	1344_18	451	1312	437	 
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (1042399.3)	 	 	 	 	1709	1135	1508_11, 1690_11	649_16	 	992_18	323	146	1369	 
Lactobacillus delbrueckii subsp. bulgaricus ND02 (767455.3)	 	 	 	 	1628	1083	197_11, 840_11	270_15	 	1420_18	452	1377	438	 
Lactobacillus fermentum 28-3-CHN (575599.3)	337_2, 338_1	 	 	 	1, 1003, 1218, 179, 193, 950	715	1679_11, 393_11	 	 	1547_18	1417	1790	1135	 
Lactobacillus fermentum ATCC 14931 (525325.3)	 	 	 	 	1071, 1247, 1299, 1713, 991	31, 32	326_11, 646_11	 	 	1426_18	948	620	835	 
Lactobacillus fermentum CECT 5716 (712938.3)	927_1, 928_1, 929_2, 930_2	 	 	 	1111, 1127, 1219, 1277, 1339, 266	2006	2344_11, 683_11	 	 	1570_18	546, 547	2358, 2359	369	 
Lactobacillus fermentum F-6 (767453.3)	 	 	 	 	1000, 1016, 1116, 1167, 1219, 325	1778	2045_11, 679_11	 	 	1398_18	549	131	423	 
Lactobacillus fermentum IFO 3956 (334390.5)	876_1, 877_1, 878_2, 879_2	 	 	 	1020, 1035, 1166, 1220, 334	1763	2020_12, 695_11	 	 	1398_18	575	134	415	71_26_25, 71_26_25
Lactobacillus gasseri 202-4 (630527.3)	 	 	 	 	1117	981	656_11	161_16	589	1260_18	1296	 	1653	 
Lactobacillus gasseri 224-1 (679196.3)	 	 	 	 	911	1607, 1608	1778_11	1437_16	393	700_18	1458, 1459	 	280, 281, 282, 283	 
Lactobacillus gasseri ATCC 33323 (324831.13)	 	 	 	 	1253	1713	134_11	832_16	494	1368_18	423	 	702	 
Lactobacillus gasseri JV-V03 (525326.3)	 	 	 	 	357	1754	1470_11	822_16	1124	191_18	1170	 	954	 
Lactobacillus gasseri K7 (1334627.3)	 	 	 	 	946	828	117_11	1172_15	470	292_18	1710	 	1473	 
Lactobacillus gasseri SJ-9E-US (575603.3)	 	 	 	 	684	1479	1246_11	269_16	52	799_18	958	 	140	 
Lactobacillus gasseri SV-16A-US (575604.3)	 	 	 	 	707	1660	1416_11	287_16	53	883_18	1105	 	142	 
Lactobacillus gastricus PS3 (1144300.3)	 	 	 	1161_8	1195, 1427, 1764, 628	 	1143_11, 375_11	1160_15	 	180_18	1216, 835	1256	1569	 
Lactobacillus helveticus DPC 4571 (405566.6)	 	 	 	 	818	2154	172_11	1873_16	 	1642_18	465	1611	508	 
Lactobacillus helveticus DSM 20075 (585520.4)	 	 	 	 	723, 724	109	339_11	1801_16	 	1304_18	1751	1223	1157	 
Lactobacillus helveticus H10 (767462.3)	 	 	 	 	 	2218	184_11	1952_15	 	670_18	449	598	1841	 
Lactobacillus helveticus R0052 (880633.7)	 	 	 	 	771	56	2236_11	396_15	 	1662_18	1899	1748	460	 
Lactobacillus hilgardii ATCC 8290 (525327.3)	482_1	 	 	156_8	1356, 153, 167, 348	 	965_11	1424_15	 	1969_18, 897_18	1221	391	1018	 
Lactobacillus iners AB-1 (713605.5)	 	 	 	 	 	629	317_11	 	 	871_18	603	 	1178	1132_26
Lactobacillus iners ATCC 55195 (888801.3)	 	 	 	 	 	648	335_11	 	 	966_18	16	 	679	722_26
Lactobacillus iners DSM 13335 (525328.4)	 	 	 	 	 	859	528_11	 	 	1027_18	16	 	190	233_26
Lactobacillus iners LEAF 2052A-d (879302.3)	 	 	 	 	 	243	856_11	 	 	985_18	518	 	485	 
Lactobacillus iners LEAF 2053A-b (879301.3)	 	 	 	 	 	861	395_11	 	 	1121_18	701	 	750	 
Lactobacillus iners LEAF 2062A-h1 (879303.3)	 	 	 	 	 	220	765_11	 	 	1050_18	967	 	116	552_26
Lactobacillus iners LEAF 3008A-a (879304.3)	 	 	 	 	 	366	530_11	 	 	1081_18	54	 	681	 
Lactobacillus iners LactinV 09V1-c (879299.3)	 	 	 	 	 	722	1329_11	 	 	772_18	870	 	95	 
Lactobacillus iners LactinV 11V1-d (879300.3)	 	 	 	 	 	369	631_11	 	 	77_18	514	 	849	1220_26
Lactobacillus iners SPIN 1401G (879295.3)	 	 	 	 	 	800	917_11	 	 	377_18	42	 	317	 
Lactobacillus iners SPIN 2503V10-D (879296.3)	 	 	 	 	 	8	140_11	 	 	1211_18	668	 	216	534_26
Lactobacillus iners UPII 143-D (928327.3)	 	 	 	 	 	86	937_11	 	 	843_18	655	 	615	 
Lactobacillus iners UPII 60-B (928328.3)	 	 	 	 	 	1096	31_11	 	 	164_18	1226	 	243	 
Lactobacillus jensenii 115-3-CHN (575605.3)	 	 	 	 	751	703	1018_11	 	 	590_18	1272	 	801	 
Lactobacillus jensenii 269-3 (596325.3)	 	 	 	 	1521	849	1369_11	 	 	150_18	1221	 	806	 
Lactobacillus jensenii 27-2-CHN (575606.3)	 	 	 	 	756	707	1137_11	 	 	52_18	1422	 	806	 
Lactobacillus jensenii JV-V16 (525329.3)	 	 	 	 	106, 1164	168	1398_11	 	 	286_18	1129	 	98	 
Lactobacillus jensenii SJ-7A-US (575607.3)	 	 	 	 	527	580	829_11	 	 	1548_18	1410	 	802	 
Lactobacillus johnsonii ATCC 33200 (525330.3)	 	 	 	 	592, 593, 594	1620	1397_11	1037_16	412	475_18	1070	 	303	 
Lactobacillus johnsonii DPC 6026 (909954.3)	 	 	 	 	 	1775	162_11	 	558	1419_18	498	 	678	 
Lactobacillus johnsonii FI9785 (633699.4)	 	 	 	 	1220	1646	142_11	20_15, 792_16	513	1334_18	433	 	617	 
Lactobacillus johnsonii NCC 533 (257314.6)	 	 	 	 	 	1766	145_11	1215_16	567	1436_18	509	 	1401	 
Lactobacillus mucosae LM1 (1130798.3)	 	 	 	 	1307, 193, 476	1789	1726_11, 794_11	1813_15	 	842_18	1088	239	1237	 
Lactobacillus oris F0423 (944562.4)	 	 	 	 	1177, 1336, 1884	1276	1286_11	1282_15	1023, 234	1429_18	254	339	1787	 
Lactobacillus oris PB013-T2-3 (908339.3)	 	 	 	 	1110, 243, 61	654	644_11	649_15	141, 383	859_18	1839	1017	1645	 
Lactobacillus pentosus KCA1 (1136177.4)	 	 	 	558_8	1122, 2131, 2187, 2603, 800, 802	372	2497_11, 393_11	2174_15	 	962_18	1789	2161	258, 2782	 
Lactobacillus plantarum 16 (1327988.3)	 	 	 	972_8	1116, 1118, 1386, 2177, 2345	797	2495_11, 816_11	2222_15	 	1243_18	1842	2209	2696, 670	 
Lactobacillus plantarum IPLA88 (1328309.5)	 	 	 	774_8	1513, 1515, 1737, 1862, 2435	189	209_11, 2868_11	2154_15	 	1115_18	1617	2141	2315, 511	 
Lactobacillus plantarum JDM1 (644042.3)	 	 	 	1011_8	1177, 1179, 1463, 2170, 2228, 2337	792	2484_12, 811_12	2216_15	 	1330_18	1910	2203	2701, 682	 
Lactobacillus plantarum UCMA 3037 (1284223.3)	 	 	 	2428_8	1748, 1806, 430, 67, 691, 693	1537	1517_11, 924_11	1760_15	 	568_18	1061	1773	1299, 1661	 
Lactobacillus plantarum WCFS1 (220668.9)	 	 	 	988_8	1182, 1467, 2246	814	2577_12, 833_12	2291_15	 	1332_18	1919	2278	2780, 697	 
Lactobacillus plantarum ZJ316 (1284663.3)	 	 	 	1182_8	1433, 1435, 1706, 2545, 2603, 2716	991	1020_11, 2905_11, 2907_11, 2908_11	2591_15	 	1555_18	2223	2578	1, 864	 
Lactobacillus plantarum subsp. plantarum ATCC 14917 (525338.3)	 	 	 	1084_8	1877, 2324, 2910, 834	1511	1530_12, 2755_12	789_15	 	2460_18	1212	802	1397, 418	 
Lactobacillus plantarum subsp. plantarum NC8 (1036177.3)	 	 	 	1608_8	1793, 1795, 2066, 210, 2830, 3010	1434	105_11, 1453_11	2875_15	 	1925_18	2567	2862	1316, 310	 
Lactobacillus plantarum subsp. plantarum P-8 (767468.48)	 	 	 	927_8	1070, 1072, 1340, 2197, 2367	750	2524_11, 769_11	2242_15	 	1199_18, 2967_18, 2968_18	1861	2229	2717, 617	 
Lactobacillus plantarum subsp. plantarum ST-III (889932.4)	 	 	 	956_8	1151, 1153, 1422, 2242, 2301, 2426	780	2585_11, 801_11	2289_15	 	1281_18	1916	2275	2793, 645	 
Lactobacillus reuteri 100-23 (349123.6)	 	 	 	 	1081, 1107, 1791, 564	1049	1114_11	1058_16	1371, 1992, 384	329_18	2038	1252	1900	 
Lactobacillus reuteri ATCC 53608 (927703.3)	 	 	 	 	1405, 1446, 550	1003	1413_11	1019_15	1261, 479	1207_18	1511	1349	1645	 
Lactobacillus reuteri CF48-3A (525341.3)	 	 	 	 	405, 415, 642	377	210_11	1165_15, 385_16	1051	1836_18	1492	1721	481	 
Lactobacillus reuteri I5007 (1340495.3)	 	 	 	 	1632, 1878, 1879, 595	146	1888_11	128_15	1712, 711	767_18	1377	1819	1524	 
Lactobacillus reuteri JCM 1112 (557433.4)	 	 	 	 	1993	1948	2000_11	1963_16	1305, 252	1251_18	560	144	426	 
Lactobacillus reuteri MM4-1A (548485.3)	 	 	 	 	356	400	349_11	387_16	1431	1484_18	539	8	588	 
Lactobacillus reuteri SD2112 (491077.3)	 	 	 	 	457, 478, 979	430	260_11	1579_15, 438_16	1099	1272_18	1687	409	881	 
Lactobacillus reuteri lpuph (863368.3)	 	 	 	 	346, 874	80	866_11	1754_15	1351, 1617, 1948	401_18	184	1541	1459	 
