Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Enterococcus faecalis TX0017 (749497.3)	 	 	 	 	1479_5	 	1753_15	 	1478_18	 	 	1472_29, 1473_26	 	1481	 	418	 	 	816
Enterococcus faecalis TX0027 (749498.3)	 	 	 	 	2066_5	 	1005_15	 	2065_18	 	 	2058_28, 2059_29, 2060_26	 	2068	 	691	 	 	2532
Enterococcus faecalis TX0031 (749499.3)	 	 	 	 	233_5	 	59_15	 	234_18	 	 	239_26, 240_29	 	231	 	1602	 	 	1905
Enterococcus faecalis TX0043 (749500.3)	 	 	 	 	2039_5	 	971_15	 	2038_18	 	 	2031_28, 2032_29, 2033_26	 	2041	 	2534	 	 	351
Enterococcus faecalis TX0102 (749501.3)	 	 	 	 	1019_5	 	1279_15	 	1018_18	 	 	1012_29, 1013_26	 	1021	 	2145	 	 	386
Enterococcus faecalis TX0104 (491074.3)	 	 	 	27_11	1053_5	 	2733_15	 	1054_18	 	 	1059_26, 1060_29, 1061_28	 	1051	 	1869	 	 	1666
Enterococcus faecalis TX0109 (749502.3)	 	 	 	 	1842_5	 	1581_15	 	1843_18	 	 	1848_26, 1849_29, 1850_28	 	1840	 	21	 	 	1237
Enterococcus faecalis TX0309A (749503.3)	 	 	 	2901_11	2615_5	 	159_15	 	2614_18	 	 	 	 	2617	 	1766	 	 	1140
Enterococcus faecalis TX0309B (749504.3)	 	 	 	757_11	2508_5	 	41_15	 	2507_18	 	 	 	 	2510	 	2889	 	 	1757
Enterococcus faecalis TX0312 (749505.3)	 	 	 	 	580_5	 	74_15	 	579_18	 	 	573_29, 574_26	 	582	 	2618	 	 	325
Enterococcus faecalis TX0411 (749506.3)	 	 	 	 	482_5	 	420_15	 	483_18	 	 	488_26, 489_29, 490_28	 	480	 	2219	 	 	2793
Enterococcus faecalis TX0470 (749507.3)	 	 	 	 	886_5	 	128_15	 	885_18	 	 	879_29, 880_26	 	888	 	2549	 	 	1582
Enterococcus faecalis TX0630 (749508.3)	 	 	 	 	65_5	 	841_15	 	66_18	 	 	71_26, 72_29, 73_28	 	63	 	1208	 	 	2872
Enterococcus faecalis TX0635 = WH245 (749509.5)	 	 	 	 	2500_5	 	2736_15	 	2499_18	 	 	2492_28, 2493_29, 2494_26	 	2502	 	2880	 	 	1838
Enterococcus faecalis TX0645 (749510.3)	 	 	 	 	1274_5	 	181_15	 	1275_18	 	 	1280_26, 1281_29, 1282_28	 	1272	 	935	 	 	1931
Enterococcus faecalis TX0855 (749511.3)	 	 	 	657_11	542_5	 	1296_15	 	541_18	 	 	534_28, 535_29, 536_26	 	544	 	2458	 	 	1474
Enterococcus faecalis TX0860 (749512.3)	 	 	 	 	965_5	 	1662_15	 	964_18	 	 	957_28, 958_29, 959_26	 	967	 	492	 	 	21
Enterococcus faecalis TX1322 (525278.3)	 	 	 	 	717_5	 	2289_15	 	718_18	 	 	723_26, 724_29, 725_28	 	715	 	2203	 	 	170
Enterococcus faecalis TX1337RF (1134802.3)	 	 	 	 	 	 	564_15	 	1682_18	 	1776_24, 1777_23, 1778_25	 	 	 	 	486	 	 	2241
Enterococcus faecalis TX1341 (749514.3)	 	 	 	2540_11	652_5	 	80_15	 	651_18	 	 	646_26	 	654	 	2021	 	 	1808
Enterococcus faecalis TX1346 (749516.3)	 	 	 	 	1432_5	 	222_15	 	1431_18	 	 	1424_28, 1425_29, 1426_26	 	1434	 	1463	 	 	702
Enterococcus faecalis TX2134 (749518.3)	 	 	 	 	2452_5	 	633_15	 	2451_18	 	 	2444_28, 2446_26	 	2454	 	2171	 	 	1407
Enterococcus faecalis TX2137 (749491.3)	 	 	 	 	2421_5	 	20_15	 	2422_18	 	 	2427_26, 2428_29	 	2419	 	480	 	 	2034
Enterococcus faecalis TX2141 (749492.3)	 	 	 	 	2200_5	 	178_15	 	2201_18, 753_18, 754_18	 	 	2206_26, 2207_29, 2208_28	 	2198	 	2774	 	 	2623
Enterococcus faecalis TX4000 (749493.3)	 	 	 	 	526_5	 	160_15	 	527_18	 	 	532_26, 533_29, 534_28	 	524	 	2686	 	 	2029
Enterococcus faecalis TX4244 (749494.3)	 	 	 	 	551_5	 	268_15	 	550_18	 	 	543_28, 544_29, 545_26	 	553	 	151	 	 	1776
Enterococcus faecalis TX4248 (749495.4)	 	 	 	 	1244_5	 	1891_15	 	1245_18	 	 	1250_26	 	1242	 	2354	 	 	280
Enterococcus faecalis UAA1014 (1158546.3)	 	 	 	 	2385_5	 	2481_15	 	2384_18	 	 	2378_29, 2379_26	 	2387	 	2577	 	 	1823
Enterococcus faecalis UAA1180 (1158552.3)	 	 	 	 	2166_5	 	2318_15	 	2165_18	 	 	2159_29, 2160_26	 	2168	 	2414	 	 	1601
Enterococcus faecalis UAA1489 (1158976.3)	 	 	 	1304_11	2680_5	 	2795_15	 	2679_18	 	 	 	 	2682	 	2950	 	 	1991
Enterococcus faecalis UAA409 (1158637.3)	 	 	 	 	2262_5	 	2358_15	 	2261_18, 2602_18	 	 	2254_28, 2255_29, 2256_26	 	2264	 	222	 	 	1666
Enterococcus faecalis UAA702 (1158640.3)	 	 	 	 	2477_5	 	2577_15	 	2476_18	 	 	2469_28, 2470_29	 	2479	 	2717	 	 	1925
Enterococcus faecalis UAA769 (1157369.3)	 	 	 	 	2715_5	 	2870_15	 	2714_18	 	 	2708_29, 2709_26	 	2717	 	652	 	 	2049
Enterococcus faecalis UAA823 (1157370.3)	 	 	 	1342_11	2566_5	 	2740_15	 	2565_18	 	 	 	 	2568	 	2903	 	 	1958
Enterococcus faecalis UAA902 (1157371.3)	 	 	 	 	2304_5	 	2405_15	 	2303_18	 	 	2297_29, 2298_26	 	2306	 	2490	 	 	1797
Enterococcus faecalis UAA903 (1157372.3)	 	 	 	 	2305_5	 	2407_15	 	2304_18	 	 	2298_29, 2299_26	 	2307	 	2492	 	 	1798
Enterococcus faecalis UAA904 (1157373.3)	 	 	 	 	2298_5	 	2398_15	 	2297_18	 	 	2291_29, 2292_26	 	2300	 	2483	 	 	1790
Enterococcus faecalis UAA905 (1157374.3)	 	 	 	 	2295_5	 	2397_15	 	2294_18	 	 	2288_29, 2289_26	 	2297	 	2482	 	 	1789
Enterococcus faecalis UAA906 (1157375.3)	 	 	 	 	2264_5	 	2364_15	 	2263_18	 	 	2257_29, 2258_26	 	2266	 	2449	 	 	1756
Enterococcus faecalis UAA907 (1157376.3)	 	 	 	 	2360_5	 	2460_15	 	2359_18	 	 	2353_29, 2354_26	 	2362	 	2545	 	 	1853
Enterococcus faecalis UAA943 (1157377.3)	 	 	 	 	2363_5	 	2463_15	 	2362_18	 	 	2356_29, 2357_26	 	2365	 	2548	 	 	1856
Enterococcus faecalis UAA948 (1158542.3)	 	 	 	 	2554_5	 	2713_15	 	2553_18	 	 	2547_29, 2548_26	 	2556	 	2907	 	 	1892
Enterococcus faecalis V583 (226185.9)	 	 	 	1247_11	2587_5	 	2735_15	 	2586_18	 	 	 	 	2589	 	2847	 	 	1846
Enterococcus faecalis V587 (1158623.3)	 	 	 	1031_11	2397_5	 	2550_15	 	2396_18	 	 	 	 	2399	 	2663	 	 	1639
Enterococcus faecalis WH257 (1158628.3)	 	 	 	 	2426_5	 	2655_15	 	2425_18	 	 	2418_28, 2419_29, 2420_26	 	2428	 	2804	 	 	1772
Enterococcus faecalis WH571 (1158631.3)	 	 	 	 	2548_5	 	2777_15	 	2547_18	 	 	2540_28, 2541_29, 2542_26	 	2550	 	2922	 	 	1889
Enterococcus faecalis X98 (565641.4)	 	 	 	 	1890_5	 	274_15	 	1891_18	 	 	1896_26, 1897_29, 1898_28	 	1888	 	196	 	 	1471
Enterococcus faecalis YI6-1 (1158667.3)	 	 	 	 	368_5	 	2592_15	 	369_18	 	 	374_26, 375_29, 376_28	 	366	 	2682	 	 	1814
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	 	 	 	 	1627_5	 	2459_15	 	1626_18	 	 	1619_28, 1620_29, 1621_26	 	1629	 	2373	 	 	1012
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	 	 	 	 	2240_5	 	2390_15	 	2239_18	 	 	2232_28, 2234_26	 	2242	 	2488	 	 	 
Enterococcus faecium 1,141,733 (565659.3)	 	 	 	 	 	 	1897_15	 	1023_18	 	929_25, 930_23, 931_24	 	 	 	 	2167	 	 	 
Enterococcus faecium 1,230,933 (565656.3)	 	 	 	 	 	 	1622_15	 	464_18	 	701_24, 702_23, 703_25	 	 	 	 	1885	 	 	245
Enterococcus faecium 1,231,408 (565661.4)	 	 	 	 	 	 	2652_15	 	9_18	 	101_24, 102_23, 103_25	 	 	 	 	1933	 	 	347
Enterococcus faecium 1,231,410 (565660.4)	 	 	 	 	 	 	1018_15	 	439_18	 	343_25, 344_23, 345_24	 	 	 	 	2409	 	 	113
Enterococcus faecium 1,231,501 (565658.4)	 	 	 	 	 	 	1283_15	 	1081_18	 	958_25, 959_23, 960_24	 	 	 	 	2283	 	 	 
Enterococcus faecium 1,231,502 (565657.5)	 	 	 	1684_11	 	 	2614_15	 	177_18	 	84_25, 85_23, 86_24	 	 	 	 	1556	 	 	76
Enterococcus faecium 109 A1 (1157416.3)	 	 	 	 	 	 	2355_15	 	924_18	 	1021_24, 1022_23, 1023_25	 	 	 	 	855	 	 	1264
Enterococcus faecium 2006-70-121 (1157417.3)	 	 	 	 	1273_5	 	359_21	 	1251_18, 1271_18	 	 	 	 	 	 	2305	 	 	 
Enterococcus faecium 504 (1134805.3)	 	 	 	 	 	 	2391_15	 	2431_18	 	280_25, 281_23, 282_24	 	 	 	 	2320	 	 	1369
Enterococcus faecium 505 (1134806.3)	 	 	 	 	84_5	 	544_15	 	781_18, 82_18	 	97_24, 98_23, 99_25	 	 	 	 	1237	 	 	371
Enterococcus faecium 7330381-1 (1157419.3)	 	 	 	 	 	 	1403_15	 	1673_18	 	1773_24, 1774_23, 1775_25	 	 	 	 	1353	 	 	2013
Enterococcus faecium 7330446-2 (1157420.3)	 	 	 	 	 	 	262_15	 	1785_18	 	1684_25, 1685_23, 1686_24	 	 	 	 	1025	 	 	1443
Enterococcus faecium 7330519-3 (1157421.3)	 	 	 	 	 	 	2566_15	 	1352_18	 	1252_25, 1253_23, 1254_24	 	 	 	 	564	 	 	1014
Enterococcus faecium 7330614-1 (1157422.3)	 	 	 	 	 	 	512_15	 	767_18	 	865_24, 866_23, 867_25	 	 	 	 	2424	 	 	1100
Enterococcus faecium 7330884-2 (1157423.3)	 	 	 	 	 	 	788_15	 	1690_18	 	1588_25, 1589_23, 1590_24	 	 	 	 	2245	 	 	1348
Enterococcus faecium 7430166-3 (1157424.3)	 	 	 	 	 	 	799_15	 	1788_18	 	1686_25, 1687_23, 1688_24	 	 	 	 	2458	 	 	1447
Enterococcus faecium 841V03 (1157425.3)	 	 	 	 	 	 	2481_15	 	2046_18	 	1946_25, 1947_23, 1948_24	 	 	 	 	2531	 	 	1704
Enterococcus faecium 9730219-1 (1157429.3)	 	 	 	 	 	 	2338_15	 	1128_18	 	1027_25, 1028_23, 1029_24	 	 	 	 	2449	 	 	789
Enterococcus faecium 9730357-1 (1157430.3)	 	 	 	 	 	 	1111_15	 	2408_18	 	2306_25, 2307_23, 2308_24	 	 	 	 	39	 	 	2066
Enterococcus faecium 9731349-1 (1157431.3)	 	 	 	 	 	 	914_15	 	1548_18	 	1448_25, 1449_23, 1450_24	 	 	 	 	521	 	 	1211
Enterococcus faecium 9731352-4 (1157432.3)	 	 	 	 	 	 	512_15	 	1494_18	 	1395_25, 1396_23, 1397_24	 	 	 	 	2523	 	 	1157
Enterococcus faecium 9830091-5 (1157433.3)	 	 	 	 	 	 	1439_15	 	1406_18	 	1304_25, 1305_23, 1306_24	 	 	 	 	560	 	 	1065
Enterococcus faecium 9830512-2 (1157435.3)	 	 	 	 	 	 	2448_15	 	2178_18	 	2078_25, 2079_23, 2080_24	 	 	 	 	556	 	 	1835
Enterococcus faecium 9830565-4 (1157437.3)	 	 	 	 	 	 	942_15	 	2359_18	 	2258_25, 2259_23, 2260_24	 	 	 	 	39	 	 	2019
Enterococcus faecium 9930238-2 (1157440.3)	 	 	 	 	 	 	892_15	 	2345_18	 	2245_25, 2246_23, 2247_24	 	 	 	 	498	 	 	2010
Enterococcus faecium 9931110-4 (1157441.3)	 	 	 	 	 	 	1877_15	 	1682_18	 	1580_25, 1581_23, 1582_24	 	 	 	 	1824	 	 	1339
Enterococcus faecium A17 Sv1 (1157442.3)	 	 	 	 	 	 	669_15	 	1857_18	 	1756_25, 1757_23, 1758_24	 	 	 	 	557	 	 	1517
Enterococcus faecium ATCC 8459 (1158600.4)	 	 	 	 	 	 	1456_15	 	1885_18	 	2123_24, 2124_23, 2125_25	 	 	 	 	685	 	 	2618
Enterococcus faecium Aus0004 (1155766.14)	 	 	 	 	 	 	2286_15	 	1289_18	 	1190_25, 1191_23, 1192_24	 	 	 	 	2727	 	 	945
Enterococcus faecium C309 (1176489.3)	 	 	 	 	 	 	1539_15	 	1595_18	 	2029_25, 2030_23, 2031_24	 	 	 	 	2612	 	 	170
Enterococcus faecium C68 (565664.3)	 	 	 	 	 	 	1541_15	 	795_18	 	887_24, 888_23, 889_25	 	 	 	 	1279	 	 	1610
Enterococcus faecium CRL1879 (1295527.3)	 	 	 	 	 	 	50_21, 51_21	 	2028_18	 	1094_24, 1095_23, 1096_25	 	 	 	 	2487, 2488	 	 	2919
Enterococcus faecium Com12 (565662.4)	 	 	 	 	 	 	2143_15	 	750_18	 	655_25, 656_23, 657_24	 	 	 	 	2281	 	 	420
Enterococcus faecium Com15 (565663.4)	 	 	 	 	 	 	1547_15	 	762_18	 	666_25, 667_23, 668_24	 	 	 	 	2255	 	 	424
Enterococcus faecium D344SRF (565665.3)	 	 	 	 	 	 	1645_15	 	107_18	 	204_24, 205_23, 206_25	 	 	 	 	69	 	 	 
Enterococcus faecium E0045 (1138880.3)	 	 	 	 	 	 	2449_15	 	1190_18	 	1086_25, 1087_25, 1088_23, 1089_24	 	 	 	 	2193	 	 	840
Enterococcus faecium E0120 (1138881.3)	 	 	 	 	 	 	2167_15	 	55_18	 	152_24, 153_23, 154_25	 	 	 	 	2514	 	 	482
Enterococcus faecium E0164 (1138882.3)	 	 	 	 	 	 	1852_15	 	39_18	 	150_24, 151_23, 152_25	 	 	 	 	2206	 	 	398
Enterococcus faecium E0269 (1138883.3)	 	 	 	 	 	 	2092_15	 	767_18	 	865_24, 866_23, 867_25	 	 	 	 	2433	 	 	1107
Enterococcus faecium E0333 (1138884.3)	 	 	 	 	 	 	1078_15	 	57_18	 	156_24, 157_23, 158_25	 	 	 	 	2447	 	 	401
Enterococcus faecium E0679 (1138885.3)	 	 	 	 	 	 	991_15	 	734_18	 	632_25, 633_23, 634_24	 	 	 	 	2256	 	 	398
Enterococcus faecium E0680 (1138886.3)	 	 	 	 	 	 	2003_15	 	1132_18	 	1033_25, 1034_23, 1035_24	 	 	 	 	2052	 	 	795
Enterococcus faecium E0688 (1138887.3)	 	 	 	 	 	 	1478_15	 	1203_18	 	1102_25, 1103_23, 1104_24	 	 	 	 	2261	 	 	152
Enterococcus faecium E1007 (1138888.3)	 	 	 	 	 	 	289_15	 	591_18	 	687_24, 688_23, 689_25	 	 	 	 	2403	 	 	928
Enterococcus faecium E1039 (645663.4)	 	 	 	 	 	 	2425_15	 	1703_18	 	2016_24, 2017_23, 2018_23, 2019_25, 2020_25	 	 	 	 	991	 	 	708
Enterococcus faecium E1050 (1138889.3)	 	 	 	 	 	 	2025_15	 	1653_18	 	1554_25, 1555_23, 1556_24	2769_26	 	 	 	2448	 	 	1309
Enterococcus faecium E1071 (535205.4)	 	 	 	 	 	 	389_15	 	749_18	 	853_25, 854_23, 855_24	 	 	 	 	2379	 	 	2218
Enterococcus faecium E1133 (1138890.3)	 	 	 	2478_11	 	 	2358_15	 	888_18	 	785_25, 786_23, 787_24	 	 	 	 	1484	 	 	541
Enterococcus faecium E1162 (535206.4)	 	 	 	 	 	 	405_15	 	1873_18	 	1965_24, 1966_23, 1967_25	 	 	 	 	2175	 	 	1214
Enterococcus faecium E1185 (1138891.3)	 	 	 	 	 	 	2288_15	 	1270_18	 	1168_25, 1169_23, 1170_24	 	 	 	 	2456	 	 	938
Enterococcus faecium E1258 (1138892.3)	 	 	 	 	 	 	2042_15	 	1261_18	 	1163_25, 1164_23, 1165_24	 	 	 	 	2452	 	 	922
Enterococcus faecium E1293 (1138893.3)	 	 	 	 	 	 	1996_15	 	1717_18	 	1618_25, 1619_23, 1620_24	 	 	 	 	2492	 	 	1378
Enterococcus faecium E1321 (1138930.3)	 	 	 	1896_11	 	 	2081_15	 	57_18	 	154_24, 155_23, 156_25	 	 	 	 	2000	 	 	401
Enterococcus faecium E1392 (1138894.3)	 	 	 	 	 	 	1115_15	 	40_18	 	138_24, 139_23, 140_25	 	 	 	 	2038	 	 	382
Enterococcus faecium E1552 (1138895.3)	 	 	 	 	 	 	2184_15	 	1208_18	 	1106_25, 1107_23, 1108_24	 	 	 	 	1785	 	 	867
Enterococcus faecium E1573 (1138896.3)	 	 	 	 	 	 	2082_15	 	1732_18	 	1829_24, 1830_23, 1831_25	 	 	 	 	1098	 	 	15
Enterococcus faecium E1574 (1138897.3)	 	 	 	 	 	 	2085_15	 	56_18	 	153_24, 154_23, 155_25	 	 	 	 	2434	 	 	408
Enterococcus faecium E1575 (1138898.3)	 	 	 	 	 	 	234_15	 	286_18	 	387_24, 388_23, 389_25	 	 	 	 	2117	 	 	619
Enterococcus faecium E1576 (1138899.3)	 	 	 	 	 	 	2099_15	 	1272_18	 	1370_24, 1371_23, 1372_25	 	 	 	 	2176	 	 	722
Enterococcus faecium E1578 (1138900.3)	 	 	 	 	 	 	1946_15	 	1660_18	 	1560_25, 1561_23, 1562_24	 	 	 	 	2361	 	 	1313
Enterococcus faecium E1590 (1138901.3)	 	 	 	 	 	 	2782_15	 	1040_18	 	1135_24, 1136_23, 1137_25	 	 	 	 	2483	 	 	 
Enterococcus faecium E1604 (1138902.3)	 	 	 	 	 	 	346_15	 	658_18	 	789_24, 790_23, 791_25	 	 	 	 	2594	 	 	1030
Enterococcus faecium E1613 (1138903.3)	 	 	 	 	 	 	1612_15	 	542_18	 	644_24, 645_23, 646_25	 	 	 	 	1668	 	 	894
Enterococcus faecium E1620 (1138904.3)	 	 	 	 	 	 	947_15	 	1205_18	 	1307_24, 1308_23, 1309_25	 	 	 	 	2217	 	 	1541
Enterococcus faecium E1622 (1138905.3)	 	 	 	 	 	 	2011_15	 	79_18	 	176_24, 177_23, 178_25	 	 	 	 	2352	 	 	423
Enterococcus faecium E1623 (1138906.3)	 	 	 	 	 	 	2225_15	 	1598_18	 	1496_25, 1497_23, 1498_24	 	 	 	 	2298	 	 	818
Enterococcus faecium E1626 (1138907.3)	 	 	 	 	 	 	44_15	 	903_18	 	803_25, 804_23, 805_24	 	 	 	 	2385	 	 	545
Enterococcus faecium E1627 (1138908.3)	 	 	 	 	 	 	2248_15	 	45_18	 	143_24, 144_23, 145_25	 	 	 	 	2403	 	 	412
Enterococcus faecium E1630 (1138909.3)	 	 	 	 	 	 	1792_15	 	1286_18	 	1182_25, 1183_23, 1184_24, 1186_24	 	 	 	 	2144	 	 	923
Enterococcus faecium E1634 (1138910.3)	 	 	 	 	 	 	2243_15	 	783_18	 	684_25, 685_23, 686_24	 	 	 	 	1383	 	 	440
Enterococcus faecium E1636 (544875.4)	 	 	 	 	 	 	1681_15	 	1348_18	 	2097_23, 2098_25	 	 	 	 	961	 	 	1200
Enterococcus faecium E1644 (1138931.3)	 	 	 	 	 	 	1995_15	 	988_18	 	1088_24, 1089_23, 1090_25	 	 	 	 	2432	 	 	1335
Enterococcus faecium E1731 (1138913.3)	 	 	 	 	 	 	1783_15	 	598_18	 	696_24, 697_23, 698_25	 	 	 	 	2633	 	 	940
Enterococcus faecium E1861 (1138914.3)	 	 	 	 	 	 	2086_15	 	49_18	 	145_24, 146_23, 147_23, 148_25	 	 	 	 	2581	 	 	394
Enterococcus faecium E1904 (1138915.3)	 	 	 	 	 	 	2314_15	 	506_18	 	397_25, 398_23, 399_24	 	 	 	 	1577	 	 	142
Enterococcus faecium E1972 (1138916.3)	 	 	 	 	 	 	1657_15	 	1342_18	 	1243_25, 1244_23, 1245_24	 	 	 	 	2560	 	 	995
Enterococcus faecium E2039 (1138917.3)	 	 	 	 	 	 	2414_15	 	888_18	 	785_25, 786_25, 787_23, 788_24	 	 	 	 	2706	 	 	549
Enterococcus faecium E2071 (1138918.3)	 	 	 	 	 	 	2524_15	 	960_18	 	1060_24, 1061_23, 1062_25	 	 	 	 	2390	 	 	1310
Enterococcus faecium E2134 (1138919.3)	 	 	 	 	 	 	281_15	 	608_18	 	707_24, 708_23, 709_25	 	 	 	 	2337	 	 	952
Enterococcus faecium E2297 (1138920.3)	 	 	 	 	 	 	1023_15	 	996_18	 	893_25, 894_23, 895_24	 	 	 	 	2153	 	 	648
Enterococcus faecium E2369 (1138932.3)	 	 	 	 	 	 	526_15	 	619_18	 	718_24, 719_23, 720_25	 	 	 	 	2470	 	 	969
Enterococcus faecium E2560 (1138933.3)	 	 	 	2493_11	 	 	15_15	 	1122_18	 	1020_25, 1021_23, 1022_24	 	 	 	 	2591	 	 	774
Enterococcus faecium E2620 (1138921.3)	 	 	 	 	 	 	285_15	 	566_18	 	663_24, 664_23, 665_25	 	 	 	 	2479	 	 	 
Enterococcus faecium E2883 (1138922.3)	 	 	 	 	 	 	1771_15	 	741_18	 	838_24, 839_23, 840_25	 	 	 	 	2631	 	 	1082
Enterococcus faecium E2966 (1138923.3)	 	 	 	 	 	 	2624_15	 	1636_18	 	1534_25, 1535_23, 1536_24	 	 	 	 	530	 	 	1297
Enterococcus faecium E3083 (1138924.3)	 	 	 	 	 	 	2107_15	 	70_18	 	164_24, 165_23, 166_25	 	 	 	 	2501	 	 	411
Enterococcus faecium E3346 (1138925.3)	 	 	 	 	 	 	1696_15	 	27_18	 	128_24, 129_23, 130_25	 	 	 	 	 	 	 	388
Enterococcus faecium E3548 (1138926.3)	 	 	 	 	 	 	2300_15	 	57_18	 	150_24, 151_23, 152_25	 	 	 	 	1979	 	 	400
Enterococcus faecium E4215 (1138929.3)	 	 	 	 	 	 	1986_15	 	2202_18	 	2305_24, 2306_23, 2307_25	 	 	 	 	2041	 	 	1388
Enterococcus faecium E4389 (1138934.3)	 	 	 	 	 	 	2119_15	 	59_18	 	158_24, 159_23, 160_25	 	 	 	 	2280	 	 	402
Enterococcus faecium E6012 (1138935.3)	 	 	 	 	 	 	2687_15	 	1397_18	 	1297_25, 1298_23, 1299_24	 	 	 	 	2197	 	 	1050
Enterococcus faecium E6045 (1138936.3)	 	 	 	 	 	 	2213_15	 	1161_18	 	1257_24, 1258_23, 1259_25	 	 	 	 	39	 	 	1504
Enterococcus faecium E8sv3 (1157443.3)	 	 	 	 	 	 	1955_15	 	1685_18	 	1584_25, 1585_23, 1586_24	 	 	 	 	2287	 	 	1345
Enterococcus faecium E980 (529885.3)	 	 	 	 	 	 	181_15	 	1416_18	 	116_23, 117_25	 	 	 	 	2267	 	 	720
Enterococcus faecium ERV1 (1134819.3)	 	 	 	 	 	 	1488_15	 	2543_18	 	2641_24, 2642_23, 2643_25	 	 	 	 	1786	 	 	40
Enterococcus faecium EnGen0305 (1158641.3)	 	 	 	 	 	 	2411_15	 	940_18	 	841_25, 842_23, 843_24	 	 	 	 	2018	 	 	591
Enterococcus faecium EnGen0308 (1158642.3)	 	 	 	 	 	 	42_15	 	669_18	 	769_24, 770_23, 771_25	 	 	 	 	2457	 	 	1010
Enterococcus faecium EnGen0312 (1158652.3)	 	 	 	 	 	 	1892_15	 	1526_18	 	1429_25, 1430_23, 1431_24	 	 	 	 	458	 	 	1186
Enterococcus faecium EnGen0314 (1158646.3)	 	 	 	 	 	 	853_15	 	1903_18	 	1806_25, 1807_23, 1808_24	 	 	 	 	800	 	 	1565
Enterococcus faecium EnGen0316 (1158647.3)	 	 	 	 	 	 	1620_15	 	2676_18	 	2577_25, 2578_23, 2579_24	 	 	 	 	1215	 	 	2338
Enterococcus faecium EnGen0318 (1158648.3)	 	 	 	 	 	 	2708_15	 	2346_18	 	2247_25, 2248_23, 2249_24	 	 	 	 	1227	 	 	2007
Enterococcus faecium EnGen0319 (1158649.3)	 	 	 	 	 	 	2702_15	 	2627_18	 	2529_25, 2530_23, 2531_24	 	 	 	 	1596	 	 	2291
Enterococcus faecium EnGen0321 (1158650.3)	 	 	 	 	 	 	805_15	 	1864_18	 	1765_25, 1766_23, 1767_24	 	 	 	 	1997	 	 	1523
Enterococcus faecium EnGen0323 (1158651.3)	 	 	 	 	 	 	2482_15	 	1601_18	 	1502_25, 1503_23, 1504_24	 	 	 	 	517	 	 	1259
Enterococcus faecium EnGen0375 (1138937.4)	 	 	 	 	 	 	1938_15	 	1838_18	 	1736_25, 1737_23, 1738_24	 	 	 	 	984	 	 	1495
Enterococcus faecium EnGen0376 (1138938.4)	 	 	 	 	 	 	1852_15	 	1486_18	 	1384_25, 1385_23, 1386_24	 	 	 	 	703	 	 	1140
Enterococcus faecium EnGen0377 (1138939.4)	 	 	 	 	 	 	2447_15	 	1375_18	 	1474_24, 1475_23, 1476_25	 	 	 	 	1119	 	 	1717
Enterococcus faecium F9730129-1 (1157479.3)	 	 	 	 	 	 	985_15	 	1691_18	 	1585_25, 1586_23, 1588_24	 	 	 	 	491	 	 	 
Enterococcus faecium H17243 (1157444.3)	 	 	 	 	 	 	600_15	 	1228_18	 	1327_24, 1328_23, 1329_25	 	 	 	 	1760	 	 	2697
Enterococcus faecium H17575 (1157446.3)	 	 	 	 	 	 	1666_15	 	1633_18	 	1532_25, 1533_23, 1534_24	 	 	 	 	894	 	 	1294
Enterococcus faecium HF50104 (1157480.3)	 	 	 	 	 	 	969_15	 	2133_18	 	2031_25, 2032_23, 2033_24	 	 	 	 	611	 	 	1791
Enterococcus faecium HF50105 (1157481.3)	 	 	 	 	 	 	1735_15	 	1482_18	 	1381_25, 1382_23, 1383_24	 	 	 	 	2445	 	 	1140
Enterococcus faecium HF50106 (1157482.3)	 	 	 	 	 	 	1841_15	 	1808_18	 	1708_25, 1709_23, 1710_24	 	 	 	 	845	 	 	1468
Enterococcus faecium HF50203 (1157483.3)	 	 	 	 	 	 	792_15	 	1229_18	 	1326_24, 1327_23, 1328_25	 	 	 	 	2487	 	 	1562
Enterococcus faecium HF50204 (1157484.3)	 	 	 	 	 	 	2080_15	 	2046_18	 	1945_25, 1946_23, 1947_24	 	 	 	 	1302	 	 	1704
Enterococcus faecium HF50215 (1157485.3)	 	 	 	 	 	 	980_15	 	2598_18	 	2497_25, 2498_23, 2499_24	 	 	 	 	852	 	 	2187
Enterococcus faecium HM1071 (1157447.3)	 	 	 	 	 	 	1734_15	 	1420_18	 	1322_25, 1323_23, 1324_24	 	 	 	 	2812	 	 	1082
Enterococcus faecium HM1072 (1157487.3)	 	 	 	 	 	 	932_15	 	1718_18	 	1818_24, 1819_23, 1820_25	 	 	 	 	792	 	 	2052
Enterococcus faecium HM1073 (1157486.3)	 	 	 	 	 	 	1170_15	 	1510_18	 	1610_24, 1611_23, 1612_25	 	 	 	 	611	 	 	1923
Enterococcus faecium HM1074 (1157448.3)	 	 	 	 	 	 	2400_15	 	1146_18	 	1046_25, 1047_23, 1048_24	 	 	 	 	2539	 	 	815
Enterococcus faecium LCT-EF128 (1178528.3)	 	 	 	 	 	 	1895_15	 	1614_18	 	1518_25, 1519_23, 1520_24	 	 	 	 	2291	 	 	1279
