Organism	Tor	Dms	Ynf
Streptococcus pneumoniae GA62331 (1131630.3)	 	 	 
Streptococcus pneumoniae GA62681 (1131629.3)	 	 	 
Streptococcus pneumoniae Hungary19A-6 (487214.5)	 	 	 
Streptococcus pneumoniae INV104 (869269.3)	 	 	 
Streptococcus pneumoniae INV200 (869216.3)	 	 	 
Streptococcus pneumoniae JJA (488222.3)	 	 	 
Streptococcus pneumoniae MLV-016 (453366.3)	 	 	 
Streptococcus pneumoniae MNZ11b (1315307.3)	 	 	 
Streptococcus pneumoniae MNZ14 (1315308.3)	 	 	 
Streptococcus pneumoniae MNZ37 (1315309.3)	 	 	 
Streptococcus pneumoniae MNZ41 (1315310.3)	 	 	 
Streptococcus pneumoniae NP070 (760884.3)	 	 	 
Streptococcus pneumoniae NP112 (760882.3)	 	 	 
Streptococcus pneumoniae NP127 (760886.3)	 	 	 
Streptococcus pneumoniae NP141 (760883.3)	 	 	 
Streptococcus pneumoniae NorthCarolina6A-23 (760887.3)	 	 	 
Streptococcus pneumoniae OXC141 (869215.3)	 	 	 
Streptococcus pneumoniae P1031 (488223.4)	 	 	 
Streptococcus pneumoniae PCS125219 (1159084.3)	 	 	 
Streptococcus pneumoniae PCS70012 (1159085.3)	 	 	 
Streptococcus pneumoniae PCS8106 (1159081.3)	 	 	 
Streptococcus pneumoniae PNI0002 (1159087.3)	 	 	 
Streptococcus pneumoniae PNI0006 (1159088.3)	 	 	 
Streptococcus pneumoniae PNI0010 (1159092.3)	 	 	 
Streptococcus pneumoniae PNI0153 (1159094.3)	 	 	 
Streptococcus pneumoniae R6 (171101.6)	 	 	 
Streptococcus pneumoniae R6M2-PG (1089300.3)	 	 	 
Streptococcus pneumoniae SP11-BS70 (406559.5)	 	 	 
Streptococcus pneumoniae SP14-BS292 (497962.4)	 	 	 
Streptococcus pneumoniae SP18-BS74 (406561.5)	 	 	 
Streptococcus pneumoniae SP19-BS75 (406562.5)	 	 	 
Streptococcus pneumoniae SP195 (453363.4)	 	 	 
Streptococcus pneumoniae SP23-BS72 (406563.4)	 	 	 
Streptococcus pneumoniae SP3-BS71 (406556.6)	 	 	 
Streptococcus pneumoniae SP6-BS73 (406557.5)	 	 	 
Streptococcus pneumoniae SP9-BS68 (406558.6)	 	 	 
Streptococcus pneumoniae SPAR27 (1159209.3)	 	 	 
Streptococcus pneumoniae SPAR55 (1159211.3)	 	 	 
Streptococcus pneumoniae SPAR95 (1159212.3)	 	 	 
Streptococcus pneumoniae SPN021198 (869308.3)	 	 	 
Streptococcus pneumoniae SPN032672 (869311.3)	 	 	 
Streptococcus pneumoniae SPN033038 (869312.3)	 	 	 
Streptococcus pneumoniae SPN034156 (869303.3)	 	 	 
Streptococcus pneumoniae SPN034183 (869304.3)	 	 	 
Streptococcus pneumoniae SPN061370 (869801.3)	 	 	 
Streptococcus pneumoniae SPN072838 (869305.3)	 	 	 
Streptococcus pneumoniae SPN1041 (869310.3)	 	 	 
Streptococcus pneumoniae SPN7465 (869313.3)	 	 	 
Streptococcus pneumoniae SPNA45 (869309.3)	 	 	 
Streptococcus pneumoniae ST556 (1130804.3)	 	 	 
Streptococcus pneumoniae SV35 (497738.3)	 	 	 
Streptococcus pneumoniae SV36 (497739.3)	 	 	 
Streptococcus pneumoniae TCH8431/19A (525381.4)	 	 	 
Streptococcus pneumoniae TIGR4 (170187.11)	 	 	 
Streptococcus pneumoniae Taiwan19F-14 (487213.3)	 	 	 
Streptococcus pneumoniae gamPNI0373 (697283.3)	 	 	 
Streptococcus pseudopneumoniae IS7493 (1054460.4)	 	 	 
Streptococcus salivarius 57.I (1046629.4)	 	 	 
Streptococcus salivarius JIM8777 (347253.5)	 	 	 
Streptococcus salivarius K12 (1200793.3)	 	 	 
Streptococcus salivarius M18 (1074494.5)	 	 	 
Streptococcus salivarius PS4 (1157946.4)	 	 	 
Streptococcus salivarius SK126 (596322.3)	 	 	 
Streptococcus sanguinis ATCC 29667 (997356.4)	 	 	 
Streptococcus sanguinis ATCC 49296 (888049.3)	 	 	 
Streptococcus sanguinis SK1 (888807.3)	 	 	 
Streptococcus sanguinis SK1056 (888820.3)	 	 	 
Streptococcus sanguinis SK1057 (888821.3)	 	 	 
Streptococcus sanguinis SK1058 (888822.3)	 	 	 
Streptococcus sanguinis SK1059 (888823.3)	 	 	 
Streptococcus sanguinis SK1087 (888824.3)	 	 	 
Streptococcus sanguinis SK115 (888810.3)	 	 	 
Streptococcus sanguinis SK150 (888811.3)	 	 	 
Streptococcus sanguinis SK160 (888812.3)	 	 	 
Streptococcus sanguinis SK330 (888813.3)	 	 	 
Streptococcus sanguinis SK340 (888814.4)	 	 	 
Streptococcus sanguinis SK353 (888815.3)	 	 	 
Streptococcus sanguinis SK355 (888816.3)	 	 	 
Streptococcus sanguinis SK36 (388919.9)	 	 	 
Streptococcus sanguinis SK405 (888817.3)	 	 	 
Streptococcus sanguinis SK408 (888818.3)	 	 	 
Streptococcus sanguinis SK49 (888808.3)	 	 	 
Streptococcus sanguinis SK678 (888819.3)	 	 	 
Streptococcus sanguinis SK72 (888809.3)	 	 	 
Streptococcus sanguinis VMC66 (888825.3)	 	 	 
Streptococcus sp. 2_1_36FAA (469609.3)	 	 	 
Streptococcus thermophilus CNRZ1066 (299768.6)	 	 	 
Streptococcus thermophilus JIM 8232 (1051074.3)	 	 	 
Streptococcus thermophilus LMD-9 (322159.8)	 	 	 
Streptococcus thermophilus LMG 18311 (264199.4)	 	 	 
Streptococcus thermophilus MN-ZLW-002 (1187956.3)	 	 	 
Streptococcus thermophilus ND03 (767463.3)	 	 	 
Streptococcus thoraltensis DSM 12221 (1123318.3)	 	 	 
Streptococcus uberis 0140J (218495.5)	 	 	 
Streptococcus vestibularis ATCC 49124 (889206.3)	 	 	 
Streptococcus vestibularis F0396 (904306.3)	 	 	 
Butyricicoccus pullicaecorum 1.2 (1203606.4)	 	 	 
Clostridium acetobutylicum ATCC 824 (272562.8)	 	 	 
Clostridium acetobutylicum DSM 1731 (991791.3)	 	 	 
Clostridium acetobutylicum EA 2018 (863638.3)	 	 	 
Clostridium asparagiforme DSM 15981 (518636.5)	 	2193_16, 2194_13	 
Clostridium bartlettii DSM 16795 (445973.7)	 	 	 
Clostridium beijerinckii G117 (1200349.3)	 	 	 
Clostridium beijerinckii NCIMB 8052 (290402.41)	 	 	 
Clostridium bolteae 90B8 (997897.5)	 	 	 
Clostridium bolteae ATCC BAA-613 (411902.9)	 	 	 
Clostridium botulinum A str. ATCC 19397 (441770.6)	 	 	 
Clostridium botulinum A str. ATCC 3502 (413999.7)	 	 	 
Clostridium botulinum A str. Hall (441771.6)	 	 	 
Clostridium botulinum A2 str. Kyoto (536232.3)	 	 	 
Clostridium botulinum A3 str. Loch Maree (498214.7)	 	 	 
Clostridium botulinum B str. Eklund 17B (508765.6)	 	 	 
Clostridium botulinum B1 str. Okra (498213.7)	 	 	 
Clostridium botulinum Ba4 str. 657 (515621.3)	 	 	 
Clostridium botulinum BKT015925 (929506.3)	 	 	 
Clostridium botulinum CB11/1-1 (1289590.3)	 	 	 
Clostridium botulinum CDC66177 (1221327.3)	 	 	 
Clostridium botulinum D str. 1873 (592027.3)	 	 	 
Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)	 	 	 
Clostridium botulinum E3 str. Alaska E43 (508767.5)	 	 	 
Clostridium botulinum F str. 230613 (758678.3)	 	 	 
Clostridium botulinum F str. Langeland (441772.13)	 	 	 
Clostridium botulinum H04402 065 (941968.4)	 	 	 
Clostridium butyricum 60E.3 (997898.4)	 	 	 
Clostridium butyricum DKU-01 (1306409.3)	 	 	 
Clostridium butyricum DSM 10702 (1316931.3)	 	 	 
Clostridium butyricum E4 str. BoNT E BL5262 (632245.3)	 	 	 
Clostridium celatum DSM 1785 (545697.3)	 	 	 
Clostridium citroniae WAL-17108 (742733.3)	 	 	 
Clostridium clariflavum DSM 19732 (720554.3)	 	 	 
Clostridium clostridioforme 2_1_49FAA (742735.4)	 	 	 
Clostridium clostridioforme 90A1 (999403.4)	 	 	 
Clostridium clostridioforme 90A3 (999404.4)	 	 	 
Clostridium clostridioforme 90A4 (999405.4)	 	 	 
Clostridium clostridioforme 90A6 (999406.3)	 	 	 
Clostridium clostridioforme 90A8 (999408.3)	 	 	 
Clostridium clostridioforme 90B1 (999409.3)	 	 	 
Clostridium clostridioforme CM201 (999410.3)	 	 	 
Clostridium difficile 6503 (691160.5)	 	 	 
Clostridium difficile 2007855 (699033.6)	 	 	 
Clostridium difficile 630 (272563.8)	 	 	 
Clostridium difficile ATCC 43255 (499175.4)	 	1808_16, 1809_13	 
Clostridium difficile BI1 (699034.5)	 	 	 
Clostridium difficile CD196 (645462.3)	 	 	 
Clostridium difficile CIP 107932 (499176.4)	 	 	 
Clostridium difficile M120 (699035.5)	 	2241_17, 2242_14	 
Clostridium difficile M68 (699037.5)	 	 	 
Clostridium difficile NAP07 (525258.3)	 	2828_17, 2829_14	 
Clostridium difficile NAP08 (525259.3)	 	44_14, 45_17	 
Clostridium difficile QCD-23m63 (499174.4)	 	1571_17, 1572_14	 
Clostridium difficile QCD-37x79 (479834.4)	 	 	 
Clostridium difficile QCD-63q42 (479831.4)	 	1444_16, 1445_13	 
Clostridium difficile QCD-66c26 (455631.3)	 	 	 
Clostridium difficile QCD-76w55 (479832.7)	 	 	 
Clostridium difficile QCD-97b34 (479833.4)	 	 	 
Clostridium difficile R20291 (645463.3)	 	 	 
Clostridium hiranonis DSM 13275 (500633.7)	 	 	 
Clostridium hylemonae DSM 15053 (553973.6)	 	 	 
Clostridium leptum DSM 753 (428125.8)	 	 	 
Clostridium methylpentosum DSM 5476 (537013.3)	 	 	 
Clostridium nexile DSM 1787 (500632.7)	 	 	 
Clostridium perfringens ATCC 13124 (195103.10)	 	 	 
Clostridium perfringens F262 (883064.3)	 	 	 
Clostridium perfringens SM101 (289380.15)	 	 	 
Clostridium perfringens WAL-14572 (742739.3)	 	 	 
Clostridium perfringens str. 13 (195102.6)	 	 	 
Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.5)	 	2344_13, 2345_16	 
Clostridium sartagoforme AAU1 (1202534.3)	 	 	 
Clostridium scindens ATCC 35704 (411468.9)	 	 	 
Clostridium sp. 7_2_43FAA (457396.3)	 	 	 
Clostridium sp. L2-50 (411489.7)	 	 	 
Clostridium sp. M62/1 (411486.3)	 	 	 
Clostridium sp. SS2/1 (411484.7)	 	 	 
Clostridium sp. SY8519 (1042156.4)	 	 	 
Clostridium sporogenes ATCC 15579 (471871.7)	 	 	 
Clostridium sporogenes PA 3679 (1075091.3)	 	 	 
Clostridium sporosphaeroides DSM 1294 (1121334.3)	 	 	 
Clostridium sticklandii DSM 519 (499177.3)	 	 	 
Clostridium symbiosum WAL-14163 (742740.3)	 	 	 
Clostridium symbiosum WAL-14673 (742741.3)	 	 	 
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.4)	 	 	 
Clostridium tyrobutyricum UC7086 (1212547.3)	 	 	 
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	 	 	 
Anaerococcus prevotii DSM 20548 (525919.6)	 	 	 
Anaerococcus vaginalis ATCC 51170 (655811.4)	 	 	 
Finegoldia magna ACS-171-V-Col3 (768713.4)	 	 	 
Finegoldia magna ATCC 29328 (334413.6)	 	 	 
Finegoldia magna ATCC 53516 (525282.5)	 	 	 
Finegoldia magna BVS033A4 (866773.4)	 	 	 
Finegoldia magna SY403409CC001050417 (866779.4)	 	 	 
Parvimonas micra ATCC 33270 (411465.10)	 	 	 
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)	 	 	 
Peptoniphilus indolicus ATCC 29427 (997350.3)	 	 	 
Peptoniphilus lacrimalis 315-B (596330.3)	 	 	 
Peptoniphilus lacrimalis DSM 7455 (1122949.3)	 	 	 
Peptoniphilus timonensis JC401 (1095770.3)	 	 	 
Anaerofustis stercorihominis DSM 17244 (445971.6)	 	 	 
Eubacterium cellulosolvens 6 (633697.3)	 	 	 
Eubacterium eligens ATCC 27750 (515620.4)	 	 	 
Eubacterium hallii DSM 3353 (411469.3)	 	 	 
Eubacterium limosum KIST612 (903814.3)	 	 	 
Eubacterium rectale ATCC 33656 (515619.6)	 	 	 
Eubacterium rectale DSM 17629 (657318.4)	 	 	 
Eubacterium rectale M104/1 (657317.3)	 	 	 
Eubacterium saphenum ATCC 49989 (592031.3)	 	 	 
Eubacterium siraeum 70/3 (657319.3)	 	 	 
Eubacterium siraeum DSM 15702 (428128.7)	 	 	 
Eubacterium siraeum V10Sc8a (717961.3)	 	 	 
Eubacterium ventriosum ATCC 27560 (411463.4)	 	 	 
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	 	 	 
Anaerostipes caccae DSM 14662 (411490.6)	 	 	 
Anaerostipes hadrus DSM 3319 (649757.3)	 	 	 
Anaerostipes sp. 3_2_56FAA (665937.3)	 	 	 
Blautia producta ATCC 27340 (1121114.4)	 	 	 
Bryantella formatexigens DSM 14469 (478749.5)	 	 	 
Butyrivibrio crossotus DSM 2876 (511680.4)	 	 	 
Butyrivibrio fibrisolvens 16/4 (657324.3)	 	 	 
Coprococcus catus GD/7 (717962.3)	 	 	 
Coprococcus comes ATCC 27758 (470146.3)	 	 	 
Coprococcus eutactus ATCC 27759 (411474.6)	 	 	 
Dorea formicigenerans ATCC 27755 (411461.4)	 	 	 
Dorea longicatena DSM 13814 (411462.6)	 	 	 
Oribacterium sinus F0268 (585501.3)	 	 	 
Roseburia hominis A2-183 (585394.18)	 	 	 
Roseburia intestinalis L1-82 (536231.5)	 	 	 
Roseburia intestinalis XB6B4 (718255.3)	 	 	 
Roseburia inulinivorans DSM 16841 (622312.4)	 	 	 
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	 	 	 
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	 	 	 
Filifactor alocis ATCC 35896 (546269.5)	 	 	 
Peptostreptococcus anaerobius 653-L (596329.3)	 	 	 
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	 	 	 
Peptostreptococcus stomatis DSM 17678 (596315.3)	 	 	 
Clostridium difficile 002-P50-2011 (997827.4)	 	 	 
Clostridium difficile 050-P50-2011 (997828.4)	 	 	 
Clostridium difficile 70-100-2010 (1002369.4)	 	115_13, 116_16	 
Clostridium difficile ATCC 9689 (1121308.3)	 	2738_13, 2739_16	 
Clostridium difficile CD37 (1125976.4)	 	2081_13, 2082_16	 
Clostridium glycolicum ATCC 14880 (1121315.3)	 	 	 
Anaerotruncus colihominis DSM 17241 (445972.6)	 	 	 
Faecalibacterium cf. prausnitzii KLE1255 (748224.3)	 	 	 
Faecalibacterium prausnitzii A2-165 (411483.3)	 	 	 
Faecalibacterium prausnitzii L2-6 (718252.3)	 	 	 
Faecalibacterium prausnitzii M21/2 (411485.10)	 	 	 
Faecalibacterium prausnitzii SL3/3 (657322.3)	 	 	 
Ruminococcus albus 7 (697329.10)	 	 	 
Ruminococcus albus 8 (246199.4)	 	 	 
Ruminococcus bromii L2-63 (657321.5)	 	 	 
Ruminococcus flavefaciens FD-1 (641112.4)	 	 	 
Ruminococcus gnavus ATCC 29149 (411470.6)	 	 	 
Ruminococcus lactaris ATCC 29176 (471875.6)	 	 	 
Ruminococcus obeum A2-162 (657314.3)	 	 	 
Ruminococcus sp. 18P13 (213810.4)	 	 	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	 	 	 
Ruminococcus sp. SR1/5 (657323.3)	 	 	 
Ruminococcus torques ATCC 27756 (411460.6)	 	 	 
Ruminococcus torques L2-14 (657313.3)	 	 	 
Ruminococcaceae bacterium D16 (552398.3)	 	 	 
Acidaminococcus fermentans DSM 20731 (591001.3)	 	 	 
Acidaminococcus sp. D21 (563191.3)	 	 	 
Dialister invisus DSM 15470 (592028.3)	 	 	 
Mitsuokella multacida DSM 20544 (500635.8)	 	 	 
Veillonella atypica ACS-049-V-Sch6 (866776.4)	 	 	 
Veillonella atypica ACS-134-V-Col7a (866778.4)	 	 	 
Veillonella dispar ATCC 17748 (546273.3)	 	 	 
Veillonella parvula ATCC 17745 (686660.3)	 	 	 
Veillonella parvula DSM 2008 (479436.6)	 	 	 
Veillonella sp. 3_1_44 (457416.3)	 	 	 
Veillonella sp. 6_1_27 (450749.3)	 	 	 
Blautia hansenii DSM 20583 (537007.6)	 	 	 
Blautia hydrogenotrophica DSM 10507 (476272.5)	 	 	 
Flavonifractor plautii ATCC 29863 (411475.3)	 	 	 
Clostridiales bacterium 1_7_47FAA (457421.5)	 	4568_16, 4569_13	 
Bulleidia extructa W1219 (679192.3)	 	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	 	 	 
Coprobacillus sp. 29_1 (469596.3)	 	 	 
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	 	 	 
Holdemania filiformis DSM 12042 (545696.5)	 	 	 
Solobacterium moorei F0204 (706433.3)	 	 	 
Clostridium ramosum DSM 1402 (445974.6)	 	 	 
Clostridium spiroforme DSM 1552 (428126.7)	 	 	 
Eubacterium biforme DSM 3989 (518637.5)	 	 	 
Eubacterium cylindroides T2-87 (717960.3)	 	 	 
Eubacterium dolichum DSM 3991 (428127.7)	 	 	 
Clostridium innocuum 2959 (999413.4)	 	 	 
Acidaminococcus intestini RyC-MR95 (568816.4)	 	 	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	 	 	 
Dialister succinatiphilus YIT 11850 (742743.3)	 	 	 
Megamonas funiformis YIT 11815 (742816.3)	 	 	 
Megamonas hypermegale ART12/1 (657316.3)	 	 	 
Megasphaera elsdenii (907.4)	 	 	 
Veillonella parvula ACS-068-V-Sch12 (768727.3)	 	 	 
Veillonella ratti ACS-216-V-Col6b (883156.3)	 	 	 
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	 	 	 
Fusobacterium mortiferum ATCC 9817 (469616.3)	 	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	 	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	 	 	 
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	 	 	 
Fusobacterium periodonticum ATCC 33693 (546275.3)	 	 	 
Fusobacterium sp. 3_1_33 (469603.3)	 	 	 
Fusobacterium sp. 7_1 (457405.3)	 	 	 
Fusobacterium sp. D11 (556264.3)	 	 	 
Fusobacterium ulcerans ATCC 49185 (469617.3)	 	 	 
Fusobacterium varium ATCC 27725 (469618.3)	 	 	 
Leptotrichia buccalis C-1013-b (523794.5)	 	 	 
Fusobacterium gonidiaformans 3-1-5R (469605.7)	 	 	 
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	 	 	 
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	 	 	 
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	 	 	 
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	 	 	 
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	 	 	 
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	 	 	 
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	 	 	 
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	 	 	 
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	 	 	 
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	 	 	 
Fusobacterium periodonticum 1_1_41FAA (469621.8)	 	 	 
Fusobacterium periodonticum 2_1_31 (469599.8)	 	 	 
Fusobacterium russii ATCC 25533 (1278306.3)	 	 	 
Fusobacterium ulcerans 12-1B (457404.5)	 	 	 
Schlesneria paludicola DSM 18645 (1123242.3)	 	 	 
Brevundimonas diminuta 470-4 (1035191.3)	 	 	 
Bartonella quintana RM-11 (1225179.3)	 	 	 
Bartonella quintana str. Toulouse (283165.4)	 	 	 
Afipia birgiae 34632 (1197906.5)	 	 	 
Bradyrhizobium elkanii USDA 76 (398525.3)	 	 	 
Bradyrhizobium japonicum USDA 110 (224911.5)	 	 	 
Bradyrhizobium japonicum USDA 124 (1038862.3)	 	 	 
Bradyrhizobium japonicum USDA 6 (1037409.3)	 	 	 
Bradyrhizobium japonicum WSM2793 (1038866.3)	 	 	 
Ochrobactrum anthropi ATCC 49188 (439375.7)	 	 	 
Ochrobactrum anthropi CTS-325 (1151114.3)	 	 	 
Methylobacterium mesophilicum SR1.6/6 (908290.3)	 	 	 
Methylobacterium populi BJ001 (441620.7)	 	 	 
Methylobacterium radiotolerans JCM 2831 (426355.14)	 	 	 
Mesorhizobium loti MAFF303099 (266835.9)	 	 	 
Mesorhizobium loti NZP2037 (935546.3)	 	 	 
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	 	 	 
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	 	 	 
Agrobacterium tumefaciens str. C58 (176299.10)	 	 	 
Achromobacter xylosoxidans AXX-A (1003200.3)	4207_2, 4208_7, 4209_11	 	 
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	 	 	 
Burkholderia cenocepacia AU 1054 (331271.8)	 	 	 
Burkholderia cenocepacia H111 (1055524.3)	 	1478_18, 1479_16, 1480_13	 
Burkholderia cenocepacia HI2424 (331272.8)	 	 	 
Burkholderia cenocepacia J2315 (216591.5)	 	 	 
Burkholderia cenocepacia MC0-3 (406425.4)	 	 	 
Burkholderia cepacia R18194 (269483.3)	 	 	 
Burkholderia cepacia GG4 (1009846.3)	 	 	 
Cupriavidus metallidurans CH34 (266264.4)	1548_1, 1549_11, 1550_5	 	 
Lautropia mirabilis ATCC 51599 (887898.3)	2258_5, 2259_11, 2260_1	 	 
Ralstonia sp. 5_7_47FAA (658664.3)	 	 	 
Comamonas testosteroni CNB-2 (688245.4)	 	 	 
Comamonas testosteroni NBRC 100989 (1111078.3)	 	 	 
Comamonas testosteroni S44 (563045.3)	 	 	 
Delftia acidovorans CCUG 15835 (883100.3)	 	 	 
Delftia acidovorans CCUG 274B (883101.3)	 	 	 
Delftia acidovorans SPH-1 (398578.5)	 	 	 
Oxalobacter formigenes HOxBLS (556268.6)	 	 	 
Oxalobacter formigenes OXCC13 (556269.4)	 	 	 
Parasutterella excrementihominis YIT 11859 (762966.3)	 	1079_16, 1080_13, 1081_13, 1383_13, 1384_16, 2045_14, 2046_17, 2458_13, 2459_17	 
Sutterella wadsworthensis 2_1_59BFAA (742823.3)	 	1208_13, 1209_16, 1368_13, 1369_16, 2237_16, 2238_13	 
Sutterella wadsworthensis 3_1_45B (742821.3)	 	 	 
Sutterella wadsworthensis HGA0223 (1203554.3)	 	 	 
Burkholderiales bacterium 1_1_47 (469610.4)	 	614_17, 615_14, 884_16, 885_13, 886_13	 
Eikenella corrodens ATCC 23834 (546274.4)	 	 	 
Kingella oralis ATCC 51147 (629741.3)	 	 	 
Laribacter hongkongensis HLHK9 (557598.3)	 	2276_14, 2277_17, 2278_19, 2279_20	 
Neisseria cinerea ATCC 14685 (546262.4)	 	 	 
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3)	 	 	 
Neisseria flavescens NRL30031/H210 (546264.5)	 	 	 
Neisseria flavescens SK114 (596320.3)	 	 	 
Neisseria macacae ATCC 33926 (997348.4)	 	 	 
Neisseria mucosa ATCC 25996 (546266.6)	 	 	 
Neisseria mucosa C102 (435832.3)	 	 	 
Neisseria subflava NJ9703 (546268.4)	 	 	 
Methyloversatilis universalis EHg5 (999628.3)	 	 	 
Methyloversatilis universalis FAM5 (1000565.3)	 	 	 
Aeromonas caviae Ae398 (878320.4)	3861_3, 3862_9	 	 
Aeromonas hydrophila 113 (1268075.3)	1372_3, 1373_9, 1900_2, 1901_7, 1902_11	 	 
Aeromonas hydrophila 14 (1268074.3)	3349_2, 3350_7, 3351_11, 4217_9, 4218_3	 	 
Aeromonas hydrophila 173 (1268076.3)	1596_9, 1597_3, 2532_11, 2533_7, 2534_2	 	 
Aeromonas hydrophila 187 (1268077.3)	147_3, 148_9, 4275_2, 4276_7, 4277_11	 	 
Aeromonas hydrophila 259 (1268079.3)	1362_11, 1363_7, 1364_2, 3302_3, 3303_9	 	 
Aeromonas hydrophila 277 (1268080.3)	1539_9, 1540_3, 3823_11, 3824_7, 3825_2	 	 
Aeromonas hydrophila ML09-119 (1288394.3)	3197_10, 3198_9, 3199_3, 4336_3, 4337_9	 	 
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	2453_9, 2454_3	 	 
Aeromonas hydrophila SSU (1073377.4)	134_11, 135_7, 136_2, 3329_3, 3330_9	 	 
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	4006_3, 4007_9	 	 
Aeromonas media WS (1208104.3)	1279_11, 1280_7, 1281_2, 3730_3, 3731_9	 	 
Aeromonas veronii AER39 (1073382.3)	2934_2, 2935_7, 2936_11, 3427_9, 3428_3	 	 
Aeromonas veronii AER397 (1073384.3)	3977_9, 3978_3, 503_11, 504_7, 505_2	 	 
Aeromonas veronii AMC34 (1073383.3)	1676_11, 1677_7, 1678_2, 555_3, 556_9	 	 
Aeromonas veronii AMC35 (1073385.3)	1261_11, 1262_7, 1263_2, 730_9, 731_9, 732_3	 	 
Aeromonas veronii B565 (998088.4)	3262_2, 3263_7, 3264_11, 3790_3, 3791_9	 	 
Succinatimonas hippei YIT 12066 (762983.3)	 	 	 
Cedecea davisae DSM 4568 (566551.4)	 	1832_20	 
Citrobacter freundii GTC 09629 (1297584.3)	1009_2, 1010_7, 1011_11, 1013_3, 1014_9, 2334_11, 2335_7, 2336_2	4218_14, 4219_17, 4220_19	2662_25, 2663_25, 2664_28, 2665_29, 2666_30
Citrobacter freundii 4_7_47CFAA (742730.3)	2679_2, 2680_7, 2681_7, 2682_11, 2684_3, 2685_9, 4500_11, 4501_7, 4502_2	3022_14, 3023_17, 3024_19	3628_30, 3629_29, 3630_28, 3631_25
Citrobacter freundii GTC 09479 (1288347.3)	2070_2, 2071_7, 2072_11, 4107_9, 4108_3, 4110_11, 4111_7, 4112_2	3675_18, 3676_16, 3677_13	220_30, 221_29, 222_28, 223_25, 224_25
Citrobacter freundii str. ballerup 7851/39 (670484.3)	2088_11, 2089_7, 2090_2, 298_2, 299_7, 300_11, 302_2, 303_9	1266_19, 1267_17, 1268_14, 650_14, 651_17, 652_19	1265_30
Citrobacter koseri ATCC BAA-895 (290338.8)	1539_9, 1540_3	1813_19, 1815_14	1333_25, 1334_26, 1335_28, 1336_29, 1337_30, 1814_28
Citrobacter sp. 30_2 (469595.3)	1188_2, 1189_7, 1190_11, 1192_2, 1193_9, 615_11, 616_7, 617_2	1265_20, 1266_14, 1267_17, 1268_19, 1531_14, 1532_17, 1533_19	2124_30, 2125_29, 2126_28, 2127_25
Citrobacter youngae ATCC 29220 (500640.5)	2317_11, 2318_7, 2319_2, 3501_3, 3502_9	1730_22, 1731_18, 1732_16, 1733_13, 3398_14, 3399_17, 3400_19	1516_30, 1517_29, 1518_28, 1519_25
Cronobacter sakazakii 2151 (1159489.3)	 	2315_13, 2316_16, 2317_18, 2452_14, 2453_17, 2454_19, 2455_20	 
Cronobacter sakazakii ES15 (1138308.5)	 	2063_18, 2064_16, 2065_13	1913_30, 1914_29, 1915_28, 1916_25
Cronobacter sakazakii ES35 (1159614.3)	 	2195_13, 2196_16, 2197_18, 2337_14, 2338_17, 2339_19, 2340_20	 
Cronobacter sakazakii ES713 (1045857.3)	 	3715_13, 3716_16, 3717_18, 3855_14, 3856_17, 3857_19, 3858_20	 
Cronobacter sakazakii SP291 (956149.6)	 	1662_20, 1663_19, 1664_17, 1665_14, 1802_18, 1803_16, 1804_13	 
