Organism	SerA	SerC	SerB	SerP	SerHS
Staphylococcus epidermidis VCU071 (904325.3)	2015, 979	2014_3	2016_4	 	1085_13, 2106_13, 2182_13, 2183_13
Staphylococcus epidermidis VCU081 (904326.3)	340	427_3	429_4	 	2055_13, 33_13, 330_13
Staphylococcus epidermidis VCU105 (904328.3)	568, 972	971_3	973_4	 	161_13, 506_13, 944_13
Staphylococcus epidermidis VCU107 (904329.3)	211	1666_3	1668_4	 	1640_13, 1858_13, 2000_13
Staphylococcus epidermidis VCU109 (904330.3)	211	1666_3	1668_4	 	1640_13, 1858_13, 2000_13
Staphylococcus epidermidis VCU116 (904334.3)	341, 644, 657	340_3	342_4	 	1478_13, 1601_13, 314_13
Staphylococcus epidermidis VCU117 (904335.3)	2168	1365_3	1363_4	 	1064_13, 2137_13, 2163_13
Staphylococcus epidermidis VCU118 (904336.3)	1924, 754	753_3	755_4	 	728_13, 792_13, 923_13
Staphylococcus epidermidis VCU120 (904337.3)	1499, 917	2143_3	2145_4	 	130_13, 2045_13, 2116_13
Staphylococcus epidermidis VCU123 (904340.3)	1614, 2157	2158_3	2156_4	 	1953_13, 2090_13, 652_13
Staphylococcus epidermidis VCU125 (904341.3)	1569, 2132	1842_3	1844_4	 	1314_13, 2248_13, 613_13
Staphylococcus epidermidis VCU126 (904342.3)	155	1556_3	1558_4	 	1351_13, 30_13, 532_13
Staphylococcus epidermidis VCU127 (904343.3)	374	1270_3	1272_4	 	1292_13, 1489_13, 2055_13
Staphylococcus epidermidis VCU128 (904344.3)	1089, 616	615_3	617_4	 	1871_13, 1988_13, 590_13
Staphylococcus epidermidis VCU129 (904345.3)	1599, 2179	2178_3	2180_4	 	2153_13, 26_13, 491_13
Staphylococcus epidermidis VCU144 (904347.3)	936, 973	937_3	935_4	 	1235_13, 1909_13, 796_13
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	2277, 2632, 2738	2631_3	2633_4	 	2601_13
Staphylococcus haemolyticus JCSC1435 (279808.8)	 	1184_3	1182_4	 	1212_13, 159_13, 611_13
Staphylococcus haemolyticus R1P1 (1134914.3)	2145	693_3	691_4	 	50_13, 563_13, 719_13
Staphylococcus hominis SK119 (629742.3)	359_3, 576	359_3	360_4	 	1078_13, 1525_13, 441_13
Staphylococcus hominis VCU122 (904339.3)	1041, 121	120_3	122_4	 	1232_13, 2130_13, 93_13
Staphylococcus hominis subsp. hominis C80 (435837.3)	1214, 674	1215_3	1213_4	 	1239_13, 164_13, 537_13
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	1904, 808	1905_3	1903_4	 	1932_13, 242_13, 563_13
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	211	212_3	210_4	 	1070_13, 1219_13, 237_13
Staphylococcus lugdunensis HKU09-01 (698737.3)	1145, 717	1146_3	1144_4	 	1171_13, 412_13, 559_13
Staphylococcus lugdunensis M23590 (525377.3)	1328, 144	145_3	143_4	 	1483_13, 1625_13, 170_13
Staphylococcus lugdunensis N920143 (1034809.4)	1093, 1191, 715	1192_3	1190_4	 	1217_13, 414_13, 562_13
Staphylococcus pettenkoferi VCU012 (904314.5)	2130	 	333_4	 	1004_13, 306_13
Staphylococcus pseudintermedius ED99 (984892.3)	973	974_3	972_4	 	 
Staphylococcus pseudintermedius HKU10-03 (937773.3)	1491, 1964	1490_3	1492_4	 	 
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	1038, 1388	1039_3	1037_4	 	1069_13, 2162_13, 289_13
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	1670, 2105	1669_3	1671_4	 	1642_13, 258_13, 453_13
Staphylococcus vitulinus F1028 (1167632.5)	1508, 2335	1509_3	1507_4	 	1919_13, 193_13
Staphylococcus warneri L37603 (596319.3)	167, 2090	2091_3	2089_4	 	2116_13, 267_13, 64_13
Staphylococcus warneri SG1 (1194526.3)	1032, 604	1033_3	1031_4	 	1058_13, 328_13, 459_13
Staphylococcus xylosus NJ (1262650.3)	158, 2432	157_3	159_4	 	1524_13, 1822_13, 2748_13
Abiotrophia defectiva ATCC 49176 (592010.4)	 	1534_2	1795_4	 	 
Aerococcus viridans ATCC 11563 (655812.3)	1017, 520, 884	883_2	572_4	 	 
Aerococcus viridans LL1 (1175629.3)	1078, 504, 643	503_2	1417_4	 	 
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	 	 	 
Granulicatella elegans ATCC 700633 (626369.3)	 	 	 	 	 
Enterococcus asini ATCC 700915 (1158606.4)	1726, 2296, 490	489_2	 	 	931_13
Enterococcus avium ATCC 14025 (1140002.4)	1522, 1587, 1801, 2214, 2616, 3077, 308, 3282, 3600, 62	1523_2	 	 	3225_13, 994_13
Enterococcus caccae ATCC BAA-1240 (1158612.4)	2447, 3223	2446_2	 	 	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	133, 1771, 226, 2377, 411, 679	132_2	 	 	1472_13
Enterococcus casseliflavus EC10 (565654.4)	 	2046_2	 	 	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	1030	1029_2	 	 	835_13
Enterococcus dispar ATCC 51266 (1139219.4)	2237, 2645	2238_2	 	 	1298_13, 326_13
Enterococcus durans ATCC 6056 (1140001.4)	839	 	 	 	191_13, 653_13, 982_13
Enterococcus durans FB129-CNAB-4 (883162.3)	466, 786	 	 	 	1676_13, 1895_13, 2036_13
Enterococcus durans IPLA 655 (1288492.4)	685	 	 	 	1099_13, 1364_13, 155_13
Enterococcus faecalis 12030 (1169282.3)	677	 	 	 	1521_13
Enterococcus faecalis 12107 (1158664.3)	2521	 	 	 	952_13
Enterococcus faecalis 1448E03 (1151193.3)	2598	 	 	 	1055_13
Enterococcus faecalis 182970 (1151194.3)	2258, 2476	 	 	 	731_13
Enterococcus faecalis 19116 (1151195.3)	2312	 	 	 	1716_13
Enterococcus faecalis 2630V05 (1151196.3)	2536, 2754	 	 	 	100_13
Enterococcus faecalis 2924 (1151197.3)	2419, 2637	 	 	 	925_13
Enterococcus faecalis 5952 (1158670.3)	2776	 	 	 	1076_13
Enterococcus faecalis 599 (1134784.3)	2464	 	 	 	575_13
Enterococcus faecalis 599951 (1169281.3)	655	 	 	 	1569_13
Enterococcus faecalis 62 (936153.3)	210	 	 	 	1498_13
Enterococcus faecalis 7330082-2 (1151198.3)	2132, 2408	 	 	 	78_13
Enterococcus faecalis 7330112-3 (1151199.3)	122	 	 	 	1766_13
Enterococcus faecalis 7330245-2 (1151200.3)	2543, 2821	 	 	 	1173_13
Enterococcus faecalis 7330257-1 (1151201.3)	2432	 	 	 	52_13
Enterococcus faecalis 7330259-5 (1151202.3)	1712	 	 	 	52_13
Enterococcus faecalis 7330948-5 (1151204.3)	2233	 	 	 	51_13
Enterococcus faecalis 7430275-3 (1151205.3)	2287	 	 	 	1392_13
Enterococcus faecalis 7430315-3 (1151206.3)	1911	 	 	 	1294_13
Enterococcus faecalis 7430416-3 (1151207.3)	2560	 	 	 	1014_13
Enterococcus faecalis 7430821-4 (1151208.3)	2105	 	 	 	1412_13
Enterococcus faecalis 79-3 (1169283.3)	705	 	 	 	1537_13
Enterococcus faecalis A-2-1 (1169245.3)	2551, 2760	 	 	 	1042_13
Enterococcus faecalis A-3-1 (1169246.3)	2504, 2820	 	 	 	1099_13
Enterococcus faecalis AR01/DG (565651.6)	1314	 	 	 	2301_13
Enterococcus faecalis ATCC 10100 (1169312.3)	2492, 2758	 	 	 	1106_13
Enterococcus faecalis ATCC 19433 (1169286.3)	2432, 2696	 	 	 	970_13
Enterococcus faecalis ATCC 27275 (1158675.3)	2458, 2724	 	 	 	1081_13
Enterococcus faecalis ATCC 27959 (1158676.3)	2101, 2419	 	 	 	758_13
Enterococcus faecalis ATCC 29200 (525271.4)	2123, 2162	 	 	 	883_13
Enterococcus faecalis ATCC 29212 (1201292.3)	1120, 1121, 2563, 2564	 	 	 	100_13
Enterococcus faecalis ATCC 35038 (1169290.3)	2681	 	 	 	950_13
Enterococcus faecalis ATCC 4200 (565642.4)	1582	 	 	 	2539_13
Enterococcus faecalis ATCC 6055 (1169311.3)	2443, 2779	 	 	 	969_13
Enterococcus faecalis B-4-111 (1169302.3)	285	 	 	 	1320_13
Enterococcus faecalis B1005 (1157378.3)	 	 	 	 	1197_13
Enterococcus faecalis B1138 (1157379.3)	 	 	 	 	595_13
Enterococcus faecalis B1249 (1157380.3)	 	 	 	 	1374_13
Enterococcus faecalis B1290 (1151209.3)	 	 	 	 	50_13
Enterococcus faecalis B1327 (1151210.3)	 	 	 	 	808_13
Enterococcus faecalis B1376 (1151211.3)	 	 	 	 	50_13
Enterococcus faecalis B1385 (1151212.3)	 	 	 	 	2031_13
Enterococcus faecalis B1441 (1157342.3)	 	 	 	 	1070_13
Enterococcus faecalis B1505 (1157343.3)	 	 	 	 	1052_13
Enterococcus faecalis B1532 (1157344.3)	 	 	 	 	1065_13
Enterococcus faecalis B15725 (1151186.3)	 	 	 	 	780_13
Enterococcus faecalis B1586 (1157345.3)	 	 	 	 	2099_13
Enterococcus faecalis B1618 (1157346.3)	 	 	 	 	1069_13
Enterococcus faecalis B1623 (1157347.3)	 	 	 	 	1501_13
Enterococcus faecalis B16457 (1151187.3)	115, 385	 	 	 	1919_13
Enterococcus faecalis B1678 (1157348.3)	 	 	 	 	1060_13
Enterococcus faecalis B1696 (1157349.3)	 	 	 	 	1053_13
Enterococcus faecalis B1719 (1157350.3)	 	 	 	 	1083_13
Enterococcus faecalis B1734 (1157351.3)	 	 	 	 	1071_13
Enterococcus faecalis B1843 (1157352.3)	 	 	 	 	1069_13
Enterococcus faecalis B1851 (1157381.3)	 	 	 	 	1068_13
Enterococcus faecalis B1874 (1157353.3)	 	 	 	 	1054_13
Enterococcus faecalis B1921 (1157382.3)	2364, 2628	 	 	 	1001_13
Enterococcus faecalis B1933 (1157383.3)	 	 	 	 	1072_13
Enterococcus faecalis B2202 (1157384.3)	 	 	 	 	1061_13
Enterococcus faecalis B2207 (1157354.3)	2369, 2632	 	 	 	1004_13
Enterococcus faecalis B2211 (1157385.3)	 	 	 	 	1142_13
Enterococcus faecalis B2255 (1157355.3)	 	 	 	 	1060_13
Enterococcus faecalis B2277 (1157386.3)	 	 	 	 	1149_13
Enterococcus faecalis B2391 (1157356.3)	 	 	 	 	1063_13
Enterococcus faecalis B2488 (1157357.3)	 	 	 	 	1058_13
Enterococcus faecalis B2535 (1157358.3)	 	 	 	 	1055_13
Enterococcus faecalis B2557 (1157359.3)	 	 	 	 	1062_13
Enterococcus faecalis B2593 (1157360.3)	 	 	 	 	1409_13
Enterococcus faecalis B2670 (1157387.3)	 	 	 	 	1058_13
Enterococcus faecalis B2685 (1157388.3)	 	 	 	 	1057_13
Enterococcus faecalis B2687 (1157389.3)	 	 	 	 	1388_13
Enterococcus faecalis B2802 (1157390.3)	 	 	 	 	1152_13
Enterococcus faecalis B2864 (1157392.3)	 	 	 	 	1066_13
Enterococcus faecalis B2867 (1157393.3)	 	 	 	 	1149_13
Enterococcus faecalis B2949 (1157394.3)	 	 	 	 	1103_13
Enterococcus faecalis B3031 (1157361.3)	 	 	 	 	1063_13
Enterococcus faecalis B3042 (1157362.3)	 	 	 	 	1055_13
Enterococcus faecalis B3053 (1157363.3)	 	 	 	 	1078_13
Enterococcus faecalis B3119 (1157395.3)	 	 	 	 	1144_13
Enterococcus faecalis B3126 (1157364.3)	 	 	 	 	1096_13
Enterococcus faecalis B3196 (1157396.3)	 	 	 	 	1151_13
Enterococcus faecalis B3286 (1157397.3)	 	 	 	 	1118_13
Enterococcus faecalis B3336 (1157398.3)	 	 	 	 	1073_13
Enterococcus faecalis B4008 (1157399.3)	 	 	 	 	1153_13
Enterococcus faecalis B4018 (1157400.3)	 	 	 	 	1112_13
Enterococcus faecalis B4148 (1157401.3)	 	 	 	 	1126_13
Enterococcus faecalis B4163 (1157402.3)	 	 	 	 	1474_13
Enterococcus faecalis B4259 (1157403.3)	 	 	 	 	1166_13
Enterococcus faecalis B4267 (1157404.3)	 	 	 	 	1153_13
Enterococcus faecalis B4270 (1157405.3)	 	 	 	 	1044_13
Enterococcus faecalis B4411 (1157406.3)	 	 	 	 	1460_13
Enterococcus faecalis B4568 (1157407.3)	 	 	 	 	1089_13
Enterococcus faecalis B4638 (1157408.3)	 	 	 	 	1059_13
Enterococcus faecalis B4672 (1157409.3)	 	 	 	 	1068_13
Enterococcus faecalis B4674 (1157410.3)	 	 	 	 	818_13
Enterococcus faecalis B4969 (1157411.3)	 	 	 	 	1077_13
Enterococcus faecalis B5035 (1158632.3)	 	 	 	 	1140_13
Enterococcus faecalis B5076 (1157412.3)	 	 	 	 	990_13
Enterococcus faecalis B56765 (1151188.3)	2630	 	 	 	1644_13
Enterococcus faecalis B594 (1157365.3)	 	 	 	 	1070_13
Enterococcus faecalis B653 (1169309.3)	1498, 2485	 	 	 	843_13
Enterococcus faecalis B69486 (1151189.3)	 	 	 	 	1654_13
Enterococcus faecalis B84847 (1151190.3)	2337, 2546	 	 	 	106_13
Enterococcus faecalis B878 (1157366.3)	 	 	 	 	1042_13
Enterococcus faecalis B939 (1157367.3)	 	 	 	 	1050_13
Enterococcus faecalis C19315WT (1151191.3)	2866	 	 	 	1082_13
Enterococcus faecalis CH116 (1158660.3)	2714, 2981	 	 	 	1115_13
Enterococcus faecalis CH136 (1158661.3)	2658, 2923	 	 	 	1070_13
Enterococcus faecalis CH188 (565644.5)	2652, 2917	 	 	 	1825_13
Enterococcus faecalis CH19 (1158627.3)	2685, 2951	 	 	 	1086_13
Enterococcus faecalis CH570 (1158656.3)	 	 	 	 	1119_13
Enterococcus faecalis Com 2 (1158633.3)	2538, 2745	 	 	 	1152_13
Enterococcus faecalis Com 6 (1158634.3)	2536	 	 	 	945_13
Enterococcus faecalis Com1 (1158671.3)	2536, 2743	 	 	 	1127_13
Enterococcus faecalis Com7 (1169306.3)	2725	 	 	 	1034_13
Enterococcus faecalis D1 (1169247.3)	2442, 2716	 	 	 	1030_13
Enterococcus faecalis D173 (1169310.3)	2699	 	 	 	977_13
Enterococcus faecalis D3 (1169288.3)	2553, 2829	 	 	 	1191_13
Enterococcus faecalis D32 (1206105.3)	2533, 2746	 	 	 	926_13
Enterococcus faecalis D6 (565650.5)	2525	 	 	 	754_13
Enterococcus faecalis DAPTO 512 (749489.3)	954	 	 	 	160_13
Enterococcus faecalis DAPTO 516 (749490.3)	1851	 	 	 	166_13
Enterococcus faecalis DS16 (1158677.3)	2276, 2538	 	 	 	925_13
Enterococcus faecalis DS5 (565643.5)	1667, 1975	 	 	 	2471_13
Enterococcus faecalis E1 (1158673.3)	2405, 2722	 	 	 	1026_13
Enterococcus faecalis E1Sol (565647.5)	151	 	 	 	2264_13
Enterococcus faecalis E99 (1169284.3)	2763	 	 	 	1145_13
Enterococcus faecalis ERV103 (1134785.3)	1310, 8	 	 	 	2262_13
Enterococcus faecalis ERV116 (1134786.3)	1495, 1713	 	 	 	2511_13
Enterococcus faecalis ERV129 (1134787.3)	2647, 431	 	 	 	2424_13
Enterococcus faecalis ERV25 (1134788.3)	155, 2686	 	 	 	1303_13
Enterococcus faecalis ERV31 (1134789.3)	1464, 166	 	 	 	2925_13
Enterococcus faecalis ERV37 (1134790.3)	112, 1889	 	 	 	949_13
Enterococcus faecalis ERV41 (1134791.3)	2158, 2881	 	 	 	1831_13
Enterococcus faecalis ERV62 (1134792.3)	2274, 448	 	 	 	1469_13
Enterococcus faecalis ERV63 (1134793.3)	1591, 2045	 	 	 	1285_13
Enterococcus faecalis ERV65 (1134794.3)	1999, 980	 	 	 	2578_13
Enterococcus faecalis ERV68 (1134795.3)	410, 741	 	 	 	2370_13
Enterococcus faecalis ERV72 (1134796.3)	2216, 2614	 	 	 	1869_13
Enterococcus faecalis ERV81 (1134798.3)	1354, 730	 	 	 	1197_13
Enterococcus faecalis ERV85 (1134799.3)	230, 2557	 	 	 	1169_13
Enterococcus faecalis ERV93 (1134800.3)	2254, 469	 	 	 	1786_13
Enterococcus faecalis EnGen0253 (1158540.3)	2490, 2779	 	 	 	1012_13
Enterococcus faecalis F1 (1169297.3)	2815	 	 	 	1138_13
Enterococcus faecalis FA2-2 (1158622.3)	625	 	 	 	1333_13
Enterococcus faecalis Fly 2 (1169303.3)	2421	 	 	 	930_13
Enterococcus faecalis Fly1 (565649.5)	265	 	 	 	2343_13
Enterococcus faecalis HEF39 (1157368.3)	2672	 	 	 	1063_13
Enterococcus faecalis HH22 (491075.3)	 	 	 	 	 
Enterococcus faecalis HIP11704 (565646.5)	492	 	 	 	2605_13
Enterococcus faecalis JH1 (565648.4)	14, 924	 	 	 	631_13
Enterococcus faecalis M7 (1111677.3)	123	 	 	 	1491_13
Enterococcus faecalis MMH594 (1158653.5)	 	 	 	 	1067_13
Enterococcus faecalis Merz151 (1169304.3)	2558, 2767	 	 	 	1090_13
Enterococcus faecalis Merz192 (1169248.3)	2499, 2778	 	 	 	1081_13
Enterococcus faecalis Merz204 (1169249.3)	2385, 2704	 	 	 	1093_13
Enterococcus faecalis Merz89 (1169250.3)	2521, 2780	 	 	 	1076_13
Enterococcus faecalis Merz96 (565645.4)	993	 	 	 	2337_13
Enterococcus faecalis Ned10 (1158657.3)	2602, 2866	 	 	 	1047_13
Enterococcus faecalis OG1RF (474186.5)	2351	 	 	 	853_13
Enterococcus faecalis OG1X (1027372.3)	1507	 	 	 	785_13
Enterococcus faecalis PC1.1 (702448.3)	1463, 305	 	 	 	2184_13, 270_13
Enterococcus faecalis Pan7 (1158666.3)	2749	 	 	 	1109_13
Enterococcus faecalis R508 (1134801.3)	136, 1370, 1923	 	 	 	1817_13
Enterococcus faecalis R712 (699186.3)	2596	 	 	 	1068_13
Enterococcus faecalis RC73 (1158678.3)	2524, 2842	 	 	 	1127_13
Enterococcus faecalis RM3817 (1158674.3)	2101, 2424	 	 	 	755_13
Enterococcus faecalis RM4679 (1158625.3)	2701, 2974	 	 	 	1189_13
Enterococcus faecalis RMC1 (1169299.3)	2670, 2932	 	 	 	1144_13
Enterococcus faecalis RMC5 (1169289.3)	2475	 	 	 	899_13
Enterococcus faecalis RMC65 (1169308.3)	2649	 	 	 	1015_13
Enterococcus faecalis S613 (699185.3)	2303	 	 	 	877_13
Enterococcus faecalis SF100 (1158654.3)	 	 	 	 	1120_13
Enterococcus faecalis SF105 (1158658.3)	591, 724	 	 	 	1540_13
Enterococcus faecalis SF1592 (1158630.3)	 	 	 	 	1040_13
Enterococcus faecalis SF19 (1158629.3)	 	 	 	 	1094_13
Enterococcus faecalis SF21520 (1169313.3)	 	 	 	 	1065_13
Enterococcus faecalis SF21521 (1158668.3)	2585	 	 	 	857_13
Enterococcus faecalis SF24396 (1158665.3)	2573	 	 	 	986_13
Enterococcus faecalis SF24397 (1158618.3)	2632, 2909	 	 	 	1136_13
Enterococcus faecalis SF24413 (1158619.3)	2689, 2966	 	 	 	1135_13
Enterococcus faecalis SF26630 (1158620.3)	 	 	 	 	1095_13
Enterococcus faecalis SF28073 (1158624.3)	2431, 2707	 	 	 	894_13
Enterococcus faecalis SF339 (1169305.3)	2643, 2881	 	 	 	1075_13
Enterococcus faecalis SF350 (1169251.3)	709	 	 	 	1530_13
Enterococcus faecalis SF370 (1158655.3)	 	 	 	 	1098_13
Enterococcus faecalis SF5039 (1169252.3)	2928	 	 	 	1245_13
Enterococcus faecalis SF6375 (1169280.3)	2911	 	 	 	908_13
Enterococcus faecalis SS-6 (1158621.3)	2694	 	 	 	1065_13
Enterococcus faecalis SS-7 (1169298.3)	2685	 	 	 	1016_13
Enterococcus faecalis T1 (565636.4)	183	 	 	 	2278_13
Enterococcus faecalis T10 (1169295.3)	2518	 	 	 	904_13
Enterococcus faecalis T11 (565640.5)	211	 	 	 	2022_13
Enterococcus faecalis T12 (1169287.3)	1711, 2435, 2700	 	 	 	1032_13
Enterococcus faecalis T13 (1158663.3)	2495	 	 	 	944_13
Enterococcus faecalis T14 (1158626.3)	2507, 2797	 	 	 	1068_13
Enterococcus faecalis T16 (1158662.3)	2485, 2674	 	 	 	1057_13
Enterococcus faecalis T17 (1169292.3)	2714	 	 	 	1083_13
Enterococcus faecalis T18 (1169296.3)	2552	 	 	 	923_13
Enterococcus faecalis T19 (1169300.3)	2586, 2856	 	 	 	1059_13
Enterococcus faecalis T2 (565637.4)	921	 	 	 	2493_13
Enterococcus faecalis T20 (1169285.3)	2210, 2409	 	 	 	890_13
Enterococcus faecalis T21 (1158669.3)	2696	 	 	 	1044_13
Enterococcus faecalis T3 (565638.4)	129	 	 	 	1495_13
Enterococcus faecalis T4 (1169253.3)	2503, 2712	 	 	 	985_13
Enterococcus faecalis T5 (1169293.3)	2509, 58	 	 	 	1164_13
Enterococcus faecalis T6 (1169291.3)	2377, 2592	 	 	 	1044_13
Enterococcus faecalis T7 (1169254.3)	665	 	 	 	1403_13
Enterococcus faecalis T8 (565639.4)	2339	 	 	 	810_13
Enterococcus faecalis T9 (1169294.3)	2709	 	 	 	1027_13
Enterococcus faecalis TR161 (1169314.3)	 	 	 	 	1088_13
Enterococcus faecalis TR197 (1169307.3)	2837, 3164	 	 	 	1254_13
Enterococcus faecalis TUSoD Ef11 (553209.3)	2629	 	 	 	2317_13
Enterococcus faecalis TX0012 (749496.3)	137, 1851, 867	 	 	 	1407_13
Enterococcus faecalis TX0017 (749497.3)	2138	 	 	 	2365_13
Enterococcus faecalis TX0027 (749498.3)	2306	 	 	 	2214_13
Enterococcus faecalis TX0031 (749499.3)	1682	 	 	 	848_13
Enterococcus faecalis TX0043 (749500.3)	2608, 938	 	 	 	834_13
Enterococcus faecalis TX0102 (749501.3)	2222	 	 	 	447_13
Enterococcus faecalis TX0104 (491074.3)	1791, 2765	 	 	 	482_13
Enterococcus faecalis TX0109 (749502.3)	2131	 	 	 	1831_13
Enterococcus faecalis TX0309A (749503.3)	 	 	 	 	319_13
Enterococcus faecalis TX0309B (749504.3)	 	 	 	 	2545_13
Enterococcus faecalis TX0312 (749505.3)	753	 	 	 	1797_13
Enterococcus faecalis TX0411 (749506.3)	1062, 2300	 	 	 	1289_13
Enterococcus faecalis TX0470 (749507.3)	2725	 	 	 	356_13
Enterococcus faecalis TX0630 (749508.3)	2561, 757	 	 	 	2172_13
Enterococcus faecalis TX0635 = WH245 (749509.5)	2616, 2967	 	 	 	991_13
Enterococcus faecalis TX0645 (749510.3)	148, 2158	 	 	 	2428_13
Enterococcus faecalis TX0855 (749511.3)	2216	 	 	 	2350_13
Enterococcus faecalis TX0860 (749512.3)	2408	 	 	 	1114_13
Enterococcus faecalis TX1322 (525278.3)	2123	 	 	 	954_13
Enterococcus faecalis TX1337RF (1134802.3)	1828, 787	 	 	 	1220_13, 420_13
Enterococcus faecalis TX1341 (749514.3)	113, 2096	 	 	 	928_13
Enterococcus faecalis TX1346 (749516.3)	1942	 	 	 	305_13
Enterococcus faecalis TX2134 (749518.3)	2090	 	 	 	208_13
Enterococcus faecalis TX2137 (749491.3)	1640	 	 	 	95_13
Enterococcus faecalis TX2141 (749492.3)	1963, 730	 	 	 	1483_13
Enterococcus faecalis TX4000 (749493.3)	2606	 	 	 	322_13
Enterococcus faecalis TX4244 (749494.3)	2441	 	 	 	589_13
Enterococcus faecalis TX4248 (749495.4)	2451, 903	 	 	 	865_13
Enterococcus faecalis UAA1014 (1158546.3)	2448, 2678	 	 	 	1122_13
Enterococcus faecalis UAA1180 (1158552.3)	2230, 2513	 	 	 	895_13
Enterococcus faecalis UAA1489 (1158976.3)	 	 	 	 	1083_13
Enterococcus faecalis UAA409 (1158637.3)	143	 	 	 	853_13
Enterococcus faecalis UAA702 (1158640.3)	2797	 	 	 	1000_13
Enterococcus faecalis UAA769 (1157369.3)	576	 	 	 	1307_13
Enterococcus faecalis UAA823 (1157370.3)	 	 	 	 	1122_13
Enterococcus faecalis UAA902 (1157371.3)	2576	 	 	 	1080_13
Enterococcus faecalis UAA903 (1157372.3)	2579	 	 	 	1079_13
Enterococcus faecalis UAA904 (1157373.3)	2569	 	 	 	1073_13
Enterococcus faecalis UAA905 (1157374.3)	2569	 	 	 	1071_13
Enterococcus faecalis UAA906 (1157375.3)	2535	 	 	 	1042_13
Enterococcus faecalis UAA907 (1157376.3)	2632	 	 	 	1076_13
Enterococcus faecalis UAA943 (1157377.3)	2635	 	 	 	1077_13
Enterococcus faecalis UAA948 (1158542.3)	2680, 2985	 	 	 	1197_13
Enterococcus faecalis V583 (226185.9)	 	 	 	 	1030_13
Enterococcus faecalis V587 (1158623.3)	 	 	 	 	813_13
Enterococcus faecalis WH257 (1158628.3)	2579, 2891	 	 	 	931_13
Enterococcus faecalis WH571 (1158631.3)	2701, 3009	 	 	 	1032_13
Enterococcus faecalis X98 (565641.4)	123, 308	 	 	 	2225_13
Enterococcus faecalis YI6-1 (1158667.3)	2758	 	 	 	1078_13
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	2298	 	 	 	97_13
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	2307, 2569	 	 	 	931_13
Enterococcus faecium 1,141,733 (565659.3)	1824, 2055	 	 	 	1138_13, 1588_13
Enterococcus faecium 1,230,933 (565656.3)	2109, 2216	 	 	 	1556_13, 762_13, 928_13
Enterococcus faecium 1,231,408 (565661.4)	1274, 1820	 	 	 	1002_13, 622_13
Enterococcus faecium 1,231,410 (565660.4)	1873, 2167	 	 	 	1331_13, 1631_13, 929_13
Enterococcus faecium 1,231,501 (565658.4)	1505, 1769	 	 	 	1242_13, 2012_13, 2492_13
Enterococcus faecium 1,231,502 (565657.5)	1466, 2170	 	 	 	459_13, 588_13, 960_13
Enterococcus faecium 109 A1 (1157416.3)	2190, 551	 	 	 	165_13, 1939_13, 289_13
Enterococcus faecium 2006-70-121 (1157417.3)	1266, 1361	 	 	 	1551_13, 2041_13, 2702_13
Enterococcus faecium 504 (1134805.3)	1966, 322	 	 	 	1760_13, 724_13, 854_13
Enterococcus faecium 505 (1134806.3)	2144, 2419	 	 	 	1099_13, 1642_13, 2357_13, 2358_13
Enterococcus faecium 7330381-1 (1157419.3)	138, 1567	 	 	 	447_13, 838_13
Enterococcus faecium 7330446-2 (1157420.3)	489, 705	 	 	 	160_13, 2138_13, 2431_13
Enterococcus faecium 7330519-3 (1157421.3)	2170, 2402	 	 	 	161_13, 1654_13, 323_13
Enterococcus faecium 7330614-1 (1157422.3)	2086, 678	 	 	 	160_13, 1782_13, 316_13
Enterococcus faecium 7330884-2 (1157423.3)	638, 953	 	 	 	162_13, 2038_13, 306_13
Enterococcus faecium 7430166-3 (1157424.3)	649, 963	 	 	 	160_13, 2139_13, 316_13
Enterococcus faecium 841V03 (1157425.3)	2312, 590	 	 	 	162_13, 318_13, 960_13
Enterococcus faecium 9730219-1 (1157429.3)	1727, 2173	 	 	 	1425_13, 161_13, 319_13
Enterococcus faecium 9730357-1 (1157430.3)	1283, 1578	 	 	 	319_13, 475_13, 768_13
Enterococcus faecium 9731349-1 (1157431.3)	1109, 701	 	 	 	173_13, 2250_13, 319_13
Enterococcus faecium 9731352-4 (1157432.3)	2341, 675	 	 	 	160_13, 1845_13, 316_13
Enterococcus faecium 9830091-5 (1157433.3)	1603, 1836	 	 	 	160_13, 2303_13, 320_13
Enterococcus faecium 9830512-2 (1157435.3)	2285, 795, 796	 	 	 	1163_13, 160_13, 317_13
Enterococcus faecium 9830565-4 (1157437.3)	1109, 729	 	 	 	1364_13, 318_13, 458_13
Enterococcus faecium 9930238-2 (1157440.3)	1059, 743	 	 	 	1314_13, 161_13
Enterococcus faecium 9931110-4 (1157441.3)	2042, 2419	 	 	 	161_13, 321_13, 614_13
Enterococcus faecium A17 Sv1 (1157442.3)	1065, 833	 	 	 	160_13, 2206_13, 318_13
