Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Enterococcus faecium 2006-70-121 (1157417.3)	 	 	 	 	 	 	 	 	 	913_18	 	 	 	2042_27, 524_27	 
Enterococcus faecium 504 (1134805.3)	 	 	 	 	 	 	 	 	 	1694_18	 	 	 	1758_27	 
Enterococcus faecium 505 (1134806.3)	 	 	 	 	 	 	 	 	 	133_18	 	 	 	1101_27	 
Enterococcus faecium 7330381-1 (1157419.3)	 	 	 	 	 	 	 	 	 	1903_18	 	 	 	445_27	 
Enterococcus faecium 7330446-2 (1157420.3)	 	 	 	 	 	 	 	 	 	1555_18	 	 	 	158_27	 
Enterococcus faecium 7330519-3 (1157421.3)	 	 	 	 	 	 	 	 	 	1125_18	 	 	 	159_27	 
Enterococcus faecium 7330614-1 (1157422.3)	 	 	 	 	 	 	 	 	 	992_18	 	 	 	158_27	 
Enterococcus faecium 7330884-2 (1157423.3)	 	 	 	 	 	 	 	 	 	1458_18	 	 	 	160_27	 
Enterococcus faecium 7430166-3 (1157424.3)	 	 	 	 	 	 	 	 	 	1557_18	 	 	 	158_27	 
Enterococcus faecium 841V03 (1157425.3)	 	 	 	 	 	 	 	 	 	1814_18	 	 	 	160_27	 
Enterococcus faecium 9730219-1 (1157429.3)	 	 	 	 	 	 	 	 	 	899_18	 	 	 	159_27	 
Enterococcus faecium 9730357-1 (1157430.3)	 	 	 	 	 	 	 	 	 	2177_18	 	 	 	317_27	 
Enterococcus faecium 9731349-1 (1157431.3)	 	 	 	 	 	 	 	 	 	1318_18	 	 	 	170_27	 
Enterococcus faecium 9731352-4 (1157432.3)	 	 	 	 	 	 	 	 	 	1267_18	 	 	 	158_27	 
Enterococcus faecium 9830091-5 (1157433.3)	 	 	 	 	 	 	 	 	 	1174_18	 	 	 	158_27	 
Enterococcus faecium 9830512-2 (1157435.3)	 	 	 	 	 	 	 	 	 	1946_18	 	 	 	158_27	 
Enterococcus faecium 9830565-4 (1157437.3)	 	 	 	 	 	 	 	 	 	2129_18	 	 	 	316_27	 
Enterococcus faecium 9930238-2 (1157440.3)	 	 	 	 	 	 	 	 	 	2119_18	 	 	 	159_27	 
Enterococcus faecium 9931110-4 (1157441.3)	 	 	 	 	 	 	 	 	 	1449_18	 	 	 	159_27	 
Enterococcus faecium A17 Sv1 (1157442.3)	 	 	 	 	 	 	 	 	 	1627_18	 	 	 	158_27	 
Enterococcus faecium ATCC 8459 (1158600.4)	 	 	 	 	 	 	 	 	 	2261_18	 	 	 	401_27	 
Enterococcus faecium Aus0004 (1155766.14)	 	 	 	 	 	 	 	 	 	1061_18	 	 	 	194_27	 
Enterococcus faecium C309 (1176489.3)	 	 	 	 	 	 	 	 	 	556_18	 	 	 	1380_27	 
Enterococcus faecium C68 (565664.3)	 	 	 	 	 	 	 	 	 	1008_18	 	 	 	352_27	 
Enterococcus faecium CRL1879 (1295527.3)	 	 	 	 	 	 	 	 	 	2984_18, 2985_18	 	 	 	1984_27	 
Enterococcus faecium Com12 (565662.4)	 	 	 	 	 	 	 	 	 	539_18	 	 	 	1442_27	 
Enterococcus faecium Com15 (565663.4)	 	 	 	 	 	 	 	 	 	540_18	 	 	 	1747_27	 
Enterococcus faecium D344SRF (565665.3)	 	 	 	 	 	 	 	 	 	907_18	 	 	 	997_27	 
Enterococcus faecium E0045 (1138880.3)	 	 	 	 	 	 	 	 	 	955_18	 	 	 	1663_27	 
Enterococcus faecium E0120 (1138881.3)	 	 	 	 	 	 	 	 	 	361_18	 	 	 	1552_27	 
Enterococcus faecium E0164 (1138882.3)	 	 	 	 	 	 	 	 	 	284_18	 	 	 	1383_27	 
Enterococcus faecium E0269 (1138883.3)	 	 	 	 	 	 	 	 	 	998_18	 	 	 	1349_27	 
Enterococcus faecium E0333 (1138884.3)	 	 	 	 	 	 	 	 	 	287_18	 	 	 	1790_27	 
Enterococcus faecium E0679 (1138885.3)	 	 	 	 	 	 	 	 	 	504_18	 	 	 	1982_27	 
Enterococcus faecium E0680 (1138886.3)	 	 	 	 	 	 	 	 	 	906_18	 	 	 	1324_27	 
Enterococcus faecium E0688 (1138887.3)	 	 	 	 	 	 	 	 	 	43_18	 	 	 	1649_27	 
Enterococcus faecium E1007 (1138888.3)	 	 	 	 	 	 	 	 	 	816_18	 	 	 	2115_27	 
Enterococcus faecium E1039 (645663.4)	 	 	 	 	 	 	 	 	 	773_18	 	 	 	2078_27	 
Enterococcus faecium E1050 (1138889.3)	 	 	 	 	 	 	 	 	 	1420_18	 	 	 	169_27	 
Enterococcus faecium E1071 (535205.4)	 	 	 	 	 	 	 	 	 	2120_18	 	 	 	585_27	 
Enterococcus faecium E1133 (1138890.3)	 	 	 	 	 	 	 	 	 	656_18	 	 	 	1760_27	 
Enterococcus faecium E1162 (535206.4)	 	 	 	 	 	 	 	 	 	377_18	 	 	 	2114_27	 
Enterococcus faecium E1185 (1138891.3)	 	 	 	 	 	 	 	 	 	1044_18	 	 	 	1924_27	 
Enterococcus faecium E1258 (1138892.3)	 	 	 	 	 	 	 	 	 	1035_18	 	 	 	1624_27	 
Enterococcus faecium E1293 (1138893.3)	 	 	 	 	 	 	 	 	 	1491_18	 	 	 	192_27	 
Enterococcus faecium E1321 (1138930.3)	 	 	 	 	 	 	 	 	 	286_18	 	 	 	1360_27	 
Enterococcus faecium E1392 (1138894.3)	 	 	 	 	 	 	 	 	 	271_18	 	 	 	1398_27	 
Enterococcus faecium E1552 (1138895.3)	 	 	 	 	 	 	 	 	 	978_18	 	 	 	1511_27	 
Enterococcus faecium E1573 (1138896.3)	 	 	 	 	 	 	 	 	 	1968_18	 	 	 	1381_27	 
Enterococcus faecium E1574 (1138897.3)	 	 	 	 	 	 	 	 	 	288_18	 	 	 	1470_27	 
Enterococcus faecium E1575 (1138898.3)	 	 	 	 	 	 	 	 	 	514_18	 	 	 	1644_27	 
Enterococcus faecium E1576 (1138899.3)	 	 	 	 	 	 	 	 	 	1502_18	 	 	 	907_27	 
Enterococcus faecium E1578 (1138900.3)	 	 	 	 	 	 	 	 	 	1423_18	 	 	 	172_27	 
Enterococcus faecium E1590 (1138901.3)	 	 	 	 	 	 	 	 	 	1264_18	 	 	 	1768_27	 
Enterococcus faecium E1604 (1138902.3)	 	 	 	 	 	 	 	 	 	918_18	 	 	 	2306_27	 
Enterococcus faecium E1613 (1138903.3)	 	 	 	 	 	 	 	 	 	779_18	 	 	 	1959_27	 
Enterococcus faecium E1620 (1138904.3)	 	 	 	 	 	 	 	 	 	1435_18	 	 	 	1936_27	 
Enterococcus faecium E1622 (1138905.3)	 	 	 	 	 	 	 	 	 	315_18	 	 	 	1614_27	 
Enterococcus faecium E1623 (1138906.3)	 	 	 	 	 	 	 	 	 	1361_18	 	 	 	999_27	 
Enterococcus faecium E1626 (1138907.3)	 	 	 	 	 	 	 	 	 	659_18	 	 	 	1829_27	 
Enterococcus faecium E1627 (1138908.3)	 	 	 	 	 	 	 	 	 	301_18	 	 	 	1577_27	 
Enterococcus faecium E1630 (1138909.3)	 	 	 	 	 	 	 	 	 	1053_18	 	 	 	1476_27	 
Enterococcus faecium E1634 (1138910.3)	 	 	 	 	 	 	 	 	 	554_18	 	 	 	1089_27	 
Enterococcus faecium E1636 (544875.4)	 	 	 	 	 	 	 	 	 	170_18	 	 	 	669_27	 
Enterococcus faecium E1644 (1138931.3)	 	 	 	 	 	 	 	 	 	1219_18	 	 	 	163_27	 
Enterococcus faecium E1731 (1138913.3)	 	 	 	 	 	 	 	 	 	825_18	 	 	 	1603_27	 
Enterococcus faecium E1861 (1138914.3)	 	 	 	 	 	 	 	 	 	279_18	 	 	 	1601_27	 
Enterococcus faecium E1904 (1138915.3)	 	 	 	 	 	 	 	 	 	270_18	 	 	 	2835_27	 
Enterococcus faecium E1972 (1138916.3)	 	 	 	 	 	 	 	 	 	1116_18	 	 	 	2273_27	 
Enterococcus faecium E2039 (1138917.3)	 	 	 	 	 	 	 	 	 	660_18	 	 	 	1134_27	 
Enterococcus faecium E2071 (1138918.3)	 	 	 	 	 	 	 	 	 	1193_18	 	 	 	1626_27	 
Enterococcus faecium E2134 (1138919.3)	 	 	 	 	 	 	 	 	 	842_18	 	 	 	2054_27	 
Enterococcus faecium E2297 (1138920.3)	 	 	 	 	 	 	 	 	 	763_18	 	 	 	1541_27	 
Enterococcus faecium E2369 (1138932.3)	 	 	 	 	 	 	 	 	 	850_18	 	 	 	1144_27	 
Enterococcus faecium E2560 (1138933.3)	 	 	 	 	 	 	 	 	 	890_18	 	 	 	1304_27	 
Enterococcus faecium E2620 (1138921.3)	 	 	 	 	 	 	 	 	 	793_18	 	 	 	2137_27	 
Enterococcus faecium E2883 (1138922.3)	 	 	 	 	 	 	 	 	 	969_18	 	 	 	2292_27	 
Enterococcus faecium E2966 (1138923.3)	 	 	 	 	 	 	 	 	 	1406_18	 	 	 	171_27	 
Enterococcus faecium E3083 (1138924.3)	 	 	 	 	 	 	 	 	 	291_18	 	 	 	1622_27	 
Enterococcus faecium E3346 (1138925.3)	 	 	 	 	 	 	 	 	 	260_18	 	 	 	1381_27	 
Enterococcus faecium E3548 (1138926.3)	 	 	 	 	 	 	 	 	 	278_18	 	 	 	1628_27	 
Enterococcus faecium E4215 (1138929.3)	 	 	 	 	 	 	 	 	 	1277_18	 	 	 	921_27	 
Enterococcus faecium E4389 (1138934.3)	 	 	 	 	 	 	 	 	 	289_18	 	 	 	1442_27	 
Enterococcus faecium E6012 (1138935.3)	 	 	 	 	 	 	 	 	 	1166_18	 	 	 	1599_27	 
Enterococcus faecium E6045 (1138936.3)	 	 	 	 	 	 	 	 	 	1389_18	 	 	 	321_27	 
Enterococcus faecium E8sv3 (1157443.3)	 	 	 	 	 	 	 	 	 	1455_18	 	 	 	158_27	 
Enterococcus faecium E980 (529885.3)	 	 	 	 	 	 	 	 	 	340_18	 	 	 	551_27	 
Enterococcus faecium ERV1 (1134819.3)	 	 	 	 	 	 	 	 	 	747_18	 	 	 	2437_27	 
Enterococcus faecium EnGen0305 (1158641.3)	 	 	 	 	 	 	 	 	 	715_18	 	 	 	226_27	 
Enterococcus faecium EnGen0308 (1158642.3)	 	 	 	 	 	 	 	 	 	896_18	 	 	 	2180_27	 
Enterococcus faecium EnGen0312 (1158652.3)	 	 	 	 	 	 	 	 	 	1300_18	 	 	 	2743_27	 
Enterococcus faecium EnGen0314 (1158646.3)	 	 	 	 	 	 	 	 	 	1678_18	 	 	 	171_27	 
Enterococcus faecium EnGen0316 (1158647.3)	 	 	 	 	 	 	 	 	 	2452_18	 	 	 	171_27	 
Enterococcus faecium EnGen0318 (1158648.3)	 	 	 	 	 	 	 	 	 	2119_18	 	 	 	172_27	 
Enterococcus faecium EnGen0319 (1158649.3)	 	 	 	 	 	 	 	 	 	2404_18	 	 	 	173_27	 
Enterococcus faecium EnGen0321 (1158650.3)	 	 	 	 	 	 	 	 	 	1637_18	 	 	 	173_27	 
Enterococcus faecium EnGen0323 (1158651.3)	 	 	 	 	 	 	 	 	 	1373_18	 	 	 	170_27	 
Enterococcus faecium EnGen0375 (1138937.4)	 	 	 	 	 	 	 	 	 	1608_18	 	 	 	601_27	 
Enterococcus faecium EnGen0376 (1138938.4)	 	 	 	 	 	 	 	 	 	1254_18	 	 	 	171_27	 
Enterococcus faecium EnGen0377 (1138939.4)	 	 	 	 	 	 	 	 	 	1604_18	 	 	 	738_27	 
Enterococcus faecium F9730129-1 (1157479.3)	 	 	 	 	 	 	 	 	 	1454_18	 	 	 	175_27	 
Enterococcus faecium H17243 (1157444.3)	 	 	 	 	 	 	 	 	 	1465_18	 	 	 	170_27	 
Enterococcus faecium H17575 (1157446.3)	 	 	 	 	 	 	 	 	 	1403_18	 	 	 	159_27	 
Enterococcus faecium HF50104 (1157480.3)	 	 	 	 	 	 	 	 	 	1901_18	 	 	 	160_27	 
Enterococcus faecium HF50105 (1157481.3)	 	 	 	 	 	 	 	 	 	1251_18	 	 	 	158_27	 
Enterococcus faecium HF50106 (1157482.3)	 	 	 	 	 	 	 	 	 	1578_18	 	 	 	160_27	 
Enterococcus faecium HF50203 (1157483.3)	 	 	 	 	 	 	 	 	 	1455_18	 	 	 	159_27	 
Enterococcus faecium HF50204 (1157484.3)	 	 	 	 	 	 	 	 	 	1815_18	 	 	 	418_27	 
Enterococcus faecium HF50215 (1157485.3)	 	 	 	 	 	 	 	 	 	2296_18	 	 	 	159_27	 
Enterococcus faecium HM1071 (1157447.3)	 	 	 	 	 	 	 	 	 	1195_18	 	 	 	205_27, 206_27	 
Enterococcus faecium HM1072 (1157487.3)	 	 	 	 	 	 	 	 	 	1948_18	 	 	 	170_27	 
Enterococcus faecium HM1073 (1157486.3)	 	 	 	 	 	 	 	 	 	1810_18	 	 	 	167_27	 
Enterococcus faecium HM1074 (1157448.3)	 	 	 	 	 	 	 	 	 	922_18	 	 	 	189_27	 
Enterococcus faecium LCT-EF128 (1178528.3)	 	 	 	 	 	 	 	 	 	1387_18	 	 	 	169_27	 
Enterococcus faecium LCT-EF20 (1245477.3)	 	 	 	 	 	 	 	 	 	1132_18	 	 	 	1609_27	 
Enterococcus faecium LCT-EF258 (1245478.3)	 	 	 	 	 	 	 	 	 	1286_18	 	 	 	842_27	 
Enterococcus faecium LCT-EF90 (1167697.3)	 	 	 	 	 	 	 	 	 	1809_18	 	 	 	836_27	 
Enterococcus faecium NRRL B-2354 (1104325.3)	 	 	 	 	 	 	 	 	 	1625_18	 	 	 	155_27	 
Enterococcus faecium PC4.1 (791161.5)	 	 	 	 	 	 	 	 	 	1797_18	 	 	 	2255_27	 
Enterococcus faecium S658-3 (1157451.3)	 	 	 	 	 	 	 	 	 	1458_18	 	 	 	157_27	 
Enterococcus faecium TC 6 (565666.3)	 	 	 	 	 	 	 	 	 	1111_18	 	 	 	593_27	 
Enterococcus faecium TX0082 (749520.3)	 	 	 	 	 	 	 	 	 	2072_18	 	 	 	2055_27	 
Enterococcus faecium TX0133A (749521.3)	 	 	 	 	 	 	 	 	 	2398_18	 	 	 	1463_27	 
Enterococcus faecium TX0133B (749524.3)	 	 	 	 	 	 	 	 	 	2139_18	 	 	 	517_27	 
Enterococcus faecium TX0133C (749525.3)	 	 	 	 	 	 	 	 	 	2584_18	 	 	 	2509_27	 
Enterococcus faecium TX0133a04 (749523.3)	 	 	 	 	 	 	 	 	 	2342_18	 	 	 	1397_27	 
Enterococcus faecium TX1330 (525279.3)	 	 	 	 	 	 	 	 	 	77_18	 	 	 	1181_27	 
Enterococcus faecium U0317 (547468.4)	 	 	 	 	 	 	 	 	 	2257_18	 	 	 	579_27	 
Enterococcus faecium UAA1007 (1158545.3)	 	 	 	 	 	 	 	 	 	1150_18	 	 	 	195_27	 
Enterococcus faecium UAA1019 (1158547.3)	 	 	 	 	 	 	 	 	 	1872_18	 	 	 	195_27	 
Enterococcus faecium UAA1022 (1158548.3)	 	 	 	 	 	 	 	 	 	1086_18	 	 	 	156_27	 
Enterococcus faecium UAA1023 (1158549.3)	 	 	 	 	 	 	 	 	 	2389_18	 	 	 	190_27	 
Enterococcus faecium UAA1024 (1158550.3)	 	 	 	 	 	 	 	 	 	907_18	 	 	 	191_27	 
Enterococcus faecium UAA1025 (1158551.3)	 	 	 	 	 	 	 	 	 	1666_18	 	 	 	198_27	 
Enterococcus faecium UAA1280 (1158553.3)	 	 	 	 	 	 	 	 	 	1621_18	 	 	 	183_27	 
Enterococcus faecium UAA1433 (1158554.3)	 	 	 	 	 	 	 	 	 	2007_18	 	 	 	194_27	 
Enterococcus faecium UAA1484 (1158555.3)	 	 	 	 	 	 	 	 	 	1502_18	 	 	 	166_27	 
Enterococcus faecium UAA210 (1158635.3)	 	 	 	 	 	 	 	 	 	1090_18	 	 	 	167_27	 
Enterococcus faecium UAA407 (1158636.3)	 	 	 	 	 	 	 	 	 	2102_18	 	 	 	169_27	 
Enterococcus faecium UAA430 (1158638.3)	 	 	 	 	 	 	 	 	 	1462_18	 	 	 	170_27	 
Enterococcus faecium UAA431 (1158639.3)	 	 	 	 	 	 	 	 	 	728_18	 	 	 	163_27	 
Enterococcus faecium UAA714 (1157453.3)	 	 	 	 	 	 	 	 	 	1321_18	 	 	 	161_27	 
Enterococcus faecium UAA715 (1157454.3)	 	 	 	 	 	 	 	 	 	1591_18	 	 	 	161_27	 
Enterococcus faecium UAA716 (1157455.3)	 	 	 	 	 	 	 	 	 	1515_18	 	 	 	169_27	 
Enterococcus faecium UAA718 (1157456.3)	 	 	 	 	 	 	 	 	 	885_18	 	 	 	162_27	 
Enterococcus faecium UAA719 (1157457.3)	 	 	 	 	 	 	 	 	 	722_18	 	 	 	162_27	 
Enterococcus faecium UAA720 (1157458.3)	 	 	 	 	 	 	 	 	 	1974_18	 	 	 	317_27	 
Enterococcus faecium UAA721 (1157459.3)	 	 	 	 	 	 	 	 	 	972_18	 	 	 	160_27	 
Enterococcus faecium UAA722 (1157460.3)	 	 	 	 	 	 	 	 	 	1362_18	 	 	 	170_27	 
Enterococcus faecium UAA723 (1157461.3)	 	 	 	 	 	 	 	 	 	2112_18	 	 	 	192_27	 
Enterococcus faecium UAA724 (1157462.3)	 	 	 	 	 	 	 	 	 	1902_18	 	 	 	192_27	 
Enterococcus faecium UAA725 (1157463.3)	 	 	 	 	 	 	 	 	 	2227_18	 	 	 	176_27	 
Enterococcus faecium UAA825 (1157464.3)	 	 	 	 	 	 	 	 	 	1737_18	 	 	 	171_27	 
Enterococcus faecium UAA909 (1157476.3)	 	 	 	 	 	 	 	 	 	978_18	 	 	 	165_27	 
Enterococcus faecium UAA910 (1157477.3)	 	 	 	 	 	 	 	 	 	895_18	 	 	 	163_27	 
Enterococcus faecium UAA911 (1157478.3)	 	 	 	 	 	 	 	 	 	1886_18	 	 	 	164_27	 
Enterococcus faecium UAA944 (1157465.3)	 	 	 	 	 	 	 	 	 	2345_18	 	 	 	172_27	 
Enterococcus faecium UAA945 (1157488.3)	 	 	 	 	 	 	 	 	 	2158_18	 	 	 	937_27	 
Enterococcus faecium UAA947 (1158541.3)	 	 	 	 	 	 	 	 	 	889_18	 	 	 	172_27	 
Enterococcus faecium UAA949 (1158644.3)	 	 	 	 	 	 	 	 	 	1640_18	 	 	 	177_27	 
Enterococcus faecium UAA950 (1158645.3)	 	 	 	 	 	 	 	 	 	1440_18	 	 	 	208_27	 
Enterococcus faecium UAA951 (1158543.3)	 	 	 	 	 	 	 	 	 	1258_18	 	 	 	578_27	 
Enterococcus faecium UAA952 (1158544.3)	 	 	 	 	 	 	 	 	 	1261_18	 	 	 	181_27	 
Enterococcus faecium UC7251 (1328870.3)	 	 	 	 	 	 	 	 	 	1357_18	 	 	 	1576_27	 
Enterococcus faecium VAN 219 (1157466.3)	 	 	 	 	 	 	 	 	 	1998_18	 	 	 	161_27	 
Enterococcus faecium VAN 222 (1157467.3)	 	 	 	 	 	 	 	 	 	1585_18	 	 	 	164_27	 
Enterococcus faecium VAN 327 (1169279.3)	 	 	 	 	 	 	 	 	 	1184_18	 	 	 	180_27	 
Enterococcus faecium VAN 332 (1157468.3)	 	 	 	 	 	 	 	 	 	1840_18	 	 	 	171_27	 
Enterococcus faecium VAN 335 (1157469.3)	 	 	 	 	 	 	 	 	 	1392_18	 	 	 	1695_27	 
Enterococcus faecium VAN 342 (1157470.3)	 	 	 	 	 	 	 	 	 	2347_18	 	 	 	171_27	 
Enterococcus faecium VAN 345 (1157471.3)	 	 	 	 	 	 	 	 	 	2241_18	 	 	 	171_27	 
Enterococcus faecium VAN 476 (1169278.3)	 	 	 	 	 	 	 	 	 	1655_18	 	 	 	311_27	 
Enterococcus faecium VRE 108 (1157472.3)	 	 	 	 	 	 	 	 	 	1972_18	 	 	 	164_27	 
Enterococcus faecium VRE 110 (1157473.3)	 	 	 	 	 	 	 	 	 	1932_18	 	 	 	539_27	 
Enterococcus faecium VRE 13 (1157474.3)	 	 	 	 	 	 	 	 	 	1240_18	 	 	 	165_27	 
Enterococcus faecium VRE 84 (1157475.3)	 	 	 	 	 	 	 	 	 	1586_18	 	 	 	170_27	 
Enterococcus gallinarum EG2 (565653.4)	1087_1, 1292_2	 	 	1084_6, 1085_7	1086	1083	866	868_15, 869_16	867	1291_18	 	 	1713_22, 1714_23, 1715_26, 1716_25, 1717_24	2080_27	 
Enterococcus hirae ATCC 9790 (768486.3)	 	 	 	 	 	 	 	 	 	2358_18	 	 	 	1964_27, 779_27	 
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	117_1	 	 	 	 	 	 	 	 	1988_18	 	 	1076_22, 1077_23, 1078_26, 1079_25, 1080_24	102_27	 
Enterococcus saccharolyticus 30_1 (742813.4)	1982_1, 2195_1	 	 	1979_6, 1980_7	1981	1978	1138	1140_15, 1141_16	1139	2194_18	 	 	1709_22, 1710_23, 1711_26, 1712_25, 1713_24	341_27	 
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	1925_1	 	 	1927_7, 1928_6	1926	1929, 2332	2289, 40, 41	2286_16, 2287_15	2288	2328_18	 	 	1158_22, 1159_23, 1160_26, 1161_25, 1162_24	1711_27, 625_27	 
Enterococcus sp. 7L76 (657310.3)	871_1	 	 	 	 	 	 	 	 	230_18	 	 	 	 	 
Lactobacillus acidophilus 30SC (891391.3)	 	 	 	 	 	 	 	 	 	1470_18	 	 	 	1156_27, 1351_27	 
Lactobacillus acidophilus ATCC 4796 (525306.3)	 	 	 	 	 	 	 	 	 	1034_18	 	 	 	921_27	 
Lactobacillus acidophilus La-14 (1314884.3)	 	 	 	 	 	 	 	 	 	1284_18	 	 	 	1172_27, 1173_27	 
Lactobacillus amylolyticus DSM 11664 (585524.3)	 	 	 	 	 	 	 	 	 	177_18	 	 	 	1094_27, 1561_27, 658_27	 
Lactobacillus amylovorus GRL 1112 (695560.3)	 	 	 	 	 	 	 	 	 	1485_18	 	 	 	1214_27, 1359_27	 
Lactobacillus amylovorus GRL1118 (695562.4)	 	 	 	 	 	 	 	 	 	1368_18	 	 	 	1114_27, 1245_27	 
Lactobacillus animalis KCTC 3501 (930942.3)	 	 	 	 	 	 	 	 	 	1669_18	 	 	 	1502_27, 1549_27	 
Lactobacillus antri DSM 16041 (525309.3)	1758_2	 	 	718_6	719	56	 	 	 	 	 	 	 	1389_27, 1438_27, 632_27	 
Lactobacillus brevis KB290 (1001583.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	2089_27	 
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	1462_1	 	 	1466_6	1467	1461	788	790_15, 791_16	789	2767_18, 2768_18	 	 	 	1141_27, 1302_27	 
Lactobacillus buchneri ATCC 11577 (525318.3)	1475_1	 	 	1480_6	1481	1474	548	550_15, 551_16	549	2573_18, 2574_18	 	 	94_24, 95_25, 96_26, 97_23, 98_22	1013_27, 871_27	 
Lactobacillus buchneri CD034 (1071400.3)	 	 	 	 	 	 	 	 	 	725_18, 726_18	 	 	 	231_27, 232_27, 2337_27	 
Lactobacillus buchneri NRRL B-30929 (511437.3)	 	 	 	 	 	 	 	 	 	792_18, 793_18	 	 	 	2428_27, 265_27	 
Lactobacillus casei 12A (1051650.4)	2103_2	 	 	 	 	 	 	 	 	1914_18	 	 	240_22, 241_23, 242_26, 243_25, 244_24	225_27, 472_27	 
Lactobacillus casei 21/1 (1051651.3)	2250_2	 	 	 	 	 	 	 	 	2030_18	 	 	344_22, 345_23, 346_26, 347_25, 348_24	327_27, 602_27	 
Lactobacillus casei 32G (1051652.3)	2390_2	 	 	 	 	 	 	 	 	2170_18	 	 	376_22, 377_23, 378_26, 379_25, 380_24	280_27	 
Lactobacillus casei ATCC 334 (321967.11)	2145_2	 	 	 	 	 	 	 	 	2005_18	 	 	287_22, 288_23, 289_26, 290_25, 291_24	274_27	 
Lactobacillus casei BD-II (998820.3)	2327_2	 	 	 	 	 	 	 	 	2168_18	 	 	257_22, 258_23, 260_26, 261_25, 262_24	243_27, 649_27	 
Lactobacillus casei BL23 (543734.4)	2244_2	 	 	 	 	 	 	 	 	2096_18	 	 	250_22, 251_23, 252_26, 253_25, 254_24	237_27, 630_27	 
Lactobacillus casei CRF28 (1051654.3)	2343_2	 	 	 	 	 	 	 	 	2198_18	 	 	2642_24, 2643_25, 2644_26, 2645_23, 2646_22	1706_27	 
Lactobacillus casei LC2W (999378.3)	2282_2	 	 	 	 	 	 	 	 	2124_18	 	 	260_22, 261_23, 263_26, 264_25, 265_24	246_27, 657_27	 
Lactobacillus casei Lc-10 (1051655.5)	2167_2	 	 	 	 	 	 	 	 	1981_18	 	 	272_22, 273_23, 274_26, 275_25, 276_24	257_27, 535_27	 
Lactobacillus casei Lpc-37 (1051656.3)	417_2	 	 	 	 	 	 	 	 	2747_18	 	 	2761_22, 2762_23, 2763_26, 2764_25, 2765_24	1120_27, 2353_27	 
Lactobacillus casei M36 (1051657.3)	2430_2	 	 	 	 	 	 	 	 	2275_18	 	 	290_22, 291_23, 292_26, 293_25, 294_24	274_27, 744_27	 
Lactobacillus casei T71499 (1051658.3)	2191_2	 	 	 	 	 	 	 	 	2066_18	 	 	145_22, 146_23, 147_26, 148_25, 149_24	255_27, 653_27	 
Lactobacillus casei UCD174 (1051659.3)	2441_2	 	 	 	 	 	 	 	 	2296_18	 	 	365_22, 366_23, 367_26, 368_25, 369_24	351_27, 611_27	 
Lactobacillus casei UW1 (1051660.3)	2224_2	 	 	 	 	 	 	 	 	2831_18	 	 	246_22, 247_23, 248_23, 249_26, 250_25, 251_24	230_27, 542_27	 
Lactobacillus casei UW4 (1051661.3)	2110_2	 	 	 	 	 	 	 	 	1949_18	 	 	299_22, 300_23, 301_23, 302_26, 303_25, 304_24	284_27, 506_27	 
Lactobacillus casei W56 (1215914.3)	2423_2	 	 	 	 	 	 	 	 	2255_18	 	 	271_22, 272_23, 274_26, 275_25, 276_24	256_27, 677_27	 
Lactobacillus casei str. Zhang (498216.5)	2016_2	 	 	 	 	 	 	 	 	1862_18	 	 	276_22, 277_23, 278_26, 279_25, 280_24	262_27, 497_27	 
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	2181_2	 	 	 	 	 	 	 	 	2041_18	 	 	2307_22, 2308_23, 2309_26, 2310_25, 2311_24	1397_27, 2533_27	 
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	1606_2	 	 	 	 	 	 	 	 	2168_18	 	 	1028_22, 1029_23, 1030_26, 1031_25, 1032_24	2319_27, 2737_27	 
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	946_2	 	 	 	 	 	 	 	 	508_18	 	 	611_22, 612_23, 613_26, 614_25, 615_24	1221_27, 559_27	 
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	2172_2	 	 	 	 	 	 	 	 	1629_18	 	 	2544_24, 2545_25, 2546_26, 2547_23, 2548_22	2211_27, 2434_27	 
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	2720_2	 	 	 	 	 	 	 	 	2148_18	 	 	14_22, 15_23, 16_26, 17_25, 18_24	176_27, 478_27, 479_27	 
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	2992_2	 	 	 	 	 	 	 	 	2688_18	 	 	2419_24, 2420_25, 2421_26, 2422_23, 2423_22	1575_27	 
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	2611_2	 	 	 	 	 	 	 	 	2982_18	 	 	2865_24, 2866_25, 2867_26, 2868_23, 2869_22	232_27, 356_27	 
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	2510_2	 	 	 	 	 	 	 	 	2170_18	 	 	45_24, 46_25, 47_26, 48_23, 49_22	2523_27	 
