Organism	ThrA	Asd	Hom	ThrB	ThrC
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	306, 370	305_2	369	367_6	368
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	2261, 2611	2260_2	2610	2608_6	2609
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	1991, 725	726_2	1990	1988_6	1989
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	2018, 2560	2019_2	2559	2557_6	2558
Staphylococcus aureus subsp. aureus IS-K (904791.3)	1193, 407	1194_2	406	404_6	405
Staphylococcus aureus subsp. aureus JH1 (359787.11)	1450, 1517	1518_2	1451	1453_6	1452
Staphylococcus aureus subsp. aureus JH9 (359786.13)	1471, 1538	1539_2	1472	1474_6	1473
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	1259, 1326	1327_2	1260	1262_6	1261
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	747, 809	810_2	748	750_6	749
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	1242, 1317	1318_2	1243	1245_6	1244
Staphylococcus aureus subsp. aureus M013 (1118959.3)	1243, 1305	1306_2	1244	1246_6	1245
Staphylococcus aureus subsp. aureus M1015 (585156.3)	815, 878	879_2	816	818_6	817
Staphylococcus aureus subsp. aureus M809 (585157.3)	1064, 829	830_2	1065	1067_6	1066
Staphylococcus aureus subsp. aureus M876 (585158.3)	1782, 1845	1846_2	1783	1785_6	1784
Staphylococcus aureus subsp. aureus M899 (585159.3)	1389, 1452	1453_2	1390	1392_6	1391
Staphylococcus aureus subsp. aureus MN8 (548470.3)	433, 497	432_2	496	494_6	495
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	875, 993	876_2	992	990_6	991
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	430, 891	890_2	429	427_6	428
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	2245, 633	2244_2	634	636_6	635
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	1339, 1406	1407_2	1340	1342_6	1341
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	1181, 1244	1245_2	1182	1184_6	1183
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	1317, 1385	1386_2	1318	1320_6	1319
Staphylococcus aureus subsp. aureus MW2 (196620.5)	1275, 1341	1342_2	1276	1278_6	1277
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	1345, 1412	1413_2	1346	1348_6	1347
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	1365, 1432	1433_2	1366	1368_6	1367
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	1362, 1429	1430_2	1363	1365_6	1364
Staphylococcus aureus subsp. aureus N315 (158879.11)	1252, 1319	1320_2	1253	1255_6	1254
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	1206, 1275	1276_2	1207	1209_6	1208
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	1013, 927	1012_2	928	930_6	929
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	1845, 1908	1844_2	1907	1905_6	1906
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	1306, 550	1305_2	551	553_6	552
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	1147, 1212	1213_2	1148	1150_6	1149
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	1351, 2511	1350_2	2512	2514_6	2513
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	1295, 1358	1359_2	1296	1298_6	1297
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	915, 978	914_2	977	975_6	976
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	1771, 1835	1770_2	1834	1832_6	1833
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	248, 314	315_2	249	251_6	250
Staphylococcus aureus subsp. aureus TW20 (663951.4)	1416, 1486	1487_2	1417	1419_6	1418
Staphylococcus aureus subsp. aureus USA300 (367830.3)	1350, 986	1351_2	987	989_6	988
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	1340, 1408	1409_2	1341	1343_6	1342
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	1344, 1412	1413_2	1345	1347_6	1346
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	1170, 1233	1234_2	1171	1173_6	1172
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	1885, 1949	1950_2	1886	1888_6	1887
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	2459, 666	667_2	2460	2462_6	2461
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	1200, 1264	1265_2	1201	1203_6	1202
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	1222, 1286	1287_2	1223	1225_6	1224
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	1278, 1343	1344_2	1279	1281_6	1280
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	1250, 1315	1316_2	1251	1253_6	1252
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	1254, 1318	1319_2	1255	1257_6	1256
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	1166, 1230	1231_2	1167	1169_6	1168
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	1228, 1292	1293_2	1229	1231_6	1230
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	1205, 1269	1270_2	1206	1208_6	1207
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	1154, 1218	1219_2	1155	1157_6	1156
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	1274, 1340	1341_2	1275	1277_6	1276
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	1185, 1249	1250_2	1186	1188_6	1187
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	1219, 1285	1286_2	1220	1222_6	1221
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	810, 873	874_2	811	813_6	812
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	1156, 1614	1615_2	1157	1159_6	1158
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	1363, 1434	1435_2	1364	1366_6	1365
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	2155, 631	632_2	2154	2151_6, 2152_6	2153
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	1351, 1419	1420_2	1352	1354_6	1353
Staphylococcus capitis QN1 (1189311.3)	162, 94, 95	163_2	96, 97	99_6	98
Staphylococcus capitis SK14 (553212.3)	879, 949	950_2	880	882_6	881
Staphylococcus capitis VCU116 (904334.4)	2065, 2133	2134_2	2066	2068_6	2067
Staphylococcus caprae C87 (435838.3)	805, 806, 872	873_2	807	809_6	808
Staphylococcus epidermidis 12142587 (1235440.3)	143, 206	142_2	205	203_6	204
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	2153, 42	2154_2	1496	1498_6	1497
Staphylococcus epidermidis 41tr (1294271.3)	1466, 1964	1467_2	1965	1967_6, 1968_6	1966
Staphylococcus epidermidis 528m (1294272.3)	1482, 2216	1481_2	2215	2213_6	2214
Staphylococcus epidermidis A487 (904143.3)	848, 912	913_2	849	851_6	850
Staphylococcus epidermidis ATCC 12228 (176280.10)	1049, 983	1050_2	984	986_6	985
Staphylococcus epidermidis AU12-03 (1220510.3)	403, 466	402_2	465	463_6	464
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	1308, 1433	1434_2	1309	1311_6	1310
Staphylococcus epidermidis BVS058A4 (883130.3)	622, 685	686_2	623	625_6	624
Staphylococcus epidermidis FRI909 (764544.3)	506, 569	505_2	568	566_6	567
Staphylococcus epidermidis M0881 (1213731.3)	803, 867	868_2	804	806_6	805
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	243, 306	242_2	305	303_6	304
Staphylococcus epidermidis NIH04003 (1155132.3)	711, 777	778_2	712	714_6	713
Staphylococcus epidermidis NIH04008 (979222.3)	1444, 382	1443_2	381	379_6	380
Staphylococcus epidermidis NIH05001 (979221.3)	1047, 741	1046_2	740	738_6	739
Staphylococcus epidermidis NIH05003 (1155133.3)	706, 772	773_2	707	709_6	708
Staphylococcus epidermidis NIH05005 (979220.3)	455, 774	456_2	773	771_6	772
Staphylococcus epidermidis NIH051475 (1155130.3)	754, 817	818_2	755	757_6	756
Staphylococcus epidermidis NIH051668 (1155131.3)	749, 814	815_2	750	752_6	751
Staphylococcus epidermidis NIH06004 (1155134.3)	1648, 1713	1714_2	1649	1651_6	1650
Staphylococcus epidermidis NIH08001 (1155135.3)	415, 480	414_2	479	477_6	478
Staphylococcus epidermidis NIHLM001 (979219.3)	1824, 822	823_2	1823	1821_6	1822
Staphylococcus epidermidis NIHLM003 (979218.3)	1105, 665	666_2	1104	1102_6	1103
Staphylococcus epidermidis NIHLM008 (979217.3)	427, 491	426_2	490	488_6	489
Staphylococcus epidermidis NIHLM015 (979216.3)	730, 794	795_2	731	733_6	732
Staphylococcus epidermidis NIHLM018 (979215.3)	2045, 440	2046_2	441	443_6	442
Staphylococcus epidermidis NIHLM020 (979213.3)	817, 883	884_2	818	820_6	819
Staphylococcus epidermidis NIHLM021 (979212.3)	1558, 775	1559_2	774	772_6	773
Staphylococcus epidermidis NIHLM023 (979211.3)	2161, 640	641_2	2160	2158_6	2159
Staphylococcus epidermidis NIHLM031 (979214.3)	637, 706	707_2	638	640_6	639
Staphylococcus epidermidis NIHLM037 (979210.3)	392, 914	915_2	391	389_6	390
Staphylococcus epidermidis NIHLM039 (979209.3)	769, 835	768_2	834	832_6	833
Staphylococcus epidermidis NIHLM040 (979208.3)	180, 245	246_2	181	183_6	182
Staphylococcus epidermidis NIHLM049 (979207.3)	1233, 1296	1297_2	1234	1236_6	1235
Staphylococcus epidermidis NIHLM053 (979206.3)	1794, 2293	2292_2	1795	1797_6	1796, 460
Staphylococcus epidermidis NIHLM057 (979205.3)	1458, 1459, 2092	1460_2	2091	2089_6	2090
Staphylococcus epidermidis NIHLM061 (979204.3)	731, 795	730_2	794	792_6	793
Staphylococcus epidermidis NIHLM067 (979203.3)	596, 660	661_2	597	599_6	598
Staphylococcus epidermidis NIHLM087 (979201.3)	679, 743	744_2	680	682_6	681
Staphylococcus epidermidis NIHLM088 (979200.3)	20, 715	716_2	21	23_6	22
Staphylococcus epidermidis NIHLM095 (979199.3)	890, 956	889_2	955	953_6	954
Staphylococcus epidermidis RP62A (176279.9)	875, 941	942_2	876	878_6	877
Staphylococcus epidermidis SK135 (596317.3)	1713, 1782	1712_2	1781	1779_6	1780
Staphylococcus epidermidis UC7032 (1327991.3)	1380, 215	214_2	1381	1383_6	1382
Staphylococcus epidermidis VCU028 (904317.3)	1089, 2219	2220_2	1088	1086_6	1087
Staphylococcus epidermidis VCU037 (904319.3)	1689, 384	385_2	1688	1686_6	1687
Staphylococcus epidermidis VCU041 (904320.3)	1571, 1790	1789_2	1570	1568_6	1569
Staphylococcus epidermidis VCU045 (904321.3)	677, 779	676_2	778	776_6	777
Staphylococcus epidermidis VCU065 (904324.3)	1070, 1101	1071_2	1100	1098_6	1099
Staphylococcus epidermidis VCU071 (904325.3)	488, 551	552_2	489	491_6	490
Staphylococcus epidermidis VCU081 (904326.3)	297, 413	296_2	412	410_6	411
Staphylococcus epidermidis VCU105 (904328.3)	1742, 303	1743_2	302	300_6	301
Staphylococcus epidermidis VCU107 (904329.3)	1741, 349	1740_2	348	346_6	347
Staphylococcus epidermidis VCU109 (904330.3)	1741, 349	1740_2	348	346_6	347
Staphylococcus epidermidis VCU116 (904334.3)	2066, 2134	2135_2	2067	2069_6	2068
Staphylococcus epidermidis VCU117 (904335.3)	792, 941	793_2	940	938_6	939
Staphylococcus epidermidis VCU118 (904336.3)	1111, 2032	1112_2	2033	2035_6	2034
Staphylococcus epidermidis VCU120 (904337.3)	218, 483	219_2	482	480_6	481
Staphylococcus epidermidis VCU123 (904340.3)	1075, 1666	1074_2	1664, 1665	1662_6	1663
Staphylococcus epidermidis VCU125 (904341.3)	1075, 243	242_2	1074	1072_6	1073
Staphylococcus epidermidis VCU126 (904342.3)	220, 330	221_2	331	333_6	332
Staphylococcus epidermidis VCU127 (904343.3)	1097, 214	1098_2	213	211_6	212
Staphylococcus epidermidis VCU128 (904344.3)	111, 1287	112_2	1286	1284_6	1285
Staphylococcus epidermidis VCU129 (904345.3)	1060, 195	196_2	1061	1063_6	1062
Staphylococcus epidermidis VCU144 (904347.3)	1752, 735	736_2	1751	1749_6	1750
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	2170, 2301	2302_2	2171	2173_6	2172
Staphylococcus haemolyticus JCSC1435 (279808.8)	1496, 1557	1495_2	1556	1554_6	1555
Staphylococcus haemolyticus R1P1 (1134914.3)	1293, 1352	1353_2	1294	1296_6	1295
Staphylococcus hominis SK119 (629742.3)	1199, 1821	1822_2	1198	1196_6	1197
Staphylococcus hominis VCU122 (904339.3)	1358, 1359, 796	1360_2	795	793_6	794
Staphylococcus hominis subsp. hominis C80 (435837.3)	1502, 1563	1501_2	1562	1560_6	1561
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	154, 210	211_2	155	157_6	156
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	487, 573	488_2	572	570_6	571
Staphylococcus lugdunensis HKU09-01 (698737.3)	1424, 1511	1425_2	1510	1508_6	1509
Staphylococcus lugdunensis M23590 (525377.3)	422, 511	423_2	510	508_6	509
Staphylococcus lugdunensis N920143 (1034809.4)	1467, 1553	1468_2	1552	1550_6	1551
Staphylococcus pettenkoferi VCU012 (904314.5)	1130, 1131, 1190	1129_2	1189	1186_6, 1187_6	1188
Staphylococcus pseudintermedius ED99 (984892.3)	1340	1293_2	1339	1337_6	1338
Staphylococcus pseudintermedius HKU10-03 (937773.3)	1057	1103_2	1058	1060_6	1059
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	1361, 1443	1360_2	1442	1440_6	1441
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	1309, 1382	1383_2	1310	1312_6	1311
Staphylococcus vitulinus F1028 (1167632.5)	739, 967	738_2	966	964_6	965
Staphylococcus warneri L37603 (596319.3)	1196, 1261	1262_2	1197	1199_6	1198
Staphylococcus warneri SG1 (1194526.3)	1330, 1393	1329_2	1392	1390_6	1391
Staphylococcus xylosus NJ (1262650.3)	2388, 2460	2461_2	2389	2391_6	2390
Abiotrophia defectiva ATCC 49176 (592010.4)	2545	2711_2	2546	 	1761
Aerococcus viridans ATCC 11563 (655812.3)	222	843_2	1607	1608_6	1664
Aerococcus viridans LL1 (1175629.3)	734	417_2	1379	1378_6	377
Granulicatella adiacens ATCC 49175 (638301.3)	417	1377_2	249	248_6	1287
Granulicatella elegans ATCC 700633 (626369.3)	802	1223_2	81	80_6	1205
Enterococcus asini ATCC 700915 (1158606.4)	1334	260_2	1642	1644_6	1643
Enterococcus avium ATCC 14025 (1140002.4)	3564	593_2	3457	3455_6	3456
Enterococcus caccae ATCC BAA-1240 (1158612.4)	3175	2001_2	731	733_6	732
Enterococcus casseliflavus ATCC 12755 (888066.3)	2867	139_2	1028	1030_6	1029
Enterococcus casseliflavus EC10 (565654.4)	555	2053_2	139	141_6	140
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	1549	1041_2	1734	1736_6	1735
Enterococcus dispar ATCC 51266 (1139219.4)	2298	2243_2	2584	2586_6	2585
Enterococcus durans ATCC 6056 (1140001.4)	1069	1068_2	 	 	 
Enterococcus durans FB129-CNAB-4 (883162.3)	2169	2168_2	 	 	 
Enterococcus durans IPLA 655 (1288492.4)	1912	1913_2	 	 	 
Enterococcus faecalis 12030 (1169282.3)	311	1600_2	2545	2543_6	2544
Enterococcus faecalis 12107 (1158664.3)	338	1025_2	1912	1910_6	1911
Enterococcus faecalis 1448E03 (1151193.3)	331	1133_2	2038	2036_6	2037
Enterococcus faecalis 182970 (1151194.3)	2091	653_2	1169	1167_6	1168
Enterococcus faecalis 19116 (1151195.3)	986	1793_2	598	596_6	597
Enterococcus faecalis 2630V05 (1151196.3)	1567	178_2	1168	1166_6	1167
Enterococcus faecalis 2924 (1151197.3)	325	1003_2	1989	1987_6	1988
Enterococcus faecalis 5952 (1158670.3)	297	1151_2	2146	2144_6	2145
Enterococcus faecalis 599 (1134784.3)	1665	498_2	2667	2669_6	2668
Enterococcus faecalis 599951 (1169281.3)	350	1648_2	2710	2708_6	2709
Enterococcus faecalis 62 (936153.3)	673	1573_2	2579	2577_6	2578
Enterococcus faecalis 7330082-2 (1151198.3)	885	151_2	1898	1900_6	1899
Enterococcus faecalis 7330112-3 (1151199.3)	2495	1688_2	687	689_6	688
Enterococcus faecalis 7330245-2 (1151200.3)	341	1246_2	2185	2183_6	2184
Enterococcus faecalis 7330257-1 (1151201.3)	2112	128_2	1088	1086_6	1087
Enterococcus faecalis 7330259-5 (1151202.3)	2653	129_2	1092	1090_6	1091
Enterococcus faecalis 7330948-5 (1151204.3)	1442	129_2	1053	1051_6	1052
Enterococcus faecalis 7430275-3 (1151205.3)	2118	1314_2	346	348_6	347
Enterococcus faecalis 7430315-3 (1151206.3)	1479	1225_2	360	362_6	361
Enterococcus faecalis 7430416-3 (1151207.3)	290	1093_2	2001	1999_6	2000
Enterococcus faecalis 7430821-4 (1151208.3)	2604	1334_2	346	348_6	347
Enterococcus faecalis 79-3 (1169283.3)	378	1619_2	2626	2624_6	2625
Enterococcus faecalis A-2-1 (1169245.3)	314	1122_2	2200	2198_6	2199
Enterococcus faecalis A-3-1 (1169246.3)	285	1173_2	2088	2086_6	2087
Enterococcus faecalis AR01/DG (565651.6)	1700	2379_2	690	688_6	689
Enterococcus faecalis ATCC 10100 (1169312.3)	305	1179_2	2133	2131_6	2132
Enterococcus faecalis ATCC 19433 (1169286.3)	301	1051_2	2080	2078_6	2079
Enterococcus faecalis ATCC 27275 (1158675.3)	304	1154_2	2102	2100_6	2101
Enterococcus faecalis ATCC 27959 (1158676.3)	43	830_2	1741	1739_6	1740
Enterococcus faecalis ATCC 29200 (525271.4)	1379	816_2	1240	1242_6	1241
Enterococcus faecalis ATCC 29212 (1201292.3)	3256, 3257	15_2, 16_2	1317	1319_6, 1320_6	1318
Enterococcus faecalis ATCC 35038 (1169290.3)	373	1063_2	2133	2131_6	2132
Enterococcus faecalis ATCC 4200 (565642.4)	819	2615_2	357	359_6	358
Enterococcus faecalis ATCC 6055 (1169311.3)	358	1045_2	1972	1970_6	1971
Enterococcus faecalis B-4-111 (1169302.3)	720	1393_2	2324	2322_6	2323
Enterococcus faecalis B1005 (1157378.3)	365	1274_2	2395	2393_6	2394
Enterococcus faecalis B1138 (1157379.3)	2975	672_2	1790	1788_6	1789
Enterococcus faecalis B1249 (1157380.3)	661	1451_2	2569	2567_6	2568
Enterococcus faecalis B1290 (1151209.3)	2925	126_2	1246	1244_6	1245
Enterococcus faecalis B1327 (1151210.3)	95	885_2	2004	2002_6	2003
Enterococcus faecalis B1376 (1151211.3)	1747	127_2	1247	1245_6	1246
Enterococcus faecalis B1385 (1151212.3)	2747	1954_2	835	837_6	836
Enterococcus faecalis B1441 (1157342.3)	354	1147_2	2266	2264_6	2265
Enterococcus faecalis B1505 (1157343.3)	354	1130_2	2188	2186_6	2187
Enterococcus faecalis B1532 (1157344.3)	352	1141_2	2261	2259_6	2260
Enterococcus faecalis B15725 (1151186.3)	2137	857_2	526	524_6	525
Enterococcus faecalis B1586 (1157345.3)	1389	2176_2	202	200_6	201
Enterococcus faecalis B1618 (1157346.3)	352	1146_2	2266	2264_6	2265
Enterococcus faecalis B1623 (1157347.3)	784	1578_2	2697	2695_6	2696
Enterococcus faecalis B16457 (1151187.3)	2578	1842_2, 1843_2	847	849_6	848
Enterococcus faecalis B1678 (1157348.3)	352	1137_2	2257	2255_6	2256
Enterococcus faecalis B1696 (1157349.3)	355	1130_2	2186	2184_6	2185
Enterococcus faecalis B1719 (1157350.3)	354	1160_2	2281	2279_6	2280
Enterococcus faecalis B1734 (1157351.3)	354	1148_2	2267	2265_6	2266
Enterococcus faecalis B1843 (1157352.3)	355	1146_2	2267	2265_6	2266
Enterococcus faecalis B1851 (1157381.3)	353	1145_2	2263	2261_6	2262
Enterococcus faecalis B1874 (1157353.3)	353	1130_2	2250	2248_6	2249
Enterococcus faecalis B1921 (1157382.3)	308	1077_2	1952	1950_6	1951
Enterococcus faecalis B1933 (1157383.3)	355	1149_2	2268	2266_6	2267
Enterococcus faecalis B2202 (1157384.3)	354	1138_2	2256	2254_6	2255
Enterococcus faecalis B2207 (1157354.3)	311	1080_2	1957	1955_6	1956
Enterococcus faecalis B2211 (1157385.3)	360	1219_2	2339	2337_6	2338
Enterococcus faecalis B2255 (1157355.3)	352	1137_2	2255	2253_6	2254
Enterococcus faecalis B2277 (1157386.3)	357	1226_2	2350	2348_6	2349
Enterococcus faecalis B2391 (1157356.3)	355	1140_2	2257	2255_6	2256
Enterococcus faecalis B2488 (1157357.3)	353	1134_2	2254	2252_6	2253
Enterococcus faecalis B2535 (1157358.3)	355	1132_2	2255	2253_6	2254
Enterococcus faecalis B2557 (1157359.3)	354	1139_2	2261	2259_6	2260
Enterococcus faecalis B2593 (1157360.3)	697	1485_2	2604	2602_6	2603
Enterococcus faecalis B2670 (1157387.3)	353	1135_2	2253	2251_6	2252
Enterococcus faecalis B2685 (1157388.3)	353	1134_2	2255	2253_6	2254
Enterococcus faecalis B2687 (1157389.3)	664	1465_2	2585	2583_6	2584
Enterococcus faecalis B2802 (1157390.3)	335	1229_2	2347	2345_6	2346
Enterococcus faecalis B2864 (1157392.3)	353	1143_2	2262	2260_6	2261
Enterococcus faecalis B2867 (1157393.3)	359	1226_2	2348	2346_6	2347
Enterococcus faecalis B2949 (1157394.3)	434	1180_2	2296	2294_6	2295
Enterococcus faecalis B3031 (1157361.3)	352	1140_2	2258	2256_6	2257
Enterococcus faecalis B3042 (1157362.3)	353	1132_2	2191	2189_6	2190
Enterococcus faecalis B3053 (1157363.3)	355	1155_2	2275	2273_6	2274
Enterococcus faecalis B3119 (1157395.3)	360	1221_2	2341	2339_6	2340
Enterococcus faecalis B3126 (1157364.3)	353	1172_2	2294	2292_6	2293
Enterococcus faecalis B3196 (1157396.3)	357	1228_2	2346	2344_6	2345
Enterococcus faecalis B3286 (1157397.3)	405	1195_2	2314	2312_6	2313
Enterococcus faecalis B3336 (1157398.3)	368	1151_2	2216	2214_6	2215
Enterococcus faecalis B4008 (1157399.3)	359	1230_2	2351	2349_6	2350
Enterococcus faecalis B4018 (1157400.3)	359	1189_2	2308	2306_6	2307
Enterococcus faecalis B4148 (1157401.3)	357	1203_2	2324	2322_6	2323
Enterococcus faecalis B4163 (1157402.3)	688	1551_2	2670	2668_6	2669
Enterococcus faecalis B4259 (1157403.3)	361	1243_2	2363	2361_6	2362
Enterococcus faecalis B4267 (1157404.3)	360	1230_2	2349	2347_6	2348
Enterococcus faecalis B4270 (1157405.3)	328	1121_2	2240	2238_6	2239
Enterococcus faecalis B4411 (1157406.3)	682	1537_2	2656	2654_6	2655
Enterococcus faecalis B4568 (1157407.3)	354	1166_2	2285	2283_6	2284
Enterococcus faecalis B4638 (1157408.3)	354	1136_2	2256	2254_6	2255
Enterococcus faecalis B4672 (1157409.3)	354	1145_2	2263	2261_6	2262
Enterococcus faecalis B4674 (1157410.3)	95	895_2	2015	2013_6	2014
Enterococcus faecalis B4969 (1157411.3)	354	1154_2	2278	2276_6	2277
Enterococcus faecalis B5035 (1158632.3)	356	1217_2	2335	2333_6	2334
Enterococcus faecalis B5076 (1157412.3)	352	1067_2	2127	2125_6	2126
Enterococcus faecalis B56765 (1151188.3)	1742	1565_2	514	516_6	515
Enterococcus faecalis B594 (1157365.3)	350	1147_2	2263	2261_6	2262
Enterococcus faecalis B653 (1169309.3)	280	919_2	1775	1773_6	1774
Enterococcus faecalis B69486 (1151189.3)	2418	1577_2	440	442_6	441
Enterococcus faecalis B84847 (1151190.3)	1590	185_2	1132	1130_6	1131
Enterococcus faecalis B878 (1157366.3)	325	1119_2	2240	2238_6	2239
Enterococcus faecalis B939 (1157367.3)	353	1127_2	2249	2247_6	2248
Enterococcus faecalis C19315WT (1151191.3)	337	1162_2	2251	2249_6	2250
Enterococcus faecalis CH116 (1158660.3)	378	1193_2	2170	2168_6	2169
Enterococcus faecalis CH136 (1158661.3)	397	1146_2	2120	2118_6	2119
Enterococcus faecalis CH188 (565644.5)	876	2269_2	1939	1937_6	1938
Enterococcus faecalis CH19 (1158627.3)	414	1163_2	2142	2140_6	2141
Enterococcus faecalis CH570 (1158656.3)	429	1196_2	2271	2269_6	2270
Enterococcus faecalis Com 2 (1158633.3)	357	1222_2	2112	2110_6	2111
Enterococcus faecalis Com 6 (1158634.3)	312	1018_2	1977	1975_6	1976
Enterococcus faecalis Com1 (1158671.3)	357	1198_2	2088	2086_6	2087
Enterococcus faecalis Com7 (1169306.3)	291	1111_2	2076	2074_6	2075
Enterococcus faecalis D1 (1169247.3)	304	1104_2	2034	2032_6	2033
Enterococcus faecalis D173 (1169310.3)	344	1057_2	2008	2006_6	2007
Enterococcus faecalis D3 (1169288.3)	345	1264_2	2194	2192_6	2193
Enterococcus faecalis D32 (1206105.3)	306	1000_2	2060	2058_6	2059
Enterococcus faecalis D6 (565650.5)	45	830_2	1450	1448_6	1449
Enterococcus faecalis DAPTO 512 (749489.3)	624	1416_2, 1417_2	427	429_6	428
Enterococcus faecalis DAPTO 516 (749490.3)	707	806_2, 807_2	511	513_6	512
Enterococcus faecalis DS16 (1158677.3)	307	999_2	1918	1916_6	1917
Enterococcus faecalis DS5 (565643.5)	924	2542_2	276	274_6	275
Enterococcus faecalis E1 (1158673.3)	309	1129_2	2046	2044_6	2045
Enterococcus faecalis E1Sol (565647.5)	682	2191_2	1284	1286_6	1285
Enterococcus faecalis E99 (1169284.3)	316	1223_2	2193	2191_6	2192
Enterococcus faecalis ERV103 (1134785.3)	861	2339_2	215	217_6	216
Enterococcus faecalis ERV116 (1134786.3)	931	2588_2	1357	1355_6	1356
Enterococcus faecalis ERV129 (1134787.3)	2794	764_2	685	687_6	686
Enterococcus faecalis ERV25 (1134788.3)	2874	1380_2	928	926_6	927
Enterococcus faecalis ERV31 (1134789.3)	2397	2848_2	501	503_6	502
Enterococcus faecalis ERV37 (1134790.3)	1281	872_2	1659	1657_6	1658
Enterococcus faecalis ERV41 (1134791.3)	642	1754_2	1935	1933_6	1934
Enterococcus faecalis ERV62 (1134792.3)	72	1546_2	1062	1060_6	1061
Enterococcus faecalis ERV63 (1134793.3)	2356	1208_2	607	609_6	608
Enterococcus faecalis ERV65 (1134794.3)	889	2501_2	1760	1758_6	1759
Enterococcus faecalis ERV68 (1134795.3)	1770	2448_2	2001	2003_6	2002
Enterococcus faecalis ERV72 (1134796.3)	455	1946_2	1779	1781_6	1780
Enterococcus faecalis ERV81 (1134798.3)	793	2125_2	1060	1058_6	1059
Enterococcus faecalis ERV85 (1134799.3)	2976	1092_2	1695	1693_6	1694
Enterococcus faecalis ERV93 (1134800.3)	2668	969_2	1674	1672_6	1673
Enterococcus faecalis EnGen0253 (1158540.3)	302	1086_2	2008	2006_6	2007
Enterococcus faecalis F1 (1169297.3)	399	1219_2	2171	2169_6	2170
Enterococcus faecalis FA2-2 (1158622.3)	320	1411_2	2444	2442_6	2443
Enterococcus faecalis Fly 2 (1169303.3)	350	1009_2	1876	1874_6	1875
Enterococcus faecalis Fly1 (565649.5)	607	2229_2	1227	1229_6	1228
Enterococcus faecalis HEF39 (1157368.3)	330	1141_2	2060	2058_6	2059
Enterococcus faecalis HH22 (491075.3)	2616	769_2	1567, 1568	1565_6	1566
Enterococcus faecalis HIP11704 (565646.5)	709	2531_2	1191	1189_6	1190
Enterococcus faecalis JH1 (565648.4)	2561	560_2	1970	1968_6	1969
