Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Staphylococcus epidermidis NIHLM037 (979210.3)	1051_1	985	987_9	1235_10	 	1648_13	354_15	1618_21, 521_17	 	 	 	 	 
Staphylococcus epidermidis NIHLM039 (979209.3)	628_1	694_6	692	444_10	 	179_13	796_15	208_21, 75_21	 	 	 	 	 
Staphylococcus epidermidis NIHLM040 (979208.3)	395_1	327	330_9	580_10	 	2008_13	217_15	1860_17, 2028_21	 	 	 	 	 
Staphylococcus epidermidis NIHLM049 (979207.3)	1437_1	1369_6	1371	1619_10	 	213_13	1270_15	185_21	 	 	 	 	 
Staphylococcus epidermidis NIHLM053 (979206.3)	884_1	692	694_9	1535_10	 	1763_13	1831_15	1782_21, 786_17	 	 	 	 	 
Staphylococcus epidermidis NIHLM057 (979205.3)	1594_1	1527	1529_9	1379_10	 	1997_13	2056_15	123_17, 2017_21	 	 	 	 	 
Staphylococcus epidermidis NIHLM061 (979204.3)	591_1	658	656_9	410_10	 	79_13	759_15	1326_17, 272_21, 98_21	 	 	 	 	 
Staphylococcus epidermidis NIHLM067 (979203.3)	792_1	726_6	728	1456_10	 	1535_13	633_15	1563_21	 	 	 	 	 
Staphylococcus epidermidis NIHLM087 (979201.3)	886_1	820	822_9	1453_10	 	1956_13	716_15	1929_21, 320_17	 	 	 	 	 
Staphylococcus epidermidis NIHLM088 (979200.3)	861_1	791_6	794_9	2027_10	 	1608_13	57_15	1638_21	 	 	 	 	 
Staphylococcus epidermidis NIHLM095 (979199.3)	746_1	813	811_9	1566_10	 	1908_13	917_15	1879_21, 574_17	 	 	 	 	 
Staphylococcus epidermidis RP62A (176279.9)	1074_1	1008_6	1010	1265_10	 	1420_13	914_15	1450_21, 369_17_20, 369_17_20	 	 	 	 	 
Staphylococcus epidermidis SK135 (596317.3)	1578_1	1644_6	1642	1382_10	 	68_13	1741_15	1232_17_20, 1232_17_20, 47_21	 	 	 	 	 
Staphylococcus epidermidis UC7032 (1327991.3)	2152_1	148	146_9	1268_10	 	296_13	653_15	276_21, 517_17	 	 	 	 	 
Staphylococcus epidermidis VCU028 (904317.3)	246_1	177_6	179	431_10	 	1587_13	1051_15	1298_21, 681_17_20, 681_17_20	 	 	 	 	 
Staphylococcus epidermidis VCU037 (904319.3)	524_1	457_6	459	709_10	 	197_13	1652_15	225_21	 	 	 	 	 
Staphylococcus epidermidis VCU041 (904320.3)	2281_1	2214_6	2216	341_10	 	2374_13	1818_15	2302_21	 	 	 	 	 
Staphylococcus epidermidis VCU045 (904321.3)	1528_1	1460_6	1462	528_10	 	1774_13	1271_15	1803_21, 193_17_20, 193_17_20	 	 	 	 	 
Staphylococcus epidermidis VCU065 (904324.3)	850_1	978_6	980	1427_10	 	1674_13	1043_15	1703_21	 	 	 	 	 
Staphylococcus epidermidis VCU071 (904325.3)	697_1	630	632_9	2024_10	 	1316_13	524_15	1335_21, 4_17	 	 	 	 	 
Staphylococcus epidermidis VCU081 (904326.3)	1525_1	938_6	940	437_10	 	543_13	324_15	571_21	 	 	 	 	 
Staphylococcus epidermidis VCU105 (904328.3)	1885_1	1816_6	1818	981_10	 	620_13	1716_15	639_21	 	 	 	 	 
Staphylococcus epidermidis VCU107 (904329.3)	1151_1	1084_6	1086	1677_10	 	264_13	1333_15	283_21	 	 	 	 	 
Staphylococcus epidermidis VCU109 (904330.3)	1151_1	1084_6	1086	1677_10	 	264_13	1333_15	283_21	 	 	 	 	 
Staphylococcus epidermidis VCU116 (904334.3)	2269_1	2207	2209_9	355_10	 	709_13	2107_15	1103_17, 730_21, 823_21	 	 	 	 	 
Staphylococcus epidermidis VCU117 (904335.3)	1562_1	2061_6	2063	1355_10	 	2220_13	765_15	2239_21	 	 	 	 	 
Staphylococcus epidermidis VCU118 (904336.3)	1246_1	1181	1183_9	763_10	 	1870_13	1690_15	1851_21, 633_17, 693_21	 	 	 	 	 
Staphylococcus epidermidis VCU120 (904337.3)	357_1	290	292	2153_10	 	1446_13	192_15	1426_21, 7_17	 	 	 	 	 
Staphylococcus epidermidis VCU123 (904340.3)	637_1	991_6	988	2148_10	 	1475_13	2074_15	811_21, 812_21	 	 	 	 	 
Staphylococcus epidermidis VCU125 (904341.3)	1935_1	1773_6	1775	1852_10	 	2080_13	269_15	2051_21	 	 	 	 	 
Staphylococcus epidermidis VCU126 (904342.3)	2114_1	2048_6	2050	1566_10	 	1434_13	193_15	1462_21	 	 	 	 	 
Staphylococcus epidermidis VCU127 (904343.3)	1321_1	1170_6	1172	1280_10	 	2235_13	1071_15	2207_21	 	 	 	 	327_29
Staphylococcus epidermidis VCU128 (904344.3)	248_1	181	183_9	625_10	 	1141_13	1634_15	1713_21, 2284_17	 	 	 	 	 
Staphylococcus epidermidis VCU129 (904345.3)	331_1	266	268_9	2188_10	 	1547_13	1096_15	1528_21, 933_17	 	 	 	 	 
Staphylococcus epidermidis VCU144 (904347.3)	1602_1	1534_6	1536	926_10	 	1028_13, 1029_13	647_15	763_21	 	 	 	 	 
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	2453_1	2389	2391_9	2646_10	 	110_13	2276_15	135_21, 1512_21, 1555_17, 555_20	 	 	 	 	 
Staphylococcus haemolyticus JCSC1435 (279808.8)	1358_1	1427_6	1425	1168_10	 	1023_13	1521_15	1004_21, 213_21, 2137_17	 	 	 	 	 
Staphylococcus haemolyticus R1P1 (1134914.3)	1411_1	1833_6	1835_9	678_10	 	1193_13	1329_15	103_21, 1063_17, 1212_21	 	 	 	 	 
Staphylococcus hominis SK119 (629742.3)	1944_1	1883	1885_9	369_10	 	2162_13	1799_15	1157_17, 1489_21, 2180_21	 	 	 	 	 
Staphylococcus hominis VCU122 (904339.3)	1483_1	1423	1425_9	131_10	 	258_13	1337_15	1200_21, 178_17, 277_21	 	 	 	 	 
Staphylococcus hominis subsp. hominis C80 (435837.3)	1380_1	1440	1438_9	1204_10	 	920_13	1523_15	196_21, 2038_17, 902_21	 	 	 	 	 
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	2073_1	2133	2131_9	1893_10	 	859_13	189_15	1715_17, 278_21, 877_21	 	 	 	 	 
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	379_1	443	441_9	197_10	 	55_13	537_15	1716_21, 2177_17, 36_21	 	 	 	 	 
Staphylococcus lugdunensis HKU09-01 (698737.3)	1315_1	1379	1377_9	1130_10	 	991_13	1475_15	2050_17, 223_21, 972_21	 	 	 	 	 
Staphylococcus lugdunensis M23590 (525377.3)	314_1	378	376_9	82_10	 	2282_13	472_15	1043_17, 1802_21, 2302_21	 	 	 	 	 
Staphylococcus lugdunensis N920143 (1034809.4)	1359_1	1423	1421_9	1177_10	 	1038_13	1517_15	1019_21, 2072_17, 223_21	 	 	 	 	 
Staphylococcus pettenkoferi VCU012 (904314.5)	1614_1	1273	1271_9	347_10	 	 	1153_15	865_21, 911_17	 	 	 	 	 
Staphylococcus pseudintermedius ED99 (984892.3)	1161_1	1228	1226_9	962_10	 	778_13	1302_15	140_21, 1892_17, 233_20, 758_21	 	 	 	 	 
Staphylococcus pseudintermedius HKU10-03 (937773.3)	1233_1	1166	1168_9	1502_10	 	1666_13	1094_15	1686_21, 2220_20, 2316_21, 435_17	 	 	 	 	 
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	1216_1	1282_6	1280_9	1025_10	 	875_13	1389_15	1989_17, 433_20, 854_21	 	 	 	 	 
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	1507_1	1445	1447_9	1682_10	 	2158_13	1354_15	1984_17, 2180_21, 909_20	 	 	 	 	 
Staphylococcus vitulinus F1028 (1167632.5)	1200_1	1239	1434_9	1382_10	 	972_13	762_15	1072_17, 1564_21, 979_20, 980_20	 	 	 	 	 
Staphylococcus warneri L37603 (596319.3)	1797_1	1045	1043_9	2073_10	 	2159_13	1233_15	109_21, 2126_21, 853_17	 	 	 	 	 
Staphylococcus warneri SG1 (1194526.3)	1198_1	1264_6	1262_9	1015_10	 	880_13	1356_15	1932_17, 861_21	 	 	 	 	 
Staphylococcus xylosus NJ (1262650.3)	2599_1	2534	2536_9	170_10	 	1486_13	2431_15	1168_20, 1466_21, 546_17, 590_21	 	 	 	 	 
Abiotrophia defectiva ATCC 49176 (592010.4)	1871_1, 569_1	2079_6	386	2635_10_13	 	2635_10_13	299_15	1099_21_16, 1099_21_16, 932_20	 	 	 	 	 
Aerococcus viridans ATCC 11563 (655812.3)	 	1520	1521_9	 	 	1330_13	199_24	1494_21, 41_21, 732_21	199_24	 	 	 	 
Aerococcus viridans LL1 (1175629.3)	 	1305	1306_9	 	 	1734_13	287_24	1278_21, 1489_21, 1546_21, 325_20, 39_21, 970_21	287_24	 	 	 	 
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	 	955_10	 	 	 	79_21, 886_18	 	 	 	 	 
Granulicatella elegans ATCC 700633 (626369.3)	 	 	 	1419_10	 	 	 	1121_21, 276_21, 936_21	 	 	 	 	 
Enterococcus asini ATCC 700915 (1158606.4)	2394_1	2395	2397_9	1063_10	 	2393_13	2396_15	1698_21, 1780_21, 708_20, 882_21	 	 	 	 	 
Enterococcus avium ATCC 14025 (1140002.4)	3823_1	3824	3826_9	201_10	 	3822_13	3825_15	1266_21, 1544_21, 2329_18, 2870_21, 3095_21, 3440_20, 3747_21, 452_21, 992_21	 	 	 	 	 
Enterococcus caccae ATCC BAA-1240 (1158612.4)	943_1	944	946_9	2923_10	 	942_13	945_15	1008_20, 1256_21, 1967_21, 2082_21	 	 	 	 	1811_29
Enterococcus casseliflavus ATCC 12755 (888066.3)	1836_1	1837_6	1839_9	1267_10	 	1835_13	1838_15	2035_21, 2400_21, 2618_18, 2803_20	 	 	 	 	 
Enterococcus casseliflavus EC10 (565654.4)	401_1	402_6	404	1374_10	 	400_13	403_15	2594_21, 2897_21, 611_20	 	 	 	 	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	 	2091	2093_9	755_10	 	2090_13	2092_15	1750_20, 1770_21, 1948_21	 	 	 	 	 
Enterococcus dispar ATCC 51266 (1139219.4)	371_1	372_6	374_9	1291_10	 	370_13	373_15	1472_21, 1562_20, 1835_21, 2628_21, 677_21	 	 	 	 	2106_29
Enterococcus durans ATCC 6056 (1140001.4)	1092_1	1091_6	1089_9	208_10	 	1093_13	1090_15	1071_18, 1643_21, 1659_21, 2497_21	 	 	 	 	309_29
Enterococcus durans FB129-CNAB-4 (883162.3)	1174_1	1175_6	1177_9	1900_10	 	1173_13	1176_15	1405_21, 1548_21, 2171_18, 2240_21, 665_21	 	 	 	 	2101_29
Enterococcus durans IPLA 655 (1288492.4)	1891_1	1892_6	1894_9	167_10	 	1890_13	1893_15	1910_18, 331_21, 349_21, 744_21	 	 	 	 	263_29
Enterococcus faecalis 12030 (1169282.3)	1909_1	1908	1906	1486_10, 250_10	 	1910_13	1907_15	1317_21, 153_21, 2492_21, 546_16_21, 546_16_21	 	 	 	 	1047_29
Enterococcus faecalis 12107 (1158664.3)	1340_1	1339	1337	1341_10_13, 2358_10, 277_10	 	1341_10_13	1338_15	1473_18, 180_21, 1869_21, 701_21	 	 	 	 	455_29
Enterococcus faecalis 1448E03 (1151193.3)	1438_1	1437	1435	1439_10_13, 2428_10, 270_10	 	1439_10_13	1436_15	1581_18, 1988_21, 825_21	 	 	 	 	587_29
Enterococcus faecalis 182970 (1151194.3)	346_1	347	349_9	2744_10	 	345_13	348_15	1119_21, 1740_21, 2661_21	 	 	 	 	1979_29
Enterococcus faecalis 19116 (1151195.3)	2100_1	2099	2097	2101_10_13, 2482_10, 2607_10	 	2101_10_13	2098_15	1486_21, 547_21, 73_18	 	 	 	 	1247_29
Enterococcus faecalis 2630V05 (1151196.3)	483_1	482	480_9	2395_10	 	484_13	481_15	1117_21, 1917_21, 2312_21	 	 	 	 	1679_29
Enterococcus faecalis 2924 (1151197.3)	1309_1	1308	1306_9	265_10	 	1310_13	1307_15	181_21, 1938_21, 674_21	 	 	 	 	436_29
Enterococcus faecalis 5952 (1158670.3)	1470_1	1469	1467_9	1040_10, 237_10, 2607_10	 	1471_13	1468_15	156_21, 2078_21, 2566_21, 813_21	 	 	 	 	564_29
Enterococcus faecalis 599 (1134784.3)	2099_1	2100	2102	2098_10_13, 715_10, 930_10	 	2098_10_13	2101_15	1969_18, 2740_21, 93_21	 	 	 	 	372_29
Enterococcus faecalis 599951 (1169281.3)	1959_1	1958	1956	1534_10, 289_10	 	1960_13	1957_15	1304_21, 154_21, 2657_21, 524_16_21, 524_16_21	 	 	 	 	1034_29
Enterococcus faecalis 62 (936153.3)	1891_1	1890	1888	44_10, 611_10	 	1892_13	1889_15	1231_21, 2027_18, 2499_21, 492_21	 	 	 	 	972_29
Enterococcus faecalis 7330082-2 (1151198.3)	468_1	467	465_9	2234_10, 2513_10	 	469_13	466_15	1337_21, 1953_21, 2597_21	 	 	 	 	1088_29
Enterococcus faecalis 7330112-3 (1151199.3)	1382_1	1383	1385	1381_10_13, 2766_10, 296_10	 	1381_10_13	1384_15	1997_21, 738_21	 	 	 	 	2236_29
Enterococcus faecalis 7330245-2 (1151200.3)	1572_1	1571	1569_9	1135_10, 1573_10_13, 231_10, 2644_10	 	1573_10_13	1570_15	2140_21, 703_21	 	 	 	 	453_29
Enterococcus faecalis 7330257-1 (1151201.3)	433_1	432	430	2263_10, 2782_10, 434_10_13	 	434_10_13	431_15	1037_21, 1611_21, 568_18	 	 	 	 	1851_29
Enterococcus faecalis 7330259-5 (1151202.3)	434_1	433	431	1542_10, 2381_10, 435_10_13	 	435_10_13	432_15	1042_21, 2185_21, 575_18	 	 	 	 	1946_29
Enterococcus faecalis 7330948-5 (1151204.3)	435_1	434	432	2405_10, 2675_10, 436_10_13	 	436_10_13	433_15	1002_21, 1936_21, 595_18	 	 	 	 	1696_29
Enterococcus faecalis 7430275-3 (1151205.3)	1009_1	1010	1012	1008_10_13, 2454_10, 2515_10	 	1008_10_13	1011_15	1621_21, 396_21, 865_18	 	 	 	 	1861_29
Enterococcus faecalis 7430315-3 (1151206.3)	924_1	925	927_9	1329_10, 1540_10	 	923_13	926_15	1627_21, 2308_21, 404_21	 	 	 	 	2562_29
Enterococcus faecalis 7430416-3 (1151207.3)	1398_1	1397	1395	1399_10_13, 229_10, 2390_10	 	1399_10_13	1396_15	1543_18, 1950_21, 785_21	 	 	 	 	546_29
Enterococcus faecalis 7430821-4 (1151208.3)	1026_1	1027	1029	1025_10_13, 2272_10, 2334_10	 	1025_10_13	1028_15	1641_21, 397_21, 864_18	 	 	 	 	1881_29
Enterococcus faecalis 79-3 (1169283.3)	1928_1	1927	1925	1502_10, 286_10	 	1929_13	1926_15	1307_21, 152_21, 2573_21, 553_16_21, 553_16_21	 	 	 	 	1037_29
Enterococcus faecalis A-2-1 (1169245.3)	1433_1	1432	1430	1005_10, 254_10, 2589_10	 	1434_13	1431_15	2120_21, 774_21	 	 	 	 	541_29
Enterococcus faecalis A-3-1 (1169246.3)	1490_1	1489	1487	225_10, 2591_10	 	1491_13	1488_15	128_21, 2042_21, 807_21	 	 	 	 	541_29
Enterococcus faecalis AR01/DG (565651.6)	148_1	147	145	1656_10	 	149_13	146_15	1574_21, 2045_21, 620_21	 	 	 	 	1801_29
Enterococcus faecalis ATCC 10100 (1169312.3)	1500_1	1499	1497	245_10, 2585_10	 	1501_13	1498_15	152_21, 2055_21, 840_21	 	 	 	 	570_29
Enterococcus faecalis ATCC 19433 (1169286.3)	1363_1	1362	1360	240_10, 2521_10, 933_10	 	1364_13	1361_15	156_21, 2000_21, 759_21	 	 	 	 	527_29
Enterococcus faecalis ATCC 27275 (1158675.3)	1472_1	1471	1469	243_10, 2552_10	 	1473_13	1470_15	151_21, 2024_21, 827_21	 	 	 	 	578_29
Enterococcus faecalis ATCC 27959 (1158676.3)	1145_1	1144	1142	2189_10, 2791_10	 	1146_13	1143_15	1696_21, 2695_21, 540_21	 	 	 	 	293_29
Enterococcus faecalis ATCC 29200 (525271.4)	455_1	456	458	2086_10, 2333_10, 454_10_13, 917_10	 	454_10_13	457_15	1284_21, 1636_21, 2414_21, 324_18	 	 	 	 	1919_29
Enterococcus faecalis ATCC 29212 (1201292.3)	342_1	343	345_9	1970_10, 2436_10, 643_10	 	341_13	344_15	1129_21, 1168_21, 1225_21, 2314_21, 2315_21, 2316_21	 	 	 	 	2184_29, 2185_29
Enterococcus faecalis ATCC 35038 (1169290.3)	1381_1	1380	1378	2527_10, 303_10, 911_10	 	1382_13	1379_15	1511_18, 166_21, 2094_21, 739_21	 	 	 	 	 
Enterococcus faecalis ATCC 4200 (565642.4)	1997_1	1996	1994	1426_10, 1660_10	 	1998_13	1995_15	1739_21, 484_21, 934_21	 	 	 	 	657_29
Enterococcus faecalis ATCC 6055 (1169311.3)	1352_1	1351	1349	298_10	 	1353_13	1350_15	161_21, 1927_21, 725_21	 	 	 	 	459_29
Enterococcus faecalis B-4-111 (1169302.3)	1733_1	1732	1730	105_10, 660_10	 	1734_13	1731_15	1081_21, 2271_21, 577_21	 	 	 	 	819_29
Enterococcus faecalis B1005 (1157378.3)	1642_1	1641	1639	1160_10, 239_10, 2982_10	 	1643_13	1640_15	155_21, 2352_21, 994_21	 	 	 	 	750_29
Enterococcus faecalis B1138 (1157379.3)	1040_1	1039	1037	2319_10, 2863_10, 558_10	 	1041_13	1038_15	1749_21, 2779_21, 392_21	 	 	 	 	148_29
Enterococcus faecalis B1249 (1157380.3)	1819_1	1818	1816	1338_10, 5_10, 549_10	 	1820_13	1817_15	1171_21, 2527_21, 464_21	 	 	 	 	927_29
Enterococcus faecalis B1290 (1151209.3)	494_1	493	491	13_10, 2266_10, 2813_10	 	495_13	492_15	1204_21, 1858_21, 2728_21	 	 	 	 	2102_29
Enterococcus faecalis B1327 (1151210.3)	1253_1	1252	1250	2533_10, 3078_10, 772_10	 	1254_13	1251_15	1962_21, 2994_21, 606_21	 	 	 	 	362_29
Enterococcus faecalis B1376 (1151211.3)	495_1	494	492	13_10, 2540_10, 2860_10	 	496_13	493_15	1205_21, 2261_21, 2945_21	 	 	 	 	2017_29
Enterococcus faecalis B1385 (1151212.3)	1586_1	1587	1589	2068_10, 304_10, 3081_10	 	1585_13	1588_15	2235_21, 2996_21, 877_21	 	 	 	 	2478_29
Enterococcus faecalis B1441 (1157342.3)	1515_1	1514	1512	1033_10, 241_10, 2795_10	 	1516_13	1513_15	156_21, 2225_21, 866_21	 	 	 	 	622_29
Enterococcus faecalis B1505 (1157343.3)	1498_1	1497	1495	1015_10, 242_10, 2717_10	 	1499_13	1496_15	158_21, 2146_21, 848_21	 	 	 	 	604_29
Enterococcus faecalis B1532 (1157344.3)	1509_1	1508	1506	1028_10, 239_10, 2790_10	 	1510_13	1507_15	155_21, 2219_21, 863_21	 	 	 	 	619_29
Enterococcus faecalis B15725 (1151186.3)	1236_1	1235	1233	2437_10, 2484_10, 744_10	 	1237_13	1234_15	1611_21, 2582_21, 485_21	 	 	 	 	1860_29
Enterococcus faecalis B1586 (1157345.3)	2545_1	2544	2542	1277_10, 2063_10, 731_10	 	2546_13	2543_15	1192_21, 160_21, 1896_21	 	 	 	 	1652_29
Enterococcus faecalis B1618 (1157346.3)	1515_1	1514	1512	1033_10, 240_10, 2795_10	 	1516_13	1513_15	155_21, 2224_21, 866_21	 	 	 	 	622_29
Enterococcus faecalis B1623 (1157347.3)	1946_1	1945	1943	126_10, 1464_10, 669_10	 	1947_13	1944_15	1298_21, 2655_21, 583_21	 	 	 	 	1054_29
Enterococcus faecalis B16457 (1151187.3)	1533_1	1534	1536_9	2893_10	 	1532_13	1535_15	2128_21, 2784_21, 893_21	 	 	 	 	2370_29
Enterococcus faecalis B1678 (1157348.3)	1505_1	1504	1502	1025_10, 239_10, 2787_10	 	1506_13	1503_15	156_21, 2215_21, 859_21	 	 	 	 	616_29
Enterococcus faecalis B1696 (1157349.3)	1498_1	1497	1495	1016_10, 243_10, 2777_10	 	1499_13	1496_15	158_21, 2144_21, 849_21	 	 	 	 	605_29
Enterococcus faecalis B1719 (1157350.3)	1529_1	1528	1526	1046_10, 242_10, 2812_10	 	1530_13	1527_15	157_21, 2238_21, 878_21	 	 	 	 	634_29
Enterococcus faecalis B1734 (1157351.3)	1516_1	1515	1513	1034_10, 241_10, 2798_10	 	1517_13	1514_15	155_21, 2225_21, 868_21	 	 	 	 	624_29
Enterococcus faecalis B1843 (1157352.3)	1515_1	1514	1512	1032_10, 242_10, 2799_10	 	1516_13	1513_15	157_21, 2225_21, 865_21	 	 	 	 	621_29
Enterococcus faecalis B1851 (1157381.3)	1513_1	1512	1510	1032_10, 241_10, 2808_10	 	1514_13	1511_15	157_21, 2221_21, 866_21	 	 	 	 	622_29
Enterococcus faecalis B1874 (1157353.3)	1500_1	1499	1497	1018_10, 241_10, 2782_10	 	1501_13	1498_15	157_21, 2208_21, 853_21	 	 	 	 	609_29
Enterococcus faecalis B1921 (1157382.3)	1385_1	1384	1382	230_10, 2461_10	 	1386_13	1383_15	1916_21, 2360_16_21, 2360_16_21, 791_21	 	 	 	 	535_29
Enterococcus faecalis B1933 (1157383.3)	1517_1	1516	1514	1036_10, 242_10, 2798_10	 	1518_13	1515_15	157_21, 2226_21, 869_21	 	 	 	 	626_29
Enterococcus faecalis B2202 (1157384.3)	1506_1	1505	1503	1025_10, 242_10, 2806_10	 	1507_13	1504_15	157_21, 2214_21, 859_21	 	 	 	 	616_29
Enterococcus faecalis B2207 (1157354.3)	1388_1	1387	1385	230_10, 2464_10	 	1389_13	1386_15	1921_21, 2365_16_21, 2365_16_21, 794_21	 	 	 	 	537_29
Enterococcus faecalis B2211 (1157385.3)	1588_1	1587	1585	1106_10, 241_10, 2882_10	 	1589_13	1586_15	157_21, 2297_21, 939_21	 	 	 	 	696_29
Enterococcus faecalis B2255 (1157355.3)	1504_1	1503	1501	1024_10, 240_10, 2786_10	 	1505_13	1502_15	156_21, 2213_21, 856_21	 	 	 	 	612_29
Enterococcus faecalis B2277 (1157386.3)	1596_1	1595	1593	1112_10, 241_10, 2900_10	 	1597_13	1594_15	157_21, 2307_21, 945_21	 	 	 	 	702_29
Enterococcus faecalis B2391 (1157356.3)	1508_1	1507	1505	1026_10, 243_10, 2806_10	 	1509_13	1506_15	158_21, 2215_21, 859_21	 	 	 	 	615_29
Enterococcus faecalis B2488 (1157357.3)	1503_1	1502	1500	1022_10, 241_10, 2804_10	 	1504_13	1501_15	156_21, 2212_21, 856_21	 	 	 	 	612_29
Enterococcus faecalis B2535 (1157358.3)	1500_1	1499	1497	1020_10, 242_10, 2812_10	 	1501_13	1498_15	157_21, 2212_21, 853_21	 	 	 	 	608_29
Enterococcus faecalis B2557 (1157359.3)	1507_1	1506	1504	1026_10, 241_10, 2796_10	 	1508_13	1505_15	156_21, 2218_21, 860_21	 	 	 	 	616_29
Enterococcus faecalis B2593 (1157360.3)	1853_1	1852	1850	1372_10, 40_10, 585_10	 	1854_13	1851_15	1206_21, 2562_21, 501_21	 	 	 	 	962_29
Enterococcus faecalis B2670 (1157387.3)	1503_1	1502	1500	1022_10, 241_10, 2782_10	 	1504_13	1501_15	156_21, 2211_21, 856_21	 	 	 	 	612_29
Enterococcus faecalis B2685 (1157388.3)	1503_1	1502	1500	1021_10, 241_10, 2794_10	 	1504_13	1501_15	157_21, 2213_21, 854_21	 	 	 	 	611_29
Enterococcus faecalis B2687 (1157389.3)	1833_1	1832	1830	1351_10, 552_10, 9_10	 	1834_13	1831_15	1185_21, 2542_21, 467_21	 	 	 	 	941_29
Enterococcus faecalis B2802 (1157390.3)	1597_1	1596	1594	1116_10, 216_10, 2905_10	 	1598_13	1595_15	132_21, 2304_21, 949_21	 	 	 	 	705_29
Enterococcus faecalis B2864 (1157392.3)	1512_1	1511	1509	1030_10, 241_10, 2804_10	 	1513_13	1510_15	157_21, 2220_21, 863_21	 	 	 	 	619_29
Enterococcus faecalis B2867 (1157393.3)	1595_1	1594	1592	1113_10, 244_10, 2912_10	 	1596_13	1593_15	160_21, 2305_21, 946_21	 	 	 	 	702_29
Enterococcus faecalis B2949 (1157394.3)	1549_1	1548	1546	1067_10, 240_10, 2828_10	 	1550_13	1547_15	156_21, 2254_21, 901_21	 	 	 	 	658_29
Enterococcus faecalis B3031 (1157361.3)	1508_1	1507	1505	1027_10, 240_10, 2788_10	 	1509_13	1506_15	155_21, 2217_21, 861_21	 	 	 	 	617_29
Enterococcus faecalis B3042 (1157362.3)	1502_1	1501	1499	1019_10, 241_10, 2732_10	 	1503_13	1500_15	156_21, 2149_21, 853_21	 	 	 	 	609_29
Enterococcus faecalis B3053 (1157363.3)	1523_1	1522	1520	1041_10, 243_10, 2828_10	 	1524_13	1521_15	158_21, 2233_21, 875_21	 	 	 	 	631_29
Enterococcus faecalis B3119 (1157395.3)	1589_1	1588	1586	1107_10, 241_10, 2870_10	 	1590_13	1587_15	157_21, 2298_21, 941_21	 	 	 	 	697_29
Enterococcus faecalis B3126 (1157364.3)	1541_1	1540	1538	1059_10, 241_10, 2825_10	 	1542_13	1539_15	156_21, 2251_21, 892_21	 	 	 	 	648_29
Enterococcus faecalis B3196 (1157396.3)	1597_1	1596	1594	1115_10, 241_10, 2893_10	 	1598_13	1595_15	156_21, 2305_21, 949_21	 	 	 	 	705_29
Enterococcus faecalis B3286 (1157397.3)	1564_1	1563	1561	1082_10, 242_10, 2885_10	 	1565_13	1562_15	157_21, 2272_21, 916_21	 	 	 	 	673_29
Enterococcus faecalis B3336 (1157398.3)	1468_1	1467	1465	1035_10, 2682_10, 271_10	 	1469_13	1466_15	174_21, 2174_21, 868_21	 	 	 	 	621_29
Enterococcus faecalis B4008 (1157399.3)	1598_1	1597	1595	1116_10, 240_10, 2881_10	 	1599_13	1596_15	155_21, 2309_21, 950_21	 	 	 	 	706_29
Enterococcus faecalis B4018 (1157400.3)	1557_1	1556	1554	1075_10, 240_10, 2854_10	 	1558_13	1555_15	156_21, 2266_21, 908_21	 	 	 	 	664_29
Enterococcus faecalis B4148 (1157401.3)	1570_1	1569	1567	1090_10, 239_10, 2904_10	 	1571_13	1568_15	154_21, 2281_21, 922_21	 	 	 	 	679_29
Enterococcus faecalis B4163 (1157402.3)	1919_1	1918	1916	1438_10, 23_10, 568_10	 	1920_13	1917_15	1271_21, 2628_21, 483_21	 	 	 	 	1027_29
Enterococcus faecalis B4259 (1157403.3)	1611_1	1610	1608	1130_10, 243_10, 2907_10	 	1612_13	1609_15	157_21, 2321_21, 963_21	 	 	 	 	719_29
Enterococcus faecalis B4267 (1157404.3)	1599_1	1598	1596	1116_10, 242_10, 2896_10	 	1600_13	1597_15	157_21, 2307_21, 949_21	 	 	 	 	705_29
Enterococcus faecalis B4270 (1157405.3)	1489_1	1488	1486	1007_10, 215_10, 2769_10	 	1490_13	1487_15	130_21, 2198_21, 841_21	 	 	 	 	597_29
Enterococcus faecalis B4411 (1157406.3)	1906_1	1905	1903	1424_10, 23_10, 569_10	 	1907_13	1904_15	1258_21, 2614_21, 484_21	 	 	 	 	1014_29
Enterococcus faecalis B4568 (1157407.3)	1535_1	1534	1532	1052_10, 241_10, 2835_10	 	1536_13	1533_15	156_21, 2242_21, 886_21	 	 	 	 	642_29
Enterococcus faecalis B4638 (1157408.3)	1504_1	1503	1501	1024_10, 242_10, 2822_10	 	1505_13	1502_15	157_21, 2214_21, 857_21	 	 	 	 	614_29
Enterococcus faecalis B4672 (1157409.3)	1513_1	1512	1510	1032_10, 241_10, 2811_10	 	1514_13	1511_15	156_21, 2221_21, 864_21	 	 	 	 	620_29
