Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Enterococcus faecium EnGen0308 (1158642.3)	 	 	 	 	 	 	 	1215_14, 1216_13	 	1333_18, 1413_18	2288	 	 	 	 	 	 	 	 	 	 	 	 	 	1954, 2023	1953, 2022	1952	 	 	 	 	 	2412	 	 	 	 
Enterococcus faecium EnGen0312 (1158652.3)	 	 	 	 	 	 	 	700_13, 701_14	 	501_18, 578_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	1067, 999	1000, 1068	1069	 	 	 	 	 	414	 	 	 	 
Enterococcus faecium EnGen0314 (1158646.3)	 	 	 	 	 	 	 	1371_13, 1372_14	 	1175_18, 1249_18	59	 	 	 	 	 	 	 	 	 	 	 	 	 	357, 425	358, 426	427	 	 	 	 	 	757	 	 	 	 
Enterococcus faecium EnGen0316 (1158647.3)	 	 	 	 	 	 	 	2142_13, 2143_14	 	1945_18, 2019_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	361, 429	362, 430	431	 	 	 	 	 	1170	 	 	 	 
Enterococcus faecium EnGen0318 (1158648.3)	 	 	 	 	 	 	 	1810_13, 1811_14	 	1614_18, 1688_18	59	 	 	 	 	 	 	 	 	 	 	 	 	 	1402, 1470	1403, 1471	1472	 	 	 	 	 	1184	 	 	 	 
Enterococcus faecium EnGen0319 (1158649.3)	 	 	 	 	 	 	 	2094_13, 2095_14	 	1900_18, 1973_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	362, 430	363, 431	432	 	 	 	 	 	1551	 	 	 	 
Enterococcus faecium EnGen0321 (1158650.3)	 	 	 	 	 	 	 	1326_13, 1327_14	 	1128_18, 1203_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	364, 433	365, 434	435	 	 	 	 	 	1954	 	 	 	 
Enterococcus faecium EnGen0323 (1158651.3)	 	 	 	 	 	 	 	1064_13, 1065_14	 	866_18, 940_18	59	 	 	 	 	 	 	 	 	 	 	 	 	 	700, 768	701, 769	770	 	 	 	 	 	474	 	 	 	 
Enterococcus faecium EnGen0375 (1138937.4)	 	 	 	 	 	 	 	1298_13, 1299_14	 	1027_18, 1177_18	717	 	 	 	 	 	 	 	 	 	 	 	 	 	1107, 396	1108, 395	1109	 	 	 	 	 	942	 	 	 	 
Enterococcus faecium EnGen0376 (1138938.4)	 	 	 	 	 	 	 	943_13, 944_14	 	746_18, 819_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	301, 370	300, 369	299	 	 	 	 	 	661	 	 	 	 
Enterococcus faecium EnGen0377 (1138939.4)	 	 	 	 	 	 	 	1912_14, 1913_13	 	2035_18, 2114_18	851	 	 	 	 	 	 	 	 	 	 	 	 	 	472, 542	471, 540	470	 	 	 	 	 	1075	 	 	 	 
Enterococcus faecium ERV1 (1134819.3)	 	 	 	 	 	 	 	201_13, 202_14	 	2357_18, 2685_18, 2881_18	482	 	 	 	 	 	 	 	 	 	 	 	 	 	2232, 2711	2231, 2712	2230	 	 	 	 	 	1742	 	 	 	 
Enterococcus faecium F9730129-1 (1157479.3)	 	 	 	 	 	 	 	1905_14, 1906_13	 	2026_18, 2569_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	342	343	344	 	 	 	 	 	 	 	 	 	 
Enterococcus faecium H17243 (1157444.3)	 	 	 	 	 	 	 	2456_13, 2457_14	 	2259_18, 2297_18, 2338_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	312, 377	313, 378	379	 	 	 	 	 	1818	 	 	 	 
Enterococcus faecium H17575 (1157446.3)	 	 	 	 	 	 	 	1092_13, 1093_14	 	1930_18, 973_18	49	 	 	 	 	 	 	 	 	 	 	 	 	 	319, 387	320, 388	389	 	 	 	 	 	850	 	 	 	 
Enterococcus faecium HF50104 (1157480.3)	 	 	 	 	 	 	 	1584_13, 1585_14	 	1277_18, 1356_18, 1462_18	49	 	 	 	 	 	 	 	 	 	 	 	 	 	322, 389	323, 390	391	 	 	 	 	 	567	 	 	 	 
Enterococcus faecium HF50105 (1157481.3)	 	 	 	 	 	 	 	937_13, 938_14	 	1794_18, 817_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	318, 385	319, 386	387	 	 	 	 	 	2489	 	 	 	 
Enterococcus faecium HF50106 (1157482.3)	 	 	 	 	 	 	 	1265_13, 1266_14	 	1146_18, 2107_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	318, 385	319, 386	387	 	 	 	 	 	801	 	 	 	 
Enterococcus faecium HF50203 (1157483.3)	 	 	 	 	 	 	 	1765_14, 1766_13	 	1889_18, 1931_18, 1932_18, 1998_18	49	 	 	 	 	 	 	 	 	 	 	 	 	 	306, 373	307, 374	375	 	 	 	 	 	2530	 	 	 	 
Enterococcus faecium HF50204 (1157484.3)	 	 	 	 	 	 	 	1499_13, 1500_14	 	1138_18, 1170_18, 1381_18	309	 	 	 	 	 	 	 	 	 	 	 	 	 	577, 644	578, 645	646	 	 	 	 	 	1258	 	 	 	 
Enterococcus faecium HF50215 (1157485.3)	 	 	 	 	 	 	 	1979_13, 1980_14	 	1362_18, 1812_18, 1855_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	320, 387	321, 388	389	 	 	 	 	 	808	 	 	 	 
Enterococcus faecium HM1071 (1157447.3)	 	 	 	 	 	 	 	2217_14, 2218_13	 	2128_18, 2341_18, 2343_18	97	 	 	 	 	 	 	 	 	 	 	 	 	 	771, 838	772, 839	840	 	 	 	 	 	2854	 	 	 	 
Enterococcus faecium HM1072 (1157487.3)	 	 	 	 	 	 	 	2299_14, 2300_13, 2506_15	 	2463_18, 2634_18, 410_18	56	 	 	 	 	 	 	 	 	 	 	 	 	 	2888	2887	2886	 	 	 	 	 	750	 	 	 	 
Enterococcus faecium HM1073 (1157486.3)	 	 	 	 	 	 	 	2045_12, 2186_14, 2187_13	 	2345_18, 2468_18	57	 	 	 	 	 	 	 	 	 	 	 	 	 	369, 430	370, 431	432	 	 	 	 	 	570	 	 	 	 
Enterococcus faecium HM1074 (1157448.3)	 	 	 	 	 	 	 	324_13, 325_14	 	1331_18, 472_18	75	 	 	 	 	 	 	 	 	 	 	 	 	 	1780, 1833	1779, 1832	1778	 	 	 	 	 	2581	 	 	 	 
Enterococcus faecium LCT-EF128 (1178528.3)	 	 	 	 	 	 	 	1043_13, 1044_14	 	2527_18, 927_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	307, 371	308, 372	373	 	 	 	 	 	2332	 	 	 	 
Enterococcus faecium LCT-EF20 (1245477.3)	 	 	 	 	 	 	 	1362_14, 1363_13, 980_15	 	1491_19, 2560_18	1722, 2680	 	 	 	 	 	 	 	 	 	 	 	 	 	137, 71	138, 72	139	 	 	 	 	 	1860	 	 	 	 
Enterococcus faecium LCT-EF258 (1245478.3)	 	 	 	 	 	 	 	1517_14, 1518_13, 1938_15	 	1646_19, 49_18	2674, 956	 	 	 	 	 	 	 	 	 	 	 	 	 	590, 656	589, 655	588	 	 	 	 	 	1716	 	 	 	 
Enterococcus faecium LCT-EF90 (1167697.3)	 	 	 	 	 	 	 	1299_15, 1578_13, 1579_14	 	1450_19, 44_18	2021, 949	 	 	 	 	 	 	 	 	 	 	 	 	 	585, 651	584, 650	583	 	 	 	 	 	1078	 	 	 	 
Enterococcus faecium NRRL B-2354 (1104325.3)	 	 	 	 	 	 	 	1080_13, 1081_14	 	881_18, 924_18, 963_18	41	 	 	 	 	 	 	 	 	 	 	 	 	 	299, 361	300, 362	363	 	 	 	 	 	2495	 	 	 	 
Enterococcus faecium PC4.1 (791161.5)	 	 	 	 	 	 	 	2030_15, 650_14, 651_13, 652_13	 	2766_18	2180, 2443	 	 	 	 	 	 	 	 	 	 	 	 	 	1454	1455	1456	 	 	 	 	 	1905	 	 	 	 
Enterococcus faecium S658-3 (1157451.3)	 	 	 	 	 	 	 	1145_13, 1146_14	 	1027_18, 891_18	49	 	 	 	 	 	 	 	 	 	 	 	 	 	317, 384	318, 385	386	 	 	 	 	 	2335	 	 	 	 
Enterococcus faecium TC 6 (565666.3)	 	 	 	 	 	 	 	975_13, 976_14	 	1665_18, 243_18	484	 	 	 	 	 	 	 	 	 	 	 	 	 	304, 334	303, 335	302	 	 	 	 	 	125	 	 	 	 
Enterococcus faecium TX0082 (749520.3)	 	 	 	 	 	 	 	1347_13, 1348_14	 	1613_18, 1944_18, 2655_18	483	 	 	 	 	 	 	 	 	 	 	 	 	 	2560, 849	2559, 848	2557, 2558	 	 	 	 	 	1792	 	 	 	 
Enterococcus faecium TX0133A (749521.3)	 	 	 	 	 	 	 	377_14, 378_13	 	2756_18, 2838_18, 2930_18	259	 	 	 	 	 	 	 	 	 	 	 	 	 	1978, 2858	1979, 2859	2860	 	 	 	 	 	2047	 	 	 	 
Enterococcus faecium TX0133a04 (749523.3)	 	 	 	 	 	 	 	461_14, 462_13	 	2456_18, 2882_18, 2911_18	255	 	 	 	 	 	 	 	 	 	 	 	 	 	1590, 2363	1591, 2362	2361	 	 	 	 	 	2493	 	 	 	 
Enterococcus faecium TX0133B (749524.3)	 	 	 	 	 	 	 	1541_14, 1542_13	 	1293_18, 2155_18, 2945_18	174	 	 	 	 	 	 	 	 	 	 	 	 	 	2060, 90	2059, 91	2058	 	 	 	 	 	2187	 	 	 	 
Enterococcus faecium TX0133C (749525.3)	 	 	 	 	 	 	 	728_13, 729_14	 	1554_18, 2695_18, 829_18	1871	 	 	 	 	 	 	 	 	 	 	 	 	 	2287, 638	2286, 639	640	 	 	 	 	 	1528	 	 	 	 
Enterococcus faecium TX1330 (525279.3)	 	 	 	 	 	 	 	1880_15, 371_14, 372_13	 	518_18	1527, 2	 	 	 	 	 	 	 	 	 	 	 	 	 	1390	1391	1392	 	 	 	 	 	2161	 	 	 	 
Enterococcus faecium U0317 (547468.4)	 	 	 	 	 	 	 	428_13, 429_14	 	1166_18, 126_18	2685	 	 	 	 	 	 	 	 	 	 	 	 	 	1767, 499	1766, 500	1765	 	 	 	 	 	328	 	 	 	 
Enterococcus faecium UAA1007 (1158545.3)	 	 	 	 	 	 	 	845_13, 846_14	 	1555_18, 718_18, 719_18	87	 	 	 	 	 	 	 	 	 	 	 	 	 	387	388	389	 	 	 	 	 	624	 	 	 	 
Enterococcus faecium UAA1019 (1158547.3)	 	 	 	 	 	 	 	2172_14, 2173_13	 	2295_18, 2297_18, 2423_18	86	 	 	 	 	 	 	 	 	 	 	 	 	 	341, 405	342, 406	407	 	 	 	 	 	1409	 	 	 	 
Enterococcus faecium UAA1022 (1158548.3)	 	 	 	 	 	 	 	802_13, 803_14	 	1726_18, 684_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	309, 378	310, 379	380	 	 	 	 	 	509	 	 	 	 
Enterococcus faecium UAA1023 (1158549.3)	 	 	 	 	 	 	 	2095_13, 2096_14	 	1846_18, 1965_18	81	 	 	 	 	 	 	 	 	 	 	 	 	 	1003, 937	1004, 938	1005	 	 	 	 	 	372	 	 	 	 
Enterococcus faecium UAA1024 (1158550.3)	 	 	 	 	 	 	 	1225_14, 1226_13	 	1355_18, 1477_18	82	 	 	 	 	 	 	 	 	 	 	 	 	 	2042, 2108	2043, 2109	2110	 	 	 	 	 	2871	 	 	 	 
Enterococcus faecium UAA1025 (1158551.3)	 	 	 	 	 	 	 	1363_13, 1364_14	 	1240_18, 1241_18, 2614_18, 729_18	89	 	 	 	 	 	 	 	 	 	 	 	 	 	343, 408	344, 409	410	 	 	 	 	 	564	 	 	 	 
Enterococcus faecium UAA1280 (1158553.3)	 	 	 	 	 	 	 	1300_13, 1301_14, 1397_12	 	1161_19	1910, 67	 	 	 	 	 	 	 	 	 	 	 	 	 	405	406	407	 	 	 	 	 	2343	 	 	 	 
Enterococcus faecium UAA1433 (1158554.3)	 	 	 	 	 	 	 	1705_13, 1706_14	 	1507_18, 1578_18	87	 	 	 	 	 	 	 	 	 	 	 	 	 	333, 398	334, 399	400	 	 	 	 	 	897	 	 	 	 
Enterococcus faecium UAA1484 (1158555.3)	 	 	 	 	 	 	 	1806_14, 1807_13	 	1928_18, 1929_18, 2053_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	312, 379	313, 380	381	 	 	 	 	 	790	 	 	 	 
Enterococcus faecium UAA210 (1158635.3)	 	 	 	 	 	 	 	2083_13, 2084_14	 	1550_18, 2292_18	54	 	 	 	 	 	 	 	 	 	 	 	 	 	385, 440	386, 441	442	 	 	 	 	 	2476	 	 	 	 
Enterococcus faecium UAA407 (1158636.3)	 	 	 	 	 	 	 	1736_13, 1737_14	 	1028_18, 1585_18, 2527_18	55	 	 	 	 	 	 	 	 	 	 	 	 	 	521, 574	522, 575	576	 	 	 	 	 	2715	 	 	 	 
Enterococcus faecium UAA430 (1158638.3)	 	 	 	 	 	 	 	1169_13, 1170_14	 	1038_18, 2473_18	57	 	 	 	 	 	 	 	 	 	 	 	 	 	317, 370	318, 371	372	 	 	 	 	 	503	 	 	 	 
Enterococcus faecium UAA431 (1158639.3)	 	 	 	 	 	 	 	2083_13, 2084_14	 	1730_18, 1839_18, 1963_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	321, 386	322, 387	388	 	 	 	 	 	2553, 2554	 	 	 	 
Enterococcus faecium UAA714 (1157453.3)	 	 	 	 	 	 	 	1984_13, 1985_14	 	1740_18, 1865_18, 2331_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	2645, 2710	2644, 2709	2643	 	 	 	 	 	2518, 2519	 	 	 	 
Enterococcus faecium UAA715 (1157454.3)	 	 	 	 	 	 	 	2125_14, 2126_13	 	2246_18, 2368_18, 2411_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	319, 384	320, 385	386	 	 	 	 	 	948, 949	 	 	 	 
Enterococcus faecium UAA716 (1157455.3)	 	 	 	 	 	 	 	1205_13, 1206_14	 	1076_18, 995_18	51	 	 	 	 	 	 	 	 	 	 	 	 	 	415	416	417	 	 	 	 	 	633	 	 	 	 
Enterococcus faecium UAA718 (1157456.3)	 	 	 	 	 	 	 	1319_13, 1320_14	 	1203_18, 1696_18, 1925_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	319, 384	320, 385	386	 	 	 	 	 	2708, 2709	 	 	 	 
Enterococcus faecium UAA719 (1157457.3)	 	 	 	 	 	 	 	1131_13, 1132_14	 	1013_18, 1696_18, 1917_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	303, 368	304, 369	370	 	 	 	 	 	2697, 2698	 	 	 	 
Enterococcus faecium UAA720 (1157458.3)	 	 	 	 	 	 	 	2277_14, 2278_13	 	2401_18, 2403_18, 2528_18	211	 	 	 	 	 	 	 	 	 	 	 	 	 	465, 532	466, 533	534	 	 	 	 	 	82	 	 	 	 
Enterococcus faecium UAA721 (1157459.3)	 	 	 	 	 	 	 	682_13, 683_14	 	1491_18, 1524_18, 556_18	50	 	 	 	 	 	 	 	 	 	 	 	 	 	325, 392	326, 393	394	 	 	 	 	 	2556	 	 	 	 
Enterococcus faecium UAA722 (1157460.3)	 	 	 	 	 	 	 	1076_13, 1077_14	 	1933_18, 2105_18, 965_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	305, 374	306, 375	376	 	 	 	 	 	 	 	 	 	 
Enterococcus faecium UAA723 (1157461.3)	 	 	 	 	 	 	 	1768_13, 1769_14	 	1231_18, 1643_18, 1826_18	84	 	 	 	 	 	 	 	 	 	 	 	 	 	379, 445	380, 446	447	 	 	 	 	 	2619	 	 	 	 
Enterococcus faecium UAA724 (1157462.3)	 	 	 	 	 	 	 	1603_13, 1604_14	 	1358_18, 1477_18	2184, 84	 	 	 	 	 	 	 	 	 	 	 	 	 	2303, 2369	2304, 2370	2371	 	 	 	 	 	380	 	 	 	 
Enterococcus faecium UAA725 (1157463.3)	 	 	 	 	 	 	 	2534_14, 2535_13	 	1474_18, 2655_18, 2656_18, 2782_18	71	 	 	 	 	 	 	 	 	 	 	 	 	 	325, 392	326, 393	394	 	 	 	 	 	1051	 	 	 	 
Enterococcus faecium UAA825 (1157464.3)	 	 	 	 	 	 	 	2040_14, 2041_13	 	2161_18, 2163_18, 2287_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	317, 384	318, 385	386	 	 	 	 	 	1038	 	 	 	 
Enterococcus faecium UAA909 (1157476.3)	 	 	 	 	 	 	 	679_13, 680_14	 	413_18, 560_18, 561_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	347	348	349	 	 	 	 	 	2676	 	 	 	 
Enterococcus faecium UAA910 (1157477.3)	 	 	 	 	 	 	 	2125_14, 2126_13	 	1369_18, 2245_18	51	 	 	 	 	 	 	 	 	 	 	 	 	 	322, 387	323, 388	389	 	 	 	 	 	518, 519	 	 	 	 
Enterococcus faecium UAA911 (1157478.3)	 	 	 	 	 	 	 	2185_14, 2186_13	 	2305_18, 2306_18, 2430_18	59	 	 	 	 	 	 	 	 	 	 	 	 	 	346	347	348	 	 	 	 	 	938	 	 	 	 
Enterococcus faecium UAA944 (1157465.3)	 	 	 	 	 	 	 	2043_13, 2044_14	 	1909_18	59	 	 	 	 	 	 	 	 	 	 	 	 	 	319	320	321	 	 	 	 	 	1343	 	 	 	 
Enterococcus faecium UAA945 (1157488.3)	 	 	 	 	 	 	 	1859_13, 1860_14	 	1724_18	61	 	 	 	 	 	 	 	 	 	 	 	 	 	1083	1084	1085	 	 	 	 	 	823	 	 	 	 
Enterococcus faecium UAA947 (1158541.3)	 	 	 	 	 	 	 	1495_14, 1496_13	 	1422_18, 1668_18	61	 	 	 	 	 	 	 	 	 	 	 	 	 	2234, 2301	2233, 2300	2232	 	 	 	 	 	579	 	 	 	 
Enterococcus faecium UAA949 (1158644.3)	 	 	 	 	 	 	 	1936_14, 1937_13	 	2059_18, 2061_18, 2191_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	325	326	327	 	 	 	 	 	1271	 	 	 	 
Enterococcus faecium UAA950 (1158645.3)	 	 	 	 	 	 	 	1735_14, 1736_13	 	1855_18, 1856_18, 1982_18	88	 	 	 	 	 	 	 	 	 	 	 	 	 	357	358	359	 	 	 	 	 	790	 	 	 	 
Enterococcus faecium UAA951 (1158543.3)	 	 	 	 	 	 	 	1557_14, 1558_13	 	1677_18, 1679_18, 1806_18	695	 	 	 	 	 	 	 	 	 	 	 	 	 	432	431	430	 	 	 	 	 	879	 	 	 	 
Enterococcus faecium UAA952 (1158544.3)	 	 	 	 	 	 	 	1563_14, 1564_13	 	1685_18, 1686_18, 2759_18	73	 	 	 	 	 	 	 	 	 	 	 	 	 	331, 399	332, 400	402	 	 	 	 	 	2497	 	 	 	 
Enterococcus faecium UC7251 (1328870.3)	 	 	 	 	 	 	 	1943_14, 1944_13	 	508_18, 780_18	765	 	 	 	 	 	 	 	 	 	 	 	 	 	1072	1071	1070	 	 	 	 	 	2425, 2426	 	 	 	 
Enterococcus faecium VAN 219 (1157466.3)	 	 	 	 	 	 	 	1593_13, 1594_14, 1780_12	 	1472_18, 1701_18	57	 	 	 	 	 	 	 	 	 	 	 	 	 	297, 362	298, 363	364	 	 	 	 	 	826	 	 	 	 
Enterococcus faecium VAN 222 (1157467.3)	 	 	 	 	 	 	 	1178_13, 1179_14, 1366_12	 	1056_18, 1286_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	303, 368	304, 369	370	 	 	 	 	 	2513	 	 	 	 
Enterococcus faecium VAN 327 (1169279.3)	 	 	 	 	 	 	 	1543_14, 1544_13	 	1660_18, 1700_18, 905_18	65	 	 	 	 	 	 	 	 	 	 	 	 	 	320, 391	321, 392	393	 	 	 	 	 	2653	 	 	 	 
Enterococcus faecium VAN 332 (1157468.3)	 	 	 	 	 	 	 	1541_13, 1542_14	 	1402_18, 1416_18	62	 	 	 	 	 	 	 	 	 	 	 	 	 	376, 435	377, 436	437	 	 	 	 	 	2541	 	 	 	 
Enterococcus faecium VAN 335 (1157469.3)	 	 	 	 	 	 	 	1032_13, 1033_14	 	1968_18, 876_18, 917_18	66	 	 	 	 	 	 	 	 	 	 	 	 	 	1835, 1905	1836, 1906	1907	 	 	 	 	 	2660	 	 	 	 
Enterococcus faecium VAN 342 (1157470.3)	 	 	 	 	 	 	 	1789_13, 1790_14	 	1592_18, 1631_18, 1670_18	57	 	 	 	 	 	 	 	 	 	 	 	 	 	353, 418	354, 419	420	 	 	 	 	 	1020	 	 	 	 
Enterococcus faecium VAN 345 (1157471.3)	 	 	 	 	 	 	 	1944_13, 1945_14	 	1805_18, 1819_18	63	 	 	 	 	 	 	 	 	 	 	 	 	 	1154, 1213	1155, 1214	1215	 	 	 	 	 	627	 	 	 	 
Enterococcus faecium VAN 476 (1169278.3)	 	 	 	 	 	 	 	1257_13, 1258_14, 1436_12	 	1137_18	207	 	 	 	 	 	 	 	 	 	 	 	 	 	512	513	514	 	 	 	 	 	78	 	 	 	 
Enterococcus faecium VRE 108 (1157472.3)	 	 	 	 	 	 	 	1618_13, 1619_14	 	1437_18, 1500_18	58	 	 	 	 	 	 	 	 	 	 	 	 	 	297, 364	298, 365	366	 	 	 	 	 	1014	 	1712_56	 	 
Enterococcus faecium VRE 110 (1157473.3)	 	 	 	 	 	 	 	1622_13, 1623_14	 	1421_18, 1491_18	648	 	 	 	 	 	 	 	 	 	 	 	 	 	327, 392	326, 391	325	 	 	 	 	 	885	 	 	 	 
Enterococcus faecium VRE 13 (1157474.3)	 	 	 	 	 	 	 	925_13, 926_14	 	1589_18, 803_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	302, 371	303, 372	373	 	 	 	 	 	661	 	 	 	 
Enterococcus faecium VRE 84 (1157475.3)	 	 	 	 	 	 	 	2034_14, 2035_13	 	2161_18, 2256_18, 2293_18	60	 	 	 	 	 	 	 	 	 	 	 	 	 	319, 386	320, 387	388	 	 	 	 	 	3059	 	1943_56	 	 
Enterococcus gallinarum EG2 (565653.4)	 	 	 	 	 	968_9	 	1035_16, 1806_15, 2492_12, 450_12, 677_16, 967_16	 	862_18	1963	 	1964_22, 1965_23, 1966_24, 1967_25	 	444, 619	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus gilvus ATCC BAA-350 (1158614.4)	 	 	 	 	 	 	 	 	 	 	2858	 	 	 	444	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus hirae ATCC 9790 (768486.3)	 	 	 	 	 	 	 	2056_13, 2057_14	 	1879_18, 2178_18	902	 	 	 	 	 	 	 	 	 	 	 	 	 	1183, 662	1184, 661	660	 	 	 	 	 	 	 	 	 	 
Enterococcus pallens ATCC BAA-351 (1158607.4)	 	 	 	 	 	 	 	 	 	 	3688	 	 	 	2042	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2060	 	 	 	 
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	 	 	 	 	 	 	 	1147_16, 2385_12, 2589_12, 40_12, 42_12, 767_12	 	 	2309	 	 	 	2719	 	 	 	 	 	 	 	 	 	1288	1289	1290	 	 	 	 	 	 	 	 	 	 
Enterococcus raffinosus ATCC 49464 (1158602.4)	 	 	 	 	 	 	 	 	 	1720_18	3681	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3610	 	 	 	 
Enterococcus saccharolyticus 30_1 (742813.4)	 	 	 	 	 	1244_9	 	1243_16, 1923_16, 2441_12, 692_12, 929_16	 	1134_18	1203, 221	 	222_22, 223_23, 224_24, 225_25	 	686, 882	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1008	 	 	 	 
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	 	51	 	 	 	 	 	 	 	 	69	 	 	 	1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2297	 	 	 	 
Enterococcus sp. 7L76 (657310.3)	 	1957	 	 	 	 	 	1492_15	 	 	634	 	635_22, 636_22, 637_23, 638_24, 639_25	 	1844, 1988, 2059	 	 	 	 	 	 	 	 	 	1721	1720	1719	 	 	 	 	 	1824	 	 	 	 
Enterococcus sp. C1 (1182762.3)	 	 	 	 	 	1101_9	 	1001_12, 1102_16, 1452_16, 1491_16, 2284_12, 2529_16, 2659_16, 3145_12	 	1933_18	1146, 261	 	257_25, 258_24, 259_23	 	1542, 2428	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Enterococcus sp. GMD2E (1169666.3)	 	 	 	 	 	 	 	1520_13, 1521_14	 	1074_18, 2115_18	1240	 	 	 	 	 	 	 	 	 	 	 	 	 	266, 331	267, 332	333	 	 	 	 	 	1466	 	 	 	 
Enterococcus sp. GMD3E (1169667.3)	 	 	 	 	 	 	 	1482_13, 1483_14	 	1107_18, 2147_18	1334	 	 	 	 	 	 	 	 	 	 	 	 	 	444, 509	445, 510	511	 	 	 	 	 	370	 	 	 	 
Enterococcus sp. GMD4E (1169668.3)	 	 	 	 	 	 	 	1486_13, 1487_14	 	1203_18, 2169_18	1634	 	 	 	 	 	 	 	 	 	 	 	 	 	450, 515	449, 514	 	 	 	 	 	 	230	 	 	 	 
Enterococcus sp. GMD5E (1169669.3)	 	 	 	 	 	 	 	1425_14, 1426_13	 	1157_18, 2178_18	1531	 	 	 	 	 	 	 	 	 	 	 	 	 	429, 494	428, 493	427	 	 	 	 	 	227	 	 	 	 
Enterorhabdus caecimuris B7 (1235794.3)	1865	 	 	 	 	 	 	 	 	847_18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Eremococcus coleocola ACS-139-V-Col8 (908337.3)	 	 	 	 	 	 	 	 	 	 	1252	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Erysipelothrix rhusiopathiae ATCC 19414 (525280.3)	 	 	 	 	 	 	 	 	 	 	779, 910	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Erysipelotrichaceae bacterium 2_2_44A (457422.3)	 	 	 	 	 	 	 	 	 	4507_18	1769	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Erysipelotrichaceae bacterium 21_3 (658657.3)	 	 	 	 	 	 	 	 	 	 	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4233	 	 	 	 
Erysipelotrichaceae bacterium 3_1_53 (658659.3)	 	 	 	 	 	 	 	 	 	107_18	1241	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2143, 2567	 	 	 	 
Erysipelotrichaceae bacterium 5_2_54FAA (552396.3)	 	 	 	 	 	 	 	 	 	470_18	958	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Erysipelotrichaceae bacterium 6_1_45 (469614.3)	 	 	 	 	 	 	 	 	 	 	1616	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1456	 	 	 	 
Escherichia albertii TW07627 (502347.3)	2968	 	 	 	 	 	 	2991_12	 	 	 	1722	 	 	 	3001	 	 	 	 	1718_36	 	 	 	 	 	 	 	2287_48	 	 	2807	 	 	 	 	 
