Organism	gdhA	proB	proA	proC	ocd1	ocd2
Staphylococcus aureus M1076 (1158464.3)	 	 	 	1056_5	 	 
Staphylococcus aureus M1078 (1303783.3)	 	 	 	911_5	 	2263
Staphylococcus aureus M1083 (1169264.3)	 	 	 	1359_5	 	65
Staphylococcus aureus M1092 (1158466.3)	 	 	 	2106_5	 	 
Staphylococcus aureus M1093 (1158467.3)	 	 	 	1201_5	 	 
Staphylococcus aureus M1095 (1158468.3)	 	 	 	1489_5	 	 
Staphylococcus aureus M1103 (1158469.3)	 	 	 	2319_5	 	 
Staphylococcus aureus M1109 (1169265.3)	 	 	 	2226_5	 	 
Staphylococcus aureus M1119 (1158470.3)	 	 	 	2025_5	 	 
Staphylococcus aureus M1126 (1169266.3)	 	 	 	1342_5	 	 
Staphylococcus aureus M1142 (1169267.3)	 	 	 	949_5	 	2245
Staphylococcus aureus M1167 (1158471.3)	 	 	 	1374_5	 	 
Staphylococcus aureus M1170 (1158472.3)	 	 	 	2328_5	 	 
Staphylococcus aureus M1188 (1158473.3)	 	 	 	1024_5	 	 
Staphylococcus aureus M1193 (1303784.3)	 	 	 	2286_5	 	 
Staphylococcus aureus M1198 (1158474.3)	 	 	 	595_5	 	 
Staphylococcus aureus M1199 (1158475.3)	 	 	 	2563_5	 	 
Staphylococcus aureus M1215 (1158476.3)	 	 	 	595_5	 	 
Staphylococcus aureus M1216 (1158477.3)	 	 	 	948_5	 	2201
Staphylococcus aureus M1223 (1169268.3)	 	 	 	2128_5	 	648
Staphylococcus aureus M1224 (1169269.3)	 	 	 	1396_5	 	 
Staphylococcus aureus M1228 (1303785.3)	 	 	 	2107_5	 	738
Staphylococcus aureus M1229 (1158478.3)	 	 	 	596_5	 	 
Staphylococcus aureus M1244 (1169270.3)	 	 	 	1533_5	 	 
Staphylococcus aureus M1248 (1158479.3)	 	 	 	1379_5	 	 
Staphylococcus aureus M1253 (1158480.3)	 	 	 	2340_5	 	 
Staphylococcus aureus M1255 (1158481.3)	 	 	 	1518_5	 	 
Staphylococcus aureus M1256 (1169271.3)	 	 	 	1673_5	 	 
Staphylococcus aureus M1257 (1158482.3)	 	 	 	1392_5	 	 
Staphylococcus aureus M1275 (1169272.3)	 	 	 	1452_5	 	 
Staphylococcus aureus M1277 (1158483.3)	 	 	 	958_5	 	 
Staphylococcus aureus M1286 (1169273.3)	 	 	 	1391_5	 	 
Staphylococcus aureus M1291 (1158484.3)	 	 	 	1401_5	 	 
Staphylococcus aureus M1309 (1169274.3)	 	 	 	1484_5	 	 
Staphylococcus aureus M1311 (1158485.3)	 	 	 	1727_5	 	389
Staphylococcus aureus M1320 (1158486.3)	 	 	 	993_5	 	 
Staphylococcus aureus M1321 (1158487.3)	 	 	 	1542_5	 	 
Staphylococcus aureus M1322 (1158488.3)	 	 	 	616_5	 	 
Staphylococcus aureus M1359 (1158489.3)	 	 	 	2295_5	 	 
Staphylococcus aureus M1367 (1158490.3)	415_2	 	 	1025_5	 	 
Staphylococcus aureus M1373 (1158491.3)	 	 	 	1987_5	 	 
Staphylococcus aureus M1374 (1169275.3)	 	 	 	1371_5	 	 
Staphylococcus aureus M1394 (1158492.3)	 	 	 	2285_5	 	 
Staphylococcus aureus M1405 (1169276.3)	 	 	 	1379_5	 	 
Staphylococcus aureus M1407 (1303786.3)	 	 	 	2141_5	 	 
Staphylococcus aureus M1450 (1158493.3)	 	 	 	943_5	 	 
Staphylococcus aureus M1451 (1158494.3)	 	 	 	1426_5	 	 
Staphylococcus aureus M1462 (1158495.3)	 	 	 	1537_5	 	31
Staphylococcus aureus M1463 (1158496.3)	 	 	 	1199_5	 	 
Staphylococcus aureus M1466 (1303787.3)	 	 	 	1543_5	 	 
Staphylococcus aureus M1481 (1158497.3)	 	 	 	939_5	 	 
Staphylococcus aureus M1510 (1169277.3)	822_2	 	 	1491_5	 	 
Staphylococcus aureus M1520 (1158498.3)	 	 	 	1968_5	 	 
Staphylococcus aureus M1521 (1158499.3)	 	 	 	1077_5	 	 
Staphylococcus aureus M1531 (1158500.3)	 	 	 	1272_5	 	 
Staphylococcus aureus M1533 (1158501.3)	 	 	 	1003_5	 	 
Staphylococcus aureus M1544 (1158502.3)	 	 	 	1485_5	 	 
Staphylococcus aureus M1556 (1158503.3)	 	 	 	1372_5	 	 
Staphylococcus aureus M1563 (1158504.3)	 	 	 	1592_5	 	 
Staphylococcus aureus M1565 (1158505.3)	 	 	 	2492_5	 	 
Staphylococcus aureus M1578 (1158506.3)	 	 	 	1411_5	 	 
Staphylococcus aureus M2 (1233245.3)	1597_2	 	 	1962_5	 	 
Staphylococcus aureus NN54 (1161392.3)	 	 	 	730_5	 	 
Staphylococcus aureus O11 (948561.3)	 	 	 	1559_5	 	767
Staphylococcus aureus O46 (948563.3)	 	 	 	2386_5	 	914
Staphylococcus aureus PM1 (1147034.3)	 	 	 	943_5	 	 
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	 	 	 	1553_5	 	 
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	 	 	 	1613_5	 	 
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	 	 	 	1483_5	 	 
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	 	 	 	1485_5	 	 
Staphylococcus aureus RF122 (273036.3)	 	 	 	1156_5	 	184
Staphylococcus aureus ST228/10388 (1075076.3)	 	 	 	1366_5	 	 
Staphylococcus aureus ST228/10497 (1075077.3)	 	 	 	1371_5	 	 
Staphylococcus aureus ST228/15532 (1075078.3)	 	 	 	1369_5	 	 
Staphylococcus aureus ST228/16035 (1075079.3)	 	 	 	1365_5	 	 
Staphylococcus aureus ST228/18412 (1075082.3)	 	 	 	1371_5	 	 
Staphylococcus aureus VH221 (1278074.4)	 	 	 	502_5	 	2165
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	 	 	 	1511_5	 	 
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	 	 	 	541_5	 	 
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	 	 	 	13_5	 	1592
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	 	 	 	1136_5	 	904
Staphylococcus aureus subsp. aureus 118 (1144271.3)	 	 	 	2225_5	 	 
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	 	 	 	1500_5	 	 
Staphylococcus aureus subsp. aureus 120 (1221451.3)	 	 	 	529_5	 	 
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	 	 	 	147_5	 	 
Staphylococcus aureus subsp. aureus 132 (644279.4)	 	 	 	1656_5	 	183
Staphylococcus aureus subsp. aureus 21172 (904723.3)	 	 	 	640_5	 	 
Staphylococcus aureus subsp. aureus 21178 (904724.3)	 	 	 	312_5	 	 
Staphylococcus aureus subsp. aureus 21189 (904725.3)	 	 	 	2104_5	 	278
Staphylococcus aureus subsp. aureus 21193 (904726.3)	 	 	 	1358_5	 	916
Staphylococcus aureus subsp. aureus 21195 (904728.3)	 	 	 	925_5	 	 
Staphylococcus aureus subsp. aureus 21196 (904729.3)	 	 	 	1895_5	 	 
Staphylococcus aureus subsp. aureus 21200 (904730.3)	 	 	 	366_5	 	 
Staphylococcus aureus subsp. aureus 21201 (904731.3)	 	 	 	2393_5	 	 
Staphylococcus aureus subsp. aureus 21202 (904732.3)	2465_2	 	 	2369_5	 	 
Staphylococcus aureus subsp. aureus 21209 (904735.3)	 	 	 	604_5	 	 
Staphylococcus aureus subsp. aureus 21232 (904737.3)	 	 	 	2066_5	 	 
Staphylococcus aureus subsp. aureus 21236 (904739.3)	 	 	 	345_5	 	 
Staphylococcus aureus subsp. aureus 21252 (904743.3)	 	 	 	348_5	 	 
Staphylococcus aureus subsp. aureus 21259 (904744.3)	 	 	 	303_5	 	 
Staphylococcus aureus subsp. aureus 21262 (904745.3)	 	 	 	1174_5	 	 
Staphylococcus aureus subsp. aureus 21264 (904746.3)	 	 	 	650_5	 	 
Staphylococcus aureus subsp. aureus 21266 (904747.3)	 	 	 	1040_5	 	 
Staphylococcus aureus subsp. aureus 21269 (904749.3)	 	 	 	2448_5	 	 
Staphylococcus aureus subsp. aureus 21272 (904750.3)	 	 	 	228_5	 	 
Staphylococcus aureus subsp. aureus 21282 (904753.3)	 	 	 	1541_5	 	 
Staphylococcus aureus subsp. aureus 21283 (904754.3)	 	 	 	136_5	 	 
Staphylococcus aureus subsp. aureus 21305 (904759.3)	 	 	 	2300_5	 	1405
Staphylococcus aureus subsp. aureus 21310 (904760.3)	 	 	 	1020_5	 	1865
Staphylococcus aureus subsp. aureus 21318 (904763.3)	 	 	 	758_5	 	 
Staphylococcus aureus subsp. aureus 21331 (904766.3)	 	 	 	495_5	 	 
Staphylococcus aureus subsp. aureus 21333 (904767.3)	 	 	 	2224_5	 	 
Staphylococcus aureus subsp. aureus 21334 (904768.3)	 	 	 	1183_5	 	 
Staphylococcus aureus subsp. aureus 21340 (904771.3)	 	 	 	1832_5	 	 
Staphylococcus aureus subsp. aureus 21342 (904772.3)	 	 	 	1880_5	 	 
Staphylococcus aureus subsp. aureus 21343 (904773.3)	 	 	 	1959_5	 	 
Staphylococcus aureus subsp. aureus 21345 (904774.3)	 	 	 	2572_5	 	 
Staphylococcus aureus subsp. aureus 333 (1221452.3)	 	 	 	1359_5	 	 
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	 	 	 	1771_5	 	 
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	 	 	 	2034_5	 	 
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	 	 	 	2059_5	 	 
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	 	 	 	1763_5	 	 
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	 	 	 	2031_5	 	 
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	 	 	 	1107_5	 	 
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	 	 	 	482_5	 	1719
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	2379_2	 	 	1783_5	 	 
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)	 	 	 	1084_5	 	 
Staphylococcus aureus subsp. aureus C101 (585149.6)	 	 	 	1671_5	 	 
Staphylococcus aureus subsp. aureus C160 (585150.3)	 	 	 	1759_5	 	 
Staphylococcus aureus subsp. aureus C427 (585151.3)	 	 	 	719_5	 	 
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)	 	 	 	1351_5	 	 
Staphylococcus aureus subsp. aureus CGS00 (543538.3)	 	 	 	137_5	 	 
Staphylococcus aureus subsp. aureus CGS01 (543539.3)	1433_2	 	 	183_5	 	2140
Staphylococcus aureus subsp. aureus CGS03 (543540.3)	 	 	 	1181_5	 	 
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)	 	 	 	2303_5	 	 
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)	 	 	 	2046_5	 	 
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)	 	 	 	2085_5	 	 
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)	 	 	 	2010_5	 	 
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)	 	 	 	2034_5	 	 
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)	 	 	 	2247_5	 	 
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)	 	 	 	1995_5	 	 
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)	 	 	 	2235_5	 	 
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)	 	 	 	2129_5	 	 
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)	 	 	 	1614_5	 	 
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)	 	 	 	2086_5	 	 
Staphylococcus aureus subsp. aureus CIG149 (931453.3)	 	 	 	2177_5	 	 
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)	 	 	 	2377_5	 	 
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)	 	 	 	1905_5	 	 
Staphylococcus aureus subsp. aureus CIG1605 (931438.3)	 	 	 	2286_5	 	 
Staphylococcus aureus subsp. aureus CIG1612 (931448.3)	 	 	 	2117_5	 	 
Staphylococcus aureus subsp. aureus CIG1750 (931439.3)	 	 	 	2183_5	 	 
Staphylococcus aureus subsp. aureus CIG1769 (931440.3)	 	 	 	2028_5	 	 
Staphylococcus aureus subsp. aureus CIG1770 (931449.3)	 	 	 	2093_5	 	 
Staphylococcus aureus subsp. aureus CIG1835 (931441.3)	 	 	 	1825_5	 	 
Staphylococcus aureus subsp. aureus CIG2018 (931450.3)	 	 	 	1860_5	 	 
Staphylococcus aureus subsp. aureus CIG290 (931451.3)	 	 	 	2084_5	 	 
Staphylococcus aureus subsp. aureus CIG547 (931442.3)	 	 	 	2111_5	 	 
Staphylococcus aureus subsp. aureus CIGC128 (931459.3)	 	 	 	1988_5	 	 
Staphylococcus aureus subsp. aureus CIGC340D (931455.3)	 	 	 	1886_5	 	 
Staphylococcus aureus subsp. aureus CIGC341D (931456.3)	 	 	 	2347_5	 	 
Staphylococcus aureus subsp. aureus CIGC345D (931457.3)	 	 	 	1929_5	 	 
Staphylococcus aureus subsp. aureus CIGC348 (931458.3)	 	 	 	2321_5	 	 
Staphylococcus aureus subsp. aureus CIGC93 (931460.3)	 	 	 	1545_5	 	 
Staphylococcus aureus subsp. aureus CM05 (1134842.3)	 	 	 	798_5	 	 
Staphylococcus aureus subsp. aureus COL (93062.4)	 	 	 	1780_5	 	19
Staphylococcus aureus subsp. aureus D139 (585152.3)	 	 	 	1490_5	 	35
Staphylococcus aureus subsp. aureus DSM 20231 (1241616.3)	 	 	 	968_5	 	 
Staphylococcus aureus subsp. aureus E1410 (585153.3)	 	 	 	1777_5	 	 
Staphylococcus aureus subsp. aureus ECT-R 2 (889933.4)	 	 	 	1332_5	 	 
Staphylococcus aureus subsp. aureus ED133 (685039.3)	 	 	 	1572_5	 	70
Staphylococcus aureus subsp. aureus ED98 (681288.4)	 	 	 	1491_5	 	1978
Staphylococcus aureus subsp. aureus EMRSA16 (585154.3)	 	 	 	1200_5	 	 
Staphylococcus aureus subsp. aureus GR1 (1144272.3)	 	 	 	1006_5	 	 
Staphylococcus aureus subsp. aureus H19 (585155.3)	 	 	 	1719_5	 	353
Staphylococcus aureus subsp. aureus H29 (1258575.3)	 	 	 	2575_5	 	 
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)	 	 	 	1451_5	 	 
Staphylococcus aureus subsp. aureus IS-105 (904781.3)	 	 	 	1621_5	 	 
Staphylococcus aureus subsp. aureus IS-111 (904782.3)	1669_2	 	 	1135_5	 	 
Staphylococcus aureus subsp. aureus IS-122 (904783.3)	 	 	 	1266_5	 	 
Staphylococcus aureus subsp. aureus IS-189 (904787.3)	 	 	 	2891_5	 	 
Staphylococcus aureus subsp. aureus IS-250 (904789.3)	 	 	 	1588_5	 	2368, 2369
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	 	 	 	2529_5	 	 
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	 	 	 	1646_5	 	 
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	1937_2	 	 	2442_5	 	 
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	 	 	 	787_5	 	 
Staphylococcus aureus subsp. aureus IS-K (904791.3)	 	 	 	1295_5	 	2270, 2271
Staphylococcus aureus subsp. aureus JH1 (359787.11)	 	 	 	1630_5	 	 
Staphylococcus aureus subsp. aureus JH9 (359786.13)	 	 	 	1650_5	 	 
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	 	 	 	1508_5	 	105
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	 	 	 	980_5	 	 
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	 	 	 	1421_5	 	 
Staphylococcus aureus subsp. aureus M013 (1118959.3)	 	 	 	1482_5	 	 
Staphylococcus aureus subsp. aureus M1015 (585156.3)	 	 	 	1052_5	 	 
Staphylococcus aureus subsp. aureus M809 (585157.3)	 	 	 	1231_5	 	 
Staphylococcus aureus subsp. aureus M876 (585158.3)	 	 	 	2019_5	 	 
Staphylococcus aureus subsp. aureus M899 (585159.3)	 	 	 	1576_5	 	 
Staphylococcus aureus subsp. aureus MN8 (548470.3)	 	 	 	2300_5	 	 
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	 	 	 	2485_5	 	 
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	 	 	 	1182_5	 	2118
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	1434_2	 	 	552_5	 	2269
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	 	 	 	1582_5	 	 
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	 	 	 	1351_5	 	95
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	 	 	 	1502_5	 	94
Staphylococcus aureus subsp. aureus MW2 (196620.5)	 	 	 	1522_5	 	95
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	 	 	 	1528_5	 	 
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	 	 	 	1547_5	 	 
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	 	 	 	1544_5	 	 
Staphylococcus aureus subsp. aureus N315 (158879.11)	 	 	 	1436_5	 	 
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	 	 	 	1454_5	 	65
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	 	 	 	1190_5	 	982
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	 	 	 	1648_5	 	 
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	 	 	 	1202_5	 	679
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	 	 	 	1319_5	 	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	 	 	 	137_5	 	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	 	 	 	1473_5	 	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	 	 	 	806_5	 	101
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	 	 	 	1600_5	 	 
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	 	 	 	493_5	 	2307
Staphylococcus aureus subsp. aureus TW20 (663951.4)	 	 	 	1605_5	 	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	939_2	 	 	2116_5	 	1075
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	951_2	 	 	1590_5	 	171
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	956_2	 	 	1595_5	 	158
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	 	 	 	1346_5	 	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	 	 	 	2061_5	 	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	 	 	 	1911_5	 	 
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	 	 	 	1375_5	 	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	 	 	 	1462_5	 	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	 	 	 	1455_5	 	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	 	 	 	1426_5	 	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	 	 	 	1427_5	 	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	 	 	 	1340_5	 	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	 	 	 	1402_5	 	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	 	 	 	1379_5	 	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	 	 	 	1359_5	 	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	 	 	 	1451_5	 	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	 	 	 	1361_5	 	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	 	 	 	1459_5	 	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	 	 	 	1042_5	 	 
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	 	 	 	1217_5	 	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	 	 	 	1555_5	 	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	 	 	 	81_5	 	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	 	 	 	1535_5	 	65
Staphylococcus capitis QN1 (1189311.3)	2187_2	 	 	267_5	 	1907
Staphylococcus capitis SK14 (553212.3)	504_2	 	 	1054_5	 	812
Staphylococcus capitis VCU116 (904334.4)	1762_2	 	 	2237_5	 	1689
Staphylococcus caprae C87 (435838.3)	463_2	 	 	980_5	 	75
Staphylococcus epidermidis 12142587 (1235440.3)	 	 	 	33_5	 	2240
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	 	 	 	629_5	 	1166
Staphylococcus epidermidis 41tr (1294271.3)	 	 	 	219_5	 	1132
Staphylococcus epidermidis 528m (1294272.3)	 	 	 	1409_5	 	1272
Staphylococcus epidermidis A487 (904143.3)	534_2	 	 	1008_5	 	173
Staphylococcus epidermidis ATCC 12228 (176280.10)	 	 	 	1157_5	 	 
Staphylococcus epidermidis AU12-03 (1220510.3)	 	 	 	303_5	 	 
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	 	 	 	1531_5	 	 
Staphylococcus epidermidis BVS058A4 (883130.3)	 	 	 	792_5	 	1859
Staphylococcus epidermidis FRI909 (764544.3)	 	 	 	857_5	 	2222
Staphylococcus epidermidis M0881 (1213731.3)	 	 	 	974_5	 	 
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	 	 	 	138_5	 	 
Staphylococcus epidermidis NIH04003 (1155132.3)	 	 	 	880_5	 	 
Staphylococcus epidermidis NIH04008 (979222.3)	 	 	 	531_5	 	7
Staphylococcus epidermidis NIH05001 (979221.3)	 	 	 	139_5	 	2183, 2184
Staphylococcus epidermidis NIH05003 (1155133.3)	 	 	 	874_5	 	 
Staphylococcus epidermidis NIH05005 (979220.3)	 	 	 	545_5	 	392, 393
Staphylococcus epidermidis NIH051475 (1155130.3)	 	 	 	921_5	 	35
Staphylococcus epidermidis NIH051668 (1155131.3)	 	 	 	920_5	 	36
Staphylococcus epidermidis NIH06004 (1155134.3)	 	 	 	1817_5	 	 
Staphylococcus epidermidis NIH08001 (1155135.3)	 	 	 	310_5	 	 
Staphylococcus epidermidis NIHLM001 (979219.3)	1244_2	 	 	364_5	 	 
Staphylococcus epidermidis NIHLM003 (979218.3)	 	 	 	768_5	 	 
Staphylococcus epidermidis NIHLM008 (979217.3)	840_2	 	 	322_5	 	1169
Staphylococcus epidermidis NIHLM015 (979216.3)	 	 	 	895_5	 	35
Staphylococcus epidermidis NIHLM018 (979215.3)	 	 	 	528_5	 	1837
Staphylococcus epidermidis NIHLM020 (979213.3)	 	 	 	987_5	 	 
Staphylococcus epidermidis NIHLM021 (979212.3)	439_2	 	 	836_5	 	1817
Staphylococcus epidermidis NIHLM023 (979211.3)	 	 	 	744_5	 	1977
Staphylococcus epidermidis NIHLM031 (979214.3)	 	 	 	817_5	 	2293
Staphylococcus epidermidis NIHLM037 (979210.3)	 	 	 	1015_5	 	2011
Staphylococcus epidermidis NIHLM039 (979209.3)	1182_2	 	 	664_5	 	1510
Staphylococcus epidermidis NIHLM040 (979208.3)	 	 	 	359_5	 	739
Staphylococcus epidermidis NIHLM049 (979207.3)	 	 	 	1400_5	 	 
Staphylococcus epidermidis NIHLM053 (979206.3)	 	 	 	848_5	 	424
Staphylococcus epidermidis NIHLM057 (979205.3)	 	 	 	1557_5	 	1821
Staphylococcus epidermidis NIHLM061 (979204.3)	 	 	 	628_5	 	1514
Staphylococcus epidermidis NIHLM067 (979203.3)	 	 	 	756_5	 	 
Staphylococcus epidermidis NIHLM087 (979201.3)	 	 	 	850_5	 	2282
Staphylococcus epidermidis NIHLM088 (979200.3)	 	 	 	823_5	 	 
Staphylococcus epidermidis NIHLM095 (979199.3)	 	 	 	783_5	 	2101
Staphylococcus epidermidis RP62A (176279.9)	 	 	 	1038_5	 	 
Staphylococcus epidermidis SK135 (596317.3)	 	 	 	1614_5	 	 
Staphylococcus epidermidis UC7032 (1327991.3)	1316_2	 	 	2189_5	 	1853
Staphylococcus epidermidis VCU028 (904317.3)	 	 	 	208_5	 	 
Staphylococcus epidermidis VCU037 (904319.3)	 	 	 	488_5	 	 
Staphylococcus epidermidis VCU041 (904320.3)	 	 	 	2244_5	 	835
Staphylococcus epidermidis VCU045 (904321.3)	 	 	 	1491_5	 	 
Staphylococcus epidermidis VCU065 (904324.3)	 	 	 	1008_5	 	 
Staphylococcus epidermidis VCU071 (904325.3)	1790_2	 	 	662_5	 	1272
Staphylococcus epidermidis VCU081 (904326.3)	 	 	 	968_5	 	 
Staphylococcus epidermidis VCU105 (904328.3)	1272_2	 	 	1848_5	 	1089, 1090
Staphylococcus epidermidis VCU107 (904329.3)	 	 	 	1114_5	 	 
Staphylococcus epidermidis VCU109 (904330.3)	 	 	 	1114_5	 	 
Staphylococcus epidermidis VCU116 (904334.3)	1764_2	 	 	2238_5	 	1691
Staphylococcus epidermidis VCU117 (904335.3)	 	 	 	2091_5	 	 
Staphylococcus epidermidis VCU118 (904336.3)	 	 	 	1211_5	 	862, 863
Staphylococcus epidermidis VCU120 (904337.3)	 	 	 	321_5	 	1538, 1539
Staphylococcus epidermidis VCU123 (904340.3)	1693_2	 	 	960_5	 	720
Staphylococcus epidermidis VCU125 (904341.3)	 	 	 	1803_5	 	 
Staphylococcus epidermidis VCU126 (904342.3)	 	 	 	2078_5	 	 
Staphylococcus epidermidis VCU127 (904343.3)	 	 	 	1200_5	 	 
Staphylococcus epidermidis VCU128 (904344.3)	 	 	 	211_5	 	1019
Staphylococcus epidermidis VCU129 (904345.3)	 	 	 	296_5	 	1438
Staphylococcus epidermidis VCU144 (904347.3)	 	 	 	1565_5	 	688
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	1047_2, 1818_2	 	 	2419_5	 	933
Staphylococcus haemolyticus JCSC1435 (279808.8)	1964_2	 	 	1393_5	 	 
Staphylococcus haemolyticus R1P1 (1134914.3)	1626_2	 	 	1377_5	 	2022
Staphylococcus hominis SK119 (629742.3)	196_2	 	 	1913_5	 	1104
Staphylococcus hominis VCU122 (904339.3)	926_2	 	 	1453_5	 	1056
Staphylococcus hominis subsp. hominis C80 (435837.3)	1886_2	 	 	1410_5	 	1088
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	1583_2	 	 	2103_5	 	945
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	896_2	 	 	412_5	 	2349
Staphylococcus lugdunensis HKU09-01 (698737.3)	1840_2	 	 	1348_5	 	2282
Staphylococcus lugdunensis M23590 (525377.3)	834_2	 	 	347_5	 	106
Staphylococcus lugdunensis N920143 (1034809.4)	1873_2	 	 	1392_5	 	2243
Staphylococcus pettenkoferi VCU012 (904314.5)	1365_2	 	 	2279_5	 	628
Staphylococcus pseudintermedius ED99 (984892.3)	1756_2	 	 	1197_5	 	1994, 977
Staphylococcus pseudintermedius HKU10-03 (937773.3)	643_2	 	 	1197_5	 	1487, 334
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	1813_2, 2165_2	 	 	1252_5	 	2187
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	2334_2	 	 	1476_5	 	1035
Staphylococcus vitulinus F1028 (1167632.5)	2399_2, 2551_2	 	 	2343_5	 	1764
Staphylococcus warneri L37603 (596319.3)	709_2	 	 	1015_5	 	1135
Staphylococcus warneri SG1 (1194526.3)	1781_2	 	 	1234_5	 	2111
Staphylococcus xylosus NJ (1262650.3)	349_2, 993_2	 	 	2564_5	 	1022
Abiotrophia defectiva ATCC 49176 (592010.4)	 	1050	 	863_5	 	 
