Organism	PANF	KPHMT	KPRED	ASPDC	PBAL	PANK	PPCS	PPCDC	DPCK	PPAT	PanT
Staphylococcus epidermidis NIHLM095 (979199.3)	1921_1	1290	1289, 146	1292	1291	2209_8	1122, 1123	1122, 1123	1519_12	1309_15	 
Staphylococcus epidermidis RP62A (176279.9)	1408_1	2095	1969, 2096	2093	2094	1696_8	756	756	1220_12	694_15	 
Staphylococcus epidermidis SK135 (596317.3)	80_1	2425	2424, 677	2427	2426	2007_8	1903	1903	1430_12	1968_15	 
Staphylococcus epidermidis UC7032 (1327991.3)	308_1	701	1483, 1484, 700, 809	703	702	2300_8	1594	1594	1310_12	636_15	 
Staphylococcus epidermidis VCU028 (904317.3)	1574_1	104	103, 1409	106	105	1200_8	922	922	385_12	984_15	 
Staphylococcus epidermidis VCU037 (904319.3)	185_1	1347	1265, 1348	1345	1346	2193_8	1808	1808	663_12	1871_15	 
Staphylococcus epidermidis VCU041 (904320.3)	2362_1	1102	1011, 1012, 1103, 151	1100	1101	675_8	1939	1939	296_12	44_15	 
Staphylococcus epidermidis VCU045 (904321.3)	1761_1	1689	1690, 1862	1687	1688	2100_8	897	897	2188_12	1974_15	 
Staphylococcus epidermidis VCU065 (904324.3)	1662_1	1996	1995, 2175	1998	1997	758_8	1220	1220	292_12	1282_15	 
Staphylococcus epidermidis VCU071 (904325.3)	1019	846	2187, 845	848	847	1974_8	139	139	1078_12	76_15	 
Staphylococcus epidermidis VCU081 (904326.3)	609_1	1900	1901, 2051	1898	1899	152_8	1162	1162	26_12	193_15	 
Staphylococcus epidermidis VCU105 (904328.3)	608_1	516	165, 517	514	515	2094_8	423	423	937_12	487_15	 
Staphylococcus epidermidis VCU107 (904329.3)	251_1	2010	1862, 2011	2008	2009	1296_8	853	853	1633_12	1233_15	 
Staphylococcus epidermidis VCU109 (904330.3)	251_1	2010	1862, 2011	2008	2009	1296_8	853	853	1633_12	1233_15	 
Staphylococcus epidermidis VCU116 (904334.3)	697_1	1625	1485, 1626	1623	1624	984_8	1434	1434	307_12	1858_15	 
Staphylococcus epidermidis VCU117 (904335.3)	2208_1	1860	1060, 1861	1858	1859	1961_8	1759	1759	1311_12	1821_15	 
Staphylococcus epidermidis VCU118 (904336.3)	1882, 1883	932	788, 933	930	931	1365_8	517	517	721_12	309_15	 
Staphylococcus epidermidis VCU120 (904337.3)	1459_1	120	119, 2041	122	121	1885_8	601	601	2109_12	664_15	 
Staphylococcus epidermidis VCU123 (904340.3)	1572_1	1810	1811, 1957	1808	1809	1502_8	1297	1297	2097_12	1359_15	 
Staphylococcus epidermidis VCU125 (904341.3)	2092_1	2013	2012, 2244	2015	2014	318_8	1237	1237	1307_12	1618_15	 
Staphylococcus epidermidis VCU126 (904342.3)	1485_1	542	1347, 543	540	541	1946_8	1123	1123	620_12	1185_15	 
Staphylococcus epidermidis VCU127 (904343.3)	2247_1	528	2059, 529	526	527	1877_8	956	956	1285_12	895_15	 
Staphylococcus epidermidis VCU128 (904344.3)	1129_1	1997	1875, 1998	1995	1996	2073_8	1562	1562	583_12	322_15	 
Staphylococcus epidermidis VCU129 (904345.3)	1559_1, 1949	35	36, 487	33	34	753_8	1230	1230	2146_12	1758_15	 
Staphylococcus epidermidis VCU144 (904347.3)	1014_1	851	1231, 850	853	852	1405_8	555	555	1902_12	75_15	 
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	957_1	826	715, 809, 827, 977	 	825	231_8	2044	2044	2594_12	1978_15	 
Staphylococcus haemolyticus JCSC1435 (279808.8)	1036_1	175	174, 604	177	176	892_8	1679	1679	1219_12	1803_15	 
Staphylococcus haemolyticus R1P1 (1134914.3)	1181_1, 1931	66	1003, 570, 65	68	67	1743_8	400	400	726_12	460_15	 
Staphylococcus hominis SK119 (629742.3)	1580, 2149_1	1513	1514, 435	1511	1512	729_8	905	905	1071_12	2099_15	 
Staphylococcus hominis VCU122 (904339.3)	245_1	1221	1222, 2136	1219	1220	461_8	1920	1920	86_12	1990_15	 
Staphylococcus hominis subsp. hominis C80 (435837.3)	115, 933_1	175	174, 531	177	176	808_8	1678	1678	1246_12	1747_15	 
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	847_1	253	218, 252, 569	255	254	703_8	43	43	1939_12	1437_15	 
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	68_1	 	1211, 1833	 	 	1576_8	690	690	244_12	745_15	 
Staphylococcus lugdunensis HKU09-01 (698737.3)	1004_1	 	107, 551, 78	 	 	876_8	1635	1635	1178_12	1690_15	 
Staphylococcus lugdunensis M23590 (525377.3)	2269_1	 	1491, 1923	 	 	2198_8	624	624	177_12	681_15	 
Staphylococcus lugdunensis N920143 (1034809.4)	1051_1	 	105, 554	 	 	926_8	1668	1668	1224_12	1723_15	 
Staphylococcus pettenkoferi VCU012 (904314.5)	833_1	1801	1800, 557	1481	1802	756_8	1937	1937	58_12	1992_15	 
Staphylococcus pseudintermedius ED99 (984892.3)	790_1	2222	199, 2078, 2223	2220	2221	650_8	1477	1477	1018_12	1550_15	 
Staphylococcus pseudintermedius HKU10-03 (937773.3)	1654_1	96	2256, 251, 254, 95	98	97	1798_8	916	916	1445_12	831_15	 
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	404, 888_1	159	158, 250	932	160	757_8	1562	1562	1076_12	1662_15	 
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	2145, 590	 	438	 	 	2279_8	1112	1112	1635_12	1034_15	 
Staphylococcus vitulinus F1028 (1167632.5)	1452, 1453	542	543	1757	541	1268_8, 1637_7	321	321	185_12	2210_15	 
Staphylococcus warneri L37603 (596319.3)	2171_1, 352	88	275, 89	86	87	1587_8	503	503	2123_12	563_15	 
Staphylococcus warneri SG1 (1194526.3)	892_1	305	304, 451	307	306	762_8	1505	1505	1065_12	1634_15	 
Staphylococcus xylosus NJ (1262650.3)	1499	1962	1865, 1963	690	1961	77_8	2264	2264	2741_12	2199_15	 
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	2788, 3103	 	 	1094_9	 	 	133_12	2930_15	 
Aerococcus viridans ATCC 11563 (655812.3)	 	 	 	 	 	909_7	1665	1665	564_12	1651_15, 217_16	605
Aerococcus viridans LL1 (1175629.3)	 	 	 	 	 	1218_7	378	378	1425_12	403_15, 729_16	959
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	1446, 749	 	 	1688_7	1132	1132	1143_12	1386_15	 
Granulicatella elegans ATCC 700633 (626369.3)	 	 	1007	 	 	903_7	245	245	192_12	1215_15	244
Enterococcus asini ATCC 700915 (1158606.4)	 	 	 	 	 	860_7	204, 205	205	2187_12	2174_15	206
Enterococcus avium ATCC 14025 (1140002.4)	 	1403, 2427	3223	2429	1402, 2428	4409_7	3179	3180	3709_12	3769_15	3181
Enterococcus caccae ATCC BAA-1240 (1158612.4)	 	 	 	 	 	2205_7	305	304	615_12	699_15	303
Enterococcus casseliflavus ATCC 12755 (888066.3)	 	 	123	 	 	1420_7	329	328	1740_12	1727_15	764
Enterococcus casseliflavus EC10 (565654.4)	 	 	2037	 	 	1519_7	2222	2221	305_12	293_15	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	 	 	 	 	 	40_7	1623, 1624	1623	2005_12	1988_15	1622
Enterococcus dispar ATCC 51266 (1139219.4)	 	 	 	 	 	1498_7	1023	1024	612_12	627_15	1025, 1537
Enterococcus durans ATCC 6056 (1140001.4)	 	 	360, 658	 	 	70_7	699	698	2084_12	2478_15	2362, 697
Enterococcus durans FB129-CNAB-4 (883162.3)	 	 	1674, 1995	 	 	1775_7	1633	1634	1146_12	164_15	1635, 51
Enterococcus durans IPLA 655 (1288492.4)	 	 	1104, 1811, 617	 	 	2766_7	1447	1446	2313_12	1769_15	1445, 1989
Enterococcus faecalis 12030 (1169282.3)	 	2160	1989, 2568, 423	2158	2159	170_7	2737	2738	1305_12	2574_15	 
Enterococcus faecalis 12107 (1158664.3)	 	 	1424, 1935, 2678	 	 	197_7	2087	2088	690_12	1941_15	 
Enterococcus faecalis 1448E03 (1151193.3)	 	 	1532, 2061, 472	 	 	195_7	2218	2219	814_12	2067_15	 
Enterococcus faecalis 182970 (1151194.3)	 	 	1192, 211	 	 	2669_7	1353	1354	1751_12	1198_15	1355
Enterococcus faecalis 19116 (1151195.3)	 	 	1128, 24, 621	 	 	2682_7	776	777	1475_12	627_15	 
Enterococcus faecalis 2630V05 (1151196.3)	 	 	1191, 618	 	 	2320_7	1352	1353	1906_12	1197_15	1354
Enterococcus faecalis 2924 (1151197.3)	 	 	1442, 2012	 	 	189_7	2172	2173	663_12	2018_15	2174
Enterococcus faecalis 5952 (1158670.3)	 	1727	1553, 2169, 411	1725	1726	162_7	2331	2332	802_12	2175_15	 
Enterococcus faecalis 599 (1134784.3)	 	 	2018, 2644	 	 	789_7	1135	1134	82_12	2638_15	 
Enterococcus faecalis 599951 (1169281.3)	 	2212	2039, 2733, 462	2210	2211	208_7	2906	2907	1292_12	2739_15	 
Enterococcus faecalis 62 (936153.3)	 	2170	1978, 2602, 784	2168	2169	532_7	2754	2755	1220_12	2608_15	 
Enterococcus faecalis 7330082-2 (1151198.3)	 	 	1875, 548	 	 	2588_7	1723	1722	1326_12	1869_15	 
Enterococcus faecalis 7330112-3 (1151199.3)	 	 	1302, 2355, 664	 	 	2691_7	506	505	2008_12	658_15	 
Enterococcus faecalis 7330245-2 (1151200.3)	 	 	1652, 2209	 	 	157_7	2363	2364	692_12	2215_15	 
Enterococcus faecalis 7330257-1 (1151201.3)	 	 	1111, 1970, 519	 	 	2707_7	1267	1268	1622_12	1117_15	 
Enterococcus faecalis 7330259-5 (1151202.3)	 	 	1115, 2792, 526	 	 	2456_7	1270	1271	2174_12	1121_15	 
Enterococcus faecalis 7330948-5 (1151204.3)	 	 	1076, 1578, 546	 	 	2600_7	1232	1233	1925_12	1082_15	 
Enterococcus faecalis 7430275-3 (1151205.3)	 	 	1977, 323, 914	 	 	2589_7	166	165	1632_12	317_15	 
Enterococcus faecalis 7430315-3 (1151206.3)	 	 	1364, 337, 838	 	 	1619_7	175	174	2319_12	331_15	 
Enterococcus faecalis 7430416-3 (1151207.3)	 	 	1494, 2024, 430	 	 	154_7	2180	2181	774_12	2030_15	 
Enterococcus faecalis 7430821-4 (1151208.3)	 	 	2744, 2765, 323, 913	 	 	2408_7	166	165	1652_12	317_15	 
Enterococcus faecalis 79-3 (1169283.3)	 	2180	2008, 2649, 492	2178	2179	205_7	2819	2820	1295_12	2655_15	 
Enterococcus faecalis A-2-1 (1169245.3)	 	1750	1523, 2223, 429	1747	1748, 1749	175_7	2375	2376	762_12	2229_15	 
Enterococcus faecalis A-3-1 (1169246.3)	 	 	1570, 2111	 	 	146_7	2264	2265	796_12	2117_15	 
Enterococcus faecalis AR01/DG (565651.6)	 	 	228, 713	 	 	1582_7	870	871	2034_12	719_15	 
Enterococcus faecalis ATCC 10100 (1169312.3)	 	 	1581, 2157	 	 	168_7	2309	2310	829_12	2163_15	 
Enterococcus faecalis ATCC 19433 (1169286.3)	 	1630	1454, 2103, 417	1627	1628, 1629	162_7	2255	2256	748_12	2109_15	 
Enterococcus faecalis ATCC 27275 (1158675.3)	 	 	1552, 2125	 	 	166_7	2276	2277	816_12	2131_15	 
Enterococcus faecalis ATCC 27959 (1158676.3)	 	 	1225, 1764	 	 	2713_7	1919	1920	529_12	1770_15	 
Enterococcus faecalis ATCC 29200 (525271.4)	 	 	1216, 1790, 371	 	 	2406_7	1070	1069	1625_12	1210_15	 
Enterococcus faecalis ATCC 29212 (1201292.3)	 	1004	1287, 187, 2892, 2893, 3121, 3122	1006	1005	2363_7	3422	3423	1212_12	1279_15, 1280_15	 
Enterococcus faecalis ATCC 35038 (1169290.3)	 	 	1462, 2156, 479	 	 	228_7	2303	2304	728_12	2162_15	 
Enterococcus faecalis ATCC 4200 (565642.4)	 	2264	1230, 2079, 334	2262	2263	1734_7	170	169	922_12	328_15	 
Enterococcus faecalis ATCC 6055 (1169311.3)	 	 	1449, 1995	 	 	169_7	2184	2185	714_12	2001_15	 
Enterococcus faecalis B-4-111 (1169302.3)	 	 	1822, 2347	 	 	583_7	2515	2516	1070_12	2353_15	 
Enterococcus faecalis B1005 (1157378.3)	 	1918	1723, 2418, 626	1916	1917	164_7	2581	2582	983_12	2424_15	 
Enterococcus faecalis B1138 (1157379.3)	 	1317	1121, 1813, 26	1315	1316	2788_7	1976	1977	381_12	1819_15	 
Enterococcus faecalis B1249 (1157380.3)	 	2095	1900, 2592, 805	2093	2094	473_7	2753	2754	1160_12	2598_15	 
Enterococcus faecalis B1290 (1151209.3)	 	770	1269, 2228, 575	768	769	2737_7	1431	1432	1869_12	1275_15	 
Enterococcus faecalis B1327 (1151210.3)	 	1530	1334, 2027, 240	1528	1529	3003_7	2187	2188	595_12	2033_15	 
Enterococcus faecalis B1376 (1151211.3)	 	772	1270, 1891, 576	770	771	2936_7	1432	1433	2250_12	1276_15	 
Enterococcus faecalis B1385 (1151212.3)	 	1310	1505, 2601, 812	1312	1311	3005_7	650	649	2246_12	806_15	 
Enterococcus faecalis B1441 (1157342.3)	 	1791	1596, 2289, 498	1789	1790	165_7	2451	2452	855_12	2295_15	 
Enterococcus faecalis B1505 (1157343.3)	 	1774	1579, 2211, 480	1772	1773	167_7	2374	2375	837_12	2217_15	 
Enterococcus faecalis B1532 (1157344.3)	 	1786	1591, 2284, 496	1784	1785	164_7	2446	2447	852_12	2290_15	 
Enterococcus faecalis B15725 (1151186.3)	 	51, 67	1319, 549	46	47, 48	2559_7	710	711	1622_12	555_15	 
Enterococcus faecalis B1586 (1157345.3)	 	2822	1529, 225, 2626	2820	2821	1201_7	388	389	1885_12	231_15	 
Enterococcus faecalis B1618 (1157346.3)	 	1791	1596, 2289, 498	1789	1790	164_7	2450	2451	855_12	2295_15	 
Enterococcus faecalis B1623 (1157347.3)	 	2223	2028, 2720, 930	2221	2222	592_7	2884	2885	1287_12	2726_15	 
Enterococcus faecalis B16457 (1151187.3)	 	 	1451, 824	 	 	2817_7	622	621	2139_12	818_15	 
Enterococcus faecalis B1678 (1157348.3)	 	1781	1586, 2280, 493	1779	1780	165_7	2442	2443	848_12	2286_15	 
Enterococcus faecalis B1696 (1157349.3)	 	1774	1579, 2209, 482	1772	1773	167_7	2370	2371	838_12	2215_15	 
Enterococcus faecalis B1719 (1157350.3)	 	1806	1610, 2304, 511	1804	1805	166_7	2467	2468	867_12	2310_15	 
Enterococcus faecalis B1734 (1157351.3)	 	1792	1597, 2290, 498	1790	1791	164_7	2453	2454	857_12	2296_15	 
Enterococcus faecalis B1843 (1157352.3)	 	1791	1596, 2290, 497	1789	1790	166_7	2453	2454	854_12	2296_15	 
Enterococcus faecalis B1851 (1157381.3)	 	1789	1594, 2286, 497	1787	1788	166_7	2446	2447	855_12	2292_15	 
Enterococcus faecalis B1874 (1157353.3)	 	1777	1581, 2273, 486	1775	1776	166_7	2436	2437	842_12	2279_15	 
Enterococcus faecalis B1921 (1157382.3)	 	 	1464, 1975	 	 	155_7	2138	2139	776_12	1981_15	 
Enterococcus faecalis B1933 (1157383.3)	 	1793	1598, 2291, 501	1791	1792	166_7	2454	2455	858_12	2297_15	 
Enterococcus faecalis B2202 (1157384.3)	 	1781	1587, 2279, 491	1779	1780	166_7	2442	2443	848_12	2285_15	 
Enterococcus faecalis B2207 (1157354.3)	 	 	1467, 1980	 	 	155_7	2143	2144	779_12	1986_15	 
Enterococcus faecalis B2211 (1157385.3)	 	1864	1669, 2362, 573	1862	1863	166_7	2524	2525	928_12	2368_15	 
Enterococcus faecalis B2255 (1157355.3)	 	1781	1585, 2278, 488	1779	1780	165_7	2441	2442	845_12	2284_15	 
Enterococcus faecalis B2277 (1157386.3)	 	1873	1678, 2373, 578	1871	1872	166_7	2537	2538	934_12	2379_15	 
Enterococcus faecalis B2391 (1157356.3)	 	1784	1589, 2280, 489	1782	1783	167_7	2444	2445	848_12	2286_15	 
Enterococcus faecalis B2488 (1157357.3)	 	1780	1584, 2277, 486	1778	1779	165_7	2440	2441	845_12	2283_15	 
Enterococcus faecalis B2535 (1157358.3)	 	1777	1581, 2278, 487	1775	1776	166_7	2440	2441	842_12	2284_15	 
Enterococcus faecalis B2557 (1157359.3)	 	1784	1588, 2284, 494	1782	1783	165_7	2448	2449	849_12	2290_15	 
Enterococcus faecalis B2593 (1157360.3)	 	2130	1934, 2627, 838	2128	2129	510_7	2790	2791	1195_12	2633_15	 
Enterococcus faecalis B2670 (1157387.3)	 	1782	1585, 2276, 530	1780	1781	165_7	2438	2439	845_12	2282_15	 
Enterococcus faecalis B2685 (1157388.3)	 	1780	1584, 2278, 487	1778	1779	166_7	2439	2440	843_12	2284_15	 
Enterococcus faecalis B2687 (1157389.3)	 	2110	1914, 2608, 818	2108	2109	476_7	2770	2771	1174_12	2614_15	 
Enterococcus faecalis B2802 (1157390.3)	 	1873	1678, 2370, 580	1871	1872	141_7	2530	2531	938_12	2376_15	 
Enterococcus faecalis B2864 (1157392.3)	 	1788	1593, 2285, 497	1786	1787	166_7	2448	2449	852_12	2291_15	 
Enterococcus faecalis B2867 (1157393.3)	 	1874	1677, 2371, 578	1872	1873	169_7	2533	2534	935_12	2377_15	 
Enterococcus faecalis B2949 (1157394.3)	 	1824	1630, 2319, 577	1822	1823	165_7	2484	2485	890_12	2325_15	 
Enterococcus faecalis B3031 (1157361.3)	 	1784	1589, 2281, 495	1782	1783	164_7	2445	2446	850_12	2287_15	 
Enterococcus faecalis B3042 (1157362.3)	 	1779	1583, 2214, 488	1777	1778	165_7	2376	2377	842_12	2220_15	 
Enterococcus faecalis B3053 (1157363.3)	 	1800	1604, 2298, 507	1798	1799	167_7	2460	2461	864_12	2304_15	 
Enterococcus faecalis B3119 (1157395.3)	 	1865	1670, 2364, 573	1863	1864	166_7	2525	2526	930_12	2370_15	 
Enterococcus faecalis B3126 (1157364.3)	 	1818	1622, 2317, 495	1816	1817	165_7	2480	2481	881_12	2323_15	 
Enterococcus faecalis B3196 (1157396.3)	 	1873	1678, 2369, 578	1871	1872	165_7	2531	2532	938_12	2375_15	 
Enterococcus faecalis B3286 (1157397.3)	 	1840	1645, 2337, 547	1838	1839	166_7	2499	2500	905_12	2343_15	 
Enterococcus faecalis B3336 (1157398.3)	 	1744	1549, 2239	1741	1742, 1743	196_7	2399	2400	857_12	2245_15	 
Enterococcus faecalis B4008 (1157399.3)	 	1875	1679, 2374, 581	1873	1874	164_7	2537	2538	939_12	2380_15	 
Enterococcus faecalis B4018 (1157400.3)	 	1834	1639, 2331, 543	1832	1833	165_7	2493	2494	897_12	2337_15	 
Enterococcus faecalis B4148 (1157401.3)	 	1847	1652, 2347, 549	1845	1846	163_7	2508	2509	911_12	2353_15	 
Enterococcus faecalis B4163 (1157402.3)	 	2196	2000, 2693, 900	2194	2195	492_7	2856	2857	1260_12	2699_15	 
Enterococcus faecalis B4259 (1157403.3)	 	1888	1692, 2386, 595	1886	1887	166_7	2548	2549	952_12	2392_15	 
Enterococcus faecalis B4267 (1157404.3)	 	1875	1680, 2372, 581	1873	1874	166_7	2534	2535	938_12	2378_15	 
Enterococcus faecalis B4270 (1157405.3)	 	1766	1571, 2263, 473	1764	1765	139_7	2425	2426	830_12	2269_15	 
Enterococcus faecalis B4411 (1157406.3)	 	2182	1987, 2679, 842	2180	2181	493_7	2840	2841	1247_12	2685_15	 
Enterococcus faecalis B4568 (1157407.3)	 	1811	1616, 2308, 518	1809	1810	165_7	2470	2471	875_12	2314_15	 
Enterococcus faecalis B4638 (1157408.3)	 	1781	1585, 2279, 491	1779	1780	166_7	2440	2441	846_12	2285_15	 
Enterococcus faecalis B4672 (1157409.3)	 	1789	1594, 2286, 497	1787	1788	165_7	2446	2447	853_12	2292_15	 
Enterococcus faecalis B4674 (1157410.3)	 	1540	1345, 2038, 250	1538	1539	3016_7	2200	2201	605_12	2044_15	 
Enterococcus faecalis B4969 (1157411.3)	 	1801	1605, 2301, 505	1799	1800	166_7	2464	2465	860_12	2307_15	 
Enterococcus faecalis B5035 (1158632.3)	 	1861	1666, 2358, 571	1859	1860	165_7	2522	2523	927_12	2364_15	 
Enterococcus faecalis B5076 (1157412.3)	 	1714	1519, 2150, 494	1712	1713	166_7	2313	2314	778_12	2156_15	 
Enterococcus faecalis B56765 (1151188.3)	 	935	1107, 491	937	936	3090_7	291	290	2263_12	485_15	289
Enterococcus faecalis B594 (1157365.3)	 	1790	1595, 2286, 497	1788	1789	164_7	2451	2452	855_12	2292_15	 
Enterococcus faecalis B653 (1169309.3)	 	 	1311, 1798	 	 	143_7	1959	1960	624_12	1804_15	 
Enterococcus faecalis B69486 (1151189.3)	 	 	1116, 417	919	917, 918	2730_7	255	254	1871_12	411_15	 
Enterococcus faecalis B84847 (1151190.3)	 	 	1156, 1740, 588	 	 	2712_7	1317	1318	2040_12	1162_15	 
Enterococcus faecalis B878 (1157366.3)	 	1762	1567, 2263, 469	1760	1761	138_7	2425	2426	828_12	2269_15	 
Enterococcus faecalis B939 (1157367.3)	 	1772	1577, 2272, 482	1770	1771	165_7	2434	2435	838_12	2278_15	 
Enterococcus faecalis C19315WT (1151191.3)	 	 	1543, 2275	 	 	157_7	2496	2497	821_12	2281_15	 
Enterococcus faecalis CH116 (1158660.3)	 	1758	1575, 2193	1756	1757	190_7	2360	2361	893_12	2199_15	 
Enterococcus faecalis CH136 (1158661.3)	 	1710	1527, 2143, 287	1708	1709	191_7	2312	2313	849_12	2149_15	 
Enterococcus faecalis CH188 (565644.5)	 	1393	1216	1391	1392	184_7	2126	2127	652_12	1968_15	 
Enterococcus faecalis CH19 (1158627.3)	 	1727	1544, 2165	1725	1726	191_7	2333	2334	867_12	2171_15	 
Enterococcus faecalis CH570 (1158656.3)	 	1844	1650, 2294	1842	1843	251_7	2453	2454	904_12	2300_15	 
Enterococcus faecalis Com 2 (1158633.3)	 	 	1075, 1599, 2135	 	 	217_7	2297	2298	871_12	2141_15	 
Enterococcus faecalis Com 6 (1158634.3)	 	 	1418, 2000	 	 	171_7	2154	2155	678_12	2006_15	 
Enterococcus faecalis Com1 (1158671.3)	 	 	1051, 1575, 2111	 	 	217_7	2274	2275	874_12	2117_15	 
Enterococcus faecalis Com7 (1169306.3)	 	 	1562, 2100	 	 	155_7	2255	2256	740_12	2106_15	 
Enterococcus faecalis D1 (1169247.3)	 	 	1501, 2057	 	 	169_7	2209	2210	745_12	2063_15	 
Enterococcus faecalis D173 (1169310.3)	 	1691	1519, 2031	1689	1690	206_7	2189	2190	755_12	2037_15	2191
Enterococcus faecalis D3 (1169288.3)	 	 	1670, 2217	 	 	159_7	2372	2373	694_12	2223_15	 
Enterococcus faecalis D32 (1206105.3)	 	 	1403, 2083	 	 	119_7	2233	2234	700_12	2089_15	 
Enterococcus faecalis D6 (565650.5)	 	 	1473, 180, 953	 	 	1951_7	1629	1630	514_12	1479_15	 
Enterococcus faecalis DAPTO 512 (749489.3)	 	2604	1870, 404	2606	2605	2813_7	2234	2235	1297_12	398_15	 
Enterococcus faecalis DAPTO 516 (749490.3)	 	2463	1260, 488	2465	2464	221_7	1968	1967	2208_12	482_15	 
Enterococcus faecalis DS16 (1158677.3)	 	 	1400, 1941	 	 	169_7	2092	2093	678_12	1947_15	 
Enterococcus faecalis DS5 (565643.5)	 	 	2198, 300	 	 	440_7	1429	1430	1077_12	306_15	 
Enterococcus faecalis E1 (1158673.3)	 	 	1531, 2069	 	 	170_7	2222	2223	801_12	2075_15	 
Enterococcus faecalis E1Sol (565647.5)	 	 	1746, 2624, 2700	 	 	1144_7	2474	2473	479_12	2618_15	 
Enterococcus faecalis E99 (1169284.3)	 	1779	1605, 2216, 464	1777	1778	180_7	2372	2373	865_12	2222_15	 
Enterococcus faecalis ERV103 (1134785.3)	 	450	191, 645	453	451, 452	2667_7	1533	1534	410_12	184_15	 
Enterococcus faecalis ERV116 (1134786.3)	 	2394	1380, 2199	2391	2392, 2393	598_7	1142	1141	193_12	1387_15	 
Enterococcus faecalis ERV129 (1134787.3)	 	2997	1256, 1520, 662	3000	2998, 2999	1703_7	2267	2266	65_12	655_15	 
Enterococcus faecalis ERV25 (1134788.3)	 	1814	101, 644, 951	1817	1815, 1816	2412_7	1694	1693	344_12	958_15	 
Enterococcus faecalis ERV31 (1134789.3)	 	1406	1202, 2, 478	1409	1407, 1408	2276_7	1686	1685	275_12	471_15	 
Enterococcus faecalis ERV37 (1134790.3)	 	666	1682, 2374, 2876	669	667, 668	2503_7	1405	1404	511_12	1689_15	 
Enterococcus faecalis ERV41 (1134791.3)	 	964	1161, 1958	967	965, 966	913_7	2724	2723	1410_12	1965_15	 
Enterococcus faecalis ERV62 (1134792.3)	 	1198	1085, 695	1201	1199, 1200	2562_7	2027	2028	320_12	1092_15	 
Enterococcus faecalis ERV63 (1134793.3)	 	1324	584, 820	1327	1325, 1326	2452_7	2771	2770	1391_12	577_15	 
Enterococcus faecalis ERV65 (1134794.3)	 	2790	1404, 1783	2787	2788, 2789	450_7	632	631	180_12	1790_15	 
Enterococcus faecalis ERV68 (1134795.3)	 	2345	1263, 1978	2342	2343, 2344	2984_7	1702	1701	448_12	1971_15	 
Enterococcus faecalis ERV72 (1134796.3)	 	2512	1353, 1755	2515	2513, 2514	689_7	262	261	40_12	1748_15	 
Enterococcus faecalis ERV81 (1134798.3)	 	1479	1083, 2553, 2746	1476	1477, 1478	2442_7	1885	1884	146_12	1090_15	 
Enterococcus faecalis ERV85 (1134799.3)	 	1634	1290, 1719, 2275	1637	1635, 1636	807_7	375	374	83_12	1726_15	 
Enterococcus faecalis ERV93 (1134800.3)	 	1924	1296, 1697	1927	1925, 1926	2427_7	1480	1479	39_12	1704_15	 
Enterococcus faecalis EnGen0253 (1158540.3)	 	 	1484, 2031	 	 	168_7	2186	2187	771_12	2037_15	 
Enterococcus faecalis F1 (1169297.3)	 	 	1624, 2194, 292	 	 	155_7	2359	2360	848_12	2200_15	 
Enterococcus faecalis FA2-2 (1158622.3)	 	2045	1871, 2467, 433	2043	2044	183_7	2623	2624	1116_12	2473_15	2625
Enterococcus faecalis Fly 2 (1169303.3)	 	 	1392, 1899	 	 	211_7	2057	2058	701_12	1905_15	 
Enterococcus faecalis Fly1 (565649.5)	 	 	1204, 1777	 	 	1047_7	2464	2463	568_12	1198_15	 
Enterococcus faecalis HEF39 (1157368.3)	 	 	1552, 2083, 469	 	 	195_7	2238	2239	828_12	2089_15	 
Enterococcus faecalis HH22 (491075.3)	 	696	1591, 499	694	695	2186_7	1328	1329	885_12	1597_15	 
Enterococcus faecalis HIP11704 (565646.5)	 	2806	1215, 1997, 2975	2808	2807	1572_7	1371	1372	2044_12	1221_15	 
Enterococcus faecalis JH1 (565648.4)	 	 	1418, 1994	 	 	1246_7	2141	2142	218_12	2000_15	 
Enterococcus faecalis M7 (1111677.3)	 	 	1634, 1824	 	 	2573_7	223	224	425_12	1641_15	 
Enterococcus faecalis MMH594 (1158653.5)	 	1789	1594, 2288, 498	1787	1788	165_7	2451	2452	854_12	2294_15	 
Enterococcus faecalis Merz151 (1169304.3)	 	1730	1557, 2172, 586	1728	1729	156_7	2324	2325	864_12	2178_15	 
Enterococcus faecalis Merz192 (1169248.3)	 	 	1553, 1554, 2102	 	 	171_7	2254	2255	800_12	2108_15	 
Enterococcus faecalis Merz204 (1169249.3)	 	 	1562, 2049, 485	 	 	188_7	2201	2202	872_12	2055_15	 
Enterococcus faecalis Merz89 (1169250.3)	 	 	1546, 2091	 	 	189_7	2244	2245	814_12	2097_15	 
Enterococcus faecalis Merz96 (565645.4)	 	1690	1879, 2647	1692	1691	1105_7	2482	2481	292_12	2641_15	 
