Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Enterococcus faecalis TR161 (1169314.3)							464	465	466	467, 855	463	462	461	1995, 3084							
Enterococcus faecalis TR197 (1169307.3)							458	459	460	461, 963	457	456	455	2176							
Enterococcus faecalis TUSoD Ef11 (553209.3)							1966	1967	1968	858, 1969	1965	1964	1963	460, 1707							
Enterococcus faecalis TX0012 (749496.3)							2274	2275	2276	2277	2273	2272	2271	2472							
Enterococcus faecalis TX0017 (749497.3)							1809	1808	1807	1662, 1806	1810	1811		1061, 2905							
Enterococcus faecalis TX0027 (749498.3)							1690	1689	1688	1687, 2740	1691	1692	1693	1935, 2607							
Enterococcus faecalis TX0031 (749499.3)							669	668	667	666, 1390	670	671	672	1787, 1876							
Enterococcus faecalis TX0043 (749500.3)							2365	2364	2363	2083, 2362	2366	2367		272, 2712							
Enterococcus faecalis TX0102 (749501.3)							1146	1147	1148	1149, 1889	1145	1144	1143	308, 2718							
Enterococcus faecalis TX0104 (491074.3)							2457	2458	2459	2460, 2686	2456	2455	2454	1707, 2502							
Enterococcus faecalis TX0109 (749502.3)							2039	2040	2041	2042	2038	2037	2036	1207, 1392							
Enterococcus faecalis TX0309A (749503.3)							699	698	697	696, 1198	700	701	702	361, 2063							
Enterococcus faecalis TX0309B (749504.3)							1446	1445	1444	1443, 2172	1447	1448	1449	1137, 1703							
Enterococcus faecalis TX0312 (749505.3)							1317	1318	1319	1320, 2408	1316	1315		680, 1172							
Enterococcus faecalis TX0411 (749506.3)							883	882	881	880	884	885	886	2395, 2709							
Enterococcus faecalis TX0470 (749507.3)							934	935	936	937, 2247	933	932	931	494, 1553							
Enterococcus faecalis TX0630 (749508.3)							3144	3143	3142	3141	3145	3146	3147	2955, 3080							
Enterococcus faecalis TX0635 = WH245 (749509.5)							438	439	440	441	437	436	435	1922, 3064							
Enterococcus faecalis TX0645 (749510.3)							2312	2313	2314	2315	2311	2310	2309	1101, 2012							
Enterococcus faecalis TX0855 (749511.3)							940	941	942	572, 943	939	938	937	1238, 1390							
Enterococcus faecalis TX0860 (749512.3)							1837	1836	1835	721, 1834	1838	1839	1840	51, 1937							
Enterococcus faecalis TX1322 (525278.3)							2343	2342	2341	2340	2344	2345	2346	86, 2031							
Enterococcus faecalis TX1337RF (1134802.3)										1970				871		][					
Enterococcus faecalis TX1341 (749514.3)							1543	1544	1545	1406, 1546	1542	1541	1540	1724, 2188							
Enterococcus faecalis TX1346 (749516.3)							1092	1091	1090	1089	1093	1094	1095	1700							
Enterococcus faecalis TX2134 (749518.3)							1105	1104	1103	1102	1106	1107	1108	155, 1487							
Enterococcus faecalis TX2137 (749491.3)							1814	1813	1812	1811	1815	1816	1817	1954, 2111							
Enterococcus faecalis TX2141 (749492.3)							2152	2151	2150	970, 2149	2153	2154	2155	2014, 2703							
Enterococcus faecalis TX4000 (749493.3)							2446	2445	2444	2443	2447	2448	2449	2292, 2361							
Enterococcus faecalis TX4244 (749494.3)							2129	2128	2127	919, 2126	2130	2131		2746							
Enterococcus faecalis TX4248 (749495.4)							684	683	682	77, 681	685	686	687	1954, 2207							
Enterococcus faecalis UAA1014 (1158546.3)							471	472	473	474, 829	470	469	468	1901, 2773							
Enterococcus faecalis UAA1180 (1158552.3)							243	244	245	246, 601	242	241	240	1680, 2610							
Enterococcus faecalis UAA1489 (1158976.3)							469	470	471	472, 851	468	467	466	3152							
Enterococcus faecalis UAA409 (1158637.3)							2419	2418	2417	2416	2420	2421	2422	1750							
Enterococcus faecalis UAA702 (1158640.3)							361	362	363	364	360	359	358	2006							
Enterococcus faecalis UAA769 (1157369.3)							395	396	397	398	394	393		2129							
Enterococcus faecalis UAA823 (1157370.3)							385	386	387	388, 890	384	383	382	3118							
Enterococcus faecalis UAA902 (1157371.3)							386	387	388	389, 651	385	384		1826, 2666							
Enterococcus faecalis UAA903 (1157372.3)							386	387	388	389, 650	385	384	383	1827, 2670							
Enterococcus faecalis UAA904 (1157373.3)							384	385	386	387, 647	383	382	381	1819, 2660							
Enterococcus faecalis UAA905 (1157374.3)							384	385	386	387, 648	383	382	381	1818, 2660							
Enterococcus faecalis UAA906 (1157375.3)							384	385	386	387, 648	383	382	381	1785, 2626							
Enterococcus faecalis UAA907 (1157376.3)							386	387	388	389, 649	385	384	383	1882, 2724							
Enterococcus faecalis UAA943 (1157377.3)							387	388	389	390, 651	386	385	384	1885, 2726							
Enterococcus faecalis UAA948 (1158542.3)							566	567	568	569, 940	565	564	563	1975, 3077							
Enterococcus faecalis V583 (226185.9)							412	413	414	415, 797	411	410		1929, 3031							
Enterococcus faecalis V587 (1158623.3)							174	175	176	177, 579	173	172	171	1725, 2847							
Enterococcus faecalis WH257 (1158628.3)							391	392	393	394	390	389	388	1856, 2985							
Enterococcus faecalis WH571 (1158631.3)							437	438	439	440	436	435	434	1973, 3105							
Enterococcus faecalis X98 (565641.4)							902	903	904	624, 905	901	900		28, 1395							
Enterococcus faecalis YI6-1 (1158667.3)							2383	2382	2381	841, 2380	2384	2385	2386	1844, 2857							
Enterococcus faecium 1,141,733 (565659.3)																					
Enterococcus faecium 1,230,933 (565656.3)								2036						2437		][					
Enterococcus faecium 1,231,408 (565661.4)																					
Enterococcus faecium 1,231,410 (565660.4)														2451		][					
Enterococcus faecium 1,231,501 (565658.4)														2399		][					
Enterococcus faecium 1,231,502 (565657.5)														1593		][					
Enterococcus faecium 109 A1 (1157416.3)														748		][					
Enterococcus faecium 2006-70-121 (1157417.3)							752	753	754	755	751	750		2398							
Enterococcus faecium 504 (1134805.3)														1726		][					
Enterococcus faecium 505 (1134806.3)														2553		][					
Enterococcus faecium 7330381-1 (1157419.3)														1247		][					
Enterococcus faecium 7330446-2 (1157420.3)														913		][					
Enterococcus faecium 7330519-3 (1157421.3)														453		][					
Enterococcus faecium 7330614-1 (1157422.3)														2530		][					
Enterococcus faecium 7330884-2 (1157423.3)														2355		][					
Enterococcus faecium 7430166-3 (1157424.3)														2568		][					
Enterococcus faecium 841V03 (1157425.3)														2641		][					
Enterococcus faecium 9730219-1 (1157429.3)														2557		][					
Enterococcus faecium 9730357-1 (1157430.3)														152		][					
Enterococcus faecium 9731349-1 (1157431.3)														427		][					
Enterococcus faecium 9731352-4 (1157432.3)														2635		][					
Enterococcus faecium 9830091-5 (1157433.3)														448		][					
Enterococcus faecium 9830512-2 (1157435.3)														446		][					
Enterococcus faecium 9830565-4 (1157437.3)														149		][					
Enterococcus faecium 9930238-2 (1157440.3)														390		][					
Enterococcus faecium 9931110-4 (1157441.3)														1712		][					
Enterococcus faecium A17 Sv1 (1157442.3)														446		][					
Enterococcus faecium ATCC 8459 (1158600.4)														578		][					
Enterococcus faecium Aus0004 (1155766.14)														2962		][					
Enterococcus faecium C309 (1176489.3)														164		][					
Enterococcus faecium C68 (565664.3)														1128		][					
Enterococcus faecium Com12 (565662.4)																					
Enterococcus faecium Com15 (565663.4)																					
Enterococcus faecium CRL1879 (1295527.3)														2602		][					
Enterococcus faecium D344SRF (565665.3)														2410		][					
Enterococcus faecium E0045 (1138880.3)														2115		][					
Enterococcus faecium E0120 (1138881.3)														2408		][					
Enterococcus faecium E0164 (1138882.3)														2093		][					
Enterococcus faecium E0269 (1138883.3)														2324		][					
Enterococcus faecium E0333 (1138884.3)														2339		][					
Enterococcus faecium E0679 (1138885.3)														2147		][					
Enterococcus faecium E0680 (1138886.3)														2161		][					
Enterococcus faecium E0688 (1138887.3)														2370		][					
Enterococcus faecium E1007 (1138888.3)										1977				2303		][					
Enterococcus faecium E1039 (645663.4)																					
Enterococcus faecium E1050 (1138889.3)														2342		][					
Enterococcus faecium E1071 (535205.4)														1255		][					
Enterococcus faecium E1133 (1138890.3)										1906				2379		][					
Enterococcus faecium E1162 (535206.4)														2434		][					
Enterococcus faecium E1185 (1138891.3)														2332		][					
Enterococcus faecium E1258 (1138892.3)														2348		][					
Enterococcus faecium E1293 (1138893.3)														2377		][					
Enterococcus faecium E1321 (1138930.3)														1799		][					
Enterococcus faecium E1392 (1138894.3)														2216		][					
Enterococcus faecium E1552 (1138895.3)														1675		][					
Enterococcus faecium E1573 (1138896.3)														1203		][					
Enterococcus faecium E1574 (1138897.3)														2326		][					
Enterococcus faecium E1575 (1138898.3)														2006		][					
Enterococcus faecium E1576 (1138899.3)														2280		][					
Enterococcus faecium E1578 (1138900.3)														2255		][					
Enterococcus faecium E1590 (1138901.3)										1924				2354		][					
Enterococcus faecium E1604 (1138902.3)										2157				2493		][					
Enterococcus faecium E1613 (1138903.3)										2121				1773		][					
Enterococcus faecium E1620 (1138904.3)														2108		][					
Enterococcus faecium E1622 (1138905.3)														2496		][					
Enterococcus faecium E1623 (1138906.3)														2402		][					
Enterococcus faecium E1626 (1138907.3)														2270		][					
Enterococcus faecium E1627 (1138908.3)														2297		][					
Enterococcus faecium E1630 (1138909.3)																					
Enterococcus faecium E1634 (1138910.3)														1262		][					
Enterococcus faecium E1636 (544875.4)														1070		][					
Enterococcus faecium E1644 (1138931.3)														2591		][					
Enterococcus faecium E1731 (1138913.3)								2036						2776		][					
Enterococcus faecium E1861 (1138914.3)										1458				2685		][					
Enterococcus faecium E1904 (1138915.3)								2708													
Enterococcus faecium E1972 (1138916.3)										2084				2459		][					
Enterococcus faecium E2039 (1138917.3)										1277				2807		][					
Enterococcus faecium E2071 (1138918.3)														2285		][					
Enterococcus faecium E2134 (1138919.3)														2229		][					
Enterococcus faecium E2297 (1138920.3)														1985		][					
Enterococcus faecium E2369 (1138932.3)														2548		][					
Enterococcus faecium E2560 (1138933.3)														1167		][					
Enterococcus faecium E2620 (1138921.3)										1922				2369		][					
Enterococcus faecium E2883 (1138922.3)								1534						2492		][					
Enterococcus faecium E2966 (1138923.3)								2408						1100		][					
Enterococcus faecium E3083 (1138924.3)										1467				2371		][					
Enterococcus faecium E3346 (1138925.3)																					
Enterococcus faecium E3548 (1138926.3)										1474				1843		][					
Enterococcus faecium E4215 (1138929.3)														2152		][					
Enterococcus faecium E4389 (1138934.3)														2139		][					
Enterococcus faecium E6012 (1138935.3)														2312		][					
Enterococcus faecium E6045 (1138936.3)														151		][					
Enterococcus faecium E8sv3 (1157443.3)														2398		][					
Enterococcus faecium E980 (529885.3)																					
Enterococcus faecium EnGen0305 (1158641.3)														2171		][					
Enterococcus faecium EnGen0308 (1158642.3)														2345		][					
Enterococcus faecium EnGen0312 (1158652.3)														252		][					
Enterococcus faecium EnGen0314 (1158646.3)														593		][					
Enterococcus faecium EnGen0316 (1158647.3)														1004		][					
Enterococcus faecium EnGen0318 (1158648.3)														1016		][					
Enterococcus faecium EnGen0319 (1158649.3)														1387		][					
Enterococcus faecium EnGen0321 (1158650.3)														583		][					
Enterococcus faecium EnGen0323 (1158651.3)														310		][					
Enterococcus faecium EnGen0375 (1138937.4)														781		][					
Enterococcus faecium EnGen0376 (1138938.4)														501		][					
Enterococcus faecium EnGen0377 (1138939.4)														915		][					
Enterococcus faecium ERV1 (1134819.3)														2761		][					
Enterococcus faecium F9730129-1 (1157479.3)														408		][					
Enterococcus faecium H17243 (1157444.3)														1919		][					
Enterococcus faecium H17575 (1157446.3)														784		][					
Enterococcus faecium HF50104 (1157480.3)														502		][					
Enterococcus faecium HF50105 (1157481.3)														2555		][					
Enterococcus faecium HF50106 (1157482.3)														735		][					
Enterococcus faecium HF50203 (1157483.3)														2594		][					
Enterococcus faecium HF50204 (1157484.3)														1192		][					
Enterococcus faecium HF50215 (1157485.3)														742		][					
Enterococcus faecium HM1071 (1157447.3)														2918		][					
Enterococcus faecium HM1072 (1157487.3)														646		][					
Enterococcus faecium HM1073 (1157486.3)														494		][					
Enterococcus faecium HM1074 (1157448.3)														2495		][					
Enterococcus faecium LCT-EF128 (1178528.3)														2395		][					
Enterococcus faecium LCT-EF20 (1245477.3)																					
Enterococcus faecium LCT-EF258 (1245478.3)																					
Enterococcus faecium LCT-EF90 (1167697.3)																					
Enterococcus faecium NRRL B-2354 (1104325.3)														2561		][					
Enterococcus faecium PC4.1 (791161.5)																					
Enterococcus faecium S658-3 (1157451.3)														2401		][					
Enterococcus faecium TC 6 (565666.3)														2334		][					
Enterococcus faecium TX0082 (749520.3)														2087		][					
Enterococcus faecium TX0133A (749521.3)														2405		][					
Enterococcus faecium TX0133a04 (749523.3)														2817		][					
Enterococcus faecium TX0133B (749524.3)														1246		][					
Enterococcus faecium TX0133C (749525.3)														1587		][					
Enterococcus faecium TX1330 (525279.3)										1313				2228		][					
Enterococcus faecium U0317 (547468.4)														1886		][					
Enterococcus faecium UAA1007 (1158545.3)								1613						453		][					
Enterococcus faecium UAA1019 (1158547.3)														1247		][					
Enterococcus faecium UAA1022 (1158548.3)														442		][					
Enterococcus faecium UAA1023 (1158549.3)														297		][					
Enterococcus faecium UAA1024 (1158550.3)														2945		][					
Enterococcus faecium UAA1025 (1158551.3)														475		][					
Enterococcus faecium UAA1280 (1158553.3)														2218		][					
Enterococcus faecium UAA1433 (1158554.3)								2143						790		][					
Enterococcus faecium UAA1484 (1158555.3)														640		][					
Enterococcus faecium UAA210 (1158635.3)														2586		][					
Enterococcus faecium UAA407 (1158636.3)														2819		][					
Enterococcus faecium UAA430 (1158638.3)														436		][					
Enterococcus faecium UAA431 (1158639.3)														2619		][					
Enterococcus faecium UAA714 (1157453.3)														2582		][					
Enterococcus faecium UAA715 (1157454.3)														884		][					
Enterococcus faecium UAA716 (1157455.3)														567		][					
Enterococcus faecium UAA718 (1157456.3)														2773		][					
Enterococcus faecium UAA719 (1157457.3)														2761		][					
Enterococcus faecium UAA720 (1157458.3)								2587						147		][					
Enterococcus faecium UAA721 (1157459.3)														2623		][					
Enterococcus faecium UAA722 (1157460.3)														1638		][					
Enterococcus faecium UAA723 (1157461.3)														2693		][					
Enterococcus faecium UAA724 (1157462.3)														304		][					
Enterococcus faecium UAA725 (1157463.3)														984		][					
Enterococcus faecium UAA825 (1157464.3)														974		][					
Enterococcus faecium UAA909 (1157476.3)														2739		][					
Enterococcus faecium UAA910 (1157477.3)														453		][					
Enterococcus faecium UAA911 (1157478.3)														873		][					
Enterococcus faecium UAA944 (1157465.3)														1196		][					
Enterococcus faecium UAA945 (1157488.3)														675		][					
Enterococcus faecium UAA947 (1158541.3)								2663						458		][					
Enterococcus faecium UAA949 (1158644.3)														456		][					
Enterococcus faecium UAA950 (1158645.3)														672		][					
Enterococcus faecium UAA951 (1158543.3)														760		][					
Enterococcus faecium UAA952 (1158544.3)														2345		][					
Enterococcus faecium UC7251 (1328870.3)														1813		][					
Enterococcus faecium VAN 219 (1157466.3)														757		][					
Enterococcus faecium VAN 222 (1157467.3)														2582		][					
Enterococcus faecium VAN 327 (1169279.3)														2718		][					
Enterococcus faecium VAN 332 (1157468.3)														2603		][					
Enterococcus faecium VAN 335 (1157469.3)														2724		][					
Enterococcus faecium VAN 342 (1157470.3)														957		][					
Enterococcus faecium VAN 345 (1157471.3)														565		][					
Enterococcus faecium VAN 476 (1169278.3)														146		][					
Enterococcus faecium VRE 108 (1157472.3)														889		][					
Enterococcus faecium VRE 110 (1157473.3)								1358						737		][					
Enterococcus faecium VRE 13 (1157474.3)														505		][					
Enterococcus faecium VRE 84 (1157475.3)														2929		][					
Enterococcus gallinarum EG2 (565653.4)							1653	1654	1655	451, 1656	1652	1651	1650	2588, 2687	810						
Enterococcus hirae ATCC 9790 (768486.3)							2186	2187	2188, 2189	2190	2185	2184		978							
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)																					
Enterococcus saccharolyticus 30_1 (742813.4)							1639	1640	1641	1642	1638	1637	1636	2792	1070						
Enterococcus saccharolyticus ATCC 43076 (1139996.4)							1676	1677	1678	1679	1675	1674		221							
Enterococcus sp. 7L76 (657310.3)							1780	1779	1778	1447, 1777	1781	1782	1783	432, 2232							
Escherichia albertii TW07627 (502347.3)							1569	1570	1571	1573	1574	1572	2527	4716	224, 4586						
Escherichia albertii TW11588 (754333.3)							3453, 3454	3455	3456	3458	3459	3457	2834	1144	1021						
Escherichia coli 0.1288 (1005442.3)							2400	2399	2398	2396	2395	2397	1707	4273	4172						
Escherichia coli 0.1304 (1005441.3)							785, 3146	3145	3144	3142	3141	3143	2377	4958	4850						
Escherichia coli 042 (216592.3)							2625	2624	2623	2620, 2621	2619	2622	1926	4467	4366						
Escherichia coli 07798 (1005566.3)							2778	2777	2776	2774	2773	2775	2198	4457	4360						
Escherichia coli 09BKT078844 (1081887.3)							793, 3022	3021	3020	3018	3017	3019	2259	4800	4694						
Escherichia coli 1.2264 (869675.4)							1369	1368	1367	1365	1364	1366	3008	3418	3316						
Escherichia coli 1.2741 (869669.4)							2085	2086	2087	2089	2090	2088	2766	4039	3935						
Escherichia coli 10.0821 (1005469.3)							898, 3009	3008	3007	3005	3004	3006	2336	4681	4575						
Escherichia coli 10.0833 (1005466.3)							864, 3102	3101	3100	3098	3097	3099	2272	5071	4967						
Escherichia coli 10.0869 (1005467.3)							582, 2909	2908	2907	2905	2904	2906	2133	4719	4610						
Escherichia coli 1125A (562.373)							3143, 4022	4021	4020	4018	4017	4019	5441	2614	6002						
Escherichia coli 1180 (670904.3)							4059	4060	4061	4063	4064	4062	279	3454	3350						
Escherichia coli 1212A (562.372)							1581, 5497	5498	5499	5501	5502	5500	4772	3661	3774						
Escherichia coli 1357 (670905.3)							2335	2336	2337	2339	2340	2338	483	4213	4111						
Escherichia coli 174750 (1125634.3)							2836	2835	2834	2832	2831	2833	2178	4716	4623						
Escherichia coli 174900 (1116003.3)							2646	2645	2644	2642	2641	2643	2046	4385	4284						
Escherichia coli 178900 (1116108.3)							2748	2747	2746	2744	2743	2745	2135	4542	4401						
Escherichia coli 179100 (1125652.3)							2502	2501	2500	2498	2497	2499	1906	4429	4284						
Escherichia coli 179550 (1116109.3)							2688	2687	2686	2684	2683	2685	2137	4469	4369						
Escherichia coli 180050 (1116103.3)							702, 2598	2597	2596	2594	2593	2595	1951	4356	4251						
Escherichia coli 180200 (1116104.3)							2636	2635	2634	2632	2631	2633	2060	4409	4300						
Escherichia coli 180600 (1116105.3)							2698	2697	2696	2694	2693	2695	2091	4529	4429						
Escherichia coli 1827-70 (670888.3)							1158, 4007	4008	4009	4011	4012	4010	185	2291	2387						
Escherichia coli 199900.1 (1116130.3)							636	637	638	640	641	639	2174	4457	4358						
Escherichia coli 2.3916 (869688.5)							703, 4303	702	701	699	698	700	2106	5749	5649						
Escherichia coli 2.4168 (869690.4)							1255, 3693	1254	1253	1251	1250	1252	646	410	2853						
Escherichia coli 201600.1 (1116129.3)							3084	3083	3082	3080	3079	3081	2381	4898	4769						
Escherichia coli 2362-75 (670897.3)							3247	3246	3245	3243	3242	3244	2520	4963	5065						
Escherichia coli 2534-86 (754079.3)							3276	3275	3274	3272	3271	3273	2484	5124	5020						
Escherichia coli 2719100 (1116119.3)							2889	2888	2887	2885	2884	2886	2245	4824	4682						
Escherichia coli 2720900 (1116120.3)							2780	2779	2778	2776	2775	2777	2128	4615	4511						
Escherichia coli 2722950 (1116121.3)							841, 2710	2709	2708	2706	2705	2707	2001	4464	4361						
Escherichia coli 2726800 (1116122.3)							2871	2870	2869	2867	2866	2868	2271	4806	4704						
Escherichia coli 2726950 (1116123.3)							874, 2751	2750	2749	2747	2746	2748	2039	4521	4419						
Escherichia coli 2729250 (1116004.3)							2487	2486	2485	2483	2482	2484	1924	4328	4218						
Escherichia coli 2730350 (1116005.3)							2263	2262	2261	2259	2258	2260	1666	3964	3847						
Escherichia coli 2730450 (1116006.3)							896, 2675	2674	2673	2671	2670	2672	2083	4573	4472						
Escherichia coli 2731150 (1116007.3)							1011, 2952	2951	2950	2948	2947	2949	2293	4858	4753						
Escherichia coli 2733950 (1125635.3)							2753	2752	2751	2749	2748	2750	2082	4556	4452						
Escherichia coli 2735000 (1116008.3)							2445	2444	2443	2441	2440	2442	1828	4315	4174						
Escherichia coli 2741950 (1116009.3)							921, 2778	2777	2776	2774	2773	2775	2147	4547	4447						
Escherichia coli 2747800 (1116010.3)							2513	2512	2511	2509	2508	2510	1918	4260	4156						
Escherichia coli 2749250 (1116011.3)							2628	2627	2626	2624	2623	2625	1873	4280	4241						
Escherichia coli 2756500 (1116012.3)							2647	2646	2645	2643	2642	2644	2008	4663	4561						
Escherichia coli 2762100 (1116013.3)							571, 2540	2539	2538	2536	2535	2537	1785	4488	4383						
Escherichia coli 2770900 (1116014.3)							2423	2422	2421	2419	2418	2420	1834	4254	4124						
Escherichia coli 2780750 (1116015.3)							2468	2467	2466	2464	2463	2465	1806	4251	4152						
Escherichia coli 2785200 (1116016.3)							953, 2824	2823	2822	2820	2819	2821	2199	4583	4483						
Escherichia coli 2788150 (1116017.3)							2455	2454	2453	2451	2450	2452	1828	4269	4168						
Escherichia coli 2845350 (1116124.3)							2675	2674	2673	2671	2670	2672	2023	4452	4351						
Escherichia coli 2845650 (1116125.3)							2764	2763	2762	2760	2759	2761	2191	4637	4494						
Escherichia coli 2846750 (1116126.3)							2346	2345	2344	2342	2341	2343	1694	4326	4159						
Escherichia coli 2848050 (1116127.3)							2423	2422	2421	2419	2418	2420	1838	4279	4175						
Escherichia coli 2850400 (1116018.3)							2571	2570	2569	2567	2566	2568	1949	4084	4338						
Escherichia coli 2850750 (1116019.3)							2660	2659	2658	2656	2655	2657	2161	4553	4451						
Escherichia coli 2851500 (1116128.3)							2594	2593	2592	2590	2589	2591	1943	4517	4374						
Escherichia coli 2853500 (1116020.3)							2810	2809	2808	2806	2805	2807	2156	996	4485						
Escherichia coli 2854350 (1125636.3)							2736	2735	2734	2732	2731	2733	2140	4473	4372						
Escherichia coli 2860050 (1116021.3)							2540	2539	2538	2536	2535	2537	1935	4352	4247						
Escherichia coli 2860650 (1116022.3)							2807	2806	2805	2803	2802	2804	2287	4651	4537						
Escherichia coli 2861200 (1116023.3)							2717	2716	2715	2713	2712	2714	2026	4712	4611						
Escherichia coli 2862600 (1116024.3)							2625	2624	2623	2621	2620	2622	1971	4519	4421						
Escherichia coli 2864350 (1116025.3)							2774	2773	2772	2770	2769	2771	2165	4547	4438						
Escherichia coli 2865200 (1116026.3)							2520	2519	2518	2516	2515	2517	1892	4308	4208						
Escherichia coli 2866350 (1116027.3)							2701	2700	2699	2697	2696	2698	2104	4491	4384						
Escherichia coli 2866450 (1116028.3)							2622	2621	2620	2618	2617	2619	1995	4541	4439						
Escherichia coli 2866550 (1116029.3)							2742	2741	2740	2738	2737	2739	1994	4569	4467						
Escherichia coli 2866750 (1116030.3)							2385	2384	2383	2381	2380	2382	1724	4415	4313						
Escherichia coli 2867750 (1116031.3)							2619	2618	2617	2615	2614	2616	1945	4481	4379						
Escherichia coli 2871950 (1116032.3)							567, 2504	2503	2502	2500	2499	2501	1784	4429	4329						
Escherichia coli 2872000 (1116033.3)							2644	2643	2642	2640	2639	2641	1938	4514	4415						
Escherichia coli 2872800 (1116034.3)							2600	2599	2598	2596	2595	2597	1878	4520	4417						
Escherichia coli 2875000 (1116035.3)							2569	2568	2567	2565	2564	2566	1987	4512	4410						
Escherichia coli 2875150 (1116036.3)							3001	3000	2999	2997	2996	2998	2352	4743	4638						
Escherichia coli 3.2303 (869691.4)							297, 2595	2596	2597	2599	2600	2598	1868	2282	4032						
Escherichia coli 3.2608 (869679.4)							1854	1853	1852	1850	1849	1851	1147	3761	3656						
Escherichia coli 3.3884 (869689.4)							3523	3522	3521	3519	3518	3520	555	4852	4952						
Escherichia coli 3.4870 (1005450.3)							801, 3089	3088	3087	3085	3084	3086	2382	4939	4834						
Escherichia coli 3003 (869692.4)							2304	2305	2306	2308	2309	2307	3321	558	693						
Escherichia coli 3006 (1005565.3)							2652	2651	2650	2648	2647	2649	1955	4475	4378						
Escherichia coli 3431 (670892.3)							3114, 4208	4207	4206	4204	4203	4205	862	2203	1057						
Escherichia coli 4.0522 (869681.4)							1884	1883	1882	1880	1879	1881	3341	5551	5654						
Escherichia coli 4.0967 (869687.5)							4890	4891	4892	4894	4895	4893	3316	595	697						
Escherichia coli 4_1_47FAA (1127356.4)							3880	3881	3882	3884	3885	3883	2565	4478	5054						
Escherichia coli 5.0588 (869671.4)							1674	1673	1672	1670	1669	1671	1039	3416	3317						
Escherichia coli 5.0959 (869684.5)							3961	3962	3963	3965	3966	3964	4634	542	640						
Escherichia coli 5.2239 (1005452.3)							955, 3160	3159	3158	3156	3155	3157	2494	4955	4848						
Escherichia coli 536 (362663.9)							2336	2335	2334	2332	2331	2333	1651	4188	4092						
Escherichia coli 53638 (344610.7)							4054	4055	4056	4058	4059	4057	5336	2215	2361						
Escherichia coli 536A (562.374)							3420, 5397	3419	3418	3416	3415	3417	4340	3604	964						
Escherichia coli 541-1 (752786.3)							4301	4300	4299	4297	4296	4298	3712	1252	48						
Escherichia coli 541-15 (752785.3)							1744	1745	1746	1748	1749	1747	3631	4525	4879						
Escherichia coli 5412 (1005561.3)							698, 2994	2993	2992	2990	2989	2991	2203	4795	4689						
Escherichia coli 55989 (585055.8)							2553	2552	2551	2549	2548	2550	1885	4442	4339						
Escherichia coli 5905 (1005558.3)							3405	3404	3403	3401	3399, 3400	3402	2639	9	5185						
Escherichia coli 6.0172 (1005455.3)							787, 3125	3124	3123	3121	3120	3122	2407	5013	4906						
Escherichia coli 7.1982 (1051348.3)							1021, 3242	3241	3240	3238	3237	3239	2525	4913	4758						
Escherichia coli 75 (752788.3)							1326, 3566	1325	1324	1322	1321	1323	4051	545	996						
Escherichia coli 8.0416 (1005463.3)							2952	2951	2950	2948	2947	2949	2098	4704	4723						
Escherichia coli 8.0566 (1005462.3)							625, 2312	2311	2310	2308	2307	2309	1703	4141	4038						
Escherichia coli 8.0569 (1005464.3)							584, 2266	2265	2264	2262	2261	2263	1647	4113	4010						
Escherichia coli 8.0586 (1005461.3)							905, 3232	3231	3230	3228	3227	3229	2383	5070	4964						
Escherichia coli 8.2524 (1005460.3)							671, 2940	2939	2938	2936	2935	2937	2146	4800	4693						
Escherichia coli 83972 (525281.3)							4076	4075	4074	4072	4071	4073	818	3359	4824						
Escherichia coli 88.0221 (1005397.3)							907, 2970	2969	2968	2966	2965	2967	2215	4818	4712						
Escherichia coli 88.1042 (1005398.3)							787, 3018	3017	3016	3014	3013	3015	2303	4849	4742						
Escherichia coli 88.1467 (1005396.3)							876, 3088	3087	3086	3084	3083	3085	2321	4910	4803						
Escherichia coli 89.0511 (1005399.3)							728, 2938	2937	2936	2934	2933	2935	2241	4870	4665						
Escherichia coli 9.0111 (869686.4)							1174	1175	1176	1178	1179	1177	2397	1818	2996						
Escherichia coli 9.1649 (869685.3)							3403	3402	3401	3399	3398	3400	2702	220	5024						
Escherichia coli 90.0039 (1005401.3)							651, 2889	2888	2887	2885	2884	2886	2099	4706	4601						
Escherichia coli 90.0091 (1005400.3)							909, 3262	3261	3260	3258	3257	3259	2504	5102	5001						
Escherichia coli 90.2281 (1005402.3)							895, 3114	3113	3112	3110	3109	3111	2401	4892	4786						
Escherichia coli 900105 (10e) (869695.4)							5726	5727	5728	5730	5731	5729	4478	2049	1939						
Escherichia coli 93.0055 (1005403.3)							648, 2921	2920	2919	2917	2916	2918	2218	4712	4604						
Escherichia coli 93.0056 (1005404.3)							846, 3074	3073	3072	3070	3069	3071	2367	4879	4774						
Escherichia coli 93.0624 (869680.4)							1883	1884	1885	1887	1888	1886	3203	3529	3634						
Escherichia coli 93-001 (1005481.3)							871, 3129	3128	3127	3125	3124	3126	2419	4911	4807						
Escherichia coli 94.0618 (1005405.3)							755, 2982	2981	2980	2978	2977	2979	2266	4823	4716						
