Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Staphylococcus aureus B40950 (1157038.3)	1218_1, 1282_1	1283	1219	 	2619	298	 	 	373	372	 	295_18	 	 	2578_28, 2580_26, 374_23, 375_24, 725_23	2219
Staphylococcus aureus B53639 (1157036.3)	1232_1, 1297_1	1298	1233	 	2647	300	 	 	374	373	 	297_18	 	 	2606_28, 2608_26, 375_23, 376_24, 741_23	2249
Staphylococcus aureus CA-347 (1323661.3)	1236_1, 1298_1	1299	1237	 	12	369	 	367_10, 368_10	450	449	 	365_18	 	 	451_23, 453_25, 805_23, 806_24, 807_25	2318
Staphylococcus aureus CN79 (1242970.3)	1269_1, 1333_1	1334	1270	 	2714	331	 	330_10	439	438	 	328_18	 	 	2668_28, 2670_26, 440_23, 442_25, 808_23, 810_25	192
Staphylococcus aureus D30 (455227.3)	22_1, 2514_1	2513	21	 	1465	895	 	896_10	1774	1773	 	898_18	 	 	1392_23, 1775_23, 1777_25, 2305_28, 2306_27, 2307_26, 2520_23, 2522_25	1869
Staphylococcus aureus HI010 (1156995.3)	1926_1, 1989_1	1990	1927	 	667	1025	 	1024_10	1105	1104	 	1022_18	 	 	1106_23, 1108_25, 1481_23, 1483_25, 622_28, 623_27, 624_26	263
Staphylococcus aureus HI010B (1156997.3)	1281_1, 1344_1	1345	1282	 	22	380	 	379_10	461	460	 	377_18	 	 	2684_28, 2685_27, 2686_26, 462_23, 464_25, 837_23, 839_25	2324
Staphylococcus aureus HI013 (1157003.3)	1827_1, 1890_1	1891	1828	 	569	926	 	925_10	1005	1004	 	923_18	 	 	1006_23, 1008_25, 1383_23, 1385_25, 524_28, 525_27, 526_26	162
Staphylococcus aureus HI022 (1156999.3)	1215_1, 1278_1	1279	1216	 	18	315	 	314_10	394	393	 	312_18	 	 	2613_28, 2614_27, 2615_26, 395_23, 397_25, 772_23, 774_25	2252
Staphylococcus aureus HI049 (1156994.3)	763_1, 826_1	827	764	 	2208	2565	 	2564_10	2645	2644	 	2562_18	 	 	2163_28, 2164_27, 2165_26, 2646_23, 2648_25, 320_23, 322_25	1802
Staphylococcus aureus HI049B (1156996.3)	765_1, 828_1	829	766	 	2209	2576	 	2575_10	2655	2654	 	2573_18	 	 	2164_28, 2165_27, 2166_26, 2656_23, 2658_25, 321_23, 323_25	1804
Staphylococcus aureus HI049C (1157000.3)	1254_1, 1317_1	1318	1255	 	2702	350	 	349_10	430	429	 	347_18	 	 	2657_28, 2658_27, 2659_26, 431_23, 433_25, 811_23, 813_25	2299
Staphylococcus aureus HI111 (1157002.3)	1037_1, 974_1	1038	975	 	2421	71	 	70_10	150	149	 	68_18	 	 	151_23, 153_25, 2376_28, 2377_27, 2378_26, 530_23, 532_25	2015
Staphylococcus aureus HI168 (1157001.3)	1799_1, 1862_1	1863	1800	 	566	922	 	921_10	1001	1000	 	919_18	 	 	1002_23, 1004_25, 1375_23, 1377_25, 521_28, 522_27, 523_26	162
Staphylococcus aureus HIF003_B2N-C (1156998.3)	745_1, 808_1	809	746	 	2115	2416	 	2415_10	2497	2496	 	2413_18	 	 	2072_28, 2073_27, 2074_26, 2498_23, 2500_25, 318_23, 320_25	1712
Staphylococcus aureus KLT6 (1283278.3)	1190_1, 1252_1	1253	1191	 	12	308	 	307_10	390	389	 	305_18	 	 	2446_28, 2447_27, 2448_26, 391_23, 392_24, 393_25, 745_23, 747_25	2081
Staphylococcus aureus KT/314250 (1231383.3)	1809_1, 2307_1	2308	1810	 	812	107	 	 	2026	2025	 	104_18	 	 	1342_25, 1344_23, 2027_23, 2028_24, 2029_25, 851_26, 852_27, 853_28	1712
Staphylococcus aureus KT/Y21 (1231382.3)	1378_1, 641_1	1379	642	 	1438	834	 	835_10	1672	1671	 	837_18	 	 	1673_23, 1674_24, 1675_25, 2033_23, 2035_25, 88_28, 89_27, 90_26	1086
Staphylococcus aureus LVP2 (1278072.4)	1640_1, 940_1	1639	941	 	1138	2497	 	2496_10	1847	1846	 	2494_18	 	 	1848_23, 1849_24, 1850_25, 2213_25, 2215_23, 540_26, 541_27, 542_28	221
Staphylococcus aureus LVP5 (1278075.4)	1189_1, 1253_1	1188	1252	 	2162	1869	 	1870_10	2420	2421	 	1872_18	 	 	2207_26, 2208_27, 2209_27, 2210_28, 2418_24, 2419_23, 896_25, 898_23	127
Staphylococcus aureus M0001 (1157004.3)	1982_1, 2047_1	2048	1983	 	656	992	 	 	1067	1066	 	989_18	 	 	1068_23, 1418_23, 615_28, 617_26	264
Staphylococcus aureus M0006 (1158507.3)	2095_1, 2160_1	2161	2096	 	791	1123	 	 	1199	1198	 	1120_18	 	 	1200_23, 1569_23, 750_28, 752_26	393
Staphylococcus aureus M0029 (1157005.3)	784_1, 848_1	849	785	 	2209	2548	 	 	2623	2622	 	2545_18	 	 	2168_28, 2170_26, 2624_23, 295_23	1815
Staphylococcus aureus M0035 (1157006.3)	792_1, 857_1	858	793	 	2223	2556	 	2555_10	2631	2630	 	2553_18	 	 	2182_28, 2183_27, 2184_26, 2632_23, 301_23	1828
Staphylococcus aureus M0045 (1157007.3)	2392_1, 2456_1	2457	2393	 	1052	1385	 	 	1460	1459	 	1382_18	 	 	1011_28, 1013_26, 1461_23, 1817_23	658
Staphylococcus aureus M0055 (1158508.3)	1191_1, 1254_1	1255	1192	 	2631	275	 	274_10	363	362	 	272_18	 	 	2586_28, 2587_27, 2588_26, 364_23, 366_25, 723_23, 725_25	2228
Staphylococcus aureus M0060 (1157008.3)	1857_1, 1921_1	1922	1858	 	577	911	 	 	986	985	 	908_18	 	 	1338_23, 536_28, 538_26, 987_23	184
Staphylococcus aureus M0066 (1157009.3)	1878_1, 1943_1	1944	1879	 	556	887	 	 	963	962	 	884_18	 	 	1323_23, 1324_24, 514_28, 516_26, 964_23	161
Staphylococcus aureus M0075 (1303780.3)	423_1, 487_1	488	424	 	1852	2189	 	 	2265	2264	 	2186_18	 	 	1811_28, 1813_26, 2266_23, 2617_23	1456
Staphylococcus aureus M0077 (1158509.3)	1812_1, 1877_1	1878	1813	 	554	888	 	 	963	962	 	885_18	 	 	1318_23, 513_28, 515_26, 964_23	161
Staphylococcus aureus M0102 (1157010.3)	1166_1, 1231_1	1232	1167	 	2533	292	 	 	369	368	 	289_18	 	 	2492_28, 2494_26, 370_23, 371_24, 743_23	2139
Staphylococcus aureus M0103 (1157011.3)	1836_1, 1900_1	1901	1837	 	555	890	 	 	965	964	 	887_18	 	 	1336_23, 514_28, 516_26, 966_23	162
Staphylococcus aureus M0104 (1224919.3)	2008_1, 2073_1	2074	2009	 	708	1042	 	 	1116	1115	 	1039_18	 	 	1117_23, 1473_23, 667_28, 669_26	314
Staphylococcus aureus M0108 (1158510.3)	1273_1, 1338_1	1339	1274	 	2656	295	 	 	371	370	 	292_18	 	 	2615_28, 2617_26, 372_23, 728_23	2258
Staphylococcus aureus M0144 (1158511.3)	2048_1, 2112_1	2113	2049	 	785	1118	 	 	1194	1193	 	1115_18	 	 	1195_23, 1546_23, 744_28, 746_26	393
Staphylococcus aureus M0150 (1157012.3)	2136_1, 2200_1	2201	2137	 	824	1156	 	 	1232	1231	 	1153_18	 	 	1233_23, 1584_23, 783_28, 785_26	428
Staphylococcus aureus M0154 (1158512.3)	1256_1, 1321_1	1322	1257	 	2659	305	 	 	381	380	 	302_18	 	 	2618_28, 2620_26, 382_23, 383_24, 755_23	2264
Staphylococcus aureus M0171 (1224920.3)	1850_1, 1915_1	1916	1851	 	582	914	 	 	990	989	 	911_18	 	 	1359_23, 541_28, 543_26, 991_23	190
Staphylococcus aureus M0173 (1157013.3)	2121_1, 2186_1	2187	2122	 	883	1215	 	 	1293	1292	 	1212_18	 	 	1294_23, 1651_23, 842_28, 844_26	488
Staphylococcus aureus M0177 (1158513.3)	839_1, 903_1	904	840	 	2221	2555	 	 	2631	2630	 	2552_18	 	 	2180_28, 2182_26, 2632_23, 330_23	1827
Staphylococcus aureus M0192 (1157014.3)	1223_1, 1288_1	1289	1224	 	2585	303	 	 	377	376	 	300_18	 	 	2544_28, 2546_26, 378_23, 379_24, 731_23	2190
Staphylococcus aureus M0197 (1157015.3)	2062_1, 2126_1	2127	2063	 	730	1063	 	 	1140	1139	 	1060_18	 	 	1141_23, 1492_23, 689_28, 691_26	331
Staphylococcus aureus M0200 (1158514.3)	850_1, 915_1	916	851	 	2284	2623	 	 	2699	2698	 	2620_18	 	 	2243_28, 2245_26, 2700_23, 352_23	1889
Staphylococcus aureus M0210 (1224921.3)	215_1, 279_1	280	216	 	1626	1959	 	 	2033	2032	 	1956_18	 	 	1585_28, 1587_26, 2034_23, 2389_23	1231
Staphylococcus aureus M0212 (1158515.3)	1287_1, 1352_1	1353	1288	 	2667	305	 	 	380	379	 	302_18	 	 	2626_28, 2628_26, 381_23, 382_24, 734_23	2268
Staphylococcus aureus M0213 (1224922.3)	2117_1, 2182_1	2183	2118	 	856	1193	 	 	1268	1267	 	1190_18	 	 	1269_23, 1270_24, 1624_23, 815_28, 817_26	460
Staphylococcus aureus M0216 (1158516.3)	797_1, 862_1	863	798	 	2200	2533	 	 	2610	2609	 	2530_18	 	 	2159_28, 2161_26, 2611_23, 296_23	1806
Staphylococcus aureus M0221 (1157016.3)	2138_1, 2201_1	2202	2139	 	825	1156	 	1155_10	1255	1254	 	1153_18	 	 	1256_23, 1258_25, 1624_23, 1626_25, 780_28, 781_27, 782_26	419
Staphylococcus aureus M0235 (1158517.3)	1812_1, 1877_1	1878	1813	 	557	894	 	 	971	970	 	891_18	 	 	1322_23, 1323_24, 516_28, 518_26, 972_23, 973_24	160
Staphylococcus aureus M0237 (1157017.3)	1389_1, 1454_1	1455	1390	 	2709	372	 	 	449	448	 	369_18	 	 	2668_28, 2670_26, 450_23, 451_24, 826_23	2313
Staphylococcus aureus M0239 (1157018.3)	731_1, 794_1	795	732	 	2079	2372	 	 	2474	2473	 	2369_18	 	 	2034_28, 2035_27, 2036_26, 2475_23, 2476_24, 2477_25, 301_23, 303_25	1687
Staphylococcus aureus M0240 (1224923.3)	1225_1, 1290_1	1291	1226	 	2597	256	 	 	331	330	 	253_18	 	 	2556_28, 2558_26, 332_23, 709_23	2202
Staphylococcus aureus M0250 (1158518.3)	2214_1, 2279_1	2280	2215	 	956	1294	 	 	1369	1368	 	1291_18	 	 	1370_23, 1371_24, 1724_23, 915_28, 917_26	561
Staphylococcus aureus M0252 (1157019.3)	2222_1, 2287_1	2288	2223	 	968	1306	 	 	1381	1380	 	1303_18	 	 	1382_23, 1733_23, 927_28, 929_26	572
Staphylococcus aureus M0270 (1224924.3)	1888_1, 1952_1	1953	1889	 	552	885	 	 	960	959	 	882_18	 	 	1312_23, 511_28, 513_26, 961_23	160
Staphylococcus aureus M0273 (1224925.3)	2142_1, 2207_1	2208	2143	 	836	1173	 	 	1248	1247	 	1170_18	 	 	1249_23, 1250_24, 1601_23, 1602_24, 795_28, 797_26	441
Staphylococcus aureus M0279 (1224926.3)	792_1, 857_1	858	793	 	2224	2557	 	2556_10	2632	2631	 	2554_18	 	 	2183_28, 2184_27, 2185_26, 2633_23, 301_23	1830
Staphylococcus aureus M0280 (1158520.3)	492_1, 557_1	558	493	 	1952	2290	 	 	2365	2364	 	2287_18	 	 	1911_28, 1913_26, 2366_23, 2719_23	1561
Staphylococcus aureus M0288 (1224927.3)	806_1, 871_1	872	807	 	2251	2582	 	 	2658	2657	 	2579_18	 	 	2210_28, 2212_26, 2659_23, 298_23	1857
Staphylococcus aureus M0294 (1303781.3)	2060_1, 2124_1	2125	2061	 	805	1142	 	 	1219	1218	 	1139_18	 	 	1220_23, 1578_23, 764_28, 766_26	407
Staphylococcus aureus M0306 (1158521.3)	1306_1, 1371_1	1372	1307	 	2673	300	 	 	376	375	 	297_18	 	 	2631_28, 2633_26, 377_23, 378_24, 379_24, 734_23	2279
Staphylococcus aureus M0312 (1224928.3)	866_1, 929_1	930	867	 	2315	2642	 	2641_10	2759	2758	 	2639_18	 	 	2272_28, 2273_27, 2274_26, 2760_23, 2762_25, 346_23, 348_25	1913
Staphylococcus aureus M0326 (1157020.3)	802_1, 866_1	867	803	 	2234	2567	 	 	2642	2641	 	2564_18	 	 	2193_28, 2195_26, 2643_23, 301_23	1840
Staphylococcus aureus M0328 (1157021.3)	816_1, 881_1	882	817	 	2246	2581	 	 	2656	2655	 	2578_18	 	 	2205_28, 2207_26, 2657_23, 295_23	1852
Staphylococcus aureus M0329 (1157022.3)	1312_1, 1377_1	1378	1313	 	2677	325	 	 	403	402	 	322_18	 	 	2636_28, 2638_26, 404_23, 405_24, 779_23	2281
Staphylococcus aureus M0330 (1157023.3)	1919_1, 1983_1	1984	1920	 	667	997	 	 	1072	1071	 	994_18	 	 	1073_23, 1430_23, 1432_25, 626_28, 628_26	271
Staphylococcus aureus M0334 (1158522.3)	2076_1, 2140_1	2141	2077	 	784	1117	 	 	1192	1191	 	1114_18	 	 	1193_23, 1573_23, 743_28, 745_26	391
Staphylococcus aureus M0340 (1157024.3)	1997_1, 2060_1	2061	1998	 	693	1023	 	1022_10	1122	1121	 	1020_18	 	 	1123_23, 1125_25, 1486_23, 1488_25, 648_28, 649_27, 650_26	288
Staphylococcus aureus M0347 (1157025.3)	1281_1, 1345_1	1346	1282	 	2651	361	 	 	437	436	 	358_18	 	 	2610_28, 2612_26, 438_23, 792_23	2257
Staphylococcus aureus M0350 (1158523.3)	1832_1, 1896_1	1897	1833	 	575	915	 	 	991	990	 	912_18	 	 	1341_23, 534_28, 536_26, 992_23	183
Staphylococcus aureus M0351 (1158524.3)	1274_1, 1338_1	1339	1275	 	2671	340	 	 	415	414	 	337_18	 	 	2630_28, 2632_26, 416_23, 417_24, 782_23, 783_24	2275
Staphylococcus aureus M0363 (1158525.3)	1228_1, 1294_1	1295	1229	 	2601	241	 	 	318	317	 	238_18	 	 	2560_28, 2562_26, 319_23, 320_23, 322_25, 672_23	2206
Staphylococcus aureus M0364 (1157026.3)	1234_1, 1299_1	1300	1235	 	2646	310	 	 	385	384	 	307_18	 	 	2605_28, 2607_26, 386_23, 387_24, 742_23	2252
Staphylococcus aureus M0367 (1158526.3)	2115_1, 2180_1	2181	2116	 	857	1190	 	 	1264	1263	 	1187_18	 	 	1265_23, 1266_24, 1617_23, 815_28, 817_26	461
Staphylococcus aureus M0374 (1158527.3)	415_1, 480_1	481	416	 	1857	2195	 	 	2271	2270	 	2192_18	 	 	1816_28, 1818_26, 2272_23, 2620_23	1459
Staphylococcus aureus M0375 (1158528.3)	1830_1, 1895_1	1896	1831	 	554	887	 	 	963	962	 	884_18	 	 	1318_23, 513_28, 515_26, 964_23	161
Staphylococcus aureus M0391 (1157027.3)	1863_1, 1927_1	1928	1864	 	554	895	 	 	971	970	 	892_18	 	 	1362_23, 513_28, 515_26, 972_23	163
Staphylococcus aureus M0396 (1158529.3)	1394_1, 1457_1	1458	1395	 	231	519	 	518_10	597	596	 	516_18	 	 	187_28, 188_27, 189_26, 598_23, 599_24, 600_25, 965_23, 967_25	2361
Staphylococcus aureus M0404 (1224929.3)	1060_1, 996_1	1061	997	 	2434	74	 	 	151	150	 	71_18	 	 	152_23, 153_23, 2393_28, 2395_26, 507_23	2043
Staphylococcus aureus M0408 (1157028.3)	1849_1, 1927_1	1848	1926	 	721	417	 	 	1040	1039	 	420_18	 	 	1041_23, 1043_25, 767_26, 769_28	259
Staphylococcus aureus M0415 (1224930.3)	1991_1, 2055_1	2056	1992	 	656	987	 	 	1062	1061	 	984_18	 	 	1063_23, 1412_23, 615_28, 617_26	259
Staphylococcus aureus M0424 (1158530.3)	1914_1, 1977_1	1978	1915	 	562	892	 	891_10	1011	1010	 	889_18	 	 	1012_23, 1014_25, 1378_23, 1380_25, 519_28, 520_27, 521_26	160
Staphylococcus aureus M0427 (1157029.3)	1214_1, 1279_1	1280	1215	 	2584	297	 	 	372	371	 	294_18	 	 	2543_28, 2545_26, 373_23, 374_24, 724_23	2188
Staphylococcus aureus M0438 (1158531.3)	1220_1, 1285_1	1286	1221	 	2584	303	 	 	378	377	 	300_18	 	 	2542_28, 2543_27, 2544_27, 2545_26, 379_23, 380_24, 731_23	2187
Staphylococcus aureus M0450 (1157030.3)	1268_1, 1332_1	1333	1269	 	2633	296	 	 	370	369	 	293_18	 	 	2592_28, 2594_26, 371_23, 723_23	2238
Staphylococcus aureus M0455 (1224931.3)	818_1, 882_1	883	819	 	2120	2403	 	 	2479	2478	 	2400_18	 	 	2079_28, 2081_26, 2480_23, 2482_25, 329_23	1730
Staphylococcus aureus M0460 (1224932.3)	764_1, 828_1	829	765	 	2198	2535	 	 	2611	2610	 	2532_18	 	 	2157_28, 2159_26, 2612_23, 294_23	1804
Staphylococcus aureus M0467 (1157031.3)	427_1, 492_1	493	428	 	1831	2164	 	 	2239	2238	 	2161_18	 	 	1790_28, 1792_26, 2240_23, 2241_24, 2593_23	1438
Staphylococcus aureus M0468 (1157032.3)	835_1, 898_1	899	836	 	2283	2617	 	2616_10	2728	2727	 	2614_18	 	 	2238_28, 2239_27, 2240_26, 2729_23, 2731_25, 331_23, 333_25	1879
Staphylococcus aureus M0478 (1157033.3)	1204_1, 1269_1	1270	1205	 	2568	250	 	 	325	324	 	247_18	 	 	2527_28, 2529_26, 326_23, 686_23	2171
Staphylococcus aureus M0489 (1157034.3)	1366_1, 1430_1	1431	1367	 	18	402	 	 	476	475	 	399_18	 	 	2751_28, 2753_26, 477_23, 828_23	2396
Staphylococcus aureus M0493 (1224933.3)	2117_1, 2181_1	2182	2118	 	850	1182	 	 	1257	1256	 	1179_18	 	 	1258_23, 1609_23, 809_28, 811_26	454
Staphylococcus aureus M0494 (1157035.3)	719_1, 784_1	785	720	 	2156	2443	 	 	2517	2516	 	2440_18	 	 	2115_28, 2117_26, 2518_23, 298_23	1746
Staphylococcus aureus M0510 (1158533.3)	839_1, 904_1	905	840	 	2273	2606	 	 	2681	2680	 	2603_18	 	 	2232_28, 2234_26, 2682_23, 2683_24, 304_23	1877
Staphylococcus aureus M0513 (1158534.3)	330_1, 395_1	329	394	 	1675	1345	 	 	1245	1246, 1247	 	1348_18	 	 	1242_25, 1244_23, 1717_26, 1719_28	2076
Staphylococcus aureus M0528 (1158682.3)	1261_1, 1325_1	1326	1262	 	2724	355	 	 	432	431	 	352_18	 	 	2683_28, 2685_26, 433_23, 434_24, 790_23	2329
Staphylococcus aureus M0529 (1158462.3)	1993_1, 2057_1	2058	1994	 	728	1061	 	 	1136	1135	 	1058_18	 	 	1137_23, 1488_23, 687_28, 689_26	331
Staphylococcus aureus M0531 (1158683.3)	747_1, 810_1	811	748	 	2193	2523	 	2522_10	2603	2602	 	2520_18	 	 	2148_28, 2149_27, 2150_26, 2604_23, 2606_25, 304_23, 306_25	1786
Staphylococcus aureus M0536 (1158684.3)	1272_1, 1337_1	1338	1273	 	2636	311	 	 	388	387	 	308_18	 	 	2595_28, 2597_26, 389_23, 789_23	2245
Staphylococcus aureus M0539 (1158685.3)	2070_1, 2134_1	2135	2071	 	794	1139	 	 	1213	1212	 	1136_18	 	 	1214_23, 1565_23, 753_28, 755_26	400
Staphylococcus aureus M0547 (1158686.3)	2066_1, 2131_1	2132	2067	 	781	1119	 	 	1194	1193	 	1116_18	 	 	1195_23, 1554_23, 740_28, 742_26	386
Staphylococcus aureus M0562 (1158535.3)	1235_1, 1300_1	1301	1236	 	2623	304	 	 	379	378	 	301_18	 	 	2582_28, 2584_26, 380_23, 730_23	2232
Staphylococcus aureus M0565 (1158687.3)	1218_1, 1283_1	1284	1219	 	2637	304	 	 	379	378	 	301_18	 	 	2596_28, 2598_26, 380_23, 381_24, 736_23	2241
Staphylococcus aureus M0571 (1158536.3)	2351_1, 2416_1	2417	2352	 	1042	1376	 	 	1451	1450	 	1373_18	 	 	1001_28, 1003_26, 1452_23, 1804_23	646
Staphylococcus aureus M0580 (1158688.3)	415_1, 480_1	481	416	 	1838	2177	 	 	2253	2252	 	2174_18	 	 	1797_28, 1799_26, 2254_23, 2255_24, 2605_23	1443
Staphylococcus aureus M0584 (1158537.3)	1225_1, 1290_1	1291	1226	 	2654	305	 	 	380	379	 	302_18	 	 	2612_28, 2614_26, 381_23, 732_23	2261
Staphylococcus aureus M0586 (1158538.3)	1978_1, 2043_1	2044	1979	 	687	1026	 	 	1101	1100	 	1023_18	 	 	1102_23, 1453_23, 646_28, 648_26	294
Staphylococcus aureus M0602 (1158689.3)	852_1, 917_1	918	853	 	2272	2610	 	 	2684	2683	 	2607_18	 	 	2231_28, 2233_26, 2685_23, 320_23	1880
Staphylococcus aureus M0622 (1158690.3)	1217_1, 1281_1	1282	1218	 	2650	306	 	 	381	380	 	303_18	 	 	2609_28, 2611_26, 382_23, 383_24, 750_23	2255
Staphylococcus aureus M0628 (1158461.3)	751_1, 815_1	816	752	 	2188	2526	 	 	2602	2601	 	2523_18	 	 	2147_28, 2149_26, 2603_23, 2604_24, 329_23, 330_24	1789
Staphylococcus aureus M0633 (1158539.3)	1290_1, 1353_1	1354	1291	 	2740	298	 	297_10	396	395	 	295_18	 	 	2695_28, 2696_27, 2697_26, 397_23, 399_25, 758_23, 760_25	2334
Staphylococcus aureus M0646 (1214901.3)	2343_1, 2408_1	2409	2344	 	1038	1363	 	 	1439	1438	 	1360_18	 	 	1440_23, 1792_23, 997_28, 999_26	642
Staphylococcus aureus M0648 (1213721.3)	1929_1, 1993_1	1994	1930	 	653	1005	 	 	1080	1079	 	1002_18	 	 	1081_23, 1431_23, 612_28, 614_26	261
Staphylococcus aureus M0660 (1213722.3)	1843_1, 1908_1	1909	1844	 	555	903	 	 	978	977	 	900_18	 	 	1332_23, 514_28, 516_26, 979_23	162
Staphylococcus aureus M0663 (1213723.3)	1225_1, 1290_1	1291	1226	 	2614	296	 	 	370	369	 	293_18	 	 	2573_28, 2575_26, 371_23, 727_23	2221
Staphylococcus aureus M0673 (1213724.3)	1224_1, 1289_1	1290	1225	 	2656	306	 	 	383	382	 	303_18	 	 	2615_28, 2617_26, 384_23, 385_24, 739_23	2263
Staphylococcus aureus M0676 (1158691.3)	1236_1, 1300_1	1301	1237	 	2612	306	 	 	380	379	 	303_18	 	 	2571_28, 2573_26, 381_23, 772_23	2218
Staphylococcus aureus M0687 (1158692.3)	1043_1, 1107_1	1108	1044	 	2474	84	 	 	159	158	 	81_18	 	 	160_23, 161_24, 2433_28, 2435_26, 557_23	2077
Staphylococcus aureus M0692 (1158693.3)	1900_1, 1964_1	1965	1901	 	556	899	 	 	975	974	 	896_18	 	 	1328_23, 515_28, 517_26, 976_23	162
Staphylococcus aureus M0695 (1213725.3)	1225_1, 1289_1	1290	1226	 	2641	346	 	 	423	422	 	343_18	 	 	2600_28, 2601_27, 2602_26, 424_23, 803_23, 805_25	2242
Staphylococcus aureus M0719 (1158694.3)	1974_1, 2039_1	2040	1975	 	653	993	 	 	1068	1067	 	990_18	 	 	1069_23, 1424_23, 612_28, 614_26	261
Staphylococcus aureus M0769 (1158695.3)	1205_1, 1270_1	1271	1206	 	2628	305	 	 	382	381	 	302_18	 	 	2587_28, 2589_26, 383_23, 384_24, 737_23, 738_24	2235
Staphylococcus aureus M0770 (1158696.3)	2351_1, 2416_1	2417	2352	 	1031	1374	 	 	1451	1450	 	1371_18	 	 	1452_23, 1801_23, 990_28, 992_26	638
Staphylococcus aureus M0780 (1158697.3)	1202_1, 1266_1	1267	1203	 	2630	306	 	 	381	380	 	303_18	 	 	2589_28, 2591_26, 382_23, 735_23	2236
Staphylococcus aureus M0792 (1213726.3)	1254_1, 1318_1	1319	1255	 	2682	308	 	 	384	383	 	305_18	 	 	2641_28, 2643_26, 385_23, 733_23	2284
Staphylococcus aureus M0799 (1158698.3)	2116_1, 2181_1	2182	2117	 	784	1124	 	 	1200	1199	 	1121_18	 	 	1201_23, 1556_23, 743_28, 745_26	390
Staphylococcus aureus M0822 (1213727.3)	1199_1, 1264_1	1265	1200	 	2644	304	 	 	380	379	 	301_18	 	 	2602_28, 2604_26, 381_23, 733_23	2233
Staphylococcus aureus M0823 (1158699.3)	1304_1, 1369_1	1370	1305	 	2735	307	 	 	383	382	 	304_18	 	 	2694_28, 2696_26, 384_23, 736_23	2341
Staphylococcus aureus M0831 (1213728.3)	842_1, 906_1	907	843	 	2298	2628	 	2627_10	2754	2753	 	2625_18	 	 	2255_28, 2256_27, 2257_26, 2755_23, 2757_25, 308_23, 310_25	1899
Staphylococcus aureus M0844 (1158700.3)	1915_1, 1979_1	1980	1916	 	661	994	 	 	1070	1069	 	991_18	 	 	1071_23, 1426_23, 620_28, 622_26	266
Staphylococcus aureus M0871 (1213729.3)	1191_1, 1256_1	1257	1192	 	2602	306	 	 	381	380	 	303_18	 	 	2561_28, 2563_26, 382_23, 733_23	2209
Staphylococcus aureus M0877 (1213730.3)	1767_1, 1830_1	1766	1829	 	487	161	 	162_10	59	60	 	164_18	 	 	2322_25, 2324_23, 56_25, 58_23	880
Staphylococcus aureus M0892 (1213732.3)	1296_1, 1361_1	1362	1297	 	2670	309	 	 	384	383	 	306_18	 	 	2629_28, 2631_26, 385_23, 386_24, 741_23	2275
Staphylococcus aureus M0900 (1213733.3)	1241_1, 1305_1	1306	1242	 	2661	279	 	 	354	353	 	276_18	 	 	2620_28, 2622_26, 355_23, 356_24, 708_23, 709_24	2267
Staphylococcus aureus M0927 (1213734.3)	1205_1, 1271_1	1272	1206	 	2648	304	 	 	380	379	 	301_18	 	 	2607_28, 2609_26, 381_23, 737_23	2255
Staphylococcus aureus M0934 (1158701.3)	2328_1, 2392_1	2393	2329	 	1041	1373	 	 	1447	1446	 	1370_18	 	 	1000_28, 1002_26, 1448_23, 1795_23	644
Staphylococcus aureus M0943 (1158702.3)	1198_1, 1262_1	1263	1199	 	2629	305	 	 	382	381	 	302_18	 	 	2588_28, 2590_26, 383_23, 733_23	2232
Staphylococcus aureus M0944 (1158703.3)	1119_1, 1184_1	1185	1120	 	2614	264	 	 	339	338	 	261_18	 	 	2573_28, 2575_26, 340_23, 696_23	2220
Staphylococcus aureus M0946 (1169255.3)	1911_1, 1975_1	1910	1974	 	495	158	 	 	58	59	 	161_18	 	 	538_26, 540_28, 55_25, 57_23	895
Staphylococcus aureus M0953 (1158704.3)	836_1, 900_1	901	837	 	2203	2541	 	 	2615	2614	 	2538_18	 	 	2162_28, 2164_26, 2616_23, 2617_24, 332_23	1807
Staphylococcus aureus M0964 (1169256.3)	1224_1, 1289_1	1290	1225	 	2657	305	 	 	380	379	 	302_18	 	 	2616_28, 2618_26, 381_23, 736_23	2262
Staphylococcus aureus M0978 (1169257.3)	886_1, 951_1	952	887	 	2315	2600	 	 	2676	2675	 	2597_18	 	 	2274_28, 2276_26, 2677_23, 341_23	1921
Staphylococcus aureus M0994 (1169258.3)	789_1, 853_1	854	790	 	2226	2561	 	 	2636	2635	 	2558_18	 	 	2185_28, 2187_26, 2637_23, 297_23	1829
Staphylococcus aureus M0998 (1158705.3)	827_1, 892_1	893	828	 	2233	2572	 	 	2648	2647	 	2569_18	 	 	2192_28, 2194_26, 2649_23, 2650_24, 333_23	1839
Staphylococcus aureus M0999 (1158706.3)	1240_1, 1305_1	1306	1241	 	2631	304	 	 	380	379	 	301_18	 	 	2590_28, 2592_26, 381_23, 752_23	2237
Staphylococcus aureus M1 (1305598.3)	1227_1, 1291_1	1292	1228	 	11	364	 	363_10	442	441	 	361_18	 	 	2660_28, 2661_27, 2662_26, 443_23, 444_24, 445_25, 800_23, 802_25	2303
Staphylococcus aureus M1007 (1158707.3)	1910_1, 1973_1	1974	1911	 	568	900	 	899_10	1015	1014	 	897_18	 	 	1016_23, 1018_25, 1380_23, 1382_25, 523_28, 524_27, 525_26	164
