Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Enterococcus faecalis B2391 (1157356.3)	355	1140_2	1141	1498	 	 	 	 	1093	 	1094	446_17	 	1450	 	239_25	 
Enterococcus faecalis B2488 (1157357.3)	353	1134_2	1135	1493	 	 	 	 	1087	 	1088	445_17	 	1445	 	237_25	 
Enterococcus faecalis B2535 (1157358.3)	355	1132_2	1133	1490	 	 	 	 	1085	 	1086	446_17	 	1442	 	238_25	 
Enterococcus faecalis B2557 (1157359.3)	354	1139_2	1140	1497	 	 	 	 	1092	 	1093	446_17	 	1449	 	237_25	 
Enterococcus faecalis B2593 (1157360.3)	697	1485_2	1486	1843	 	 	 	 	1438	 	1439	788_17	 	1795	 	581_25	 
Enterococcus faecalis B2670 (1157387.3)	353	1135_2	1136	1493	 	 	 	 	1088	 	1089	444_17	 	1445	 	237_25	 
Enterococcus faecalis B2685 (1157388.3)	353	1134_2	1135	1493	 	 	 	 	1087	 	1088	444_17	 	1445	 	237_25	 
Enterococcus faecalis B2687 (1157389.3)	664	1465_2	1466	1823	 	 	 	 	1418	 	1419	756_17	 	1775	 	548_25	 
Enterococcus faecalis B2802 (1157390.3)	335	1229_2	1230	1587	 	 	 	 	1182	 	1183	426_17	 	1539	 	212_25	 
Enterococcus faecalis B2864 (1157392.3)	353	1143_2	1144	1502	 	 	 	 	1096	 	1097	444_17	 	1454	 	237_25	 
Enterococcus faecalis B2867 (1157393.3)	359	1226_2	1227	1585	 	 	 	 	1179	 	1180	450_17	 	1537	 	240_25	 
Enterococcus faecalis B2949 (1157394.3)	434	1180_2	1181	1539	 	 	 	 	1133	 	1134	525_17	 	1491	 	236_25	 
Enterococcus faecalis B3031 (1157361.3)	352	1140_2	1141	1498	 	 	 	 	1093	 	1094	443_17	 	1450	 	236_25	 
Enterococcus faecalis B3042 (1157362.3)	353	1132_2	1133	1492	 	 	 	 	1085	 	1086	445_17	 	1444	 	237_25	 
Enterococcus faecalis B3053 (1157363.3)	355	1155_2	1156	1513	 	 	 	 	1108	 	1109	446_17	 	1465	 	239_25	 
Enterococcus faecalis B3119 (1157395.3)	360	1221_2	1222	1579	 	 	 	 	1174	 	1175	451_17	 	1531	 	237_25	 
Enterococcus faecalis B3126 (1157364.3)	353	1172_2	1173	1531	 	 	 	 	1125	 	1126	444_17	 	1483	 	237_25	 
Enterococcus faecalis B3196 (1157396.3)	357	1228_2	1229	1587	 	 	 	 	1181	 	1182	448_17	 	1539	 	237_25	 
Enterococcus faecalis B3286 (1157397.3)	405	1195_2	1196	1554	 	 	 	 	1148	 	1149	496_17	 	1506	 	238_25	 
Enterococcus faecalis B3336 (1157398.3)	368	1151_2	1152	1458	 	 	 	 	1103	 	1104	459_17	 	1409	 	267_25	 
Enterococcus faecalis B4008 (1157399.3)	359	1230_2	1231	1588	 	 	 	 	1183	 	1184	451_17	 	1540	 	236_25	 
Enterococcus faecalis B4018 (1157400.3)	359	1189_2	1190	1547	 	 	 	 	1142	 	1143	450_17	 	1499	 	236_25	 
Enterococcus faecalis B4148 (1157401.3)	357	1203_2	1204	1560	 	 	 	 	1156	 	1157	448_17	 	1512	 	235_25	 
Enterococcus faecalis B4163 (1157402.3)	688	1551_2	1552	1909	 	 	 	 	1504	 	1505	779_17	 	1861	 	564_25	 
Enterococcus faecalis B4259 (1157403.3)	361	1243_2	1244	1601	 	 	 	 	1196	 	1197	452_17	 	1553	 	239_25	 
Enterococcus faecalis B4267 (1157404.3)	360	1230_2	1231	1589	 	 	 	 	1183	 	1184	451_17	 	1541	 	238_25	 
Enterococcus faecalis B4270 (1157405.3)	328	1121_2	1122	1479	 	 	 	 	1074	 	1075	419_17	 	1431	 	211_25	 
Enterococcus faecalis B4411 (1157406.3)	682	1537_2	1538	1896	 	 	 	 	1490	 	1491	773_17	 	1848	 	565_25	 
Enterococcus faecalis B4568 (1157407.3)	354	1166_2	1167	1525	 	 	 	 	1119	 	1120	445_17	 	1477	 	237_25	 
Enterococcus faecalis B4638 (1157408.3)	354	1136_2	1137	1494	 	 	 	 	1089	 	1090	445_17	 	1446	 	238_25	 
Enterococcus faecalis B4672 (1157409.3)	354	1145_2	1146	1503	 	 	 	 	1098	 	1099	445_17	 	1455	 	237_25	 
Enterococcus faecalis B4674 (1157410.3)	95	895_2	896	1254	 	 	 	 	848	 	849	186_17	 	1206	 	3088_25	 
Enterococcus faecalis B4969 (1157411.3)	354	1154_2	1155	1514	 	 	 	 	1107	 	1108	445_17	 	1466	 	238_25	 
Enterococcus faecalis B5035 (1158632.3)	356	1217_2	1218	1575	 	 	 	 	1170	 	1171	447_17	 	1527	 	236_25	 
Enterococcus faecalis B5076 (1157412.3)	352	1067_2	1068	1428	 	 	 	 	1020	 	1021	442_17	 	1380	 	236_25	 
Enterococcus faecalis B56765 (1151188.3)	1742	1565_2	1564	1203	 	 	 	 	1614	1058	1613	1837_17	 	1257	 	3161_25, 3162_27	 
Enterococcus faecalis B594 (1157365.3)	350	1147_2	1148	1504	 	 	 	 	1100	 	1101	441_17	 	1456	 	234_25	 
Enterococcus faecalis B653 (1169309.3)	280	919_2	920	1214	 	 	 	 	872	1359	873	362_17	 	1164	 	213_28, 214_27	 
Enterococcus faecalis B69486 (1151189.3)	2418	1577_2	1576	1209	 	 	 	 	1624	 	1623	2325_17	 	1258, 1259	 	2802_25	 
Enterococcus faecalis B84847 (1151190.3)	1590	185_2	1731, 186	489	 	 	 	 	135	639	136	1682_17	 	436	 	2783_25, 2784_27	 
Enterococcus faecalis B878 (1157366.3)	325	1119_2	1120	1476	 	 	 	 	1072	 	1073	416_17	 	1428	 	208_25	 
Enterococcus faecalis B939 (1157367.3)	353	1127_2	1128	1485	 	 	 	 	1080	 	1081	444_17	 	1437	 	237_25	 
Enterococcus faecalis C19315WT (1151191.3)	337	1162_2	1163, 2995	1447	 	 	 	 	1112	1595	1113	253_17	 	1394	 	229_25, 230_27	 
Enterococcus faecalis CH116 (1158660.3)	378	1193_2	1194	1484	 	 	 	 	1144	 	1145	471_17	 	1431	 	261_28, 262_27	 
Enterococcus faecalis CH136 (1158661.3)	397	1146_2	1147	1436	 	 	 	 	1099	 	1100	489_17	 	1383	 	262_28, 263_27	 
Enterococcus faecalis CH188 (565644.5)	876	2269_2	2270	1126	 	 	 	 	1854	 	1855	968_17	 	1076	 	253_28, 254_27	 
Enterococcus faecalis CH19 (1158627.3)	414	1163_2	1164	1453	 	 	 	 	1115	 	1116	507_17	 	1400	 	262_28, 263_27	 
Enterococcus faecalis CH570 (1158656.3)	429	1196_2	1197	1558	 	 	 	 	1149	 	1150	520_17	 	1509	 	321_25	 
Enterococcus faecalis Com 2 (1158633.3)	357	1222_2	1223	1509	 	 	 	 	1174	1648	1175	449_17	 	1462	 	292_25	 
Enterococcus faecalis Com 6 (1158634.3)	312	1018_2	1019	1323	 	 	 	 	975	1467	976	402_17	 	1270	 	247_25, 248_27	 
Enterococcus faecalis Com1 (1158671.3)	357	1198_2	1199	1485	 	 	 	 	1149	1624	1150	449_17	 	1438	 	292_25	 
Enterococcus faecalis Com7 (1169306.3)	291	1111_2	1112	1415	 	 	 	 	1063	1610	1064	383_17	 	1361	 	226_25, 227_27	 
Enterococcus faecalis D1 (1169247.3)	304	1104_2	1105	1411	 	 	 	 	1060	 	1061	397_17	 	1358	 	240_28, 241_27	 
Enterococcus faecalis D173 (1169310.3)	344	1057_2	1058	1428	 	 	 	 	1007	1568	1008	439_17	 	1375	 	277_25, 278_27	 
Enterococcus faecalis D3 (1169288.3)	345	1264_2	1265	1579	 	 	 	 	1220	1718	1221	437_17	 	1529	 	229_25	 
Enterococcus faecalis D32 (1206105.3)	306	1000_2	1001	1312	 	 	 	 	956	 	957	398_17	 	1260	 	190_28, 191_27	 
Enterococcus faecalis D6 (565650.5)	45	830_2	422, 831	2119	 	 	 	 	783	1002	784	135_17	 	2172	 	2020_25, 2021_27	 
Enterococcus faecalis DAPTO 512 (749489.3)	624	1416_2, 1417_2	1418, 2701	1778	 	 	 	 	130	 	129, 2403	2357_17	 	1725	 	2741_27, 2742_25	 
Enterococcus faecalis DAPTO 516 (749490.3)	707	806_2, 807_2	1500, 808	1168	 	 	 	 	196	 	1521, 197	2546_17	 	1115	 	293_25, 294_27	 
Enterococcus faecalis DS16 (1158677.3)	307	999_2	1000	1310	 	 	 	 	955	 	956	401_17	 	1257	 	243_25, 244_27	 
Enterococcus faecalis DS5 (565643.5)	924	2542_2	2543	2111	 	 	 	 	2500	 	2501	814_17	 	2790	 	368_27, 369_25	 
Enterococcus faecalis E1 (1158673.3)	309	1129_2	1130	1440	 	 	 	 	1056	 	1057	404_17	 	1387	 	245_25, 246_27	 
Enterococcus faecalis E1Sol (565647.5)	682	2191_2	2190	1835	 	 	 	 	2235	 	2234	759_17	 	1882	 	1216_28, 1217_27	 
Enterococcus faecalis E99 (1169284.3)	316	1223_2	1224	1515	 	 	 	 	1175	1654	1176	410_17	 	1461	 	251_25, 252_27	 
Enterococcus faecalis ERV103 (1134785.3)	861	2339_2	2340, 2869	736	 	 	 	 	2291	 	2292	941_17	 	784	 	2738_28, 2739_27	 
Enterococcus faecalis ERV116 (1134786.3)	931	2588_2	2589, 429	2108	 	 	 	 	2540	 	2541	1010_17	 	2060	 	526_27, 527_28	 
Enterococcus faecalis ERV129 (1134787.3)	2794	764_2	2865, 765	1165	 	 	 	 	2453	 	2454	2715_17	 	1117	 	1631_27, 1632_28	 
Enterococcus faecalis ERV25 (1134788.3)	2874	1380_2	1381, 2140	735	 	 	 	 	1332	 	1333	2953_17	 	783	 	2483_28, 2484_27	 
Enterococcus faecalis ERV31 (1134789.3)	2397	2848_2	2373, 2847	1111	 	 	 	 	2896	 	2895	2476_17	 	1063	 	2347_28, 2348_27	 
Enterococcus faecalis ERV37 (1134790.3)	1281	872_2	2246, 871	2785	 	 	 	 	920	 	919	1589_17	 	2737	 	2574_28, 2575_27	 
Enterococcus faecalis ERV41 (1134791.3)	642	1754_2	1753, 2893	1252	 	 	 	 	1802	 	1801	563_17	 	1300	 	841_27, 842_28	 
Enterococcus faecalis ERV62 (1134792.3)	72	1546_2	1547, 3045	604	 	 	 	 	1498	 	1499	1812_17	 	556	 	2633_28	 
Enterococcus faecalis ERV63 (1134793.3)	2356	1208_2	1207, 3000	911	 	 	 	 	1256	 	1255	2277_17	 	959	 	2380_27, 2381_28	 
Enterococcus faecalis ERV65 (1134794.3)	889	2501_2	1028, 2500	1313	 	 	 	 	2549	1455	2548	968_17	 	233	 	521_28, 522_27	 
Enterococcus faecalis ERV68 (1134795.3)	1770	2448_2	2210, 2449	1354	 	 	 	 	2399	1212	2400	1849_17	 	1402	 	3055_28, 3056_27	 
Enterococcus faecalis ERV72 (1134796.3)	455	1946_2	1947, 3049	1444	 	 	 	 	1898	 	1899	535_17	 	1492	 	760_28, 761_27	 
Enterococcus faecalis ERV81 (1134798.3)	793	2125_2	2126, 643	2836	 	 	 	 	1167	 	1166	871_17	 	2884	 	2513_28, 2514_27	 
Enterococcus faecalis ERV85 (1134799.3)	2976	1092_2	1091, 1800	2184	 	 	 	 	1140	 	1139	2898_17	 	2136	 	735_27, 736_28	 
Enterococcus faecalis ERV93 (1134800.3)	2668	969_2	2567, 970	1387	 	 	 	 	1757	 	1756	2589_17	 	711	 	2355_27, 2356_28	 
Enterococcus faecalis EnGen0253 (1158540.3)	302	1086_2	1087	1394	 	 	 	 	1041	1533	1042	396_17	 	1340	 	238_28, 239_27	 
Enterococcus faecalis F1 (1169297.3)	399	1219_2	1220	1524	 	 	 	 	1168	 	1169	492_17	 	1471	 	227_25, 228_27	 
Enterococcus faecalis FA2-2 (1158622.3)	320	1411_2	1412	1780	 	 	 	 	1363	1921	1364	413_17	 	1727	 	254_25, 255_27	 
Enterococcus faecalis Fly 2 (1169303.3)	350	1009_2	1010	1299	 	 	 	 	960	1439	961	429_17	 	1246	 	281_25, 282_27	 
Enterococcus faecalis Fly1 (565649.5)	607	2229_2	2228	1869	 	 	 	 	2314	 	2313	828_17	 	1921	 	1117_28, 1118_27	 
Enterococcus faecalis HEF39 (1157368.3)	330	1141_2	1142, 732	1436	 	 	 	 	1093	1601	1094	421_17	 	1383	 	265_25, 266_27	 
Enterococcus faecalis HH22 (491075.3)	2616	769_2	770	389	 	 	 	 	722	 	723	2706_17	 	341	 	2256_25	 
Enterococcus faecalis HIP11704 (565646.5)	709	2531_2	2138, 2530	2242	 	 	 	 	2577	2926	2576	801_17	 	2295	 	1642_25, 1643_27	 
Enterococcus faecalis JH1 (565648.4)	2561	560_2	559	1329	 	 	 	 	603	 	602	2652_17	 	2497	 	1176_27, 1177_25	 
Enterococcus faecalis M7 (1111677.3)	2218	1732_2	1731	2039	 	 	 	 	1521	 	1522	2309_17	 	817	 	1074_27, 1075_25	 
Enterococcus faecalis MMH594 (1158653.5)	354	1144_2	1145	1503	 	 	 	 	1097	 	1098	446_17	 	1455	 	237_25	 
Enterococcus faecalis Merz151 (1169304.3)	293	1166_2	1167, 753	1466	 	 	 	 	1119	1606	1120	372_17	 	1418	 	227_28, 228_27	 
Enterococcus faecalis Merz192 (1169248.3)	310	1154_2	1155	1463	 	 	 	 	1111	 	1112	403_17	 	1410	 	245_25, 246_27	 
Enterococcus faecalis Merz204 (1169249.3)	326	1165_2	1166	1472	 	 	 	 	1122	 	1123	418_17	 	1419	 	262_25, 263_27	 
Enterococcus faecalis Merz89 (1169250.3)	327	1149_2	1150	1456	 	 	 	 	1106	 	1107	419_17	 	1403	 	263_25, 264_27	 
Enterococcus faecalis Merz96 (565645.4)	525	2270_2, 2271_2	197, 2269	1969	 	 	 	 	2311	 	2310, 639	603_17	 	2016	 	1034_23_24, 1034_23_24, 1035_25	 
Enterococcus faecalis Ned10 (1158657.3)	374	1156_2	1157	1443	 	 	 	 	1077	 	1078	466_17	 	1390	 	262_28, 263_27	 
Enterococcus faecalis OG1RF (474186.5)	252	926_2	927	1238	 	 	 	 	882	 	883	342_17	 	1185	 	187_25, 188_27	 
Enterococcus faecalis OG1X (1027372.3)	744	362_2	363	448	 	 	 	 	1689	 	1688	651_17	 	1580	 	2454_25, 2455_27	 
Enterococcus faecalis PC1.1 (702448.3)	931	932_2	689, 935	934	 	 	 	 	933	929	930	936_17	 	937	 	2185_28, 2186_27	 
Enterococcus faecalis Pan7 (1158666.3)	392	1184_2	1185, 532	1490	 	 	 	 	1139	1634	1140	484_17	 	1436	 	327_25, 328_27	 
Enterococcus faecalis R508 (1134801.3)	380	213_2	212	2591	 	 	 	 	1846	 	1847	301_17	 	508	 	40_28, 41_27	 
Enterococcus faecalis R712 (699186.3)	1866	1000_2, 1001_2	2265, 999	768	 	 	 	 	1042	 	1041, 2067	2359_17	 	151	 	516_23_24, 516_23_24, 517_25	 
Enterococcus faecalis RC73 (1158678.3)	328	1200_2	1201	1511	 	 	 	 	1156	 	1157	421_17	 	1458	 	263_25, 264_27	 
Enterococcus faecalis RM3817 (1158674.3)	43	828_2	829	1133	 	 	 	 	784	 	785	136_17	 	1079	 	2794_25, 2795_27	 
Enterococcus faecalis RM4679 (1158625.3)	457	1295_2	1296	1649	 	 	 	 	1218	 	1219	549_17	 	1597	 	304_28, 305_27	 
Enterococcus faecalis RMC1 (1169299.3)	326	1223_2	1224, 468	1592	 	 	 	 	1174	1732	1175	420_17	 	1539	 	260_25, 261_27	 
Enterococcus faecalis RMC5 (1169289.3)	309	978_2	979	1270	 	 	 	 	928	1423	929	402_17	 	1226	 	244_25	 
Enterococcus faecalis RMC65 (1169308.3)	307	1087_2	1088	1396	 	 	 	 	1044	1548	1045	399_17	 	1343	 	243_25	 
Enterococcus faecalis S613 (699185.3)	435	948_2, 949_2	827, 950	2656	 	 	 	 	905	 	36, 906	2315_17	 	2604	 	1414_25, 1415_27	 
Enterococcus faecalis SF100 (1158654.3)	438	1197_2	1198	1560	 	 	 	 	1150	 	1151	529_17	 	1511	 	374_25	 
Enterococcus faecalis SF105 (1158658.3)	381	1647_2	1648	1938	 	 	 	 	1570	 	1571	474_17	 	1885	 	263_28, 264_27	 
Enterococcus faecalis SF1592 (1158630.3)	358	1117_2	1118	1480	 	 	 	 	1070	 	1071	448_17	 	1431	 	278_25	 
Enterococcus faecalis SF19 (1158629.3)	317	1171_2	1172	1534	 	 	 	 	1124	 	1125	408_17	 	1485	 	247_25	 
Enterococcus faecalis SF21520 (1169313.3)	373	1143_2	1144	1505	 	 	 	 	1095	 	1096	465_17	 	1455, 1456	 	248_25	 
Enterococcus faecalis SF21521 (1158668.3)	79	935_2	936	1224	 	 	 	 	887	1371	888	174_17	 	1170	 	2963_25, 2964_27	 
Enterococcus faecalis SF24396 (1158665.3)	327	1059_2	1060	1366	 	 	 	 	1016	1510	1017	420_17	 	1312	 	262_25, 263_27	 
Enterococcus faecalis SF24397 (1158618.3)	430	1213_2	1214	1512	 	 	 	 	1165	 	1166	509_17	 	1464	 	293_28, 294_27	 
Enterococcus faecalis SF24413 (1158619.3)	432	1213_2	1214, 795	1512	 	 	 	 	1164	 	1165	511_17	 	1464	 	296_28, 297_27	 
Enterococcus faecalis SF26630 (1158620.3)	470	1173_2	1174	1464	 	 	 	 	1125	 	1126	561_17	 	1416	 	325_25	 
Enterococcus faecalis SF28073 (1158624.3)	207	970_2	971	1269	 	 	 	 	923	 	924	287_17	 	1221	 	103_28, 104_27	 
Enterococcus faecalis SF339 (1169305.3)	463	1182_2	1183	1461	 	 	 	 	1105	 	1106	557_17	 	1408	 	258_28, 259_27	 
Enterococcus faecalis SF350 (1169251.3)	377	1606_2	1607	1972	 	 	 	 	1559	2112	1560	468_17	 	1919	 	288_25, 289_27	 
Enterococcus faecalis SF370 (1158655.3)	391	1175_2	1176	1535	 	 	 	 	1128	 	1129	482_17	 	1487	 	272_25	 
Enterococcus faecalis SF5039 (1169252.3)	340	1323_2	1324	1626	 	 	 	 	1275	1767	1276	432_17	 	 	 	275_25, 276_27	 
Enterococcus faecalis SF6375 (1169280.3)	2531	985_2	986	1288	 	 	 	 	938	1428	939	2440_17	 	 	 	273_25, 274_27	 
Enterococcus faecalis SS-6 (1158621.3)	369	1140_2	1141, 507, 685	1446	 	 	 	 	1096	1590	1097	461_17	 	1393	 	245_25, 246_27	 
Enterococcus faecalis SS-7 (1169298.3)	293	1097_2	1098, 2766, 434	1400	 	 	 	 	1047	 	1048	384_17	 	1347	 	228_25, 229_27	 
Enterococcus faecalis T1 (565636.4)	788	2207_2	2206, 492, 921	1858	 	 	 	 	2249	1716	2248	878_17	 	1959	 	1194_25, 1195_27	 
Enterococcus faecalis T10 (1169295.3)	322	978_2	979	1291	 	 	 	 	933	1435	934	418_17	 	1237	 	255_25, 256_27	 
Enterococcus faecalis T11 (565640.5)	379	2097_2	2098	2382	 	 	 	 	2051	 	2052	468_17	 	2331	 	901_25	 
Enterococcus faecalis T12 (1169287.3)	320	1108_2	1109, 703	1417	 	 	 	 	1061	1556	1062	398_17	 	1367	 	256_28, 257_27	 
Enterococcus faecalis T13 (1158663.3)	317	1016_2	1017	1321	 	 	 	 	973	1465	974	408_17	 	1268	 	252_25, 253_27	 
Enterococcus faecalis T14 (1158626.3)	396	1175_2	1176	1461	 	 	 	 	1098	1601	1099	488_17	 	1409	 	263_28, 264_27	 
Enterococcus faecalis T16 (1158662.3)	315	1131_2	1132, 455	1437	 	 	 	 	1087	1585	1088	408_17	 	1383	 	245_25, 246_27	 
Enterococcus faecalis T17 (1169292.3)	312	1158_2	1159	1467	 	 	 	 	1113	1663	1114	397_17	 	1414	 	246_25, 247_27	 
Enterococcus faecalis T18 (1169296.3)	291	1000_2	1001	1288	 	 	 	 	953	1427	954	383_17	 	1235	 	227_25	 
Enterococcus faecalis T19 (1169300.3)	292	1134_2	1135	1430	 	 	 	 	1089	1569	1090	372_17	 	1377	 	228_25, 229_27	 
Enterococcus faecalis T2 (565637.4)	301	2418_2	2417	2083	 	 	 	 	2464	1899	2463	648_17	 	2133	 	1184_25, 1185_27	 
Enterococcus faecalis T20 (1169285.3)	307	963_2	964	1258	 	 	 	 	920	1402	921	399_17	 	1205	 	242_25, 243_27	 
Enterococcus faecalis T21 (1158669.3)	297	1119_2	1120, 441	1428	 	 	 	 	1075	1572	1076	393_17	 	1375	 	233_25, 234_27	 
Enterococcus faecalis T3 (565638.4)	397	1566_2	1567, 636	1866	 	 	 	 	1524	2015	1525	486_17	 	1820	 	1128_25, 1129_27	 
Enterococcus faecalis T4 (1169253.3)	314	1066_2	1067, 459	1369	 	 	 	 	1015	1519	1016	410_17	 	1316	 	250_25, 251_27	 
Enterococcus faecalis T5 (1169293.3)	478	1243_2	1244	1537	 	 	 	 	1194	 	1195	569_17	 	1484	 	414_25, 415_27	 
Enterococcus faecalis T6 (1169291.3)	476	1122_2	1123	1417	 	 	 	 	1073	1557	1074	567_17	 	1364	 	234_25, 235_27	 
Enterococcus faecalis T7 (1169254.3)	320	1480_2	1481	1781	 	 	 	 	1432	1922	1433	413_17	 	1728	 	255_25, 256_27	 
Enterococcus faecalis T8 (565639.4)	43	1037_2	1038	580	 	 	 	 	839	717	840	133_17	 	530	 	2653_25, 2654_27	 
Enterococcus faecalis T9 (1169294.3)	301	1101_2	1102, 875	1410	 	 	 	 	1056	 	1057	384_17	 	1357	 	237_25, 238_27	 
Enterococcus faecalis TR161 (1169314.3)	389	1165_2	1166	1524	 	 	 	 	1118	 	1119	481_17	 	1476	 	272_25	 
Enterococcus faecalis TR197 (1169307.3)	381	1362_2	1363	1652	 	 	 	 	1283	 	1284	475_17	 	1603	 	263_25	 
Enterococcus faecalis TUSoD Ef11 (553209.3)	1895	975_2	457, 976	1618	 	 	 	 	2346	838	2347	1984_17	 	596	 	1842_25, 1843_27	 
Enterococcus faecalis TX0012 (749496.3)	1501	340_2	210, 341	1154	 	 	 	 	1377	 	1376	2291_17	 	1207	 	695_25	 
Enterococcus faecalis TX0017 (749497.3)	1884	2438_2	2439, 2506	306	 	 	 	 	2395	2048	2396	1792_17	 	253	 	1071_25, 1072_27	 
Enterococcus faecalis TX0027 (749498.3)	1766	2141_2	2140	275	 	 	 	 	2185	 	2184	1673_17	 	222	 	608_25	 
Enterococcus faecalis TX0031 (749499.3)	745	494_2	493	2232	 	 	 	 	877	2088	878	652_17	 	2285	 	937_27, 938_25	 
Enterococcus faecalis TX0043 (749500.3)	443	79_2	565, 78	1452	 	 	 	 	804	1304	803	2348_17	 	1506	 	1140_25, 1141_27	 
Enterococcus faecalis TX0102 (749501.3)	1071	166_2	165	578	 	 	 	 	476	722	477	1163_17	 	525	 	1672_25, 1673_27	 
Enterococcus faecalis TX0104 (491074.3)	2397	559_2	1288, 560	174	 	 	 	 	512	 	513	2474_17	 	128	 	2876_28, 2877_27	 
Enterococcus faecalis TX0109 (749502.3)	1976	1759_2	1758, 2698	2294	 	 	 	 	1802	2437	1801	2056_17	 	2240	 	454_27, 455_28	 
Enterococcus faecalis TX0309A (749503.3)	773	2760_2	2761	2389	 	 	 	 	289	 	288	682_17	 	2438	 	838_25	 
Enterococcus faecalis TX0309B (749504.3)	1521	897_2	896	536	 	 	 	 	2575	 	2576	1429_17	 	585	 	2728_25	 
Enterococcus faecalis TX0312 (749505.3)	1243	1724_2	1723, 373	2075	 	 	 	 	1767	2220	1766	1333_17	 	2021	 	1476_27, 1477_25	 
Enterococcus faecalis TX0411 (749506.3)	2610	1366_2	1367, 32	2148	 	 	 	 	1318	2008	1319	866_17	 	1680	 	1856_25, 1857_27	 
Enterococcus faecalis TX0470 (749507.3)	1268	428_2	429	1460	 	 	 	 	385	2515	386	951_17	 	1407	 	1768_25	 
Enterococcus faecalis TX0630 (749508.3)	3219	1270_2	1271	2050	 	 	 	 	2202	 	2203	3127_17	 	2104	 	448_28, 449_27	 
Enterococcus faecalis TX0635 = WH245 (749509.5)	364	1098_2	1099	1461	 	 	 	 	1021	 	1022	455_17	 	1408	 	265_28, 266_27	 
Enterococcus faecalis TX0645 (749510.3)	2235	804_2	805	2896	 	 	 	 	2398	 	2397	2329_17	 	2950	 	2619_28, 2620_27	 
Enterococcus faecalis TX0855 (749511.3)	867	2136_2	1233, 2135	1848	 	 	 	 	2379	1706	2380	959_17	 	1902	 	2726_25, 2727_27	 
Enterococcus faecalis TX0860 (749512.3)	1759	1244_2	1245	385	 	 	 	 	1084	236	1083	1819_17	 	781	 	910_25, 911_27	 
Enterococcus faecalis TX1322 (525278.3)	2418	878_2	877	543	 	 	 	 	925	401	924	2326_17	 	594	 	2480_27, 2481_25	 
Enterococcus faecalis TX1337RF (1134802.3)	14	13_2	10, 538	11	 	 	 	 	12	16	15	9_17	 	8	 	418_27, 419_28	 
Enterococcus faecalis TX1341 (749514.3)	1470	2679_2	2678	454	 	 	 	 	958	315	959	1560_17	 	2436	 	1194_25	 
Enterococcus faecalis TX1346 (749516.3)	2062	2151_2	2150	2585	 	 	 	 	334	2438	335	1074_17	 	2638	 	2199_27, 2200_25	 
Enterococcus faecalis TX2134 (749518.3)	778	117_2	116	536	 	 	 	 	177	1346	176	1087_17	 	589	 	1907_25, 1908_27	 
Enterococcus faecalis TX2137 (749491.3)	1890	370_2	2232, 371	709	 	 	 	 	125	212	126	1797_17	 	762	 	1279_27, 1280_25	 
Enterococcus faecalis TX2141 (749492.3)	2060	437_2	226, 438	1637	 	 	 	 	1513	1129	1514	2135_17	 	1690	 	795_25, 796_27	 
Enterococcus faecalis TX4000 (749493.3)	2522	1806_2	1805	1669	 	 	 	 	292	1530	291	2428_17	 	1384	 	2087_27, 2088_25	 
Enterococcus faecalis TX4244 (749494.3)	2203	1112_2	1113	1418	 	 	 	 	618	1557	619	2111_17	 	1371	 	1826_27, 1827_25	 
Enterococcus faecalis TX4248 (749495.4)	1990	793_2	466, 792	2890	 	 	 	 	836	 	835	667_17	 	2943	 	599_25, 600_27	 
Enterococcus faecalis UAA1014 (1158546.3)	397	1202_2	1203, 536	1502	 	 	 	 	1151	 	1152	489_17	 	1449	 	333_25, 334_27	 
Enterococcus faecalis UAA1180 (1158552.3)	169	976_2	308, 977	1277	 	 	 	 	925	 	926	261_17	 	1224	 	2874_25, 2875_27	 
Enterococcus faecalis UAA1489 (1158976.3)	395	1162_2	1163	1530	 	 	 	 	1113	 	1114	486_17	 	1480, 1481	 	247_25	 
Enterococcus faecalis UAA409 (1158637.3)	2493	931_2	932	1301	 	 	 	 	883	1442	884	2401_17	 	1248	 	2559_27, 2560_25	 
Enterococcus faecalis UAA702 (1158640.3)	296	1078_2	1079	1385	 	 	 	 	1030	 	1031	378_17	 	1335	 	233_27	 
Enterococcus faecalis UAA769 (1157369.3)	332	1380_2	1381, 845	1689	 	 	 	 	1336	1829	1337	412_17	 	1636	 	268_28, 269_27	 
Enterococcus faecalis UAA823 (1157370.3)	311	1201_2	1202	1564	 	 	 	 	1152	 	1153	402_17	 	1514, 1515	 	247_25	 
Enterococcus faecalis UAA902 (1157371.3)	321	1159_2	1160	1455	 	 	 	 	1110	1594	1111	403_17	 	1402	 	255_25, 256_27	 
Enterococcus faecalis UAA903 (1157372.3)	322	1158_2	1159	1455	 	 	 	 	1108	1594	1109	403_17	 	1402	 	255_25, 256_27	 
Enterococcus faecalis UAA904 (1157373.3)	320	1152_2	1153	1448	 	 	 	 	1103	1587	1104	401_17	 	1395	 	254_25, 255_27	 
Enterococcus faecalis UAA905 (1157374.3)	320	1150_2	1151	1447	 	 	 	 	1101	1586	1102	401_17	 	1394	 	254_25, 255_27	 
Enterococcus faecalis UAA906 (1157375.3)	320	1120_2	1121	1415	 	 	 	 	1072	1554	1073	401_17	 	1362	 	254_25, 255_27	 
