Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Enterococcus faecium 9730357-1 (1157430.3)	2263	2259	2261_3	2264_5, 2265_6, 2266_7	2262_8	2270_9, 2271_22	2267_10	2269_11	2260_12	2260_12	188	162_17	202_19	2250	2273	2274
Enterococcus faecium 9731349-1 (1157431.3)	1408	1404	1406_3	1409_5, 1410_6, 1411_7	1407_8	1415_9, 1416_22	1412_10	1414_11	1405_12	1405_12	30	4_17	52_19	1394	1417	1418
Enterococcus faecium 9731352-4 (1157432.3)	1354	1350	1352_3	1355_5, 1356_6, 1357_7	1353_8	1361_9, 1362_22	1358_10	1360_11	1351_12	1351_12	30	4_17	43_19	1341	1364	1365
Enterococcus faecium 9830091-5 (1157433.3)	1262	1258	1260_3	1263_5, 1264_6, 1265_7	1261_8	1269_9, 1270_22	1266_10	1268_11	1259_12	1259_12	30	4_17	43_19	1249	1272	1273
Enterococcus faecium 9830512-2 (1157435.3)	2037	2033	2035_3	2038_5, 2039_6, 2040_7	2036_8	2044_9, 2045_22	2041_10	2043_11	2034_12	2034_12	30	4_17	43_19	2024	2047	2048
Enterococcus faecium 9830565-4 (1157437.3)	2217	2213	2215_3	2218_5, 2219_6, 2220_7	2216_8	2224_9, 2225_22	2221_10	2223_11	2214_12	2214_12	186	160_17	200_19	2204	2227	2228
Enterococcus faecium 9930238-2 (1157440.3)	2206	2202	2204_3	2207_5, 2208_6, 2209_7	2205_8	2213_9, 2214_22	2210_10	2212_11	2203_12	2203_12	30	4_17	44_19	2193	2215	2216
Enterococcus faecium 9931110-4 (1157441.3)	1538	1534	1536_3	1539_5, 1540_6, 1541_7	1537_8	1545_9, 1546_22	1542_10	1544_11	1535_12	1535_12	30	4_17	43_19	1525	1548	1549
Enterococcus faecium A17 Sv1 (1157442.3)	1715	1711	1713_3	1716_5, 1717_6, 1718_7	1714_8	1722_9, 1723_22	1719_10	1721_11	1712_12	1712_12	30	4_17	43_19	1702	1725	1726
Enterococcus faecium ATCC 8459 (1158600.4)	2165	2169	2167_3	2161_7, 2162_6, 2163_5, 2164_5	2166_8	2156_22, 2157_9	2160_10	2158_11	2168_12	2168_12	543	569_17	522_19	2178	2155	2154
Enterococcus faecium Aus0004 (1155766.14)	1147	1143	1145_3	1148_5, 1149_6, 1150_7	1146_8	1155_9, 1156_22	1151_10	1154_11	1144_12	1144_12	17	2971_17	73_19	1134	1157	1158
Enterococcus faecium C309 (1176489.3)	2069	2073	2071_3	2066_7, 2067_6, 2068_5	2070_8	2061_22, 2062_9	2065_10	2063_11	2072_12	2072_12	904	339_17, 340_17	2299_19	2082	2059	2058
Enterococcus faecium C68 (565664.3)	927	931	929_3	924_7, 925_6, 926_5	928_8	919_22, 920_9	923_10	921_11	930_12	930_12	54	28_17	21_19, 75_19	940	918	917
Enterococcus faecium CRL1879 (1295527.3)	2674	2670	2672_3	2675_5, 2676_6, 2677_7	2673_8	2681_9, 2682_22	2678_10	2680_11	2671_12	2671_12	1861, 1862	1891_17	461_19	2659	2683	2684
Enterococcus faecium Com12 (565662.4)	618	614	616_3	619_5, 620_6, 621_7	617_8	624_9, 625_22	622_10	623_11	615_12	615_12	1274	1190_17	1311_19	606	626	627
Enterococcus faecium Com15 (565663.4)	628	624	626_3	629_5, 630_6, 631_7	627_8	635_9, 636_22	632_10	634_11	625_12	625_12	1593	1567_17	1620_19	615	637	638
Enterococcus faecium D344SRF (565665.3)	871	876	874_3	868_7, 869_6, 870_5	872_8, 873_8	863_22, 864_9	867_10	865_11	875_12	875_12	1586	2459_17	460_19	885	862	861
Enterococcus faecium E0045 (1138880.3)	1042	1038	1040_3	1043_5, 1044_6, 1045_7	1041_8	1049_9, 1050_22	1046_10	1048_11	1039_12	1039_12	1534	1499_17	1556_19	1029	1051	1052
Enterococcus faecium E0120 (1138881.3)	193	197	195_3	190_7, 191_6, 192_5	194_8	185_22, 186_9	189_10	187_11	196_12	196_12	1399	1373_17	1427_19	280	184	183
Enterococcus faecium E0164 (1138882.3)	195	199	197_3	192_7, 193_6, 194_5	196_8	187_22, 188_9	191_10	189_11	198_12	198_12	1528	1554_17	1503_19	208	185	184
Enterococcus faecium E0269 (1138883.3)	912	916	914_3	909_7, 910_6, 911_5	913_8	904_22, 905_9	908_10	906_11	915_12	915_12	1206	1180_17	1229_19	925	903	902
Enterococcus faecium E0333 (1138884.3)	201	205	203_3	198_7, 199_6, 200_5	202_8	193_22, 194_9	197_10	195_11	204_12	204_12	1649	1622_17	1672_19	214	191	190
Enterococcus faecium E0679 (1138885.3)	592	588	590_3	593_5, 594_6, 595_7	591_8	599_9, 600_22	596_10	598_11	589_12	589_12	2111	2137_17	2097_19	579	602	603
Enterococcus faecium E0680 (1138886.3)	992	988	990_3	993_5, 994_6, 995_7	991_8	1000_22, 999_9	996_10	998_11	989_12	989_12	1184	1158_17	1199_19	978	1001	1002
Enterococcus faecium E0688 (1138887.3)	1061	1057	1059_3	1062_5, 1063_6, 1064_7	1060_8	1068_9, 1069_22	1065_10	1067_11	1058_12	1058_12	1519	1493_17	1533_19	1048	1071	1072
Enterococcus faecium E1007 (1138888.3)	727	731	729_3	724_7, 725_6, 726_5	728_8	719_22, 720_9	723_10	721_11	730_12	730_12	2263	2291_17	2241_19	741	718	717
Enterococcus faecium E1039 (645663.4)	235	239	237_3	232_7, 233_6, 234_5	236_8	227_22, 228_9	231_10	229_11	238_12	238_12	2302	868_17	1808_19	248	226	225
Enterococcus faecium E1050 (1138889.3)	1516	1512	1514_3	1517_5, 1518_6, 1519_7	1515_8	1523_9, 1524_22	1520_10	1522_11	1513_12	1513_12	31	4_17	52_19	1503	1525	1526
Enterococcus faecium E1071 (535205.4)	1947	1951	1949_3	1944_7, 1945_6, 1946_5	1948_8	1940_22, 1941_9	1943_10	1942_11	1950_12	1950_12	1753	1779_17	697_19, 698_19	1959	1939	1938
Enterococcus faecium E1133 (1138890.3)	743	739	741_3	744_5, 745_6, 746_7	742_8	750_9, 751_22	747_10	749_11	740_12	740_12	2548	2522_17	2571_19	730	753	754
Enterococcus faecium E1162 (535206.4)	2226	2222	2224_3	2227_5, 2228_6, 2229_7	2225_8	2233_9, 2234_22	2230_10	2232_11	2223_12	2223_12	1787	1761_17	1481_19	2213	2235	2236
Enterococcus faecium E1185 (1138891.3)	1131	1127	1129_3	1132_5, 1133_6, 1134_7	1130_8	1138_9, 1139_22	1135_10	1137_11	1128_12	1128_12	1783	1748_17	1802_19	1117	1140	1141
Enterococcus faecium E1258 (1138892.3)	1123	1119	1121_3	1124_5, 1125_6, 1126_7	1122_8	1130_9, 1131_22	1127_10	1129_11	1120_12	1120_12	1752	1778_17	1738_19	1109	1133	1134
Enterococcus faecium E1293 (1138893.3)	1576	1572	1574_3	1577_5, 1578_6, 1579_7	1575_8	1583_9, 1584_22	1580_10	1582_11	1573_12	1573_12	31	4_17	77_19	1563	1585	1586
Enterococcus faecium E1321 (1138930.3)	198	202	200_3	195_7, 196_6, 197_5	199_8	190_22, 191_9	194_10	192_11	201_12	201_12	1496	1522_17	1473_19	212	188	187
Enterococcus faecium E1392 (1138894.3)	183	187	185_3	180_7, 181_6, 182_5	184_8	174_22, 175_9	179_10	176_11	186_12	186_12	1557	1583_17	1513_19	196	173	172
Enterococcus faecium E1552 (1138895.3)	1066	1062	1064_3	1067_5, 1068_6, 1069_7	1065_8	1073_9, 1074_22	1070_10	1072_11	1063_12	1063_12	1639	1665_17	1626_19	1053	1076	1077
Enterococcus faecium E1573 (1138896.3)	1871	1875	1873_3	1868_7, 1869_6, 1870_5	1872_8	1863_22, 1864_9	1867_10	1865_11	1874_12	1874_12	1238	1212_17	1259_19	1884	1862	1861
Enterococcus faecium E1574 (1138897.3)	194	198	196_3	191_7, 192_6, 193_5	195_8	186_22, 187_9	190_10	188_11	197_12	197_12	1318	1292_17	1346_19	207	185	184
Enterococcus faecium E1575 (1138898.3)	430	434	432_3	427_7, 428_6, 429_5	431_8	422_22, 423_9	426_10	424_11	433_12	433_12	1506	1480_17	1527_19	443	421	420
Enterococcus faecium E1576 (1138899.3)	1410	1414	1412_3	1407_7, 1408_6, 1409_5	1411_8	1402_22, 1403_9	1406_10	1404_11	1413_12	1413_12	766	740_17	787_19	1424	1401	1400
Enterococcus faecium E1578 (1138900.3)	1522	1518	1520_3	1523_5, 1524_6, 1525_7	1521_8	1529_9, 1530_22	1526_10	1528_11	1519_12	1519_12	30	4_17	52_19	1509	1531	1532
Enterococcus faecium E1590 (1138901.3)	1180	1184	1182_3	1177_7, 1178_6, 1179_5	1181_8	1172_22, 1173_9	1176_10	1174_11	1183_12	1183_12	1572	1540_17	1635_19	1193	1170	1169
Enterococcus faecium E1604 (1138902.3)	832	836	834_3	829_7, 830_6, 831_5	833_8	824_22, 825_9	828_10	826_11	835_12	835_12	2452	2480_17	2428_19	847	823	822
Enterococcus faecium E1613 (1138903.3)	688	692	690_3	685_7, 686_6, 687_5	689_8	680_22, 681_9	684_10	682_11	691_12	691_12	1815	1787_17	1837_19	703	679	678
Enterococcus faecium E1620 (1138904.3)	1349	1353	1351_3	1346_7, 1347_6, 1348_5	1350_8	1341_22, 1342_9	1345_10	1343_11	1352_12	1352_12	2073	2099_17	2052_19	1362	1340	1339
Enterococcus faecium E1622 (1138905.3)	218	222	220_3	215_7, 216_6, 217_5	219_8	210_22, 211_9	214_10	212_11	221_12	221_12	1752	1778_17	1731_19	231	209	208
Enterococcus faecium E1623 (1138906.3)	1457	1453	1455_3	1458_5, 1459_6, 1460_7	1456_8	1464_9, 1465_22	1461_10	1463_11	1454_12	1454_12	859	833_17	880_19	1444	1466	1467
Enterococcus faecium E1626 (1138907.3)	763	759	761_3	764_5, 765_6, 766_7	762_8	770_9, 771_22	767_10	769_11	760_12	760_12	1967	1994_17	1945_19	750	772	773
Enterococcus faecium E1627 (1138908.3)	187	191	189_3	184_7, 185_6, 186_5	188_8	179_22, 180_9	183_10	181_11	190_12	190_12	1708	1734_17	1695_19	201	177	176
Enterococcus faecium E1630 (1138909.3)	1140	1136	1138_3	1141_5, 1142_6, 1143_6, 1144_7	1139_8	1148_9, 1149_22	1145_10	1147_11	1137_12	1137_12	1346	1318_17	1359_19	1127	1150	1151
Enterococcus faecium E1634 (1138910.3)	644	640	642_3	645_5, 646_6, 647_7	643_8	651_9, 652_22	648_10	650_11	641_12	641_12	1226	1252_17	1211_19	627	653	654
Enterococcus faecium E1636 (544875.4)	1842	1838	1840_3	1843_5, 1844_6, 1845_7	1841_8	1849_9, 1850_22	1846_10	1848_11	1839_12	1839_12	563	2684_17	1417_19	1829	1851	1852
Enterococcus faecium E1644 (1138931.3)	1132	1136	1134_3	1129_7, 1130_6, 1131_5	1133_8	1124_22, 1125_9	1128_10	1126_11	1135_12	1135_12	30	4_17	51_19	1145	1123	1122
Enterococcus faecium E1731 (1138913.3)	739	743	741_3	736_7, 737_6, 738_5	740_8	731_22, 732_9	735_10	733_11	742_12	742_12	1739	1766_17	1717_19, 2394_19	752	730	729
Enterococcus faecium E1861 (1138914.3)	187	191	189_3	184_7, 185_6, 186_5	188_8	179_22, 180_9	183_10	181_11	190_12	190_12	1752	1789_17	1721_19	204	178	177
Enterococcus faecium E1904 (1138915.3)	356	352	354_3	357_5, 358_6, 359_7	355_8	364_9, 365_22	360_10	363_11	353_12	353_12	2883	2909_17	2179_19	343	366	367
Enterococcus faecium E1972 (1138916.3)	1202	1198	1200_3	1203_5, 1204_6, 1205_7	1201_8	1209_9, 1210_22	1206_10	1208_11	1199_12	1199_12	2419	2446_17	2396_19	1188	1211	1212
Enterococcus faecium E2039 (1138917.3)	746	742	744_3	747_5, 748_6, 749_7	745_8	753_9, 754_22	750_10	752_11	743_12	743_12	987	959_17	1010_19	733	755	756
Enterococcus faecium E2071 (1138918.3)	1101	1105	1103_3	1098_7, 1099_6, 1100_5	1102_8	1093_22, 1094_9	1097_10	1095_11	1104_12	1104_12	1476	1450_17	1504_19	1114	1092	1091
Enterococcus faecium E2134 (1138919.3)	752	756	754_3	749_7, 750_6, 751_5	753_8	743_22, 744_9	748_10	745_11	755_12	755_12	2194	2220_17	2171_19	766	742	741
Enterococcus faecium E2297 (1138920.3)	850	846	848_3	851_5, 852_6, 853_7	849_8	857_9, 858_22	854_10	856_11	847_12	847_12	1681	1707_17	1659_19, 3028_19	837	860	861
Enterococcus faecium E2369 (1138932.3)	763	767	765_3	760_7, 761_6, 762_5	764_8	755_22, 756_9	759_10	757_11	766_12	766_12	2403	2429_17	2382_19	776	754	753
Enterococcus faecium E2560 (1138933.3)	977	973	975_3	978_5, 979_6, 980_7	976_8	984_9, 985_22	981_10	983_11	974_12	974_12	2404	2378_17	2425_19, 2659_19, 834_19	964	986	987
Enterococcus faecium E2620 (1138921.3)	708	712	710_3	705_7, 706_6, 707_5	709_8	700_22, 701_9	704_10	702_11	711_12	711_12	2311	2343_17	2273_19	720	697	696
Enterococcus faecium E2883 (1138922.3)	884	888	886_3	881_7, 882_6, 883_5	885_8	874_22, 875_9	880_10	876_11	887_12	887_12	2457	2483_17	2409_19	897	872	871
Enterococcus faecium E2966 (1138923.3)	1491	1487	1489_3	1492_5, 1493_6, 1494_7	1490_8	1498_9, 1499_22	1495_10	1497_11	1488_12	1488_12	31	4_17	53_19	1478	1501	1502
Enterococcus faecium E3083 (1138924.3)	205	209	207_3	202_7, 203_6, 204_5	206_8	197_22, 198_9	201_10	199_11	208_12	208_12	1793	1823_17	1754_19	218	196	195
Enterococcus faecium E3346 (1138925.3)	173	177	175_3	170_7, 171_6, 172_5	174_8	165_22, 166_9	169_10	167_11	176_12	176_12	1249	1221_17	1262_19	186	164	163
Enterococcus faecium E3548 (1138926.3)	193	197	195_3	190_7, 191_6, 192_5	194_8	185_22, 186_9	189_10	187_11	196_12	196_12	1790	1820_17	1751_19	206	183	182
Enterococcus faecium E4215 (1138929.3)	1190	1194	1192_3	1187_7, 1188_6, 1189_5	1191_8	1182_22, 1183_9	1186_10	1184_11	1193_12	1193_12	780	754_17	803_19	1203	1180	1179
Enterococcus faecium E4389 (1138934.3)	203	207	205_3	200_7, 201_6, 202_5	204_8	195_22, 196_9	199_10	197_11	206_12	206_12	1601	1627_17	1556_19	216	193	192
Enterococcus faecium E6012 (1138935.3)	1251	1247	1249_3	1252_5, 1253_6, 1254_7	1250_8	1258_9, 1259_22	1255_10	1257_11	1248_12	1248_12	1467	1441_17	1489_19, 2467_19	1238	1261	1262
Enterococcus faecium E6045 (1138936.3)	1302	1306	1304_3	1299_7, 1300_6, 1301_5	1303_8	1294_22, 1295_9	1298_10	1296_11	1305_12	1305_12	186	160_17	207_19	1315	1293	1292
Enterococcus faecium E8sv3 (1157443.3)	1543	1539	1541_3	1544_5, 1545_6, 1546_7	1542_8	1550_9, 1551_22	1547_10	1549_11	1540_12	1540_12	30	4_17	43_19	1530	1553	1554
Enterococcus faecium E980 (529885.3)	1660	1656	1658_3	1661_5, 1662_6, 1663_7	1659_8	1666_9, 1667_22	1664_10	1665_11	1657_12	1657_12	1953	2531_17	942_19	1647	1668	1669
Enterococcus faecium ERV1 (1134819.3)	1332	1328	1330_3	1333_5, 1334_6, 1335_7	1331_8	1339_9, 1340_22	1336_10	1338_11	1329_12	1329_12	1871	1854_17	475_19	1319	1342	1343
Enterococcus faecium EnGen0305 (1158641.3)	799	795	797_3	800_5, 801_6, 802_7	798_8	806_9, 807_22	803_10	805_11	796_12	796_12	363	389_17	345_19	786	808	809
Enterococcus faecium EnGen0308 (1158642.3)	811	815	813_3	808_7, 809_6, 810_5	812_8	803_22, 804_9	807_10	805_11	814_12	814_12	2308	2335_17	2294_19	824	801	800
Enterococcus faecium EnGen0312 (1158652.3)	1386	1382	1384_3	1387_5, 1388_6, 1389_7	1385_8	1393_9, 1394_22	1390_10	1392_11	1383_12	1383_12	30	4_17	51_19	1373	1395	1396
Enterococcus faecium EnGen0314 (1158646.3)	1763	1759	1761_3	1764_5, 1765_6, 1766_7	1762_8	1770_9, 1771_22	1767_10	1769_11	1760_12	1760_12	31	4_17	52_19	1750	1772	1773
Enterococcus faecium EnGen0316 (1158647.3)	2538	2534	2536_3	2539_5, 2540_6, 2541_7	2537_8	2545_9, 2546_22	2542_10	2544_11	2535_12	2535_12	30	4_17	51_19	2525	2547	2548
Enterococcus faecium EnGen0318 (1158648.3)	2205	2201	2203_3	2206_5, 2207_6, 2208_7	2204_8	2212_9, 2213_22	2209_10	2211_11	2202_12	2202_12	30	4_17	52_19	2192	2214	2215
Enterococcus faecium EnGen0319 (1158649.3)	2489	2485	2487_3	2490_5, 2491_6, 2492_7	2488_8	2496_9, 2497_22	2493_10	2495_11	2486_12	2486_12	31	4_17	53_19	2476	2498	2499
Enterococcus faecium EnGen0321 (1158650.3)	1723	1719	1721_3	1724_5, 1725_6, 1726_7	1722_8	1730_9, 1731_22	1727_10	1729_11	1720_12	1720_12	31	4_17	53_19	1710	1732	1733
Enterococcus faecium EnGen0323 (1158651.3)	1460	1456	1458_3	1461_5, 1462_6, 1463_7	1459_8	1467_9, 1468_22	1464_10	1466_11	1457_12	1457_12	30	4_17	52_19	1447	1469	1470
Enterococcus faecium EnGen0375 (1138937.4)	1693	1689	1691_3	1694_5, 1695_6, 1696_7	1692_8	1700_9, 1701_22	1697_10	1699_11	1690_12	1690_12	744	771_17	723_19	1680	1702	1703
Enterococcus faecium EnGen0376 (1138938.4)	1338	1334	1336_3	1339_5, 1340_6, 1341_7	1337_8	1345_9, 1346_22	1342_10	1344_11	1335_12	1335_12	30	4_17	51_19	1325	1347	1348
Enterococcus faecium EnGen0377 (1138939.4)	1519	1523	1521_3	1516_7, 1517_6, 1518_5	1520_8	1511_22, 1512_9	1515_10	1513_11	1522_12	1522_12	879	905_17	858_19	1532	1510	1509
Enterococcus faecium F9730129-1 (1157479.3)	1543	1539	1541_3	1544_5, 1545_6, 1546_7	1542_8	1550_9, 1551_22	1547_10	1549_11	1540_12	1540_12	31	5_17	53_19	1530	1552	1553
Enterococcus faecium H17243 (1157444.3)	1368	1372	1370_3	1365_7, 1366_6, 1367_5	1369_8	1360_22, 1361_9	1364_10	1362_11	1371_12	1371_12	30	4_17	51_19	1381	1359	1358
Enterococcus faecium H17575 (1157446.3)	1491	1487	1489_3	1492_5, 1493_6, 1494_7	1490_8	1498_9, 1499_22	1495_10	1497_11	1488_12	1488_12	30	4_17	43_19	1478	1501	1502
Enterococcus faecium HF50104 (1157480.3)	1989	1985	1987_3	1990_5, 1991_6, 1992_7	1988_8	1996_9, 1997_22	1993_10	1995_11	1986_12	1986_12	30	4_17	43_19	1976	1999	2000
Enterococcus faecium HF50105 (1157481.3)	1339	1335	1337_3	1340_5, 1341_6, 1342_7	1338_8	1346_9, 1347_22	1343_10	1345_11	1336_12	1336_12	30	4_17	44_19	1326	1349	1350
Enterococcus faecium HF50106 (1157482.3)	1667	1663	1665_3	1668_5, 1669_6, 1670_7	1666_8	1674_9, 1675_22	1671_10	1673_11	1664_12	1664_12	30	4_17	44_19	1654	1677	1678
Enterococcus faecium HF50203 (1157483.3)	1368	1372	1370_3	1365_7, 1366_6, 1367_5	1369_8	1360_22, 1361_9	1364_10	1362_11	1371_12	1371_12	30	4_17	43_19	1381	1359	1358
Enterococcus faecium HF50204 (1157484.3)	1903	1899	1901_3	1904_5, 1905_6, 1906_7	1902_8	1910_9, 1911_22	1907_10	1909_11	1900_12	1900_12	290	264_17	303_19	1890	1913	1914
Enterococcus faecium HF50215 (1157485.3)	2456	2452	2454_3	2457_5, 2458_6, 2459_7	2455_8	2463_9, 2464_22	2460_10	2462_11	2453_12	2453_12	30	4_17	44_19	2372	2466	2467
Enterococcus faecium HM1071 (1157447.3)	1281	1277	1279_3	1282_5, 1283_6, 1284_7	1280_8	1288_9, 1289_22	1285_10	1287_11	1278_12	1278_12	68	42_17	90_19	1268	1290	1291
Enterococcus faecium HM1072 (1157487.3)	1864	1868	1866_3	1861_7, 1862_6, 1863_5	1865_8	1856_22, 1857_9	1860_10	1858_11	1867_12	1867_12	31	4_17	50_19	1877	1854	1853
Enterococcus faecium HM1073 (1157486.3)	1654	1658	1656_3	1651_7, 1652_6, 1653_5	1655_8	1646_22, 1647_9	1650_10	1648_11	1657_12	1657_12	30	4_17	51_19	1738	1645	1644
Enterococcus faecium HM1074 (1157448.3)	1005	1001	1003_3	1006_5, 1007_6, 1008_7	1004_8	1012_9, 1013_22	1009_10	1011_11	1002_12	1002_12	30	4_17	68_19	992	1014	1015
Enterococcus faecium LCT-EF128 (1178528.3)	1480	1476	1478_3	1481_5, 1482_6, 1483_7	1479_8	1487_9, 1488_22	1484_10	1486_11	1477_12	1477_12	30	4_17	51_19	1467	1489	1490
Enterococcus faecium LCT-EF20 (1245477.3)	2375	2379	2377_3	2372_7, 2373_6, 2374_5	2376_8	2367_22, 2368_9	2371_10	2369_11	2378_12	2378_12	1751	1778_17	1729_19	2390	2366	2365
Enterococcus faecium LCT-EF258 (1245478.3)	1201	1205	1203_3	1198_7, 1199_6, 1200_5	1202_8	1193_22, 1194_9	1197_10	1195_11	1204_12	1204_12	985	1013_17	963_19	1216	1192	1191
Enterococcus faecium LCT-EF90 (1167697.3)	2498	2494	2496_3	2499_5, 2500_6, 2501_7	2497_8	2505_9, 2506_22	2502_10	2504_11	2495_12	2495_12	978	1005_17	956_19	2483	2507	2508
Enterococcus faecium NRRL B-2354 (1104325.3)	1529	1533	1531_3	1525_7, 1526_6, 1527_5, 1528_5	1530_8	1520_22, 1521_9	1524_10	1522_11	1532_12	1532_12	13	2570_17	34_19	1542	1519	1518
Enterococcus faecium PC4.1 (791161.5)	13	9	11_3	14_5, 15_6, 16_7	12_8	20_9, 21_22	17_10	19_11	10_12	10_12	2395	2362_17	2436_19	536	22	23
Enterococcus faecium S658-3 (1157451.3)	1546	1542	1544_3	1547_5, 1548_6, 1549_7	1545_8	1553_9, 1554_22	1550_10	1552_11	1543_12	1543_12	30	4_17	43_19	1533	1556	1557
Enterococcus faecium TC 6 (565666.3)	1030	1035	1033_3	1027_7, 1028_6, 1029_5	1031_8, 1032_8	1022_22, 1023_9	1026_10	1024_11	1034_12	1034_12	438	400_17	477_19, 92_19	1043	1021	1020
Enterococcus faecium TX0082 (749520.3)	424	428	426_3	421_7, 422_6, 423_5	425_8	416_22, 417_9	420_10	418_11	427_12	427_12	683	656_17	476_19	437	415	414
Enterococcus faecium TX0133A (749521.3)	2239	2235	2237_3	2240_5, 2241_6, 2242_7	2238_8	2246_9, 2247_22	2243_10	2245_11	2236_12	2236_12	2679	2562_17	252_19	2226	2248	2249
Enterococcus faecium TX0133B (749524.3)	1822	1826	1824_3	1819_7, 1820_6, 1821_5	1823_8	1814_22, 1815_9	1818_10	1816_11	1825_12	1825_12	1200	2264_17	181_19	1835	1813	1812
Enterococcus faecium TX0133C (749525.3)	288	284	286_3	289_5, 290_6, 291_7	287_8	295_9, 296_22	292_10	294_11	285_12	285_12	1920	1972_17	1878_19	275	297	298
Enterococcus faecium TX0133a04 (749523.3)	1311	1315	1313_3	1308_7, 1309_6, 1310_5	1312_8	1303_22, 1304_9	1307_10	1305_11	1314_12	1314_12	2558	2554_17	248_19	1324	1302	1301
Enterococcus faecium TX1330 (525279.3)	1167	1171	1169_3	1164_7, 1165_6, 1166_5	1168_8	1160_22, 1161_9	1163_10	1162_11	1170_12	1170_12	1484	1397_17	1521_19	8	1159	1158
Enterococcus faecium U0317 (547468.4)	671	2394	2392_3	668_7, 669_6, 670_5	2391_8	663_22, 664_9	667_10	665_11	2393_12	2393_12	2658	2632_17	2679_19, 799_19	2402	662	661
Enterococcus faecium UAA1007 (1158545.3)	1237	1233	1235_3	1238_5, 1239_6, 1240_7	1236_8	1244_9, 1245_22	1241_10	1243_11	1234_12	1234_12	58	32_17	80_19	1224	1246	1247
Enterococcus faecium UAA1019 (1158547.3)	1787	1791	1789_3	1784_7, 1785_6, 1786_5	1788_8	1779_22, 1780_9	1783_10	1781_11	1790_12	1790_12	31	4_17	80_19	1800	1777	1776
Enterococcus faecium UAA1022 (1158548.3)	1171	1167	1169_3	1172_5, 1173_6, 1174_7	1170_8	1178_9, 1179_22	1175_10	1177_11	1168_12	1168_12	30	4_17	44_19	1158	1181	1182
Enterococcus faecium UAA1023 (1158549.3)	2475	2471	2473_3	2476_5, 2477_6, 2478_7	2474_8	2482_9, 2483_22	2479_10	2481_11	2472_12	2472_12	30	4_17	74_19	2462	2484	2485
Enterococcus faecium UAA1024 (1158550.3)	993	989	991_3	994_5, 995_6, 996_7	992_8	1000_9, 1001_22	997_10	999_11	990_12	990_12	30	4_17	75_19	980	1002	1003
Enterococcus faecium UAA1025 (1158551.3)	1752	1748	1750_3	1753_5, 1754_6, 1755_7	1751_8	1759_9, 1760_22	1756_10	1758_11	1749_12	1749_12	31	4_17	82_19	1739	1762	1763
Enterococcus faecium UAA1280 (1158553.3)	1702	1698	1700_3	1703_5, 1704_6, 1705_7	1701_8	1709_9, 1710_22	1706_10	1708_11	1699_12	1699_12	34	4_17	61_19	1689	1711	1712
Enterococcus faecium UAA1433 (1158554.3)	2833	2837	2835_3	2626_5, 2627_6, 2628_7	2834_8	2632_9, 2633_22	2629_10	2631_11	2836_12	2836_12	31	4_17	80_19	2080	2634	2635
Enterococcus faecium UAA1484 (1158555.3)	1416	1420	1418_3	1413_7, 1414_6, 1415_5	1417_8	1408_22, 1409_9	1412_10	1410_11	1419_12	1419_12	30	4_17	53_19	1429	1406	1405
Enterococcus faecium UAA210 (1158635.3)	1197	1193	1195_3	1198_5, 1199_6, 1200_7	1196_8	1204_9, 1205_22	1201_10	1203_11	1194_12	1194_12	30	4_17	48_19	1184	1206	1207
Enterococcus faecium UAA407 (1158636.3)	2186	2182	2184_3	2187_5, 2188_6, 2189_7	2185_8	2193_9, 2194_22	2190_10	2192_11	2183_12	2183_12	30	4_17	48_19	2173	2195	2196
Enterococcus faecium UAA430 (1158638.3)	1547	1543	1545_3	1548_5, 1549_6, 1550_7	1546_8	1554_9, 1555_22	1551_10	1553_11	1544_12	1544_12	30	4_17	51_19	1534	1556	1557
Enterococcus faecium UAA431 (1158639.3)	818	814	816_3	819_5, 820_6, 821_7	817_8	825_9, 826_22	822_10	824_11	815_12	815_12	30	4_17	43_19	804	827	828
Enterococcus faecium UAA714 (1157453.3)	1230	1234	1232_3	1227_7, 1228_6, 1229_5	1231_8	1222_22, 1223_9	1226_10	1224_11	1233_12	1233_12	30	4_17	43_19	1244	1221	1220
Enterococcus faecium UAA715 (1157454.3)	1682	1678	1680_3	1683_5, 1684_6, 1685_7	1681_8	1689_9, 1690_22	1686_10	1688_11	1679_12	1679_12	30	4_17	43_19	1668	1691	1692
Enterococcus faecium UAA716 (1157455.3)	1601	1597	1599_3	1602_5, 1603_6, 1604_7	1600_8	1608_9, 1609_22	1605_10	1607_11	1598_12	1598_12	30	4_17	45_19	1587	1610	1611
Enterococcus faecium UAA718 (1157456.3)	976	972	974_3	977_5, 978_6, 979_7	975_8	983_9, 984_22	980_10	982_11	973_12	973_12	30	4_17	44_19	962	985	986
Enterococcus faecium UAA719 (1157457.3)	812	808	810_3	813_5, 814_6, 815_7	811_8	819_9, 820_22	816_10	818_11	809_12	809_12	30	4_17	43_19	798	821	822
Enterococcus faecium UAA720 (1157458.3)	1810	1814	1812_3	1807_7, 1808_6, 1809_5	1811_8	1802_22, 1803_9	1806_10	1804_11	1813_12	1813_12	182	156_17	204_19	1901	1800	1799
Enterococcus faecium UAA721 (1157459.3)	1057	1053	1055_3	1058_5, 1059_6, 1060_7	1056_8	1064_9, 1065_22	1061_10	1063_11	1054_12	1054_12	30	4_17	44_19	1044	1067	1068
