Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Listeria monocytogenes F6900 (393128.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes FSL J1-194 (393117.11)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes FSL N1-017 (393123.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes FSL N3-165 (393124.10)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes FSL R2-503 (393125.10)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes FSL R2-561 (393126.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes Finland 1988 (393127.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes HCC23 (552536.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes HPB2262 (401650.12)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes J0161 (393130.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes J2818 (393131.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes L312 (882094.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes L99 (563174.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes M7 (1030009.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes SLCC2376 (882097.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes SLCC2378 (879088.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes SLCC2479 (882020.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes SLCC2540 (879089.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes SLCC5850 (882096.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes SLCC7179 (879090.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes serotype 1/2a str. NCCP No. 15743 (1293288.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes serotype 1/2c str. SLCC2372 (932920.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes serotype 4b str. LL195 (1230340.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes str. 4b F2365 (265669.9)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Listeria monocytogenes str. Scott A (1027396.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Brevibacillus agri BAB-2500 (1246477.3)	 	 	 	 	 	 	 	 	1033	 	 	 	 	 	 	 
Brevibacillus borstelensis AK1 (1300222.3)	 	3787_9	 	 	3785_37	 	 	 	 	 	 	 	 	 	3969_87	 
Brevibacillus brevis FJAT-0809-GLX (1129895.3)	 	4024_9	 	 	4021_37	 	 	 	 	 	 	 	 	 	3409_87	 
Brevibacillus brevis NBRC 100599 (358681.3)	 	4673_15	 	 	4670_34	 	 	 	 	 	 	 	 	 	1138_88	 
Paenibacillus alvei DSM 29 (1206781.3)	 	 	 	 	 	 	 	 	1506	 	 	 	 	 	6148_87	 
Paenibacillus barengoltzii G22 (1235795.3)	1629_3, 1630_4, 1631_2, 1632_1	1624_9	 	 	3362_37, 3363_37	 	 	1768_43	3662	1069_49, 1070_52, 3904_52, 3905_49	 	 	 	3837	1054_87	 
Paenibacillus daejeonensis DSM 15491 (1122917.3)	 	1729_9	 	 	5279_37	 	 	 	 	1731_49, 1732_52	 	 	 	 	 	 
Paenibacillus lactis 154 (743719.3)	3193_3, 3194_4, 3195_2, 3196_1	1003_9, 3189_9	 	 	1000_37	 	 	 	 	1001_49, 1809_52, 1810_49, 6025_52, 6027_49	 	 	 	 	3198_87	 
Ureibacillus thermosphaericus str. Thermo-BF (1160707.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1045_87	 
Staphylococcus arlettae CVD059 (1212545.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	904_87, 905_87	 
Staphylococcus aureus 04-02981 (703339.3)	2382_3, 2383_4, 2384_2, 2385_1	2376_15	 	 	 	 	 	 	 	 	 	 	 	 	243_88	 
Staphylococcus aureus 08BA02176 (1229492.3)	2259_3, 2260_4, 2261_2, 2262_1	2253_15	 	 	 	 	 	 	 	2265_49	 	 	 	247	221_87	 
Staphylococcus aureus 16K (908247.3)	2056_3, 2057_4, 2058_2, 2059_1	2049_9	 	 	 	 	 	 	 	2061_52, 2062_49	 	 	 	1460	397_88	 
Staphylococcus aureus 3957 (1278071.4)	885_3, 886_4, 887_2, 888_1	879_9	 	 	 	 	 	 	 	891_49	 	 	 	2342	2317_87	 
Staphylococcus aureus 930918-3 (452948.4)	557_1, 558_2, 559_4, 560_3	567_9	 	 	 	 	 	 	 	554_49, 555_52	 	 	 	 	87_87	 
Staphylococcus aureus A10102 (553601.3)	1890_3, 1891_4, 1892_2, 1893_1	1884_9	 	 	 	 	 	 	 	 	 	 	 	 	105_88	 
Staphylococcus aureus A5937 (553565.3)	2005_1, 2006_2, 2007_4, 2008_3	2014_15	 	 	 	 	 	 	 	 	 	 	 	 	2559_88	 
Staphylococcus aureus A5948 (553567.3)	784_1, 785_2, 786_4, 787_3	794_9	 	 	 	 	 	 	 	781_49, 782_52	 	 	 	 	1161_87	 
Staphylococcus aureus A6224 (553568.3)	2726_3, 2727_4, 2728_2, 2729_1	2719_9	 	 	 	 	 	 	 	 	 	 	 	 	874_88	 
Staphylococcus aureus A6300 (553571.3)	1528_1, 1529_2, 1530_4, 1531_3	1537_15	 	 	 	 	 	 	 	 	 	 	 	 	2143_88	 
Staphylococcus aureus A8115 (553573.3)	786_3, 787_4, 788_2, 789_1	780_15	 	 	 	 	 	 	 	 	 	 	 	 	2036_88	 
Staphylococcus aureus A8117 (553574.3)	1183_3, 1184_4, 1185_2, 1186_1	1177_15	 	 	 	 	 	 	 	 	 	 	 	 	746_88	 
Staphylococcus aureus A8796 (553577.3)	223_3, 224_4, 225_2, 226_1	216_15	 	 	 	 	 	 	 	229_49	 	 	 	 	914_88	 
Staphylococcus aureus A8819 (553580.3)	224_3, 225_4, 226_2, 227_1	218_15	 	 	 	 	 	 	 	 	 	 	 	 	650_88	 
Staphylococcus aureus A9299 (553581.3)	2495_1, 2496_2, 2497_4, 2498_3	2504_15	 	 	 	 	 	 	 	 	 	 	 	 	2168_88	 
Staphylococcus aureus A9635 (553583.3)	2610_1, 2611_2, 2612_4, 2613_3	2619_15	 	 	 	 	 	 	 	2607_49, 2608_52	 	 	 	 	2244_87	 
Staphylococcus aureus A9719 (553588.3)	2585_1, 2586_2, 2587_4, 2588_3	2594_15	 	 	 	 	 	 	 	 	 	 	 	 	1553_88	 
Staphylococcus aureus A9754 (553590.4)	1000_3, 1001_4, 1002_2, 1003_1	993_9	 	 	 	 	 	 	 	1005_52, 1006_49	 	 	 	 	1237_87	 
Staphylococcus aureus A9765 (553594.3)	351_3, 352_4, 353_2, 354_1	344_9	 	 	 	 	 	 	 	356_52, 357_49	 	 	 	 	896_87	 
Staphylococcus aureus A9781 (553596.3)	1642_3, 1643_4, 1644_2, 1645_1	1636_15	 	 	 	 	 	 	 	 	 	 	 	 	817_88	 
Staphylococcus aureus B147830 (1157039.3)	2347_3, 2348_4, 2349_2, 2350_1	2341_15	 	 	 	 	 	 	 	2353_49	 	 	 	 	187_88	 
Staphylococcus aureus B40723 (1157037.3)	2323_3, 2324_4, 2325_2, 2326_1	2317_15	 	 	 	 	 	 	 	2329_49	 	 	 	 	180_88	 
Staphylococcus aureus B40950 (1157038.3)	2288_3, 2289_4, 2290_2, 2291_1	2282_15	 	 	 	 	 	 	 	2294_49	 	 	 	 	178_88	 
Staphylococcus aureus B53639 (1157036.3)	2318_3, 2319_4, 2320_2, 2321_1	2312_15	 	 	 	 	 	 	 	2324_49	 	 	 	 	180_88	 
Staphylococcus aureus CA-347 (1323661.3)	2388_3, 2389_4, 2390_2, 2391_1	2382_15	 	 	 	 	 	 	 	2393_52, 2394_49	 	 	 	 	242_87	 
Staphylococcus aureus CN79 (1242970.3)	2341_3, 2342_4, 2343_2, 2344_1	2334_9	 	 	 	 	 	 	 	2346_52, 2347_49	 	 	 	238	163_88	 
Staphylococcus aureus D30 (455227.3)	813_1, 814_2, 815_4, 816_3	823_9	 	 	 	 	 	 	 	810_49, 811_52	 	 	 	 	249_87	 
Staphylococcus aureus HI010 (1156995.3)	335_3, 336_4, 337_2, 338_1	327_9	 	 	 	 	 	 	 	340_52, 341_49	 	 	 	 	896_87	 
Staphylococcus aureus HI010B (1156997.3)	2395_3, 2396_4, 2397_2, 2398_1	2388_9	 	 	 	 	 	 	 	2400_52, 2401_49	 	 	 	 	250_87	 
Staphylococcus aureus HI013 (1157003.3)	234_3, 235_4, 236_2, 237_1	227_9	 	 	 	 	 	 	 	239_52, 240_49	 	 	 	 	798_87	 
Staphylococcus aureus HI022 (1156999.3)	2323_3, 2324_4, 2325_2, 2326_1	2316_9	 	 	 	 	 	 	 	2328_52, 2329_49	 	 	 	 	188_87	 
Staphylococcus aureus HI049 (1156994.3)	1873_3, 1874_4, 1875_2, 1876_1	1866_9	 	 	 	 	 	 	 	1878_52, 1879_49	 	 	 	 	2436_87	 
Staphylococcus aureus HI049B (1156996.3)	1875_3, 1876_4, 1877_2, 1878_1	1868_9	 	 	 	 	 	 	 	1880_52, 1881_49	 	 	 	 	2448_87	 
Staphylococcus aureus HI049C (1157000.3)	2370_3, 2371_4, 2372_2, 2373_1	2363_9	 	 	 	 	 	 	 	2375_52, 2376_49	 	 	 	 	222_87	 
Staphylococcus aureus HI111 (1157002.3)	2087_3, 2088_4, 2089_2, 2090_1	2080_9	 	 	 	 	 	 	 	2092_52, 2093_49	 	 	 	 	2614_87	 
Staphylococcus aureus HI168 (1157001.3)	232_3, 233_4, 234_2, 235_1	225_9	 	 	 	 	 	 	 	237_52, 238_49	 	 	 	 	794_87	 
Staphylococcus aureus HIF003_B2N-C (1156998.3)	1783_3, 1784_4, 1785_2, 1786_1	1776_9	 	 	 	 	 	 	 	1788_52, 1789_49	 	 	 	 	2288_87	 
Staphylococcus aureus KLT6 (1283278.3)	2147_3, 2148_4, 2149_2, 2150_1	2143_9	 	 	 	 	 	 	 	2152_52	 	 	 	 	190_87	 
Staphylococcus aureus KT/314250 (1231383.3)	2057_1, 2058_2, 2059_4, 2060_3	2067_9	 	 	 	 	 	 	 	2055_52	 	 	 	 	1361_87	 
Staphylococcus aureus KT/Y21 (1231382.3)	437_1, 438_2, 439_4, 440_3	446_9	 	 	 	 	 	 	 	434_49	 	 	 	928	953_87	 
Staphylococcus aureus LVP2 (1278072.4)	2078_1, 2079_2, 2080_4, 2081_3	2087_9	 	 	 	 	 	 	 	2075_49	 	 	 	2403	2378_87	 
Staphylococcus aureus LVP5 (1278075.4)	196_3, 197_4, 198_2, 199_1	190_9	 	 	 	 	 	 	 	201_52, 202_49	 	 	 	 	1998_87	 
Staphylococcus aureus M0001 (1157004.3)	332_3, 333_4, 334_2, 335_1	326_15	 	 	 	 	 	 	 	338_49	 	 	 	 	871_88	 
Staphylococcus aureus M0006 (1158507.3)	461_3, 462_4, 463_2, 464_1	455_15	 	 	 	 	 	 	 	 	 	 	 	 	1003_88	 
Staphylococcus aureus M0029 (1157005.3)	1884_3, 1885_4, 1886_2, 1887_1	1877_15	 	 	 	 	 	 	 	 	 	 	 	 	2427_88	 
Staphylococcus aureus M0035 (1157006.3)	1896_3, 1897_4, 1898_2, 1899_1	1890_15	 	 	 	 	 	 	 	 	 	 	 	 	2437_88	 
Staphylococcus aureus M0045 (1157007.3)	727_3, 728_4, 729_2, 730_1	721_15	 	 	 	 	 	 	 	 	 	 	 	 	1264_88	 
Staphylococcus aureus M0055 (1158508.3)	2299_3, 2300_4, 2301_2, 2302_1	2292_9	 	 	 	 	 	 	 	2304_52, 2305_49	 	 	 	 	149_87	 
Staphylococcus aureus M0060 (1157008.3)	252_3, 253_4, 254_2, 255_1	246_15	 	 	 	 	 	 	 	258_49	 	 	 	 	790_88	 
Staphylococcus aureus M0066 (1157009.3)	229_3, 230_4, 231_2, 232_1	223_15	 	 	 	 	 	 	 	 	 	 	 	 	767_88	 
Staphylococcus aureus M0075 (1303780.3)	1525_3, 1526_4, 1527_2, 1528_1	1518_15	 	 	 	 	 	 	 	 	 	 	 	 	2069_88	 
Staphylococcus aureus M0077 (1158509.3)	229_3, 230_4, 231_2, 232_1	223_15	 	 	 	 	 	 	 	235_49	 	 	 	 	767_88	 
Staphylococcus aureus M0102 (1157010.3)	2208_3, 2209_4, 2210_2, 2211_1	2201_15	 	 	 	 	 	 	 	 	 	 	 	 	106_88	 
Staphylococcus aureus M0103 (1157011.3)	230_3, 231_4, 232_2, 233_1	224_15	 	 	 	 	 	 	 	236_49	 	 	 	 	769_88	 
Staphylococcus aureus M0104 (1224919.3)	382_3, 383_4, 384_2, 385_1	376_15	 	 	 	 	 	 	 	 	 	 	 	 	921_88	 
Staphylococcus aureus M0108 (1158510.3)	2326_3, 2327_4, 2328_2, 2329_1	2320_15	 	 	 	 	 	 	 	 	 	 	 	 	175_88	 
Staphylococcus aureus M0144 (1158511.3)	461_3, 462_4, 463_2, 464_1	455_15	 	 	 	 	 	 	 	467_49	 	 	 	 	997_88	 
Staphylococcus aureus M0150 (1157012.3)	498_3, 499_4, 500_2, 501_1	491_15	 	 	 	 	 	 	 	504_49	 	 	 	 	1036_88	 
Staphylococcus aureus M0154 (1158512.3)	2332_3, 2333_4, 2334_2, 2335_1	2326_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M0171 (1224920.3)	258_3, 259_4, 260_2, 261_1	252_15	 	 	 	 	 	 	 	264_49	 	 	 	 	793_88	 
Staphylococcus aureus M0173 (1157013.3)	557_3, 558_4, 559_2, 560_1	551_15	 	 	 	 	 	 	 	 	 	 	 	 	1095_88	 
Staphylococcus aureus M0177 (1158513.3)	1896_3, 1897_4, 1898_2, 1899_1	1889_15	 	 	 	 	 	 	 	 	 	 	 	 	2435_88	 
Staphylococcus aureus M0192 (1157014.3)	2258_3, 2259_4, 2260_2, 2261_1	2252_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M0197 (1157015.3)	401_3, 402_4, 403_2, 404_1	394_15	 	 	 	 	 	 	 	407_49	 	 	 	 	943_88	 
Staphylococcus aureus M0200 (1158514.3)	1958_3, 1959_4, 1960_2, 1961_1	1952_15	 	 	 	 	 	 	 	1964_49	 	 	 	 	2502_88	 
Staphylococcus aureus M0210 (1224921.3)	1301_3, 1302_4, 1303_2, 1304_1	1294_15	 	 	 	 	 	 	 	 	 	 	 	 	1839_88	 
Staphylococcus aureus M0212 (1158515.3)	2336_3, 2337_4, 2338_2, 2339_1	2330_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0213 (1224922.3)	528_3, 529_4, 530_2, 531_1	522_15	 	 	 	 	 	 	 	 	 	 	 	 	1074_88	 
Staphylococcus aureus M0216 (1158516.3)	1875_3, 1876_4, 1877_2, 1878_1	1869_15	 	 	 	 	 	 	 	 	 	 	 	 	2416_88	 
Staphylococcus aureus M0221 (1157016.3)	489_3, 490_4, 491_2, 492_1	482_9	 	 	 	 	 	 	 	494_52, 495_49	 	 	 	 	1030_87	 
Staphylococcus aureus M0235 (1158517.3)	228_3, 229_4, 230_2, 231_1	222_15	 	 	 	 	 	 	 	 	 	 	 	 	774_88	 
Staphylococcus aureus M0237 (1157017.3)	2382_3, 2383_4, 2384_2, 2385_1	2376_15	 	 	 	 	 	 	 	 	 	 	 	 	191_87	 
Staphylococcus aureus M0239 (1157018.3)	1755_3, 1756_4, 1757_2, 1758_1	1748_9	 	 	 	 	 	 	 	1760_52, 1761_49	 	 	 	 	2257_87	 
Staphylococcus aureus M0240 (1224923.3)	2270_3, 2271_4, 2272_2, 2273_1	2264_9	 	 	 	 	 	 	 	 	 	 	 	 	135_88	 
Staphylococcus aureus M0250 (1158518.3)	629_3, 630_4, 631_2, 632_1	623_15	 	 	 	 	 	 	 	 	 	 	 	 	1175_88	 
Staphylococcus aureus M0252 (1157019.3)	640_3, 641_4, 642_2, 643_1	634_9	 	 	 	 	 	 	 	 	 	 	 	 	1186_88	 
Staphylococcus aureus M0270 (1224924.3)	228_3, 229_4, 230_2, 231_1	222_15	 	 	 	 	 	 	 	234_49	 	 	 	 	764_88	 
Staphylococcus aureus M0273 (1224925.3)	509_3, 510_4, 511_2, 512_1	503_15	 	 	 	 	 	 	 	 	 	 	 	 	1053_88	 
Staphylococcus aureus M0279 (1224926.3)	1898_3, 1899_4, 1900_2, 1901_1	1892_15	 	 	 	 	 	 	 	 	 	 	 	 	2437_88	 
Staphylococcus aureus M0280 (1158520.3)	1629_3, 1630_4, 1631_2, 1632_1	1623_15	 	 	 	 	 	 	 	1635_49	 	 	 	 	2170_88	 
Staphylococcus aureus M0288 (1224927.3)	1925_3, 1926_4, 1927_2, 1928_1	1919_15	 	 	 	 	 	 	 	1931_49	 	 	 	 	2462_88	 
Staphylococcus aureus M0294 (1303781.3)	475_3, 476_4, 477_2, 478_1	469_15	 	 	 	 	 	 	 	481_49	 	 	 	 	1021_88	 
Staphylococcus aureus M0306 (1158521.3)	2347_3, 2348_4, 2349_2, 2350_1	2341_15	 	 	 	 	 	 	 	 	 	 	 	 	180_88	 
Staphylococcus aureus M0312 (1224928.3)	1984_3, 1985_4, 1986_2, 1987_1	1976_9	 	 	 	 	 	 	 	1989_52, 1990_49	 	 	 	 	2514_87	 
Staphylococcus aureus M0326 (1157020.3)	1909_3, 1910_4, 1911_2, 1912_1	1903_15	 	 	 	 	 	 	 	1915_49	 	 	 	 	2446_88	 
Staphylococcus aureus M0328 (1157021.3)	1921_3, 1922_4, 1923_2, 1924_1	1914_15	 	 	 	 	 	 	 	 	 	 	 	 	2463_88	 
Staphylococcus aureus M0329 (1157022.3)	2351_3, 2352_4, 2353_2, 2354_1	2344_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0330 (1157023.3)	339_3, 340_4, 341_2, 342_1	333_15	 	 	 	 	 	 	 	345_49	 	 	 	 	879_88	 
Staphylococcus aureus M0334 (1158522.3)	459_3, 460_4, 461_2, 462_1	453_15	 	 	 	 	 	 	 	465_49	 	 	 	 	996_88	 
Staphylococcus aureus M0340 (1157024.3)	358_3, 359_4, 360_2, 361_1	351_9	 	 	 	 	 	 	 	363_52, 364_49	 	 	 	 	892_87	 
Staphylococcus aureus M0347 (1157025.3)	2325_3, 2326_4, 2327_2, 2328_1	2319_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0350 (1158523.3)	251_3, 252_4, 253_2, 254_1	245_15	 	 	 	 	 	 	 	257_49	 	 	 	 	793_88	 
Staphylococcus aureus M0351 (1158524.3)	2343_3, 2344_4, 2345_2, 2346_1	2337_15	 	 	 	 	 	 	 	 	 	 	 	 	220_88	 
Staphylococcus aureus M0363 (1158525.3)	2274_3, 2275_4, 2276_2, 2277_1	2268_15	 	 	 	 	 	 	 	 	 	 	 	 	119_88	 
Staphylococcus aureus M0364 (1157026.3)	2320_3, 2321_4, 2322_2, 2323_1	2314_15	 	 	 	 	 	 	 	 	 	 	 	 	190_88	 
Staphylococcus aureus M0367 (1158526.3)	529_3, 530_4, 531_2, 532_1	523_15	 	 	 	 	 	 	 	 	 	 	 	 	1071_88	 
Staphylococcus aureus M0374 (1158527.3)	1528_3, 1529_4, 1530_2, 1531_1	1521_15	 	 	 	 	 	 	 	 	 	 	 	 	2075_88	 
Staphylococcus aureus M0375 (1158528.3)	229_3, 230_4, 231_2, 232_1	223_15	 	 	 	 	 	 	 	235_49	 	 	 	 	766_88	 
Staphylococcus aureus M0391 (1157027.3)	231_3, 232_4, 233_2, 234_1	225_15	 	 	 	 	 	 	 	 	 	 	 	 	775_88	 
Staphylococcus aureus M0396 (1158529.3)	2432_3, 2433_4, 2434_2, 2435_1	2425_9	 	 	 	 	 	 	 	2437_52	 	 	 	 	390_87	 
Staphylococcus aureus M0404 (1224929.3)	2111_3, 2112_4, 2113_2, 2114_1	2105_15	 	 	 	 	 	 	 	 	 	 	 	 	2647_88	 
Staphylococcus aureus M0408 (1157028.3)	332_3, 333_4, 334_2, 335_1	326_15	 	 	 	 	 	 	 	 	 	 	 	518	544_88	 
Staphylococcus aureus M0415 (1224930.3)	328_3, 329_4, 330_2, 331_1	322_15	 	 	 	 	 	 	 	 	 	 	 	 	869_88	 
Staphylococcus aureus M0424 (1158530.3)	231_3, 232_4, 233_2, 234_1	224_9	 	 	 	 	 	 	 	236_52, 237_49	 	 	 	 	768_87	 
Staphylococcus aureus M0427 (1157029.3)	2256_3, 2257_4, 2258_2, 2259_1	2250_15	 	 	 	 	 	 	 	 	 	 	 	 	178_88	 
Staphylococcus aureus M0438 (1158531.3)	2257_3, 2258_4, 2259_2, 2260_1	2249_15	 	 	 	 	 	 	 	 	 	 	 	 	183_88	 
Staphylococcus aureus M0450 (1157030.3)	2307_3, 2308_4, 2309_2, 2310_1	2300_15	 	 	 	 	 	 	 	 	 	 	 	 	180_88	 
Staphylococcus aureus M0455 (1224931.3)	1798_3, 1799_4, 1800_2, 1801_1	1792_15	 	 	 	 	 	 	 	 	 	 	 	 	2286_88	 
Staphylococcus aureus M0460 (1224932.3)	1872_3, 1873_4, 1874_2, 1875_1	1866_15	 	 	 	 	 	 	 	 	 	 	 	 	2416_88	 
Staphylococcus aureus M0467 (1157031.3)	1506_3, 1507_4, 1508_2, 1509_1	1500_15	 	 	 	 	 	 	 	 	 	 	 	 	2045_88	 
Staphylococcus aureus M0468 (1157032.3)	1949_3, 1950_4, 1951_2, 1952_1	1941_9	 	 	 	 	 	 	 	1954_52, 1955_49	 	 	 	 	2489_87	 
Staphylococcus aureus M0478 (1157033.3)	2241_3, 2242_4, 2243_2, 2244_1	2234_15	 	 	 	 	 	 	 	 	 	 	 	 	130_88	 
Staphylococcus aureus M0489 (1157034.3)	2465_3, 2466_4, 2467_2, 2468_1	2458_15	 	 	 	 	 	 	 	 	 	 	 	 	236_88	 
Staphylococcus aureus M0493 (1224933.3)	522_3, 523_4, 524_2, 525_1	516_15	 	 	 	 	 	 	 	 	 	 	 	 	1062_88	 
Staphylococcus aureus M0494 (1157035.3)	1815_3, 1816_4, 1817_2, 1818_1	1809_15	 	 	 	 	 	 	 	 	 	 	 	 	2324_88	 
Staphylococcus aureus M0510 (1158533.3)	1945_3, 1946_4, 1947_2, 1948_1	1939_15	 	 	 	 	 	 	 	 	 	 	 	 	2486_88	 
Staphylococcus aureus M0513 (1158534.3)	1998_1, 1999_2, 2000_4, 2001_3	2008_15	 	 	 	 	 	 	 	 	 	 	 	1439	1465_88	 
Staphylococcus aureus M0528 (1158682.3)	2399_3, 2400_4, 2401_2, 2402_1	2392_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M0529 (1158462.3)	400_3, 401_4, 402_2, 403_1	393_15	 	 	 	 	 	 	 	406_49	 	 	 	 	941_87	 
Staphylococcus aureus M0531 (1158683.3)	1857_3, 1858_4, 1859_2, 1860_1	1850_9	 	 	 	 	 	 	 	1862_52, 1863_49	 	 	 	 	2393_87	 
Staphylococcus aureus M0536 (1158684.3)	2314_3, 2315_4, 2316_2, 2317_1	2308_15	 	 	 	 	 	 	 	 	 	 	 	 	191_88	 
Staphylococcus aureus M0539 (1158685.3)	469_3, 470_4, 471_2, 472_1	463_15	 	 	 	 	 	 	 	475_49	 	 	 	 	1005_88	 
Staphylococcus aureus M0547 (1158686.3)	455_3, 456_4, 457_2, 458_1	448_15	 	 	 	 	 	 	 	461_49	 	 	 	 	998_88	 
Staphylococcus aureus M0562 (1158535.3)	2301_3, 2302_4, 2303_2, 2304_1	2294_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M0565 (1158687.3)	2309_3, 2310_4, 2311_2, 2312_1	2303_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M0571 (1158536.3)	714_3, 715_4, 716_2, 717_1	708_15	 	 	 	 	 	 	 	 	 	 	 	 	1255_88	 
Staphylococcus aureus M0580 (1158688.3)	1512_3, 1513_4, 1514_2, 1515_1	1505_15	 	 	 	 	 	 	 	 	 	 	 	 	2057_88	 
Staphylococcus aureus M0584 (1158537.3)	2329_3, 2330_4, 2331_2, 2332_1	2323_9	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0586 (1158538.3)	363_3, 364_4, 365_2, 366_1	357_15	 	 	 	 	 	 	 	 	 	 	 	 	905_88	 
Staphylococcus aureus M0602 (1158689.3)	1949_3, 1950_4, 1951_2, 1952_1	1942_15	 	 	 	 	 	 	 	 	 	 	 	 	2490_88	 
Staphylococcus aureus M0622 (1158690.3)	2323_3, 2324_4, 2325_2, 2326_1	2317_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0628 (1158461.3)	1857_3, 1858_4, 1859_2, 1860_1	1851_15	 	 	 	 	 	 	 	 	 	 	 	 	2406_88	 
Staphylococcus aureus M0633 (1158539.3)	2405_3, 2406_4, 2407_2, 2408_1	2398_9	 	 	 	 	 	 	 	2410_52, 2411_49	 	 	 	 	180_87	 
Staphylococcus aureus M0646 (1214901.3)	711_3, 712_4, 713_2, 714_1	704_15	 	 	 	 	 	 	 	 	 	 	 	 	1249_88	 
Staphylococcus aureus M0648 (1213721.3)	328_3, 329_4, 330_2, 331_1	322_15	 	 	 	 	 	 	 	334_49	 	 	 	 	871_88	 
Staphylococcus aureus M0660 (1213722.3)	230_3, 231_4, 232_2, 233_1	224_15	 	 	 	 	 	 	 	236_49	 	 	 	 	770_88	 
Staphylococcus aureus M0663 (1213723.3)	2290_3, 2291_4, 2292_2, 2293_1	2284_15	 	 	 	 	 	 	 	2296_49	 	 	 	 	175_88	 
Staphylococcus aureus M0673 (1213724.3)	2331_3, 2332_4, 2333_2, 2334_1	2325_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M0676 (1158691.3)	2287_3, 2288_4, 2289_2, 2290_1	2281_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M0687 (1158692.3)	2147_3, 2148_4, 2149_2, 2150_1	2140_15	 	 	 	 	 	 	 	 	 	 	 	 	2687_88	 
Staphylococcus aureus M0692 (1158693.3)	230_3, 231_4, 232_2, 233_1	224_15	 	 	 	 	 	 	 	 	 	 	 	 	768_88	 
Staphylococcus aureus M0695 (1213725.3)	2311_3, 2312_4, 2313_2, 2314_1	2304_15	 	 	 	 	 	 	 	 	 	 	 	 	186_87	 
Staphylococcus aureus M0719 (1158694.3)	329_3, 330_4, 331_2, 332_1	323_15	 	 	 	 	 	 	 	335_49	 	 	 	 	864_88	 
Staphylococcus aureus M0769 (1158695.3)	2304_3, 2305_4, 2306_2, 2307_1	2297_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M0770 (1158696.3)	706_3, 707_4, 708_2, 709_1	700_15	 	 	 	 	 	 	 	 	 	 	 	 	1248_88	 
