Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Bacillus cereus HuA2-3 (1053202.3)	2385_1	 	630_7	631	629_16	5383_11_19	1127_12, 1434_12, 3081_12, 629_16	5383_11_19	626_22, 627_21	628	696_27, 697_27, 698_26
Bacillus cereus HuA2-4 (1053203.3)	1389_1	 	5400_7	5401	5399_16	4320_11_19	2122_12, 512_12, 5399_16	4320_11_19	5396_22, 5397_21	5398	62_27, 63_27, 64_26
Bacillus cereus HuA2-9 (1053204.3)	3511_1	 	5356_7	5357	5355_16	2119_11_19	2856_12, 4357_12, 5355_16	2119_11_19	5352_22, 5353_21	5354	5897_27, 5898_27, 5899_26
Bacillus cereus HuA3-9 (1053205.3)	804_1	 	6191_7	6190	6192_16	2972_11_19	134_12, 5528_12, 6192_16	2972_11_19	6194_21, 6195_22	6193	6173_27, 6174_27, 6175_26
Bacillus cereus HuA4-10 (1053206.3)	4051_1	 	5_7	4	6_16	1041_11_19	3348_12, 5637_12, 6_16	1041_11_19	8_21, 9_22	7	5855_26, 5856_27, 5857_27
Bacillus cereus HuB1-1 (1053207.3)	4165_1	 	179_7	178	180_16	1262_11_19	180_16, 3534_12, 4997_12	1262_11_19	182_21, 183_22, 5648_22	181	110_26, 111_27, 112_27
Bacillus cereus HuB13-1 (1053208.3)	1843_1	 	63_7	64	62_16	5523_11_19	2626_12, 62_16, 728_12	5523_11_19	59_22, 60_21	61	129_27, 131_26
Bacillus cereus HuB2-9 (1053209.3)	3989_1	 	5_7	4	6_16	1052_11_19	3279_12, 4810_12, 5444_12, 6_16	1052_11_19	8_21, 9_22	7	5258_26, 5259_27, 5260_27
Bacillus cereus HuB4-10 (1053210.3)	5447_1, 766_1	 	4740_7	4741	4739_16	3696_11_19	1476_12, 4739_16, 4813_12, 5363_12	3696_11_19	4736_22, 4737_21	4738	5257_26, 5258_27, 5259_27
Bacillus cereus HuB4-4 (1053211.3)	1577_1	 	6243_7	6244	6242_16	4957_11_19	2579_12, 595_12, 6242_16	4957_11_19	6239_22, 6240_21	6241	61_27, 62_27, 63_26
Bacillus cereus HuB5-5 (1053212.3)	1352_1	 	5329_7	5330	5328_16	4277_11_19	2037_12, 505_12, 5328_16, 5343_12	4277_11_19	5325_22, 5326_21	5327	61_27, 62_27, 63_26
Bacillus cereus IS075 (718220.3)	2019_1	 	5912_7	5911	5913_16	3087_11_19	1005_12, 121_12, 5088_12, 5913_16	3087_11_19	5915_21, 5916_22	5914	5704_26, 5705_27, 5706_27
Bacillus cereus IS195 (1053213.3)	4632_1	 	5943_7	5944	5942_16	524_11_19	2123_12, 3012_12, 3889_12, 5942_16	524_11_19	5939_22, 5940_21	5941	1659_27, 1660_27, 1661_26
Bacillus cereus IS845/00 (1053214.3)	4850_1	 	1640_7	1641	1639_16	523_11_19	1639_16, 2171_12, 3244_12, 4127_12	523_11_19	1636_22, 1637_21	1638	1707_27, 1708_27, 1709_26
Bacillus cereus ISP2954 (1053215.3)	1781_1	 	63_7	64	62_16	5353_11_19	2455_12, 62_16, 725_12	5353_11_19	59_22, 60_21	61	130_27, 132_26
Bacillus cereus ISP3191 (1053216.3)	3339_1	 	4706_7	4705	4707_16	431_11_19	2656_12, 4707_16	431_11_19	4709_21, 4710_22	4708	4640_27, 4641_27
Bacillus cereus K-5975c (1053217.3)	4100_1	 	6_7	5	7_16	1085_11_19	3474_12, 4971_12, 7_16	1085_11_19	10_22, 9_21	8	6121_26, 6122_27, 6123_27
Bacillus cereus LCT-BC244 (1163722.3)	3219_1	 	4021_7	4020	4022	450_11_19	1721_12, 2568_12, 5114_12	450_11_19	4024_21, 4025_22	4023	5252_27, 5253_27, 5254_26
Bacillus cereus MC118 (1053218.3)	3003_1	 	3493_7	3494	3492_16	1779_11_19	3492_16, 3841_12, 926_12	1779_11_19	3489_22, 3490_21	3491	3128_26, 3129_27, 3130_27
Bacillus cereus MC67 (1053219.3)	845_1	 	2176_7	2175	2177_16	3234_11_19	1684_12, 215_12, 2177_16	3234_11_19	2179_21, 2180_22	2178	2108_26, 2109_27, 2110_27
Bacillus cereus MM3 (526971.3)	2055_1	 	1322_7	1321	1323_16	5164_11_19	1077_12, 1323_16, 2824_12	5164_11_19	1325_21, 1326_22	1324	2615_27, 2616_27, 2617_26
Bacillus cereus MSX-A1 (1053220.3)	3528_1	 	5015_7	5014	5016_16	425_11_19	2818_12, 4478_12, 5016_16	425_11_19	5018_21, 5019_22	5017	4948_26, 4949_27, 4950_27
Bacillus cereus MSX-A12 (1053221.3)	2727_1	 	5285_7	5286	5284_16	3972_11_19	1137_12, 2086_12, 3582_12, 5284_16	3972_11_19	5281_22, 5282_21	5283	5797_27, 5798_27, 5799_26
Bacillus cereus MSX-D12 (1053222.3)	3947_1	 	6_7	5	7_16	1103_11_19	2454_12, 3311_12, 4789_12, 7_16	1103_11_19	10_22, 9_21	8	5293_26, 5294_27, 5295_27
Bacillus cereus NC7401 (334406.4)	1453_1	 	68_7	69	67_16	4316_11_19	2115_12, 2982_12, 600_12, 67_16	4316_11_19	64_22, 65_21	66	133_27, 134_27, 135_26
Bacillus cereus Q1 (361100.6)	1519_1	 	70_7	71	69_16	4288_11_19	2134_12, 3006_12, 645_12, 69_16	4288_11_19	66_22, 67_21	68	136_27, 137_27, 138_26
Bacillus cereus R309803 (526968.3)	1600_1	 	649_7	650	648	4702_11_19	2268_12, 492_12	4702_11_19	645_22, 646_21	647	1459_26, 1460_27, 1461_27
Bacillus cereus Rock1-3 (526981.3)	1720_1	 	970_7	971	969_16	4893_11_19	2333_12, 784_12, 969_16	4893_11_19	966_22, 967_21	968	2014_26, 2015_27, 2016_27
Bacillus cereus Rock3-29 (526984.3)	1851_1, 5887_1	 	1411_7	1410	1412_16	4927_11_19	1412_16, 2488_12, 590_12, 960_12	4927_11_19	1414_21, 1415_22	1413	2601_26, 2602_27, 2603_27
Bacillus cereus Rock3-42 (526985.3)	3335_1	 	3009_7	3008	3010_16	933_11_19	2409_12, 3010_16, 4097_12	933_11_19	3012_21, 3013_22	3011	3611_27, 3612_26
Bacillus cereus Rock4-18 (526988.3)	2030_1	 	1754_7	1755	1753_16	4893_11_19	1753_16, 2450_12, 965_12	4893_11_19	1750_22, 1751_21	1752	2378_27, 2379_27, 2380_26
Bacillus cereus SJ1 (699184.4)	209_1	 	4545_7	4546	4544_16	1645_11_19	1821_12, 4544_16, 722_12	1645_11_19	4541_22, 4542_21	4543	5583_27, 5584_27
Bacillus cereus TIAC219 (718222.3)	2319_1	 	3845_7	3844	3846_16	4315_11_19	3131_12, 3846_16, 5693_12	4315_11_19	3848_21, 3849_22	3847	6409_27, 6410_27, 6411_26
Bacillus cereus VD014 (1053223.3)	1327_1	 	5321_7	5322	5320_16	4236_11_19	2017_12, 491_12, 5320_16	4236_11_19	5317_22, 5318_21	5319	61_27
Bacillus cereus VD021 (1053224.3)	1870_1	 	4276_7	4277	4275_16	5315_11_19	2827_12, 3403_12, 4275_16	5315_11_19	4272_22, 4273_21	4274	6069_27, 6070_27, 6071_26
Bacillus cereus VD022 (718223.3)	3612_1	 	6668_7	6669	6667_16	428_11_19	2798_12, 5650_12, 6667_16	428_11_19	6664_22, 6665_21	6666	6489_26, 6490_27, 6491_27
Bacillus cereus VD045 (1053225.3)	3471_1	 	4871_7	4872	4870_16	496_11_19	1853_12, 2784_12, 4870_16	496_11_19	4867_22, 4868_21	4869	 
Bacillus cereus VD048 (1053226.3)	3387_1	 	4232_7	4231	4233_16	421_11_19	2748_12, 4233_16, 5752_12	421_11_19	4235_21, 4236_22	4234	5985_27, 5986_27, 5987_26
Bacillus cereus VD078 (1053227.3)	3936_1	 	5_7	4	6_16	1057_11_19	3288_12, 4803_12, 6_16	1057_11_19	8_21, 9_22	7	5258_26, 5259_27, 5260_27
Bacillus cereus VD102 (1053228.3)	3346_1	 	4786_7	4785	4787_16	466_11_19	1749_12, 2635_12, 4203_12, 4787_16	466_11_19	4789_21, 4790_22	4788	4717_26, 4718_27, 4719_27
Bacillus cereus VD107 (1053229.3)	756_1	 	4504_7	4505	4503_16	3441_11_19	1391_12, 4503_16, 4813_12	3441_11_19	4500_22, 4501_21	4502, 5031	5394_26, 5395_27, 5396_27
Bacillus cereus VD115 (1053230.3)	3610_1	 	4123_7	4122	4124_16	478_11_19	2875_12, 4124_16, 6095_12	478_11_19	4126_21, 4127_22	4125	5657_26, 5658_27, 5659_27
Bacillus cereus VD118 (1053231.3)	1722_1	 	5884_7	5885	5883_16	4811_11_19	2376_12, 479_12, 569_12, 5883_16	4811_11_19	5880_22, 5881_21	5882	63_27, 64_27, 65_26
Bacillus cereus VD131 (1053232.3)	1709_1, 822_1	 	46_7	47	45_16	4734_11_19	2378_12, 45_16, 565_12	4734_11_19	42_22, 43_21	44	112_27, 113_27, 114_26
Bacillus cereus VD133 (1053233.3)	994_1	 	3801_7	3802	3800_16	2691_11_19	1697_12, 3800_16, 6244_12	2691_11_19	3797_22, 3798_21	3799	4441_27, 4443_26
Bacillus cereus VD136 (1053234.3)	2232_1	 	669_7	670	668_16	4956_11_19	1639_12, 2918_12, 668_16	4956_11_19	665_22, 666_21	667	734_27, 735_27, 736_26
Bacillus cereus VD140 (1053235.3)	1507_1	 	62_7	63	61_16	4772_11_19	2145_12, 3426_12, 576_12, 61_16	4772_11_19	58_22, 59_21	60	130_27, 131_27, 132_26
Bacillus cereus VD142 (718224.3)	1793_1, 5078_1	 	5943_7	5942	5944_16	3684_11_19	1145_12, 5358_12, 5944_16	3684_11_19	5946_21, 5947_22	5945	5926_27, 5927_27, 5928_26
Bacillus cereus VD146 (1053236.3)	2178_1	 	45_7	46	44_16	5072_11_19	2833_12, 44_16, 546_12	5072_11_19	41_22, 42_21	43	110_27, 111_27, 112_26
Bacillus cereus VD148 (1053237.3)	4087_1	 	5_7	4	6_16	1071_11_19	3390_12, 4911_12, 6_16	1071_11_19	8_21, 9_22	7	5632_26, 5633_27, 5634_27
Bacillus cereus VD154 (1053238.3)	2416_1	 	5797_7	5798	5796_16	4091_11_19	1145_12, 133_12, 5796_16	4091_11_19	5793_22, 5794_21	5795	 
Bacillus cereus VD156 (1053239.3)	4217_1	 	7_7	6	8_16	1104_11_19	3499_12, 5109_12, 8_16	1104_11_19	10_21, 11_22	9	4622_27
Bacillus cereus VD166 (1053240.3)	3346_1	 	4742_7	4743	4741_16	412_11_19	1803_12, 2732_12, 4741_16, 5834_12	412_11_19	4738_22, 4739_21	4740	 
Bacillus cereus VD169 (1053241.3)	1343_1, 5390_1	 	5269_7	5270	5268_16	4209_11_19	1956_12, 2889_12, 503_12, 5268_16	4209_11_19	5265_22, 5266_21	5267	62_27
Bacillus cereus VD184 (1053242.3)	1826_1	 	88_7	89	87_16	5010_11_19	2493_12, 3406_12, 87_16, 876_12	5010_11_19	84_22, 85_21	86	154_27
Bacillus cereus VD196 (1053243.3)	494_1	 	6446_7	6447	6445_16	5619_11_19	1179_12, 2176_12, 3542_12, 6445_16	5619_11_19	6442_22, 6443_21	6444	6162_26, 6164_27
Bacillus cereus VD200 (1053244.3)	1404_1	 	5549_7	5550	5548_16	4465_11_19	2046_12, 3040_12, 526_12, 5548_16	4465_11_19	5545_22, 5546_21	5547	 
Bacillus cereus VD214 (1053245.3)	1745_1	 	62_7	63	61_16	4743_11_19	2445_12, 572_12, 61_16, 963_12	4743_11_19	58_22, 59_21	60	127_27, 128_27, 129_26
Bacillus cereus VDM006 (1085379.3)	1926_1	 	588_7	589	587_16	5019_11_19	2638_12, 3403_12, 587_16	5019_11_19	584_22, 585_21	586	654_27, 655_27, 656_26
Bacillus cereus VDM019 (1053246.3)	1384_1, 6018_1	 	4788_7	4787	4789_16	4354_11_19	1998_12, 4789_16, 502_12	4354_11_19	4791_21, 4792_22	4790	62_27, 63_27, 64_26
Bacillus cereus VDM021 (1085386.3)	1835_1	 	673_7	674	672_16	5059_11_19	2518_12, 3326_12, 672_16	5059_11_19	669_22, 670_21	671	738_27, 739_27, 740_26
Bacillus cereus VDM022 (1053247.3)	4016_1, 6181_1	 	5_7	4	6_16	1131_11_19	3395_12, 5151_12, 6_16	1131_11_19	8_21, 9_22	7	5742_26, 5743_27, 5744_27
Bacillus cereus VDM034 (1053248.3)	1021_1, 5736_1	 	4910_7	4911	4909_16	3813_11_19	146_12, 1662_12, 4909_16	3813_11_19	4906_22, 4907_21	4908	5387_27, 5388_27, 5389_26
Bacillus cereus VDM053 (1053249.3)	1735_1, 665_1	 	6299_7	6300	6298_16	4788_11_19	2421_12, 6298_16, 872_12	4788_11_19	6295_22, 6296_21	6297	61_27, 62_27, 63_26
Bacillus cereus VDM062 (1053250.3)	4283_1, 6000_1	 	220_7	219	221_16	1330_11_19	221_16, 3610_12, 5145_12	1330_11_19	223_21, 224_22	222	152_26, 153_27, 154_27
Bacillus cereus biovar anthracis str. CI (637380.6)	1817_1	 	392_7	393	391_16	4833_11_19	2477_12, 391_16	4833_11_19	388_22, 389_21	390	 
Bacillus cereus m1293 (526973.3)	2806_1	 	1671_7	1672	1670	274_11_19	1897_12, 3541_12, 4419_12	274_11_19	1667_22, 1668_21	1669	2033_27, 2034_27, 2035_26
Bacillus cereus m1550 (526969.3)	1213_1	 	519_7	518	520_16	4241_11_19	1941_12, 275_12, 520_16	4241_11_19	522_21, 523_22	521	1188_27
Bacillus cereus str. Schrouff (718221.3)	3441_1	 	4911_7	4912	4910_16	421_11_19	2813_12, 4910_16, 5654_12	421_11_19	4907_22, 4908_21	4909	6254_26, 6255_27, 6256_27
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	1265_1	 	68_7	69	67_16	3244_11_19	1678_12, 67_16	3244_11_19	64_22, 65_21	66	134_27, 135_27, 136_26
Bacillus mycoides DSM 2048 (526997.3)	1815_1	 	1519_7	1520	1518_16	4754_11_19	1518_16, 2436_12, 716_12	4754_11_19	1515_22, 1516_21	1517	2382_27, 2383_27, 2384_26
Bacillus mycoides Rock1-4 (526998.3)	4344_1	 	5922_7	5923, 5924	 	2515_11_19	3793_12, 575_12, 5921_16	2515_11_19	5918_22, 5919_21	5920	822_27, 823_27, 824_26
Bacillus mycoides Rock3-17 (526999.3)	2047_1, 2573_1	 	2097_7	2098	 	5245_11_19	1026_12, 2096_16, 3254_12	5245_11_19	2093_22, 2094_21	2095	3183_27, 3184_27, 3185_26
Bacillus thuringiensis HD-771 (1218175.3)	2639_1	 	4125_7	4124	4126_16	5330_11_19	1777_12, 3598_12, 4126_16	5330_11_19	4128_21, 4129_22	4127	4057_26, 4058_27, 4059_27
Bacillus thuringiensis HD-789 (1217737.3)	1063_1	 	5308_7	5309	5307_16	4202_11_19	1704_12, 194_12, 5307_16, 6240_12	4202_11_19	5304_22, 5305_21	5306	5375_27, 5376_27, 5377_26
Bacillus thuringiensis IBL 200 (527019.3)	2558_1	 	1267_7	1266	1268_16	5699_11_19	1268_16, 3297_12, 840_12	5699_11_19	1270_21, 1271_22	1269	2190_27, 2191_27, 2192_26
Bacillus thuringiensis IBL 4222 (527020.3)	5514_1	 	3284_7	3283	3285_16	1730_11_19	3285_16, 3564_12, 3726_12, 6273_12	1730_11_19	3287_21, 3288_22	3286	4420_27, 4421_27, 4422_26
Bacillus thuringiensis MC28 (1195464.3)	762_1	 	4864_7	4865	4863	3815_11_19	1437_12, 5483_12	3815_11_19	4860_22, 4861_21	4862	4931_27, 4932_27, 4933_26
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	2656_1	 	2903_7	2904	2902_16	94_11_19	1601_12, 2902_16, 3416_12	94_11_19	2899_22, 2900_21	2901	 
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	3156_1	 	1814_7	1815	1813_16	6182_11_19	1813_16, 1977_12, 1978_12, 3830_12, 4821_12	6182_11_19	1810_22, 1811_21	1812	2538_26, 2539_27, 2540_27
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	1484_1	 	68_7	69	67_16	4604_11_19	2220_12, 3216_12, 580_12, 67_16	4604_11_19	64_22, 65_21	66	136_27, 137_27, 138_26
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	1615_1	 	68_7	69	67_16	4371_11_19	2275_12, 67_16, 685_12	4371_11_19	64_22, 65_21	66	134_27, 135_27, 136_26
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)	2903_1	 	1526_7	1525	1527_16	5932_11_19	1248_12, 1527_16, 3518_12	5932_11_19	1529_21, 1530_22	1528	2568_27, 2570_26
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)	1465_1	 	70_7	71	69_16	4468_11_19	2126_12, 69_16	4468_11_19	66_22, 67_21	68	 
Bacillus thuringiensis BMB171 (714359.3)	1445_1	 	71_7	72	70_16	4404_11_19	2099_12, 3088_12, 596_12, 70_16	4404_11_19	67_22, 68_21	69	 
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)	1736_1	 	72_7	73	71_16	4765_11_19	2477_12, 71_16, 726_12	4765_11_19	68_22, 69_21	70	139_27, 141_26
Bacillus thuringiensis serovar kurstaki str. T03a001 (527023.3)	3708_1	 	2247_7	2246	2248_16	830_11_19	2248_16, 2388_12, 4312_12	830_11_19	2250_21, 2251_22	2249	3019_27, 3021_26
Bacillus thuringiensis serovar monterrey BGSC 4AJ1 (527022.3)	3997_1	 	3930_7	3931	3929_16	578_11_19	2335_12, 3929_16, 4724_12	578_11_19	3926_22, 3927_21	3928	4446_27
Bacillus thuringiensis serovar pakistani str. T13001 (527027.3)	4767_1	 	2934_7	2935	2933_16	1747_11_19	262_12, 2933_16, 5585_12	1747_11_19	2930_22, 2931_21	2932	 
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 (527029.3)	2198_1	 	2099_7	2098	2100_16	5317_11_19	2100_16, 2883_12, 872_12	5317_11_19	2102_21, 2103_22	2101	 
Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 (527028.3)	2612_1	 	2445_7	2444	2446_16	5801_11_19	2446_16, 3350_12	5801_11_19	2448_21, 2449_22	2447	2929_27
Bacillus thuringiensis serovar thuringiensis str. IS5056 (1286404.3)	1476_1	 	70_7	71	69_16	4574_11_19	2210_12, 3197_12, 587_12, 69_16	4574_11_19	66_22, 67_21	68	140_27, 141_27, 142_26
Bacillus thuringiensis serovar thuringiensis str. T01001 (527025.3)	3161_1	 	1780_7	1779	1781_16	6205_11_19	1781_16, 2104_12, 2105_12, 3810_12, 4781_12	6205_11_19	1783_21, 1784_22	1782	2599_26, 2600_27, 2601_27
Bacillus thuringiensis str. Al Hakam (412694.7)	1566_1	 	150_7	151	149_16	4492_11_19	149_16, 2245_12, 701_12	4492_11_19	146_22, 147_21	148	217_27
Bacillus clausii KSM-K16 (66692.6)	2005_1	 	119_7	120	118_16	2795_11_19	118_16, 3152_12	2795_11_19	115_22, 116_21	117	185_27
Bacillus endophyticus 2102 (1196029.3)	1194_1	 	4632_7	4631	4633	831_11_19	1928_12, 2702_12	831_11_19	4635_21, 4636_22	4634	3552_26, 3553_27, 3554_27
Bacillus fordii DSM 16014 (1121090.3)	1561_1, 2110_1	 	747_7	746	748	1069_11_19	2177_12, 2520_12, 484_12, 504_12	1069_11_19	3468_22	3470	143_26, 144_27, 145_27
Bacillus halodurans C-125 (272558.8)	1044_2, 1718_1	 	101_7	102	100_16	3157_11_19	100_16, 3584_12	3157_11_19	97_22, 98_21	99	174_27
Bacillus megaterium DSM319 (592022.4)	1008_1, 4316_1	 	71_7	72	740	4660_11_19	4037_12	4660_11_19	68_22, 69_21	70	 
Bacillus megaterium NCT-2 (1138452.3)	3871_1, 5281_1	 	72_7	73	738	4214_11_19	3023_12, 3597_12	4214_11_19	69_22, 70_21	71	135_27, 137_26
Bacillus megaterium WSH-002 (1006007.3)	4230_1, 945_1	 	5229_7	5228	4508	596_11_19	1228_12, 2017_12	596_11_19	5231_21, 5232_22	5230	5165_26, 5166_27, 5167_27
Bacillus nealsonii AAU1 (1202533.3)	37_1	 	4409_7	4410	4408	1059_11_19	2603_12, 4634_12, 4764_12, 4765_12, 5068_12	1059_11_19	4405_22, 4406_21	4407	4201_27, 4202_27, 4203_26, 4935_25, 629_26, 630_27, 631_27
Bacillus pseudofirmus OF4 (398511.4)	2817_2	 	1626_7	1627	1625_16	568_11_19	1625_16, 969_12	568_11_19	1622_22, 1623_21	1624	1693_27, 1694_27, 1695_26
Bacillus pumilus ATCC 7061 (536229.4)	2760_1	 	3891_7	2760_1, 3890	3892	3152_11_19	1880_12, 2859_12	3152_11_19	3894_21, 3895_22	3893	3506_26, 3507_27, 3508_27
Bacillus pumilus S-1 (1076692.3)	3039_2, 3234_1	 	1620_7	1619, 3234_1	1621	1439_11_19	1953_12, 845_12	1439_11_19	1623_21, 1624_22	1622	1979_26, 1980_27, 1981_27
Bacillus amyloliquefaciens DSM7 (692420.6)	2346_1	 	82_7	2346_1, 83	81	2812_11_19	2244_12, 3542_12	2812_11_19	78_22, 79_21	80	153_27, 154_27, 155_26
Bacillus amyloliquefaciens FZB42 (326423.5)	2110_1	 	84_7	2110_1, 85	 	2546_11_19	2010_12, 3214_12, 83_16	2546_11_19	80_22, 81_21	82	152_27, 153_27, 154_26
Bacillus atrophaeus 1013-1 (723888.3)	2190_1, 374_2	 	4172_7	2190_1, 4171	4173	3089_11_19	2725_12, 3585_12	3089_11_19	4175_21, 4176_22	4174	4291_27, 4292_27, 4293_26
Bacillus atrophaeus 1013-2 (723889.3)	457_1	 	3720_7	3719, 457_1	3721	2875_11_19	1224_12, 1663_12	2875_11_19	3723_21, 3724_22	3722	3702_27, 3703_27, 3704_26
Bacillus atrophaeus 1942 (720555.4)	1875_1, 4166_2	 	3881_7	1875_1, 3882	3880	2385_11_19	1772_12, 3369_12	2385_11_19	3877_22, 3878_21	3879	3952_27, 3953_27, 3954_26
Bacillus atrophaeus ATCC 49822-1 (743710.3)	1959_1, 2857_2	 	4165_7	1959_1, 4166	4164	342_11_19	2185_12, 878_12	342_11_19	4161_22, 4162_21	4163	63_27, 64_27, 65_26
Bacillus atrophaeus ATCC 49822-2 (743711.3)	1206_1, 1709_2	 	3213_7	1206_1, 3212	3214	2360_11_19	1310_12, 2198_12	2360_11_19	3216_21, 3217_22	3215	4243_26, 4244_27, 4245_27
Bacillus atrophaeus ATCC 9372-1 (903520.3)	2745_2, 3105_1	 	4007_7	3105_1, 4008	4006	983_11_19	3002_12, 430_12	983_11_19	4003_22, 4004_21	4005	3939_27, 3940_27, 3941_26
Bacillus atrophaeus ATCC 9372-2 (723892.3)	1432_2, 1565_1	 	1182_7	1181, 1565_1	1183	1135_11_19	157_12, 2344_12	1135_11_19	1185_21, 1186_22	1184	3492_26, 3493_27, 3494_27
Bacillus atrophaeus BACI051-E (882455.3)	2795_2, 621_1	 	4128_7	4127, 621_1	4129	3337_11_19	3091_12, 3837_12	3337_11_19	4131_21, 4132_22	4130	1899_26, 1900_27, 1901_27
Bacillus atrophaeus BACI051-N (876283.3)	1879_2, 3948_1	 	2793_7	2792, 3948_1	2794	4080_11_19	2572_12, 2774_12	4080_11_19	2796_21, 2797_22	2795	4122_26, 4123_27, 4124_27
Bacillus atrophaeus C89 (334727.3)	3132_2, 819_1	 	3654_7	3653, 819_1	3655	312_11_19	1634_12, 923_12	312_11_19	3657_21, 3658_22	3656	3400_26, 3401_27, 3402_27
Bacillus atrophaeus Detrick-1 (720556.3)	2236_1, 348_2	 	4067_7	2236_1, 4066	4068	3235_11_19	4258_12, 648_12	3235_11_19	4070_21, 4071_22	4069	178_27, 179_27, 180_26
Bacillus atrophaeus Detrick-2 (720557.3)	3152_1, 3432_2	 	1042_7	1043, 3152_1	1041	3947_11_19	122_12, 1576_12	3947_11_19	1038_22, 1039_21	1040	1971_27, 1972_27, 1973_26
Bacillus atrophaeus Detrick-3 (720558.3)	262_1, 2877_2	 	55_7	262_1, 56	54	1318_11_19	2237_12, 785_12	1318_11_19	51_22, 52_21	53	1493_27, 1494_27, 1495_26
Bacillus atrophaeus str. Dugway (882453.3)	2140_2, 3785_1	 	68_7	3785_1, 67	69	4115_11_19	2702_12, 3681_12	4115_11_19	71_21, 72_22	70	3890_27, 3891_27, 3892_26
Bacillus sonorensis L12 (1274524.3)	1497_2, 408_1	 	4851_7	4852	4850	2020_11_19	306_12	2020_11_19	4847_22, 4848_21	4849	4763_27, 4764_27, 4765_26
Bacillus subtilis subsp. natto BEST195 (645657.3)	1225_2, 3195_1	 	81_7	3195_1, 82	80	3711_11_19	1001_12, 3094_12, 602_12	3711_11_19	77_22, 78_21	79	152_27, 153_27, 154_26
Bacillus subtilis subsp. spizizenii ATCC 6633 (703612.3)	3248_2, 3547_1	 	135_7	136, 3547_1	134	2196_11_19	1910_12, 43_12	2196_11_19	131_22, 132_21	133	3704_27, 3705_27, 3706_26
Bacillus subtilis subsp. spizizenii DV1-B-1 (1051503.3)	2233_1	 	72_7	73	71	2790_11_19	2133_12, 3761_12	2790_11_19	68_22, 69_21	70	139_27, 140_27, 141_26
Bacillus subtilis subsp. spizizenii str. W23 (655816.3)	2276_1, 344_2	 	82_7	2276_1, 83	81	2770_11_19	2175_12, 3751_12	2770_11_19	78_22, 79_21	80	151_27, 152_27, 153_26
Bacillus subtilis subsp. subtilis str. 168 (224308.113)	2353_1, 334_2	 	78_7	2353_1, 79	 	2899_11_19	2254_12, 4200_12, 77_16	2899_11_19	74_22, 75_21	76	146_27, 147_27, 148_26
Bacillus subtilis subsp. subtilis str. JH642 (535025.4)	1432_2, 3491_1	 	79_7	3491_1, 80	 	4054_11_19	1210_12, 3391_12, 78_16	4054_11_19	75_22, 76_21	77	149_27, 150_27, 151_26
Bacillus subtilis subsp. subtilis str. NCIB 3610 (535026.3)	2430_1, 355_2	 	79_7	2430_1, 80	 	2994_11_19	2328_12, 4355_12, 78_16	2994_11_19	75_22, 76_21	77	149_27, 150_27, 151_26
Bacillus subtilis subsp. subtilis str. SMY (535024.3)	1403_1, 3551_2	 	79_7	1403_1, 80	78	1967_11_19	1301_12, 3327_12	1967_11_19	75_22, 76_21	77	149_27, 150_27, 151_26
Bacillus vallismortis DV1-F-3 (1051502.3)	3133_1, 4070_2	 	 	 	 	2876_11_19	299_12, 990_12	2876_11_19	 	 	 
Lysinibacillus fusiformis ZB2 (1231627.3)	1213_1	 	3460_7	3461	3459	3570_11_19, 3571_11_19	1938_12, 491_12	3570_11_19, 3571_11_19	3456_22, 3457_21	3458	3958_27, 3959_27, 3960_26
Lysinibacillus fusiformis ZC1 (714961.3)	4106_1	 	2296_7	2295	2297	1241_11_19, 1242_11_19	2807_12, 497_12	1241_11_19, 1242_11_19	2299_21, 2300_22	2298	4503_27, 4504_27, 4505_26
Lysinibacillus sphaericus OT4b.31 (1285586.5)	1873_1	 	78_7	79	77	3208_11_19, 3209_11_19	2323_12, 2532_12, 4282_12	3208_11_19, 3209_11_19	2960_21, 74_22, 75_21	76	3826_26, 3827_27, 3828_27
Gemella haemolysans M341 (562981.3)	804_1	 	1029_7	1028	1841	1845_11_19	191_12	1845_11_19	 	 	547_26, 548_27, 549_27
Gemella moribillum M424 (562982.3)	1526_1	 	815_7	814	1111	1113_11_19	238_12	1113_11_19	 	 	770_27
Gemella sanguinis M325 (562983.3)	48_1	 	1397_7	1396	643	640_11_19	1639_12	640_11_19	 	 	59_26, 60_27, 61_27
Listeria grayi DSM 20601 (525367.9)	1711_1	 	2133_7	2134	2132	334_11_19	1773_12, 2144_12	334_11_19	1900_21, 1901_22	1901_22	1797_26, 1798_27, 1799_27
