Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Paenibacillus lactis 154 (743719.3)	2584	4365, 4366, 5962	2643_4, 302_4, 4999_4	134	5892_6	 	 	 	6183_14, 6184_13	 	 
Ureibacillus thermosphaericus str. Thermo-BF (1160707.3)	981	1857	1367_4, 2259_4	1251	 	 	 	 	2680_14	 	2399_18
Staphylococcus arlettae CVD059 (1212545.3)	 	1788	1466_4	 	 	 	 	2038_12	631_14, 632_13	 	 
Staphylococcus aureus 04-02981 (703339.3)	 	 	 	 	 	 	 	 	499_14, 500_13	 	 
Staphylococcus aureus 08BA02176 (1229492.3)	 	 	1676_4	 	 	 	 	 	555_14, 556_13	 	 
Staphylococcus aureus 16K (908247.3)	 	 	195_4	 	 	 	 	 	2017_13, 2018_14	 	 
Staphylococcus aureus 3957 (1278071.4)	 	 	 	 	 	 	 	 	1159_14, 1160_13	 	 
Staphylococcus aureus 930918-3 (452948.4)	 	 	829_4	 	 	 	 	 	2530_13, 2531_14	 	 
Staphylococcus aureus A10102 (553601.3)	 	 	 	 	 	 	 	 	2247_14, 2248_13	 	 
Staphylococcus aureus A5937 (553565.3)	 	 	 	 	 	 	 	 	536_13, 537_14	 	 
Staphylococcus aureus A5948 (553567.3)	 	 	372_4	 	 	 	 	 	2245_13, 2246_14	 	 
Staphylococcus aureus A6224 (553568.3)	 	 	 	 	 	 	 	 	769_13, 770_14	 	 
Staphylococcus aureus A6300 (553571.3)	 	 	 	 	 	 	 	 	1388_13, 1389_14	 	 
Staphylococcus aureus A8115 (553573.3)	 	 	 	 	 	 	 	 	1907_13, 1908_14	 	 
Staphylococcus aureus A8117 (553574.3)	 	 	 	 	 	 	 	 	2263_14, 2264_13	 	 
Staphylococcus aureus A8796 (553577.3)	 	 	 	 	 	 	 	 	2331_13, 2332_14	 	 
Staphylococcus aureus A8819 (553580.3)	 	 	 	 	 	 	 	 	2038_14, 2039_13	 	 
Staphylococcus aureus A9299 (553581.3)	 	 	 	 	 	 	 	 	2381_13, 2382_14	 	 
Staphylococcus aureus A9635 (553583.3)	 	 	1662_4	 	 	 	 	 	146_13, 147_14	 	 
Staphylococcus aureus A9719 (553588.3)	 	 	 	 	 	 	 	 	756_13, 757_14	 	 
Staphylococcus aureus A9754 (553590.4)	 	 	1945_4	 	 	 	 	 	2343_14, 2344_13	 	 
Staphylococcus aureus A9765 (553594.3)	 	 	1820_4	 	 	 	 	 	1837_14, 1838_13	 	 
Staphylococcus aureus A9781 (553596.3)	 	 	 	 	 	 	 	 	2309_13, 2310_14	 	 
Staphylococcus aureus B147830 (1157039.3)	 	 	 	 	 	 	 	 	403_14, 404_13	 	 
Staphylococcus aureus B40723 (1157037.3)	 	 	 	 	 	 	 	 	454_14, 455_13	 	 
Staphylococcus aureus B40950 (1157038.3)	 	 	 	 	 	 	 	 	435_14, 436_13	 	 
Staphylococcus aureus B53639 (1157036.3)	 	 	 	 	 	 	 	 	448_14, 449_13	 	 
Staphylococcus aureus CA-347 (1323661.3)	 	 	1685_4	 	 	 	 	 	514_14, 515_13	 	 
Staphylococcus aureus CN79 (1242970.3)	 	 	1660_4	 	 	 	 	560_12	497_14, 498_13	 	 
Staphylococcus aureus D30 (455227.3)	 	 	1050_4	 	 	 	 	 	1594_14, 1595_13	 	 
Staphylococcus aureus HI010 (1156995.3)	 	 	2381_4	 	 	 	 	 	1164_14, 1165_13	 	 
Staphylococcus aureus HI010B (1156997.3)	 	 	1737_4	 	 	 	 	 	521_14, 522_13	 	 
Staphylococcus aureus HI013 (1157003.3)	 	 	2282_4	 	 	 	 	 	1064_14, 1065_13	 	 
Staphylococcus aureus HI022 (1156999.3)	 	732	1669_4	 	 	 	 	 	453_14, 454_13	 	 
Staphylococcus aureus HI049 (1156994.3)	 	 	1217_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus HI049B (1156996.3)	 	 	1219_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus HI049C (1157000.3)	 	 	1708_4	 	 	 	 	 	492_14, 493_13	 	 
Staphylococcus aureus HI111 (1157002.3)	 	 	1428_4	 	 	 	 	 	209_14, 210_13	 	 
Staphylococcus aureus HI168 (1157001.3)	 	 	2255_4	 	 	 	 	 	1060_14, 1061_13	 	 
Staphylococcus aureus HIF003_B2N-C (1156998.3)	 	 	1135_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus KLT6 (1283278.3)	 	 	 	 	 	 	 	 	448_14, 449_13	 	 
Staphylococcus aureus KT/314250 (1231383.3)	 	 	419_4	 	 	 	 	 	1432_14, 1433_13	 	 
Staphylococcus aureus KT/Y21 (1231382.3)	 	 	 	 	 	 	 	 	1245_13, 1246_14	 	 
Staphylococcus aureus LVP2 (1278072.4)	 	 	 	 	 	 	 	 	1998_13, 1999_14	 	 
Staphylococcus aureus LVP5 (1278075.4)	 	 	572_4	 	 	 	 	 	1775_14, 1776_13	 	 
Staphylococcus aureus M0001 (1157004.3)	 	 	 	 	 	 	 	 	1148_14, 1149_13	 	 
Staphylococcus aureus M0006 (1158507.3)	 	 	 	 	 	 	 	 	1276_14, 1277_13	 	 
Staphylococcus aureus M0029 (1157005.3)	 	 	 	 	 	 	 	 	4_14, 5_13	 	 
Staphylococcus aureus M0035 (1157006.3)	 	 	 	 	 	 	 	 	10_13, 9_14	 	 
Staphylococcus aureus M0045 (1157007.3)	 	 	 	 	 	 	 	 	1525_14, 1526_13	 	 
Staphylococcus aureus M0055 (1158508.3)	 	 	1642_4	 	 	 	 	 	422_14, 423_13	 	 
Staphylococcus aureus M0060 (1157008.3)	 	 	 	 	 	 	 	 	1045_14, 1046_13	 	 
Staphylococcus aureus M0066 (1157009.3)	 	 	2322_4	 	 	 	 	 	1029_14, 1030_13	 	 
Staphylococcus aureus M0075 (1303780.3)	 	 	 	 	 	 	 	 	2325_14, 2326_13	 	 
Staphylococcus aureus M0077 (1158509.3)	 	 	 	 	 	 	 	 	1022_14, 1023_13	 	 
Staphylococcus aureus M0102 (1157010.3)	 	 	1560_4	 	 	 	 	 	428_14, 429_13	 	 
Staphylococcus aureus M0103 (1157011.3)	 	 	 	 	 	 	 	 	1039_14, 1040_13	 	 
Staphylococcus aureus M0104 (1224919.3)	 	 	 	 	 	 	 	 	1179_14, 1180_13	 	 
Staphylococcus aureus M0108 (1158510.3)	 	 	 	 	 	 	 	 	432_14, 433_13	 	 
Staphylococcus aureus M0144 (1158511.3)	 	 	 	 	 	 	 	 	1253_14, 1254_13	 	 
Staphylococcus aureus M0150 (1157012.3)	 	 	 	 	 	 	 	 	1291_14, 1292_13	 	 
Staphylococcus aureus M0154 (1158512.3)	 	 	 	 	 	 	 	 	463_14, 464_13	 	 
Staphylococcus aureus M0171 (1224920.3)	 	 	 	 	 	 	 	 	1066_14, 1067_13	 	 
Staphylococcus aureus M0173 (1157013.3)	 	 	 	 	 	 	 	 	1353_14, 1354_13	 	 
Staphylococcus aureus M0177 (1158513.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M0192 (1157014.3)	 	 	 	 	 	 	 	 	437_14, 438_13	 	 
Staphylococcus aureus M0197 (1157015.3)	 	 	 	 	 	 	 	 	1199_14, 1200_13	 	 
Staphylococcus aureus M0200 (1158514.3)	 	 	 	 	 	 	 	 	58_14, 59_13	 	 
Staphylococcus aureus M0210 (1224921.3)	 	 	 	 	 	 	 	 	2097_14, 2098_13	 	 
Staphylococcus aureus M0212 (1158515.3)	 	 	 	 	 	 	 	 	440_14, 441_13	 	 
Staphylococcus aureus M0213 (1224922.3)	 	 	 	 	 	 	 	 	1329_14, 1330_13	 	 
Staphylococcus aureus M0216 (1158516.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M0221 (1157016.3)	 	 	2591_4	 	 	 	 	 	1318_14, 1319_13	 	 
Staphylococcus aureus M0235 (1158517.3)	 	 	 	 	 	 	 	 	1031_14, 1032_13	 	 
Staphylococcus aureus M0237 (1157017.3)	 	 	1781_4	 	 	 	 	 	510_14, 511_13	 	 
Staphylococcus aureus M0239 (1157018.3)	 	 	1116_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M0240 (1224923.3)	 	 	 	 	 	 	 	 	390_14, 391_13	 	 
Staphylococcus aureus M0250 (1158518.3)	 	 	 	 	 	 	 	 	1429_14, 1430_13	 	 
Staphylococcus aureus M0252 (1157019.3)	 	 	 	 	 	 	 	1501_12, 1502_12	1440_14, 1441_13	 	 
Staphylococcus aureus M0270 (1224924.3)	 	 	 	 	 	 	 	 	1020_14, 1021_13	 	 
Staphylococcus aureus M0273 (1224925.3)	 	 	 	 	 	 	 	 	1308_14, 1309_13	 	 
Staphylococcus aureus M0279 (1224926.3)	 	 	 	 	 	 	 	 	10_13, 9_14	 	 
Staphylococcus aureus M0280 (1158520.3)	 	 	 	 	 	 	 	 	2425_14, 2426_13	 	 
Staphylococcus aureus M0288 (1224927.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M0294 (1303781.3)	 	 	 	 	 	 	 	 	1285_14, 1286_13	 	 
Staphylococcus aureus M0306 (1158521.3)	 	 	 	 	 	 	 	 	436_14, 437_13	 	 
Staphylococcus aureus M0312 (1224928.3)	 	 	1311_4	 	 	 	 	 	42_14, 43_13	 	 
Staphylococcus aureus M0326 (1157020.3)	 	 	 	 	 	 	 	 	8_14, 9_13	 	 
Staphylococcus aureus M0328 (1157021.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M0329 (1157022.3)	 	 	1707_4	 	 	 	 	 	462_14, 463_13	 	 
Staphylococcus aureus M0330 (1157023.3)	 	 	 	 	 	 	 	 	1138_14, 1139_13	 	 
Staphylococcus aureus M0334 (1158522.3)	 	 	 	 	 	 	 	 	1279_14, 1280_13	 	 
Staphylococcus aureus M0340 (1157024.3)	 	 	2456_4	 	 	 	 	 	1181_14, 1182_13	 	 
Staphylococcus aureus M0347 (1157025.3)	 	 	 	 	 	 	 	 	499_14, 500_13	 	 
Staphylococcus aureus M0350 (1158523.3)	 	 	 	 	 	 	 	 	1050_14, 1051_13	 	 
Staphylococcus aureus M0351 (1158524.3)	 	 	 	 	 	 	 	 	490_14, 491_13	 	 
Staphylococcus aureus M0363 (1158525.3)	 	 	 	 	 	 	 	 	378_14, 379_13	 	 
Staphylococcus aureus M0364 (1157026.3)	 	 	1627_4	 	 	 	 	 	448_14, 449_13	 	 
Staphylococcus aureus M0367 (1158526.3)	 	 	 	 	 	 	 	 	1324_14, 1325_13	 	 
Staphylococcus aureus M0374 (1158527.3)	 	 	 	 	 	 	 	 	2330_14, 2331_13	 	 
Staphylococcus aureus M0375 (1158528.3)	 	 	 	 	 	 	 	 	1024_14, 1025_13	 	 
Staphylococcus aureus M0391 (1157027.3)	 	 	 	 	 	 	 	 	1030_14, 1031_13	 	 
Staphylococcus aureus M0396 (1158529.3)	 	 	 	 	 	 	 	 	656_14, 657_13	 	 
Staphylococcus aureus M0404 (1224929.3)	 	 	 	 	 	 	 	 	215_14, 216_13	 	 
Staphylococcus aureus M0408 (1157028.3)	 	 	1504_4	 	 	 	 	 	2702_13, 2703_14	 	 
Staphylococcus aureus M0415 (1224930.3)	 	 	 	 	 	 	 	 	1121_14, 1122_13	 	 
Staphylococcus aureus M0424 (1158530.3)	 	 	2368_4	 	 	 	 	 	1070_14, 1071_13	 	 
Staphylococcus aureus M0427 (1157029.3)	 	 	 	 	 	 	 	 	432_14, 433_13	 	 
Staphylococcus aureus M0438 (1158531.3)	 	 	1674_4	 	 	 	 	 	438_14, 439_13	 	 
Staphylococcus aureus M0450 (1157030.3)	 	 	 	 	 	 	 	 	430_14, 431_13	 	 
Staphylococcus aureus M0455 (1224931.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M0460 (1224932.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M0467 (1157031.3)	 	 	 	 	 	 	 	 	2299_14, 2300_13	 	 
Staphylococcus aureus M0468 (1157032.3)	 	 	1287_4	 	 	 	 	 	24_14, 25_13	 	 
Staphylococcus aureus M0478 (1157033.3)	 	 	 	 	 	 	 	 	391_14, 392_13	 	 
Staphylococcus aureus M0489 (1157034.3)	 	 	 	 	 	 	 	 	535_14, 536_13	 	 
Staphylococcus aureus M0493 (1224933.3)	 	 	 	 	 	 	 	 	1317_14, 1318_13	 	 
Staphylococcus aureus M0494 (1157035.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M0510 (1158533.3)	 	 	 	 	 	 	 	 	10_14, 11_13	 	 
Staphylococcus aureus M0513 (1158534.3)	 	 	 	 	 	 	 	 	1179_13, 1180_14	 	 
Staphylococcus aureus M0528 (1158682.3)	 	 	 	 	 	 	 	 	493_14, 494_13	 	 
Staphylococcus aureus M0529 (1158462.3)	 	 	 	 	 	 	 	 	1195_14, 1196_13	 	 
Staphylococcus aureus M0531 (1158683.3)	 	 	1199_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M0536 (1158684.3)	 	 	 	 	 	 	 	 	448_14, 449_13	 	 
Staphylococcus aureus M0539 (1158685.3)	 	 	 	 	 	 	 	 	1272_14, 1273_13	 	 
Staphylococcus aureus M0547 (1158686.3)	 	 	 	 	 	 	 	 	1260_14, 1261_13	 	 
Staphylococcus aureus M0562 (1158535.3)	 	 	 	 	 	 	 	 	438_14, 439_13	 	 
Staphylococcus aureus M0565 (1158687.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M0571 (1158536.3)	 	 	 	 	 	 	 	 	1510_14, 1511_13	 	 
Staphylococcus aureus M0580 (1158688.3)	 	 	 	 	 	 	 	 	2313_14, 2314_13	 	 
Staphylococcus aureus M0584 (1158537.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M0586 (1158538.3)	 	 	 	 	 	 	 	 	1160_14, 1161_13	 	 
Staphylococcus aureus M0602 (1158689.3)	 	 	 	 	 	 	 	 	31_14, 32_13	 	 
Staphylococcus aureus M0622 (1158690.3)	 	 	1612_4	 	 	 	 	 	441_14, 442_13	 	 
Staphylococcus aureus M0628 (1158461.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M0633 (1158539.3)	 	 	1742_4	 	 	 	 	 	455_14, 456_13	 	 
Staphylococcus aureus M0646 (1214901.3)	 	 	 	 	 	 	 	 	1498_14, 1499_13	 	 
Staphylococcus aureus M0648 (1213721.3)	 	 	 	 	 	 	 	 	1139_14, 1140_13	 	 
Staphylococcus aureus M0660 (1213722.3)	 	 	 	 	 	 	 	 	1038_14, 1039_13	 	 
Staphylococcus aureus M0663 (1213723.3)	 	 	 	 	 	 	 	 	432_14, 433_13	 	 
Staphylococcus aureus M0673 (1213724.3)	 	 	 	 	 	 	 	 	443_14, 444_13	 	 
Staphylococcus aureus M0676 (1158691.3)	 	 	 	 	 	 	 	 	477_14, 478_13	 	 
Staphylococcus aureus M0687 (1158692.3)	 	 	 	 	 	 	 	 	218_14, 219_13	 	 
Staphylococcus aureus M0692 (1158693.3)	 	 	 	 	 	 	 	 	1034_14, 1035_13	 	 
Staphylococcus aureus M0695 (1213725.3)	 	 	 	 	 	 	 	 	482_14, 483_13	 	 
Staphylococcus aureus M0719 (1158694.3)	 	 	 	 	 	 	 	 	1129_14, 1130_13	 	 
Staphylococcus aureus M0769 (1158695.3)	 	 	 	 	 	 	 	 	442_14, 443_13	 	 
Staphylococcus aureus M0770 (1158696.3)	 	 	 	 	 	 	 	 	1510_14, 1511_13	 	 
Staphylococcus aureus M0780 (1158697.3)	 	 	 	 	 	 	 	 	443_14, 444_13	 	 
Staphylococcus aureus M0792 (1213726.3)	 	 	 	 	 	 	 	 	443_14, 444_13	 	 
Staphylococcus aureus M0799 (1158698.3)	 	 	 	 	 	 	 	 	1260_14, 1261_13	 	 
Staphylococcus aureus M0822 (1213727.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M0823 (1158699.3)	 	 	 	 	 	 	 	 	442_14, 443_13	 	 
Staphylococcus aureus M0831 (1213728.3)	 	 	1299_4	 	 	 	 	 	4_14, 5_13	 	 
Staphylococcus aureus M0844 (1158700.3)	 	 	 	 	 	 	 	 	1132_14, 1133_13	 	 
Staphylococcus aureus M0871 (1213729.3)	 	 	 	 	 	 	 	 	440_14, 441_13	 	 
Staphylococcus aureus M0877 (1213730.3)	 	 	1448_4	 	 	 	 	 	2613_13, 2614_14	 	 
Staphylococcus aureus M0892 (1213732.3)	 	 	 	 	 	 	 	 	447_14, 448_13	 	 
Staphylococcus aureus M0900 (1213733.3)	 	 	 	 	 	 	 	 	416_14, 417_13	 	 
Staphylococcus aureus M0927 (1213734.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M0934 (1158701.3)	 	 	 	 	 	 	 	 	1506_14, 1507_13	 	 
Staphylococcus aureus M0943 (1158702.3)	 	 	 	 	 	 	 	 	442_14, 443_13	 	 
Staphylococcus aureus M0944 (1158703.3)	 	 	 	 	 	 	 	 	399_14, 400_13	 	 
Staphylococcus aureus M0946 (1169255.3)	 	 	 	 	 	 	 	 	2761_13, 2762_14	 	 
Staphylococcus aureus M0953 (1158704.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M0964 (1169256.3)	 	 	 	 	 	 	 	 	442_14, 443_13	 	 
Staphylococcus aureus M0978 (1169257.3)	 	 	 	 	 	 	 	 	46_14, 47_13	 	 
Staphylococcus aureus M0994 (1169258.3)	 	 	 	 	 	 	 	 	7_14, 8_13	 	 
Staphylococcus aureus M0998 (1158705.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M0999 (1158706.3)	 	 	 	 	 	 	 	 	460_14, 461_13	 	 
Staphylococcus aureus M1 (1305598.3)	 	 	1710_4	 	 	 	 	 	501_14, 502_13	 	 
Staphylococcus aureus M1007 (1158707.3)	 	 	2365_4	 	 	 	 	 	1073_14, 1074_13	 	 
Staphylococcus aureus M1010 (1158708.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M1015 (1158709.3)	 	 	 	 	 	 	 	 	582_14, 583_13	 	 
Staphylococcus aureus M1016 (1158710.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M1034 (1169259.3)	 	 	 	 	 	 	 	 	2515_13, 2516_14	 	 
Staphylococcus aureus M1036 (1158711.3)	 	 	 	 	 	 	 	 	105_14, 106_13	 	 
Staphylococcus aureus M1037 (1158712.3)	 	 	 	 	 	 	 	 	441_14, 442_13	 	 
Staphylococcus aureus M1044 (1169260.3)	 	 	 	 	 	 	 	 	450_14, 451_13	 	 
Staphylococcus aureus M1060 (1303782.3)	 	 	 	 	 	 	 	 	1163_14, 1164_13	 	 
Staphylococcus aureus M1061 (1169261.3)	 	 	 	 	 	 	 	 	1043_14, 1044_13	 	 
Staphylococcus aureus M1062 (1169262.3)	 	 	 	 	 	 	 	 	442_14, 443_13	 	 
Staphylococcus aureus M1063 (1158463.3)	 	 	 	 	 	 	 	 	1226_14, 1227_13	 	 
Staphylococcus aureus M1064 (1158465.3)	 	 	2340_4	 	 	 	 	 	1050_14, 1051_13	 	 
Staphylococcus aureus M1068 (1169263.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M1076 (1158464.3)	 	 	 	 	 	 	 	 	42_14, 43_13	 	 
Staphylococcus aureus M1078 (1303783.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M1083 (1169264.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M1092 (1158466.3)	 	 	 	 	 	 	 	 	1132_14, 1133_13	 	 
Staphylococcus aureus M1093 (1158467.3)	 	 	 	 	 	 	 	 	226_14, 227_13	 	 
Staphylococcus aureus M1095 (1158468.3)	 	 	 	 	 	 	 	 	406_14, 407_13	 	 
Staphylococcus aureus M1103 (1158469.3)	 	 	 	 	 	 	 	 	1279_14, 1280_13	 	 
Staphylococcus aureus M1109 (1169265.3)	 	 	 	 	 	 	 	 	1127_14, 1128_13	 	 
Staphylococcus aureus M1119 (1158470.3)	 	 	 	 	 	 	 	 	987_14, 988_13	 	 
Staphylococcus aureus M1126 (1169266.3)	 	 	 	 	 	 	 	 	441_14, 442_13	 	 
Staphylococcus aureus M1142 (1169267.3)	 	 	 	 	 	 	 	 	4_14, 5_13	 	 
Staphylococcus aureus M1167 (1158471.3)	 	 	1598_4	 	 	 	 	 	440_14, 441_13	 	 
Staphylococcus aureus M1170 (1158472.3)	 	 	 	 	 	 	 	 	1310_14, 1311_13	 	 
Staphylococcus aureus M1188 (1158473.3)	 	 	 	 	 	 	 	 	4_14, 5_13	 	 
Staphylococcus aureus M1193 (1303784.3)	 	 	 	 	 	 	 	 	1329_14, 1330_13	 	 
Staphylococcus aureus M1198 (1158474.3)	 	 	 	 	 	 	 	 	2316_14, 2317_13	 	 
Staphylococcus aureus M1199 (1158475.3)	 	 	 	 	 	 	 	 	1571_14, 1572_13	 	 
Staphylococcus aureus M1215 (1158476.3)	 	 	 	 	 	 	 	 	2321_14, 2322_13	 	 
Staphylococcus aureus M1216 (1158477.3)	 	 	1161_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M1223 (1169268.3)	 	 	2339_4	 	 	 	 	 	1065_14, 1066_13	 	 
Staphylococcus aureus M1224 (1169269.3)	 	 	 	 	 	 	 	 	437_14, 438_13	 	 
Staphylococcus aureus M1228 (1303785.3)	 	 	2314_4	 	 	 	 	 	1122_14, 1123_13	 	 
Staphylococcus aureus M1229 (1158478.3)	 	 	 	 	 	 	 	 	2289_14, 2290_13	 	 
Staphylococcus aureus M1244 (1169270.3)	 	 	 	 	 	 	 	 	495_14, 496_13	 	 
Staphylococcus aureus M1248 (1158479.3)	 	 	 	 	 	 	 	 	441_14, 442_13	 	 
Staphylococcus aureus M1253 (1158480.3)	 	 	 	 	 	 	 	 	1318_14, 1319_13	 	 
Staphylococcus aureus M1255 (1158481.3)	 	 	 	 	 	 	 	 	438_14, 439_13	 	 
Staphylococcus aureus M1256 (1169271.3)	 	 	 	 	 	 	 	 	2622_13, 2623_14	 	 
Staphylococcus aureus M1257 (1158482.3)	 	 	 	 	 	 	 	 	438_14, 439_13	 	 
Staphylococcus aureus M1275 (1169272.3)	 	 	1674_4	 	 	 	 	 	500_14, 501_13	 	 
Staphylococcus aureus M1277 (1158483.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M1286 (1169273.3)	 	 	 	 	 	 	 	 	441_14, 442_13	 	 
Staphylococcus aureus M1291 (1158484.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M1309 (1169274.3)	 	 	 	 	 	 	 	 	441_14, 442_13	 	 
Staphylococcus aureus M1311 (1158485.3)	 	 	1516_4	 	 	 	 	 	2638_13, 2639_14	 	 
Staphylococcus aureus M1320 (1158486.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M1321 (1158487.3)	 	 	 	 	 	 	 	 	446_14, 447_13	 	 
Staphylococcus aureus M1322 (1158488.3)	 	 	 	 	 	 	 	 	2288_14, 2289_13	 	 
Staphylococcus aureus M1359 (1158489.3)	 	 	 	 	 	 	 	 	1325_14, 1326_13	 	 
Staphylococcus aureus M1367 (1158490.3)	 	 	 	 	 	 	 	 	7_14, 8_13	 	 
Staphylococcus aureus M1373 (1158491.3)	 	 	 	 	 	 	 	 	979_14, 980_13	 	 
Staphylococcus aureus M1374 (1169275.3)	 	 	 	 	 	 	 	 	439_14, 440_13	 	 
Staphylococcus aureus M1394 (1158492.3)	 	 	 	 	 	 	 	 	1335_14, 1336_13	 	 
Staphylococcus aureus M1405 (1169276.3)	 	 	 	 	 	 	 	 	441_14, 442_13	 	 
Staphylococcus aureus M1407 (1303786.3)	 	 	 	 	 	 	 	 	1169_14, 1170_13	 	 
Staphylococcus aureus M1450 (1158493.3)	 	 	 	 	 	 	 	 	5_14, 6_13	 	 
Staphylococcus aureus M1451 (1158494.3)	 	 	 	 	 	 	 	 	456_14, 457_13	 	 
Staphylococcus aureus M1462 (1158495.3)	 	 	1747_4	 	 	 	 	 	472_14, 473_13	 	 
Staphylococcus aureus M1463 (1158496.3)	 	 	 	 	 	 	 	 	259_14, 260_13	 	 
Staphylococcus aureus M1466 (1303787.3)	 	 	 	 	 	 	 	 	462_14, 463_13	 	 
Staphylococcus aureus M1481 (1158497.3)	 	 	 	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus M1510 (1169277.3)	 	 	 	 	 	 	 	 	442_14, 443_13	 	 
Staphylococcus aureus M1520 (1158498.3)	 	 	 	 	 	 	 	 	1026_14, 1027_13	 	 
Staphylococcus aureus M1521 (1158499.3)	 	 	 	 	 	 	 	 	37_14, 38_13	 	 
Staphylococcus aureus M1531 (1158500.3)	 	 	1490_4	 	 	 	 	 	361_14, 362_13	 	 
Staphylococcus aureus M1533 (1158501.3)	 	 	 	 	 	 	 	 	40_14, 41_13	 	 
Staphylococcus aureus M1544 (1158502.3)	 	 	 	 	 	 	 	 	443_14, 444_13	 	 
Staphylococcus aureus M1556 (1158503.3)	 	 	 	 	 	 	 	 	438_14, 439_13	 	 
Staphylococcus aureus M1563 (1158504.3)	 	 	1809_4	 	 	 	 	 	676_14, 677_13	 	 
Staphylococcus aureus M1565 (1158505.3)	 	 	 	 	 	 	 	 	1432_14, 1433_13	 	 
Staphylococcus aureus M1578 (1158506.3)	 	 	 	 	 	 	 	 	440_14, 441_13	 	 
Staphylococcus aureus M2 (1233245.3)	 	 	298_4	 	 	 	 	 	1694_13, 1695_14	 	 
Staphylococcus aureus NN54 (1161392.3)	 	 	 	 	 	 	 	 	1990_13, 1991_14	 	 
Staphylococcus aureus O11 (948561.3)	 	 	365_4	 	 	 	 	 	1291_14, 1292_13	 	 
Staphylococcus aureus O46 (948563.3)	 	 	 	 	 	 	 	 	975_13, 976_14	 	 
Staphylococcus aureus PM1 (1147034.3)	 	 	370_4, 513_4	 	 	 	 	1861_12	2616_13, 2617_14	 	 
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	 	 	1777_4	 	 	 	 	 	594_14, 595_13	 	 
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	 	 	1839_4	 	 	 	 	 	581_14, 582_13	 	 
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	 	 	 	 	 	 	 	 	491_14, 492_13	 	 
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	 	 	1711_4	 	 	 	 	 	572_14, 573_13	 	 
Staphylococcus aureus RF122 (273036.3)	 	 	1565_4	 	 	 	 	2515_12	119_14, 120_13	 	 
Staphylococcus aureus ST228/10388 (1075076.3)	 	 	 	 	 	 	 	 	469_14, 470_13	 	 
Staphylococcus aureus ST228/10497 (1075077.3)	 	 	 	 	 	 	 	 	471_14, 472_13	 	 
Staphylococcus aureus ST228/15532 (1075078.3)	 	 	 	 	 	 	 	 	466_14, 467_13	 	 
Staphylococcus aureus ST228/16035 (1075079.3)	 	 	 	 	 	 	 	 	465_14, 466_13	 	 
Staphylococcus aureus ST228/18412 (1075082.3)	 	 	 	 	 	 	 	 	467_14, 468_13	 	 
Staphylococcus aureus VH221 (1278074.4)	 	 	56_4	 	 	 	 	 	701_13, 702_14	 	 
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	 	 	 	 	 	 	 	618_12	557_14, 558_13	 	 
