Organism	PyrAB	PyrB	PyrC	PyrDq	PyrDfum	PyrDnad	PyrE	PyrF	PyrH	Ndk	Adk	PyrG	ThiA
Bacillus cereus str. Schrouff (718221.3)	998_4, 999_1	996_5	997_6	 	 	1000_10, 1001_11	1003_13	1002_14	1062_15, 3202_15	3437_16	6264_17	4689_19	2814_20
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	2599_1, 2600_4	2602_5	2601_6	 	 	2597_11, 2598_10	2595_13	2596_14	2542_15	1269_16	126_17	3934_19	1677_20
Bacillus mycoides DSM 2048 (526997.3)	4005_4, 4006_1	4003_5	4004_6	 	 	4007_10, 4008_11	4010_13	4009_14	2147_15, 4068_15	1819_16	2374_17	5521_19	2437_20
Bacillus mycoides Rock1-4 (526998.3)	1876_4, 1877_1	1874_5	1875_6	 	 	1878_10, 1879_11	1881_13	1880_14	1714_15, 201_15	16_16	814_17	3329_19	574_20
Bacillus mycoides Rock3-17 (526999.3)	4659_1, 4660_4	4662_5	4661_6	 	 	4657_11, 4658_10	4655_13	4656_14	2777_15, 4593_15	2569_16	3175_17	415_19	3253_20
Bacillus thuringiensis HD-771 (1218175.3)	6101_4, 6102_1	6099_5	6100_6	 	 	6103_10, 6104_11	6106_13	6105_14	2348_15, 25_15	2635_16	4067_17	4361_19	1778_20
Bacillus thuringiensis HD-789 (1217737.3)	3563_1, 3564_4	3566_5	3565_6	 	 	3561_11, 3562_10	3559_13	3560_14	1303_15, 3502_15	1067_16	5367_17	5043_19	1703_20, 6239_20
Bacillus thuringiensis IBL 200 (527019.3)	5016_4, 5017_1	5014_5	5015_6	 	 	5018_10, 5019_11	5021_13	5020_14	5082_15	2562_16	2182_17	6721_19	3296_20
Bacillus thuringiensis IBL 4222 (527020.3)	1112_4, 1113_1	1110_5	1111_6	 	 	1114_10, 1115_11	1117_13	1116_14	5736_15, 981_15	5518_16	4412_17	4051_19	3725_20, 6274_20
Bacillus thuringiensis MC28 (1195464.3)	3165_1, 3166_4	3168_5	3167_6	 	 	3163_11, 3164_10	3161_13	3162_14	1008_15, 3104_15	766_16	4923_17	4649_19	1436_20
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	5306_4, 5307_1	5304_5	5305_6	 	 	5308_10, 5309_11	5311_13	5310_14	 	2715_16	3293_17	910_19	3417_20
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	5563_4, 5564_1	5561_5	5562_6	 	 	5565_10, 5566_11	5568_13	5567_14	5463_15	3160_16	2548_17	731_19	3829_20
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	4007_1, 4008_4	4010_5	4009_6	 	 	4005_11, 4006_10	4003_13	4004_14	3943_15	1488_16	128_17	5546_19	2219_20
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	3793_1, 3794_4	3796_5	3795_6	 	 	3791_11, 3792_10	3789_13, 659_13	3790_14	 	1619_16	126_17	5313_19	2274_20
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)	5256_4, 5257_1	5254_5	5255_6	 	 	5258_10, 5259_11	5261_13	5260_14	3135_15	2907_16	2560_17	625_19	3519_20
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)	3866_1, 3867_4	3869_5	3868_6	 	 	3864_11, 3865_10	3862_13, 563_13	3863_14	 	1469_16	128_17	5342_19	2125_20
Bacillus thuringiensis BMB171 (714359.3)	3808_1, 3809_4	3811_5	3810_6	 	 	3806_11, 3807_10	3804_13	3805_14	1709_15	1449_16	131_17	5275_19	2098_20
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)	4172_1, 4173_4	4175_5	4174_6	 	 	4170_11, 4171_10	4168_13	4169_14	1978_15	1740_16	131_17	5748_19	2476_20
Bacillus thuringiensis serovar kurstaki str. T03a001 (527023.3)	274_4, 275_1	272_5	273_6	 	 	276_10, 277_11	279_13	278_14	3944_15	3712_16	3011_17	1701_19	4311_20
Bacillus thuringiensis serovar monterrey BGSC 4AJ1 (527022.3)	6621_1, 6622_4	6624_5	6623_6	 	 	6619_11, 6620_10	6617_13	6618_14	 	4001_16	4455_17	1533_19	4723_20
Bacillus thuringiensis serovar pakistani str. T13001 (527027.3)	1032_1, 1033_4	1035_5	1034_6	 	 	1030_11, 1031_10	1028_13, 3012_13	1029_14	5146_15	4771_16	3328_17	2701_19	5586_20
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 (527029.3)	4715_1, 4716_4	4718_5	4717_6	 	 	4713_11, 4714_10	4711_13, 900_13	4712_14	 	2202_16	2939_17	6175_19	2882_20
Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 (527028.3)	5194_4, 5195_1	5192_5	5193_6	 	 	5196_10, 5197_11	5199_13	5198_14	2847_15	2616_16	2920_17	407_19	3349_20
Bacillus thuringiensis serovar thuringiensis str. IS5056 (1286404.3)	3979_1, 3980_4	3982_5	3981_6	 	 	3977_11, 3978_10	3975_13	3976_14	3916_15	1480_16	132_17	5503_19	2209_20
Bacillus thuringiensis serovar thuringiensis str. T01001 (527025.3)	5592_4, 5593_1	5590_5	5591_6	 	 	5594_10, 5595_11	5597_13	5596_14	5495_15	3165_16	2609_17	630_19	3809_20
Bacillus thuringiensis str. Al Hakam (412694.7)	3894_1, 3895_4	3897_5	3896_6	 	 	3892_11, 3893_10	3890_13	3891_14	1799_15	1570_16	208_17	5375_19	2244_20
Bacillus clausii KSM-K16 (66692.6)	2490_1, 2491_4, 2726_1, 2727_4	2493_5	2492_6	 	 	2488_11, 2489_10	2486_13	2487_14	 	2012_16	177_17	4135_19	3153_20
Bacillus endophyticus 2102 (1196029.3)	1271_4, 1272_1, 3363_1, 3364_4	1269_5	1270_6	 	1273_8, 1274_9	 	1276_13	1275_14	 	1199_16	3562_17	4301_19	2701_20
Bacillus fordii DSM 16014 (1121090.3)	2271_4, 2272_1, 4334_1, 4335_4	4337_5	4336_6	4612_7	 	 	4332_13	4333_14	 	2115_16	612_17	927_19	2176_20
Bacillus halodurans C-125 (272558.8)	2645_1, 2646_4, 3012_1, 3013_4	2648_5	2647_6	 	 	2643_11, 2644_10	2641_13	2642_14	 	1726_16	164_17	3947_19	3585_20
Bacillus megaterium DSM319 (592022.4)	4237_1, 4238_4, 592_4, 593_1	4240_5	4239_6	 	 	4235_11, 4236_10	4233_13	4234_14	 	4311_16	128_17	5143_19	4038_20
Bacillus megaterium NCT-2 (1138452.3)	3792_1, 3793_4, 587_4, 588_1	3795_5	3794_6	 	3790_9, 3791_8	 	3788_13	3789_14	 	3866_16	128_17	4706_19	3598_20
Bacillus megaterium WSH-002 (1006007.3)	1024_4, 1025_1, 4658_1, 4659_4	1022_5	1023_6, 4924_6	 	1026_8, 1027_9	 	1029_13	1028_14	 	950_16	5174_17	103_19	1227_20
Bacillus nealsonii AAU1 (1202533.3)	305_4, 306_1, 307_1, 4250_4, 4251_1	303_5	304_6, 4758_6	 	308_8, 309_9, 4756_8, 4757_9	 	311_13	310_14	 	2496_16	4194_17	1923_19	2602_20
Bacillus pseudofirmus OF4 (398511.4)	105_1, 106_4, 421_1, 422_4	108_5	107_6	 	 	103_11, 104_10	101_13	102_14	7_15	3018_16	1684_17	1361_19	970_20
Bacillus pumilus ATCC 7061 (536229.4)	367_1, 368_4, 780_1, 781_4	370_5	369_6	 	 	365_11, 366_10	363_13	364_14	266_15	2765_16	3516_17	2187_19	2858_20
Bacillus pumilus S-1 (1076692.3)	400_1, 401_4, 968_4, 969_1	966_5	967_6	 	971_9	970_10	973_13	972_14	3686_15	3229_16	1989_17	759_19	844_20
Bacillus amyloliquefaciens DSM7 (692420.6)	1284_4, 1285_1, 1747_4, 1748_1	1745_5	1746_6	 	 	1749_10, 1750_11	1752_13	1751_14	1850_15	2341_16	145_17	3822_19	2245_20
Bacillus amyloliquefaciens FZB42 (326423.5)	1098_4, 1099_1, 1540_4, 1541_1	1538_5	1539_6	 	 	1542_10, 1543_11	1545_13	1544_14	1644_15	2105_16	144_17	3485_19	2011_20
Bacillus atrophaeus 1013-1 (723888.3)	1189_4, 1190_1, 716_4, 717_1	1187_5	1188_6	 	 	1191_10, 1192_11	1194_13	1193_14	1289_15	2195_16	4283_17	2733_19	3584_20, 3833_20
Bacillus atrophaeus 1013-2 (723889.3)	2654_4, 2655_1, 755_1, 756_4	2652_5	2653_6	 	 	2656_10, 2657_11	2659_13	2658_14	2754_15	462_16	3694_17	1233_19	1662_20, 4200_20, 4201_20
Bacillus atrophaeus 1942 (720555.4)	1136_4, 1137_1, 1138_1, 665_4, 666_1	1134_5	1135_6	 	 	1139_10, 1140_11	1142_13	1141_14	1238_15	1870_16	3943_17	3361_19	1517_20, 1773_20
Bacillus atrophaeus ATCC 49822-1 (743710.3)	2621_4, 2622_1, 3554_4, 3555_1	2619_5	2620_6	 	 	2623_10, 2624_11	2626_13	2625_14	2721_15	1964_16	55_17	870_19	2186_20, 4205_20, 4206_20
Bacillus atrophaeus ATCC 49822-2 (743711.3)	1986_4, 1987_1, 331_1, 332_4	334_5	333_6	 	 	329_11, 330_10	327_13	328_14	232_15	1211_16	4253_17	2206_19	1309_20, 4121_20, 4122_20
Bacillus atrophaeus ATCC 9372-1 (903520.3)	1276_1, 1277_4, 1756_1, 1757_4	1279_5	1278_6	 	 	1274_11, 1275_10	1272_13	1273_14	1177_15	3100_16	3931_17	438_19	3003_20, 4047_20, 4048_20
Bacillus atrophaeus ATCC 9372-2 (723892.3)	3972_4, 3973_1, 510_1, 511_4	513_5	512_6	 	 	508_11, 509_10	506_13	507_14	411_15	1560_16	3502_17	166_19	2345_20, 3595_20, 3596_20
Bacillus atrophaeus BACI051-E (882455.3)	1483_1, 1484_4, 708_1, 709_4	1486_5	1485_6	 	 	1481_11, 1482_10	1479_13	1480_14	1384_15	616_16	1909_17	3083_19	3587_20, 3588_20, 3838_20
Bacillus atrophaeus BACI051-N (876283.3)	263_4, 264_1, 550_1, 551_4	261_5	262_6	 	 	265_10, 266_11	268_13	267_14	363_15	3953_16	4132_17	2782_19	2571_20, 3191_20, 3192_20
Bacillus atrophaeus C89 (334727.3)	2666_1, 2667_4, 4177_1, 4178_4	4180_5	4179_6	 	 	4175_11, 4176_10	4173_13	4174_14	4077_15	824_16	3410_17	1643_19	1164_20, 1165_20, 922_20
Bacillus atrophaeus Detrick-1 (720556.3)	1106_4, 1107_1, 1583_4, 1584_1	1581_5	1582_6	 	 	1585_10, 1586_11	1588_13	1587_14	1683_15	2231_16	170_17	656_19	2903_20, 2904_20, 4259_20
Bacillus atrophaeus Detrick-2 (720557.3)	1080_4, 1081_1, 3733_4, 3734_1	3731_5	3732_6	 	 	3735_10, 3736_11	3738_13	3737_14	3232_15	1987_16	1963_17	1568_19	121_20, 641_20, 642_20
Bacillus atrophaeus Detrick-3 (720558.3)	3235_1, 3236_4, 3709_1, 3710_4	3238_5	3237_6	 	 	3233_11, 3234_10	3231_13	3232_14	3135_15	257_16	1485_17	2229_19	4273_20, 4274_20, 784_20
Bacillus atrophaeus str. Dugway (882453.3)	2058_4, 2059_1, 3405_1, 3406_4	2056_5	2057_6	 	 	2060_10, 2061_11	2063_13	2062_14	3218_15	3780_16	3882_17	2693_19	3682_20, 4272_20, 4273_20
Bacillus sonorensis L12 (1274524.3)	2434_1, 2435_4, 862_4, 863_1	2437_5	2436_6	 	2432_9, 2433_8	 	2430_13	2431_14	 	403_16	4755_17	3773_19	1089_20, 4919_20
Bacillus subtilis subsp. natto BEST195 (645657.3)	2089_4, 2090_1, 2091_1, 2594_4, 2595_1	2592_5	2593_6	 	 	2596_10, 2597_11	2599_13	2598_14	2697_15	3190_16	143_17	594_19	2860_20
Bacillus subtilis subsp. spizizenii ATCC 6633 (703612.3)	1675_4, 1676_1, 3101_4, 3102_1	1673_5	1674_6	 	 	1677_10, 1678_11	1680_13	1679_14	1415_15	3552_16	3695_17	1903_19	1529_20, 44_20
Bacillus subtilis subsp. spizizenii DV1-B-1 (1051503.3)	1206_4, 1207_1, 1698_4, 1699_1	1696_5	1697_6	 	1700_8, 1701_9	 	1703_13	1702_14	1802_15	2228_16	130_17	3754_19	1900_20, 2134_20
Bacillus subtilis subsp. spizizenii str. W23 (655816.3)	1157_4, 1158_1, 1159_1, 1629_4, 1630_1	1627_5	1628_6	 	 	1631_10, 1632_11	1634_13	1633_14	1732_15	2271_16	142_17	3744_19	1850_20, 2176_20
Bacillus subtilis subsp. subtilis str. 168 (224308.113)	1154_4, 1155_1, 1606_4, 1607_1	1604_5	1605_6	 	 	1608_10, 1609_11	1611_13	1610_14	 	2348_16	137_17	3824_19	1826_20, 2255_20
Bacillus subtilis subsp. subtilis str. JH642 (535025.4)	2269_4, 2270_1, 2750_4, 2751_1	2748_5	2749_6	 	 	2752_10, 2753_11	2755_13	2754_14	2851_15	3486_16	140_17	820_19	2980_20, 3392_20
Bacillus subtilis subsp. subtilis str. NCIB 3610 (535026.3)	1202_4, 1203_1, 1684_4, 1685_1	1682_5	1683_6	 	 	1686_10, 1687_11	1689_13	1688_14	1786_15	2425_16	140_17	3964_19	1917_20, 2329_20
Bacillus subtilis subsp. subtilis str. SMY (535024.3)	181_4, 182_1, 662_4, 663_1	660_5	661_6	 	 	664_10, 665_11	667_13	666_14	764_15	1398_16	140_17	2937_19	1302_20, 893_20
Bacillus vallismortis DV1-F-3 (1051502.3)	1886_4, 1887_1, 235_1, 236_4	238_5	237_6	 	233_9, 234_8	 	231_13	232_14	 	3138_16	 	1409_19	298_20, 3427_20, 991_20
Lysinibacillus fusiformis ZB2 (1231627.3)	3401_4, 3402_1	3399_5	3400_6	 	 	3403_10, 3404_11	3406_13	3405_14	1690_15	1218_16, 1233_16	3951_17	2885_19	1915_20
Lysinibacillus fusiformis ZC1 (714961.3)	1508_4, 1509_1, 3269_4	1506_5	1507_6	 	1511_9	1510_10	1513_13	1512_14	378_15	4111_16	4496_17	3521_19	2828_20
Lysinibacillus sphaericus OT4b.31 (1285586.5)	1422_4, 1423_1	1420_5	1421_6	 	 	1424_10, 1425_11	1427_13	1426_14	1541_15	1878_16	3834_17	1009_19	2294_20
Gemella haemolysans M341 (562981.3)	853_1, 854_4	856_5	855_6	 	824_9	851_11, 852_10	849_13	850_14	283_15	 	1469_17	1045_19	190_20
Gemella moribillum M424 (562982.3)	1489_4, 1490_1	1487_5	1488_6	 	518_9	1492_10, 1493_11	1495_13	1494_14	 	 	1143_17	828_19	239_20
Gemella sanguinis M325 (562983.3)	1096_1, 1097_4	1099_5	1098_6	 	1041_9, 1093_9, 1094_8	 	1091_13	1092_14	 	 	1149_17	1414_19	1640_20
Listeria grayi DSM 20601 (525367.9)	1057_4, 1058_1	1055_5	1056_6	 	 	1059_10, 1060_11	1062_13	1061_14	590_15	1715_16	1807_17	2158_19	1772_20
Listeria monocytogenes serotype 1/2b str. SLCC2755 (1639.165)	1962_1, 1963_4	1965_5	1964_6	 	 	1960_11, 1961_10	1958_13	1959_14	 	2055_16	2703_17	2641_19	2001_20
Listeria monocytogenes serotype 7 str. SLCC2482 (1639.166)	1954_1, 1955_4	1957_5	1956_6	 	 	1952_11, 1953_10	1950_13	1951_14	 	2047_16	2686_17	2624_19	1993_20
Listeria monocytogenes 07PF0776 (1126011.4)	1866_1, 1867_4	1869_5	1868_6	 	 	1864_11, 1865_10	1862_13	1863_14	 	1960_16	2587_17	2534_19	1906_20
Listeria monocytogenes 08-5578 (653938.3)	2051_1, 2052_4	2054_5	2053_6	 	 	2049_11, 2050_10	2047_13	2048_14	 	2145_16	251_17	2779_19	2090_20
Listeria monocytogenes 08-5923 (637381.3)	2004_1, 2005_4	2007_5	2006_6	 	 	2002_11, 2003_10	2000_13	2001_14	 	2098_16	251_17	2730_19	2043_20
Listeria monocytogenes 10403S (393133.8)	1884_4, 1885_1	1882_5	1883_6	 	 	1886_10, 1887_11	1889_13	1888_14	 	1791_16	1275_17	1334_19	1846_20
Listeria monocytogenes ATCC 19117 (882095.3)	1857_1, 1858_4	1860_5	1859_6	 	 	1855_11, 1856_10	1853_13	1854_14	 	1952_16	2626_17	2573_19	1898_20
Listeria monocytogenes Aureli 1997 (401650.3)	1541_1, 1542_4	1544_5	1543_6	 	 	1539_11, 1540_10	1537_13	1538_14	 	1638_16	2685_17	2615_19	1581_20
Listeria monocytogenes Clip80459 (634178.4)	1865_1, 1866_4	1868_5	1867_6	 	 	1863_11, 1864_10	1861_13	1862_14	 	1960_16	2610_17	2554_19	1905_20
Listeria monocytogenes EGD-e (169963.11)	1880_1, 1881_4	1883_5	1882_6	 	 	1878_11, 1879_10	1876_13	1877_14	 	1975_16	2675_17	2621_19	1919_20
Listeria monocytogenes F6900 (393128.7)	1270_1, 1271_4	1273_5	1272_6	 	 	1268_11, 1269_10	1266_13	1267_14	 	1364_16	1792_17	2755_19	1309_20
Listeria monocytogenes FSL J1-194 (393117.11)	2644_4, 2645_1	2642_5	2643_6	 	 	2646_10, 2647_11	2649_13	2648_14	 	2096_16	1543_17	2868_19	2606_20
Listeria monocytogenes FSL N1-017 (393123.7)	1321_4, 1322_1	1319_5	1320_6	 	 	1323_10, 1324_11	1326_13	1325_14	 	333_16	22_17	990_19	1281_20
Listeria monocytogenes FSL N3-165 (393124.10)	2386_4, 2387_1	2384_5	2385_6	 	 	2388_10, 2389_11	2391_13	2390_14	 	382_16	2279_17	 	437_20
Listeria monocytogenes FSL R2-503 (393125.10)	1074_1, 1075_4	1077_5	1076_6	 	 	1072_11, 1073_10	1070_13	1071_14	 	1171_16	2626_17	2831_19	1115_20
Listeria monocytogenes FSL R2-561 (393126.4)	481_4, 482_1	479_5	480_6	 	 	483_10, 484_11	486_13	485_14	 	386_16	2776_17	2829_19	442_20
Listeria monocytogenes Finland 1988 (393127.4)	2091_1, 2092_4	2093_5_6	2093_5_6	 	 	2089_11, 2090_10	2087_13	2088_14	1902_15	2929_16	1236_17	2547_19	2258_20
Listeria monocytogenes HCC23 (552536.6)	715_4, 716_1	713_5	714_6	 	 	717_10, 718_11	720_13	719_14	 	621_16	2899_17	35_19	676_20
Listeria monocytogenes HPB2262 (401650.12)	1215_4, 2511_1	1213_5	1214_6	 	 	2509_11, 2510_10	2507_13	2508_14	 	1121_16	337_17	1420_19	1176_20
Listeria monocytogenes J0161 (393130.8)	1323_4, 1324_1	1321_5	1322_6	 	 	1325_10, 1326_11	1328_13	1327_14	 	1230_16	1793_17	2858_19	1285_20
Listeria monocytogenes J2818 (393131.7)	1269_1, 1270_4	1272_5	1271_6	 	 	1267_11, 1268_10	1265_13	1266_14	 	1363_16	1738_17	2689_19	1308_20
Listeria monocytogenes L312 (882094.3)	1847_1, 1848_4	1850_5	1849_6	 	 	1845_11, 1846_10	1843_13	1844_14	 	1941_16	2578_17	2524_19	1887_20
Listeria monocytogenes L99 (563174.3)	1946_1, 1948_4	1950_5	1949_6	 	 	1944_11, 1945_10	1942_13	1943_14	 	2043_16	2763_17	2636_19	1987_20
Listeria monocytogenes M7 (1030009.3)	1917_1, 1918_4	1920_5	1919_6	 	 	1915_11, 1916_10	1913_13	1914_14	 	2011_16	2712_17	2592_19	1956_20
Listeria monocytogenes SLCC2376 (882097.3)	1795_1, 1796_4	1798_5	1797_6	 	 	1793_11, 1794_10	1791_13	1792_14	 	1890_16	2505_17	2450_19	1835_20
Listeria monocytogenes SLCC2378 (879088.3)	1860_1, 1861_4	1863_5	1862_6	 	 	1858_11, 1859_10	1856_13	1857_14	 	1954_16	2621_17	2568_19	1900_20
Listeria monocytogenes SLCC2479 (882020.3)	1912_1, 1913_4	1915_5	1914_6	 	 	1910_11, 1911_10	1908_13	1909_14	 	2004_16	2690_17	2637_19	1950_20
Listeria monocytogenes SLCC2540 (879089.3)	1917_1, 1918_4	1920_5	1919_6	 	 	1915_11, 1916_10	1913_13	1914_14	 	2010_16	2654_17	2597_19	1956_20
Listeria monocytogenes SLCC5850 (882096.3)	1910_1, 1911_4	1913_5	1912_6	 	 	1908_11, 1909_10	1906_13	1907_14	 	2004_16	2644_17	2585_19	1950_20
Listeria monocytogenes SLCC7179 (879090.3)	1815_1, 1816_4	1818_5	1817_6	 	 	1813_11, 1814_10	1811_13	1812_14	 	1907_16, 1908_16	2597_17	2481_19	1853_20
Listeria monocytogenes serotype 1/2a str. NCCP No. 15743 (1293288.3)	1815_1, 1816_4	1818_5	1817_6	 	 	1813_11, 1814_10	1811_13	1812_14	 	1907_16	2537_17	2484_19	1853_20
Listeria monocytogenes serotype 1/2c str. SLCC2372 (932920.3)	1968_1, 1969_4	1971_5	1970_6	 	 	1966_11, 1967_10	1964_13	1965_14	 	2062_16	2750_17	2697_19	2008_20
Listeria monocytogenes serotype 4b str. LL195 (1230340.3)	1848_1, 1849_4	1851_5	1850_6	 	 	1846_11, 1847_10	1844_13	1845_14	 	1942_16	2570_17	2517_19	1888_20
Listeria monocytogenes str. 4b F2365 (265669.9)	1869_1, 1870_4	1872_5	1871_6	 	 	1867_11, 1868_10	1865_13	1866_14	 	1964_16	2604_17	2549_19	1909_20
Listeria monocytogenes str. Scott A (1027396.3)	1966_1, 1967_4	1969_5	1968_6	 	 	1964_11, 1965_10	1962_13	1963_14	 	2060_16	2745_17	2692_19	2006_20
Brevibacillus agri BAB-2500 (1246477.3)	1847_4, 1848_1, 3731_1, 3732_4	3734_5	3733_6	3415_7, 4992_7	 	 	3729_13	3730_14	 	2615_16	1270_17	719_19	2797_20
Brevibacillus borstelensis AK1 (1300222.3)	2340_1, 2341_4, 526_1, 527_4	529_5	528_6	4572_7	 	 	524_13	525_14	 	1281_16	4806_17	2489_19	2954_20
Brevibacillus brevis FJAT-0809-GLX (1129895.3)	3800_1, 3801_4, 4146_1, 4147_4	3803_5	3802_6	4847_7	 	 	3798_13	3799_14	4811_15	1530_16	4747_17	1697_19	5094_20
Brevibacillus brevis NBRC 100599 (358681.3)	3742_1, 3743_4, 5240_1, 5241_4	3745_5	3744_6	4877_12	 	 	3740_13	3741_14	 	2452_16	245_17	5427_19	4356_20
Paenibacillus alvei DSM 29 (1206781.3)	3521_4, 3522_1	3519_5	3520_6	2360_7	4806_8, 4807_9	 	3525_13	3524_14	 	2836_16, 2837_16	1400_17	2137_19	4770_20
Paenibacillus barengoltzii G22 (1235795.3)	925_4, 926_1	923_5	924_6	2211_7	1532_8, 1533_9	 	928_13	927_14	 	1219_16	58_17	4232_19	1508_20
Paenibacillus daejeonensis DSM 15491 (1122917.3)	5826_1, 5827_4	5348_5, 5829_5	5828_6	4946_7	 	 	5824_13	5825_14	 	3684_16, 4711_16	1237_17	3082_19	4345_20
Paenibacillus lactis 154 (743719.3)	2351_4, 2352_1	2349_5	2350_6	565_7	 	 	2354_13	2353_14	 	2677_16	5499_17	6087_19	2864_20
Ureibacillus thermosphaericus str. Thermo-BF (1160707.3)	719_1, 720_4	722_5	721_6	 	717_9, 718_8	 	715_13	716_14	 	211_16	2535_17	511_19	2254_20
Staphylococcus arlettae CVD059 (1212545.3)	2210_4, 2211_1	2208_5	2209_6	32_7	 	 	2213_13	2212_14	 	2497_16	481_17	1586_19	2463_20
Staphylococcus aureus 04-02981 (703339.3)	1176_4, 1177_1	1174_5	1175_6	2589_12	 	 	1179_13	1178_14	 	1451_16	2210_17	2107_19	1407_20
Staphylococcus aureus 08BA02176 (1229492.3)	1159_4, 1160_1	1157_5	1158_6	2453_7	 	 	1162_13	1161_14	 	1428_16	2096_17	1990_19	1388_20
Staphylococcus aureus 16K (908247.3)	1742_4, 1743_1	1740_5	1741_6	2265_12	 	 	1745_13	1744_14	 	1064_16	1262_17	733_19	1105_20
Staphylococcus aureus 3957 (1278071.4)	1769_4, 1770_1	1767_5	1768_6	1066_7	 	 	1772_13	1771_14	 	2097_16	239_17	356_19	2056_20
Staphylococcus aureus 930918-3 (452948.4)	862_4, 863_1	860_5	861_6	459_7	 	 	865_13	864_14	 	632_16	1119_17	1823_19	2518_20
Staphylococcus aureus A10102 (553601.3)	1123_4, 1124_1	1121_5	1122_6	739_12	 	 	1126_13	1125_14	 	1524_16	452_17	2420_19	1481_20
Staphylococcus aureus A5937 (553565.3)	1597_1, 1598_4	1600_5	1599_6	379_12	 	 	1595_13	1596_14	 	1321_16	2181_17	158_19	1367_20
Staphylococcus aureus A5948 (553567.3)	2007_4, 2008_1	2005_5	2006_6	1017_7	 	 	2010_13	2009_14	 	611_16	268_17	2670_19	565_20
Staphylococcus aureus A6224 (553568.3)	1791_1, 1792_4	1794_5	1793_6	1316_12	 	 	1789_13	1790_14	 	2088_16	2553_17	2453_19	1561_20
Staphylococcus aureus A6300 (553571.3)	2679_1, 2680_4	2682_5	2681_6	485_12	 	 	2677_13	2678_14	 	2405_16	1705_17	687_19	2448_20
Staphylococcus aureus A8115 (553573.3)	2398_4, 2399_1	2396_5	2397_6	982_12	 	 	2401_13	2400_14	 	2671_16	614_17	11_19	2628_20
Staphylococcus aureus A8117 (553574.3)	43_4, 44_1	41_5	42_6	2160_12	 	 	46_13	45_14	 	315_16	1012_17	2090_19	272_20
Staphylococcus aureus A8796 (553577.3)	2033_1, 2034_4	2036_5	2035_6	421_12	 	 	2031_13	2032_14	 	703_16	50_17	2114_19	660_20
Staphylococcus aureus A8819 (553580.3)	2280_4, 2281_1	2278_5	2279_6	422_12	 	 	2283_13	2282_14	 	2358_16	52_17	2201_19	1514_20
Staphylococcus aureus A9299 (553581.3)	1990_1, 1991_4	1993_5	1992_6	224_12	 	 	1988_13	1989_14	 	40_16	2671_17	659_19	767_20
Staphylococcus aureus A9635 (553583.3)	1272_1, 1273_4	1275_5	1274_6	2414_7	 	 	1270_13	1271_14	 	15_16	191_17	387_19	57_20
Staphylococcus aureus A9719 (553588.3)	44_1, 45_4	47_5	46_6	362_12	 	 	42_13	43_14	 	934_16	2760_17	2411_19	890_20
Staphylococcus aureus A9754 (553590.4)	253_4, 254_1	251_5	252_6	1760_7	 	 	256_13	255_14	 	489_16	827_17	2155_19	2792_20
Staphylococcus aureus A9765 (553594.3)	117_4, 118_1	115_5	116_6	1378_7	 	 	120_13	119_14	 	749_16	1109_17	1481_19	2625_20, 2833_20
Staphylococcus aureus A9781 (553596.3)	2676_1, 2677_4	2679_5	2678_6	1256_12	 	 	2674_13	2675_14	 	2403_16	1470_17	753_19	2446_20
Staphylococcus aureus B147830 (1157039.3)	1121_4, 1122_1	1119_5	1120_6	2539_12	 	 	1124_13	1123_14	 	1387_16	2181_17	2081_19	1347_20
Staphylococcus aureus B40723 (1157037.3)	1110_4, 1111_1	1108_5	1109_6	2516_12	 	 	1113_13	1112_14	 	1379_16	2158_17	2058_19	1338_20
Staphylococcus aureus B40950 (1157038.3)	1089_4, 1090_1	1087_5	1088_6	2482_12	 	 	1092_13	1091_14	 	1356_16	2123_17	2021_19	1315_20
Staphylococcus aureus B53639 (1157036.3)	1104_4, 1105_1	1102_5	1103_6	2511_12	 	 	1107_13	1106_14	 	1372_16	2153_17	2050_19	1330_20
Staphylococcus aureus CA-347 (1323661.3)	1088_4, 1089_1	1086_5	1087_6	2579_7	 	 	1091_13	1090_14	1147_15	1374_16	2222_17	2129_19	1334_20
Staphylococcus aureus CN79 (1242970.3)	1136_4, 1137_1	1134_5	1135_6	2552_12	 	 	1139_13	1138_14	 	1412_16	2223_17	2127_19	1371_20
Staphylococcus aureus D30 (455227.3)	155_1, 156_4	158_5	157_6	1203_7	 	 	153_13	154_14	 	990_16	447_17	1252_19	2560_20
Staphylococcus aureus HI010 (1156995.3)	1791_4, 1792_1	1789_5	1790_6	529_7	 	 	1794_13	1793_14	 	2067_16	165_17	65_19	2026_20
Staphylococcus aureus HI010B (1156997.3)	1147_4, 1148_1	1145_5	1146_6	2591_7	 	 	1150_13	1149_14	 	1424_16	2226_17	2127_19	1382_20
