Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Staphylococcus aureus subsp. aureus M013 (1118959.3)	1309_3, 493_1	421_8, 477_5	 	 	 	2494_15	334_18	 
Staphylococcus aureus subsp. aureus M1015 (585156.3)	55_1, 882_3	2009_8, 36_5	 	 	 	2301_15	 	 
Staphylococcus aureus subsp. aureus M809 (585157.3)	177_1, 833_3	100_8, 158_5	 	 	 	2300_15, 2301_15	 	 
Staphylococcus aureus subsp. aureus M876 (585158.3)	1029_1, 1849_3	1013_5, 198_8	 	 	 	675_15, 676_15	 	 
Staphylococcus aureus subsp. aureus M899 (585159.3)	1456_3, 643_1	570_8, 625_5	 	 	 	94_15, 95_15	 	 
Staphylococcus aureus subsp. aureus MN8 (548470.3)	1572_1, 429_3	2091_8, 2777_5	 	 	 	723_15, 724_15	 	 
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	879_3, 922_1	2289_8, 2586_5	 	 	 	1079_15	522_18	2152_19
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	122_1, 887_3	2171_5, 2224_8	 	 	 	2657_15	2304_18	 
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	2241_3, 2374_1	2340_8, 338_5	 	 	 	11_15	1562_18	 
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	1410_3, 541_1	465_8, 523_5	 	 	 	2730_15, 2731_15	 	 
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	1248_3, 479_1	410_8, 463_5	 	 	 	2444_15	334_18	 
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	1389_3, 508_1	437_8, 491_5	 	 	 	2609_15, 2610_15	 	 
Staphylococcus aureus subsp. aureus MW2 (196620.5)	1345_3, 512_1	442_8, 496_5	 	 	 	2624_15, 2625_15	 	 
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	1416_3, 531_1	462_8, 515_5	 	 	 	2670_15	 	 
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	1436_3, 534_1	463_8, 517_5	 	 	 	2714_15	 	 
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	1433_3, 533_1	463_8, 517_5	 	 	 	2704_15	 	 
Staphylococcus aureus subsp. aureus N315 (158879.11)	1323_3, 512_1	443_8, 496_5	 	 	 	2614_15	 	 
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	1279_3, 456_1	386_8, 440_5	 	 	 	2660_15, 2661_15	311_18	 
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	1009_3, 2150_1	2003_5, 759_8	 	 	 	830_15	1803_18	 
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	1841_3, 2239_1	251_8, 2637_5	 	 	 	2135_15	938_18	 
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	1302_3, 1419_1	1715_8, 873_5	 	 	 	1887_15	2068_18	 
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	1216_3, 446_1	377_8, 430_5	 	 	 	2396_15	307_18	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	1347_3, 2154_1	1635_8, 2223_5	 	 	 	1805_15	975_18	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	1362_3, 530_1	460_8, 514_5	 	 	 	2619_15	332_18	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	2094_1, 911_3	1845_8, 2406_5	 	 	 	252_15, 253_15	1758_18	 
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	1767_3, 2595_1	5_5, 59_8	 	 	 	556_15	130_18	 
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	12_1, 318_3	1387_8, 2680_5	 	 	 	1547_15, 1548_15	 	 
Staphylococcus aureus subsp. aureus TW20 (663951.4)	1490_3, 628_1	556_8, 610_5	 	 	 	2940_15, 2941_15	450_18	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	1354_3, 446_1	371_5, 79_8	 	 	 	1980_15	255_18	 
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	1412_3, 575_1	505_8, 559_5	 	 	 	2733_15, 2734_15	422_18	 
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	1416_3, 565_1	495_8, 549_5	 	 	 	2726_15, 2727_15	412_18	 
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	1237_3, 445_1	375_8, 429_5	 	 	 	2381_15	304_18	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	1953_3, 348_1, 349_1	1030_8, 580_5	 	 	 	2414_15	950_18	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	2201_1, 670_3	1189_8, 2256_5	 	 	 	1337_15	1498_18	351_19
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	1268_3, 460_1	389_8, 444_5	 	 	 	2487_15	 	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	1290_3, 492_1	422_8, 476_5	 	 	 	2579_15	 	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	1347_3, 512_1	442_8, 496_5	 	 	 	2536_15	 	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	1319_3, 511_1	441_8, 495_5	 	 	 	2506_15	 	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	1322_3, 455_1	385_8, 439_5	 	 	 	2439_15	 	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	1234_3, 447_1	377_8, 431_5	 	 	 	2400_15	 	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	1296_3, 458_1	387_8, 442_5	 	 	 	2497_15	 	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	1273_3, 463_1	393_8, 447_5	 	 	 	2464_15	 	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	1222_3, 440_1	369_8, 424_5	 	 	 	2475_15	 	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	1344_3, 492_1	421_8, 476_5	 	 	 	2522_15	 	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	1253_3, 463_1	393_8, 447_5	 	 	 	2375_15	 	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	1289_3, 487_1	416_8, 471_5	 	 	 	2558_15	 	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	52_1, 877_3	1970_8, 36_5	 	 	 	2444_15, 2445_15	1891_18	 
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	1618_3, 391_1	317_8, 373_5	 	 	 	2167_15, 2168_15	 	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	1438_3, 559_1	486_8, 541_5	 	 	 	2819_15, 2820_15	352_18	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	1057_1, 635_3	2356_5, 310_8	 	 	 	1808_15, 1809_15	2728_18	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	1423_3, 537_1	467_8, 521_5	 	 	 	2729_15, 2730_15	384_18	 
Staphylococcus capitis QN1 (1189311.3)	166_3, 1932_1	2371_5, 808_8	 	1175	1167_12	1168_15, 1169_14	875_18	 
Staphylococcus capitis SK14 (553212.3)	838_1, 953_3	1266_8, 2211_5	 	1952	1959_12	1957_14, 1958_15	1204_18	191_19
Staphylococcus capitis VCU116 (904334.4)	1664_1, 2137_3	1231_5, 232_8	 	769	776_12	774_14, 775_15	169_18	 
Staphylococcus caprae C87 (435838.3)	50_1, 876_3	1841_8, 34_5	 	2187	2194_12	2192_14, 2193_15	1756_18	1976_19
Staphylococcus epidermidis 12142587 (1235440.3)	139_3, 2078_1	1244_8, 2062_5	 	1430	1438_12	1436_14, 1437_15	 	883_19
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	1143_1, 2157_3	756_8, 950_5	 	1361	1368_12	1366_14, 1367_15	2095_18	 
Staphylococcus epidermidis 41tr (1294271.3)	1156_1, 1157_1, 1471_3	1835_5, 774_8	 	1308	1300_12	1301_15, 1302_14	 	1674_19
Staphylococcus epidermidis 528m (1294272.3)	1249_1, 1478_3	1687_5, 21_8	 	1021	1029_12	1027_14, 1028_15	 	1865_19
Staphylococcus epidermidis A487 (904143.3)	149_1, 916_3	133_5, 94_8	 	2015	2022_12	2020_14, 2021_15	28_18	1807_19
Staphylococcus epidermidis ATCC 12228 (176280.10)	1053_3, 267_1	2213_5, 2267_8	 	2123	2130_12	2128_14, 2129_15	 	1947_19
Staphylococcus epidermidis AU12-03 (1220510.3)	1179_1, 399_3	1823_8, 2264_5	 	1588	1595_12	1593_14, 1594_15	1874_18	 
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	1350_1, 1437_3	21_8, 2388_5	 	339	332_12	333_15, 334_14	 	 
Staphylococcus epidermidis BVS058A4 (883130.3)	1835_1, 689_3	1761_8, 2216_5	 	1364	1371_12	1369_14, 1370_15	 	1212_19
Staphylococcus epidermidis FRI909 (764544.3)	2245_1, 502_3	2134_8, 2299_5	 	1711	1718_13	1716_14, 1717_15	2191_18	 
Staphylococcus epidermidis M0881 (1213731.3)	871_3, 9_1	2365_8, 2420_5	 	1917	1924_12	1922_14, 1923_15	2313_18	 
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	1828_1, 239_3	1264_8, 2285_5	 	899	906_12	904_14, 905_15	1211_18	 
Staphylococcus epidermidis NIH04003 (1155132.3)	13_1, 781_3	2048_8, 2300_5	 	1595	1602_12	1600_14, 1601_15	1997_18	 
Staphylococcus epidermidis NIH04008 (979222.3)	1440_3, 150_1	2009_8, 2010_8, 2546_5	 	1147	1155_12	1153_14, 1154_15	2062_18	 
Staphylococcus epidermidis NIH05001 (979221.3)	1043_3, 2207_1	2005_8, 2220_5	 	1632	1639_12	1637_14, 1638_15	 	 
Staphylococcus epidermidis NIH05003 (1155133.3)	12_1, 776_3	1202_8, 2224_5	 	1588	1581_12	1582_15, 1583_14	1275_18	 
Staphylococcus epidermidis NIH05005 (979220.3)	416_1, 459_3	1402_8, 2064_5	 	1057	1064_12	1062_14, 1063_15	 	 
Staphylococcus epidermidis NIH051475 (1155130.3)	12_1, 821_3	2056_8, 2312_5	 	1665	1672_12	1670_14, 1671_15	2004_18	 
Staphylococcus epidermidis NIH051668 (1155131.3)	13_1, 818_3	2128_8, 2129_8, 2530_5	 	1681	1688_12	1686_14, 1687_15	2075_18	 
Staphylococcus epidermidis NIH06004 (1155134.3)	1628_1, 1717_3	2361_5, 857_8	 	399	406_12	404_14, 405_15	806_18	 
Staphylococcus epidermidis NIH08001 (1155135.3)	1242_1, 411_3	1275_8, 2351_5	 	1677	1670_12	1671_15, 1672_14	1327_18	 
Staphylococcus epidermidis NIHLM001 (979219.3)	2226_1, 826_3	2167_5, 770_8	 	591	598_12	596_14, 597_15	709_18	 
Staphylococcus epidermidis NIHLM003 (979218.3)	474_1, 669_3	2267_8, 2292_5	 	596	589_12	590_15, 591_14	1344_18	 
Staphylococcus epidermidis NIHLM008 (979217.3)	1192_1, 423_3	2007_8, 2161_5	 	1600	1607_12	1605_14, 1606_15	1955_18	 
Staphylococcus epidermidis NIHLM015 (979216.3)	12_1, 798_3	1440_5, 2289_8	 	1871	1878_12	1876_14, 1877_15	2213_18	 
Staphylococcus epidermidis NIHLM018 (979215.3)	1860_1, 2049_3	1746_8, 249_5	 	1048	1055_12	1053_14, 1054_15	 	 
Staphylococcus epidermidis NIHLM020 (979213.3)	365_1, 887_3	1112_8, 2051_5	 	1596	1603_12	1601_14, 1602_15	 	 
Staphylococcus epidermidis NIHLM021 (979212.3)	1562_3, 1840_1	1649_8, 2156_5	 	1189	1196_12	1194_14, 1195_15	 	 
Staphylococcus epidermidis NIHLM023 (979211.3)	2000_1, 644_3	1058_8, 2358_5	 	412	419_12	417_14, 418_15	1004_18	 
Staphylococcus epidermidis NIHLM031 (979214.3)	2316_1, 710_3	1547_8, 2363_5	 	1611	1620_12	1617_14, 1618_15, 1619_15	1469_18	 
Staphylococcus epidermidis NIHLM037 (979210.3)	1988_1, 918_3	1465_8, 2182_5	 	1403	1396_12	1397_15, 1398_14	1519_18	 
Staphylococcus epidermidis NIHLM039 (979209.3)	1533_1, 765_3	2330_8, 90_5	 	1939	1946_12	1944_14, 1945_15	2280_18	 
Staphylococcus epidermidis NIHLM040 (979208.3)	2326_1, 249_3	1019_8, 2271_5	 	70	77_12	75_14, 76_15	964_18	 
Staphylococcus epidermidis NIHLM049 (979207.3)	1300_3, 447_1	376_8, 430_5	 	2109	2116_12	2114_14, 2115_15	36_18	 
Staphylococcus epidermidis NIHLM053 (979206.3)	2289_3, 447_1	24_8, 975_5	 	1393, 459	1400_12	1398_14, 1399_15	1647_18	 
Staphylococcus epidermidis NIHLM057 (979205.3)	1463_3, 1844_1	1754_8, 2315_5	 	1204	1197_12	1198_15, 1199_14	1706_18	 
Staphylococcus epidermidis NIHLM061 (979204.3)	1253_4, 1537_1, 727_3	230_5, 2421_8	 	2011	2018_12	2016_14, 2017_15	2367_18	 
Staphylococcus epidermidis NIHLM067 (979203.3)	471_1, 664_3	1194_8, 2035_5	 	1616	1623_12	1621_14, 1622_15	 	 
Staphylococcus epidermidis NIHLM087 (979201.3)	2260_1, 747_3	2331_5, 970_8	 	1821	1814_12	1815_15, 1816_14	1026_18	 
Staphylococcus epidermidis NIHLM088 (979200.3)	2204_1, 719_3	1529_8, 2362_5	 	1718	1725_12	1723_14, 1724_15	1476_18	 
Staphylococcus epidermidis NIHLM095 (979199.3)	2079_1, 886_3	1425_8, 2323_5	 	1259	1252_12	1253_15, 1254_14	1369_18	 
Staphylococcus epidermidis RP62A (176279.9)	160_1, 945_3	143_5, 88_8	 	2127	 	2132_14, 2133_15	 	 
Staphylococcus epidermidis SK135 (596317.3)	1709_3, 543_1	149_8, 970_5	 	2393	2386_12	2387_15, 2388_14	200_18	 
Staphylococcus epidermidis UC7032 (1327991.3)	1876_1, 211_3	2269_5, 748_8	 	981	988_12	986_14, 987_15	1153_18	824_19
Staphylococcus epidermidis VCU028 (904317.3)	1619_1, 2223_3	1781_8, 2151_5	 	74	67_12	68_15, 69_14	 	 
Staphylococcus epidermidis VCU037 (904319.3)	2275_1, 388_3	1542_8, 1607_5	 	1377	1384_12	1382_14, 1383_15	1491_18	 
Staphylococcus epidermidis VCU041 (904320.3)	1786_3, 858_1	1728_8, 401_5	 	1132	1139_12	1137_14, 1138_15	1677_18	 
Staphylococcus epidermidis VCU045 (904321.3)	157_1, 673_3	290_5, 992_8	 	2249	2256_12	2254_14, 2255_15	1044_18	 
Staphylococcus epidermidis VCU065 (904324.3)	1074_3, 916_1	1587_5, 431_8	 	1966	1959_12	1960_15, 1961_14	 	 
Staphylococcus epidermidis VCU071 (904325.3)	1389_1, 555_3	215_8, 27_5	 	1160	1153_12	1154_15, 1155_14	819_18	 
Staphylococcus epidermidis VCU081 (904326.3)	1038_1, 293_3	1240_5, 1291_8	 	1930	1937_12	1935_14, 1936_15	 	 
Staphylococcus epidermidis VCU105 (904328.3)	1113_1, 1746_3	2138_8, 5_5	 	699	706_12	704_14, 705_15	1244_18	 
Staphylococcus epidermidis VCU107 (904329.3)	1449_1, 1737_3	176_5, 959_8	 	353	360_12	358_14, 359_15	446_18	 
Staphylococcus epidermidis VCU109 (904330.3)	1449_1, 1737_3	176_5, 959_8	 	353	360_12	358_14, 359_15	446_18	 
Staphylococcus epidermidis VCU116 (904334.3)	1666_1, 2138_3	1232_5, 232_8	 	769	776_12	774_14, 775_15	169_18	 
Staphylococcus epidermidis VCU117 (904335.3)	754_1, 796_3	1096_8, 195_5	 	1890	1897_12	1895_14, 1896_15	 	 
Staphylococcus epidermidis VCU118 (904336.3)	1115_3, 670_1	1355_5, 236_8	 	962	969_12	967_14, 968_15	1516_18	 
Staphylococcus epidermidis VCU120 (904337.3)	1515_1, 222_3	2315_8, 803_5	 	90	83_12	84_15, 85_14	 	 
Staphylococcus epidermidis VCU123 (904340.3)	1071_3, 743_1	116_5, 1430_8	 	1841	1848_12	1846_14, 1847_15	1377_18	 
Staphylococcus epidermidis VCU125 (904341.3)	1396_1, 239_3	447_5, 878_8	 	838	831_12	832_15, 833_14	929_18	 
Staphylococcus epidermidis VCU126 (904342.3)	224_3, 705_1	1232_5, 954_8	 	572	579_12	577_14, 578_15	 	 
Staphylococcus epidermidis VCU127 (904343.3)	1101_3, 1581_1	147_8, 411_5	 	558	565_12	563_14, 564_15	 	 
Staphylococcus epidermidis VCU128 (904344.3)	1042_1, 115_3	1249_5, 853_8	 	1431	1438_12	1436_14, 1437_15	909_18	 
Staphylococcus epidermidis VCU129 (904345.3)	1461_1, 199_3	161_5, 2068_8	 	66	73_12	71_14, 72_15	2015_18	 
Staphylococcus epidermidis VCU144 (904347.3)	711_1, 739_3	2050_5, 905_8	 	476	469_12	470_15, 471_14	 	 
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	12_1, 2305_3	2750_5, 705_8	 	1221	1213_12	1202_15, 1214_15, 1215_14	1207_18	 
Staphylococcus haemolyticus JCSC1435 (279808.8)	1492_3, 2434_1	2451_5, 2502_8	 	413	 	407_15, 408_14	 	 
Staphylococcus haemolyticus R1P1 (1134914.3)	1356_3, 2074_1	1695_8, 1852_5	 	266	 	260_15, 261_14	 	 
Staphylococcus hominis SK119 (629742.3)	1129_1, 1825_3	20_8, 2040_5	 	1343	1350_12	1348_14, 1349_15	56_18	 
Staphylococcus hominis VCU122 (904339.3)	1080_1, 1363_3, 645_1	334_8, 518_5	 	685	678_12	679_15, 680_14	370_18	 
Staphylococcus hominis subsp. hominis C80 (435837.3)	1112_1, 1498_3	2191_5, 24_8	 	383	376_12	377_15, 378_14	60_18	 
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	214_3, 920_1	2269_5, 787_8	 	1097	1104_12	1102_14, 1103_15	1370_18	 
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	2371_1, 491_3	2025_8, 2419_5	 	1012	1005_12	1006_15, 1007_14	1981_18	1232_19
Staphylococcus lugdunensis HKU09-01 (698737.3)	1428_3, 2305_1	2322_5, 2379_8	 	354	347_12	348_15, 349_14	2423_18	572_19
Staphylococcus lugdunensis M23590 (525377.3)	128_1, 426_3	2117_8, 2342_5	 	1683	1690_12	1688_14, 1689_15	2071_18	1470_19
Staphylococcus lugdunensis N920143 (1034809.4)	1471_3, 2265_1	2282_5, 2339_8	 	356	349_12	350_15, 351_14	2384_18	 
Staphylococcus pettenkoferi VCU012 (904314.5)	1126_3, 599_1	2187_5	 	1791	1798_12	1796_14, 1797_15, 1868_15	1864_18	 
Staphylococcus pseudintermedius ED99 (984892.3)	1290_3, 2124_1	2151_5, 2204_8	 	 	 	 	2325_18	 
Staphylococcus pseudintermedius HKU10-03 (937773.3)	1106_3, 202_1	114_8, 175_5	 	 	 	 	22_18	 
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	1357_3, 2218_1	2234_5, 256_8	 	2386	2394_12	2392_14, 2393_15, 2403_15	2399_18	246_19
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	1386_3, 1788_1	2400_5, 855_8	 	836	830_12	831_15, 832_14	790_18	250_19
Staphylococcus vitulinus F1028 (1167632.5)	446_1, 735_3	2353_8, 656_5	 	1321	1329_12	1327_14, 1328_15	1651_18	1371_19
Staphylococcus warneri L37603 (596319.3)	1110_1, 1265_3	1366_8, 1651_5	 	1973	1966_12	1967_15, 1968_14	1436_18	253_19
Staphylococcus warneri SG1 (1194526.3)	1326_3, 2136_1	2152_5, 2213_8	 	267	260_12	261_15, 262_14	2279_18	474_19
Staphylococcus xylosus NJ (1262650.3)	1071_1, 2464_3	1855_8, 33_5	 	1623	1631_12	1629_14, 1630_15, 1639_15	1635_18	1876_19
Abiotrophia defectiva ATCC 49176 (592010.4)	987_1	850_5	 	 	 	 	 	 
Aerococcus viridans ATCC 11563 (655812.3)	697_1, 749_4	322_5, 698_5, 859_5	 	 	 	 	 	 
Aerococcus viridans LL1 (1175629.3)	1526_1, 461_1, 929_4	1527_5, 209_5	 	 	 	 	 	 
Granulicatella adiacens ATCC 49175 (638301.3)	1648_1, 973_4	703_5	 	 	 	 	 	 
Granulicatella elegans ATCC 700633 (626369.3)	1525_1	1122_5	 	 	 	 	 	 
Enterococcus asini ATCC 700915 (1158606.4)	1281_3, 1930_4, 769_1	2312_5	 	 	 	 	 	 
Enterococcus avium ATCC 14025 (1140002.4)	1596_3, 165_1	1112_5, 3725_5, 4435_8	 	 	 	 	1516_18	 
Enterococcus caccae ATCC BAA-1240 (1158612.4)	1788_4, 2435_1, 818_3	927_5	 	 	 	 	 	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	145_3, 1631_1	1127_8, 1902_5	 	 	 	 	3_18	 
Enterococcus casseliflavus EC10 (565654.4)	1717_1, 2059_3	244_8, 463_5	 	 	 	 	 	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	1050_3, 208_1	2035_5	 	 	 	 	 	 
Enterococcus dispar ATCC 51266 (1139219.4)	1854_1, 2256_3	1196_8, 423_5	 	 	 	 	 	 
Enterococcus durans ATCC 6056 (1140001.4)	1067_3, 2781_1	1060_8, 2391_5	 	 	 	 	1705_18	 
Enterococcus durans FB129-CNAB-4 (883162.3)	2167_3, 2450_1, 2470_2	2160_8, 76_5	 	 	 	 	 	 
Enterococcus durans IPLA 655 (1288492.4)	1914_3, 926_1	1921_8, 470_5	 	 	 	 	953_18	 
Enterococcus faecalis 12030 (1169282.3)	1551_3, 84_1	1926_5, 288_8	 	 	 	 	552_18	 
Enterococcus faecalis 12107 (1158664.3)	112_1, 981_3	1357_5, 315_8	 	 	 	 	2318_18, 2647_18	 
Enterococcus faecalis 1448E03 (1151193.3)	1085_3, 90_1	1455_5, 308_8	 	 	 	 	2388_18, 2719_18	 
Enterococcus faecalis 182970 (1151194.3)	2600_1, 702_3	2114_8, 329_5	 	 	 	 	2480_18	 
Enterococcus faecalis 19116 (1151195.3)	1745_3, 2746_1	2117_5, 963_8	 	 	 	 	2191_18, 2586_18	 
Enterococcus faecalis 2630V05 (1151196.3)	129_3, 2251_1	1544_8, 500_5	 	 	 	 	2758_18	 
Enterococcus faecalis 2924 (1151197.3)	118_1, 954_3	1326_5, 302_8	 	 	 	 	2415_18	 
Enterococcus faecalis 5952 (1158670.3)	1107_3, 95_1	1487_5, 274_8	 	 	 	 	2911_18	 
Enterococcus faecalis 599 (1134784.3)	546_3, 662_1	1688_8, 2082_5	 	 	 	 	218_18	 
Enterococcus faecalis 599951 (1169281.3)	1599_3, 84_1	1976_5, 327_8	 	 	 	 	531_18	 
Enterococcus faecalis 62 (936153.3)	1528_3, 425_1	1908_5, 650_8	 	 	 	 	337_18	 
Enterococcus faecalis 7330082-2 (1151198.3)	108_3, 2664_1	485_5, 862_8	 	 	 	 	2128_18, 2786_18	 
Enterococcus faecalis 7330112-3 (1151199.3)	1736_3, 2628_1	1365_5, 2518_8	 	 	 	 	3_18, 336_18	 
Enterococcus faecalis 7330245-2 (1151200.3)	1203_3, 84_1	1589_5, 268_8	 	 	 	 	2539_18	 
Enterococcus faecalis 7330257-1 (1151201.3)	2644_1, 81_3	2135_8, 450_5	 	 	 	 	2159_18, 2554_18	 
Enterococcus faecalis 7330259-5 (1151202.3)	2521_1, 82_3	2630_8, 451_5	 	 	 	 	1438_18, 1832_18	 
Enterococcus faecalis 7330948-5 (1151204.3)	2538_1, 81_3	1419_8, 452_5	 	 	 	 	2445_18, 2695_18	 
Enterococcus faecalis 7430275-3 (1151205.3)	1362_3, 2653_1	2141_8, 992_5	 	 	 	 	2164_18, 2494_18	 
Enterococcus faecalis 7430315-3 (1151206.3)	1273_3, 1698_1	1502_8, 907_5	 	 	 	 	1784_18	 
Enterococcus faecalis 7430416-3 (1151207.3)	1044_3, 90_1	1415_5, 267_8	 	 	 	 	2350_18, 2732_18	 
Enterococcus faecalis 7430821-4 (1151208.3)	1382_3, 2472_1	1009_5, 2581_8	 	 	 	 	1982_18, 2313_18	 
Enterococcus faecalis 79-3 (1169283.3)	1567_3, 84_1	1945_5, 355_8	 	 	 	 	582_18	 
Enterococcus faecalis A-2-1 (1169245.3)	104_1, 1072_3	1450_5, 291_8	 	 	 	 	2547_18, 2887_18	 
Enterococcus faecalis A-3-1 (1169246.3)	1129_3, 61_1	1507_5, 262_8	 	 	 	 	2500_18, 2945_18	 
Enterococcus faecalis AR01/DG (565651.6)	1152_2, 1506_1, 2329_3	165_5, 1677_8	 	 	 	 	1420_18	 
Enterococcus faecalis ATCC 10100 (1169312.3)	1135_3, 84_1	1517_5, 282_8	 	 	 	 	2487_18, 2880_18	 
Enterococcus faecalis ATCC 19433 (1169286.3)	1000_3, 91_1	1380_5, 278_8	 	 	 	 	2428_18	 
Enterococcus faecalis ATCC 27275 (1158675.3)	1111_3, 83_1	1489_5, 280_8	 	 	 	 	2454_18, 2849_18	 
Enterococcus faecalis ATCC 27959 (1158676.3)	2628_1, 787_3	1162_5, 20_8	 	 	 	 	2097_18, 2543_18	 
Enterococcus faecalis ATCC 29200 (525271.4)	2476_1, 857_3	1356_8, 438_5	 	 	 	 	1997_18, 2126_18	 
Enterococcus faecalis ATCC 29212 (1201292.3)	2638_1, 63_3, 64_3	321_5, 322_5, 3284_8	 	 	 	 	1588_18	 
Enterococcus faecalis ATCC 35038 (1169290.3)	102_1, 979_3	1398_5, 350_8	 	 	 	 	2008_18, 2009_18, 2806_18	 
Enterococcus faecalis ATCC 4200 (565642.4)	1801_1, 2568_3	2014_5, 581_8	 	 	 	 	1297_18	 
Enterococcus faecalis ATCC 6055 (1169311.3)	1000_3, 86_1	1384_5, 335_8	 	 	 	 	2892_18	 
Enterococcus faecalis B-4-111 (1169302.3)	1350_3, 510_1	1757_5, 697_8	 	 	 	 	423_18	 
Enterococcus faecalis B1005 (1157378.3)	1227_3, 86_1	1659_5, 290_8	 	 	 	 	 	 
Enterococcus faecalis B1138 (1157379.3)	2710_1, 625_3	1057_5, 2900_8	 	 	 	 	 	 
Enterococcus faecalis B1249 (1157380.3)	1404_3, 395_1	1836_5, 586_8	 	 	 	 	 	 
Enterococcus faecalis B1290 (1151209.3)	2658_1, 79_3	2850_8, 511_5	 	 	 	 	 	 
Enterococcus faecalis B1327 (1151210.3)	2924_1, 838_3	1270_5, 20_8	 	 	 	 	 	 
Enterococcus faecalis B1376 (1151211.3)	3015_1, 80_3	1671_8, 512_5	 	 	 	 	 	 
Enterococcus faecalis B1385 (1151212.3)	2001_3, 2927_1	1569_5, 2822_8	 	 	 	 	 	 
Enterococcus faecalis B1441 (1157342.3)	1100_3, 86_1	1532_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B1505 (1157343.3)	1082_3, 87_1	1515_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B1532 (1157344.3)	1094_3, 86_1	1526_5, 277_8	 	 	 	 	 	 
Enterococcus faecalis B15725 (1151186.3)	2651_1, 810_3	1253_5, 3091_8	 	 	 	 	 	 
Enterococcus faecalis B1586 (1157345.3)	1121_1, 2129_3	1314_8, 2562_5	 	 	 	 	 	 
Enterococcus faecalis B1618 (1157346.3)	1099_3, 86_1	1532_5, 277_8	 	 	 	 	 	 
Enterococcus faecalis B1623 (1157347.3)	1531_3, 513_1	1963_5, 709_8	 	 	 	 	 	 
Enterococcus faecalis B16457 (1151187.3)	1888_3, 2707_1	1516_5, 2602_8	 	 	 	 	3_18	 
Enterococcus faecalis B1678 (1157348.3)	1090_3, 85_1	1522_5, 276_8	 	 	 	 	 	 
Enterococcus faecalis B1696 (1157349.3)	1083_3, 86_1	1515_5, 280_8	 	 	 	 	 	 
Enterococcus faecalis B1719 (1157350.3)	1113_3, 86_1	1546_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B1734 (1157351.3)	1101_3, 86_1	1533_5, 279_8	 	 	 	 	 	 
