Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Staphylococcus aureus subsp. aureus C160 (585150.3)	 	 	1564_10, 1565_9, 1566_11, 1567_12	 	1593, 1594	 
Staphylococcus aureus subsp. aureus C427 (585151.3)	 	 	594_10, 595_9, 596_11, 597_12	 	622, 623	 
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)	 	 	587_12, 588_11, 589_9, 590_10	 	2414, 2415	 
Staphylococcus aureus subsp. aureus CGS00 (543538.3)	 	 	1915_10, 1916_9, 1917_11, 1918_12	 	1943, 1944	 
Staphylococcus aureus subsp. aureus CGS01 (543539.3)	 	 	1196_12, 1197_11, 1198_9, 1199_10	 	1171_19, 1172	 
Staphylococcus aureus subsp. aureus CGS03 (543540.3)	 	 	726_12, 727_11, 728_9, 729_10	 	699, 700	 
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)	 	 	1546_10, 1547_9, 1548_11, 1549_12	 	1574, 1575	 
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)	 	 	1532_10, 1533_9, 1534_11, 1535_12	 	1560, 1561	 
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)	 	 	1545_10, 1546_9, 1547_11, 1548_12	 	1572, 1573_19	 
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)	 	 	1560_10, 1561_9, 1562_11, 1563_12	 	1588, 1589	 
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)	 	 	1508_10, 1509_9, 1510_11, 1511_12	 	1536, 1537	 
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)	 	 	1628_10, 1629_9, 1630_11, 1631_12	 	1656, 1657	 
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)	 	 	1551_10, 1552_9, 1553_11, 1554_12	 	1579, 1580	 
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)	 	 	1503_10, 1504_9, 1505_11, 1506_12	 	1531, 1532	 
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)	 	 	1586_10, 1587_9, 1588_11, 1589_12	 	1614, 1615	 
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)	 	 	1000_11, 1001_12, 998_10, 999_9	 	1026, 1027	 
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)	 	 	1535_10, 1536_9, 1537_11, 1538_12	 	1563, 1564	 
Staphylococcus aureus subsp. aureus CIG149 (931453.3)	 	 	1605_10, 1606_9, 1607_11, 1608_12	 	1633_17, 1634	 
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)	 	 	1636_10, 1637_9, 1638_11, 1639_12	 	1664, 1665	 
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)	 	 	1447_10, 1448_9, 1449_11, 1450_12	 	1475, 1476_19	 
Staphylococcus aureus subsp. aureus CIG1605 (931438.3)	 	 	1555_10, 1556_9, 1557_11, 1558_12	 	1583, 1584	 
Staphylococcus aureus subsp. aureus CIG1612 (931448.3)	 	 	1574_10, 1575_9, 1576_11, 1577_12	 	1601, 1602_19	 
Staphylococcus aureus subsp. aureus CIG1750 (931439.3)	 	 	1438_10, 1439_9, 1440_11, 1441_12	 	1466, 1467	 
Staphylococcus aureus subsp. aureus CIG1769 (931440.3)	 	 	1655_10, 1656_9, 1657_11, 1658_12	 	1683, 1684	 
Staphylococcus aureus subsp. aureus CIG1770 (931449.3)	 	 	1550_10, 1551_9, 1552_11, 1553_12	 	1577, 1578_19	 
Staphylococcus aureus subsp. aureus CIG1835 (931441.3)	 	 	1139_10, 1140_9, 1141_11, 1142_12	 	1166_17, 1167	 
Staphylococcus aureus subsp. aureus CIG2018 (931450.3)	 	 	1327_10, 1328_9, 1329_11, 1330_12	 	1354, 1355_19	 
Staphylococcus aureus subsp. aureus CIG290 (931451.3)	 	 	1533_10, 1534_9, 1535_11, 1536_12	 	1562, 1563_19	 
Staphylococcus aureus subsp. aureus CIG547 (931442.3)	 	 	1662_10, 1663_9, 1664_11, 1665_12	 	1689, 1690_19	 
Staphylococcus aureus subsp. aureus CIGC128 (931459.3)	 	 	1409_10, 1410_9, 1411_11, 1412_12	 	1436, 1437	 
Staphylococcus aureus subsp. aureus CIGC340D (931455.3)	 	 	1436_10, 1437_9, 1438_11, 1439_12	 	1465_17, 1466	 
Staphylococcus aureus subsp. aureus CIGC341D (931456.3)	 	 	1596_10, 1597_9, 1598_11, 1599_12	 	1624, 1625	 
Staphylococcus aureus subsp. aureus CIGC345D (931457.3)	 	 	1472_10, 1473_9, 1474_11, 1475_12	 	1499, 1500_19	 
Staphylococcus aureus subsp. aureus CIGC348 (931458.3)	 	 	1657_10, 1658_9, 1659_11, 1660_12	 	1685, 1686	 
Staphylococcus aureus subsp. aureus CIGC93 (931460.3)	 	 	1100_10, 1101_9, 1102_11, 1103_12	 	1127, 1128_19	 
Staphylococcus aureus subsp. aureus CM05 (1134842.3)	 	 	2590_12, 2591_11, 2592_9, 2593_10	 	2564, 2565	 
Staphylococcus aureus subsp. aureus COL (93062.4)	 	 	1235_10, 1236_9, 1237_11, 1238_12	 	1364, 1365_19	 
Staphylococcus aureus subsp. aureus D139 (585152.3)	 	 	906_10, 907_9, 908_11, 909_12	 	934_17, 935_19	 
Staphylococcus aureus subsp. aureus DSM 20231 (1241616.3)	 	 	518_10, 519_9, 520_11, 521_12	 	545, 546_19	 
Staphylococcus aureus subsp. aureus E1410 (585153.3)	 	 	1565_10, 1566_9, 1567_11, 1568_12	 	1594, 1595	 
Staphylococcus aureus subsp. aureus ECT-R 2 (889933.4)	 	 	891_10, 892_9, 893_11, 894_12	 	919, 920	 
Staphylococcus aureus subsp. aureus ED133 (685039.3)	 	 	1038_10, 1039_9, 1040_9, 1041_11, 1042_12	 	1067_17, 1068	 
Staphylococcus aureus subsp. aureus ED98 (681288.4)	 	 	1026_10, 1027_9, 1028_11, 1029_12	 	1055, 1056_19	 
Staphylococcus aureus subsp. aureus EMRSA16 (585154.3)	 	 	974_10, 975_9, 976_11, 977_12	 	1003, 1004	 
Staphylococcus aureus subsp. aureus GR1 (1144272.3)	 	 	610_10, 611_9, 612_11, 613_12	 	637, 638	 
Staphylococcus aureus subsp. aureus H19 (585155.3)	 	 	2328_10, 2329_9, 2330_11, 2331_12	 	2358_17, 2359_19	 
Staphylococcus aureus subsp. aureus H29 (1258575.3)	 	 	79_10, 80_9, 81_11, 82_12	 	417, 418	 
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)	 	 	903_10, 904_9, 905_11, 906_12	 	931_17, 932	 
Staphylococcus aureus subsp. aureus IS-105 (904781.3)	 	 	726_12, 727_11, 728_9, 729_10	 	1005, 1006	 
Staphylococcus aureus subsp. aureus IS-111 (904782.3)	 	 	2345_10, 2346_9, 2347_11, 2348_12	 	2386, 2387_19	 
Staphylococcus aureus subsp. aureus IS-122 (904783.3)	 	 	1689_10, 1690_9, 1691_11, 1692_12	 	1717_17, 1718	 
Staphylococcus aureus subsp. aureus IS-189 (904787.3)	 	 	1817_12, 1818_11, 1819_9, 1820_10	 	1790_19, 1791	 
Staphylococcus aureus subsp. aureus IS-250 (904789.3)	 	 	1971_12, 1972_11, 1973_9, 1974_10	 	1945_19, 1946_17	 
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	 	 	1921_12, 1922_11, 1923_9, 1924_10	 	1895, 1896	 
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	 	 	18_12, 19_11, 20_9, 21_10	 	77_17, 78_19	 
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	 	 	1442_12, 1443_11, 1444_9, 1445_10	 	1417_19, 1418	 
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	 	 	2257_12, 2258_11, 2259_9, 2260_10	 	1123, 1124	 
Staphylococcus aureus subsp. aureus IS-K (904791.3)	 	 	2203_10, 2204_9, 2205_11, 2206_12	 	2231, 2232_19	 
Staphylococcus aureus subsp. aureus JH1 (359787.11)	 	 	1170_10, 1171_9, 1172_11, 1173_12	 	1200, 1201	 
Staphylococcus aureus subsp. aureus JH9 (359786.13)	 	 	1189_10, 1190_9, 1191_11, 1192_12	 	1218, 1219	 
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	 	 	962_10, 963_9, 964_9, 965_11, 966_12	 	994, 995_19	 
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	 	 	462_10, 463_9, 464_11, 465_12	 	490_17, 491_19, 492_19	 
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	 	 	977_10, 978_9, 979_11, 980_12	 	1004, 1005	 
Staphylococcus aureus subsp. aureus M013 (1118959.3)	 	 	961_10, 962_9, 963_11, 964_12	 	990, 991_19	 
Staphylococcus aureus subsp. aureus M1015 (585156.3)	 	 	524_10, 525_9, 526_11, 527_12	 	552, 553	 
Staphylococcus aureus subsp. aureus M809 (585157.3)	 	 	645_10, 646_9, 647_11, 648_12	 	674, 675	 
Staphylococcus aureus subsp. aureus M876 (585158.3)	 	 	1493_10, 1494_9, 1495_11, 1496_12	 	1521, 1522	 
Staphylococcus aureus subsp. aureus M899 (585159.3)	 	 	1108_10, 1109_9, 1110_11, 1111_12	 	1135, 1136	 
Staphylococcus aureus subsp. aureus MN8 (548470.3)	 	 	2583_11, 2584_9, 2585_10, 2815_12	 	284, 285_17	 
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	 	 	1450_10, 1451_9, 1452_11, 1453_12	 	1478, 1479_19	 
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	 	 	705_12, 706_11, 707_9, 708_10	 	680_19, 681	 
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	 	 	1332_12, 1333_11, 1334_9, 1335_10	 	1307_19, 1308	 
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	 	 	1029_10, 1030_9, 1031_11, 1032_12	 	1058, 1059	 
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	 	 	913_10, 914_9, 915_11, 916_12	 	940_17, 941_19	 
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	 	 	1029_10, 1030_9, 1031_11, 1032_12	 	1057, 1058	 
Staphylococcus aureus subsp. aureus MW2 (196620.5)	 	 	986_10, 987_9, 988_11, 989_12	 	1014_17, 1015	 
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	 	 	1067_10, 1068_9, 1069_11, 1070_12	 	1095, 1096	 
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	 	 	1084_10, 1085_9, 1086_11, 1087_12	 	1113, 1114	 
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	 	 	1081_10, 1082_9, 1083_11, 1084_12	 	1110, 1111	 
Staphylococcus aureus subsp. aureus N315 (158879.11)	 	 	972_10, 973_9, 974_11, 975_12	 	1001, 1002	 
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	 	 	917_10, 918_9, 919_11, 920_12	 	944, 945_19	 
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	 	 	2263_12, 2264_11, 2265_9, 2266_10	 	2238_19, 2239	 
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	 	 	678_12, 679_11, 680_9, 681_10	 	653_19, 654	 
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	 	 	980_10, 981_9, 982_11, 983_12	 	1007, 1008_19	 
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	 	 	873_10, 874_9, 875_11, 876_12	 	901, 902_19	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	 	 	595_12, 596_11, 597_9, 598_10	 	569_19, 570	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	 	 	1015_10, 1016_9, 1017_11, 1018_12	 	1042, 1043_19	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	 	 	1255_12, 1256_11, 1257_9, 1258_10	 	1229_19, 1230_17	 
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	 	 	2122_12, 2123_11, 2124_9, 2125_10	 	2096, 2097	 
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	 	 	1289_10, 1290_9, 1291_11, 1292_12	 	1317_17, 1318	 
Staphylococcus aureus subsp. aureus TW20 (663951.4)	 	 	1119_10, 1120_9, 1121_9, 1122_11, 1123_12	 	1148, 1149_19	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	 	 	1525_10, 1526_9, 1690_11, 1691_12	 	1863, 1864_19	 
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	 	 	1053_10, 1054_9, 1055_11, 1056_12	 	1080, 1081_19	 
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	 	 	1057_10, 1058_9, 1059_11, 1060_12	 	1084, 1085_19	 
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	 	 	885_10, 886_9, 887_11, 888_12	 	912, 913_19	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	 	 	1240_10, 1241_9, 1242_11, 1243_12	 	1631, 1632_19	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	 	 	917_10, 918_9, 919_11, 920_12	 	944_17, 945	 
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	 	 	924_10, 925_9, 926_11, 927_12	 	953, 954	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	 	 	934_10, 935_9, 936_11, 937_12	 	962, 963	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	 	 	1003_10, 1004_9, 1005_11, 1006_12	 	1031, 1032	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	 	 	972_10, 973_9, 974_11, 975_12	 	1000, 1001	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	 	 	921_10, 922_9, 923_11, 924_12	 	949, 950	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	 	 	891_10, 892_9, 893_11, 894_12	 	919, 920	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	 	 	954_10, 955_9, 956_11, 957_12	 	982, 983	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	 	 	922_10, 923_9, 924_11, 925_12	 	950, 951	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	 	 	881_10, 882_9, 883_11, 884_12	 	909, 910	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	 	 	991_10, 992_9, 993_11, 994_12	 	1019, 1020	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	 	 	905_10, 906_9, 907_11, 908_12	 	933, 934	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	 	 	945_10, 946_9, 947_11, 948_12	 	974, 975	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	 	 	520_10, 521_9, 522_11, 523_12	 	549, 550	 
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	 	 	725_10, 726_9, 727_11, 728_12	 	752, 753	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	 	 	1069_10, 1070_9, 1071_9, 1072_11, 1073_12	 	1098, 1099_19	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	 	 	2023_10, 2024_9, 2025_11, 2026_12	 	2511, 2512_19	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	 	 	1001_10, 1002_9, 1003_11, 1004_12	 	1028, 1029_19	 
Staphylococcus capitis QN1 (1189311.3)	 	 	2101_12, 2102_11, 2103_9, 2104_10	 	2075_19, 2076_17	 
Staphylococcus capitis SK14 (553212.3)	 	 	1669_12, 1670_11, 1671_9, 1672_10	 	1643_19, 1644_17	 
Staphylococcus capitis VCU116 (904334.4)	 	 	1921_12, 1922_11, 1923_9, 1924_10	 	1895_19, 1896_17	 
Staphylococcus caprae C87 (435838.3)	 	 	550_10, 551_9, 552_11, 553_12	 	578_17, 579_19	 
Staphylococcus epidermidis 12142587 (1235440.3)	 	 	1541_12, 1542_11, 1543_9, 1544_10	 	1512_19, 1513_17	 
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	 	 	659_10, 660_9, 661_11, 662_12	 	688_17, 689_19	 
Staphylococcus epidermidis 41tr (1294271.3)	 	 	893_12, 894_11, 895_9, 896_10	 	866_19, 867	 
Staphylococcus epidermidis 528m (1294272.3)	 	 	323_12, 324_11, 325_9, 326_10	 	295_19, 296	 
Staphylococcus epidermidis A487 (904143.3)	 	 	613_10, 614_9, 615_11, 616_12	 	641_17, 642_19	 
Staphylococcus epidermidis ATCC 12228 (176280.10)	 	 	728_10, 729_9, 730_11, 731_12	 	756_17, 757_19	 
Staphylococcus epidermidis AU12-03 (1220510.3)	 	 	713_12, 714_11, 715_9, 716_10	 	687_19, 688	 
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	 	 	1060_10, 1061_9, 1062_11, 1063_12	 	1088, 1089_19	 
Staphylococcus epidermidis BVS058A4 (883130.3)	 	 	379_10, 380_9, 381_11, 382_12	 	407_17, 408_19	 
Staphylococcus epidermidis FRI909 (764544.3)	 	 	490_12, 491_11, 492_9, 493_10	 	464_19, 465_17	 
Staphylococcus epidermidis M0881 (1213731.3)	 	 	554_10, 555_9, 556_11, 557_12	 	582, 583_19	 
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	 	 	550_12, 551_11, 552_9, 553_10	 	524_19, 525	 
Staphylococcus epidermidis NIH04003 (1155132.3)	 	 	464_10, 465_9, 466_11, 467_12	 	492, 493_19	 
Staphylococcus epidermidis NIH04008 (979222.3)	 	 	1637_10, 1638_9, 1639_11, 1640_12	 	1665, 1666_19	 
Staphylococcus epidermidis NIH05001 (979221.3)	 	 	1808_12, 1809_11, 1810_9, 1811_10	 	1030_19, 1031	 
Staphylococcus epidermidis NIH05003 (1155133.3)	 	 	459_10, 460_9, 461_11, 462_12	 	487, 488	 
Staphylococcus epidermidis NIH05005 (979220.3)	 	 	318_10, 319_9, 320_11, 321_12	 	346, 347_19	 
Staphylococcus epidermidis NIH051475 (1155130.3)	 	 	500_10, 501_9, 502_11, 503_12	 	528, 529_19, 530_19, 531_19	 
Staphylococcus epidermidis NIH051668 (1155131.3)	 	 	454_10, 455_9, 456_11, 457_12	 	482, 483_19	 
Staphylococcus epidermidis NIH06004 (1155134.3)	 	 	1116_12, 1117_11, 1118_9, 1119_10	 	1090_19, 1091	 
Staphylococcus epidermidis NIH08001 (1155135.3)	 	 	726_12, 727_11, 728_9, 729_10	 	700_19, 701	 
Staphylococcus epidermidis NIHLM001 (979219.3)	 	 	306_10, 307_9, 308_11, 309_12	 	2295, 2296_19	 
Staphylococcus epidermidis NIHLM003 (979218.3)	 	 	1977_12, 1978_11, 1979_9, 1980_10	 	1951_19, 1952	 
Staphylococcus epidermidis NIHLM008 (979217.3)	 	 	739_12, 740_11, 741_9, 742_10	 	713_19, 714	 
Staphylococcus epidermidis NIHLM015 (979216.3)	 	 	489_10, 490_9, 491_11, 492_12	 	517_17, 518_19	 
Staphylococcus epidermidis NIHLM018 (979215.3)	 	 	2072_10, 2073_9, 2074_11, 2075_12	 	2100, 2101_19	 
Staphylococcus epidermidis NIHLM020 (979213.3)	 	 	423_12, 424_11, 425_9, 426_10	 	397, 398	 
Staphylococcus epidermidis NIHLM021 (979212.3)	 	 	342_10, 343_9, 344_11, 345_12	 	371_17, 372_19	 
Staphylococcus epidermidis NIHLM023 (979211.3)	 	 	1403_12, 1404_11, 1405_9, 1406_10	 	1377_19, 1378_17	 
Staphylococcus epidermidis NIHLM031 (979214.3)	 	 	228_10, 229_9, 230_11, 231_12	 	257_17, 258_19	 
Staphylococcus epidermidis NIHLM037 (979210.3)	 	 	673_12, 674_11, 675_9, 676_10	 	647_19, 648_17	 
Staphylococcus epidermidis NIHLM039 (979209.3)	 	 	1082_12, 1083_11, 1084_9, 1085_10	 	1056_19, 1057_17	 
Staphylococcus epidermidis NIHLM040 (979208.3)	 	 	1921_10, 1922_9, 1923_11, 1924_12	 	1950_17, 1951_17, 1952_19	 
Staphylococcus epidermidis NIHLM049 (979207.3)	 	 	986_10, 987_9, 988_11, 989_12	 	1014, 1015_19	 
Staphylococcus epidermidis NIHLM053 (979206.3)	 	 	1017_10, 1018_9, 1019_11, 1020_12	 	1045_17, 1046_19	 
Staphylococcus epidermidis NIHLM057 (979205.3)	 	 	850_12, 851_11, 852_9, 853_10	 	824_19, 825_17	 
Staphylococcus epidermidis NIHLM061 (979204.3)	 	 	1033_12, 1034_11, 1035_9, 1036_10	 	1007_19, 1008_17	 
Staphylococcus epidermidis NIHLM067 (979203.3)	 	 	1939_12, 1940_11, 1941_9, 1942_10	 	1913, 1914	 
Staphylococcus epidermidis NIHLM087 (979201.3)	 	 	25_12, 26_11, 27_9, 28_10	 	362_17, 363_19	 
Staphylococcus epidermidis NIHLM088 (979200.3)	 	 	169_12, 170_11, 171_9, 172_10	 	143, 144_17	 
Staphylococcus epidermidis NIHLM095 (979199.3)	 	 	274_12, 275_11, 276_9, 277_10	 	1349_19, 1350_17	 
Staphylococcus epidermidis RP62A (176279.9)	 	 	623_10, 624_9, 625_11, 626_12	 	651, 652	 
Staphylococcus epidermidis SK135 (596317.3)	 	 	2128_12, 2129_11, 2130_9, 2131_10	 	2102_19, 2103	 
Staphylococcus epidermidis UC7032 (1327991.3)	 	 	570_10, 571_9, 572_11, 573_12	 	598_17, 599_19	 
Staphylococcus epidermidis VCU028 (904317.3)	 	 	1849_12, 1850_11, 1851_9, 1852_10	 	1823_19, 1824	 
Staphylococcus epidermidis VCU037 (904319.3)	 	 	1015_12, 1016_11, 1017_9, 1018_10	 	989_19, 990	 
Staphylococcus epidermidis VCU041 (904320.3)	 	 	592_12, 593_11, 594_9, 595_10	 	565_19, 566	 
Staphylococcus epidermidis VCU045 (904321.3)	 	 	1335_10, 1336_9, 1337_11, 1338_12	 	1363, 1364_19	 
Staphylococcus epidermidis VCU065 (904324.3)	 	 	1752_12, 1753_11, 1754_9, 1755_10	 	1726_19, 1727_17	 
Staphylococcus epidermidis VCU071 (904325.3)	 	 	1858_10, 1859_9, 1860_11, 1861_12	 	1886_17, 1887_19	 
Staphylococcus epidermidis VCU081 (904326.3)	 	 	771_10, 772_9, 773_11, 774_12	 	799, 800_19	 
Staphylococcus epidermidis VCU105 (904328.3)	 	 	1171_12, 1172_11, 1173_9, 1174_10	 	1145_19, 1146	 
Staphylococcus epidermidis VCU107 (904329.3)	 	 	1384_12, 1385_11, 1386_9, 1387_10	 	1358_19, 1359	 
Staphylococcus epidermidis VCU109 (904330.3)	 	 	1384_12, 1385_11, 1386_9, 1387_10	 	1358_19, 1359	 
Staphylococcus epidermidis VCU116 (904334.3)	 	 	1923_12, 1924_11, 1925_9, 1926_10	 	1897_19, 1898_17	 
Staphylococcus epidermidis VCU117 (904335.3)	 	 	487_12, 488_11, 489_9, 490_10	 	461_19, 462	 
Staphylococcus epidermidis VCU118 (904336.3)	 	 	438_12, 439_11, 440_9, 441_10	 	347_19, 348_17	 
Staphylococcus epidermidis VCU120 (904337.3)	 	 	729_12, 730_11, 731_9, 732_10	 	703_19, 704	 
Staphylococcus epidermidis VCU123 (904340.3)	 	 	91_12, 92_11, 93_9, 94_10	 	65_19, 66	 
Staphylococcus epidermidis VCU125 (904341.3)	 	 	1713_10, 1714_9, 1715_11, 1716_12	 	198, 199	 
Staphylococcus epidermidis VCU126 (904342.3)	 	 	1765_10, 1766_9, 1767_11, 1768_12	 	1793, 1794	 
Staphylococcus epidermidis VCU127 (904343.3)	 	 	1779_10, 1780_9, 1781_11, 1782_12	 	1807, 1808	 
Staphylococcus epidermidis VCU128 (904344.3)	 	 	385_12, 386_11, 387_9, 388_10	 	359_19, 360_17	 
Staphylococcus epidermidis VCU129 (904345.3)	 	 	1797_12, 1798_11, 1799_9, 1800_10	 	1721_17, 1722_19	 
Staphylococcus epidermidis VCU144 (904347.3)	 	 	51_12, 52_11, 53_9, 54_10	 	25, 26	 
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	 	 	1911_10, 1912_9, 1913_11, 1914_12	 	1940_17, 1941_19	 
Staphylococcus haemolyticus JCSC1435 (279808.8)	 	 	1876_12, 1877_11, 1878_9, 1879_10	 	1844, 1845	 
Staphylococcus haemolyticus R1P1 (1134914.3)	 	 	2198_12, 2199_11, 2200_9, 2201_10	 	498, 499_17	 
Staphylococcus hominis SK119 (629742.3)	 	 	269_10, 270_9, 271_11, 272_12	 	297_17, 298_19	 
Staphylococcus hominis VCU122 (904339.3)	 	 	845_12, 846_11, 847_9, 848_10	 	819_19, 820_17	 
Staphylococcus hominis subsp. hominis C80 (435837.3)	 	 	1810_12, 1811_11, 1812_9, 1813_10	 	1784_19, 1785_17	 
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	 	 	1503_12, 1504_11, 1505_9, 1506_10	 	1474_19, 1475_17	 
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	 	 	809_12, 810_11, 811_9, 812_10	 	 	 
Staphylococcus lugdunensis HKU09-01 (698737.3)	 	 	1754_12, 1755_11, 1756_9, 1757_10	 	 	 
Staphylococcus lugdunensis M23590 (525377.3)	 	 	746_12, 747_11, 748_9, 749_10	 	 	 
Staphylococcus lugdunensis N920143 (1034809.4)	 	 	1788_12, 1789_11, 1790_9, 1791_10	 	 	 
Staphylococcus pettenkoferi VCU012 (904314.5)	 	 	1033_12, 1034_11, 1035_9, 1036_10	 	1008_19, 1009_17	 
Staphylococcus pseudintermedius ED99 (984892.3)	 	 	1618_12, 1619_11, 1620_9, 1621_10	 	1591_19, 1592_17	 
Staphylococcus pseudintermedius HKU10-03 (937773.3)	 	 	761_10, 762_9, 763_11, 764_12	 	791_17, 792_19	 
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	 	 	1729_12, 1730_11, 1731_9, 1732_10	 	1703_19, 1704_17	 
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	 	 	966_10, 967_9, 968_11, 969_12	 	995_17, 996_19	 
Staphylococcus vitulinus F1028 (1167632.5)	 	617_5, 618_6, 619_7, 620_8	 	 	584_17, 585_19	 
Staphylococcus warneri L37603 (596319.3)	 	 	628_12, 629_11, 630_9, 631_10	 	602_19, 603_17	 
Staphylococcus warneri SG1 (1194526.3)	 	 	1698_12, 1699_11, 1700_9, 1701_10	 	1672_19, 1673_17	 
Staphylococcus xylosus NJ (1262650.3)	 	 	2129_10, 2130_9, 2131_11, 2132_12	 	2157_17, 2158_19	 
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	 	 	 	 
Aerococcus viridans ATCC 11563 (655812.3)	 	 	 	 	 	 
Aerococcus viridans LL1 (1175629.3)	 	 	 	 	 	 
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	 	 	 	 
Granulicatella elegans ATCC 700633 (626369.3)	 	 	 	 	 	 
Enterococcus asini ATCC 700915 (1158606.4)	 	 	 	 	 	 
Enterococcus avium ATCC 14025 (1140002.4)	 	 	 	 	1415_19, 1416_17	 
Enterococcus caccae ATCC BAA-1240 (1158612.4)	 	 	 	 	1529_17, 1530_19	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	 	 	 	 	1574, 1575	 
Enterococcus casseliflavus EC10 (565654.4)	 	 	 	 	1667, 1668	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	 	 	 	 	171_19, 172_17	 
Enterococcus dispar ATCC 51266 (1139219.4)	 	 	 	 	 	 
Enterococcus durans ATCC 6056 (1140001.4)	 	 	 	 	 	 
Enterococcus durans FB129-CNAB-4 (883162.3)	 	 	 	 	 	 
Enterococcus durans IPLA 655 (1288492.4)	 	 	 	 	 	 
Enterococcus faecalis 12030 (1169282.3)	 	 	 	 	2354_19, 2355	 
Enterococcus faecalis 12107 (1158664.3)	 	 	 	 	1730_19, 1731	 
Enterococcus faecalis 1448E03 (1151193.3)	 	 	 	 	1844_19, 1845	 
Enterococcus faecalis 182970 (1151194.3)	 	 	 	 	979_19, 980_17	 
