Organism	BioW	BioC	BioGH	BioF	BioA	BioD	BioB	BioI	BioYNM	YigM
Staphylococcus aureus M1016 (1158710.3)	1930	 	 	1931	1933	 	1932	 	 	 
Staphylococcus aureus M1034 (1169259.3)	582	 	 	581	579	 	580	 	 	 
Staphylococcus aureus M1036 (1158711.3)	2012	 	 	2013	2015	 	2014	 	 	 
Staphylococcus aureus M1037 (1158712.3)	2332	 	 	2333	2335	 	2334	 	 	 
Staphylococcus aureus M1044 (1169260.3)	2302	 	 	2303	2305	 	2304	 	 	 
Staphylococcus aureus M1060 (1303782.3)	398	 	 	399	401	 	400	 	 	 
Staphylococcus aureus M1061 (1169261.3)	259	 	 	260	262	 	261	 	 	 
Staphylococcus aureus M1062 (1169262.3)	2346	 	 	2347	2349	 	2348	 	 	 
Staphylococcus aureus M1063 (1158463.3)	458	 	 	459	461	 	460	 	 	 
Staphylococcus aureus M1064 (1158465.3)	267	 	 	268	270	271	269	 	121_16	 
Staphylococcus aureus M1068 (1169263.3)	2339	 	 	2340	2342	 	2341	 	 	 
Staphylococcus aureus M1076 (1158464.3)	1957	 	 	1958	1960	 	1959	 	 	 
Staphylococcus aureus M1078 (1303783.3)	1865	 	 	1866	1868	 	1867	 	 	 
Staphylococcus aureus M1083 (1169264.3)	2276	 	 	2277	2279	 	2278	 	 	 
Staphylococcus aureus M1092 (1158466.3)	357	 	 	358	360	 	359	 	 	 
Staphylococcus aureus M1093 (1158467.3)	2020	 	 	2021	2023	 	2022	 	 	 
Staphylococcus aureus M1095 (1158468.3)	2391	 	 	2392	2394	 	2393	 	 	 
Staphylococcus aureus M1103 (1158469.3)	507	 	 	508	510	 	509	 	 	 
Staphylococcus aureus M1109 (1169265.3)	362	 	 	363	365	 	364	 	 	 
Staphylococcus aureus M1119 (1158470.3)	213	 	 	214	216	 	215	 	 	 
Staphylococcus aureus M1126 (1169266.3)	2276	 	 	2277	2279	 	2278	 	 	 
Staphylococcus aureus M1142 (1169267.3)	1846	 	 	1847	1849	 	1848	 	 	 
Staphylococcus aureus M1167 (1158471.3)	2338	 	 	2339	2341	 	2340	 	 	 
Staphylococcus aureus M1170 (1158472.3)	540	 	 	541	543	 	542	 	 	 
Staphylococcus aureus M1188 (1158473.3)	1923	 	 	1924	1926	 	1925	 	 	 
Staphylococcus aureus M1193 (1303784.3)	561	 	 	562	564	 	563	 	 	 
Staphylococcus aureus M1198 (1158474.3)	1544	 	 	1545	1547	 	1546	 	 	 
Staphylococcus aureus M1199 (1158475.3)	807	 	 	808	810	 	809	 	 	 
Staphylococcus aureus M1215 (1158476.3)	1549	 	 	1550	1552	 	1551	 	 	 
Staphylococcus aureus M1216 (1158477.3)	1780	 	 	1781	1783	1784	1782	 	1639_16	 
Staphylococcus aureus M1223 (1169268.3)	261	 	 	262	264	265	263	 	118_16	 
Staphylococcus aureus M1224 (1169269.3)	2327	 	 	2328	2330	 	2329	 	 	 
Staphylococcus aureus M1228 (1303785.3)	355	 	 	356	358	359	357	 	212_16	 
Staphylococcus aureus M1229 (1158478.3)	1517	 	 	1518	1520	 	1519	 	 	 
Staphylococcus aureus M1244 (1169270.3)	2429	 	 	2430	2432	 	2431	 	 	 
Staphylococcus aureus M1248 (1158479.3)	2333	 	 	2334	2336	 	2335	 	 	 
Staphylococcus aureus M1253 (1158480.3)	546	 	 	547	549	 	548	 	 	 
Staphylococcus aureus M1255 (1158481.3)	2410	 	 	2411	2413	 	2412	 	 	 
Staphylococcus aureus M1256 (1169271.3)	734	 	 	733	731	 	732	 	 	 
Staphylococcus aureus M1257 (1158482.3)	2291	 	 	2292	2294	 	2293	 	 	 
Staphylococcus aureus M1275 (1169272.3)	2350	 	 	2351	2353	 	2352	 	 	 
Staphylococcus aureus M1277 (1158483.3)	1887	 	 	1888	1890	 	1889	 	 	 
Staphylococcus aureus M1286 (1169273.3)	2309	 	 	2310	2312	 	2311	 	 	 
Staphylococcus aureus M1291 (1158484.3)	2305	 	 	2306	2308	 	2307	 	 	 
Staphylococcus aureus M1309 (1169274.3)	2379	 	 	2380	2382	 	2381	 	 	 
Staphylococcus aureus M1311 (1158485.3)	797	 	 	796	794	793	795	 	940_16	 
Staphylococcus aureus M1320 (1158486.3)	1934	 	 	1935	1937	 	1936	 	 	 
Staphylococcus aureus M1321 (1158487.3)	2433	 	 	2434	2436	 	2435	 	 	 
Staphylococcus aureus M1322 (1158488.3)	1513	 	 	1514	1516	 	1515	 	 	 
Staphylococcus aureus M1359 (1158489.3)	555	 	 	556	558	 	557	 	 	 
Staphylococcus aureus M1367 (1158490.3)	1937	 	 	1938	1940	 	1939	 	 	 
Staphylococcus aureus M1373 (1158491.3)	212	 	 	213	215	 	214	 	 	 
Staphylococcus aureus M1374 (1169275.3)	2325	 	 	2326	2328	 	2327	 	 	 
Staphylococcus aureus M1394 (1158492.3)	561	 	 	562	564	 	563	 	 	 
Staphylococcus aureus M1405 (1169276.3)	2326	 	 	2327	2329	 	2328	 	 	 
Staphylococcus aureus M1407 (1303786.3)	397	 	 	398	400	 	399	 	 	 
Staphylococcus aureus M1450 (1158493.3)	1898	 	 	1899	1901	 	1900	 	 	 
Staphylococcus aureus M1451 (1158494.3)	2359	 	 	2360	2362	 	2361	 	 	 
Staphylococcus aureus M1462 (1158495.3)	2369	 	 	2370	2372	2373	2371	 	2225_16	 
Staphylococcus aureus M1463 (1158496.3)	2157	 	 	2158	2160	 	2159	 	 	 
Staphylococcus aureus M1466 (1303787.3)	2464	 	 	2465	2467	 	2466	 	 	 
Staphylococcus aureus M1481 (1158497.3)	1892	 	 	1893	1895	 	1894	 	 	 
Staphylococcus aureus M1510 (1169277.3)	2415	 	 	2416	2418	 	2417	 	 	 
Staphylococcus aureus M1520 (1158498.3)	257	 	 	258	260	 	259	 	 	 
Staphylococcus aureus M1521 (1158499.3)	1992	 	 	1993	1995	 	1994	 	 	 
Staphylococcus aureus M1531 (1158500.3)	2168	 	 	2169	2171	 	2170	 	 	 
Staphylococcus aureus M1533 (1158501.3)	1895	 	 	1896	1898	 	1897	 	 	 
Staphylococcus aureus M1544 (1158502.3)	2390	 	 	2391	2393	 	2392	 	 	 
Staphylococcus aureus M1556 (1158503.3)	2341	 	 	2342	2344	 	2343	 	 	 
Staphylococcus aureus M1563 (1158504.3)	2493	 	 	2494	2496	 	2495	 	 	 
Staphylococcus aureus M1565 (1158505.3)	670	 	 	671	673	 	672	 	 	 
Staphylococcus aureus M1578 (1158506.3)	2332	 	 	2333	2335	 	2334	 	 	 
Staphylococcus aureus M2 (1233245.3)	21	 	 	20	18	 	19	 	 	 
Staphylococcus aureus NN54 (1161392.3)	1808	 	 	1809	1811	 	1810	 	 	 
Staphylococcus aureus O11 (948561.3)	1477	 	 	1478	1480	1481	1479	 	1127_16	 
Staphylococcus aureus O46 (948563.3)	1326	 	 	1325	1323	1322	1324	 	402_16	 
Staphylococcus aureus PM1 (1147034.3)	2501	 	 	2502	2504	2505	2503	 	1646_16	 
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	2607	 	 	2608	2610	2611	2609	 	2458_16	 
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	2656	 	 	2657	2659	2660	2658	 	2507_16	 
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	2356	 	 	2357	2359	 	2358	 	 	 
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	2603	 	 	2604	2606	2607	2605	 	2456_16	 
Staphylococcus aureus RF122 (273036.3)	2241	 	 	2242	2244	2245	2243	 	2107_16	 
Staphylococcus aureus ST228/10388 (1075076.3)	2262	 	 	2263	2265	 	2264	 	 	 
Staphylococcus aureus ST228/10497 (1075077.3)	2266	 	 	2267	2269	 	2268	 	 	 
Staphylococcus aureus ST228/15532 (1075078.3)	2259	 	 	2260	2262	 	2261	 	 	 
Staphylococcus aureus ST228/16035 (1075079.3)	2255	 	 	2256	2258	 	2257	 	 	 
Staphylococcus aureus ST228/18412 (1075082.3)	2262	 	 	2263	2265	 	2264	 	 	 
Staphylococcus aureus VH221 (1278074.4)	1120	 	 	1119	1117	1116	1118	 	381_16	 
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	2413	 	 	2414	2416	 	2415	 	 	 
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	2528	 	 	2527	2525	 	2526	 	 	 
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	1297	 	 	1296	1294	1293	1295	 	1434_16	 
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	2177	 	 	2178	2180	2181	2179	 	628_16	 
Staphylococcus aureus subsp. aureus 118 (1144271.3)	1698	 	 	1697	1695	1694	1696	 	1219_16	 
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	2367	 	 	2368	2370	2371	2369	 	2231_16	 
Staphylococcus aureus subsp. aureus 120 (1221451.3)	2064	 	 	2063	2061	2060	2062	 	256_16	 
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	391	 	 	390	388	 	389	 	 	 
Staphylococcus aureus subsp. aureus 132 (644279.4)	2568	 	 	2569	2571	2572	2570	 	2418_16	 
Staphylococcus aureus subsp. aureus 21172 (904723.3)	2312	 	 	2313	2315	 	2314	 	 	 
Staphylococcus aureus subsp. aureus 21178 (904724.3)	2773	 	 	2772	2770	2769	2771	 	1261_16	 
Staphylococcus aureus subsp. aureus 21189 (904725.3)	1845	 	 	1846	1848	1849	1847	 	29_16	 
Staphylococcus aureus subsp. aureus 21193 (904726.3)	1775	 	 	1776	1778	1779	1777	 	1636_16	 
Staphylococcus aureus subsp. aureus 21195 (904728.3)	1722	 	 	1723	1725	 	1724	 	 	 
Staphylococcus aureus subsp. aureus 21196 (904729.3)	771	 	 	770	768	767	769	 	264_16	 
Staphylococcus aureus subsp. aureus 21200 (904730.3)	1699	 	 	1700	1702	1703	1701	 	1251_16	 
Staphylococcus aureus subsp. aureus 21201 (904731.3)	471	 	 	472	474	 	473	 	 	 
Staphylococcus aureus subsp. aureus 21202 (904732.3)	110	 	 	111	113	114	112	 	355_16	 
Staphylococcus aureus subsp. aureus 21209 (904735.3)	2086	 	 	2087	2089	2090	2088	 	2661_16	 
Staphylococcus aureus subsp. aureus 21232 (904737.3)	2513	 	 	2512	2510	2509	2511	 	1793_16	 
Staphylococcus aureus subsp. aureus 21236 (904739.3)	1360	 	 	1359	1357	 	1358	 	 	 
Staphylococcus aureus subsp. aureus 21252 (904743.3)	879	 	 	880	882	883	881	 	826_16	 
Staphylococcus aureus subsp. aureus 21259 (904744.3)	1803	 	 	1804	1806	1807	1805	 	1338_16	 
Staphylococcus aureus subsp. aureus 21262 (904745.3)	899	 	 	898	896	895	897	 	2221_16	 
Staphylococcus aureus subsp. aureus 21264 (904746.3)	319	 	 	320	322	 	321	 	 	 
Staphylococcus aureus subsp. aureus 21266 (904747.3)	1854	 	 	1855	1857	1858	1856	 	694_16	 
Staphylococcus aureus subsp. aureus 21269 (904749.3)	1860, 1861	 	 	1859	1857	1856	1858	 	830_16	 
Staphylococcus aureus subsp. aureus 21272 (904750.3)	2135	 	 	2136	2138	 	2137	 	 	 
Staphylococcus aureus subsp. aureus 21282 (904753.3)	440	 	 	439	437	436	438	 	814_16	 
Staphylococcus aureus subsp. aureus 21283 (904754.3)	2013	 	 	2014	2016	2017	2015	 	2638_16	 
Staphylococcus aureus subsp. aureus 21305 (904759.3)	1605	 	 	1606	1609	1610	1607, 1608	 	857_16	 
Staphylococcus aureus subsp. aureus 21310 (904760.3)	2191	 	 	2190	2188	2187	2189	 	2568_16	 
Staphylococcus aureus subsp. aureus 21318 (904763.3)	2213	 	 	2212	2210	 	2211	 	 	 
Staphylococcus aureus subsp. aureus 21331 (904766.3)	1723	 	 	1724	1726	1727	1725	 	1410_16	 
Staphylococcus aureus subsp. aureus 21333 (904767.3)	1048	 	 	1049	1051	1052	1050	 	911_16	 
Staphylococcus aureus subsp. aureus 21334 (904768.3)	1113	 	 	1112	1110	1109	1111	 	2324_16	 
Staphylococcus aureus subsp. aureus 21340 (904771.3)	2318	 	 	2317	2315	2314	2316	 	2482_16	 
Staphylococcus aureus subsp. aureus 21342 (904772.3)	1144	 	 	1145	1147	1148	1146	 	 	 
Staphylococcus aureus subsp. aureus 21343 (904773.3)	2264	 	 	2265	2267	2268	2266	 	1212_16	 
Staphylococcus aureus subsp. aureus 21345 (904774.3)	2219	 	 	2220	2222	 	2221	 	 	 
Staphylococcus aureus subsp. aureus 333 (1221452.3)	2110	 	 	2109	2107	2106	2108	 	866_16	 
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	47	 	 	46	44	43	45	 	190_16	 
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	903	 	 	904	906	 	905	 	 	 
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	893	 	 	894	896	 	895	 	 	 
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	702	 	 	703	705	 	704	 	 	 
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	333	 	 	334	336	 	335	 	 	 
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	2055	 	 	2056	2058	 	2057	 	 	 
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	2084	 	 	2083	2081	2080	2082	 	2236_16	 
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	428	 	 	429	431	432	430	 	275_16	 
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)	2213	 	 	2214	2216	 	2215	 	 	 
Staphylococcus aureus subsp. aureus C101 (585149.6)	2606	 	 	2607	2609	 	2608	 	 	 
Staphylococcus aureus subsp. aureus C160 (585150.3)	824	 	 	825	827	 	826	 	 	 
Staphylococcus aureus subsp. aureus C427 (585151.3)	2414	 	 	2415	2417	 	2416	 	 	 
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)	443	 	 	444	446	 	445	 	 	 
Staphylococcus aureus subsp. aureus CGS00 (543538.3)	545	 	 	546	548	 	547	 	 	 
Staphylococcus aureus subsp. aureus CGS01 (543539.3)	1298	 	 	1297	1295	1294	1296	 	577_16	 
Staphylococcus aureus subsp. aureus CGS03 (543540.3)	454	 	 	453	451	 	452	 	 	 
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)	258	 	 	259	261	 	260	 	 	 
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)	256	 	 	257	259	 	258	 	 	 
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)	286	 	 	287	289	290	288	 	144_16	 
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)	292	 	 	293	295	 	294	 	 	 
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)	254	 	 	255	257	258	256	 	 	 
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)	264	 	 	265	267	 	266	 	 	 
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)	255	 	 	256	258	 	257	 	 	 
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)	264	 	 	265	267	 	266	 	 	 
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)	263	 	 	264	266	 	265	 	 	 
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)	2607	 	 	2608	2610	 	2609	 	 	 
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)	261	 	 	262	264	 	263	 	 	 
Staphylococcus aureus subsp. aureus CIG149 (931453.3)	263	 	 	264	266	 	265	 	 	 
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)	428	 	 	429	431	 	430	 	 	 
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)	252	 	 	253	255	256	254	 	110_16	 
Staphylococcus aureus subsp. aureus CIG1605 (931438.3)	262	 	 	263	265	 	264	 	 	 
Staphylococcus aureus subsp. aureus CIG1612 (931448.3)	262	 	 	263	265	266	264	 	118_16	 
Staphylococcus aureus subsp. aureus CIG1750 (931439.3)	275	 	 	276	278	 	277	 	 	 
Staphylococcus aureus subsp. aureus CIG1769 (931440.3)	389	 	 	390	392	 	391	 	 	 
Staphylococcus aureus subsp. aureus CIG1770 (931449.3)	283	 	 	284	286	287	285	 	140_16	 
Staphylococcus aureus subsp. aureus CIG1835 (931441.3)	1615	 	 	1616	1618	1619	1617	 	2551_16	 
Staphylococcus aureus subsp. aureus CIG2018 (931450.3)	260	 	 	261	263	264	262	 	117_16	 
Staphylococcus aureus subsp. aureus CIG290 (931451.3)	287	 	 	288	290	291	289	 	142_16	 
Staphylococcus aureus subsp. aureus CIG547 (931442.3)	261	 	 	262	264	265	263	 	115_16	 
Staphylococcus aureus subsp. aureus CIGC128 (931459.3)	247	 	 	248	250	251	249	 	106_16	 
Staphylococcus aureus subsp. aureus CIGC340D (931455.3)	289	 	 	290	292	 	291	 	 	 
Staphylococcus aureus subsp. aureus CIGC341D (931456.3)	299	 	 	300	302	 	301	 	 	 
Staphylococcus aureus subsp. aureus CIGC345D (931457.3)	266	 	 	267	269	270	268	 	122_16	 
Staphylococcus aureus subsp. aureus CIGC348 (931458.3)	256	 	 	257	259	 	258	 	 	 
Staphylococcus aureus subsp. aureus CIGC93 (931460.3)	2375	 	 	2376	2378	2379	2377	 	2232_16	 
Staphylococcus aureus subsp. aureus CM05 (1134842.3)	1333	 	 	1332	1330	 	1331	 	 	 
Staphylococcus aureus subsp. aureus COL (93062.4)	2480	 	 	2481	2483	2484	2482	 	2337_16	 
Staphylococcus aureus subsp. aureus D139 (585152.3)	2409	 	 	2410	2412	2413	2411	 	2252_16	 
Staphylococcus aureus subsp. aureus DSM 20231 (1241616.3)	1792	 	 	1793	1795	1796	1794	 	1648_16	 
Staphylococcus aureus subsp. aureus E1410 (585153.3)	701	 	 	702	704	 	703	 	 	 
Staphylococcus aureus subsp. aureus ECT-R 2 (889933.4)	2207	 	 	2208	2210	 	2209	 	 	 
Staphylococcus aureus subsp. aureus ED133 (685039.3)	2538	 	 	2539	2541	2542	2540	 	2377_16	 
Staphylococcus aureus subsp. aureus ED98 (681288.4)	2451	 	 	2452	2454	 	2453	 	 	 
Staphylococcus aureus subsp. aureus EMRSA16 (585154.3)	2494	 	 	2495	2497	 	2496	 	 	 
Staphylococcus aureus subsp. aureus GR1 (1144272.3)	1255	 	 	1254	1252	1251	1253	 	2482_16	 
Staphylococcus aureus subsp. aureus H19 (585155.3)	968	 	 	969	971	972	970	 	819_16	 
Staphylococcus aureus subsp. aureus H29 (1258575.3)	1024	 	 	1023	1021	 	1022	 	 	 
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)	2353	 	 	2354	2356	2357	2355	 	2210_16	 
Staphylococcus aureus subsp. aureus IS-105 (904781.3)	2201	 	 	2202	2204	2205	2203	 	2426_16	 
Staphylococcus aureus subsp. aureus IS-111 (904782.3)	2153	 	 	1604, 2152	1602	1601	1603	 	2324_16	 
Staphylococcus aureus subsp. aureus IS-122 (904783.3)	2573	 	 	2572	2570	 	2571	 	 	 
Staphylococcus aureus subsp. aureus IS-189 (904787.3)	419	 	 	420	422	423	421	 	272_16	 
Staphylococcus aureus subsp. aureus IS-250 (904789.3)	1083	 	 	1084	1085	1086	1038	 	 	 
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	1471	 	 	1470	1468	 	1469	 	 	 
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	959	 	 	960	962, 963	964	961	 	2290_16	 
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	490	 	 	491	493	494	492	 	2348_16	 
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	227	 	 	228	230	 	229	 	1489_16	 
Staphylococcus aureus subsp. aureus IS-K (904791.3)	569	 	 	570	571	572	525	 	 	 
Staphylococcus aureus subsp. aureus JH1 (359787.11)	2551	 	 	2552	2554	 	2553	 	 	 
Staphylococcus aureus subsp. aureus JH9 (359786.13)	2588	 	 	2589	2591	 	2590	 	 	 
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	2444	 	 	2445	2447	2448	2446	 	2294_16	 
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	1825	 	 	1826	1828	1829	1827	 	 	 
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	2226	 	 	2227	2229	2230	2228	 	2084_16	 
Staphylococcus aureus subsp. aureus M013 (1118959.3)	2285	 	 	2286	2288	2289	2287	 	2140_16	 
Staphylococcus aureus subsp. aureus M1015 (585156.3)	2105	 	 	2106	2108	 	2107	 	 	 
Staphylococcus aureus subsp. aureus M809 (585157.3)	2101	 	 	2102	2104	 	2103	 	 	 
Staphylococcus aureus subsp. aureus M876 (585158.3)	480	 	 	481	483	 	482	 	 	 
Staphylococcus aureus subsp. aureus M899 (585159.3)	2535	 	 	2536	2538	 	2537	 	 	 
Staphylococcus aureus subsp. aureus MN8 (548470.3)	913	 	 	912	910	 	911	 	 	 
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	2142	 	 	2141	2139	2138	2140	 	1622_16	 
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	2460	 	 	2461	2463	2464	2462	 	1454_16	 
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	1883	 	 	1882	1880	1879	1881	 	1036_16	 
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	2537	 	 	2538	2540	 	2539	 	 	 
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	2260	 	 	2261	2263	2264	2262	 	2117_16	 
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	2407	 	 	2408	2410	2411	2409	 	2257_16	 
Staphylococcus aureus subsp. aureus MW2 (196620.5)	2423	 	 	2424	2426	2427	2425	 	2272_16	 
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	2471	 	 	2472	2474	 	2473	 	 	 
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	2508	 	 	2509	2511	 	2510	 	 	 
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	2502	 	 	2503	2505	 	2504	 	 	 
Staphylococcus aureus subsp. aureus N315 (158879.11)	2397	 	 	2398	2400	 	2399	 	 	 
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	2456	 	 	2457	2459	2460	2458	 	2301_16	 
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	1929	 	 	1930	1932	1933	1931	 	1635_16	 
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	2544	 	 	2545	2547	2548	2546	 	2398_16	 
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	2638	 	 	2637	2635	2634	2636	 	2269_16	 
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	2206	 	 	2207	2209	2210	2208	 	2066_16	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	825	 	 	826	828	829	827	 	2018_16	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	2409	 	 	2410	2412	2413	2411	 	2263_16	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	454	 	 	453	451	450	452	 	600_16	 
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	745	 	 	744	742	 	743	 	 	 
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	1743	 	 	1742	1740	1739	1741	 	1891_16	 
Staphylococcus aureus subsp. aureus TW20 (663951.4)	2714	 	 	2715	2717	2718	2716	 	2560_16	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	520	 	 	521	523	524	522	 	1971_16	 
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	2527	 	 	2528	2530	2531	2529	 	2378_16	 
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	2517	 	 	2518	2520	2521	2519	 	2367_16	 
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	2186	 	 	2187	2189	2190	2188	 	2041_16	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	489	 	 	490	492	493	491	 	255_16	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	342	 	 	341	339	338	340	 	508_16	 
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	2288	 	 	2289	2291	 	2290	 	 	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	2374	 	 	2375	2377	 	2376	 	 	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	2343	 	 	2344	2346	 	2345	 	 	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	2315	 	 	2316	2318	 	2317	 	 	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	2243	 	 	2244	2246	 	2245	 	 	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	2205	 	 	2206	2208	 	2207	 	 	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	2301	 	 	2302	2304	 	2303	 	 	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	2269	 	 	2270	2272	 	2271	 	 	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	2281	 	 	2282	2284	 	2283	 	 	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	2331	 	 	2332	2334	 	2333	 	 	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	2181	 	 	2182	2184	 	2183	 	 	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	2355	 	 	2356	2358	 	2357	 	 	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	2246	 	 	2247	2249	 	2248	 	 	 
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	2297	 	 	2298	2300	 	2299	 	 	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	2592, 2593	 	 	2594	2596	2597	2595	 	2436_16	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	1328	 	 	1327	1325	1324	1326	 	217_16	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	2526	 	 	2527	2529	2530	2528	 	2373_16	 
Staphylococcus capitis QN1 (1189311.3)	 	 	 	 	 	 	998	 	1530_16	 
Staphylococcus capitis SK14 (553212.3)	 	 	 	 	 	 	1434	 	341_16	 
Staphylococcus capitis VCU116 (904334.4)	 	 	 	 	 	 	1336	 	620_16	 
Staphylococcus caprae C87 (435838.3)	 	 	 	 	 	 	2370	 	1636_16	 
Staphylococcus epidermidis 12142587 (1235440.3)	1779	 	 	1780	1781	1782	448	 	2140_16	 
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	1758	 	 	1759	1760	1761	1004	 	914_16	 
Staphylococcus epidermidis 41tr (1294271.3)	554	 	 	553	552	551	600	 	2292_16	 
Staphylococcus epidermidis 528m (1294272.3)	465	 	 	464	463	462	513	 	2156_16	 
Staphylococcus epidermidis A487 (904143.3)	 	 	 	 	 	 	521	 	1649_16	 
Staphylococcus epidermidis ATCC 12228 (176280.10)	165	 	 	164	163	162	212	 	 	 
Staphylococcus epidermidis AU12-03 (1220510.3)	1761	 	 	1762	1763	1764	1716	 	 	 
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	103	 	 	102	101	100	147	 	 	 
Staphylococcus epidermidis BVS058A4 (883130.3)	1576	 	 	1577	1578	1579	1525	 	2111_16	 
Staphylococcus epidermidis FRI909 (764544.3)	1919	 	 	1920	1921	1922	1481	 	1298_16	 
Staphylococcus epidermidis M0881 (1213731.3)	2116	 	 	2117	2118	2119	2070	 	1623_16	 
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	1089	 	 	1090	1091	1092	1044	 	1718_16	 
Staphylococcus epidermidis NIH04003 (1155132.3)	1798	 	 	1799	1800	1801	1753	 	1290_16	 
Staphylococcus epidermidis NIH04008 (979222.3)	2209	 	 	2210	2211	2212	2164	 	2592_16	 
Staphylococcus epidermidis NIH05001 (979221.3)	541	 	 	542	543	544	498	 	1196_16	 
Staphylococcus epidermidis NIH05003 (1155133.3)	1408	 	 	1407	1406	1405	1454	 	 	 
Staphylococcus epidermidis NIH05005 (979220.3)	1236	 	 	1237	1238	1239	1193	 	1340_16	 
