Organism	ASPOX	QSYN	QAPRT	NaMNAT	NADS	PnuC	NiaP	NiaX	NiaY
Enterococcus faecalis TX0645 (749510.3)	 	 	 	631	589	1437_8	 	451	 
Enterococcus faecalis TX0855 (749511.3)	 	 	 	801	404	1204_8	 	646	 
Enterococcus faecalis TX0860 (749512.3)	 	 	 	1535	2697	2249_8	 	649	 
Enterococcus faecalis TX1322 (525278.3)	 	 	 	20	1125	1587_8	 	1782	 
Enterococcus faecalis TX1337RF (1134802.3)	 	 	 	837_4	1842	 	 	147	 
Enterococcus faecalis TX1341 (749514.3)	 	 	 	203	734	2311_9	 	1332	 
Enterococcus faecalis TX1346 (749516.3)	 	 	 	1034	1584	2669_9	 	1498	 
Enterococcus faecalis TX2134 (749518.3)	 	 	 	1662	2310	270_8	 	885	 
Enterococcus faecalis TX2137 (749491.3)	 	 	 	1521	2557	2261_8	 	1038	 
Enterococcus faecalis TX2141 (749492.3)	 	 	 	415	2340	861_9	 	335	 
Enterococcus faecalis TX4000 (749493.3)	 	 	 	225	664	1857_8	 	1218	 
Enterococcus faecalis TX4244 (749494.3)	 	 	 	191	412	1986_9	 	993	 
Enterococcus faecalis TX4248 (749495.4)	 	 	 	434	2557	1784_8	 	150	 
Enterococcus faecalis UAA1014 (1158546.3)	 	 	 	2421_4	2239	726_8	 	904	 
Enterococcus faecalis UAA1180 (1158552.3)	 	 	 	2203_4	2019	498_8	 	676	 
Enterococcus faecalis UAA1489 (1158976.3)	 	 	 	2716_4	2522	736_8	 	925	 
Enterococcus faecalis UAA409 (1158637.3)	 	 	 	2297_4	2121	506_8	 	693	 
Enterococcus faecalis UAA702 (1158640.3)	 	 	 	2514_4	2341	622_8	 	820	 
Enterococcus faecalis UAA769 (1157369.3)	 	 	 	2807_4	2510	816_8	 	1011	 
Enterococcus faecalis UAA823 (1157370.3)	 	 	 	2658_4	2428	775_8	 	965	 
Enterococcus faecalis UAA902 (1157371.3)	 	 	 	2344_4	2165	545_8	 	724	 
Enterococcus faecalis UAA903 (1157372.3)	 	 	 	2345_4	2166	545_8	 	722	 
Enterococcus faecalis UAA904 (1157373.3)	 	 	 	2338_4	2159	542_8	 	719	 
Enterococcus faecalis UAA905 (1157374.3)	 	 	 	2335_4	2156	542_8	 	720	 
Enterococcus faecalis UAA906 (1157375.3)	 	 	 	2304_4	2125	543_8	 	721	 
Enterococcus faecalis UAA907 (1157376.3)	 	 	 	2400_4	2221	544_8	 	722	 
Enterococcus faecalis UAA943 (1157377.3)	 	 	 	2403_4	2224	546_8	 	723	 
Enterococcus faecalis UAA948 (1158542.3)	 	 	 	2650_4	2347	824_8	 	1013	 
Enterococcus faecalis V583 (226185.9)	 	 	 	2675	2448	683_8	 	872	 
Enterococcus faecalis V587 (1158623.3)	 	 	 	2489_4	2258	464_8	 	653	 
Enterococcus faecalis WH257 (1158628.3)	 	 	 	2552_4	2226	577_8	 	764	 
Enterococcus faecalis WH571 (1158631.3)	 	 	 	2674_4	2343	682_8	 	868	 
Enterococcus faecalis X98 (565641.4)	 	 	 	1311	2446	508_8	 	697	 
Enterococcus faecalis YI6-1 (1158667.3)	 	 	 	332_4	558	724_8	 	914	 
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	 	 	 	1664_4	1486	1819_8	 	2007	 
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	 	 	 	2280_4	2097	583_8	 	762	 
Enterococcus faecium 1,141,733 (565659.3)	 	 	 	2104	1810	 	 	1667	 
Enterococcus faecium 1,230,933 (565656.3)	 	 	 	2256	2066	 	 	2184	 
Enterococcus faecium 1,231,408 (565661.4)	 	 	 	1313	1806	 	 	1719	 
Enterococcus faecium 1,231,410 (565660.4)	 	 	 	2126	1859	 	 	1946	 
Enterococcus faecium 1,231,501 (565658.4)	 	 	 	1546	1755	 	 	1625	 
Enterococcus faecium 1,231,502 (565657.5)	 	 	 	2209	1452	 	 	1312	 
Enterococcus faecium 109 A1 (1157416.3)	 	 	 	2148_4	537	 	 	626	 
Enterococcus faecium 2006-70-121 (1157417.3)	 	 	 	1303_4	1691	 	 	2472	 
Enterococcus faecium 504 (1134805.3)	 	 	 	947_4	678	 	 	261	 
Enterococcus faecium 505 (1134806.3)	 	 	 	1180_4	2153	 	 	1455	 
Enterococcus faecium 7330381-1 (1157419.3)	 	 	 	1608_4	153	 	 	60	 
Enterococcus faecium 7330446-2 (1157420.3)	 	 	 	531_4	690	 	 	786	 
Enterococcus faecium 7330519-3 (1157421.3)	 	 	 	2361_4	2185	 	 	2091	 
Enterococcus faecium 7330614-1 (1157422.3)	 	 	 	719_4	2101	 	 	2007	 
Enterococcus faecium 7330884-2 (1157423.3)	 	 	 	994_4	623	 	 	719	 
Enterococcus faecium 7430166-3 (1157424.3)	 	 	 	1004_4	634	 	 	730	 
Enterococcus faecium 841V03 (1157425.3)	 	 	 	2271_4	575	 	 	671	 
Enterococcus faecium 9730219-1 (1157429.3)	 	 	 	2132_4	1742	 	 	1649	 
Enterococcus faecium 9730357-1 (1157430.3)	 	 	 	1324_4	1563	 	 	1658	 
Enterococcus faecium 9731349-1 (1157431.3)	 	 	 	1153_4	687	 	 	773	 
Enterococcus faecium 9731352-4 (1157432.3)	 	 	 	716_4	2356	 	 	2263	 
Enterococcus faecium 9830091-5 (1157433.3)	 	 	 	1644_4	1821	 	 	1918	 
Enterococcus faecium 9830512-2 (1157435.3)	 	 	 	2244_4	780	 	 	878	 
Enterococcus faecium 9830565-4 (1157437.3)	 	 	 	1150_4	714	 	 	808	 
Enterococcus faecium 9930238-2 (1157440.3)	 	 	 	1100_4	728	 	 	821	 
Enterococcus faecium 9931110-4 (1157441.3)	 	 	 	2083_4	2434	 	 	2339	 
Enterococcus faecium A17 Sv1 (1157442.3)	 	 	 	874_4	1050	 	 	1148	 
Enterococcus faecium ATCC 8459 (1158600.4)	 	 	 	2007_4	1630	 	 	1539	 
Enterococcus faecium Aus0004 (1155766.14)	 	 	 	1357	2441	 	 	2348	 
Enterococcus faecium C309 (1176489.3)	 	 	 	75_4	2420	 	 	1882, 1883	 
Enterococcus faecium C68 (565664.3)	 	 	 	2249	2170	 	 	2085	 
Enterococcus faecium CRL1879 (1295527.3)	 	 	 	815_4, 816_4	2245	 	 	706	 
Enterococcus faecium Com12 (565662.4)	 	 	 	1934	1785	 	 	1703	 
Enterococcus faecium Com15 (565663.4)	 	 	 	1275	1997	 	 	2081	 
Enterococcus faecium D344SRF (565665.3)	 	 	 	270	670	 	 	1053	 
Enterococcus faecium E0045 (1138880.3)	 	 	 	1964_4	1370	 	 	1279	 
Enterococcus faecium E0120 (1138881.3)	 	 	 	2376_4	2004	 	 	2090	 
Enterococcus faecium E0164 (1138882.3)	 	 	 	2060_4	1687	 	 	1784	 
Enterococcus faecium E0269 (1138883.3)	 	 	 	1882_4	1714	 	 	1807	 
Enterococcus faecium E0333 (1138884.3)	 	 	 	1591_4	2210	 	 	2115	 
Enterococcus faecium E0679 (1138885.3)	 	 	 	783_4	1130	 	 	1061	 
Enterococcus faecium E0680 (1138886.3)	 	 	 	1792_4	1612	 	 	1708	 
Enterococcus faecium E0688 (1138887.3)	 	 	 	1268_4	2067	 	 	2163	 
Enterococcus faecium E1007 (1138888.3)	 	 	 	497_4	132	 	 	212	 
Enterococcus faecium E1039 (645663.4)	 	 	 	1923	629	 	 	1292	 
Enterococcus faecium E1050 (1138889.3)	 	 	 	1764_4	2208	 	 	2117	 
Enterococcus faecium E1071 (535205.4)	 	 	 	1852	461	 	 	300	 
Enterococcus faecium E1133 (1138890.3)	 	 	 	2800_4	1621	 	 	1714	 
Enterococcus faecium E1162 (535206.4)	 	 	 	1801	1563	 	 	1649	 
Enterococcus faecium E1185 (1138891.3)	 	 	 	2079_4	1602	 	 	1695	 
Enterococcus faecium E1258 (1138892.3)	 	 	 	1808_4	2212	 	 	2123	 
Enterococcus faecium E1293 (1138893.3)	 	 	 	1781_4	2180	 	 	2085	 
Enterococcus faecium E1321 (1138930.3)	 	 	 	2563_4	1669	 	 	1577	 
Enterococcus faecium E1392 (1138894.3)	 	 	 	2854_4	2366	 	 	2271	 
Enterococcus faecium E1552 (1138895.3)	 	 	 	2392_4	2040	 	 	1946	 
Enterococcus faecium E1573 (1138896.3)	 	 	 	2340_4	865	 	 	2722	 
Enterococcus faecium E1574 (1138897.3)	 	 	 	2294_4	1920	 	 	2004	 
Enterococcus faecium E1575 (1138898.3)	 	 	 	27_4	1825	 	 	2536	 
Enterococcus faecium E1576 (1138899.3)	 	 	 	1898_4	1731	 	 	1823	 
Enterococcus faecium E1578 (1138900.3)	 	 	 	1742_4	2122	 	 	2033	 
Enterococcus faecium E1590 (1138901.3)	 	 	 	27_4	2203	 	 	2117	 
Enterococcus faecium E1604 (1138902.3)	 	 	 	565_4	193	 	 	276	 
Enterococcus faecium E1613 (1138903.3)	 	 	 	447_4	2402	 	 	2318	 
Enterococcus faecium E1620 (1138904.3)	 	 	 	1155_4	1657	 	 	1746	 
Enterococcus faecium E1622 (1138905.3)	 	 	 	1808_4	2185	 	 	2095	 
Enterococcus faecium E1623 (1138906.3)	 	 	 	2022_4	1805	 	 	1714	 
Enterococcus faecium E1626 (1138907.3)	 	 	 	1018_4	2124	 	 	2216	 
Enterococcus faecium E1627 (1138908.3)	 	 	 	2043_4	1876	 	 	1967	 
Enterococcus faecium E1630 (1138909.3)	 	 	 	2006_4	2189	 	 	2285	 
Enterococcus faecium E1634 (1138910.3)	 	 	 	2450_4	2018	 	 	1929	 
Enterococcus faecium E1636 (544875.4)	 	 	 	1037	365	 	 	1895	 
Enterococcus faecium E1644 (1138931.3)	 	 	 	905_4	2149	 	 	2059	 
Enterococcus faecium E1731 (1138913.3)	 	 	 	514_4	2224	 	 	2315	 
Enterococcus faecium E1861 (1138914.3)	 	 	 	2312_4	1927	 	 	2014	 
Enterococcus faecium E1904 (1138915.3)	 	 	 	1953_4	1986	 	 	2081	 
Enterococcus faecium E1972 (1138916.3)	 	 	 	1439_4	1808	 	 	1724	 
Enterococcus faecium E2039 (1138917.3)	 	 	 	2185_4	2020	 	 	2107	 
Enterococcus faecium E2071 (1138918.3)	 	 	 	880_4	2146	 	 	2230	 
Enterococcus faecium E2134 (1138919.3)	 	 	 	545_4	126	 	 	217	 
Enterococcus faecium E2297 (1138920.3)	 	 	 	1400_4	1835	 	 	1929	 
Enterococcus faecium E2369 (1138932.3)	 	 	 	1571_4	2054	 	 	1962	 
Enterococcus faecium E2560 (1138933.3)	 	 	 	2074_4	2244	 	 	2153	 
Enterococcus faecium E2620 (1138921.3)	 	 	 	503_4	132	 	 	219	 
Enterococcus faecium E2883 (1138922.3)	 	 	 	653_4	1990	 	 	2083	 
Enterococcus faecium E2966 (1138923.3)	 	 	 	780_4	2166	 	 	2074	 
Enterococcus faecium E3083 (1138924.3)	 	 	 	2323_4	1965	 	 	1880	 
Enterococcus faecium E3346 (1138925.3)	 	 	 	1909_4	2080	 	 	1987	 
Enterococcus faecium E3548 (1138926.3)	 	 	 	2525_4	2152	 	 	2067	 
Enterococcus faecium E4215 (1138929.3)	 	 	 	1775_4	1606	 	 	1696	 
Enterococcus faecium E4389 (1138934.3)	 	 	 	1310_4	1755	 	 	1849	 
Enterococcus faecium E6012 (1138935.3)	 	 	 	2344_4	2018	 	 	2109	 
Enterococcus faecium E6045 (1138936.3)	 	 	 	1095_4	2424	 	 	2514	 
Enterococcus faecium E8sv3 (1157443.3)	 	 	 	1750_4	2119	 	 	2024	 
Enterococcus faecium E980 (529885.3)	 	 	 	763	1154	 	 	929	 
Enterococcus faecium ERV1 (1134819.3)	 	 	 	1148_4	2838	 	 	2092	 
Enterococcus faecium EnGen0305 (1158641.3)	 	 	 	2203_4	2582	 	 	2497	 
Enterococcus faecium EnGen0308 (1158642.3)	 	 	 	252_4	494	 	 	589	 
Enterococcus faecium EnGen0312 (1158652.3)	 	 	 	1933_4	2561	 	 	2468	 
Enterococcus faecium EnGen0314 (1158646.3)	 	 	 	1969_4	2603	 	 	2512	 
Enterococcus faecium EnGen0316 (1158647.3)	 	 	 	967_4	1464	 	 	1555	 
Enterococcus faecium EnGen0318 (1158648.3)	 	 	 	980_4	357	 	 	451	 
Enterococcus faecium EnGen0319 (1158649.3)	 	 	 	972_4	1131	 	 	1222	 
Enterococcus faecium EnGen0321 (1158650.3)	 	 	 	764_4	2596	 	 	2503	 
Enterococcus faecium EnGen0323 (1158651.3)	 	 	 	1676_4	2604	 	 	2514	 
Enterococcus faecium EnGen0375 (1138937.4)	 	 	 	2947_4	2091	 	 	2002	 
Enterococcus faecium EnGen0376 (1138938.4)	 	 	 	2930_4	2006	 	 	1916	 
Enterococcus faecium EnGen0377 (1138939.4)	 	 	 	1306_4	2837	 	 	2748	 
Enterococcus faecium F9730129-1 (1157479.3)	 	 	 	1254_4	823	 	 	916	 
Enterococcus faecium H17243 (1157444.3)	 	 	 	802_4	1022	 	 	1113	 
Enterococcus faecium H17575 (1157446.3)	 	 	 	1870_4	626	 	 	720	 
Enterococcus faecium HF50104 (1157480.3)	 	 	 	1231_4	785	 	 	880	 
Enterococcus faecium HF50105 (1157481.3)	 	 	 	1530_4	575	 	 	670	 
Enterococcus faecium HF50106 (1157482.3)	 	 	 	2047_4	574	 	 	669	 
Enterococcus faecium HF50203 (1157483.3)	 	 	 	997_4	626	 	 	722	 
Enterococcus faecium HF50204 (1157484.3)	 	 	 	217_4	2289	 	 	2194	 
Enterococcus faecium HF50215 (1157485.3)	 	 	 	1241_4	577	 	 	675	 
Enterococcus faecium HM1071 (1157447.3)	 	 	 	1912_4	538	 	 	631	 
Enterococcus faecium HM1072 (1157487.3)	 	 	 	1142_4	494	 	 	589	 
Enterococcus faecium HM1073 (1157486.3)	 	 	 	1384_4	908	 	 	1041	 
Enterococcus faecium HM1074 (1157448.3)	 	 	 	2188_4	503	 	 	597	 
Enterococcus faecium LCT-EF128 (1178528.3)	 	 	 	1694	2061	 	 	1975	 
Enterococcus faecium LCT-EF20 (1245477.3)	 	 	 	809_4	1031	 	 	1113	 
Enterococcus faecium LCT-EF258 (1245478.3)	 	 	 	2227_4	1990	 	 	2072	 
Enterococcus faecium LCT-EF90 (1167697.3)	 	 	 	2050	1348	 	 	1431	 
Enterococcus faecium NRRL B-2354 (1104325.3)	 	 	 	1267_4	2222	 	 	2131	 
Enterococcus faecium PC4.1 (791161.5)	 	 	 	1717	1503	 	 	 	 
Enterococcus faecium S658-3 (1157451.3)	 	 	 	1925_4	2120	 	 	2026	 
Enterococcus faecium TC 6 (565666.3)	 	 	 	2198	1802	 	 	1716	 
Enterococcus faecium TX0082 (749520.3)	 	 	 	889	1160	 	 	197	 
Enterococcus faecium TX0133A (749521.3)	 	 	 	605	1797	 	 	47	 
Enterococcus faecium TX0133B (749524.3)	 	 	 	350	899	 	 	1092	 
Enterococcus faecium TX0133C (749525.3)	 	 	 	1088	860	 	 	798	 
Enterococcus faecium TX0133a04 (749523.3)	 	 	 	1741	946	 	 	2627	 
Enterococcus faecium TX1330 (525279.3)	 	 	 	2472	2076	 	 	1994	 
Enterococcus faecium U0317 (547468.4)	 	 	 	741	2071	 	 	692	 
Enterococcus faecium UAA1007 (1158545.3)	 	 	 	2031_4	2678	 	 	2587	 
Enterococcus faecium UAA1019 (1158547.3)	 	 	 	1519_4	2882	 	 	2788	 
Enterococcus faecium UAA1022 (1158548.3)	 	 	 	1484_4	2339	 	 	2244	 
Enterococcus faecium UAA1023 (1158549.3)	 	 	 	1368_4	2814	 	 	2721	 
Enterococcus faecium UAA1024 (1158550.3)	 	 	 	2481_4	2327	 	 	2234	 
Enterococcus faecium UAA1025 (1158551.3)	 	 	 	2435_4	2756	 	 	2663	 
Enterococcus faecium UAA1280 (1158553.3)	 	 	 	2852_4	2062	 	 	2147	 
Enterococcus faecium UAA1433 (1158554.3)	 	 	 	1476_4	644	 	 	736	 
Enterococcus faecium UAA1484 (1158555.3)	 	 	 	919_4	2518	 	 	2425	 
Enterococcus faecium UAA210 (1158635.3)	 	 	 	943_4	506	 	 	598	 
Enterococcus faecium UAA407 (1158636.3)	 	 	 	1502_4	331	 	 	437	 
Enterococcus faecium UAA430 (1158638.3)	 	 	 	896_4	2453	 	 	2360	 
Enterococcus faecium UAA431 (1158639.3)	 	 	 	2239_4	1652	 	 	1561	 
Enterococcus faecium UAA714 (1157453.3)	 	 	 	1029_4	2254	 	 	2162	 
Enterococcus faecium UAA715 (1157454.3)	 	 	 	2543_4	1280	 	 	1371	 
Enterococcus faecium UAA716 (1157455.3)	 	 	 	1795_4	2171	 	 	2077	 
Enterococcus faecium UAA718 (1157456.3)	 	 	 	1955_4	1618	 	 	1528	 
Enterococcus faecium UAA719 (1157457.3)	 	 	 	2383_4	1620	 	 	1528	 
Enterococcus faecium UAA720 (1157458.3)	 	 	 	1014_4	1233	 	 	1325	 
Enterococcus faecium UAA721 (1157459.3)	 	 	 	2260_4	2101	 	 	2006	 
Enterococcus faecium UAA722 (1157460.3)	 	 	 	2509_4	1953	 	 	2048	 
Enterococcus faecium UAA723 (1157461.3)	 	 	 	1585_4	630	 	 	724	 
Enterococcus faecium UAA724 (1157462.3)	 	 	 	764_4	2592	 	 	2497	 
Enterococcus faecium UAA725 (1157463.3)	 	 	 	951_4	1258	 	 	1350	 
Enterococcus faecium UAA825 (1157464.3)	 	 	 	941_4	1243	 	 	1334	 
Enterococcus faecium UAA909 (1157476.3)	 	 	 	2112_4	1959	 	 	1866	 
Enterococcus faecium UAA910 (1157477.3)	 	 	 	1712_4	1617	 	 	1526	 
Enterococcus faecium UAA911 (1157478.3)	 	 	 	1272_4	727	 	 	1339	 
Enterococcus faecium UAA944 (1157465.3)	 	 	 	1458_4	955	 	 	1045	 
Enterococcus faecium UAA945 (1157488.3)	 	 	 	2478_4	1156	 	 	1248	 
Enterococcus faecium UAA947 (1158541.3)	 	 	 	1301_4	2481	 	 	2389	 
Enterococcus faecium UAA949 (1158644.3)	 	 	 	1188_4	674	 	 	582	 
Enterococcus faecium UAA950 (1158645.3)	 	 	 	1115_4	883	 	 	978	 
Enterococcus faecium UAA951 (1158543.3)	 	 	 	2211_4	133	 	 	227	 
Enterococcus faecium UAA952 (1158544.3)	 	 	 	951_4	2325	 	 	2233	 
Enterococcus faecium UC7251 (1328870.3)	 	 	 	2472_4	1484	 	 	842	 
Enterococcus faecium VAN 219 (1157466.3)	 	 	 	2333_4	611	 	 	701	 
Enterococcus faecium VAN 222 (1157467.3)	 	 	 	1923_4	2308	 	 	2218	 
Enterococcus faecium VAN 327 (1169279.3)	 	 	 	2332_4	1924	 	 	2010	 
Enterococcus faecium VAN 332 (1157468.3)	 	 	 	2175_4	623	 	 	717	 
Enterococcus faecium VAN 335 (1157469.3)	 	 	 	783_4	306	 	 	393	 
Enterococcus faecium VAN 342 (1157470.3)	 	 	 	578_4	796	 	 	903	 
Enterococcus faecium VAN 345 (1157471.3)	 	 	 	992_4	419	 	 	510	 
Enterococcus faecium VAN 476 (1169278.3)	 	 	 	2292_4	2138	 	 	2050	 
Enterococcus faecium VRE 108 (1157472.3)	 	 	 	2439_4	2793	 	 	2700	 
Enterococcus faecium VRE 110 (1157473.3)	 	 	 	235_4	35	 	 	129	 
Enterococcus faecium VRE 13 (1157474.3)	 	 	 	1929_4	2641	 	 	2549	 
Enterococcus faecium VRE 84 (1157475.3)	 	 	 	1308_4	1041	 	 	1132	 
Enterococcus gallinarum EG2 (565653.4)	 	 	 	1015	1589	 	 	712	 
Enterococcus hirae ATCC 9790 (768486.3)	 	 	 	2682	419	 	 	1404	 
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	 	 	 	3180_4	744	 	 	2783	 
Enterococcus saccharolyticus 30_1 (742813.4)	 	 	 	1293	1570	 	 	966	 
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	 	 	 	1940_4	1020	 	 	832	 
Enterococcus sp. 7L76 (657310.3)	 	 	 	1125	911	1581_8	 	1360	 
Lactobacillus acidophilus 30SC (891391.3)	 	 	 	1631	535	 	 	 	 
Lactobacillus acidophilus ATCC 4796 (525306.3)	 	 	 	60	207	 	 	 	 
Lactobacillus acidophilus La-14 (1314884.3)	 	 	 	1467_4	502	 	 	 	 
Lactobacillus amylolyticus DSM 11664 (585524.3)	 	 	 	432	1592	 	 	 	 
Lactobacillus amylovorus GRL 1112 (695560.3)	 	 	 	1687	560	 	 	 	 
Lactobacillus amylovorus GRL1118 (695562.4)	 	 	 	1533	526	 	 	 	 
Lactobacillus animalis KCTC 3501 (930942.3)	 	 	 	767	540	226_8, 227_8	 	 	 
Lactobacillus antri DSM 16041 (525309.3)	 	 	 	273	1492	23_8	 	 	 
Lactobacillus brevis KB290 (1001583.3)	 	 	 	930_4	545	913_8	 	 	 
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	519	518	1952	2402	2615	 	1953	 	73
Lactobacillus buchneri ATCC 11577 (525318.3)	 	 	1697	2287	1811	 	1698	 	1077
Lactobacillus buchneri CD034 (1071400.3)	 	 	 	1281_4	1495	 	 	 	 
Lactobacillus buchneri NRRL B-30929 (511437.3)	 	 	 	1292_4	1581	 	 	 	 
Lactobacillus casei 12A (1051650.4)	 	 	 	1551_4	1666	 	2204	 	 
Lactobacillus casei 21/1 (1051651.3)	 	 	 	1703_4	1824	 	2359	 	 
Lactobacillus casei 32G (1051652.3)	 	 	 	1943_4	2011	 	2488	 	 
Lactobacillus casei ATCC 334 (321967.11)	 	 	 	1668	1783	 	2240	 	 
Lactobacillus casei BD-II (998820.3)	 	 	 	1874	1990	 	2431	 	 
Lactobacillus casei BL23 (543734.4)	 	 	 	1811	1925	 	2347	 	 
Lactobacillus casei CRF28 (1051654.3)	 	 	 	1639_4	1899	 	2400	 	 
Lactobacillus casei LC2W (999378.3)	 	 	 	1830	1945	 	2386	 	 
Lactobacillus casei Lc-10 (1051655.5)	 	 	 	1690_4	1807	 	2296	 	 
Lactobacillus casei Lpc-37 (1051656.3)	 	 	 	781_4	2146	 	1610	 	 
Lactobacillus casei M36 (1051657.3)	 	 	 	1995_4	2114	 	2530	 	 
Lactobacillus casei T71499 (1051658.3)	 	 	 	1773_4	1888	 	2291	 	 
Lactobacillus casei UCD174 (1051659.3)	 	 	 	1858_4	1973	 	2578	 	 
Lactobacillus casei UW1 (1051660.3)	 	 	 	1736_4	1851	 	2339	 	 
Lactobacillus casei UW4 (1051661.3)	 	 	 	1653_4	1796	 	2203	 	 
Lactobacillus casei W56 (1215914.3)	 	 	 	1947_4	2069	 	2530	 	 
Lactobacillus casei str. Zhang (498216.5)	 	 	 	1581	1693	 	2118	 	 
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	 	 	 	719	831	 	2280	 	 
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	 	 	 	806	692	 	1514	 	 
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	 	 	 	908_4	2355	 	814	 	 
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	 	 	 	128_4	1305	 	1475	 	 
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	 	 	 	1566_4	2899	 	2608	 	 
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	 	 	 	693_4	2770	 	1047	 	 
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	 	 	 	1957_4	2087	 	1057	 	 
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	 	 	 	1385_4	2259	 	992, 993	 	 
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	 	 	 	1306_4	2756	 	2108	 	 
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	 	 	 	498_4	614	 	875	 	 
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	 	 	 	2787_4	2704	 	1150	 	 
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	 	 	 	754_4	2099	 	1637	 	 
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	 	 	 	403_4	2594	 	1160	 	 
Lactobacillus coleohominis 101-4-CHN (575594.3)	 	 	 	565	1250	 	 	 	 
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	 	 	 	1902_4	1338	 	946	 	 
Lactobacillus crispatus 125-2-CHN (575595.3)	 	 	 	807	2034	 	 	 	 
Lactobacillus crispatus FB049-03 (883094.3)	 	 	 	1492_4	425	 	 	 	 
Lactobacillus crispatus FB077-07 (883092.3)	 	 	 	607_4	1299	 	 	 	 
Lactobacillus crispatus JV-V01 (491076.4)	 	 	 	1156	1892	 	 	 	 
Lactobacillus crispatus MV-1A-US (575596.3)	 	 	 	1589	1977	 	 	 	 
Lactobacillus crispatus MV-3A-US (575597.3)	 	 	 	1694	1330	 	 	 	 
Lactobacillus crispatus ST1 (748671.3)	 	 	 	1480	502	 	 	 	 
Lactobacillus curvatus CRL 705 (1074451.3)	 	 	 	130_4	692	 	1300	 	 
Lactobacillus delbrueckii ZN7a-9 (1217420.3)	 	 	 	1015_4	572	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus 2038 (353496.3)	 	 	 	1405	418	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	 	 	 	1349	408	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	 	 	 	1369	403	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (1042399.3)	 	 	 	40_4	1335	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ND02 (767455.3)	 	 	 	1445	397	 	 	 	 
Lactobacillus fermentum 28-3-CHN (575599.3)	 	 	 	1517	1277	378_8	 	 	 
Lactobacillus fermentum ATCC 14931 (525325.3)	 	 	 	1395	1653	263_8	 	 	 
Lactobacillus fermentum CECT 5716 (712938.3)	 	 	 	1604	201, 202, 203	2079_8	 	 	 
Lactobacillus fermentum F-6 (767453.3)	 	 	 	1427_4	264	1843_8	 	 	 
Lactobacillus fermentum IFO 3956 (334390.5)	 	 	 	1428	275	1827_8	 	 	 
Lactobacillus gasseri 202-4 (630527.3)	 	 	 	1236	1618	 	 	 	 
Lactobacillus gasseri 224-1 (679196.3)	 	 	 	669	516	 	 	 	 
Lactobacillus gasseri ATCC 33323 (324831.13)	 	 	 	1392	1511	 	 	 	 
Lactobacillus gasseri JV-V03 (525326.3)	 	 	 	167	58	 	 	 	 
Lactobacillus gasseri K7 (1334627.3)	 	 	 	316_4	1273	 	 	 	 
Lactobacillus gasseri SJ-9E-US (575603.3)	 	 	 	823	910	 	 	 	 
Lactobacillus gasseri SV-16A-US (575604.3)	 	 	 	907	1048	 	 	 	 
Lactobacillus gastricus PS3 (1144300.3)	 	 	 	218_4	1399	 	 	 	 
Lactobacillus helveticus DPC 4571 (405566.6)	 	 	 	1677	560	 	 	 	 
Lactobacillus helveticus DSM 20075 (585520.4)	 	 	 	1335	1116	 	 	 	 
Lactobacillus helveticus H10 (767462.3)	 	 	2180	631	1794	 	2179	 	 
Lactobacillus helveticus R0052 (880633.7)	 	 	118, 127	1710_4	512	 	117, 129	 	 
Lactobacillus hilgardii ATCC 8290 (525327.3)	 	 	1098	931	2007	 	1099	 	 
Lactobacillus iners AB-1 (713605.5)	 	 	 	840	72	 	 	 	 
Lactobacillus iners ATCC 55195 (888801.3)	 	 	 	997	118	 	 	 	 
Lactobacillus iners DSM 13335 (525328.4)	 	 	 	996	769	 	 	 	 
Lactobacillus iners LEAF 2052A-d (879302.3)	 	 	560	1016	222	 	 	 	 
Lactobacillus iners LEAF 2053A-b (879301.3)	 	 	 	1152	627	 	 	 	 
Lactobacillus iners LEAF 2062A-h1 (879303.3)	 	 	 	1019	1223	 	 	 	 
