Organism	GndP	Gnd	Pgl	Rpe	Rpi	Tal	Tkt	Zwf
Staphylococcus aureus M0235 (1158517.3)	1998_18	 	2403_32	1705_38	 	2260_41	1827_42	 
Staphylococcus aureus M0237 (1157017.3)	1573_18	 	1979_32	1283_38	 	1834_41	1404_42	 
Staphylococcus aureus M0239 (1157018.3)	916_18	 	1305_32	616_38	 	1169_41	746_42	909_46
Staphylococcus aureus M0240 (1224923.3)	1411_18	 	1822_32	1118_38	 	1680_41	1240_42	 
Staphylococcus aureus M0250 (1158518.3)	2461_18	 	179_32	2106_38	 	36_41	2229_42	 
Staphylococcus aureus M0252 (1157019.3)	2406_18	 	257_32	2113_38	 	116_41	2237_42	 
Staphylococcus aureus M0270 (1224924.3)	2124_18	 	2526_32	1711_38	 	2380_41	1903_42	 
Staphylococcus aureus M0273 (1224925.3)	2326_18	 	64_32	2036_38	 	2588_41	2157_42	 
Staphylococcus aureus M0279 (1224926.3)	1038_18	 	1442_32	684_38	 	1299_41	807_42	 
Staphylococcus aureus M0280 (1158520.3)	738_18	 	1178_32	383_38	 	1001_41	507_42	 
Staphylococcus aureus M0288 (1224927.3)	1041_18	 	1469_32	698_38	 	1320_41	821_42	 
Staphylococcus aureus M0294 (1303781.3)	2306_18	 	27_32	1951_38	 	2563_41	2075_42	 
Staphylococcus aureus M0306 (1158521.3)	1490_18	 	1895_32	1199_38	 	1752_41	1321_42	 
Staphylococcus aureus M0312 (1224928.3)	1109_18	 	1512_32	735_38	 	1368_41	881_42	 
Staphylococcus aureus M0326 (1157020.3)	1036_18	 	1438_32	694_38	 	1292_41	817_42	 
Staphylococcus aureus M0328 (1157021.3)	1060_18	 	1471_32	708_38	 	1328_41	831_42	 
Staphylococcus aureus M0329 (1157022.3)	1499_18, 2751_18	 	1903_32	1203_38	 	1760_41	1327_42	2750_46
Staphylococcus aureus M0330 (1157023.3)	2103_18	 	2513_32	1814_38	 	2366_41	1934_42	 
Staphylococcus aureus M0334 (1158522.3)	2315_18	 	7_32	1967_38	 	2577_41	2091_42	 
Staphylococcus aureus M0340 (1157024.3)	2254_18	 	2654_32	1885_38	 	2512_41	2012_42	 
Staphylococcus aureus M0347 (1157025.3)	1464_18	 	1871_32	1171_38	 	1727_41	1296_42	 
Staphylococcus aureus M0350 (1158523.3)	2077_18	 	2510_32	1725_38	 	2339_41	1847_42	 
Staphylococcus aureus M0351 (1158524.3)	1457_18	 	1892_32	1167_38	 	1725_41	1289_42	 
Staphylococcus aureus M0363 (1158525.3)	1415_18	 	1819_32	1119_38	 	1676_41	1243_42	 
Staphylococcus aureus M0364 (1157026.3)	1418_18	 	1866_32	1126_38	 	1680_41	1249_42	 
Staphylococcus aureus M0367 (1158526.3)	2363_18	 	79_32	2008_38	 	2625_41	2130_42	 
Staphylococcus aureus M0374 (1158527.3)	601_18	 	1075_32	308_38	 	864_41	430_42	 
Staphylococcus aureus M0375 (1158528.3)	2068_18	 	2475_32	1720_38	 	2324_41	1845_42	 
Staphylococcus aureus M0391 (1157027.3)	2048_18	 	2492_32	1753_38	174_39	2310_41	1878_42	 
Staphylococcus aureus M0396 (1158529.3)	1641_18	 	2045_32	1283_38	 	1900_41	1409_42	 
Staphylococcus aureus M0404 (1224929.3)	1249_18	 	1659_32	887_38	 	1514_41	1011_42	 
Staphylococcus aureus M0408 (1157028.3)	1706_18	 	1226_32	2052_38	 	1448_41	1912_42	 
Staphylococcus aureus M0415 (1224930.3)	2175_18	 	2574_32	1883_38	 	2431_41	2006_42	 
Staphylococcus aureus M0424 (1158530.3)	2166_18	 	2567_32	1781_38	 	2425_41	1929_42	 
Staphylococcus aureus M0427 (1157029.3)	1399_18	 	1804_32	1107_38	 	1662_41	1229_42	 
Staphylococcus aureus M0438 (1158531.3)	1465_18	 	1872_32	1112_38	 	1727_41	1235_42	 
Staphylococcus aureus M0450 (1157030.3)	1451_18	 	1854_32	1160_38	 	1713_41	1283_42	 
Staphylococcus aureus M0455 (1224931.3)	1001_18	 	1415_32	710_38	 	1272_41	833_42	 
Staphylococcus aureus M0460 (1224932.3)	946_18	 	1420_32	654_38	 	1209_41	779_42	 
Staphylococcus aureus M0467 (1157031.3)	611_18	 	1054_32	317_38	 	874_41	442_42	 
Staphylococcus aureus M0468 (1157032.3)	1084_18	 	1490_32	724_38	 	1344_41	850_42	 
Staphylococcus aureus M0478 (1157033.3)	1447_18, 2673_18	 	1855_32	1095_38	 	1710_41	1219_42	2672_46
Staphylococcus aureus M0489 (1157034.3)	1608_18	 	2013_32	1203_38	 	1871_41	1381_42	 
Staphylococcus aureus M0493 (1224933.3)	2301_18	 	70_32	2008_38	 	2565_41	2132_42	 
Staphylococcus aureus M0494 (1157035.3)	966_18	 	1365_32	611_38	 	1221_41	734_42	 
Staphylococcus aureus M0510 (1158533.3)	1085_18	 	1497_32	730_38	 	1354_41	854_42	 
Staphylococcus aureus M0513 (1158534.3)	147_18	 	2482_32	533_38	 	2630_41	380_42	 
Staphylococcus aureus M0528 (1158682.3)	1505_18, 679_18	 	1937_32	1154_38	 	1793_41	1276_42	680_46
Staphylococcus aureus M0529 (1158462.3)	2240_18	 	2650_32	1886_38	 	2503_41	2008_42	 
Staphylococcus aureus M0531 (1158683.3)	997_18	 	1399_32	634_38	 	1255_41	762_42	 
Staphylococcus aureus M0536 (1158684.3)	1458_18	 	1864_32	1162_38	2256_39	1722_41	1287_42	 
Staphylococcus aureus M0539 (1158685.3)	2311_18	 	17_32	1961_38	 	2567_41	2085_42	 
Staphylococcus aureus M0547 (1158686.3)	2315_18	 	7_32	1957_38	 	2571_41	2081_42	 
Staphylococcus aureus M0562 (1158535.3)	1420_18	 	1846_32	1129_38	 	1684_41	1250_42	 
Staphylococcus aureus M0565 (1158687.3)	1402_18	 	1855_32	1110_38	 	1673_41	1233_42	 
Staphylococcus aureus M0571 (1158536.3)	2594_18	 	264_32	2186_38	 	121_41	2366_42	 
Staphylococcus aureus M0580 (1158688.3)	598_18	 	1063_32	308_38	 	860_41	430_42	 
Staphylococcus aureus M0584 (1158537.3)	1475_18	 	1879_32	1117_38	2272_39	1736_41	1240_42	 
Staphylococcus aureus M0586 (1158538.3)	2213_18	 	2615_32	1816_38	 	2475_41	1993_42	 
Staphylococcus aureus M0602 (1158689.3)	1096_18	 	1500_32	681_38	 	1358_41	867_42	 
Staphylococcus aureus M0622 (1158690.3)	1401_18	 	1873_32	1108_38	 	1665_41	1232_42	 
Staphylococcus aureus M0628 (1158461.3)	935_18	 	1405_32	643_38	 	1199_41	766_42	 
Staphylococcus aureus M0633 (1158539.3)	1539_18	 	1941_32	1159_38	 	1801_41	1305_42	 
Staphylococcus aureus M0646 (1214901.3)	2585_18	 	260_32	2175_38	 	116_41	2358_42	 
Staphylococcus aureus M0648 (1213721.3)	2163_18	 	2566_32	1823_38	 	2420_41	1944_42	 
Staphylococcus aureus M0660 (1213722.3)	2082_18	 	2498_32	1734_38	 	2339_41	1858_42	 
Staphylococcus aureus M0663 (1213723.3)	1462_18	 	1870_32	1118_38	 	1719_41	1240_42	 
Staphylococcus aureus M0673 (1213724.3)	1408_18	 	1858_32	1114_38	 	1678_41	1239_42	 
Staphylococcus aureus M0676 (1158691.3)	1420_18	 	1833_32	1128_38	 	1683_41	1251_42	 
Staphylococcus aureus M0687 (1158692.3)	1293_18, 440_18	 	1697_32	935_38	 	1556_41	1058_42	439_46
Staphylococcus aureus M0692 (1158693.3)	2134_18	 	2533_32	1735_38	 	2390_41	1915_42	 
Staphylococcus aureus M0695 (1213725.3)	1410_18	 	1816_32	1117_38	 	1673_41	1240_42	 
Staphylococcus aureus M0719 (1158694.3)	2207_18	 	2634_32	1811_38	 	2464_41	1989_42	 
Staphylococcus aureus M0769 (1158695.3)	1391_18	 	1850_32	1097_38	 	1664_41	1220_42	 
Staphylococcus aureus M0770 (1158696.3)	2588_18	 	258_32	2245_38	 	116_41	2366_42	 
Staphylococcus aureus M0780 (1158697.3)	1387_18	 	1857_32	1093_38	 	1649_41	1217_42	 
Staphylococcus aureus M0792 (1213726.3)	1493_18	 	1896_32	1146_38	 	1755_41	1269_42	 
Staphylococcus aureus M0799 (1158698.3)	2352_18	 	7_32	1957_38	 	2608_41	2131_42	 
Staphylococcus aureus M0822 (1213727.3)	1383_18	 	1854_32	1093_38	 	1645_41	1214_42	 
Staphylococcus aureus M0823 (1158699.3)	1539_18	 	1956_32	1138_38	 	1802_41	1319_42	 
Staphylococcus aureus M0831 (1213728.3)	1096_18	 	1499_32	710_38	 	1355_41	857_42	 
Staphylococcus aureus M0844 (1158700.3)	2158_18	 	2561_32	1807_38	 	2415_41	1930_42	 
Staphylococcus aureus M0871 (1213729.3)	1376_18	 	1816_32	1084_38	 	1639_41	1206_42	 
Staphylococcus aureus M0877 (1213730.3)	1649_18	 	1254_32	1954_38	 	1393_41	1815_42, 437_44, 438_43	1654_46
Staphylococcus aureus M0892 (1213732.3)	1481_18	 	1892_32	1186_38	 	1748_41	1311_42	 
Staphylococcus aureus M0900 (1213733.3)	1478_18	 	1885_32	1134_38	 	1744_41	1256_42	 
Staphylococcus aureus M0927 (1213734.3)	1390_18	 	1842_32	1097_38	 	1653_41	1220_42	 
Staphylococcus aureus M0934 (1158701.3)	2567_18	 	257_32	2163_38	 	116_41	2343_42	 
Staphylococcus aureus M0943 (1158702.3)	1381_18	 	1848_32	1090_38	 	1643_41	1213_42	 
Staphylococcus aureus M0944 (1158703.3)	1363_18	 	1840_32	1012_38	 	1631_41	1134_42	 
Staphylococcus aureus M0946 (1169255.3)	1727_18, 2768_18	 	1297_32	2111_38	 	1447_41	1960_42	2767_46
Staphylococcus aureus M0953 (1158704.3)	1019_18	 	1425_32	729_38	 	1281_41	851_42	 
Staphylococcus aureus M0964 (1169256.3)	1468_18	 	1879_32	1117_38	 	1735_41	1239_42	 
Staphylococcus aureus M0978 (1169257.3)	1132_18	 	1539_32	779_38	 	1395_41	901_42	 
Staphylococcus aureus M0994 (1169258.3)	1036_18	 	1448_32	680_38	 	1304_41	804_42	 
Staphylococcus aureus M0998 (1158705.3)	1011_18	 	1453_32	717_38	 	1274_41	842_42	 
Staphylococcus aureus M0999 (1158706.3)	1423_18	 	1853_32	1131_38	 	1687_41	1255_42	 
Staphylococcus aureus M1 (1305598.3)	1499_18	 	1911_32	1113_38	 	1766_41	1242_42	 
Staphylococcus aureus M1007 (1158707.3)	2163_18	 	2566_32	1778_38	 	2424_41	1925_42	 
Staphylococcus aureus M1010 (1158708.3)	1013_18	 	1418_32	721_38	 	1275_41	844_42	 
Staphylococcus aureus M1015 (1158709.3)	1618_18	 	2025_32	1263_38	 	1882_41	1387_42	 
Staphylococcus aureus M1016 (1158710.3)	1046_18	 	1450_32	752_38	 	1308_41	877_42	 
Staphylococcus aureus M1034 (1169259.3)	1494_18	 	1078_32	1873_38	671_39	1227_41	1720_42	 
Staphylococcus aureus M1036 (1158711.3)	1119_18	 	1528_32	764_38	 	1385_41	887_42	 
Staphylococcus aureus M1037 (1158712.3)	1381_18	 	1852_32	1091_38	 	1649_41	1213_42	 
Staphylococcus aureus M1044 (1169260.3)	1484_18, 2653_18	 	1891_32	1132_38	 	1745_41	1255_42	2652_46
Staphylococcus aureus M1060 (1303782.3)	2184_18	 	2589_32	1839_38	 	2446_41	1960_42	 
Staphylococcus aureus M1061 (1169261.3)	2082_18	 	2481_32	1763_38	 	2339_41	1915_42	 
Staphylococcus aureus M1062 (1169262.3)	1392_18	 	1866_32	1098_38	 	1661_41	1222_42	 
Staphylococcus aureus M1063 (1158463.3)	2319_18	 	2727_32	1916_38	 	2577_41	2097_42	 
Staphylococcus aureus M1064 (1158465.3)	2137_18	 	2541_32	1756_38	 	2398_41	1903_42	 
Staphylococcus aureus M1068 (1169263.3)	1384_18	 	1854_32	1092_38	 	1646_41	1215_42	 
Staphylococcus aureus M1076 (1158464.3)	1066_18	 	1471_32	712_38	 	1328_41	836_42	 
Staphylococcus aureus M1078 (1303783.3)	920_18	 	1377_32	630_38	 	1183_41	753_42	 
Staphylococcus aureus M1083 (1169264.3)	1368_18	 	1820_32	1077_38	 	1638_41	1199_42	 
Staphylococcus aureus M1092 (1158466.3)	2116_18	 	2520_32	1824_38	 	2377_41	1947_42	 
Staphylococcus aureus M1093 (1158467.3)	1211_18	 	1610_32	917_38	 	1468_41	1041_42	 
Staphylococcus aureus M1095 (1158468.3)	1498_18	 	1913_32	1144_38	 	1767_41	1267_42	 
Staphylococcus aureus M1103 (1158469.3)	2329_18	 	11_32	1975_38	 	2586_41	2098_42	 
Staphylococcus aureus M1109 (1169265.3)	2235_18	 	2646_32	1887_38	 	2499_41	2064_42	 
Staphylococcus aureus M1119 (1158470.3)	2034_18	 	2447_32	1676_38	 	2291_41	1798_42	 
Staphylococcus aureus M1126 (1169266.3)	1352_18	 	1791_32	1058_38	 	1613_41	1182_42	 
Staphylococcus aureus M1142 (1169267.3)	959_18	 	1364_32	668_38	 	1222_41	789_42	 
Staphylococcus aureus M1167 (1158471.3)	1383_18	 	1801_32	1094_38	 	1651_41	1217_42	 
Staphylococcus aureus M1170 (1158472.3)	2337_18	 	64_32	1916_38	 	2599_41	2108_42	 
Staphylococcus aureus M1188 (1158473.3)	1034_18	 	1444_32	678_38	 	1301_41	802_42	 
Staphylococcus aureus M1193 (1303784.3)	2295_18	 	85_32	2004_38	 	2557_41	2126_42	 
Staphylococcus aureus M1198 (1158474.3)	604_18	 	1061_32	311_38	 	866_41	434_42	 
Staphylococcus aureus M1199 (1158475.3)	2572_18	 	258_32	2277_38	 	116_41	2400_42	 
Staphylococcus aureus M1215 (1158476.3)	605_18	 	1072_32	312_38	 	867_41	435_42	 
Staphylococcus aureus M1216 (1158477.3)	955_18	 	1356_32	605_38	1694_39	1215_41	2163_43, 2164_44, 774_42	 
Staphylococcus aureus M1223 (1169268.3)	2136_18	 	2540_32	1758_38	 	2396_41	1904_42	 
Staphylococcus aureus M1224 (1169269.3)	1405_18	 	1811_32	1109_38	 	1668_41	1237_42	 
Staphylococcus aureus M1228 (1303785.3)	2114_18	 	2514_32	1736_38	264_39	2374_41	1865_42	 
Staphylococcus aureus M1229 (1158478.3)	605_18	 	1031_32	312_38	 	867_41	437_42	 
Staphylococcus aureus M1244 (1169270.3)	1542_18	 	1945_32	1196_38	 	1798_41	1372_42	 
Staphylococcus aureus M1248 (1158479.3)	1389_18	 	1842_32	1095_38	 	1658_41	1220_42	 
Staphylococcus aureus M1253 (1158480.3)	2349_18	 	66_32	2059_38	 	2610_41	2181_42	 
Staphylococcus aureus M1255 (1158481.3)	1527_18	 	1938_32	1169_38	 	1793_41	1292_42	 
Staphylococcus aureus M1256 (1169271.3)	1664_18	 	1249_32	1978_38	 	1396_41	1827_42	 
Staphylococcus aureus M1257 (1158482.3)	1401_18	 	1811_32	1112_38	 	1668_41	1234_42	 
Staphylococcus aureus M1275 (1169272.3)	1462_18	 	1870_32	1169_38	 	1727_41	1293_42	 
Staphylococcus aureus M1277 (1158483.3)	968_18	 	1409_32	677_38	 	1230_41	799_42	 
Staphylococcus aureus M1286 (1169273.3)	1400_18	 	1811_32	1108_38	 	1667_41	1231_42	 
Staphylococcus aureus M1291 (1158484.3)	1411_18	 	1824_32	1118_38	 	1682_41	1242_42	 
Staphylococcus aureus M1309 (1169274.3)	1493_18	 	1898_32	1134_38	 	1756_41	1260_42	 
Staphylococcus aureus M1311 (1158485.3)	1719_18	 	1267_32	2022_38	 	1459_41	1881_42, 423_44, 424_43	1724_46
Staphylococcus aureus M1320 (1158486.3)	1002_18	 	1430_32	713_38	 	1265_41	834_42	 
Staphylococcus aureus M1321 (1158487.3)	1552_18	 	1962_32	1194_38	 	1818_41	1317_42	 
Staphylococcus aureus M1322 (1158488.3)	625_18	 	1031_32	332_38	 	888_41	456_42	 
Staphylococcus aureus M1359 (1158489.3)	2305_18	 	75_32	2013_38	 	2568_41	2134_42	 
Staphylococcus aureus M1367 (1158490.3)	1035_18	 	1459_32	679_38	 	1299_41	801_42	 
Staphylococcus aureus M1373 (1158491.3)	1996_18	 	2434_32	1649_38	 	2253_41	1774_42	 
Staphylococcus aureus M1374 (1169275.3)	1380_18	 	1845_32	1092_38	 	1642_41	1213_42	 
Staphylococcus aureus M1394 (1158492.3)	2295_18	 	79_32	2004_38	 	2557_41	2124_42	 
Staphylococcus aureus M1405 (1169276.3)	1388_18	 	1839_32	1095_38	 	1655_41	1218_42	 
Staphylococcus aureus M1407 (1303786.3)	2151_18	 	2557_32	1793_38	 	2413_41	1918_42	 
Staphylococcus aureus M1450 (1158493.3)	952_18	 	1415_32	660_38	 	1208_41	782_42	 
Staphylococcus aureus M1451 (1158494.3)	1435_18	 	1876_32	1144_38	 	1697_41	1266_42	 
Staphylococcus aureus M1462 (1158495.3)	1545_18	 	1944_32	1364_38	 	1803_41	1238_42	 
Staphylococcus aureus M1463 (1158496.3)	1208_18	 	1654_32	915_38	 	1472_41	1038_42	 
Staphylococcus aureus M1466 (1303787.3)	1553_18	 	1990_32	1136_38	 	1831_41	1324_42	 
Staphylococcus aureus M1481 (1158497.3)	948_18	 	1410_32	654_38	 	1212_41	778_42	 
Staphylococcus aureus M1510 (1169277.3)	1500_18	 	1908_32	1147_38	 	1763_41	1271_42	 
Staphylococcus aureus M1520 (1158498.3)	1977_18	 	2380_32	1625_38	 	2239_41	1749_42	 
Staphylococcus aureus M1521 (1158499.3)	1087_18	 	1510_32	733_38	 	1367_41	855_42	 
Staphylococcus aureus M1531 (1158500.3)	1282_18	 	1686_32	990_38	 	1543_41	1113_42	 
Staphylococcus aureus M1533 (1158501.3)	1012_18	 	1418_32	719_38	 	1274_41	843_42	 
Staphylococcus aureus M1544 (1158502.3)	1494_18	 	1911_32	1202_38	 	1756_41	1327_42	 
Staphylococcus aureus M1556 (1158503.3)	1381_18	 	1861_32	1088_38	 	1652_41	1211_42	 
Staphylococcus aureus M1563 (1158504.3)	1601_18	 	2015_32	1308_38	 	1862_41, 1870_41	1431_42	 
Staphylococcus aureus M1565 (1158505.3)	2502_18	 	261_32	2147_38	 	119_41	2271_42	 
Staphylococcus aureus M1578 (1158506.3)	1420_18	 	1851_32	1128_38	 	1683_41	1251_42	 
Staphylococcus aureus M2 (1233245.3)	1971_18	 	888_32	546_38	 	372_41	1925_42	1964_46
Staphylococcus aureus NN54 (1161392.3)	740_18	 	1044_32	500_38	 	2049_41	378_42	 
Staphylococcus aureus O11 (948561.3)	1551_18	 	1232_32	62_38	 	1510_41	185_42	 
Staphylococcus aureus O46 (948563.3)	2393_18	 	1009_32	1717_38	 	1939_41	99_42	 
Staphylococcus aureus PM1 (1147034.3)	950_18	 	180_32	1375_38	 	571_41	1249_42	 
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	1563_18, 1564_18	 	1978_32	1242_38	 	1836_41	1379_42	1557_46
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	1624_18, 1625_18	 	2047_32	1263_38	 	1898_41	1392_42	 
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	1495_18, 1496_18	 	1921_32	1181_38	 	1765_41	1309_42	 
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	1496_18, 1497_18	 	1912_32	1139_38	 	1768_41	1270_42	 
Staphylococcus aureus RF122 (273036.3)	1200_18	 	1800_32	1343_38	 	709_41	1584_42	1158_46
Staphylococcus aureus ST228/10388 (1075076.3)	1375_18	 	1785_32	1086_38	 	1638_41	1208_42	 
Staphylococcus aureus ST228/10497 (1075077.3)	1380_18	 	1791_32	1090_38	 	1643_41	1212_42	 
Staphylococcus aureus ST228/15532 (1075078.3)	1378_18	 	1784_32	1085_38	 	1641_41	1207_42	 
Staphylococcus aureus ST228/16035 (1075079.3)	1374_18	 	1781_32	1082_38	 	1637_41	1205_42	 
Staphylococcus aureus ST228/18412 (1075082.3)	1380_18	 	1788_32	1087_38	 	1643_41	1211_42	 
Staphylococcus aureus VH221 (1278074.4)	510_18	 	1284_32	1068_38	 	1915_41	1860_42	 
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	1521_18	 	1918_32	1228_38	 	1776_41	1351_42	1514_46
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	531_18	 	1449_32	1208_38	 	2069_41	1620_42	 
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	21_18	 	2485_32	748_38	 	662_41	2156_42	 
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	1143_18	 	2342_32	73_38	 	1744_41	222_42	 
Staphylococcus aureus subsp. aureus 118 (1144271.3)	1415_18	 	1933_32	179_38	 	1547_41	54_42	 
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	1508_18	 	1898_32	1157_38	 	1763_41	1279_42	 
Staphylococcus aureus subsp. aureus 120 (1221451.3)	520_18	 	752_32	88_38	 	786_41	651_42	 
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	138_18	 	1045_32	1120_38	 	1718_41	2474_42	145_46
Staphylococcus aureus subsp. aureus 132 (644279.4)	1663_18	 	2075_32	1236_38	 	1926_41	1429_42	 
Staphylococcus aureus subsp. aureus 21172 (904723.3)	649_18	 	1811_32	357_38	 	913_41	479_42	 
Staphylococcus aureus subsp. aureus 21178 (904724.3)	320_18	 	806_32	2653_38	 	1798_41	2663_42	 
Staphylococcus aureus subsp. aureus 21189 (904725.3)	2113_18	 	1233_32	2221_38	 	1775_41	600_42	 
Staphylococcus aureus subsp. aureus 21193 (904726.3)	1367_18	 	1185_32	2453_38	 	505_41	134_42	 
Staphylococcus aureus subsp. aureus 21195 (904728.3)	934_18	 	74_32	190_38	 	733_41	2495_42	 
Staphylococcus aureus subsp. aureus 21196 (904729.3)	1905_18	 	1451_32	1621_38	 	678_41	1755_42	1898_46
Staphylococcus aureus subsp. aureus 21200 (904730.3)	374_18	 	798_32	2105_38	 	1123_41	1394_43, 1395_44, 211_42	369_46
Staphylococcus aureus subsp. aureus 21201 (904731.3)	2402_18	 	590_32	95_38	 	720_41	2496_42	 
Staphylococcus aureus subsp. aureus 21202 (904732.3)	2376_18	 	754_32	1210_38	 	458_41	2526_42	 
Staphylococcus aureus subsp. aureus 21209 (904735.3)	613_18	 	2350_32	1924_38	 	777_41	1651_42	 
Staphylococcus aureus subsp. aureus 21232 (904737.3)	2075_18	 	2390_32	454_38	 	1233_41	326_42	 
Staphylococcus aureus subsp. aureus 21236 (904739.3)	353_18	 	31_32	1581_38	 	844_41	1703_42	 
Staphylococcus aureus subsp. aureus 21252 (904743.3)	356_18	 	2537_32	608_38	 	2377_41	1360_42	351_46
Staphylococcus aureus subsp. aureus 21259 (904744.3)	311_18	 	68_32	2315_38	1714_39	1623_41	804_42	 
Staphylococcus aureus subsp. aureus 21262 (904745.3)	1181_18	 	2329_32	116_38	 	2433_41	1992_42	1176_46
Staphylococcus aureus subsp. aureus 21264 (904746.3)	660_18	 	1268_32	2682_38	 	924_41	1157_42	 
Staphylococcus aureus subsp. aureus 21266 (904747.3)	1031_18	 	2253_32	1340_38	 	982_41	1207_42	 
Staphylococcus aureus subsp. aureus 21269 (904749.3)	2455_18	 	1131_32	553_38	 	2138_41	1510_42	 
Staphylococcus aureus subsp. aureus 21272 (904750.3)	237_18	 	1540_32	2333_38	 	491_41	2211_42	 
Staphylococcus aureus subsp. aureus 21282 (904753.3)	1533_18	 	408_32	170_38	 	776_41	569_42	 
Staphylococcus aureus subsp. aureus 21283 (904754.3)	144_18	 	675_32	1417_38	 	980_41	990_42	 
Staphylococcus aureus subsp. aureus 21305 (904759.3)	2310_18	 	1876_32	2135_38	 	1260_41	2496_42	 
Staphylococcus aureus subsp. aureus 21310 (904760.3)	1027_18	 	884_32	102_38	2282_39	181_41	2434_42	 
Staphylococcus aureus subsp. aureus 21318 (904763.3)	769_18, 770_18	 	1784_32	2341_38	 	533_41	1132_42	 
Staphylococcus aureus subsp. aureus 21331 (904766.3)	502_18	 	1991_32	283_38	 	757_41	1084_42	 
Staphylococcus aureus subsp. aureus 21333 (904767.3)	2231_18	 	660_32	171_38	 	324_41	48_42	 
Staphylococcus aureus subsp. aureus 21334 (904768.3)	1193_18	 	1396_32	766_38	 	1877_41	2127_42	 
Staphylococcus aureus subsp. aureus 21340 (904771.3)	1822_18	 	2107_32	1466_38	 	2173_41	2548_42	1829_46
Staphylococcus aureus subsp. aureus 21342 (904772.3)	1889_18	 	358_32	2451_38	 	192_41	947_42	 
Staphylococcus aureus subsp. aureus 21343 (904773.3)	1967_18	 	2190_32	1737_38	 	25_41	1605_42	 
Staphylococcus aureus subsp. aureus 21345 (904774.3)	2581_18	 	2442_32	2400_38	 	1284_41	32_42	 
Staphylococcus aureus subsp. aureus 333 (1221452.3)	1350_18	 	2290_32	542_38	 	2013_41	668_42	 
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	1779_18	 	360_32	2294_38	 	2501_41	2421_42	 
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	2043_18	 	2479_32	1754_38	 	2313_41	1893_42	 
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	2068_18	 	2495_32	1140_38	 	2341_41	1276_42	 
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	1772_18	 	2481_32	2185_38	 	2072_41	2323_42	 
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	2040_18	 	2461_32	1799_38	 	2310_41	1930_42	 
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	1117_18	 	1461_32	793_38	 	649_41	946_42	 
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	475_18	 	2513_32	836_38	 	209_41	706_42	 
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	1775_18	 	1482_32	2095_38	 	1507_41	1960_42	 
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)	1094_18	 	1519_32	711_38	 	1365_41	863_42	 
Staphylococcus aureus subsp. aureus C101 (585149.6)	1680_18	 	2102_32	1310_38	 	1947_41	1448_42	 
Staphylococcus aureus subsp. aureus C160 (585150.3)	1769_18	 	2528_32	2187_38	 	2042_41	2340_42	 
Staphylococcus aureus subsp. aureus C427 (585151.3)	728_18	 	1616_32	1136_38	 	992_41	1271_42	 
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)	1341_18, 2568_18	 	1136_32	1054_38	 	4_41	930_42	2567_46
Staphylococcus aureus subsp. aureus CGS00 (543538.3)	146_18	 	2316_32	1478_38	 	419_41	1626_42	 
Staphylococcus aureus subsp. aureus CGS01 (543539.3)	174_18	 	2326_32	234_38	 	2592_41	362_42	 
Staphylococcus aureus subsp. aureus CGS03 (543540.3)	1191_18	 	1777_32	62_38	 	537_41	184_42	 
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)	2312_18	 	1693_32	1956_38	 	2580_41	2080_42	 
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)	2054_18	 	2467_32	1700_38	 	2323_41	1823_42	 
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)	2094_18	 	2498_32	1708_38	 	2355_41	1855_42	2088_46
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)	2019_18	 	2516_32	1728_38	 	2273_41	1852_42	 
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)	2043_18	 	2492_32	1685_38	 	2311_41	1809_42	 
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)	2256_18	 	2822_32	1871_38	 	2535_41	2022_42	 
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)	2004_18	 	2417_32	1718_38	 	2275_41	1841_42	 
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)	2244_18	 	1650_32	1859_38	 	2519_41	2010_42	 
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)	2138_18	 	2634_32	1754_38	 	2420_41	1905_42	 
