Organism	GlyA	GlyB	Tdh	Kbl	GlyTrns
Enterococcus faecalis SF105 (1158658.3)	2709	 	 	 	1540_7
Enterococcus faecalis SF1592 (1158630.3)	2276	 	 	 	1040_7
Enterococcus faecalis SF19 (1158629.3)	2321	 	 	 	1094_7
Enterococcus faecalis SF21520 (1169313.3)	2248	 	 	 	1065_7
Enterococcus faecalis SF21521 (1158668.3)	2040	 	 	 	857_7
Enterococcus faecalis SF24396 (1158665.3)	2098	 	 	 	986_7
Enterococcus faecalis SF24397 (1158618.3)	2253	 	 	 	1136_7
Enterococcus faecalis SF24413 (1158619.3)	2300	 	 	 	1135_7
Enterococcus faecalis SF26630 (1158620.3)	2362	 	 	 	1095_7
Enterococcus faecalis SF28073 (1158624.3)	2051	 	 	 	894_7
Enterococcus faecalis SF339 (1169305.3)	2299	 	 	 	1075_7
Enterococcus faecalis SF350 (1169251.3)	2699	 	 	 	1530_7
Enterococcus faecalis SF370 (1158655.3)	2422	 	 	 	1098_7
Enterococcus faecalis SF5039 (1169252.3)	2354	 	 	 	1245_7
Enterococcus faecalis SF6375 (1169280.3)	2012	 	 	 	908_7
Enterococcus faecalis SS-6 (1158621.3)	2214	 	 	 	1065_7
Enterococcus faecalis SS-7 (1169298.3)	2132	 	 	 	1016_7
Enterococcus faecalis T1 (565636.4)	2535	 	 	 	2278_7
Enterococcus faecalis T10 (1169295.3)	1968	 	 	 	904_7
Enterococcus faecalis T11 (565640.5)	1722	 	 	 	2022_7
Enterococcus faecalis T12 (1169287.3)	2116	 	 	 	1032_7
Enterococcus faecalis T13 (1158663.3)	2021	 	 	 	944_7
Enterococcus faecalis T14 (1158626.3)	2232	 	 	 	1068_7
Enterococcus faecalis T16 (1158662.3)	2167	 	 	 	1057_7
Enterococcus faecalis T17 (1169292.3)	2240	 	 	 	1083_7
Enterococcus faecalis T18 (1169296.3)	2033	 	 	 	923_7
Enterococcus faecalis T19 (1169300.3)	2237	 	 	 	1059_7
Enterococcus faecalis T2 (565637.4)	2718	 	 	 	2493_7
Enterococcus faecalis T20 (1169285.3)	1937	 	 	 	890_7
Enterococcus faecalis T21 (1158669.3)	2162	 	 	 	1044_7
Enterococcus faecalis T3 (565638.4)	1233	 	 	 	1495_7
Enterococcus faecalis T4 (1169253.3)	2231	 	 	 	985_7
Enterococcus faecalis T5 (1169293.3)	2239	 	 	 	1164_7
Enterococcus faecalis T6 (1169291.3)	2071	 	 	 	1044_7
Enterococcus faecalis T7 (1169254.3)	2505	 	 	 	1403_7
Enterococcus faecalis T8 (565639.4)	1292	 	 	 	810_7
Enterococcus faecalis T9 (1169294.3)	2171	 	 	 	1027_7
Enterococcus faecalis TR161 (1169314.3)	2404	 	 	 	1088_7
Enterococcus faecalis TR197 (1169307.3)	2444	 	 	 	1254_7
Enterococcus faecalis TUSoD Ef11 (553209.3)	1256	 	 	 	2317_7
Enterococcus faecalis TX0012 (749496.3)	1692	 	 	 	1407_7
Enterococcus faecalis TX0017 (749497.3)	1272	 	 	 	2365_7
Enterococcus faecalis TX0027 (749498.3)	1324	 	 	 	2214_7
Enterococcus faecalis TX0031 (749499.3)	2530	 	 	 	848_7
Enterococcus faecalis TX0043 (749500.3)	1839	 	 	 	834_7
Enterococcus faecalis TX0102 (749501.3)	2545	 	 	 	447_7
Enterococcus faecalis TX0104 (491074.3)	883	 	 	 	482_7
Enterococcus faecalis TX0109 (749502.3)	998	 	 	 	1831_7
Enterococcus faecalis TX0309A (749503.3)	1952	 	 	 	319_7
Enterococcus faecalis TX0309B (749504.3)	1610	 	 	 	2545_7
Enterococcus faecalis TX0312 (749505.3)	953	 	 	 	1797_7
Enterococcus faecalis TX0411 (749506.3)	687	 	 	 	1289_7
Enterococcus faecalis TX0470 (749507.3)	683	 	 	 	356_7
Enterococcus faecalis TX0630 (749508.3)	605	 	 	 	2172_7
Enterococcus faecalis TX0635 = WH245 (749509.5)	2225	 	 	 	991_7
Enterococcus faecalis TX0645 (749510.3)	1618	 	 	 	2428_7
Enterococcus faecalis TX0855 (749511.3)	338	 	 	 	2350_7
Enterococcus faecalis TX0860 (749512.3)	2764	 	 	 	1114_7
Enterococcus faecalis TX1322 (525278.3)	1189	 	 	 	954_7
Enterococcus faecalis TX1337RF (1134802.3)	1790	 	957	958_4	1220_7, 420_7
Enterococcus faecalis TX1341 (749514.3)	666	 	 	 	928_7
Enterococcus faecalis TX1346 (749516.3)	2360	 	 	 	305_7
Enterococcus faecalis TX2134 (749518.3)	2245	 	 	 	208_7
Enterococcus faecalis TX2137 (749491.3)	2623	 	 	 	95_7
Enterococcus faecalis TX2141 (749492.3)	2408	 	 	 	1483_7
Enterococcus faecalis TX4000 (749493.3)	732	 	 	 	322_7
Enterococcus faecalis TX4244 (749494.3)	345	 	 	 	589_7
Enterococcus faecalis TX4248 (749495.4)	2625	 	 	 	865_7
Enterococcus faecalis UAA1014 (1158546.3)	2173	 	 	 	1122_7
Enterococcus faecalis UAA1180 (1158552.3)	1951	 	 	 	895_7
Enterococcus faecalis UAA1489 (1158976.3)	2454	 	 	 	1083_7
Enterococcus faecalis UAA409 (1158637.3)	2053	 	 	 	853_7
Enterococcus faecalis UAA702 (1158640.3)	2274	 	 	 	1000_7
Enterococcus faecalis UAA769 (1157369.3)	2443	 	 	 	1307_7
Enterococcus faecalis UAA823 (1157370.3)	2360	 	 	 	1122_7
Enterococcus faecalis UAA902 (1157371.3)	2097	 	 	 	1080_7
Enterococcus faecalis UAA903 (1157372.3)	2098	 	 	 	1079_7
Enterococcus faecalis UAA904 (1157373.3)	2091	 	 	 	1073_7
Enterococcus faecalis UAA905 (1157374.3)	2089	 	 	 	1071_7
Enterococcus faecalis UAA906 (1157375.3)	2057	 	 	 	1042_7
Enterococcus faecalis UAA907 (1157376.3)	2153	 	 	 	1076_7
Enterococcus faecalis UAA943 (1157377.3)	2156	 	 	 	1077_7
Enterococcus faecalis UAA948 (1158542.3)	2278	 	 	 	1197_7
Enterococcus faecalis V583 (226185.9)	2384	 	 	 	1030_7
Enterococcus faecalis V587 (1158623.3)	2192	 	 	 	813_7
Enterococcus faecalis WH257 (1158628.3)	2157	 	 	 	931_7
Enterococcus faecalis WH571 (1158631.3)	2274	 	 	 	1032_7
Enterococcus faecalis X98 (565641.4)	2511	 	 	 	2225_7
Enterococcus faecalis YI6-1 (1158667.3)	626	 	 	 	1078_7
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	1419	 	 	 	97_7
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	2030	 	 	 	931_7
Enterococcus faecium 1,141,733 (565659.3)	1860	 	740	741_4	1138_7, 1588_7
Enterococcus faecium 1,230,933 (565656.3)	2151	 	179	178_4	1556_7, 762_7, 928_7
Enterococcus faecium 1,231,408 (565661.4)	1858	 	275	274_4	1002_7, 622_7
Enterococcus faecium 1,231,410 (565660.4)	1912	 	182	183_4	1331_7, 1631_7, 929_7
Enterococcus faecium 1,231,501 (565658.4)	1806	 	800	801_4	1242_7, 2012_7, 2492_7
Enterococcus faecium 1,231,502 (565657.5)	1504	 	278	279_4	459_7, 588_7, 960_7
Enterococcus faecium 109 A1 (1157416.3)	590	 	1190	1189_4	165_7, 1939_7, 289_7
Enterococcus faecium 2006-70-121 (1157417.3)	1648	 	875	876_4	1551_7, 2041_7, 2702_7
Enterococcus faecium 504 (1134805.3)	360	 	1653	1654_4	1760_7, 724_7, 854_7
Enterococcus faecium 505 (1134806.3)	2104	 	169	168_4	1099_7, 1642_7, 2357_7, 2358_7
Enterococcus faecium 7330381-1 (1157419.3)	99	 	1943	1942_4	447_7, 838_7
Enterococcus faecium 7330446-2 (1157420.3)	744	 	1514	1515_4	160_7, 2138_7, 2431_7
Enterococcus faecium 7330519-3 (1157421.3)	2132	 	1084	1085_4	161_7, 1654_7, 323_7
Enterococcus faecium 7330614-1 (1157422.3)	2048	 	1030	1029_4	160_7, 1782_7, 316_7
Enterococcus faecium 7330884-2 (1157423.3)	676	 	1418	1419_4	162_7, 2038_7, 306_7
Enterococcus faecium 7430166-3 (1157424.3)	687	 	1516	1517_4	160_7, 2139_7, 316_7
Enterococcus faecium 841V03 (1157425.3)	629	 	1774	1775_4	162_7, 318_7, 960_7
Enterococcus faecium 9730219-1 (1157429.3)	1689	 	859	860_4	1425_7, 161_7, 319_7
Enterococcus faecium 9730357-1 (1157430.3)	1616	 	2135	2136_4, 2138_4, 2139_4	319_7, 475_7, 768_7
Enterococcus faecium 9731349-1 (1157431.3)	740	 	1274	1275_4	173_7, 2250_7, 319_7
Enterococcus faecium 9731352-4 (1157432.3)	2303	 	1227	1228_4	160_7, 1845_7, 316_7
Enterococcus faecium 9830091-5 (1157433.3)	1875	 	1134	1135_4	160_7, 2303_7, 320_7
Enterococcus faecium 9830512-2 (1157435.3)	835	 	1905	1906_4	1163_7, 160_7, 317_7
Enterococcus faecium 9830565-4 (1157437.3)	768	 	2088	2089_4	1364_7, 318_7, 458_7
Enterococcus faecium 9930238-2 (1157440.3)	782	 	2080	2081_4	1314_7, 161_7
Enterococcus faecium 9931110-4 (1157441.3)	2380	 	1409	1410_4	161_7, 321_7, 614_7
Enterococcus faecium A17 Sv1 (1157442.3)	1105	 	1587	1588_4	160_7, 2206_7, 318_7
Enterococcus faecium ATCC 8459 (1158600.4)	1576	 	2300, 2301	2299_4	1269_7, 255_7, 399_7
Enterococcus faecium Aus0004 (1155766.14)	2384	 	1018	1019_4	196_7, 351_7, 647_7
Enterococcus faecium C309 (1176489.3)	1921	 	605	606_4	1105_7, 1378_7, 3237_7
Enterococcus faecium C68 (565664.3)	2118	 	1045	1044_4	354_7, 467_7
Enterococcus faecium CRL1879 (1295527.3)	2303	 	1467, 1468	1469_4	117_7, 1982_7, 541_7
Enterococcus faecium Com12 (565662.4)	1734	 	501, 502	503_4	1444_7, 879_7
Enterococcus faecium Com15 (565663.4)	2048	 	506	507_4	1749_7, 2416_7, 906_7
Enterococcus faecium D344SRF (565665.3)	721	 	1334	1333_4	724_7, 812_7, 995_7
Enterococcus faecium E0045 (1138880.3)	1316	 	913	914_4	150_7, 1661_7, 1822_7
Enterococcus faecium E0120 (1138881.3)	2056	 	403	402_4	1195_7, 1554_7, 1694_7
Enterococcus faecium E0164 (1138882.3)	1743	 	325	324_4	1035_7, 1381_7
Enterococcus faecium E0269 (1138883.3)	1768	 	1037	1036_4	1351_7, 1489_7, 561_7
Enterococcus faecium E0333 (1138884.3)	2153	 	329	328_4	1260_7, 1792_7, 1939_7
Enterococcus faecium E0679 (1138885.3)	1076	 	465	466_4, 467_4	1591_7, 1887_7, 1979_7
Enterococcus faecium E0680 (1138886.3)	1666	 	867	868_4	1326_7, 159_7
Enterococcus faecium E0688 (1138887.3)	2121	 	81	80_4	1651_7, 1810_7, 839_7
Enterococcus faecium E1007 (1138888.3)	180	 	851	850_4	1655_7, 1965_7, 2112_7
Enterococcus faecium E1039 (645663.4)	682	 	808	807_4	1370_7, 2080_7, 2200_7
Enterococcus faecium E1050 (1138889.3)	2154	 	1381	1382_4	171_7, 311_7, 583_7
Enterococcus faecium E1071 (535205.4)	410	 	2155	2154_4	1191_7, 124_7, 583_7
Enterococcus faecium E1133 (1138890.3)	1677	 	614	615_4	1082_7, 1762_7
Enterococcus faecium E1162 (535206.4)	1615	 	28	27_4	171_7, 2116_7, 2144_7
Enterococcus faecium E1185 (1138891.3)	1655	 	1003	1004_4	161_7, 1926_7
Enterococcus faecium E1258 (1138892.3)	2159	 	995	996_4	1469_7, 1622_7, 559_7
Enterococcus faecium E1293 (1138893.3)	2123	 	1451	1452_4	194_7, 381_7, 671_7
Enterococcus faecium E1321 (1138930.3)	1614	 	327	326_4	1087_7, 1358_7, 2432_7
Enterococcus faecium E1392 (1138894.3)	2308	 	312	311_4	1252_7, 1396_7, 1753_7
Enterococcus faecium E1552 (1138895.3)	1986	 	937	938_4	1352_7, 1509_7, 178_7
Enterococcus faecium E1573 (1138896.3)	811	 	2008	2007_4	1383_7, 1524_7, 748_7
Enterococcus faecium E1574 (1138897.3)	1970	 	329	328_4	1116_7, 1472_7, 1612_7
Enterococcus faecium E1575 (1138898.3)	1766	 	554	553_4	1321_7, 1646_7
Enterococcus faecium E1576 (1138899.3)	1787	 	1542	1541_4	1061_7, 51_7, 909_7
Enterococcus faecium E1578 (1138900.3)	2068	 	1384	1385_4	174_7, 315_7, 595_7
Enterococcus faecium E1590 (1138901.3)	2150	 	1304	1303_4	1770_7, 803_7
Enterococcus faecium E1604 (1138902.3)	242	 	953	952_4	1855_7, 2145_7, 2304_7
Enterococcus faecium E1613 (1138903.3)	2353	 	816	815_4	1557_7, 1961_7, 2135_7
Enterococcus faecium E1620 (1138904.3)	1711	 	1474	1473_4	1934_7, 501_7, 753_7
Enterococcus faecium E1622 (1138905.3)	2132	 	354	353_4	1192_7, 1470_7, 1612_7
Enterococcus faecium E1623 (1138906.3)	1751	 	1321	1322_4	1001_7, 1140_7, 47_7
Enterococcus faecium E1626 (1138907.3)	2177	 	617	618_4	1377_7, 1680_7, 1827_7
Enterococcus faecium E1627 (1138908.3)	1929	 	341	340_4	1145_7, 1414_7, 1575_7
Enterococcus faecium E1630 (1138909.3)	2243	 	1014	1015_4	1480_7, 1637_7, 594_7
Enterococcus faecium E1634 (1138910.3)	1965	 	512	513_4, 514_4	1087_7, 1710_7
Enterococcus faecium E1636 (544875.4)	1331	 	2411	2410_4	1740_7, 2631_7, 667_7
Enterococcus faecium E1644 (1138931.3)	2096	 	1263	1262_4	165_7, 586_7
Enterococcus faecium E1731 (1138913.3)	2278	 	869	868_4	1453_7, 1601_7, 195_7
Enterococcus faecium E1861 (1138914.3)	1978	 	316	315_4	1141_7, 1445_7, 1598_7
Enterococcus faecium E1904 (1138915.3)	2042	 	214	215_4	1728_7, 2837_7, 829_7
Enterococcus faecium E1972 (1138916.3)	1759	 	1081	1082_4	165_7, 2072_7, 2271_7
Enterococcus faecium E2039 (1138917.3)	2070	 	624	625_4	1137_7, 1289_7, 1648_7
Enterococcus faecium E2071 (1138918.3)	2196	 	1233	1232_4	150_7, 1628_7, 1780_7
Enterococcus faecium E2134 (1138919.3)	182	 	883	882_4	1651_7, 1925_7, 2052_7
Enterococcus faecium E2297 (1138920.3)	1890	 	720	721_4	1539_7, 201_7, 495_7
Enterococcus faecium E2369 (1138932.3)	2000	 	895	894_4	1146_7, 1842_7
Enterococcus faecium E2560 (1138933.3)	2189	 	847	848_4	1306_7, 1440_7, 1748_7
Enterococcus faecium E2620 (1138921.3)	184	 	831	830_4	1615_7, 2134_7
Enterococcus faecium E2883 (1138922.3)	2046	 	1011	1010_4	12_7, 2290_7, 340_7
Enterococcus faecium E2966 (1138923.3)	2110	 	1367	1368_4	173_7, 319_7, 983_7
Enterococcus faecium E3083 (1138924.3)	1913	 	327, 328	326_4	1120_7, 1620_7
Enterococcus faecium E3346 (1138925.3)	2026	 	299	298_4	1046_7, 1385_7, 1544_7
Enterococcus faecium E3548 (1138926.3)	2100	 	316	315_4	1130_7, 1626_7
Enterococcus faecium E4215 (1138929.3)	1660	 	1319	1318_4	594_7, 923_7
Enterococcus faecium E4389 (1138934.3)	1811	 	331	330_4	1440_7, 2359_7, 991_7
Enterococcus faecium E6012 (1138935.3)	2073	 	1121	1122_4	1601_7, 1737_7, 183_7
Enterococcus faecium E6045 (1138936.3)	2478	 	1431	1430_4	323_7, 458_7, 765_7
Enterococcus faecium E8sv3 (1157443.3)	2065	 	1415	1416_4	160_7, 319_7, 608_7
Enterococcus faecium E980 (529885.3)	1202	 	306	307_4	1866_7, 2_7, 2603_7
Enterococcus faecium ERV1 (1134819.3)	2129	 	1252	1253_4	151_7, 2439_7, 2713_7
Enterococcus faecium EnGen0305 (1158641.3)	2535	 	676	677_4	1590_7, 1880_7, 224_7
Enterococcus faecium EnGen0308 (1158642.3)	548	 	939	937_4, 938_4	1733_7, 2021_7, 2178_7
Enterococcus faecium EnGen0312 (1158652.3)	2504	 	1258	1259_4	1001_7, 2245_7, 2741_7
Enterococcus faecium EnGen0314 (1158646.3)	2548	 	1637	1638_4	173_7, 2285_7, 359_7
Enterococcus faecium EnGen0316 (1158647.3)	1519	 	2410	2411_4	173_7, 363_7, 658_7
Enterococcus faecium EnGen0318 (1158648.3)	415	 	2079	2080_4	1404_7, 174_7, 671_7
Enterococcus faecium EnGen0319 (1158649.3)	1186	 	2363	2364_4	175_7, 364_7, 658_7
Enterococcus faecium EnGen0321 (1158650.3)	2539	 	1595	1596_4	175_7, 2281_7, 366_7
Enterococcus faecium EnGen0323 (1158651.3)	2550	 	1331	1332_4	172_7, 1986_7, 702_7
Enterococcus faecium EnGen0375 (1138937.4)	2038	 	1566	1567_4	2631_7, 394_7, 599_7
Enterococcus faecium EnGen0376 (1138938.4)	1952	 	1212	1213_4	173_7, 2608_7, 368_7
Enterococcus faecium EnGen0377 (1138939.4)	2784	 	1646	1645_4	248_7, 539_7, 736_7
Enterococcus faecium F9730129-1 (1157479.3)	880	 	1414	1415_4	177_7, 2401_7, 299_7
Enterococcus faecium H17243 (1157444.3)	1076	 	1504	1503_4	172_7, 1985_7, 314_7
Enterococcus faecium H17575 (1157446.3)	679	 	1362	1363_4	161_7, 2243_7, 321_7
Enterococcus faecium HF50104 (1157480.3)	839	 	1861	1862_4	162_7, 2593_7, 324_7
Enterococcus faecium HF50105 (1157481.3)	629	 	1210	1211_4	160_7, 2074_7, 320_7
Enterococcus faecium HF50106 (1157482.3)	628	 	1538	1539_4	162_7, 2400_7, 320_7
Enterococcus faecium HF50203 (1157483.3)	680	 	1494	1493_4	161_7, 2280_7, 308_7
Enterococcus faecium HF50204 (1157484.3)	2236	 	1774	1775_4	420_7, 579_7, 859_7
Enterococcus faecium HF50215 (1157485.3)	633	 	2256	2257_4	1529_7, 161_7, 322_7
Enterococcus faecium HM1071 (1157447.3)	594	 	1153	1154_4	208_7, 2600_7, 773_7
Enterococcus faecium HM1072 (1157487.3)	548	 	1988	1987_4	1478_7, 172_7, 2950_7
Enterococcus faecium HM1073 (1157486.3)	964	 	1850	1849_4	169_7, 2780_7, 371_7
Enterococcus faecium HM1074 (1157448.3)	556	 	881	882_4	1683_7, 1831_7, 191_7
Enterococcus faecium LCT-EF128 (1178528.3)	2009	 	1349	1350_4	171_7, 309_7, 582_7
Enterococcus faecium LCT-EF20 (1245477.3)	1080	 	1167	1166_4	1607_7, 360_7, 73_7
Enterococcus faecium LCT-EF258 (1245478.3)	2039	 	1321	1320_4	364_7, 654_7, 840_7
Enterococcus faecium LCT-EF90 (1167697.3)	1397	 	1774	1775_4	362_7, 649_7, 834_7
Enterococcus faecium NRRL B-2354 (1104325.3)	2168	 	1664, 1665	1663_4	157_7, 301_7, 604_7
Enterococcus faecium PC4.1 (791161.5)	1556	 	475, 476, 477	478_4	2257_7, 276_7
Enterococcus faecium S658-3 (1157451.3)	2067	 	1418	1419_4	159_7, 319_7, 609_7
Enterococcus faecium TC 6 (565666.3)	1751	 	1147	1146_4	2107_7, 336_7, 595_7
Enterococcus faecium TX0082 (749520.3)	233	 	790	789_4	119_7, 2053_7, 847_7
Enterococcus faecium TX0133A (749521.3)	1409	 	1645	1644_4	1056_7, 1465_7, 1980_7
Enterococcus faecium TX0133B (749524.3)	983	 	659	660_4	1488_7, 515_7, 92_7
Enterococcus faecium TX0133C (749525.3)	1397	 	1158	1157_4	1726_7, 2285_7, 2511_7
Enterococcus faecium TX0133a04 (749523.3)	390	 	2224	2225_4	1166_7, 1399_7, 1592_7
Enterococcus faecium TX1330 (525279.3)	2025	 	113, 114	112_4	1183_7, 886_7
Enterococcus faecium U0317 (547468.4)	2536	 	1445	1446_4	501_7, 535_7, 581_7
Enterococcus faecium UAA1007 (1158545.3)	2623	 	1105	1106_4	197_7, 2342_7, 324_7
Enterococcus faecium UAA1019 (1158547.3)	2825	 	1914	1913_4	197_7, 343_7, 637_7
Enterococcus faecium UAA1022 (1158548.3)	2285	 	1044	1045_4, 1046_4	158_7, 2030_7, 311_7
Enterococcus faecium UAA1023 (1158549.3)	2758	 	2348	2349_4	1563_7, 192_7, 939_7
Enterococcus faecium UAA1024 (1158550.3)	2271	 	866	867_4	1764_7, 193_7, 2044_7
Enterococcus faecium UAA1025 (1158551.3)	2700	 	1624	1625_4	200_7, 345_7, 906_7
Enterococcus faecium UAA1280 (1158553.3)	2112	 	1585	1586_4	185_7, 639_7
Enterococcus faecium UAA1433 (1158554.3)	700	 	1966	1967_4	1167_7, 196_7, 335_7
Enterococcus faecium UAA1484 (1158555.3)	2462	 	1545	1544_4	168_7, 2804_7, 314_7
Enterococcus faecium UAA210 (1158635.3)	558	 	1051	1052_4	169_7, 1919_7, 387_7
Enterococcus faecium UAA407 (1158636.3)	385	 	2064	2065_4	171_7, 523_7, 752_7
Enterococcus faecium UAA430 (1158638.3)	2399	 	1420, 1421	1422_4	172_7, 2136_7, 319_7
Enterococcus faecium UAA431 (1158639.3)	1597	 	689	690_4	1283_7, 165_7, 323_7
Enterococcus faecium UAA714 (1157453.3)	2199	 	1361	1360_4	163_7, 2708_7, 411_7
Enterococcus faecium UAA715 (1157454.3)	1335	 	1551	1552_4	163_7, 321_7, 589_7
Enterococcus faecium UAA716 (1157455.3)	2117	 	1474	1475_4	171_7, 2576_7
Enterococcus faecium UAA718 (1157456.3)	1564	 	845	846_4	164_7, 2479_7, 321_7
Enterococcus faecium UAA719 (1157457.3)	1565	 	682	683_4	164_7, 2209_7, 305_7
Enterococcus faecium UAA720 (1157458.3)	1289	 	2017	2016_4	319_7, 467_7, 762_7
Enterococcus faecium UAA721 (1157459.3)	2047	 	931	932_4	162_7, 1783_7, 327_7
Enterococcus faecium UAA722 (1157460.3)	2011	 	1319	1320_4	172_7, 307_7, 310_7, 583_7
Enterococcus faecium UAA723 (1157461.3)	687	 	2070	2071_4	194_7, 381_7, 946_7
Enterococcus faecium UAA724 (1157462.3)	2534	 	1861	1862_4	1069_7, 194_7, 2305_7
Enterococcus faecium UAA725 (1157463.3)	1313	 	2270	2269_4	178_7, 327_7, 633_7
Enterococcus faecium UAA825 (1157464.3)	1298	 	1779	1778_4	173_7, 319_7, 626_7
Enterococcus faecium UAA909 (1157476.3)	1904	 	936	937_4	167_7, 2428_7
Enterococcus faecium UAA910 (1157477.3)	1562	 	856	857_4	165_7, 2598_7, 324_7
Enterococcus faecium UAA911 (1157478.3)	783	 	1928	1927_4	166_7
Enterococcus faecium UAA944 (1157465.3)	1009	 	2302	2303_4, 2304_4	174_7, 543_7
Enterococcus faecium UAA945 (1157488.3)	1211	 	2115	2116_4, 2117_4	306_7, 939_7
Enterococcus faecium UAA947 (1158541.3)	2425	 	846	847_4	174_7, 2006_7, 2299_7
Enterococcus faecium UAA949 (1158644.3)	619	 	1681	1680_4	179_7, 874_7
Enterococcus faecium UAA950 (1158645.3)	942	 	1483	1482_4	210_7, 2506_7
Enterococcus faecium UAA951 (1158543.3)	190	 	1300	1299_4	2533_7, 576_7
Enterococcus faecium UAA952 (1158544.3)	2270	 	1303	1302_4	183_7, 333_7, 630_7
Enterococcus faecium UC7251 (1328870.3)	1538	 	651	650_4	1179_7, 1578_7, 2062_7
Enterococcus faecium VAN 219 (1157466.3)	665	 	1959	1960_4	1103_7, 163_7, 299_7
Enterococcus faecium VAN 222 (1157467.3)	2254	 	1546	1547_4	166_7, 305_7, 685_7
Enterococcus faecium VAN 327 (1169279.3)	1975	 	1224	1223_4	182_7, 322_7, 624_7
Enterococcus faecium VAN 332 (1157468.3)	679	 	1800	1801_4	1010_7, 173_7, 378_7
Enterococcus faecium VAN 335 (1157469.3)	358	 	1352	1353_4	1697_7, 1837_7, 2248_7
Enterococcus faecium VAN 342 (1157470.3)	852	 	2309	2310_4	1293_7, 173_7, 355_7
Enterococcus faecium VAN 345 (1157471.3)	473	 	2201	2202_4	1156_7, 1438_7, 173_7
Enterococcus faecium VAN 476 (1169278.3)	2084	 	1616	1617_4	313_7, 449_7, 765_7
Enterococcus faecium VRE 108 (1157472.3)	2737	 	1932	1933_4	166_7, 299_7, 606_7
Enterococcus faecium VRE 110 (1157473.3)	92	 	1890	1891_4	2828_7, 390_7, 537_7
Enterococcus faecium VRE 13 (1157474.3)	2585	 	1199	1200_4	167_7, 2314_7, 304_7
Enterococcus faecium VRE 84 (1157475.3)	1095	 	1544	1545_4	172_7, 321_7, 635_7
Enterococcus gallinarum EG2 (565653.4)	2348	 	 	 	 
Enterococcus hirae ATCC 9790 (768486.3)	375	 	2322	2323_4	1185_7, 266_7, 778_7
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	396	3444	 	 	 
Enterococcus saccharolyticus 30_1 (742813.4)	2596	 	 	 	 
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	562	 	 	 	 
Enterococcus sp. 7L76 (657310.3)	845	 	 	 	2335_7
Lactobacillus acidophilus 30SC (891391.3)	243	 	 	 	2023_7, 469_7
Lactobacillus acidophilus ATCC 4796 (525306.3)	1348	 	 	 	150_7, 1653_7
Lactobacillus acidophilus La-14 (1314884.3)	247	 	 	 	1832_7, 446_7
Lactobacillus amylolyticus DSM 11664 (585524.3)	800	 	 	 	1073_7, 569_7
Lactobacillus amylovorus GRL 1112 (695560.3)	274	 	 	 	2043_7, 485_7
Lactobacillus amylovorus GRL1118 (695562.4)	255	 	 	 	1850_7, 445_7
Lactobacillus animalis KCTC 3501 (930942.3)	577	 	 	 	552_7, 563_7, 8_7
Lactobacillus antri DSM 16041 (525309.3)	 	 	 	 	1148_7, 1149_7, 1766_7
Lactobacillus brevis KB290 (1001583.3)	769	 	 	 	868_7, 907_7
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	2006	 	 	 	1272_7, 2102_7, 2473_7, 267_7, 758_7, 796_7
Lactobacillus buchneri ATCC 11577 (525318.3)	1835	 	 	 	157_7, 1928_7, 2359_7, 526_7, 984_7, 985_7
Lactobacillus buchneri CD034 (1071400.3)	944	 	 	 	1043_7, 13_7, 1356_7, 155_7, 425_7
Lactobacillus buchneri NRRL B-30929 (511437.3)	949	 	 	 	1045_7, 1369_7, 177_7, 468_7, 75_7
Lactobacillus casei 12A (1051650.4)	1110	 	 	 	867_7
Lactobacillus casei 21/1 (1051651.3)	1197	 	 	 	1060_7
Lactobacillus casei 32G (1051652.3)	1338	 	 	 	1127_7, 1128_7, 1129_7
Lactobacillus casei ATCC 334 (321967.11)	1131	 	 	 	1005_7
Lactobacillus casei BD-II (998820.3)	1336	 	 	 	1149_7
Lactobacillus casei BL23 (543734.4)	1291	 	 	 	1113_7
Lactobacillus casei CRF28 (1051654.3)	1073	 	 	 	969_7
Lactobacillus casei LC2W (999378.3)	1290	 	 	 	1160_7
Lactobacillus casei Lc-10 (1051655.5)	1116	 	 	 	972_7
Lactobacillus casei Lpc-37 (1051656.3)	50	 	 	 	1026_7
Lactobacillus casei M36 (1051657.3)	1425	 	 	 	1212_7
Lactobacillus casei T71499 (1051658.3)	1195	 	 	 	1064_7
Lactobacillus casei UCD174 (1051659.3)	1243	 	 	 	1088_7
Lactobacillus casei UW1 (1051660.3)	1167	 	 	 	1025_7
Lactobacillus casei UW4 (1051661.3)	1122	 	 	 	971_7
Lactobacillus casei W56 (1215914.3)	1393	 	 	 	1203_7
Lactobacillus casei str. Zhang (498216.5)	1061	 	 	 	913_7
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	337	 	 	 	449_7
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	301	 	 	 	418_7
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	2433	 	 	 	2276_7
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	1665	 	 	 	916_7
