Organism	UbiC	UbiA	UbiXDZ	UbiI	UbiG	UbiH	UbiE	MenG	UbiF
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	 	 	 	 	 	 	1287_13	1287_13	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	 	 	 	 	 	 	37_13	37_13	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	 	 	 	 	 	 	1439_13, 239_13	1439_13, 239_13	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	 	 	 	 	 	 	838_13	838_13	 
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	 	 	 	 	 	 	1693_13, 226_13	1693_13, 226_13	 
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	 	 	 	 	 	 	396_13	396_13	 
Staphylococcus aureus subsp. aureus TW20 (663951.4)	 	 	 	 	 	 	1571_13, 289_13	1571_13, 289_13	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	 	 	 	 	 	 	1734_13, 2190_13	1734_13, 2190_13	 
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	 	 	 	 	 	 	1490_13, 322_13	1490_13, 322_13	 
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	 	 	 	 	 	 	1495_13, 312_13	1495_13, 312_13	 
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	 	 	 	 	 	 	1311_13, 210_13	1311_13, 210_13	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	 	 	 	 	 	 	2027_13	2027_13	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	 	 	 	 	 	 	1813_13	1813_13	 
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	 	 	 	 	 	 	1342_13, 221_13	1342_13, 221_13	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	 	 	 	 	 	 	1364_13, 256_13	1364_13, 256_13	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	 	 	 	 	 	 	1419_13, 276_13	1419_13, 276_13	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	 	 	 	 	 	 	1391_13, 276_13	1391_13, 276_13	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	 	 	 	 	 	 	1395_13, 219_13	1395_13, 219_13	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	 	 	 	 	 	 	1305_13, 210_13	1305_13, 210_13	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	 	 	 	 	 	 	1368_13, 221_13	1368_13, 221_13	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	 	 	 	 	 	 	1344_13, 225_13	1344_13, 225_13	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	 	 	 	 	 	 	1292_13, 198_13	1292_13, 198_13	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	 	 	 	 	 	 	1415_13, 255_13	1415_13, 255_13	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	 	 	 	 	 	 	1326_13, 221_13	1326_13, 221_13	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	 	 	 	 	 	 	1362_13, 247_13	1362_13, 247_13	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	 	 	 	 	 	 	1792_13, 951_13	1792_13, 951_13	 
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	 	 	 	 	 	 	1692_14, 285_13	285_13	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	 	 	 	 	 	 	1521_13, 257_13	1521_13, 257_13	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	 	 	 	 	 	 	1177_13, 984_13	1177_13, 984_13	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	 	 	 	 	 	 	1501_13, 215_13	1501_13, 215_13	 
Staphylococcus capitis QN1 (1189311.3)	 	 	 	 	 	 	241_13	241_13	 
Staphylococcus capitis SK14 (553212.3)	 	 	 	 	 	 	1028_13	1028_13	 
Staphylococcus capitis VCU116 (904334.4)	 	 	 	 	 	 	2211_13	2211_13	 
Staphylococcus caprae C87 (435838.3)	 	 	 	 	 	 	953_13	953_13	 
Staphylococcus epidermidis 12142587 (1235440.3)	 	 	 	 	 	 	58_13	58_13	 
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	 	 	 	 	 	 	604_13	604_13	 
Staphylococcus epidermidis 41tr (1294271.3)	 	 	 	 	 	 	245_13	245_13	 
Staphylococcus epidermidis 528m (1294272.3)	 	 	 	 	 	 	2628_13, 2629_13	2628_13, 2629_13	 
Staphylococcus epidermidis A487 (904143.3)	 	 	 	 	 	 	982_13	982_13	 
Staphylococcus epidermidis ATCC 12228 (176280.10)	 	 	 	 	 	 	1130_13	1130_13	 
Staphylococcus epidermidis AU12-03 (1220510.3)	 	 	 	 	 	 	329_13	329_13	 
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	 	 	 	 	 	 	1506_13	1506_13	 
Staphylococcus epidermidis BVS058A4 (883130.3)	 	 	 	 	 	 	767_13	767_13	 
Staphylococcus epidermidis FRI909 (764544.3)	 	 	 	 	 	 	832_13	832_13	 
Staphylococcus epidermidis M0881 (1213731.3)	 	 	 	 	 	 	949_13	949_13	 
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	 	 	 	 	 	 	163_13	163_13	 
Staphylococcus epidermidis NIH04003 (1155132.3)	 	 	 	 	 	 	855_13	855_13	 
Staphylococcus epidermidis NIH04008 (979222.3)	 	 	 	 	 	 	2115_13	2115_13	 
Staphylococcus epidermidis NIH05001 (979221.3)	 	 	 	 	 	 	113_13	113_13	 
Staphylococcus epidermidis NIH05003 (1155133.3)	 	 	 	 	 	 	849_13	849_13	 
Staphylococcus epidermidis NIH05005 (979220.3)	 	 	 	 	 	 	519_13	519_13	 
Staphylococcus epidermidis NIH051475 (1155130.3)	 	 	 	 	 	 	895_13	895_13	 
Staphylococcus epidermidis NIH051668 (1155131.3)	 	 	 	 	 	 	894_13	894_13	 
Staphylococcus epidermidis NIH06004 (1155134.3)	 	 	 	 	 	 	1792_13	1792_13	 
Staphylococcus epidermidis NIH08001 (1155135.3)	 	 	 	 	 	 	335_13	335_13	 
Staphylococcus epidermidis NIHLM001 (979219.3)	 	 	 	 	 	 	339_13	339_13	 
Staphylococcus epidermidis NIHLM003 (979218.3)	 	 	 	 	 	 	743_13	743_13	 
Staphylococcus epidermidis NIHLM008 (979217.3)	 	 	 	 	 	 	347_13	347_13	 
Staphylococcus epidermidis NIHLM015 (979216.3)	 	 	 	 	 	 	870_13	870_13	 
Staphylococcus epidermidis NIHLM018 (979215.3)	 	 	 	 	 	 	503_13	503_13	 
Staphylococcus epidermidis NIHLM020 (979213.3)	 	 	 	 	 	 	962_13	962_13	 
Staphylococcus epidermidis NIHLM021 (979212.3)	 	 	 	 	 	 	810_13	810_13	 
Staphylococcus epidermidis NIHLM023 (979211.3)	 	 	 	 	 	 	719_13	719_13	 
Staphylococcus epidermidis NIHLM031 (979214.3)	 	 	 	 	 	 	791_13	791_13	 
Staphylococcus epidermidis NIHLM037 (979210.3)	 	 	 	 	 	 	990_13	990_13	 
Staphylococcus epidermidis NIHLM039 (979209.3)	 	 	 	 	 	 	689_13	689_13	 
Staphylococcus epidermidis NIHLM040 (979208.3)	 	 	 	 	 	 	333_13	333_13	 
Staphylococcus epidermidis NIHLM049 (979207.3)	 	 	 	 	 	 	1374_13	1374_13	 
Staphylococcus epidermidis NIHLM053 (979206.3)	 	 	 	 	 	 	697_13	697_13	 
Staphylococcus epidermidis NIHLM057 (979205.3)	 	 	 	 	 	 	1532_13	1532_13	 
Staphylococcus epidermidis NIHLM061 (979204.3)	 	 	 	 	 	 	653_13	653_13	 
Staphylococcus epidermidis NIHLM067 (979203.3)	 	 	 	 	 	 	731_13	731_13	 
Staphylococcus epidermidis NIHLM087 (979201.3)	 	 	 	 	 	 	825_13	825_13	 
Staphylococcus epidermidis NIHLM088 (979200.3)	 	 	 	 	 	 	797_13	797_13	 
Staphylococcus epidermidis NIHLM095 (979199.3)	 	 	 	 	 	 	808_13	808_13	 
Staphylococcus epidermidis RP62A (176279.9)	 	 	 	 	 	 	1013_13	1013_13	 
Staphylococcus epidermidis SK135 (596317.3)	 	 	 	 	 	 	1639_13	1639_13	 
Staphylococcus epidermidis UC7032 (1327991.3)	 	 	 	 	 	 	143_13	143_13	 
Staphylococcus epidermidis VCU028 (904317.3)	 	 	 	 	 	 	182_13	182_13	 
Staphylococcus epidermidis VCU037 (904319.3)	 	 	 	 	 	 	462_13	462_13	 
Staphylococcus epidermidis VCU041 (904320.3)	 	 	 	 	 	 	2219_13	2219_13	 
Staphylococcus epidermidis VCU045 (904321.3)	 	 	 	 	 	 	1465_13	1465_13	 
Staphylococcus epidermidis VCU065 (904324.3)	 	 	 	 	 	 	983_13	983_13	 
Staphylococcus epidermidis VCU071 (904325.3)	 	 	 	 	 	 	635_13	635_13	 
Staphylococcus epidermidis VCU081 (904326.3)	 	 	 	 	 	 	943_13	943_13	 
Staphylococcus epidermidis VCU105 (904328.3)	 	 	 	 	 	 	1821_13	1821_13	 
Staphylococcus epidermidis VCU107 (904329.3)	 	 	 	 	 	 	1089_13	1089_13	 
Staphylococcus epidermidis VCU109 (904330.3)	 	 	 	 	 	 	1089_13	1089_13	 
Staphylococcus epidermidis VCU116 (904334.3)	 	 	 	 	 	 	2212_13	2212_13	 
Staphylococcus epidermidis VCU117 (904335.3)	 	 	 	 	 	 	2066_13	2066_13	 
Staphylococcus epidermidis VCU118 (904336.3)	 	 	 	 	 	 	1186_13	1186_13	 
Staphylococcus epidermidis VCU120 (904337.3)	 	 	 	 	 	 	295_13	295_13	 
Staphylococcus epidermidis VCU123 (904340.3)	 	 	 	 	 	 	985_13	985_13	 
Staphylococcus epidermidis VCU125 (904341.3)	 	 	 	 	 	 	1778_13	1778_13	 
Staphylococcus epidermidis VCU126 (904342.3)	 	 	 	 	 	 	2053_13	2053_13	 
Staphylococcus epidermidis VCU127 (904343.3)	 	 	 	 	 	 	1175_13	1175_13	 
Staphylococcus epidermidis VCU128 (904344.3)	 	 	 	 	 	 	186_13	186_13	 
Staphylococcus epidermidis VCU129 (904345.3)	 	 	 	 	 	 	271_13	271_13	 
Staphylococcus epidermidis VCU144 (904347.3)	 	 	 	 	 	 	1539_13	1539_13	 
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	 	 	 	 	 	 	2394_13	2394_13	 
Staphylococcus haemolyticus JCSC1435 (279808.8)	 	 	 	 	 	 	1422_13, 615_13	1422_13, 615_13	 
Staphylococcus haemolyticus R1P1 (1134914.3)	 	 	 	 	 	 	1838_13, 559_13	1838_13, 559_13	 
Staphylococcus hominis SK119 (629742.3)	 	 	 	 	 	 	1888_13	1888_13	 
Staphylococcus hominis VCU122 (904339.3)	 	 	 	 	 	 	1428_13	1428_13	 
Staphylococcus hominis subsp. hominis C80 (435837.3)	 	 	 	 	 	 	1435_13	1435_13	 
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	 	 	 	 	 	 	2128_13	2128_13	 
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	 	 	 	 	 	 	438_13, 867_13	438_13, 867_13	 
Staphylococcus lugdunensis HKU09-01 (698737.3)	 	 	 	 	 	 	1374_13, 1812_13	1374_13, 1812_13	 
Staphylococcus lugdunensis M23590 (525377.3)	 	 	 	 	 	 	373_13	373_13	 
Staphylococcus lugdunensis N920143 (1034809.4)	 	 	 	 	 	 	1418_13, 1845_13	1418_13, 1845_13	 
Staphylococcus pettenkoferi VCU012 (904314.5)	 	 	 	 	 	 	1268_13	1268_13	 
Staphylococcus pseudintermedius ED99 (984892.3)	 	 	 	 	 	 	1223_13	1223_13	 
Staphylococcus pseudintermedius HKU10-03 (937773.3)	 	 	 	 	 	 	1171_13	1171_13	 
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	 	 	 	 	 	 	1277_13, 198_13, 2383_13	1277_13, 198_13, 2383_13	 
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	 	 	 	 	 	 	1450_13	1450_13	 
Staphylococcus vitulinus F1028 (1167632.5)	 	 	 	 	 	 	1431_14	 	 
Staphylococcus warneri L37603 (596319.3)	 	 	 	 	 	 	1040_13	1040_13	 
Staphylococcus warneri SG1 (1194526.3)	 	 	 	 	 	 	1259_13	1259_13	 
Staphylococcus xylosus NJ (1262650.3)	 	 	 	 	 	 	2539_13	2539_13	 
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	 	 	 	 	 	 	 
Aerococcus viridans ATCC 11563 (655812.3)	 	 	 	 	 	 	 	 	 
Aerococcus viridans LL1 (1175629.3)	 	 	 	 	 	 	 	 	 
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	 	 	 	 	 	 	 
Granulicatella elegans ATCC 700633 (626369.3)	 	 	 	 	 	 	 	 	 
Enterococcus asini ATCC 700915 (1158606.4)	 	 	 	 	 	 	 	 	 
Enterococcus avium ATCC 14025 (1140002.4)	 	 	 	 	 	 	 	 	 
Enterococcus caccae ATCC BAA-1240 (1158612.4)	 	 	 	 	 	 	 	 	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	 	 	 	 	 	 	847_13	847_13	 
Enterococcus casseliflavus EC10 (565654.4)	 	 	 	 	 	 	1069_13	1069_13	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	 	 	 	 	 	 	 	 	 
Enterococcus dispar ATCC 51266 (1139219.4)	 	 	 	 	 	 	 	 	 
Enterococcus durans ATCC 6056 (1140001.4)	 	 	326_6	 	 	 	 	 	 
Enterococcus durans FB129-CNAB-4 (883162.3)	 	 	2119_6	 	 	 	 	 	 
Enterococcus durans IPLA 655 (1288492.4)	 	 	280_6	 	 	 	 	 	 
Enterococcus faecalis 12030 (1169282.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 12107 (1158664.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 1448E03 (1151193.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 182970 (1151194.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 19116 (1151195.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 2630V05 (1151196.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 2924 (1151197.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 5952 (1158670.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 599 (1134784.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 599951 (1169281.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 62 (936153.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330082-2 (1151198.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330112-3 (1151199.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330245-2 (1151200.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330257-1 (1151201.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330259-5 (1151202.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330948-5 (1151204.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430275-3 (1151205.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430315-3 (1151206.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430416-3 (1151207.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430821-4 (1151208.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 79-3 (1169283.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis A-2-1 (1169245.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis A-3-1 (1169246.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis AR01/DG (565651.6)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 10100 (1169312.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 19433 (1169286.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 27275 (1158675.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 27959 (1158676.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 29200 (525271.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 29212 (1201292.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 35038 (1169290.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 4200 (565642.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 6055 (1169311.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B-4-111 (1169302.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1005 (1157378.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1138 (1157379.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1249 (1157380.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1290 (1151209.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1327 (1151210.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1376 (1151211.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1385 (1151212.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1441 (1157342.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1505 (1157343.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1532 (1157344.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B15725 (1151186.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1586 (1157345.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1618 (1157346.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1623 (1157347.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B16457 (1151187.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1678 (1157348.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1696 (1157349.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1719 (1157350.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1734 (1157351.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1843 (1157352.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1851 (1157381.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1874 (1157353.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1921 (1157382.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1933 (1157383.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2202 (1157384.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2207 (1157354.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2211 (1157385.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2255 (1157355.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2277 (1157386.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2391 (1157356.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2488 (1157357.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2535 (1157358.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2557 (1157359.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2593 (1157360.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2670 (1157387.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2685 (1157388.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2687 (1157389.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2802 (1157390.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2864 (1157392.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2867 (1157393.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2949 (1157394.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3031 (1157361.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3042 (1157362.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3053 (1157363.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3119 (1157395.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3126 (1157364.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3196 (1157396.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3286 (1157397.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3336 (1157398.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4008 (1157399.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4018 (1157400.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4148 (1157401.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4163 (1157402.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4259 (1157403.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4267 (1157404.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4270 (1157405.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4411 (1157406.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4568 (1157407.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4638 (1157408.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4672 (1157409.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4674 (1157410.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4969 (1157411.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B5035 (1158632.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B5076 (1157412.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B56765 (1151188.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B594 (1157365.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B653 (1169309.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B69486 (1151189.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B84847 (1151190.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B878 (1157366.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B939 (1157367.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis C19315WT (1151191.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH116 (1158660.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH136 (1158661.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH188 (565644.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH19 (1158627.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis CH570 (1158656.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com 2 (1158633.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com 6 (1158634.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com1 (1158671.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com7 (1169306.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D1 (1169247.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D173 (1169310.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D3 (1169288.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D32 (1206105.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D6 (565650.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DAPTO 512 (749489.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DAPTO 516 (749490.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DS16 (1158677.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DS5 (565643.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E1 (1158673.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E1Sol (565647.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E99 (1169284.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV103 (1134785.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV116 (1134786.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV129 (1134787.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV25 (1134788.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV31 (1134789.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV37 (1134790.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV41 (1134791.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV62 (1134792.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV63 (1134793.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV65 (1134794.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV68 (1134795.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV72 (1134796.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV81 (1134798.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV85 (1134799.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV93 (1134800.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis EnGen0253 (1158540.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis F1 (1169297.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis FA2-2 (1158622.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Fly 2 (1169303.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Fly1 (565649.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HEF39 (1157368.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HH22 (491075.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HIP11704 (565646.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis JH1 (565648.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis M7 (1111677.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis MMH594 (1158653.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz151 (1169304.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz192 (1169248.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz204 (1169249.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz89 (1169250.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz96 (565645.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Ned10 (1158657.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis OG1RF (474186.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis OG1X (1027372.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis PC1.1 (702448.3)	 	 	1555_6	 	 	 	 	 	 
Enterococcus faecalis Pan7 (1158666.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis R508 (1134801.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis R712 (699186.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RC73 (1158678.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RM3817 (1158674.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RM4679 (1158625.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RMC1 (1169299.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RMC5 (1169289.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RMC65 (1169308.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis S613 (699185.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF100 (1158654.3)	 	 	 	 	 	 	 	 	 
