Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)	154_19_1, 154_19_1	154_19_1	153_5	155_7	156_15, 798	1956_17	1017_21, 2576_21	802_23	1847_25, 801_26	 	1019, 2575
Staphylococcus aureus subsp. aureus IS-105 (904781.3)	1359_19_1, 1359_19_1	1359_19_1	1358_5	1360_7	1361_15, 2586	2210_17	1155_21, 1696_21	2582_23	1759_25, 2583_26	1075_30	1156, 1698
Staphylococcus aureus subsp. aureus IS-111 (904782.3)	2524_19_1, 2524_19_1	2524_19_1	2525	2523_7	2522_8, 693	384_17	182_21, 1876_21, 474_21	1597_23	1598_26, 2065_25	1644_30	180, 1878, 475
Staphylococcus aureus subsp. aureus IS-122 (904783.3)	2061_19_1, 2061_19_1	2061_19_1	2060	2062_7	2063, 2566	543_17	1148_21, 2210_21	2398_23	1934_25, 2397_26	227_30	1147, 2212
Staphylococcus aureus subsp. aureus IS-189 (904787.3)	1660_19_1, 1660_19_1	1660_19_1	1661	1659_7	1658, 47	1896_17	2790_21, 531_21	43_23	2612_25, 44_26	640_30	2788, 530
Staphylococcus aureus subsp. aureus IS-250 (904789.3)	1612_19_1, 1612_19_1	1612_19_1	1611	1613_7	1610_8, 2104_16	1056_17, 1874_17, 2060_17	1042_21, 1139_21, 2056_21	2100_23	2101_26, 983_25	 	1044, 1045, 1137, 2054
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	2126_19_1, 2126_19_1	2126_19_1	2125	2127_7	2024_8, 2128	1518_17	14_21, 536_21	2020_23	2021_26, 2431_25	1134_30	13, 534, 675
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	2232_19_1, 2232_19_1	2232_19_1	2233_5	2231_7	223, 2230_15	154_17	347_21, 619_21	219_23	220_26, 2527_25	 	344, 345, 620
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	164_19_1, 164_19_1	164_19_1	165	163_7	162_8, 1938	2333_17	1335_21, 2568_21	1934_23	1935_26, 2269_25	298_30	1333, 2569
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	599_19_1, 599_19_1	599_19_1	600	598_7	1933_8, 597	1068_17	1136_21, 2731_21	2359_23	1323_25, 2360_26	2823_30	1135, 1698, 2729
Staphylococcus aureus subsp. aureus IS-K (904791.3)	1320_19_1, 1320_19_1	1320_19_1	1319	1321_7	1318_8, 239_16	1596_17, 1774_17, 543_17	1770_21, 52_21, 529_21	235_23	165_25, 236_26	 	1768, 531, 532, 54
Staphylococcus aureus subsp. aureus JH1 (359787.11)	208_19_1, 208_19_1	208_19_1	207	209_7, 219_7	1007_8, 210	2149_17	1286_21, 2765_21	1013_23	1012_26, 2048_25	1993_30	1288, 2764, 89
Staphylococcus aureus subsp. aureus JH9 (359786.13)	211_19_1, 211_19_1	211_19_1	210	212_7, 222_7	1024_8, 213	2180_17	1305_21, 2804_21	1030_23	1029_26, 2077_25	2020_30	1307, 2803, 92
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	170_19_1, 170_19_1	170_19_1	169_5	171_7, 183_7	172_15	2033_17	1077_21, 2668_21	865_23	1927_25, 864_26	1873_30	1079, 2667
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	2231_19_1, 2231_19_1, 2232_19_1, 2232_19_1	2231_19_1, 2232_19_1	2230	2233_7	2234, 342_16	1413_17	2024_21, 570_21	346_23	1379_25, 345_26	 	2023, 572
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	156_19_1, 156_19_1	156_19_1	155_5	157_7	158_15	1843_17	1085_21, 2429_21	881_23	1809_25, 880_26	 	1087, 2428
Staphylococcus aureus subsp. aureus M013 (1118959.3)	167_19_1, 167_19_1	167_19_1	166_5	168_7	169_15, 853	1896_17	1073_21, 2509_21	857_23	1863_25, 856_26	1812_30	1075, 2508
Staphylococcus aureus subsp. aureus M1015 (585156.3)	2536_19_1, 2536_19_1	2536_19_1	2535	2537_7, 2548_7	2538	1572_17	2319_21, 639_21	424_23	1464_25, 423_26	 	2318, 641
Staphylococcus aureus subsp. aureus M809 (585157.3)	2592_19_1, 2592_19_1	2592_19_1	2591	2593_7, 2604_7	2594	1687_17	2317_21, 761_21	243_23	1115_25, 242_26	 	2316, 763
Staphylococcus aureus subsp. aureus M876 (585158.3)	913_19_1, 913_19_1	913_19_1	912	914_7, 925_7	915	2558_17	1613_21, 692_21	1394_23	1393_26, 2452_25	 	1615, 691
Staphylococcus aureus subsp. aureus M899 (585159.3)	325_19_1, 325_19_1	325_19_1	324	326_7, 336_7	327	2123_17	111_21, 1219_21	1010_23	1009_26, 1979_25	 	110, 1221
Staphylococcus aureus subsp. aureus MN8 (548470.3)	1249_19_1, 1249_19_1	1249_19_1	1250	1237_7, 1248_7	1247	2053_17	197_21, 707_21	1614_23	1615_26, 1949_25	 	195, 708
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	2734_19_1, 2734_19_1	2734_19_1	2735	2733_7	2732, 736	1170_17	1281_21, 291_21	740_23	1325_25, 739_26	2068_30	1283, 290
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	170_19_1, 170_19_1	170_19_1	169	171_7	172_8, 808	1903_17	259_21, 598_21	804_23	2001_25, 805_26	370_30	258, 596
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	2137_19_1, 2137_19_1	2137_19_1	2136	2138_7	1435, 2139_8	891_17	1227_21, 329_21	1431_23	1432_26, 2015_25	956_30	1225, 330
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	185_19_1, 185_19_1	185_19_1	184	186_7, 197_7	187	2116_17	1147_21, 2748_21	922_23	2012_25, 921_26	 	1149, 2747, 66
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	159_19_1, 159_19_1	159_19_1	158_5	160_7	161_15, 816_16	1860_17	1018_21, 2466_21	820_23	1766_25, 819_26	 	1020, 2465
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	169_19_1, 169_19_1	169_19_1	168	170_7, 180_7	171_8, 861	2005_17	1146_21, 2625_21	867_23	1908_25, 866_26	1853_30	1148, 2624
Staphylococcus aureus subsp. aureus MW2 (196620.5)	173_19_1, 173_19_1	173_19_1	172	174_7, 184_7	175_8, 882	2019_17	1104_21, 2640_21	888_23	1923_25, 887_26	1870_30	1106, 2639
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	183_19_1, 183_19_1	183_19_1	182	184_7, 194_7	185, 967	2049_17	1181_21, 2686_21	971_23	1947_25, 970_26	1894_30	1183, 2685, 64
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	184_19_1, 184_19_1	184_19_1	183	185_7, 195_7	186, 983	2078_17	1200_21, 2730_21	987_23	1975_25, 986_26	1920_30	1202, 2729, 66
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	184_19_1, 184_19_1	184_19_1	183	185_7, 195_7	186, 981	2076_17	1197_21, 2720_21	985_23	1973_25, 984_26	1917_30	1199, 2719, 65
Staphylococcus aureus subsp. aureus N315 (158879.11)	186_19_1, 186_19_1	186_19_1	185	187_7, 197_7	188, 872	1963_17	1088_21, 2629_21	876_23	1860_25, 875_26	1805_30	1090, 2628, 66
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	139_19_1, 139_19_1	139_19_1	138	140_7, 150_7	141_8, 814	2037_17	1035_21, 2677_21	820_23	1929_25, 819_26	1811_30	1037, 2676
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	591_19_1, 591_19_1	591_19_1	590	592_7	43, 593_8	441_17	1299_21, 815_21	39_23	152_25, 40_26	1075_30	1301, 816
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	1109_19_1, 1109_19_1	1109_19_1	1110	1108_7	1107_8, 782	225_17	1272_21, 573_21	778_23	117_25, 779_26	1481_30	1273, 571
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	746_19_1, 746_19_1	746_19_1	745_5	747_7	1043, 748_15	2569_17	1379_21, 2494_21	1047_23	1046_26, 284_25	1740_30	1381, 2495
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	133_19_1, 133_19_1	133_19_1	132_5	134_7	135_15, 774_16	1804_17	2411_21, 978_21	778_23	1700_25, 777_26	1650_30	2410, 980
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	1426_19_1, 1426_19_1	1426_19_1	1425_5	1427_7	1428_15, 697_16	1578_17	1688_21, 493_21	693_23	1923_25, 694_26	2347_30	1687, 491
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	159_19_1, 159_19_1	159_19_1	158	160_7	161, 913	1978_17	1124_21, 2657_21	917_23	1879_25, 916_26	1828_30	1126, 2656
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	2257_19_1, 2257_19_1	2257_19_1	2256	2258_7, 2268_7	1361, 2259_15	2470_17	1145_21, 237_21	1356_23	1357_26, 2570_25	 	1143, 238
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	306_19_1, 306_19_1	306_19_1	307	305_7	304	1143_17	2018_21, 540_21	2233_23	1197_25, 2234_26	 	2015, 2016, 541
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	2235_19_1, 2235_19_1	2235_19_1	2236	2224_7, 2234_7	1184, 2233_15	2401_17	1532_21, 80_21	1190_23	1189_26, 2498_25	847_30	1533, 82
Staphylococcus aureus subsp. aureus TW20 (663951.4)	204_19_1, 204_19_1	204_19_1	203	205_7, 216_7	1015, 206	2142_17	1240_21, 2957_21	1020_23	1019_26, 2038_25	1980_30	1242, 2956
Staphylococcus aureus subsp. aureus USA300 (367830.3)	1645_19_1, 1645_19_1	1645_19_1	1644	1646_7	1647_8, 803	2547_17	1994_21, 2491_21, 734_21	942_23	1946_25, 941_26	1597_30	1993, 2493, 736
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	244_19_1, 244_19_1	244_19_1	243	245_7, 255_7	246_8, 950	2115_17	112_21, 1170_21, 2749_21	956_23	2013_25, 955_26	1960_30	114, 1172, 2748
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	234_19_1, 234_19_1	234_19_1	233	235_7, 245_7	236_8, 955	2105_17	1174_21, 2743_21, 98_21	961_23	2003_25, 960_26	1949_30	100, 1176, 2742
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	132_19_1, 132_19_1	132_19_1	131	133_7	134_8, 786	1782_17	2397_21, 995_21	790_23	1748_25, 789_26	1697_30	2396, 997
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	770_19_1, 770_19_1	770_19_1	769_5	771_7	1610, 772_8	1518_17	1715_21, 2430_21	1614_23	1613_26, 52_25	2110_30	1717, 2429
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	1665_19_1, 1665_19_1	1665_19_1	1666_5	1664_7	1663_15, 818	1298_17	1352_21, 2292_21	822_23	1251_25, 821_26	2515_30	1351, 2294
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	138_19_1, 138_19_1	138_19_1	137	139_7	140, 825	1896_17	1036_21, 2500_21	829_23	1806_25, 828_26	1755_30	1038, 2499, 26
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	172_19_1, 172_19_1, 173_19_1, 173_19_1	172_19_1, 173_19_1	171	174_7	175, 835	1984_17	1058_21, 2593_21	839_23	1879_25, 838_26	1804_30	1060, 2592, 60
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	192_19_1, 192_19_1	192_19_1	191	193_7	194, 905_8	1951_17	1115_21, 2551_21	909_23	1851_25, 908_26	1801_30	1117, 2550, 83
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	192_19_1, 192_19_1	192_19_1	191	193_7	194, 874_8	1924_17	1084_21, 2521_21	878_23	1824_25, 877_26	1774_30	1086, 2520, 83
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	137_19_1, 137_19_1	137_19_1	136	138_7	139, 785	1854_17	1092_21, 2453_21	789_23	1819_25, 788_26	1767_30	1094, 2452, 27
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	126_19_1, 126_19_1	126_19_1	125	127_7	128, 792	1800_17	1002_21, 2415_21	796_23	1764_25, 795_26	2549_30	1004, 2414
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	140_19_1, 140_19_1	140_19_1	139	141_7	142, 856_8	1910_17	1066_21, 2512_21	860_23	1810_25, 859_26	1749_30	1068, 2511, 27
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	143_19_1, 143_19_1	143_19_1	142	144_7	145, 823_8	1879_17	1042_21, 2478_21	827_23	1771_25, 826_26	1720_30	1044, 2477, 30
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	115_19_1, 115_19_1	115_19_1	114	116_7	117, 782	1886_17	2489_21, 993_21	786_23	1765_25, 785_26	1714_30	2488, 995
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	174_19_1, 174_19_1	174_19_1	173	175_7	176, 893_8	1942_17	1112_21, 2536_21	897_23	1843_25, 896_26	1793_30	1114, 2535, 64
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	140_19_1, 140_19_1	140_19_1	139	141_7	142, 805_8	1787_17	1018_21, 2389_21	809_23	1752_25, 808_26	1701_30	1020, 2388, 30
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	160_19_1, 160_19_1, 161_19_1, 161_19_1	160_19_1, 161_19_1	159	162_7	163, 845	1960_17	1056_21, 2573_21	849_23	1860_25, 848_26	1808_30	1058, 2572, 50
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	1711_19_1, 1711_19_1	1711_19_1	1710	1712_7, 1723_7	1713	1507_17	2461_21, 634_21	419_23	1449_25, 418_26	 	2460, 636
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	206_19_1, 206_19_1	206_19_1	205	207_7, 217_7	208	1851_17	2470_21, 991_21	631_23	1751_25, 630_26	 	2469, 993
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	171_19_1, 171_19_1	171_19_1	170	172_7, 183_7	173, 962	2166_17	1188_21, 2836_21	967_23	2028_25, 966_26	1907_30	1190, 2835
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	742_19_1, 742_19_1	742_19_1	741	743_7, 754_7	429, 744	360_17	1825_21, 672_21	2160_23	2159_26, 370_25	2214_30	1824, 670
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	137_19_1, 137_19_1	137_19_1	136	138_7, 148_7	139_15, 899	2111_17	1182_21, 2746_21	905_23	2008_25, 904_26	1892_30	1184, 2745
Staphylococcus capitis QN1 (1189311.3)	 	 	 	 	2188_16	1121_17	1131_21, 1132_21, 2310_21, 991_21	2184_23	1788_25, 2185_26	 	1133, 2308, 2312, 2317, 989
Staphylococcus capitis SK14 (553212.3)	 	 	 	 	 	2002_17	1427_21, 1994_21	501_23	1837_25, 502_26	 	1425, 1993
Staphylococcus capitis VCU116 (904334.4)	 	 	 	 	 	1508_17, 817_17	1343_21, 809_21	1765_23	1764_26, 703_25	 	1345, 808
Staphylococcus caprae C87 (435838.3)	 	 	 	 	462_16	2242_17	2230_21, 2231_21, 2377_21, 259_21	466_23	1380_25, 465_26	 	2229, 2379, 256, 257, 261, 266
Staphylococcus epidermidis 12142587 (1235440.3)	8_19_1, 8_19_1	8_19_1	9_5	1605_7, 7_7	10_8, 510_16	1479_17, 430_17	1474_21, 444_21	514_23, 515_23	1872_25, 513_26	 	1472, 442
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	653_19_1, 653_19_1	653_19_1	652_5	654_7	316_16, 651_8	1021_17, 1488_17, 1688_17	1008_21, 1484_21	320_23	1614_25, 319_26	 	1010, 1482
Staphylococcus epidermidis 41tr (1294271.3)	195_19_1, 195_19_1	195_19_1	196	194_7	1086_16, 197_8	1425_17, 583_17	1429_21, 596_21	1090_23	1089_26, 1182_25	 	1430, 594
Staphylococcus epidermidis 528m (1294272.3)	1385_19_1, 1385_19_1	1385_19_1	1386	1384_7	1387_8, 2292_16	1650_17, 493_17	2605_21, 507_21, 508_21	2296_23, 2297_23	2295_26, 577_25	 	2604, 505
Staphylococcus epidermidis A487 (904143.3)	1033_19_1, 1033_19_1	1033_19_1	1032_5	1034_7	1031_8, 533_16	2014_17, 2043_17, 2159_17	2039_21, 2305_21	539_23	1357_25, 538_26	 	2093, 2141, 2304
Staphylococcus epidermidis ATCC 12228 (176280.10)	1181_19_1, 1181_19_1	1181_19_1	1180	1182_7	1179_8	195_17, 2167_17	208_21, 2163_21, 97_21	631_23	1557_25, 630_26	1507_30	206, 2162, 99
Staphylococcus epidermidis AU12-03 (1220510.3)	279_19_1, 279_19_1	279_19_1	280_5	278_7	281_8, 824_16	1632_17, 1733_17	1628_21, 1720_21	820_23	2009_25, 821_26	 	1626, 1722
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	1555_19_1, 1555_19_1	1555_19_1	1554	1556_7	1553_8	130_17, 294_17	143_21, 298_21, 42_21	890_23	2143_25, 889_26	 	141, 300, 44
Staphylococcus epidermidis BVS058A4 (883130.3)	816_19_1, 816_19_1	816_19_1	815_5	817_7	289_16, 814_8	1433_17, 1542_17	1429_21, 1529_21	293_23	1963_25, 292_26	 	1427, 1531
Staphylococcus epidermidis FRI909 (764544.3)	881_19_1, 881_19_1	881_19_1	880_5	882_7	73_16, 879_8	1498_17, 1781_17	1485_21, 1777_21	69_23	2097_25, 70_26	 	1162, 1487, 1776
Staphylococcus epidermidis M0881 (1213731.3)	998_19_1, 998_19_1	998_19_1	997	999_7	434_16, 996_8	1985_17, 2087_17	1981_21, 2074_21, 2204_21	438_23	1328_25, 437_26	 	1980, 2076, 2202
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	114_19_1, 114_19_1	114_19_1	115	113_7	116_8	1061_17, 962_17	1048_21, 958_21	1663_23	1662_26, 2204_25	 	1050, 957
Staphylococcus epidermidis NIH04003 (1155132.3)	904_19_1, 904_19_1	904_19_1	903	905_7	902_8	1462_17, 1665_17, 1770_17	1660_21, 1757_21, 1885_21	372_23	2116_25, 371_26	 	1659, 1759, 1883
Staphylococcus epidermidis NIH04008 (979222.3)	555_19_1, 555_19_1	555_19_1	554	556_7	553_8	1192_17, 2182_17, 439_17	1188_21, 2168_21, 2169_21	2389_23	2390_26, 2500_25	 	1187, 2171
Staphylococcus epidermidis NIH05001 (979221.3)	710_19_1, 710_19_1	710_19_1	709	711_7	708_8	1919_17, 2020_17, 515_17	1014_21, 2024_21, 502_21	2262_23	2263_26, 94_25	 	2026, 504
Staphylococcus epidermidis NIH05003 (1155133.3)	899_19_1, 899_19_1	899_19_1	898_5	900_7	897_8	1436_17, 1542_17, 1725_17	1363_21, 1449_21, 1546_21, 1547_21	369_23	2056_25, 368_26	 	1365, 1447, 1549
Staphylococcus epidermidis NIH05005 (979220.3)	569_19_1, 569_19_1	569_19_1	568	570_7	567_8	1102_17, 1210_17, 1544_17	1098_21, 1197_21, 2136_21	2106_23	1627_25, 2107_26	 	1096, 1199, 2138
Staphylococcus epidermidis NIH051475 (1155130.3)	945_19_1, 945_19_1	945_19_1	944_5	946_7	392_16, 943_8	1533_17, 1709_17, 1811_17	1705_21, 1798_21	396_23	2122_25, 395_26	 	1703, 1800
Staphylococcus epidermidis NIH051668 (1155131.3)	945_19_1, 945_19_1	945_19_1	944	946_7	943_8	1550_17, 1724_17, 1831_17	1720_21, 1818_21	364_23	2196_25, 363_26	 	1719, 1820
Staphylococcus epidermidis NIH06004 (1155134.3)	1841_19_1, 1841_19_1	1841_19_1	1840	1842_7	1839_8	269_17, 469_17, 573_17	464_21, 560_21, 678_21	1273_23	1274_26, 2193_25	 	463, 562, 676
Staphylococcus epidermidis NIH08001 (1155135.3)	286_19_1, 286_19_1	286_19_1	287	285_7	288_8	1499_17, 1607_17, 1806_17	1513_21, 1612_21	820_23	2121_25, 821_26	 	1511, 1613
Staphylococcus epidermidis NIHLM001 (979219.3)	388_19_1, 388_19_1	388_19_1	387_5	389_7	1243_16, 386_8	1320_17, 635_17, 947_17	1307_21, 2486_21, 631_21	1247_23	1246_26, 1494_25	 	1309, 2415, 2484, 629
Staphylococcus epidermidis NIHLM003 (979218.3)	792_19_1, 792_19_1	792_19_1	791_5	793_7	790_8	1623_17, 1813_17, 550_17	1610_21, 2155_21, 554_21	2086_23	1497_25, 2087_26	 	1612, 2157, 555
Staphylococcus epidermidis NIHLM008 (979217.3)	298_19_1, 298_19_1	298_19_1	299	297_7	300_8	1467_17, 1654_17, 1759_17	1650_21, 1746_21, 1836_21	837_23	2242_25, 838_26	 	1648, 1748, 1834
Staphylococcus epidermidis NIHLM015 (979216.3)	919_19_1, 919_19_1	919_19_1	918_5	920_7	349_16, 917_8	1740_17, 1917_17, 2013_17	1913_21, 2000_21, 2083_21	353_23	1288_25, 352_26	 	1911, 2002, 2081
Staphylococcus epidermidis NIHLM018 (979215.3)	552_19_1, 552_19_1	552_19_1	551	553_7	550_8	1092_17, 1279_17, 675_17	1088_21, 1292_21, 1482_21	2012_23	1406_25, 2011_26	 	1086, 1290, 1480
Staphylococcus epidermidis NIHLM020 (979213.3)	1011_19_1, 1011_19_1	1011_19_1	1010_5	1012_7	1009_8, 2196_16, 2197_16	1313_17, 1508_17, 605_17	1300_21, 601_21	2192_23	1817_25, 2193_26	 	1302, 598, 599
Staphylococcus epidermidis NIHLM021 (979212.3)	861_19_1, 861_19_1	861_19_1	860	862_7	859_8	1065_17, 1862_17, 2127_17	1858_21, 2070_21, 2382_21	436_23	1720_25, 437_26	 	1856, 2072, 2384
Staphylococcus epidermidis NIHLM023 (979211.3)	768_19_1, 768_19_1	768_19_1	767_5	769_7	766_8	1487_17, 495_17, 593_17	491_21, 580_21	1790_23	1791_26, 1865_25	 	490, 582
Staphylococcus epidermidis NIHLM031 (979214.3)	842_19_1, 842_19_1	842_19_1	841_5	843_7	1002_16, 839_8, 840_8	1376_17, 1706_17, 1964_17	1391_21, 1702_21	998_23	2091_25, 999_26	 	1387, 1389, 1701
Staphylococcus epidermidis NIHLM037 (979210.3)	1039_19_1, 1039_19_1	1039_19_1	1038_5	1040_7	1037_8, 134_16	1357_17, 1759_17, 1802_17	1361_21, 1746_21	130_23	131_26, 1654_25	 	1362, 1748
Staphylococcus epidermidis NIHLM039 (979209.3)	640_19_1, 640_19_1	640_19_1	641_5	639_7	642_8	1812_17, 2002_17, 2102_17	1998_21, 2089_21	1179_23	1180_26, 173_25	 	1996, 2091
Staphylococcus epidermidis NIHLM040 (979208.3)	383_19_1, 383_19_1	383_19_1	382_5	384_7	1145_16, 381_8	114_17, 1567_17, 824_17	110_21, 2264_21, 810_21	1141_23	1142_26, 2002_25	 	108, 2262, 812, 813
Staphylococcus epidermidis NIHLM049 (979207.3)	1424_19_1, 1424_19_1, 1425_19_1, 1425_19_1	1424_19_1, 1425_19_1	1423	1426_7	1422_8	1980_17, 2153_17, 2258_17	2149_21, 2245_21, 2329_21	827_23	219_25, 826_26	 	2147, 2247, 2327
Staphylococcus epidermidis NIHLM053 (979206.3)	872_19_1, 872_19_1, 873_19_1, 873_19_1	872_19_1, 873_19_1	871_5	874_7	259_16, 870_8	1307_17, 1483_17, 568_17	1479_21, 554_21	255_23	1757_25, 256_26	 	1478, 556, 557
Staphylococcus epidermidis NIHLM057 (979205.3)	1582_19_1, 1582_19_1	1582_19_1	1581_5	1583_7	1580_8, 941_16	1016_17, 1115_17, 435_17	1030_21, 1119_21	937_23	1991_25, 938_26	 	1027, 1028, 1120
Staphylococcus epidermidis NIHLM061 (979204.3)	604_19_1, 604_19_1	604_19_1	605_5	603_7	606_8	1886_17, 2089_17, 2189_17	2085_21, 2176_21	1163_23	1164_26, 73_25	 	2084, 2178
Staphylococcus epidermidis NIHLM067 (979203.3)	780_19_1, 780_19_1	780_19_1	779_5	781_7	778_8	1265_17, 1661_17, 192_17	1656_21, 1657_21, 178_21	421_23	1529_25, 420_26	 	1654, 180, 181
Staphylococcus epidermidis NIHLM087 (979201.3)	874_19_1, 874_19_1	874_19_1	873	875_7	173_16, 872_8	1127_17, 1670_17, 1778_17	1594_21, 1683_21, 1782_21	169_23	170_26, 1962_25	 	1596, 1681, 1784
Staphylococcus epidermidis NIHLM088 (979200.3)	848_19_1, 848_19_1	848_19_1	847_5	849_7	846_8	1153_17, 1334_17, 1763_17	1347_21, 1759_21	2318_23	1602_25, 2317_26	 	1345, 1758, 342
Staphylococcus epidermidis NIHLM095 (979199.3)	759_19_1, 759_19_1	759_19_1	760	758_7	424_16, 761_8	120_17, 1213_17, 1735_17	1217_21, 1659_21, 1749_21	420_23	1915_25, 421_26	 	1218, 1661, 1746, 1747
Staphylococcus epidermidis RP62A (176279.9)	1062_19_1, 1062_19_1	1062_19_1	1061	1063_7	1060_8	2191_17, 2296_17	2187_21, 2283_21	529_23	1414_25, 528_26	 	2185, 2285, 2414
Staphylococcus epidermidis SK135 (596317.3)	1590_19_1, 1590_19_1	1590_19_1	1591	1589_7	1592_8	2241_17, 2346_17	2254_21, 2350_21, 2351_21	1069_23	1070_26, 74_25	 	2252, 2353
Staphylococcus epidermidis UC7032 (1327991.3)	2164_19_1, 2164_19_1	2164_19_1	2165_5	2163_7	1317_16, 2166_8	1744_17, 2000_17	1757_21, 1996_21	1313_23	1314_26, 302_25	 	1755, 1995
Staphylococcus epidermidis VCU028 (904317.3)	233_19_1, 233_19_1	233_19_1	232	234_7	231_8	1364_17, 2307_17	1360_21, 2294_21	29_23	1581_25, 28_26	 	1358, 2296
Staphylococcus epidermidis VCU037 (904319.3)	512_19_1, 512_19_1	512_19_1	511	513_7	1354_8, 510_8	1075_17, 1291_17, 1445_17	1062_21, 1441_21, 44_21	1912_23	191_25, 1913_26	 	1064, 1440, 42
Staphylococcus epidermidis VCU041 (904320.3)	2268_19_1, 2268_19_1	2268_19_1	2267	2269_7	2266_8	1228_17, 125_17, 1632_17	1215_21, 1628_21, 2124_21	749_23	2368_25, 750_26	 	1217, 1627, 2126
Staphylococcus epidermidis VCU045 (904321.3)	1515_19_1, 1515_19_1	1515_19_1	1514	1516_7	1513_8	1241_17, 48_17	1228_21, 43_21, 934_21	1714_23	1715_26, 1768_25	 	1230, 42, 936
Staphylococcus epidermidis VCU065 (904324.3)	1032_19_1, 1032_19_1	1032_19_1	1031	1033_7	1030_8	1345_17, 2201_17, 583_17	1341_21, 410_21, 570_21	1930_23	1668_25, 1931_26	 	1340, 408, 572
Staphylococcus epidermidis VCU071 (904325.3)	686_19_1, 686_19_1	686_19_1	685_5	687_7	1789_16, 684_8	1114_17, 2213_17, 309_17	1118_21, 296_21	1793_23	1310_25, 1738_26, 1792_26	 	1120, 298
Staphylococcus epidermidis VCU081 (904326.3)	992_19_1, 992_19_1	992_19_1	991	993_7	990_8	1223_17, 1629_17, 2024_17	1227_21, 1616_21	1971_23	1970_26, 537_25	 	1229, 1618
Staphylococcus epidermidis VCU105 (904328.3)	1872_19_1, 1872_19_1	1872_19_1	1871	1873_7	1273_16, 1274_16, 1870_8	1510_17, 191_17, 763_17	1497_21, 759_21	1269_23	1270_26, 614_25	 	1499, 757
Staphylococcus epidermidis VCU107 (904329.3)	1138_19_1, 1138_19_1	1138_19_1	1137	1139_7	1136_8, 2017_8	1496_17, 1888_17, 62_17	1483_21, 58_21	466_23	258_25, 465_26	 	1485, 56
Staphylococcus epidermidis VCU109 (904330.3)	1138_19_1, 1138_19_1	1138_19_1	1137	1139_7	1136_8	1496_17, 1888_17, 62_17	1483_21, 58_21	466_23	258_25, 465_26	 	1485, 56
Staphylococcus epidermidis VCU116 (904334.3)	 	 	 	 	1633_8	1510_17, 817_17	1345_21, 809_21	1767_23	1766_26, 703_25	 	1347, 808
